Akron,2754,Youngstown State,2006
13:29,2754,Cameron Morse made Layup.,16,15
13:15,2754,Foul on Devin Haygood.,16,15
13:07,2006,Antino Jackson missed Three Point Jumper.,16,15
13:07,2754,Devin Haygood Defensive Rebound.,16,15
12:55,2006,Foul on Antino Jackson.,16,15
12:55,2754,Cameron Morse made Free Throw.,16,16
12:55,2754,Cameron Morse made Free Throw.,16,17
12:41,2006,Isaiah Johnson missed Jumper.,16,17
12:41,2006,Isaiah Johnson Offensive Rebound.,16,17
12:37,2006,Jimond Ivey made Layup. Assisted by Isaiah Johnson.,18,17
12:36,2754,Foul on Devin Haygood.,18,17
12:36,2006,Jimond Ivey made Free Throw.,19,17
12:24,2006,Foul on Antino Jackson.,19,17
12:18,2754,Cameron Morse Turnover.,19,17
12:17,2006,Jimond Ivey Steal.,19,17
12:12,2006,Kwan Cheatham Jr. missed Three Point Jumper.,19,17
12:12,2006,Isaiah Johnson Offensive Rebound.,19,17
12:07,2006,Jimond Ivey made Layup.,21,17
11:58,2754,Matt Donlan missed Three Point Jumper.,21,17
11:58,2006,Akron Defensive Rebound.,21,17
11:55,2754,Official TV Timeout,21,17
11:40,2006,Isaiah Johnson made Layup. Assisted by Josh Williams.,23,17
11:32,2754,Latin Davis Turnover.,23,17
11:30,2006,Isaiah Johnson Steal.,23,17
11:27,2006,Jimond Ivey made Dunk. Assisted by Isaiah Johnson.,25,17
11:26,2754,Youngstown St  Timeout,25,17
11:18,2754,Francisco Santiago made Layup.,25,19
11:00,2006,Noah Robotham missed Three Point Jumper.,25,19
11:00,2006,Akron Offensive Rebound.,25,19
10:42,2006,Kwan Cheatham Jr. Turnover.,25,19
10:34,2754,Francisco Santiago missed Three Point Jumper.,25,19
10:34,2006,Josh Williams Defensive Rebound.,25,19
10:20,2006,Jimond Ivey Turnover.,25,19
9:57,2754,Rahim Williams made Dunk. Assisted by Cameron Morse.,25,21
9:34,2006,Isaiah Johnson missed Jumper.,25,21
9:34,2754,Jorden Kaufman Defensive Rebound.,25,21
9:28,2006,Foul on Josh Williams.,25,21
9:25,2754,Cameron Morse missed Jumper.,25,21
9:25,2006,Michael Hughes Defensive Rebound.,25,21
9:15,2006,Noah Robotham missed Jumper.,25,21
9:15,2754,Cameron Morse Defensive Rebound.,25,21
9:05,2754,Cameron Morse Turnover.,25,21
8:51,2006,Craig Eubanks missed Three Point Jumper.,25,21
8:51,2754,Rahim Williams Block.,25,21
8:49,2754,Jorden Kaufman Defensive Rebound.,25,21
8:42,2754,Rahim Williams missed Three Point Jumper.,25,21
8:42,2754,Jorden Kaufman Offensive Rebound.,25,21
8:25,2754,Francisco Santiago made Layup.,25,23
8:06,2006,Aaron Jackson made Three Point Jumper. Assisted by Noah Robotham.,28,23
7:47,2754,Brett Frantz missed Three Point Jumper.,28,23
7:47,2006,Aaron Jackson Defensive Rebound.,28,23
7:38,2006,Josh Williams missed Three Point Jumper.,28,23
7:38,2754,Youngstown St Defensive Rebound.,28,23
7:34,2754,Official TV Timeout,28,23
7:19,2754,Francisco Santiago missed Jumper.,28,23
7:19,2006,Aaron Jackson Defensive Rebound.,28,23
7:00,2006,Antino Jackson missed Three Point Jumper.,28,23
7:00,2754,Braun Hartfield Defensive Rebound.,28,23
6:35,2754,Stefan Rosic made Jumper.,28,25
6:10,2006,Tavian Dunn-Martin made Layup.,30,25
5:47,2754,Brett Frantz Turnover.,30,25
5:30,2006,Isaiah Johnson made Jumper.,32,25
5:14,2754,Francisco Santiago missed Jumper.,32,25
5:14,2006,Jimond Ivey Defensive Rebound.,32,25
5:04,2754,Foul on Francisco Santiago.,32,25
5:04,2006,Tavian Dunn-Martin missed Free Throw.,32,25
5:04,2006,Akron Deadball Team Rebound.,32,25
5:04,2006,Tavian Dunn-Martin made Free Throw.,33,25
5:04,2006,Tavian Dunn-Martin made Free Throw.,34,25
4:55,2006,Foul on Isaiah Johnson.,34,25
4:55,2754,Cameron Morse missed Free Throw.,34,25
4:55,2006,Jimond Ivey Defensive Rebound.,34,25
4:39,2006,Isaiah Johnson made Jumper.,36,25
4:18,2754,Cameron Morse made Jumper.,36,27
3:51,2754,Foul on Rahim Williams.,36,27
3:51,2754,Official TV Timeout,36,27
3:51,2006,Isaiah Johnson made Free Throw.,37,27
3:51,2006,Isaiah Johnson made Free Throw.,38,27
3:40,2754,Cameron Morse missed Jumper.,38,27
3:40,2754,Jorden Kaufman Offensive Rebound.,38,27
3:37,2754,Jorden Kaufman missed Jumper.,38,27
3:37,2006,Aaron Jackson Block.,38,27
3:37,2754,Youngstown St Offensive Rebound.,38,27
3:22,2754,Rahim Williams made Three Point Jumper. Assisted by Cameron Morse.,38,30
3:02,2006,Kwan Cheatham Jr. made Layup. Assisted by Jimond Ivey.,40,30
3:02,2754,Foul on Jorden Kaufman.,40,30
3:02,2006,Kwan Cheatham Jr. made Free Throw.,41,30
2:50,2754,Matt Donlan missed Three Point Jumper.,41,30
2:50,2006,Noah Robotham Defensive Rebound.,41,30
2:34,2006,Aaron Jackson missed Jumper.,41,30
2:34,2754,Rahim Williams Defensive Rebound.,41,30
2:20,2754,Cameron Morse missed Three Point Jumper.,41,30
2:20,2754,Youngstown St Offensive Rebound.,41,30
2:07,2754,Latin Davis missed Jumper.,41,30
2:07,2754,Matt Donlan Offensive Rebound.,41,30
2:04,2754,Matt Donlan missed Two Point Tip Shot.,41,30
2:04,2754,Youngstown St Offensive Rebound.,41,30
1:47,2754,Latin Davis made Layup.,41,32
1:39,2006,Noah Robotham missed Jumper.,41,32
1:39,2754,Rahim Williams Block.,41,32
1:37,2754,Matt Donlan Defensive Rebound.,41,32
1:34,2754,Cameron Morse made Layup. Assisted by Latin Davis.,41,34
1:08,2006,Jimond Ivey Turnover.,41,34
0:57,2754,Cameron Morse Turnover.,41,34
0:40,2006,Kwan Cheatham Jr. missed Jumper.,41,34
0:40,2754,Youngstown St Defensive Rebound.,41,34
0:25,2754,Rahim Williams made Jumper.,41,36
0:01,2006,Noah Robotham missed Layup.,41,36
0:01,2754,Youngstown St Defensive Rebound.,41,36
0:00,2754,End of 1st half,41,36
19:45,2754,Francisco Santiago made Layup. Assisted by Matt Donlan.,41,38
19:18,2006,Isaiah Johnson made Jumper.,43,38
18:59,2754,Rahim Williams missed Jumper.,43,38
18:59,2006,Noah Robotham Defensive Rebound.,43,38
18:50,2006,Noah Robotham made Jumper.,45,38
18:31,2754,Foul on Jorden Kaufman.,45,38
18:31,2754,Jorden Kaufman Turnover.,45,38
18:16,2006,Kwan Cheatham Jr. missed Three Point Jumper.,45,38
18:16,2754,Jorden Kaufman Defensive Rebound.,45,38
18:10,2754,Matt Donlan missed Three Point Jumper.,45,38
18:10,2006,Kwan Cheatham Jr. Defensive Rebound.,45,38
18:01,2006,Antino Jackson Turnover.,45,38
17:53,2754,Matt Donlan made Three Point Jumper. Assisted by Devin Haygood.,45,41
17:37,2006,Noah Robotham Turnover.,45,41
17:26,2754,Francisco Santiago missed Jumper.,45,41
17:26,2006,Josh Williams Defensive Rebound.,45,41
17:21,2006,Josh Williams Turnover.,45,41
17:19,2754,Cameron Morse Steal.,45,41
17:17,2754,Cameron Morse missed Layup.,45,41
17:17,2006,Isaiah Johnson Defensive Rebound.,45,41
17:08,2754,Foul on Matt Donlan.,45,41
17:08,2006,Isaiah Johnson missed Free Throw.,45,41
17:08,2006,Akron Deadball Team Rebound.,45,41
17:08,2006,Isaiah Johnson missed Free Throw.,45,41
17:08,2754,Rahim Williams Defensive Rebound.,45,41
16:59,2006,Foul on Antino Jackson.,45,41
16:58,2754,Cameron Morse made Three Point Jumper. Assisted by Francisco Santiago.,45,44
16:43,2006,Isaiah Johnson Turnover.,45,44
16:41,2754,Rahim Williams Steal.,45,44
16:39,2754,Cameron Morse made Three Point Jumper. Assisted by Francisco Santiago.,45,47
16:21,2006,Kwan Cheatham Jr. missed Three Point Jumper.,45,47
16:21,2754,Francisco Santiago Defensive Rebound.,45,47
16:15,2754,Cameron Morse missed Three Point Jumper.,45,47
16:15,2754,Youngstown St Offensive Rebound.,45,47
16:05,2754,Francisco Santiago made Layup.,45,49
16:05,2006,Foul on Tavian Dunn-Martin.,45,49
16:05,2754,Francisco Santiago made Free Throw.,45,50
15:50,2006,Jimond Ivey made Jumper.,47,50
15:46,2754,Official TV Timeout,47,50
15:31,2754,Cameron Morse made Jumper.,47,52
15:18,2006,Noah Robotham Turnover.,47,52
15:18,2754,Cameron Morse Steal.,47,52
15:18,2006,Foul on Noah Robotham.,47,52
15:10,2754,Francisco Santiago missed Layup.,47,52
15:10,2006,Jimond Ivey Defensive Rebound.,47,52
14:50,2754,Foul on Devin Haygood.,47,52
14:50,2006,Michael Hughes made Free Throw.,48,52
14:50,2006,Michael Hughes made Free Throw.,49,52
14:32,2754,Matt Donlan missed Three Point Jumper.,49,52
14:32,2006,Jimond Ivey Defensive Rebound.,49,52
14:20,2754,Foul on Stefan Rosic.,49,52
14:20,2006,Isaiah Johnson missed Free Throw.,49,52
14:20,2006,Akron Deadball Team Rebound.,49,52
14:20,2006,Isaiah Johnson missed Free Throw.,49,52
14:20,2754,Francisco Santiago Defensive Rebound.,49,52
14:08,2754,Cameron Morse made Three Point Jumper. Assisted by Stefan Rosic.,49,55
13:40,2006,Tavian Dunn-Martin made Three Point Jumper. Assisted by Jimond Ivey.,52,55
13:26,2754,Matt Donlan made Three Point Jumper. Assisted by Francisco Santiago.,52,58
13:08,2006,Noah Robotham missed Three Point Jumper.,52,58
13:08,2006,Isaiah Johnson Offensive Rebound.,52,58
13:02,2006,Isaiah Johnson missed Jumper.,52,58
13:02,2754,Matt Donlan Defensive Rebound.,52,58
13:00,2006,Foul on Michael Hughes.,52,58
12:39,2006,Foul on Antino Jackson.,52,58
12:39,2754,Cameron Morse missed Free Throw.,52,58
12:39,2754,Youngstown St Deadball Team Rebound.,52,58
12:39,2754,Cameron Morse missed Free Throw.,52,58
12:39,2754,Youngstown St Deadball Team Rebound.,52,58
12:39,2754,Cameron Morse missed Free Throw.,52,58
12:39,2006,Jimond Ivey Defensive Rebound.,52,58
12:26,2754,Foul on Stefan Rosic.,52,58
12:17,2006,Isaiah Johnson Turnover.,52,58
12:16,2754,Francisco Santiago Steal.,52,58
12:14,2754,Francisco Santiago made Layup.,52,60
11:56,2006,Tavian Dunn-Martin missed Three Point Jumper.,52,60
11:56,2754,Rahim Williams Defensive Rebound.,52,60
11:48,2754,Francisco Santiago missed Three Point Jumper.,52,60
11:48,2006,Jimond Ivey Defensive Rebound.,52,60
11:32,2006,Kwan Cheatham Jr. missed Jumper.,52,60
11:32,2754,Francisco Santiago Defensive Rebound.,52,60
11:23,2006,Foul on Jimond Ivey.,52,60
11:23,2754,Official TV Timeout,52,60
11:23,2754,Matt Donlan made Free Throw.,52,61
11:23,2754,Matt Donlan made Free Throw.,52,62
11:03,2006,Tavian Dunn-Martin missed Three Point Jumper.,52,62
11:03,2006,Akron Deadball Team Rebound.,52,62
10:56,2754,Foul on Brett Frantz.,52,62
10:45,2006,Tavian Dunn-Martin made Three Point Jumper.,55,62
10:31,2754,Stefan Rosic missed Three Point Jumper.,55,62
10:31,2006,Aaron Jackson Defensive Rebound.,55,62
10:19,2006,Josh Williams missed Three Point Jumper.,55,62
10:19,2754,Latin Davis Defensive Rebound.,55,62
10:11,2754,Brett Frantz made Three Point Jumper. Assisted by Latin Davis.,55,65
9:52,2006,Josh Williams made Layup.,57,65
9:52,2754,Foul on Stefan Rosic.,57,65
9:52,2006,Josh Williams made Free Throw.,58,65
9:36,2754,Brett Frantz made Layup.,58,67
9:24,2754,Foul on Francisco Santiago.,58,67
9:24,2006,Isaiah Johnson made Free Throw.,59,67
9:24,2006,Isaiah Johnson made Free Throw.,60,67
9:12,2754,Francisco Santiago Turnover.,60,67
9:11,2006,Noah Robotham Steal.,60,67
9:08,2006,Noah Robotham made Layup.,62,67
8:48,2754,Matt Donlan missed Three Point Jumper.,62,67
8:48,2006,Noah Robotham Defensive Rebound.,62,67
8:43,2006,Tavian Dunn-Martin made Layup. Assisted by Noah Robotham.,64,67
8:19,2754,Brett Frantz missed Jumper.,64,67
8:19,2006,Isaiah Johnson Block.,64,67
8:16,2006,Josh Williams Defensive Rebound.,64,67
8:13,2006,Kwan Cheatham Jr. missed Three Point Jumper.,64,67
8:13,2754,Brett Frantz Defensive Rebound.,64,67
8:02,2754,Matt Donlan made Three Point Jumper. Assisted by Brett Frantz.,64,70
7:55,2754,Official TV Timeout,64,70
7:39,2006,Antino Jackson missed Three Point Jumper.,64,70
7:39,2754,Brett Frantz Defensive Rebound.,64,70
7:23,2754,Francisco Santiago missed Layup.,64,70
7:23,2754,Jorden Kaufman Offensive Rebound.,64,70
7:18,2754,Jorden Kaufman made Two Point Tip Shot.,64,72
6:51,2006,Josh Williams missed Three Point Jumper.,64,72
6:51,2006,Isaiah Johnson Offensive Rebound.,64,72
6:44,2006,Isaiah Johnson made Jumper.,66,72
6:28,2006,Foul on Isaiah Johnson.,66,72
6:28,2754,Jorden Kaufman made Free Throw.,66,73
6:28,2754,Jorden Kaufman made Free Throw.,66,74
6:15,2006,Tavian Dunn-Martin missed Three Point Jumper.,66,74
6:15,2754,Brett Frantz Defensive Rebound.,66,74
6:04,2754,Devin Haygood made Jumper. Assisted by Cameron Morse.,66,76
5:51,2754,Foul on Cameron Morse.,66,76
5:51,2006,Tavian Dunn-Martin missed Free Throw.,66,76
5:51,2754,Rahim Williams Defensive Rebound.,66,76
5:39,2754,Rahim Williams missed Three Point Jumper.,66,76
5:39,2006,Akron Defensive Rebound.,66,76
5:19,2006,Jimond Ivey made Three Point Jumper. Assisted by Antino Jackson.,69,76
5:18,2006,Akron  Timeout,69,76
5:08,2754,Cameron Morse made Layup. Assisted by Francisco Santiago.,69,78
4:37,2006,Kwan Cheatham Jr. Turnover.,69,78
4:35,2754,Cameron Morse Steal.,69,78
4:33,2754,Matt Donlan missed Layup.,69,78
4:33,2006,Kwan Cheatham Jr. Block.,69,78
4:28,2006,Jimond Ivey Defensive Rebound.,69,78
4:26,2006,Antino Jackson made Three Point Jumper. Assisted by Tavian Dunn-Martin.,72,78
4:07,2754,Francisco Santiago missed Three Point Jumper.,72,78
4:07,2006,Antino Jackson Defensive Rebound.,72,78
3:43,2006,Aaron Jackson missed Three Point Jumper.,72,78
3:43,2754,Devin Haygood Block.,72,78
3:43,2006,Akron Offensive Rebound.,72,78
3:42,2754,Official TV Timeout,72,78
3:38,2006,Antino Jackson made Layup. Assisted by Isaiah Johnson.,74,78
3:24,2754,Francisco Santiago Turnover.,74,78
3:23,2006,Antino Jackson Steal.,74,78
3:03,2006,Antino Jackson missed Jumper.,74,78
3:03,2754,Devin Haygood Defensive Rebound.,74,78
3:01,2006,Foul on Isaiah Johnson.,74,78
3:01,2754,Devin Haygood missed Free Throw.,74,78
3:01,2006,Isaiah Johnson Defensive Rebound.,74,78
2:46,2006,Noah Robotham made Three Point Jumper. Assisted by Isaiah Johnson.,77,78
2:34,2754,Youngstown St  Timeout,77,78
2:14,2754,Cameron Morse made Layup.,77,80
2:02,2006,Noah Robotham missed Three Point Jumper.,77,80
2:02,2754,Cameron Morse Defensive Rebound.,77,80
1:41,2754,Cameron Morse missed Three Point Jumper.,77,80
1:41,2754,Jorden Kaufman Offensive Rebound.,77,80
1:26,2754,Cameron Morse made Layup.,77,82
1:06,2006,Antino Jackson missed Jumper.,77,82
1:06,2006,Antino Jackson Offensive Rebound.,77,82
1:04,2006,Antino Jackson Turnover.,77,82
0:59,2754,Rahim Williams made Dunk. Assisted by Francisco Santiago.,77,84
0:48,2006,Isaiah Johnson made Jumper.,79,84
0:48,2754,Foul on Jorden Kaufman.,79,84
0:48,2006,Isaiah Johnson missed Free Throw.,79,84
0:48,2754,Matt Donlan Defensive Rebound.,79,84
0:42,2006,Foul on Noah Robotham.,79,84
0:38,2754,Francisco Santiago made Free Throw.,79,85
0:38,2754,Francisco Santiago made Free Throw.,79,86
0:25,2006,Antino Jackson missed Three Point Jumper.,79,86
0:25,2006,Akron Offensive Rebound.,79,86
0:20,2006,Antino Jackson Turnover.,79,86
0:18,2754,Francisco Santiago Steal.,79,86
0:15,2754,Devin Haygood made Dunk. Assisted by Francisco Santiago.,79,88
0:12,2006,Noah Robotham made Three Point Jumper.,82,88
0:11,2006,Akron  Timeout,82,88
0:10,2754,Brett Frantz made Free Throw.,82,89
0:10,2754,Brett Frantz made Free Throw.,82,90
0:06,2006,Noah Robotham missed Three Point Jumper.,82,90
0:06,2754,Brett Frantz Defensive Rebound.,82,90
0:02,2754,Youngstown St  Timeout,82,90
0:00,2754,End of Game,82,90
