San Diego Christian,Error,CSU Bakersfield,2934
14:21,3096,Luis Salgado Turnover.,4,15
14:21,3096,Foul on Luis Salgado.,4,15
14:18,2934,Brent Wrapp made Layup.,4,17
13:59,3096,Isaiah Milan missed Three Point Jumper.,4,17
13:59,2934,Brent Wrapp Defensive Rebound.,4,17
13:52,2934,Jaylin Airington made Layup. Assisted by Brent Wrapp.,4,19
13:33,2934,Foul on Brent Wrapp.,4,19
13:16,3096,Isaiah Milan made Three Point Jumper. Assisted by Hayden Fredrick.,7,19
13:01,3096,Foul on Hayden Fredrick.,7,19
12:54,2934,Jaylin Airington Turnover.,7,19
12:54,2934,Foul on Jaylin Airington.,7,19
12:33,2934,Foul on Dedrick Basile.,7,19
12:32,3096,Isaiah Milan made Three Point Jumper. Assisted by Derek Novsek.,10,19
12:23,2934,Shon Briggs made Layup.,10,21
12:03,3096,Keko Moore made Layup. Assisted by Caleb Singleton.,12,21
11:50,2934,Shon Briggs missed Jumper.,12,21
11:50,2934,Aly Moataz Offensive Rebound.,12,21
11:44,2934,Aly Moataz missed Two Point Tip Shot.,12,21
11:44,2934,Aly Moataz Offensive Rebound.,12,21
11:41,2934,Aly Moataz Turnover.,12,21
11:40,3096,Isaiah Milan Steal.,12,21
11:24,3096,Caleb Singleton missed Jumper.,12,21
11:24,2934,Shon Briggs Defensive Rebound.,12,21
11:04,2934,Aly Moataz Turnover.,12,21
10:59,3096,Keko Moore Steal.,12,21
10:42,2934,Foul on Jaylin Airington.,12,21
10:42,2934,Official TV Timeout,12,21
10:31,3096,Derek Novsek made Three Point Jumper. Assisted by Keko Moore.,15,21
10:15,3096,Foul on Jesus Limon.,15,21
10:15,2934,Matt Smith missed Free Throw.,15,21
10:15,2934,CSU Bakersfield Deadball Team Rebound.,15,21
10:15,2934,Matt Smith made Free Throw.,15,22
10:12,2934,Foul on Shon Briggs.,15,22
10:12,3096,Luis Salgado made Free Throw.,16,22
10:12,3096,Luis Salgado made Free Throw.,17,22
10:03,2934,Matt Smith made Layup. Assisted by Taze Moore.,17,24
9:33,3096,Luis Salgado missed Layup.,17,24
9:33,2934,Matt Smith Defensive Rebound.,17,24
9:21,2934,Damiyne Durham missed Three Point Jumper.,17,24
9:21,3096,Luis Salgado Defensive Rebound.,17,24
9:02,3096,Keko Moore Turnover.,17,24
9:01,2934,Taze Moore Steal.,17,24
8:58,2934,Justin Pride missed Layup.,17,24
8:58,2934,Taze Moore Offensive Rebound.,17,24
8:55,2934,Taze Moore made Two Point Tip Shot.,17,26
8:34,3096,Derek Novsek made Layup.,19,26
8:33,2934,Foul on Justin Pride.,19,26
8:33,3096,Derek Novsek made Free Throw.,20,26
8:24,2934,Shon Briggs made Jumper. Assisted by Brent Wrapp.,20,28
8:08,3096,Luis Salgado made Layup. Assisted by Nathan Klekas.,22,28
7:52,3096,Foul on Luis Salgado.,22,28
7:52,2934,Official TV Timeout,22,28
7:52,2934,Shon Briggs made Free Throw.,22,29
7:52,2934,Shon Briggs made Free Throw.,22,30
7:30,3096,Caleb Singleton missed Three Point Jumper.,22,30
7:30,2934,James Suber Defensive Rebound.,22,30
7:13,2934,James Suber made Layup. Assisted by Shon Briggs.,22,32
6:53,3096,Derek Novsek Turnover.,22,32
6:53,3096,Foul on Derek Novsek.,22,32
6:38,2934,Shon Briggs Turnover.,22,32
6:22,3096,Nathan Klekas Turnover.,22,32
6:11,2934,Shon Briggs missed Layup.,22,32
6:11,2934,James Suber Offensive Rebound.,22,32
6:06,3096,Foul on Keko Moore.,22,32
6:06,2934,James Suber made Free Throw.,22,33
6:06,2934,James Suber made Free Throw.,22,34
5:42,3096,Nathan Klekas made Three Point Jumper. Assisted by Caleb Singleton.,25,34
5:24,2934,Taze Moore made Layup. Assisted by Matt Smith.,25,36
5:05,3096,Nathan Klekas missed Three Point Jumper.,25,36
5:05,2934,Jaylin Airington Defensive Rebound.,25,36
4:59,2934,Jaylin Airington Turnover.,25,36
4:57,3096,Nathan Klekas Steal.,25,36
4:48,3096,Nathan Klekas made Three Point Jumper. Assisted by Keko Moore.,28,36
4:25,2934,James Suber Turnover.,28,36
4:14,3096,Isaiah Milan Turnover.,28,36
4:13,2934,Shon Briggs Steal.,28,36
4:09,2934,Jaylin Airington missed Three Point Jumper.,28,36
4:09,3096,Nathan Klekas Defensive Rebound.,28,36
4:04,3096,Nathan Klekas Turnover.,28,36
4:03,2934,Shon Briggs Steal.,28,36
4:02,2934,Shon Briggs made Layup.,28,38
3:35,2934,Foul on Justin Pride.,28,38
3:35,2934,Official TV Timeout,28,38
3:35,3096,Isaiah Milan made Free Throw.,29,38
3:35,3096,Isaiah Milan missed Free Throw.,29,38
3:35,2934,CSU Bakersfield Defensive Rebound.,29,38
3:19,2934,Shon Briggs missed Layup.,29,38
3:19,3096,Keko Moore Defensive Rebound.,29,38
2:53,3096,Shawn Stanley missed Three Point Jumper.,29,38
2:53,2934,Dedrick Basile Block.,29,38
2:52,3096,San Diego Christian College Offensive Rebound.,29,38
2:44,3096,San Diego Christian College  Turnover.,29,38
2:33,2934,Dedrick Basile Turnover.,29,38
2:33,2934,Foul on Dedrick Basile.,29,38
2:13,3096,Nathan Klekas Turnover.,29,38
2:13,2934,Taze Moore Steal.,29,38
2:11,2934,Taze Moore made Dunk.,29,40
1:53,3096,Isaiah Milan missed Three Point Jumper.,29,40
1:53,2934,Jaylin Airington Defensive Rebound.,29,40
1:46,2934,Taze Moore made Layup. Assisted by Jaylin Airington.,29,42
1:29,2934,Foul on Matt Smith.,29,42
1:29,3096,Caleb Singleton missed Free Throw.,29,42
1:29,3096,San Diego Christian College Deadball Team Rebound.,29,42
1:29,3096,Caleb Singleton made Free Throw.,30,42
1:16,2934,Shon Briggs made Layup.,30,44
0:51,3096,Caleb Singleton missed Three Point Jumper.,30,44
0:51,2934,Matt Smith Defensive Rebound.,30,44
0:45,2934,Brent Wrapp made Layup. Assisted by Jaylin Airington.,30,46
0:25,3096,Caleb Singleton made Layup. Assisted by Nathan Klekas.,32,46
0:01,2934,CSU Bakersfield  Turnover.,32,46
0:00,3096,Isaiah Milan missed Three Point Jumper.,32,46
0:00,2934,Shon Briggs Defensive Rebound.,32,46
0:00,2934,End of 1st half,32,46
19:48,3096,Hayden Fredrick Turnover.,32,46
19:48,3096,Foul on Hayden Fredrick.,32,46
19:29,2934,Matt Smith missed Layup.,32,46
19:29,3096,Derek Novsek Defensive Rebound.,32,46
19:28,2934,Foul on Matt Smith.,32,46
19:05,3096,Isaiah Milan made Three Point Jumper. Assisted by Nathan Klekas.,35,46
18:47,2934,Jaylin Airington missed Three Point Jumper.,35,46
18:47,2934,Matt Smith Offensive Rebound.,35,46
18:47,3096,Foul on Isaiah Milan.,35,46
18:34,3096,Foul on Isaiah Milan.,35,46
18:17,2934,Matt Smith missed Jumper.,35,46
18:17,3096,Anthony Gonzalez Block.,35,46
18:16,2934,Shon Briggs Offensive Rebound.,35,46
18:09,2934,Matt Smith Turnover.,35,46
18:09,2934,Foul on Matt Smith.,35,46
18:05,2934,Foul on Shon Briggs.,35,46
17:50,3096,Anthony Gonzalez missed Three Point Jumper.,35,46
17:50,2934,Shon Briggs Defensive Rebound.,35,46
17:43,2934,Jaylin Airington made Layup. Assisted by Shon Briggs.,35,48
17:29,3096,Derek Novsek missed Layup.,35,48
17:29,3096,Luis Salgado Offensive Rebound.,35,48
17:24,2934,Foul on Taze Moore.,35,48
17:20,2934,Foul on Taze Moore.,35,48
17:20,3096,Anthony Gonzalez Turnover.,35,48
17:20,3096,Foul on Anthony Gonzalez.,35,48
17:12,2934,Jaylin Airington made Layup.,35,50
16:55,3096,Isaiah Milan Turnover.,35,50
16:43,2934,Jaylin Airington Turnover.,35,50
16:41,3096,Luis Salgado Turnover.,35,50
16:35,3096,Foul on Derek Novsek.,35,50
16:35,2934,Shon Briggs made Layup. Assisted by Justin Pride.,35,52
15:58,2934,Foul on Shon Briggs.,35,52
15:58,2934,Official TV Timeout,35,52
15:58,3096,Nathan Klekas missed Free Throw.,35,52
15:58,3096,San Diego Christian College Deadball Team Rebound.,35,52
15:58,3096,Nathan Klekas made Free Throw.,36,52
15:58,3096,Nathan Klekas made Free Throw.,37,52
15:51,2934,Matt Smith missed Layup.,37,52
15:51,3096,Nathan Klekas Defensive Rebound.,37,52
15:25,3096,Caleb Singleton made Layup. Assisted by Anthony Gonzalez.,39,52
15:06,2934,Matt Smith missed Jumper.,39,52
15:06,2934,Shon Briggs Offensive Rebound.,39,52
15:04,3096,Foul on Caleb Singleton.,39,52
15:04,2934,Shon Briggs missed Free Throw.,39,52
15:04,2934,CSU Bakersfield Deadball Team Rebound.,39,52
15:04,2934,Shon Briggs made Free Throw.,39,53
14:38,3096,Anthony Gonzalez Turnover.,39,53
14:37,2934,Jaylin Airington Steal.,39,53
14:33,3096,Foul on Nathan Klekas.,39,53
14:33,2934,Jaylin Airington made Free Throw.,39,54
14:33,2934,Jaylin Airington made Free Throw.,39,55
14:05,3096,Anthony Gonzalez missed Jumper.,39,55
14:05,2934,Shon Briggs Defensive Rebound.,39,55
14:03,2934,Justin Pride made Layup.,39,57
13:30,3096,San Diego Christian College  Turnover.,39,57
13:14,2934,Jaylin Airington missed Jumper.,39,57
13:14,3096,Nathan Klekas Defensive Rebound.,39,57
13:03,3096,Anthony Gonzalez Turnover.,39,57
13:00,2934,Damiyne Durham Steal.,39,57
12:59,2934,Jaylin Airington made Layup. Assisted by Damiyne Durham.,39,59
12:48,2934,Foul on Justin Pride.,39,59
12:48,3096,Isaiah Milan made Free Throw.,40,59
12:48,3096,Isaiah Milan made Free Throw.,41,59
12:24,2934,Matt Smith made Layup. Assisted by Dedrick Basile.,41,61
11:59,3096,San Diego Christian College  Timeout,41,61
11:56,3096,Luis Salgado missed Three Point Jumper.,41,61
11:56,2934,Dedrick Basile Defensive Rebound.,41,61
11:47,3096,Foul on Isaiah Milan.,41,61
11:47,2934,Official TV Timeout,41,61
11:47,2934,Brent Wrapp made Free Throw.,41,62
11:47,2934,Brent Wrapp made Free Throw.,41,63
11:30,3096,Shawn Stanley Turnover.,41,63
11:14,2934,Damiyne Durham made Layup.,41,65
11:00,3096,Hayden Fredrick Turnover.,41,65
10:55,2934,Matt Smith Steal.,41,65
10:42,2934,Damiyne Durham made Three Point Jumper. Assisted by Justin Pride.,41,68
10:16,3096,Hayden Fredrick made Layup. Assisted by Caleb Singleton.,43,68
10:14,2934,Foul on Justin Pride.,43,68
10:14,3096,Hayden Fredrick made Free Throw.,44,68
10:10,2934,Damiyne Durham missed Three Point Jumper.,44,68
10:10,2934,Dedrick Basile Offensive Rebound.,44,68
10:06,2934,Dedrick Basile made Two Point Tip Shot.,44,70
9:53,2934,Foul on Damiyne Durham.,44,70
9:53,3096,Shawn Stanley made Free Throw.,45,70
9:53,3096,Shawn Stanley made Free Throw.,46,70
9:53,2934,Damiyne Durham made Three Point Jumper. Assisted by Dedrick Basile.,46,73
9:53,3096,Caleb Singleton made Jumper.,48,73
9:48,3096,Foul on Derek Novsek.,48,73
9:17,2934,Dedrick Basile missed Free Throw.,48,73
9:17,2934,CSU Bakersfield Deadball Team Rebound.,48,73
9:17,2934,Dedrick Basile made Free Throw.,48,74
8:41,2934,Foul on Matt Smith.,48,74
8:41,3096,Hayden Fredrick made Free Throw.,49,74
8:41,3096,Hayden Fredrick missed Free Throw.,49,74
8:41,2934,Jaylin Airington Defensive Rebound.,49,74
8:01,2934,Jaylin Airington made Layup.,49,76
7:41,3096,Caleb Singleton missed Layup.,49,76
7:41,2934,Dedrick Basile Defensive Rebound.,49,76
7:32,2934,Shon Briggs made Layup.,49,78
7:15,3096,Shawn Stanley missed Three Point Jumper.,49,78
7:15,2934,Shon Briggs Defensive Rebound.,49,78
7:07,2934,Jaylin Airington Turnover.,49,78
7:07,2934,Foul on Shon Briggs.,49,78
7:07,2934,Official TV Timeout,49,78
6:58,3096,Derek Novsek missed Jumper.,49,78
6:58,2934,Jaylin Airington Defensive Rebound.,49,78
6:39,2934,Shon Briggs made Jumper.,49,80
6:12,3096,Nathan Klekas missed Three Point Jumper.,49,80
6:12,2934,CSU Bakersfield Defensive Rebound.,49,80
5:57,2934,Shon Briggs made Layup.,49,82
5:44,3096,Derek Novsek missed Layup.,49,82
5:44,2934,Bray Barnes Defensive Rebound.,49,82
5:23,2934,Jaylin Airington missed Jumper.,49,82
5:23,3096,Nathan Klekas Defensive Rebound.,49,82
5:10,3096,Keko Moore missed Three Point Jumper.,49,82
5:10,2934,Shon Briggs Defensive Rebound.,49,82
4:53,2934,Dedrick Basile made Layup.,49,84
4:50,3096,San Diego Christian College  Timeout,49,84
4:41,2934,Foul on Bray Barnes.,49,84
4:22,3096,Derek Novsek made Free Throw.,50,84
4:22,3096,Derek Novsek made Free Throw.,51,84
4:07,2934,Dedrick Basile missed Layup.,51,84
4:07,3096,Nathan Klekas Defensive Rebound.,51,84
3:51,3096,Derek Novsek missed Three Point Jumper.,51,84
3:51,2934,CSU Bakersfield Defensive Rebound.,51,84
3:47,2934,Official TV Timeout,51,84
3:32,2934,Damiyne Durham made Three Point Jumper. Assisted by Dedrick Basile.,51,87
3:04,3096,Isaiah Milan missed Jumper.,51,87
3:04,2934,James Suber Block.,51,87
3:04,3096,San Diego Christian College Offensive Rebound.,51,87
2:58,3096,Isaiah Milan missed Layup.,51,87
2:58,2934,James Suber Defensive Rebound.,51,87
2:47,2934,Damiyne Durham made Three Point Jumper. Assisted by Dedrick Basile.,51,90
2:13,2934,Foul on Dedrick Basile.,51,90
2:13,3096,Isaiah Milan made Free Throw.,52,90
2:13,3096,Isaiah Milan made Free Throw.,53,90
1:59,2934,James Suber Turnover.,53,90
1:59,2934,Foul on James Suber.,53,90
1:50,2934,Foul on Taze Moore.,53,90
1:50,3096,Isaiah Milan missed Free Throw.,53,90
1:50,3096,San Diego Christian College Deadball Team Rebound.,53,90
1:50,3096,Isaiah Milan made Free Throw.,54,90
1:36,2934,Damiyne Durham made Three Point Jumper.,54,93
1:17,3096,Luis Salgado missed Jumper.,54,93
1:17,2934,James Suber Block.,54,93
1:16,2934,James Suber Defensive Rebound.,54,93
1:05,2934,Damiyne Durham made Three Point Jumper. Assisted by Taze Moore.,54,96
0:36,3096,Derek Novsek missed Three Point Jumper.,54,96
0:36,2934,Aly Moataz Block.,54,96
0:36,3096,San Diego Christian College Offensive Rebound.,54,96
0:31,3096,Isaiah Milan missed Layup.,54,96
0:31,2934,Bray Barnes Defensive Rebound.,54,96
0:00,2934,End of Game,54,96
