Mid-Atlantic Christian,Error,Hampton,2261
9:27,2261,Trey Carver made Two Point Tip Shot.,14,37
9:15,-1,Jonathan DeLaRosa missed Jumper.,14,37
9:15,2261,Austin Colbert Block.,14,37
9:14,2261,Kalin Fisher Defensive Rebound.,14,37
9:05,2261,Eugene Marshall III missed Three Point Jumper.,14,37
9:05,-1,Grayson Tejeda Defensive Rebound.,14,37
9:01,-1,Grayson Tejeda made Jumper.,16,37
8:42,2261,Kalin Fisher missed Three Point Jumper.,16,37
8:42,-1,Jaelin Thomas Defensive Rebound.,16,37
8:33,-1,Jaelin Thomas made Three Point Jumper. Assisted by Grayson Tejeda.,19,37
8:16,2261,Trey Carver made Layup. Assisted by Lysander Bracey.,19,39
8:03,-1,Markel Ming missed Three Point Jumper.,19,39
8:03,2261,Kalin Fisher Defensive Rebound.,19,39
7:59,2261,Kalin Fisher made Layup.,19,41
7:28,-1,Tyler Hendrix missed Jumper.,19,41
7:28,2261,Trey Carver Defensive Rebound.,19,41
7:21,-1,Foul on Jonathan DeLaRosa.,19,41
7:21,2261,Official TV Timeout,19,41
7:21,2261,Kalin Fisher missed Free Throw.,19,41
7:21,2261,Hampton Deadball Team Rebound.,19,41
7:21,2261,Kalin Fisher made Free Throw.,19,42
7:11,2261,Foul on Austin Colbert.,19,42
7:11,-1,DaQuon Copeland made Free Throw.,20,42
7:11,-1,DaQuon Copeland made Free Throw.,21,42
6:46,2261,Austin Colbert made Jumper. Assisted by Kalin Fisher.,21,44
6:36,2261,Foul on Kalin Fisher.,21,44
6:13,-1,Mid-Atlantic Christian  Turnover.,21,44
5:56,2261,Austin Colbert made Layup. Assisted by Trey Houston.,21,46
5:44,-1,Tyler Hendrix Turnover.,21,46
5:43,2261,Kalin Fisher Steal.,21,46
5:41,2261,Austin Colbert made Layup. Assisted by Kalin Fisher.,21,48
5:27,-1,DaQuon Copeland made Layup.,23,48
5:16,2261,Trey Carver made Dunk.,23,50
5:06,2261,Foul on Trey Carver.,23,50
4:51,-1,Maurice Anderson missed Jumper.,23,50
4:51,-1,DaQuon Copeland Offensive Rebound.,23,50
4:36,-1,DaQuon Copeland missed Layup.,23,50
4:36,2261,Austin Colbert Block.,23,50
4:35,2261,Kalin Fisher Defensive Rebound.,23,50
4:35,2261,Kalin Fisher Turnover.,23,50
4:24,-1,Timothy DeLaRosa missed Jumper.,23,50
4:24,2261,Eugene Marshall III Defensive Rebound.,23,50
3:53,2261,Hampton  Turnover.,23,50
3:53,2261,Official TV Timeout,23,50
3:40,-1,Leander Williams missed Jumper.,23,50
3:40,2261,Charles Wilson-Fisher Defensive Rebound.,23,50
3:35,2261,Akim Mitchell missed Jumper.,23,50
3:35,-1,Colin Cunningham Defensive Rebound.,23,50
3:28,-1,Grayson Tejeda missed Jumper.,23,50
3:28,2261,Charles Wilson-Fisher Defensive Rebound.,23,50
3:18,2261,Greg Heckstall made Layup. Assisted by Jermaine Marrow.,23,52
2:56,2261,Foul on Greg Heckstall.,23,52
2:38,-1,Maurice Anderson missed Three Point Jumper.,23,52
2:38,2261,Greg Heckstall Defensive Rebound.,23,52
2:33,2261,Jermaine Marrow Turnover.,23,52
2:08,-1,Colin Cunningham missed Three Point Jumper.,23,52
2:08,2261,Charles Wilson-Fisher Defensive Rebound.,23,52
2:04,-1,Foul on Maurice Anderson.,23,52
2:04,2261,Jermaine Marrow made Free Throw.,23,53
2:04,2261,Jermaine Marrow missed Free Throw.,23,53
2:04,-1,Grayson Tejeda Defensive Rebound.,23,53
1:49,-1,Timothy DeLaRosa missed Jumper.,23,53
1:49,2261,Trevond Barnes Block.,23,53
1:48,2261,Trevond Barnes Defensive Rebound.,23,53
1:43,-1,Foul on Leander Williams.,23,53
1:43,2261,Lysander Bracey made Free Throw.,23,54
1:43,2261,Lysander Bracey made Free Throw.,23,55
1:38,-1,Timothy DeLaRosa missed Three Point Jumper.,23,55
1:38,2261,Charles Wilson-Fisher Defensive Rebound.,23,55
1:27,2261,Jermaine Marrow missed Three Point Jumper.,23,55
1:27,2261,Charles Wilson-Fisher Offensive Rebound.,23,55
1:19,2261,Charles Wilson-Fisher missed Layup.,23,55
1:19,2261,Charles Wilson-Fisher Offensive Rebound.,23,55
1:17,2261,Charles Wilson-Fisher missed Layup.,23,55
1:17,-1,Leander Williams Defensive Rebound.,23,55
1:14,-1,Leander Williams Turnover.,23,55
1:13,2261,Jermaine Marrow Steal.,23,55
1:12,2261,Jermaine Marrow made Layup.,23,57
1:04,-1,Colin Cunningham missed Three Point Jumper.,23,57
1:04,2261,Akim Mitchell Defensive Rebound.,23,57
0:57,2261,Lysander Bracey made Layup. Assisted by Akim Mitchell.,23,59
0:47,2261,Foul on Trevond Barnes.,23,59
0:47,-1,Maurice Anderson missed Free Throw.,23,59
0:47,-1,Mid-Atlantic Christian Deadball Team Rebound.,23,59
0:47,-1,Maurice Anderson made Free Throw.,24,59
0:23,2261,Akim Mitchell made Jumper. Assisted by Jermaine Marrow.,24,61
0:04,2261,Foul on Lysander Bracey.,24,61
0:04,-1,Leander Williams missed Free Throw.,24,61
0:04,2261,Trevond Barnes Defensive Rebound.,24,61
0:00,2261,End of 1st half,24,61
19:38,-1,Markel Ming made Three Point Jumper. Assisted by Tyler Hendrix.,27,61
19:09,2261,Akim Mitchell missed Layup.,27,61
19:09,2261,Charles Wilson-Fisher Offensive Rebound.,27,61
19:07,2261,Charles Wilson-Fisher made Dunk.,27,63
18:50,2261,Foul on Greg Heckstall.,27,63
18:41,-1,Jonathan DeLaRosa Turnover.,27,63
18:32,2261,Greg Heckstall made Layup. Assisted by Jermaine Marrow.,27,65
18:22,2261,Foul on Akim Mitchell.,27,65
18:01,-1,Jonathan DeLaRosa missed Jumper.,27,65
18:01,2261,Trevond Barnes Defensive Rebound.,27,65
17:56,2261,Charles Wilson-Fisher made Dunk. Assisted by Jermaine Marrow.,27,67
17:45,-1,Markel Ming Turnover.,27,67
17:43,2261,Greg Heckstall Steal.,27,67
17:41,2261,Greg Heckstall made Layup.,27,69
17:25,-1,Tyler Hendrix Turnover.,27,69
17:24,2261,Akim Mitchell Steal.,27,69
17:22,2261,Akim Mitchell Turnover.,27,69
17:22,-1,Mid-Atlantic Christian  Timeout,27,69
17:13,2261,Foul on Jermaine Marrow.,27,69
17:06,-1,Tyler Hendrix made Jumper.,29,69
16:55,2261,Akim Mitchell made Three Point Jumper. Assisted by Greg Heckstall.,29,72
16:42,2261,Foul on Charles Wilson-Fisher.,29,72
16:32,-1,Tyler Hendrix made Three Point Jumper.,32,72
16:18,2261,Jermaine Marrow missed Three Point Jumper.,32,72
16:18,-1,Alex Stanley Defensive Rebound.,32,72
16:07,-1,Tyler Hendrix missed Layup.,32,72
16:07,-1,Timothy DeLaRosa Offensive Rebound.,32,72
16:05,-1,Timothy DeLaRosa missed Layup.,32,72
16:05,2261,Greg Heckstall Defensive Rebound.,32,72
16:02,2261,Akim Mitchell made Layup. Assisted by Jermaine Marrow.,32,74
16:02,-1,Foul on Alex Stanley.,32,74
16:02,2261,Akim Mitchell made Free Throw.,32,75
15:41,-1,Tyler Hendrix Turnover.,32,75
15:40,2261,Akim Mitchell Steal.,32,75
15:36,2261,Greg Heckstall Turnover.,32,75
15:36,2261,Official TV Timeout,32,75
15:16,2261,Foul on Trevond Barnes.,32,75
15:12,-1,Tyler Hendrix missed Jumper.,32,75
15:12,2261,Charles Wilson-Fisher Defensive Rebound.,32,75
15:05,2261,Lysander Bracey made Three Point Jumper. Assisted by Charles Wilson-Fisher.,32,78
14:59,2261,Foul on Akim Mitchell.,32,78
14:50,-1,Foul on DaQuon Copeland.,32,78
14:50,-1,DaQuon Copeland Turnover.,32,78
14:30,2261,Lysander Bracey missed Three Point Jumper.,32,78
14:30,-1,Tyler Hendrix Defensive Rebound.,32,78
14:27,-1,Tyler Hendrix Turnover.,32,78
14:17,-1,Foul on Tyler Hendrix.,32,78
14:07,2261,Jermaine Marrow missed Three Point Jumper.,32,78
14:07,2261,Lysander Bracey Offensive Rebound.,32,78
14:02,2261,Lysander Bracey made Jumper.,32,80
13:51,-1,Jaelin Thomas made Three Point Jumper.,35,80
13:44,2261,Jermaine Marrow made Layup.,35,82
13:44,-1,Foul on Timothy DeLaRosa.,35,82
13:44,2261,Jermaine Marrow made Free Throw.,35,83
13:26,-1,Jaelin Thomas made Layup.,37,83
13:02,2261,Lysander Bracey missed Three Point Jumper.,37,83
13:02,-1,Jaelin Thomas Defensive Rebound.,37,83
12:49,-1,Leander Williams made Three Point Jumper. Assisted by Jaelin Thomas.,40,83
12:31,-1,Foul on DaQuon Copeland.,40,83
12:20,2261,Austin Colbert missed Three Point Jumper.,40,83
12:20,2261,Lysander Bracey Offensive Rebound.,40,83
12:07,-1,Foul on Alex Stanley.,40,83
11:59,2261,Austin Colbert made Dunk. Assisted by Jermaine Marrow.,40,85
11:51,-1,Jaelin Thomas missed Three Point Jumper.,40,85
11:51,2261,Jermaine Marrow Defensive Rebound.,40,85
11:44,2261,Jermaine Marrow Turnover.,40,85
11:43,-1,Grayson Tejeda Steal.,40,85
11:39,-1,Leander Williams missed Three Point Jumper.,40,85
11:39,-1,Alex Stanley Offensive Rebound.,40,85
11:36,2261,Foul on Jermaine Marrow.,40,85
11:36,2261,Official TV Timeout,40,85
11:36,-1,Alex Stanley made Free Throw.,41,85
11:36,-1,Alex Stanley missed Free Throw.,41,85
11:36,2261,Kalin Fisher Defensive Rebound.,41,85
11:19,2261,Trey Carver Turnover.,41,85
11:02,-1,Jaelin Thomas missed Three Point Jumper.,41,85
11:02,2261,Eugene Marshall III Defensive Rebound.,41,85
10:41,2261,Kalin Fisher made Jumper.,41,87
10:29,-1,Grayson Tejeda missed Jumper.,41,87
10:29,2261,Austin Colbert Defensive Rebound.,41,87
10:24,2261,Austin Colbert Turnover.,41,87
10:15,-1,Maurice Anderson Turnover.,41,87
10:14,2261,Lysander Bracey Steal.,41,87
10:12,2261,Lysander Bracey made Dunk.,41,89
9:55,-1,Jaelin Thomas Turnover.,41,89
9:54,2261,Trey Carver Steal.,41,89
9:51,2261,Eugene Marshall III made Layup. Assisted by Kalin Fisher.,41,91
9:51,-1,Foul on Maurice Anderson.,41,91
9:51,2261,Eugene Marshall III made Free Throw.,41,92
9:37,-1,Maurice Anderson made Jumper.,43,92
9:17,2261,Austin Colbert missed Three Point Jumper.,43,92
9:17,2261,Kalin Fisher Offensive Rebound.,43,92
8:55,2261,Lysander Bracey made Three Point Jumper. Assisted by Kalin Fisher.,43,95
8:44,-1,Grayson Tejeda missed Layup.,43,95
8:44,2261,Austin Colbert Defensive Rebound.,43,95
8:33,2261,Kalin Fisher missed Layup.,43,95
8:33,2261,Austin Colbert Offensive Rebound.,43,95
8:31,2261,Austin Colbert made Two Point Tip Shot.,43,97
8:26,-1,Leander Williams missed Three Point Jumper.,43,97
8:26,2261,Trey Carver Defensive Rebound.,43,97
8:23,-1,Foul on Leander Williams.,43,97
8:23,2261,Trey Carver made Free Throw.,43,98
8:23,2261,Trey Carver made Free Throw.,43,99
8:08,-1,Jaelin Thomas missed Three Point Jumper.,43,99
8:08,2261,Kalin Fisher Defensive Rebound.,43,99
7:55,2261,Kalin Fisher Turnover.,43,99
7:55,2261,Foul on Lysander Bracey.,43,99
7:55,2261,Official TV Timeout,43,99
7:55,-1,DaQuon Copeland missed Free Throw.,43,99
7:55,2261,Austin Colbert Defensive Rebound.,43,99
7:41,2261,Lysander Bracey missed Three Point Jumper.,43,99
7:41,-1,Timothy DeLaRosa Defensive Rebound.,43,99
7:37,-1,DaQuon Copeland Turnover.,43,99
7:19,2261,Trey Houston missed Layup.,43,99
7:19,-1,Timothy DeLaRosa Block.,43,99
7:18,-1,Tyler Hendrix Defensive Rebound.,43,99
7:15,-1,Markel Ming missed Three Point Jumper.,43,99
7:15,-1,Mid-Atlantic Christian Offensive Rebound.,43,99
7:05,-1,Maurice Anderson missed Layup.,43,99
7:05,2261,Lysander Bracey Block.,43,99
7:03,2261,Trey Houston Defensive Rebound.,43,99
6:58,-1,Foul on Tyler Hendrix.,43,99
6:58,2261,Trey Carver missed Free Throw.,43,99
6:58,2261,Hampton Deadball Team Rebound.,43,99
6:58,2261,Trey Carver made Free Throw.,43,100
6:45,-1,Maurice Anderson Turnover.,43,100
6:44,2261,Trey Carver Steal.,43,100
6:43,2261,Trey Carver made Dunk.,43,102
6:29,2261,Foul on Eugene Marshall III.,43,102
6:29,-1,Markel Ming made Free Throw.,44,102
6:29,-1,Markel Ming made Free Throw.,45,102
6:25,2261,Austin Colbert made Dunk. Assisted by Trey Carver.,45,104
6:06,-1,Markel Ming missed Layup.,45,104
6:06,2261,Austin Colbert Block.,45,104
6:05,2261,Trey Carver Defensive Rebound.,45,104
6:02,2261,Eugene Marshall III made Layup. Assisted by Trey Carver.,45,106
6:02,-1,Foul on Tyler Hendrix.,45,106
6:02,2261,Eugene Marshall III missed Free Throw.,45,106
6:02,-1,Grayson Tejeda Defensive Rebound.,45,106
5:48,-1,Jaelin Thomas missed Three Point Jumper.,45,106
5:48,2261,Trey Houston Defensive Rebound.,45,106
5:36,2261,Eugene Marshall III missed Three Point Jumper.,45,106
5:36,-1,Markel Ming Defensive Rebound.,45,106
5:30,-1,Jaelin Thomas missed Jumper.,45,106
5:30,2261,Hampton Defensive Rebound.,45,106
5:18,2261,Trey Carver made Dunk.,45,108
4:56,-1,Grayson Tejeda made Layup. Assisted by Jonathan DeLaRosa.,47,108
4:24,2261,Austin Colbert made Layup. Assisted by Lysander Bracey.,47,110
4:12,-1,Jonathan DeLaRosa made Three Point Jumper. Assisted by Markel Ming.,50,110
4:00,-1,Foul on Grayson Tejeda.,50,110
3:59,2261,Trey Houston missed Free Throw.,50,110
3:59,2261,Hampton Deadball Team Rebound.,50,110
3:59,2261,Trey Houston made Free Throw.,50,111
3:45,-1,Markel Ming Turnover.,50,111
3:18,2261,Eugene Marshall III missed Three Point Jumper.,50,111
3:18,2261,Trey Carver Offensive Rebound.,50,111
3:18,-1,Foul on Markel Ming.,50,111
3:18,2261,Trey Carver made Free Throw.,50,112
3:18,2261,Trey Carver made Free Throw.,50,113
3:10,-1,Colin Cunningham missed Three Point Jumper.,50,113
3:10,2261,Trey Houston Defensive Rebound.,50,113
2:47,2261,Trey Houston missed Jumper.,50,113
2:47,-1,Jonathan DeLaRosa Defensive Rebound.,50,113
2:40,-1,Grayson Tejeda made Three Point Jumper. Assisted by Markel Ming.,53,113
2:11,2261,Austin Colbert missed Jumper.,53,113
2:11,2261,Trey Houston Offensive Rebound.,53,113
1:54,2261,Austin Colbert made Three Point Jumper. Assisted by Lysander Bracey.,53,116
1:40,-1,Markel Ming missed Three Point Jumper.,53,116
1:40,2261,Austin Colbert Defensive Rebound.,53,116
1:08,-1,Foul on Jonathan DeLaRosa.,53,116
1:08,2261,Trey Houston made Free Throw.,53,117
1:08,2261,Trey Houston missed Free Throw.,53,117
1:08,-1,Jonathan DeLaRosa Defensive Rebound.,53,117
0:57,-1,Jonathan DeLaRosa Turnover.,53,117
0:24,2261,Trey Houston missed Three Point Jumper.,53,117
0:24,2261,Eugene Marshall III Offensive Rebound.,53,117
0:22,2261,Hampton  Turnover.,53,117
0:14,2261,Foul on Eugene Marshall III.,53,117
0:11,-1,Grayson Tejeda made Free Throw.,54,117
0:00,-1,Grayson Tejeda missed Free Throw.,54,117
0:00,-1,Mid-Atlantic Christian Deadball Team Rebound.,54,117
0:00,2261,End of Game,54,117
