Southern Utah,2492,Pepperdine,253
14:24,253,Christian Musoko Defensive Rebound.,8,8
14:02,253,Jamal Aytes missed Jumper.,8,8
14:02,2492,Kameron Edwards Defensive Rebound.,8,8
13:54,2492,Trae Berhow made Three Point Jumper. Assisted by Kameron Edwards.,8,11
13:53,253,Foul on Brandon Better.,8,11
13:53,2492,Jade' Smith made Free Throw.,8,12
13:53,2492,Jade' Smith missed Free Throw.,8,12
13:53,253,Jamal Aytes Defensive Rebound.,8,12
13:40,2492,Foul on Nolan Taylor.,8,12
13:40,253,Jamal Aytes missed Free Throw.,8,12
13:40,253,Southern Utah Deadball Team Rebound.,8,12
13:40,253,Jamal Aytes made Free Throw.,9,12
13:34,2492,Foul on Darnell Dunn.,9,12
13:34,2492,Darnell Dunn Turnover.,9,12
13:21,2492,Foul on Darnell Dunn.,9,12
13:21,253,Jamal Aytes missed Free Throw.,9,12
13:21,253,Southern Utah Deadball Team Rebound.,9,12
13:21,253,Jamal Aytes made Free Throw.,10,12
13:05,2492,Nolan Taylor made Layup. Assisted by Darnell Dunn.,10,14
13:05,253,Foul on Christian Musoko.,10,14
13:05,2492,Nolan Taylor missed Free Throw.,10,14
13:05,253,Christian Musoko Defensive Rebound.,10,14
12:54,253,Brandon Better missed Jumper.,10,14
12:54,2492,Nolan Taylor Defensive Rebound.,10,14
12:42,2492,Nolan Taylor missed Three Point Jumper.,10,14
12:42,2492,Jade' Smith Offensive Rebound.,10,14
12:38,2492,Jade' Smith made Layup.,10,16
12:22,253,Dre Marin made Jumper.,12,16
12:01,2492,Darnell Dunn Turnover.,12,16
11:38,253,Christian Musoko made Jumper.,14,16
11:12,2492,Amadi Udenyi missed Jumper.,14,16
11:12,253,Dre Marin Defensive Rebound.,14,16
11:03,253,Matthew Johnson missed Three Point Jumper.,14,16
11:03,2492,Jade' Smith Defensive Rebound.,14,16
10:53,2492,Jade' Smith missed Jumper.,14,16
10:53,253,Southern Utah Defensive Rebound.,14,16
10:51,2492,Foul on Nolan Taylor.,14,16
10:51,2492,Official TV Timeout,14,16
10:39,253,James McGee Turnover.,14,16
10:39,2492,Jade' Smith Steal.,14,16
10:38,253,Foul on Christian Musoko.,14,16
10:38,2492,Jade' Smith missed Free Throw.,14,16
10:38,253,Jamal Aytes Defensive Rebound.,14,16
10:28,253,Dre Marin missed Layup.,14,16
10:28,2492,Jade' Smith Block.,14,16
10:28,253,Southern Utah Offensive Rebound.,14,16
10:11,253,Jamal Aytes made Jumper.,16,16
9:41,253,Foul on Dre Marin.,16,16
9:41,2492,Amadi Udenyi missed Free Throw.,16,16
9:41,2492,Pepperdine Deadball Team Rebound.,16,16
9:41,2492,Amadi Udenyi missed Free Throw.,16,16
9:41,253,Ivan Madunic Defensive Rebound.,16,16
9:25,253,Jadon Cohee missed Three Point Jumper.,16,16
9:25,2492,Jade' Smith Defensive Rebound.,16,16
9:17,2492,Knox Hellums missed Three Point Jumper.,16,16
9:17,253,Southern Utah Defensive Rebound.,16,16
8:56,253,Ivan Madunic missed Three Point Jumper.,16,16
8:56,2492,Pepperdine Defensive Rebound.,16,16
8:37,2492,Kameron Edwards Turnover.,16,16
8:22,253,Matthew Johnson made Three Point Jumper. Assisted by James McGee.,19,16
8:02,2492,Knox Hellums Turnover.,19,16
8:01,253,Matthew Johnson Steal.,19,16
7:49,253,Jadon Cohee missed Layup.,19,16
7:49,2492,Kameron Edwards Block.,19,16
7:47,2492,Colbey Ross Defensive Rebound.,19,16
7:43,2492,Knox Hellums missed Three Point Jumper.,19,16
7:43,253,Ivan Madunic Defensive Rebound.,19,16
7:35,253,Matthew Johnson missed Layup.,19,16
7:35,2492,Kameron Edwards Defensive Rebound.,19,16
7:18,2492,Foul on Harrison Meads.,19,16
7:18,2492,Harrison Meads Turnover.,19,16
7:18,2492,Official TV Timeout,19,16
6:49,253,Jadon Cohee Turnover.,19,16
6:48,2492,Kameron Edwards Steal.,19,16
6:46,2492,Kameron Edwards made Dunk.,19,18
6:32,253,Jamal Aytes made Jumper. Assisted by Brandon Better.,21,18
6:14,2492,Trae Berhow missed Jumper.,21,18
6:14,253,Jadon Cohee Defensive Rebound.,21,18
6:01,253,Brandon Better made Three Point Jumper. Assisted by Matthew Johnson.,24,18
5:43,2492,Matthew Atewe missed Layup.,24,18
5:43,253,Ivan Madunic Block.,24,18
5:42,2492,Matthew Atewe Offensive Rebound.,24,18
5:41,2492,Matthew Atewe missed Layup.,24,18
5:41,2492,Matthew Atewe Offensive Rebound.,24,18
5:40,253,Foul on Ivan Madunic.,24,18
5:40,2492,Matthew Atewe missed Free Throw.,24,18
5:40,2492,Pepperdine Deadball Team Rebound.,24,18
5:40,2492,Matthew Atewe made Free Throw.,24,19
5:15,253,Dre Marin missed Three Point Jumper.,24,19
5:15,253,Jamal Aytes Offensive Rebound.,24,19
5:11,2492,Foul on Matthew Atewe.,24,19
5:11,253,Jamal Aytes made Free Throw.,25,19
5:11,253,Jamal Aytes made Free Throw.,26,19
4:58,2492,Foul on Trae Berhow.,26,19
4:58,2492,Trae Berhow Turnover.,26,19
4:48,253,James McGee missed Three Point Jumper.,26,19
4:48,2492,Kameron Edwards Defensive Rebound.,26,19
4:39,2492,Kameron Edwards made Layup.,26,21
4:16,253,James McGee made Jumper.,28,21
3:53,2492,Colbey Ross made Jumper.,28,23
3:29,253,Jadon Cohee missed Jumper.,28,23
3:29,2492,Trae Berhow Defensive Rebound.,28,23
3:10,253,Foul on Matthew Johnson.,28,23
3:10,2492,Official TV Timeout,28,23
3:10,2492,Matthew Atewe missed Free Throw.,28,23
3:10,2492,Pepperdine Deadball Team Rebound.,28,23
3:10,2492,Matthew Atewe made Free Throw.,28,24
3:07,253,Southern Utah  Timeout,28,24
3:02,253,James McGee Turnover.,28,24
2:52,2492,Kameron Edwards Turnover.,28,24
2:41,253,Jamal Aytes made Layup. Assisted by Jadon Cohee.,30,24
2:24,2492,Jade' Smith made Jumper.,30,26
2:04,253,James McGee made Three Point Jumper. Assisted by Jadon Cohee.,33,26
1:42,2492,Darnell Dunn Turnover.,33,26
1:41,253,Jamal Aytes Steal.,33,26
1:37,253,James McGee missed Three Point Jumper.,33,26
1:37,2492,Jade' Smith Defensive Rebound.,33,26
1:29,253,Foul on James McGee.,33,26
1:29,2492,Jade' Smith missed Free Throw.,33,26
1:29,2492,Pepperdine Deadball Team Rebound.,33,26
1:29,2492,Jade' Smith made Free Throw.,33,27
1:20,253,James McGee missed Three Point Jumper.,33,27
1:20,2492,Harrison Meads Defensive Rebound.,33,27
1:00,2492,Kameron Edwards made Jumper. Assisted by Colbey Ross.,33,29
0:42,253,Jamal Aytes missed Jumper.,33,29
0:42,2492,Kameron Edwards Defensive Rebound.,33,29
0:34,2492,Colbey Ross missed Jumper.,33,29
0:34,253,James McGee Defensive Rebound.,33,29
0:04,2492,Foul on Colbey Ross.,33,29
0:04,253,Jadon Cohee made Free Throw.,34,29
0:04,2492,Pepperdine  Timeout,34,29
0:04,253,Jadon Cohee made Free Throw.,35,29
0:00,2492,Jade' Smith missed Three Point Jumper.,35,29
0:00,253,Southern Utah Defensive Rebound.,35,29
0:00,2492,End of 1st half,35,29
19:48,2492,Trae Berhow made Three Point Jumper. Assisted by Kameron Edwards.,35,32
19:27,253,Jacob Calloway made Three Point Jumper. Assisted by Jadon Cohee.,38,32
19:01,2492,Trae Berhow Turnover.,38,32
19:00,253,Dre Marin Steal.,38,32
18:47,253,James McGee made Three Point Jumper. Assisted by Jamal Aytes.,41,32
18:33,2492,Colbey Ross Turnover.,41,32
18:32,253,Jamal Aytes Steal.,41,32
18:29,253,Jamal Aytes made Layup.,43,32
17:56,2492,Amadi Udenyi made Layup.,43,34
17:30,253,James McGee made Three Point Jumper. Assisted by Dre Marin.,46,34
17:14,2492,Trae Berhow made Three Point Jumper. Assisted by Colbey Ross.,46,37
16:59,253,Dre Marin missed Layup.,46,37
16:59,2492,Kameron Edwards Defensive Rebound.,46,37
16:52,2492,Nolan Taylor made Layup. Assisted by Colbey Ross.,46,39
16:38,253,Matthew Johnson missed Three Point Jumper.,46,39
16:38,2492,Nolan Taylor Defensive Rebound.,46,39
16:27,2492,Kameron Edwards made Dunk. Assisted by Colbey Ross.,46,41
15:57,2492,Foul on Colbey Ross.,46,41
15:57,2492,Official TV Timeout,46,41
15:56,253,James McGee made Three Point Jumper. Assisted by Dre Marin.,49,41
15:32,253,Foul on James McGee.,49,41
15:32,2492,Amadi Udenyi made Free Throw.,49,42
15:32,2492,Amadi Udenyi made Free Throw.,49,43
15:08,253,Jadon Cohee made Jumper. Assisted by Dre Marin.,51,43
14:51,2492,Kameron Edwards made Layup. Assisted by Colbey Ross.,51,45
14:31,253,Ivan Madunic missed Three Point Jumper.,51,45
14:31,2492,Amadi Udenyi Defensive Rebound.,51,45
14:21,2492,Nolan Taylor missed Jumper.,51,45
14:21,253,Ivan Madunic Defensive Rebound.,51,45
14:07,253,Jadon Cohee missed Three Point Jumper.,51,45
14:07,253,Ivan Madunic Offensive Rebound.,51,45
14:03,253,Ivan Madunic missed Jumper.,51,45
14:03,2492,Kameron Edwards Block.,51,45
14:01,2492,Kameron Edwards Defensive Rebound.,51,45
13:46,2492,Kameron Edwards made Jumper. Assisted by Colbey Ross.,51,47
13:23,253,Dre Marin made Three Point Jumper.,54,47
13:09,2492,Trae Berhow missed Three Point Jumper.,54,47
13:09,253,Dre Marin Defensive Rebound.,54,47
13:03,253,James McGee missed Three Point Jumper.,54,47
13:03,2492,Kameron Edwards Defensive Rebound.,54,47
12:35,2492,Colbey Ross missed Layup.,54,47
12:35,2492,Nolan Taylor Offensive Rebound.,54,47
12:34,2492,Nolan Taylor made Layup.,54,49
12:10,253,Ivan Madunic made Three Point Jumper. Assisted by Jadon Cohee.,57,49
11:47,2492,Nolan Taylor made Three Point Jumper.,57,52
11:16,2492,Foul on Jade' Smith.,57,52
11:16,2492,Official TV Timeout,57,52
11:16,253,Jadon Cohee made Free Throw.,58,52
11:16,253,Jadon Cohee made Free Throw.,59,52
11:05,2492,Harrison Meads made Layup. Assisted by Colbey Ross.,59,54
10:44,253,Brandon Better made Three Point Jumper. Assisted by Christian Musoko.,62,54
10:30,2492,Colbey Ross missed Jumper.,62,54
10:30,253,Brandon Better Defensive Rebound.,62,54
10:13,2492,Foul on Harrison Meads.,62,54
10:06,253,Jadon Cohee missed Jumper.,62,54
10:06,2492,Amadi Udenyi Defensive Rebound.,62,54
10:03,253,Foul on Jamal Aytes.,62,54
9:45,253,Foul on Christian Musoko.,62,54
9:45,2492,Kameron Edwards missed Free Throw.,62,54
9:45,2492,Pepperdine Deadball Team Rebound.,62,54
9:45,2492,Kameron Edwards made Free Throw.,62,55
9:35,253,Dre Marin Turnover.,62,55
9:34,2492,Jade' Smith Steal.,62,55
9:28,2492,Trae Berhow made Three Point Jumper. Assisted by Amadi Udenyi.,62,58
9:15,253,Brandon Better missed Three Point Jumper.,62,58
9:15,2492,Pepperdine Defensive Rebound.,62,58
9:03,253,Foul on Ivan Madunic.,62,58
8:56,2492,Jade' Smith missed Layup.,62,58
8:56,253,Ivan Madunic Block.,62,58
8:56,2492,Kameron Edwards Offensive Rebound.,62,58
8:54,2492,Kameron Edwards made Layup.,62,60
8:36,253,Ivan Madunic missed Jumper.,62,60
8:36,253,Ivan Madunic Offensive Rebound.,62,60
8:34,2492,Foul on Trae Berhow.,62,60
8:20,2492,Foul on Jade' Smith.,62,60
8:20,253,Ivan Madunic made Free Throw.,63,60
8:20,253,Ivan Madunic missed Free Throw.,63,60
8:20,253,Southern Utah Deadball Team Rebound.,63,60
8:20,253,Ivan Madunic missed Free Throw.,63,60
8:20,2492,Knox Hellums Defensive Rebound.,63,60
8:01,2492,Harrison Meads made Dunk. Assisted by Amadi Udenyi.,63,62
8:01,253,Foul on Ivan Madunic.,63,62
8:01,2492,Harrison Meads missed Free Throw.,63,62
8:01,253,Dre Marin Defensive Rebound.,63,62
7:50,2492,Foul on Harrison Meads.,63,62
7:50,2492,Official TV Timeout,63,62
7:47,253,Matthew Johnson missed Three Point Jumper.,63,62
7:47,2492,Kameron Edwards Defensive Rebound.,63,62
7:33,253,Foul on Dre Marin.,63,62
7:33,2492,Foul on Kameron Edwards.,63,62
7:18,2492,Kameron Edwards made Layup.,63,64
6:52,253,Dre Marin made Three Point Jumper. Assisted by Jamal Aytes.,66,64
6:33,2492,Kameron Edwards missed Jumper.,66,64
6:33,2492,Harrison Meads Offensive Rebound.,66,64
6:32,2492,Harrison Meads made Two Point Tip Shot.,66,66
6:04,253,Brandon Better missed Layup.,66,66
6:04,253,Jamal Aytes Offensive Rebound.,66,66
6:02,253,Jamal Aytes made Layup.,68,66
5:45,253,Foul on James McGee.,68,66
5:45,2492,Harrison Meads missed Free Throw.,68,66
5:45,253,Southern Utah Defensive Rebound.,68,66
5:29,253,Dre Marin made Three Point Jumper. Assisted by James McGee.,71,66
5:17,2492,Colbey Ross made Jumper.,71,68
5:17,253,Foul on Christian Musoko.,71,68
5:17,2492,Colbey Ross missed Free Throw.,71,68
5:17,2492,Kameron Edwards Offensive Rebound.,71,68
5:15,2492,Kameron Edwards made Layup.,71,70
5:15,253,Foul on Dre Marin.,71,70
5:15,2492,Kameron Edwards made Free Throw.,71,71
4:46,253,Jamal Aytes made Layup. Assisted by James McGee.,73,71
4:34,2492,Colbey Ross missed Jumper.,73,71
4:34,253,Brandon Better Defensive Rebound.,73,71
4:28,253,Brandon Better missed Layup.,73,71
4:28,2492,Kameron Edwards Block.,73,71
4:27,253,Southern Utah Offensive Rebound.,73,71
4:26,253,Dre Marin made Three Point Jumper. Assisted by Brandon Better.,76,71
4:06,2492,Nolan Taylor made Jumper. Assisted by Colbey Ross.,76,73
3:44,253,Jamal Aytes missed Jumper.,76,73
3:44,2492,Kameron Edwards Defensive Rebound.,76,73
3:35,2492,Amadi Udenyi missed Jumper.,76,73
3:35,253,Jamal Aytes Defensive Rebound.,76,73
3:33,2492,Foul on Nolan Taylor.,76,73
3:33,2492,Official TV Timeout,76,73
3:33,253,Jamal Aytes made Free Throw.,77,73
3:33,253,Jamal Aytes made Free Throw.,78,73
3:14,2492,Kameron Edwards made Layup. Assisted by Nolan Taylor.,78,75
2:55,2492,Foul on Nolan Taylor.,78,75
2:55,253,James McGee missed Free Throw.,78,75
2:55,253,Southern Utah Deadball Team Rebound.,78,75
2:55,253,James McGee missed Free Throw.,78,75
2:55,2492,Nolan Taylor Defensive Rebound.,78,75
2:32,2492,Kameron Edwards Turnover.,78,75
2:31,253,Dre Marin Steal.,78,75
2:09,253,Jamal Aytes made Layup. Assisted by Dre Marin.,80,75
2:01,2492,Colbey Ross made Three Point Jumper.,80,78
2:00,2492,Pepperdine  Timeout,80,78
1:51,253,Foul on Jamal Aytes.,80,78
1:51,253,Jamal Aytes Turnover.,80,78
1:27,2492,Colbey Ross missed Jumper.,80,78
1:27,253,Jamal Aytes Defensive Rebound.,80,78
0:55,2492,Foul on Harrison Meads.,80,78
0:55,253,Dre Marin made Free Throw.,81,78
0:55,253,Dre Marin made Free Throw.,82,78
0:45,2492,Kameron Edwards missed Layup.,82,78
0:45,2492,Nolan Taylor Offensive Rebound.,82,78
0:42,2492,Nolan Taylor missed Layup.,82,78
0:42,253,Jamal Aytes Defensive Rebound.,82,78
0:39,2492,Foul on Kameron Edwards.,82,78
0:39,2492,Pepperdine  Timeout,82,78
0:39,253,Jamal Aytes made Free Throw.,83,78
0:39,253,Jamal Aytes made Free Throw.,84,78
0:28,2492,Colbey Ross Turnover.,84,78
0:27,253,Brandon Better Steal.,84,78
0:26,2492,Foul on Knox Hellums.,84,78
0:26,253,Brandon Better made Free Throw.,85,78
0:26,253,Brandon Better missed Free Throw.,85,78
0:26,2492,Kameron Edwards Defensive Rebound.,85,78
0:16,2492,Trae Berhow missed Three Point Jumper.,85,78
0:16,2492,Pepperdine Offensive Rebound.,85,78
0:15,253,Foul on James McGee.,85,78
0:15,2492,Knox Hellums made Free Throw.,85,79
0:15,2492,Knox Hellums made Free Throw.,85,80
0:14,2492,Foul on Colbey Ross.,85,80
0:14,253,Jadon Cohee made Free Throw.,86,80
0:14,253,Jadon Cohee made Free Throw.,87,80
0:06,2492,Colbey Ross made Layup.,87,82
0:04,2492,Foul on Trae Berhow.,87,82
0:04,253,Jadon Cohee missed Free Throw.,87,82
0:04,253,Southern Utah Deadball Team Rebound.,87,82
0:04,253,Jadon Cohee made Free Throw.,88,82
0:01,2492,Trae Berhow Turnover.,88,82
0:01,253,Brandon Better Steal.,88,82
0:00,2492,End of Game,88,82
