Vermont,257,Richmond,261
1:44,257,Grant Golden made Layup. Assisted by Julius Johnson.,30,25
1:24,261,Stef Smith missed Three Point Jumper.,30,25
1:24,257,Nick Sherod Defensive Rebound.,30,25
1:14,257,Grant Golden made Jumper. Assisted by Khwan Fore.,30,27
1:11,261,Vermont  Timeout,30,27
0:54,261,Payton Henson made Jumper. Assisted by Trae Bell-Haynes.,32,27
0:34,257,Grant Golden missed Layup.,32,27
0:34,261,Payton Henson Block.,32,27
0:30,261,Payton Henson Defensive Rebound.,32,27
0:05,261,Anthony Lamb missed Jumper.,32,27
0:05,257,Grant Golden Defensive Rebound.,32,27
0:04,261,Foul on Anthony Lamb.,32,27
0:00,257,Grant Golden missed Three Point Jumper.,32,27
0:00,261,Skyler Nash Defensive Rebound.,32,27
0:00,257,End of 1st half,32,27
19:30,261,Trae Bell-Haynes made Layup.,34,27
19:11,257,Nick Sherod made Three Point Jumper. Assisted by Grant Golden.,34,30
18:55,261,Payton Henson missed Layup.,34,30
18:55,257,Nick Sherod Defensive Rebound.,34,30
18:38,257,Nick Sherod made Three Point Jumper. Assisted by Khwan Fore.,34,33
18:29,261,Vermont  Timeout,34,33
18:11,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,37,33
17:48,257,Grant Golden missed Jumper.,37,33
17:48,261,Ernie Duncan Defensive Rebound.,37,33
17:40,257,Foul on Grant Golden.,37,33
17:30,261,Everett Duncan made Layup. Assisted by Trae Bell-Haynes.,39,33
16:56,257,De'Monte Buckingham made Layup.,39,35
16:51,261,Trae Bell-Haynes Turnover.,39,35
16:51,257,Jacob Gilyard Steal.,39,35
16:48,257,Khwan Fore missed Layup.,39,35
16:48,261,Payton Henson Defensive Rebound.,39,35
16:39,261,Everett Duncan missed Three Point Jumper.,39,35
16:39,257,Khwan Fore Defensive Rebound.,39,35
16:32,257,Nick Sherod made Three Point Jumper. Assisted by Khwan Fore.,39,38
16:05,257,Foul on Nick Sherod.,39,38
16:01,261,Anthony Lamb made Layup. Assisted by Ernie Duncan.,41,38
15:46,257,Jacob Gilyard missed Three Point Jumper.,41,38
15:46,261,Everett Duncan Defensive Rebound.,41,38
15:34,261,Trae Bell-Haynes missed Three Point Jumper.,41,38
15:34,257,Grant Golden Defensive Rebound.,41,38
15:16,257,Grant Golden made Jumper. Assisted by Jacob Gilyard.,41,40
14:52,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,44,40
14:31,257,Jacob Gilyard missed Jumper.,44,40
14:31,261,Trae Bell-Haynes Defensive Rebound.,44,40
14:25,261,Trae Bell-Haynes Turnover.,44,40
14:24,257,Jacob Gilyard Steal.,44,40
14:22,257,Jacob Gilyard made Layup.,44,42
13:53,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,47,42
13:25,261,Foul on Trae Bell-Haynes.,47,42
13:25,257,Official TV Timeout,47,42
13:25,257,Khwan Fore made Free Throw.,47,43
13:25,257,Khwan Fore missed Free Throw.,47,43
13:25,261,Payton Henson Defensive Rebound.,47,43
13:04,261,Cam Ward made Three Point Jumper. Assisted by Skyler Nash.,50,43
12:38,257,Khwan Fore made Jumper.,50,45
12:14,261,Skyler Nash missed Three Point Jumper.,50,45
12:14,257,Julius Johnson Defensive Rebound.,50,45
11:48,257,Grant Golden made Jumper.,50,47
11:33,261,Payton Henson made Layup. Assisted by Drew Urquhart.,52,47
11:33,257,Foul on Solly Stansbury.,52,47
11:33,257,Official TV Timeout,52,47
11:33,261,Payton Henson made Free Throw.,53,47
11:17,257,De'Monte Buckingham missed Three Point Jumper.,53,47
11:17,261,Anthony Lamb Defensive Rebound.,53,47
10:52,261,Cam Ward Turnover.,53,47
10:38,257,De'Monte Buckingham Turnover.,53,47
10:19,261,Skyler Nash missed Jumper.,53,47
10:19,257,Jordan Madrid-Andrews Block.,53,47
10:18,261,Trae Bell-Haynes Offensive Rebound.,53,47
10:15,257,Foul on Julius Johnson.,53,47
10:09,261,Drew Urquhart made Layup. Assisted by Cam Ward.,55,47
9:47,261,Foul on Cam Ward.,55,47
9:47,257,De'Monte Buckingham made Free Throw.,55,48
9:47,257,De'Monte Buckingham made Free Throw.,55,49
9:27,261,Anthony Lamb Turnover.,55,49
9:07,257,Grant Golden missed Jumper.,55,49
9:07,261,Cam Ward Defensive Rebound.,55,49
8:50,261,Cam Ward Turnover.,55,49
8:34,257,De'Monte Buckingham missed Jumper.,55,49
8:34,261,Ernie Duncan Defensive Rebound.,55,49
8:26,261,Ernie Duncan missed Three Point Jumper.,55,49
8:26,257,Khwan Fore Defensive Rebound.,55,49
8:17,257,Khwan Fore made Jumper.,55,51
7:44,261,Payton Henson missed Jumper.,55,51
7:44,257,Jacob Gilyard Defensive Rebound.,55,51
7:38,257,Jacob Gilyard made Three Point Jumper. Assisted by Grant Golden.,55,54
7:07,261,Trae Bell-Haynes Turnover.,55,54
7:07,257,Nick Sherod Steal.,55,54
7:07,261,Foul on Drew Urquhart.,55,54
7:07,257,Official TV Timeout,55,54
6:46,257,Khwan Fore missed Jumper.,55,54
6:46,261,Payton Henson Defensive Rebound.,55,54
6:29,257,Foul on Nick Sherod.,55,54
6:25,261,Trae Bell-Haynes missed Jumper.,55,54
6:25,257,De'Monte Buckingham Defensive Rebound.,55,54
6:14,257,Jacob Gilyard missed Three Point Jumper.,55,54
6:14,261,Anthony Lamb Defensive Rebound.,55,54
6:10,261,Anthony Lamb Turnover.,55,54
5:57,261,Foul on Everett Duncan.,55,54
5:57,257,Nick Sherod missed Free Throw.,55,54
5:57,257,Richmond Deadball Team Rebound.,55,54
5:57,257,Nick Sherod missed Free Throw.,55,54
5:57,261,Payton Henson Defensive Rebound.,55,54
5:35,261,Ernie Duncan made Three Point Jumper. Assisted by Payton Henson.,58,54
5:11,257,Khwan Fore missed Jumper.,58,54
5:11,261,Ernie Duncan Defensive Rebound.,58,54
4:56,257,Foul on De'Monte Buckingham.,58,54
4:56,261,Anthony Lamb made Free Throw.,59,54
4:56,261,Anthony Lamb made Free Throw.,60,54
4:41,257,De'Monte Buckingham Turnover.,60,54
4:40,261,Trae Bell-Haynes Steal.,60,54
4:27,261,Payton Henson missed Three Point Jumper.,60,54
4:27,257,De'Monte Buckingham Defensive Rebound.,60,54
4:20,257,Khwan Fore made Layup.,60,56
3:59,261,Trae Bell-Haynes missed Three Point Jumper.,60,56
3:59,261,Everett Duncan Offensive Rebound.,60,56
3:35,261,Ernie Duncan missed Three Point Jumper.,60,56
3:35,257,Grant Golden Defensive Rebound.,60,56
3:19,257,De'Monte Buckingham missed Jumper.,60,56
3:19,257,De'Monte Buckingham Offensive Rebound.,60,56
3:18,261,Foul on Ernie Duncan.,60,56
3:18,257,Official TV Timeout,60,56
3:18,257,De'Monte Buckingham made Free Throw.,60,57
3:18,257,De'Monte Buckingham made Free Throw.,60,58
2:55,261,Everett Duncan made Three Point Jumper. Assisted by Anthony Lamb.,63,58
2:35,257,De'Monte Buckingham made Three Point Jumper. Assisted by Jacob Gilyard.,63,61
1:58,261,Ernie Duncan made Layup.,65,61
1:49,257,Khwan Fore made Layup.,65,63
1:48,257,Richmond  Timeout,65,63
1:45,261,Vermont  Timeout,65,63
1:37,261,Anthony Lamb made Jumper. Assisted by Ernie Duncan.,67,63
1:05,257,De'Monte Buckingham Turnover.,67,63
1:05,257,Foul on De'Monte Buckingham.,67,63
0:34,261,Ernie Duncan missed Three Point Jumper.,67,63
0:34,257,Khwan Fore Defensive Rebound.,67,63
0:30,261,Foul on Trae Bell-Haynes.,67,63
0:30,257,Khwan Fore missed Free Throw.,67,63
0:30,257,Richmond Deadball Team Rebound.,67,63
0:30,257,Khwan Fore missed Free Throw.,67,63
0:30,261,Anthony Lamb Defensive Rebound.,67,63
0:28,257,Foul on De'Monte Buckingham.,67,63
0:28,261,Anthony Lamb missed Free Throw.,67,63
0:28,257,Grant Golden Defensive Rebound.,67,63
0:17,257,Khwan Fore missed Three Point Jumper.,67,63
0:17,261,Trae Bell-Haynes Defensive Rebound.,67,63
0:13,257,Foul on Grant Golden.,67,63
0:13,261,Trae Bell-Haynes made Free Throw.,68,63
0:13,261,Trae Bell-Haynes made Free Throw.,69,63
0:08,257,Nick Sherod missed Three Point Jumper.,69,63
0:08,257,Nathan Cayo Offensive Rebound.,69,63
0:04,257,Nathan Cayo made Jumper.,69,65
0:03,257,Richmond  Timeout,69,65
0:01,257,Foul on Nathan Cayo.,69,65
0:01,261,Ernie Duncan made Free Throw.,70,65
0:01,261,Ernie Duncan made Free Throw.,71,65
0:00,257,End of Game,71,65
