Illinois State,2440,Nevada,2287
19:38,2440,Jordan Caroline missed Layup.,36,51
19:38,2440,Kendall Stephens Offensive Rebound.,36,51
19:33,2440,Cody Martin made Jumper. Assisted by Caleb Martin.,36,53
19:14,2287,Phil Fayne made Jumper.,38,53
19:06,2440,Cody Martin missed Layup.,38,53
19:06,2287,Madison Williams Defensive Rebound.,38,53
18:52,2287,Phil Fayne missed Jumper.,38,53
18:52,2440,Caleb Martin Defensive Rebound.,38,53
18:38,2440,Lindsey Drew Turnover.,38,53
18:22,2287,Keyshawn Evans made Jumper.,40,53
18:11,2440,Cody Martin Turnover.,40,53
18:04,2287,Madison Williams Turnover.,40,53
17:56,2287,Foul on Madison Williams.,40,53
17:56,2440,Cody Martin made Free Throw.,40,54
17:56,2440,Cody Martin missed Free Throw.,40,54
17:56,2287,Taylor Bruninga Defensive Rebound.,40,54
17:39,2287,Phil Fayne made Jumper.,42,54
17:18,2440,Caleb Martin made Three Point Jumper. Assisted by Lindsey Drew.,42,57
17:02,2440,Foul on Jordan Caroline.,42,57
17:02,2287,Phil Fayne missed Free Throw.,42,57
17:02,2287,Illinois State Deadball Team Rebound.,42,57
17:02,2287,Phil Fayne made Free Throw.,43,57
16:49,2440,Lindsey Drew Turnover.,43,57
16:48,2287,Taylor Bruninga Steal.,43,57
16:43,2287,Keyshawn Evans missed Three Point Jumper.,43,57
16:43,2440,Cody Martin Defensive Rebound.,43,57
16:33,2287,Foul on Taylor Bruninga.,43,57
16:33,2440,Jordan Caroline missed Free Throw.,43,57
16:33,2440,Nevada Deadball Team Rebound.,43,57
16:33,2440,Jordan Caroline made Free Throw.,43,58
16:05,2287,Matt Hein missed Jumper.,43,58
16:05,2440,Cody Martin Defensive Rebound.,43,58
15:55,2287,Foul on William Tinsley.,43,58
15:55,2440,Official TV Timeout,43,58
15:40,2440,Caleb Martin missed Three Point Jumper.,43,58
15:40,2287,Jerron Martin Defensive Rebound.,43,58
15:28,2440,Foul on Kendall Stephens.,43,58
15:28,2287,Phil Fayne missed Free Throw.,43,58
15:28,2287,Illinois State Deadball Team Rebound.,43,58
15:28,2287,Phil Fayne made Free Throw.,44,58
15:15,2440,Caleb Martin Turnover.,44,58
14:54,2287,Phil Fayne made Layup.,46,58
14:38,2440,Jordan Caroline missed Jumper.,46,58
14:38,2287,Madison Williams Defensive Rebound.,46,58
14:32,2287,Madison Williams Turnover.,46,58
14:17,2440,Kendall Stephens Turnover.,46,58
14:17,2440,Foul on Kendall Stephens.,46,58
14:03,2287,Phil Fayne missed Jumper.,46,58
14:03,2440,Caleb Martin Defensive Rebound.,46,58
13:56,2440,Kendall Stephens made Jumper. Assisted by Caleb Martin.,46,60
13:26,2287,Matt Hein Turnover.,46,60
13:24,2440,Cody Martin Steal.,46,60
13:18,2440,Jordan Caroline made Layup. Assisted by Cody Martin.,46,62
12:58,2287,Jerron Martin made Jumper.,48,62
12:39,2440,Jordan Caroline made Dunk. Assisted by Josh Hall.,48,64
12:18,2287,Phil Fayne Turnover.,48,64
12:18,2287,Foul on Phil Fayne.,48,64
12:06,2440,Caleb Martin made Three Point Jumper. Assisted by Cody Martin.,48,67
11:57,2440,Foul on Caleb Martin.,48,67
11:57,2440,Official TV Timeout,48,67
11:54,2287,William Tinsley missed Three Point Jumper.,48,67
11:54,2440,Kendall Stephens Defensive Rebound.,48,67
11:44,2287,Foul on Taylor Bruninga.,48,67
11:42,2440,Cody Martin Turnover.,48,67
11:28,2287,Taylor Bruninga missed Three Point Jumper.,48,67
11:28,2440,Caleb Martin Defensive Rebound.,48,67
11:21,2440,Josh Hall missed Three Point Jumper.,48,67
11:21,2287,Illinois State Defensive Rebound.,48,67
10:56,2287,Jerron Martin made Layup.,50,67
10:56,2440,Foul on Josh Hall.,50,67
10:56,2287,Jerron Martin made Free Throw.,51,67
10:45,2440,Jordan Caroline made Layup. Assisted by Cody Martin.,51,69
10:45,2287,Foul on Luke Litwiller.,51,69
10:45,2440,Jordan Caroline made Free Throw.,51,70
10:29,2287,Keyshawn Evans missed Jumper.,51,70
10:29,2440,Caleb Martin Defensive Rebound.,51,70
10:20,2440,Josh Hall made Layup. Assisted by Hallice Cooke.,51,72
10:01,2287,William Tinsley Turnover.,51,72
9:40,2440,Cody Martin missed Jumper.,51,72
9:40,2440,Josh Hall Offensive Rebound.,51,72
9:35,2440,Josh Hall missed Layup.,51,72
9:35,2287,William Tinsley Defensive Rebound.,51,72
9:29,2287,Keyshawn Evans missed Jumper.,51,72
9:29,2440,Kendall Stephens Defensive Rebound.,51,72
9:17,2440,Josh Hall made Layup. Assisted by Cody Martin.,51,74
8:58,2287,Phil Fayne Turnover.,51,74
8:57,2440,Cody Martin Steal.,51,74
8:55,2287,Foul on Madison Williams.,51,74
8:55,2440,Technical Foul on Cody Martin.,51,74
8:55,2440,Foul on Cody Martin.,51,74
8:55,2287,Keyshawn Evans made Free Throw.,52,74
8:55,2287,Keyshawn Evans made Free Throw.,53,74
8:55,2440,Cody Martin made Free Throw.,53,75
8:55,2440,Cody Martin made Free Throw.,53,76
8:41,2287,Jerron Martin missed Three Point Jumper.,53,76
8:41,2440,Caleb Martin Defensive Rebound.,53,76
8:31,2440,Caleb Martin Turnover.,53,76
8:29,2287,Jerron Martin Steal.,53,76
8:26,2287,Phil Fayne made Layup. Assisted by Jerron Martin.,55,76
8:19,2440,Cody Martin made Layup.,55,78
8:02,2287,Phil Fayne missed Jumper.,55,78
8:02,2287,Illinois State Offensive Rebound.,55,78
7:46,2287,Matt Hein missed Three Point Jumper.,55,78
7:46,2440,Darien Williams Defensive Rebound.,55,78
7:28,2440,Darien Williams Turnover.,55,78
7:28,2440,Foul on Darien Williams.,55,78
7:28,2440,Official TV Timeout,55,78
7:19,2440,Foul on Hallice Cooke.,55,78
7:19,2287,Madison Williams made Free Throw.,56,78
7:19,2287,Madison Williams made Free Throw.,57,78
6:53,2440,Cody Martin missed Jumper.,57,78
6:53,2440,Darien Williams Offensive Rebound.,57,78
6:41,2287,Foul on Phil Fayne.,57,78
6:41,2440,Cody Martin missed Free Throw.,57,78
6:41,2440,Nevada Deadball Team Rebound.,57,78
6:41,2440,Cody Martin missed Free Throw.,57,78
6:41,2287,William Tinsley Defensive Rebound.,57,78
6:27,2287,Madison Williams missed Jumper.,57,78
6:27,2440,Cody Martin Defensive Rebound.,57,78
6:24,2287,Foul on William Tinsley.,57,78
6:24,2440,Cody Martin made Free Throw.,57,79
6:24,2440,Cody Martin made Free Throw.,57,80
6:11,2287,William Tinsley made Three Point Jumper. Assisted by Jerron Martin.,60,80
5:45,2440,Darien Williams Turnover.,60,80
5:45,2440,Foul on Darien Williams.,60,80
5:32,2287,Matt Hein missed Three Point Jumper.,60,80
5:32,2440,Darien Williams Defensive Rebound.,60,80
5:25,2287,Foul on Taylor Bruninga.,60,80
5:25,2440,Elijah Foster made Free Throw.,60,81
5:25,2440,Elijah Foster made Free Throw.,60,82
5:16,2287,Matt Hein Turnover.,60,82
5:05,2440,Darien Williams made Layup.,60,84
4:51,2287,Keyshawn Evans made Three Point Jumper. Assisted by Isaac Gassman.,63,84
4:39,2287,Foul on Isaac Gassman.,63,84
4:39,2440,Elijah Foster missed Free Throw.,63,84
4:39,2440,Nevada Deadball Team Rebound.,63,84
4:39,2440,Elijah Foster made Free Throw.,63,85
4:24,2287,Taylor Bruninga Turnover.,63,85
4:23,2440,Elijah Foster Steal.,63,85
4:19,2440,Hallice Cooke missed Three Point Jumper.,63,85
4:19,2440,Cody Martin Offensive Rebound.,63,85
4:14,2440,Hallice Cooke made Three Point Jumper. Assisted by Darien Williams.,63,88
3:57,2287,Taylor Bruninga missed Three Point Jumper.,63,88
3:57,2440,Darien Williams Defensive Rebound.,63,88
3:49,2440,Official TV Timeout,63,88
3:41,2440,Darien Williams made Layup.,63,90
3:27,2287,Matt Hein made Three Point Jumper.,66,90
3:14,2440,Hallice Cooke made Three Point Jumper. Assisted by Josh Hall.,66,93
3:01,2440,Foul on Hallice Cooke.,66,93
3:01,2287,Matt Hein missed Free Throw.,66,93
3:01,2287,Illinois State Deadball Team Rebound.,66,93
3:01,2287,Matt Hein missed Free Throw.,66,93
3:01,2440,Elijah Foster Defensive Rebound.,66,93
2:33,2440,Elijah Foster missed Jumper.,66,93
2:33,2287,Taylor Bruninga Defensive Rebound.,66,93
2:26,2287,Isaac Gassman made Jumper. Assisted by Matt Hein.,68,93
2:10,2440,Josh Hall Turnover.,68,93
2:10,2287,Luke Litwiller Steal.,68,93
1:56,2287,Taylor Bruninga missed Three Point Jumper.,68,93
1:56,2440,Josh Hall Defensive Rebound.,68,93
1:48,2440,Darien Williams missed Three Point Jumper.,68,93
1:48,2440,Josh Hall Offensive Rebound.,68,93
1:44,2440,Josh Hall made Jumper.,68,95
1:30,2287,Jerron Martin missed Three Point Jumper.,68,95
1:30,2440,Darien Williams Defensive Rebound.,68,95
1:13,2440,Hallice Cooke Turnover.,68,95
0:57,2287,Taylor Bruninga missed Layup.,68,95
0:57,2440,Josh Hall Defensive Rebound.,68,95
0:51,2440,Josh Hall Turnover.,68,95
0:51,2287,Isaac Gassman Steal.,68,95
0:26,2287,Isaac Gassman missed Three Point Jumper.,68,95
0:26,2287,Taylor Bruninga Offensive Rebound.,68,95
0:22,2287,Taylor Bruninga Turnover.,68,95
0:21,2440,Charlie Tooley Steal.,68,95
0:13,2440,Charlie Tooley made Three Point Jumper. Assisted by Hallice Cooke.,68,98
0:02,2287,Jerron Martin missed Three Point Jumper.,68,98
0:02,2440,Josh Hall Defensive Rebound.,68,98
0:00,2440,End of Game,68,98
