New Orleans,248,Houston,2443
1:07,248,Foul on Fabian White Jr..,27,36
1:07,2443,Travin Thibodeaux made Free Throw.,28,36
1:07,2443,Travin Thibodeaux made Free Throw.,29,36
0:42,248,Armoni Brooks Turnover.,29,36
0:41,2443,Michael Zeno Steal.,29,36
0:38,2443,Lamont Berzat made Layup. Assisted by Michael Zeno.,31,36
0:37,248,Houston  Timeout,31,36
0:10,248,Armoni Brooks missed Three Point Jumper.,31,36
0:10,248,Wes VanBeck Offensive Rebound.,31,36
0:04,248,Rob Gray made Layup.,31,38
0:00,248,End of 1st half,31,38
19:45,248,Wes VanBeck Turnover.,31,38
19:44,2443,Michael Zeno Steal.,31,38
19:18,2443,Bryson Robinson Turnover.,31,38
19:16,248,Wes VanBeck Steal.,31,38
19:15,248,Wes VanBeck missed Layup.,31,38
19:15,2443,Bryson Robinson Defensive Rebound.,31,38
19:15,248,Foul on Devin Davis.,31,38
18:54,2443,Michael Zeno missed Jumper.,31,38
18:54,2443,New Orleans Offensive Rebound.,31,38
18:52,248,Foul on Wes VanBeck.,31,38
18:41,248,Foul on Wes VanBeck.,31,38
18:41,2443,Michael Zeno missed Free Throw.,31,38
18:41,2443,New Orleans Deadball Team Rebound.,31,38
18:41,2443,Michael Zeno missed Free Throw.,31,38
18:41,248,Breaon Brady Defensive Rebound.,31,38
18:32,248,Devin Davis missed Layup.,31,38
18:32,2443,Michael Zeno Defensive Rebound.,31,38
18:19,2443,Michael Zeno made Layup.,33,38
17:55,248,Wes VanBeck missed Three Point Jumper.,33,38
17:55,2443,Troy Green Defensive Rebound.,33,38
17:45,2443,Troy Green made Layup.,35,38
17:26,2443,Foul on Troy Green.,35,38
17:20,248,Breaon Brady made Layup. Assisted by Rob Gray.,35,40
17:06,248,Foul on Breaon Brady.,35,40
16:51,2443,Bryson Robinson Turnover.,35,40
16:38,2443,Foul on Michael Zeno.,35,40
16:33,248,Foul on Breaon Brady.,35,40
16:33,248,Breaon Brady Turnover.,35,40
16:17,2443,Ezekiel Charles made Three Point Jumper. Assisted by Michael Zeno.,38,40
15:50,248,Rob Gray missed Jumper.,38,40
15:50,2443,Dionta Champion Defensive Rebound.,38,40
15:24,2443,Michael Zeno missed Jumper.,38,40
15:24,248,Galen Robinson Jr. Defensive Rebound.,38,40
15:14,248,Wes VanBeck Turnover.,38,40
15:14,2443,Official TV Timeout,38,40
14:56,2443,Makur Puou Turnover.,38,40
14:55,248,Nura Zanna Steal.,38,40
14:50,248,Wes VanBeck missed Three Point Jumper.,38,40
14:50,2443,Damion Rosser Defensive Rebound.,38,40
14:42,2443,Damion Rosser made Layup.,40,40
14:09,248,Houston  Turnover.,40,40
13:44,248,Foul on Nura Zanna.,40,40
13:40,2443,Travin Thibodeaux Turnover.,40,40
13:28,248,Rob Gray made Layup.,40,42
13:01,2443,Travin Thibodeaux missed Jumper.,40,42
13:01,248,Corey Davis Jr. Defensive Rebound.,40,42
12:53,248,Corey Davis Jr. missed Layup.,40,42
12:53,248,Nura Zanna Offensive Rebound.,40,42
12:48,2443,Foul on Bryson Robinson.,40,42
12:48,248,Fabian White Jr. made Free Throw.,40,43
12:48,248,Fabian White Jr. made Free Throw.,40,44
12:24,248,Foul on Fabian White Jr..,40,44
12:24,2443,Dionta Champion missed Free Throw.,40,44
12:24,2443,New Orleans Deadball Team Rebound.,40,44
12:24,2443,Dionta Champion made Free Throw.,41,44
12:03,248,Foul on Fabian White Jr..,41,44
12:03,248,Fabian White Jr. Turnover.,41,44
11:43,2443,Michael Zeno Turnover.,41,44
11:43,248,Official TV Timeout,41,44
11:33,248,Devin Davis made Dunk. Assisted by Rob Gray.,41,46
11:08,2443,Travin Thibodeaux made Dunk.,43,46
10:35,248,Nura Zanna made Jumper.,43,48
10:19,2443,Bryson Robinson made Three Point Jumper. Assisted by Travin Thibodeaux.,46,48
9:58,248,Devin Davis missed Jumper.,46,48
9:58,2443,Makur Puou Defensive Rebound.,46,48
9:49,2443,Travin Thibodeaux made Layup. Assisted by Troy Green.,48,48
9:43,248,Houston  Timeout,48,48
9:26,2443,Foul on Makur Puou.,48,48
9:26,248,Devin Davis missed Free Throw.,48,48
9:26,248,Houston Deadball Team Rebound.,48,48
9:26,248,Devin Davis missed Free Throw.,48,48
9:26,2443,Troy Green Defensive Rebound.,48,48
9:18,2443,Travin Thibodeaux Turnover.,48,48
9:17,248,Devin Davis Steal.,48,48
8:52,248,Devin Davis Turnover.,48,48
8:52,2443,Makur Puou Steal.,48,48
8:29,2443,Dionta Champion missed Layup.,48,48
8:29,2443,Troy Green Offensive Rebound.,48,48
8:25,2443,Troy Green missed Jumper.,48,48
8:25,248,Houston Defensive Rebound.,48,48
8:11,248,Corey Davis Jr. made Three Point Jumper. Assisted by Rob Gray.,48,51
7:50,2443,Foul on Makur Puou.,48,51
7:50,2443,Makur Puou Turnover.,48,51
7:50,248,Official TV Timeout,48,51
7:34,248,Armoni Brooks missed Three Point Jumper.,48,51
7:34,2443,Troy Green Defensive Rebound.,48,51
7:25,2443,Bryson Robinson missed Three Point Jumper.,48,51
7:25,248,Devin Davis Defensive Rebound.,48,51
7:02,248,Rob Gray missed Three Point Jumper.,48,51
7:02,2443,Ezekiel Charles Defensive Rebound.,48,51
6:43,2443,Troy Green missed Layup.,48,51
6:43,248,Breaon Brady Defensive Rebound.,48,51
6:33,248,Corey Davis Jr. made Three Point Jumper. Assisted by Rob Gray.,48,54
6:16,2443,Michael Zeno missed Jumper.,48,54
6:16,248,Breaon Brady Defensive Rebound.,48,54
6:04,248,Armoni Brooks made Three Point Jumper. Assisted by Rob Gray.,48,57
5:36,2443,Travin Thibodeaux Turnover.,48,57
5:35,248,Armoni Brooks Steal.,48,57
5:16,248,Armoni Brooks made Three Point Jumper. Assisted by Fabian White Jr..,48,60
5:06,2443,New Orleans  Timeout,48,60
4:39,2443,Troy Green made Jumper.,50,60
4:22,248,Rob Gray missed Jumper.,50,60
4:22,248,Corey Davis Jr. Offensive Rebound.,50,60
4:09,248,Rob Gray missed Jumper.,50,60
4:09,2443,Ezekiel Charles Defensive Rebound.,50,60
3:58,2443,Travin Thibodeaux made Three Point Jumper. Assisted by Troy Green.,53,60
3:32,248,Fabian White Jr. Turnover.,53,60
3:32,248,Official TV Timeout,53,60
3:09,2443,Ezekiel Charles missed Three Point Jumper.,53,60
3:09,248,Devin Davis Defensive Rebound.,53,60
2:49,2443,Foul on Troy Green.,53,60
2:49,248,Rob Gray made Free Throw.,53,61
2:49,248,Rob Gray made Free Throw.,53,62
2:36,2443,Travin Thibodeaux made Jumper.,55,62
2:19,248,Rob Gray missed Jumper.,55,62
2:19,2443,Makur Puou Defensive Rebound.,55,62
2:17,248,Foul on Breaon Brady.,55,62
2:17,2443,Makur Puou made Free Throw.,56,62
2:17,2443,Makur Puou made Free Throw.,57,62
2:03,248,Armoni Brooks made Three Point Jumper. Assisted by Fabian White Jr..,57,65
1:53,2443,Travin Thibodeaux missed Three Point Jumper.,57,65
1:53,2443,Makur Puou Offensive Rebound.,57,65
1:45,2443,Troy Green missed Jumper.,57,65
1:45,248,Devin Davis Defensive Rebound.,57,65
1:14,248,Rob Gray made Layup.,57,67
1:04,2443,New Orleans  Timeout,57,67
0:56,2443,Troy Green made Jumper.,59,67
0:48,2443,Foul on Makur Puou.,59,67
0:48,248,Rob Gray made Free Throw.,59,68
0:48,248,Rob Gray made Free Throw.,59,69
0:39,2443,Bryson Robinson made Three Point Jumper. Assisted by Troy Green.,62,69
0:38,2443,New Orleans  Timeout,62,69
0:28,2443,Foul on Michael Zeno.,62,69
0:28,248,Rob Gray made Free Throw.,62,70
0:28,248,Rob Gray made Free Throw.,62,71
0:20,2443,Troy Green made Jumper.,64,71
0:20,248,Foul on Wes VanBeck.,64,71
0:20,2443,Troy Green missed Free Throw.,64,71
0:20,248,Fabian White Jr. Defensive Rebound.,64,71
0:18,2443,Foul on Travin Thibodeaux.,64,71
0:18,248,Fabian White Jr. made Free Throw.,64,72
0:18,248,Fabian White Jr. made Free Throw.,64,73
0:10,2443,Troy Green made Jumper.,66,73
0:09,2443,Foul on Lamont Berzat.,66,73
0:09,248,Rob Gray made Free Throw.,66,74
0:09,248,Rob Gray made Free Throw.,66,75
0:04,2443,Bryson Robinson missed Three Point Jumper.,66,75
0:04,248,Fabian White Jr. Defensive Rebound.,66,75
0:00,248,End of Game,66,75
