Florida A&amp;M,251,Texas,50
10:05,251,Royce Hamm Jr. made Free Throw.,15,23
10:05,251,Royce Hamm Jr. missed Free Throw.,15,23
10:05,50,Isaiah Martin Defensive Rebound.,15,23
9:41,50,Kamron Reaves Turnover.,15,23
9:32,251,Mohamed Bamba made Jumper.,15,25
9:32,50,Foul on Craig Bowman.,15,25
9:32,251,Mohamed Bamba missed Free Throw.,15,25
9:30,50,Isaiah Martin Defensive Rebound.,15,25
9:05,251,Foul on Kerwin Roach II.,15,25
8:58,50,Desmond Williams missed Layup.,15,25
8:58,50,Nasir Core Offensive Rebound.,15,25
8:35,50,Kamron Reaves missed Jumper.,15,25
8:35,251,Texas Defensive Rebound.,15,25
8:22,251,Matt Coleman Turnover.,15,25
8:17,50,Desmond Williams missed Jumper.,15,25
8:17,251,Royce Hamm Jr. Block.,15,25
8:15,50,Isaiah Martin Offensive Rebound.,15,25
8:12,50,Isaiah Martin missed Jumper.,15,25
8:12,251,Mohamed Bamba Block.,15,25
8:11,251,Eric Davis Jr. Defensive Rebound.,15,25
7:51,251,Mohamed Bamba made Jumper.,15,27
7:41,50,Craig Bowman missed Three Point Jumper.,15,27
7:41,50,Craig Bowman Offensive Rebound.,15,27
7:20,50,Craig Bowman made Layup.,17,27
6:57,251,Andrew Jones made Jumper.,17,29
6:40,251,Official TV Timeout,17,29
6:40,251,Official TV Timeout,17,29
6:40,251,Foul on Eric Davis Jr..,17,29
6:40,251,Official TV Timeout,17,29
6:24,50,Foul on Nasir Core.,17,29
6:24,50,Nasir Core Turnover.,17,29
6:07,251,Kerwin Roach II missed Three Point Jumper.,17,29
6:07,50,Nasir Core Defensive Rebound.,17,29
5:45,50,Desmond Williams made Jumper.,19,29
5:27,251,Jase Febres missed Three Point Jumper.,19,29
5:27,251,Dylan Osetkowski Offensive Rebound.,19,29
5:24,251,Dylan Osetkowski missed Jumper.,19,29
5:24,251,Kerwin Roach II Offensive Rebound.,19,29
5:05,50,Foul on Craig Bowman.,19,29
5:05,251,Dylan Osetkowski made Free Throw.,19,30
5:05,251,Dylan Osetkowski made Free Throw.,19,31
4:48,50,Isaiah Martin missed Jumper.,19,31
4:48,251,Dylan Osetkowski Defensive Rebound.,19,31
4:32,251,Jericho Sims missed Jumper.,19,31
4:32,251,Dylan Osetkowski Offensive Rebound.,19,31
4:29,50,Foul on Desmond Williams.,19,31
4:29,251,Dylan Osetkowski missed Free Throw.,19,31
4:29,251,Texas Deadball Team Rebound.,19,31
4:29,251,Dylan Osetkowski made Free Throw.,19,32
4:17,251,Foul on Jase Febres.,19,32
4:17,50,Elijah Mayes made Free Throw.,20,32
4:17,50,Elijah Mayes made Free Throw.,21,32
3:46,251,Dylan Osetkowski missed Three Point Jumper.,21,32
3:46,251,Mohamed Bamba Offensive Rebound.,21,32
3:31,251,Mohamed Bamba missed Jumper.,21,32
3:31,251,Mohamed Bamba Offensive Rebound.,21,32
3:29,251,Mohamed Bamba missed Jumper.,21,32
3:29,50,Marcus Barham Defensive Rebound.,21,32
3:02,50,Marcus Barham missed Jumper.,21,32
3:02,251,Jericho Sims Defensive Rebound.,21,32
2:46,251,Jericho Sims missed Dunk.,21,32
2:46,251,Mohamed Bamba Offensive Rebound.,21,32
2:45,50,Foul on Marcus Barham.,21,32
2:45,251,Official TV Timeout,21,32
2:45,251,Mohamed Bamba made Free Throw.,21,33
2:45,251,Mohamed Bamba missed Free Throw.,21,33
2:45,50,Isaiah Martin Defensive Rebound.,21,33
2:44,251,Foul on Jericho Sims.,21,33
2:19,50,Marcus Barham missed Three Point Jumper.,21,33
2:19,251,Eric Davis Jr. Defensive Rebound.,21,33
2:12,251,Eric Davis Jr. made Layup.,21,35
1:57,50,Javonni Harrell Turnover.,21,35
1:56,251,Eric Davis Jr. Steal.,21,35
1:29,251,Eric Davis Jr. missed Three Point Jumper.,21,35
1:29,50,Nick Severado Defensive Rebound.,21,35
1:21,50,Marcus Barham made Three Point Jumper. Assisted by Nick Severado.,24,35
0:57,251,Eric Davis Jr. missed Three Point Jumper.,24,35
0:57,251,Dylan Osetkowski Offensive Rebound.,24,35
0:53,251,Dylan Osetkowski missed Jumper.,24,35
0:53,50,Marcus Barham Defensive Rebound.,24,35
0:37,50,Isaiah Martin made Layup. Assisted by Nick Severado.,26,35
0:37,251,Foul on Jericho Sims.,26,35
0:37,50,Isaiah Martin missed Free Throw.,26,35
0:37,251,Jacob Young Defensive Rebound.,26,35
0:18,251,James Banks III Turnover.,26,35
0:01,50,Elijah Mayes missed Jumper.,26,35
0:01,251,Texas Deadball Team Rebound.,26,35
0:01,251,Texas  Timeout,26,35
0:01,251,Jericho Sims Turnover.,26,35
0:00,251,End of 1st half,26,35
19:44,50,Marcus Barham missed Jumper.,26,35
19:44,251,Mohamed Bamba Defensive Rebound.,26,35
19:17,251,Dylan Osetkowski Turnover.,26,35
19:16,50,Isaiah Martin Steal.,26,35
19:09,50,Elijah Mayes made Jumper.,28,35
19:00,251,Mohamed Bamba Turnover.,28,35
18:43,50,Desmond Williams Turnover.,28,35
18:38,251,Andrew Jones made Dunk.,28,37
18:06,50,Marcus Barham Turnover.,28,37
18:05,251,Kerwin Roach II Steal.,28,37
17:53,50,Foul on Elijah Mayes.,28,37
17:47,251,Dylan Osetkowski made Dunk.,28,39
17:14,50,Desmond Williams Turnover.,28,39
17:09,251,Andrew Jones made Layup.,28,41
17:09,50,Foul on Marcus Barham.,28,41
17:09,251,Andrew Jones missed Free Throw.,28,41
17:09,50,Desmond Williams Defensive Rebound.,28,41
17:00,50,Brendon Myles missed Layup.,28,41
17:00,50,Florida A&M Offensive Rebound.,28,41
16:55,50,Marcus Barham made Three Point Jumper. Assisted by Brendon Myles.,31,41
16:53,251,Texas  Timeout,31,41
16:53,251,Official TV Timeout,31,41
16:36,251,Dylan Osetkowski made Layup.,31,43
16:14,50,Desmond Williams made Three Point Jumper.,34,43
15:45,251,Kerwin Roach II made Three Point Jumper. Assisted by Matt Coleman.,34,46
15:20,50,Marcus Barham missed Jumper.,34,46
15:20,251,Mohamed Bamba Block.,34,46
15:18,50,Isaiah Martin Offensive Rebound.,34,46
15:16,50,Isaiah Martin made Jumper.,36,46
15:08,251,Dylan Osetkowski made Layup.,36,48
14:36,50,Marcus Barham Turnover.,36,48
14:36,251,Official TV Timeout,36,48
14:27,251,Mohamed Bamba missed Jumper.,36,48
14:27,251,Jericho Sims Offensive Rebound.,36,48
14:24,251,Jericho Sims made Jumper.,36,50
14:10,50,Isaiah Martin made Dunk. Assisted by Elijah Mayes.,38,50
13:51,251,Andrew Jones missed Three Point Jumper.,38,50
13:51,50,Isaiah Martin Defensive Rebound.,38,50
13:41,50,Desmond Williams made Dunk. Assisted by Elijah Mayes.,40,50
13:27,50,Foul on Elijah Mayes.,40,50
13:15,251,Matt Coleman made Jumper.,40,52
12:47,50,Desmond Williams Turnover.,40,52
12:46,251,Kerwin Roach II Steal.,40,52
12:23,251,Dylan Osetkowski made Dunk. Assisted by Matt Coleman.,40,54
11:51,50,Marcus Barham missed Layup.,40,54
11:51,251,James Banks III Block.,40,54
11:50,50,Isaiah Martin Offensive Rebound.,40,54
11:50,251,Foul on James Banks III.,40,54
11:50,251,Official TV Timeout,40,54
11:50,50,Isaiah Martin missed Free Throw.,40,54
11:50,50,Florida A&M Deadball Team Rebound.,40,54
11:50,50,Isaiah Martin made Free Throw.,41,54
11:43,50,Foul on Kamron Reaves.,41,54
11:30,251,Dylan Osetkowski made Layup. Assisted by Kerwin Roach II.,41,56
11:12,50,Desmond Williams made Jumper.,43,56
10:50,251,Dylan Osetkowski made Layup.,43,58
10:23,50,Desmond Williams missed Jumper.,43,58
10:23,251,James Banks III Defensive Rebound.,43,58
10:17,251,Kerwin Roach II made Layup.,43,60
10:17,50,Foul on Kamron Reaves.,43,60
10:17,251,Kerwin Roach II missed Free Throw.,43,60
10:17,50,Desmond Williams Defensive Rebound.,43,60
9:55,251,Foul on James Banks III.,43,60
9:55,50,Desmond Williams missed Free Throw.,43,60
9:55,50,Florida A&M Deadball Team Rebound.,43,60
9:55,50,Desmond Williams made Free Throw.,44,60
9:35,251,Jase Febres missed Three Point Jumper.,44,60
9:35,251,Mohamed Bamba Offensive Rebound.,44,60
9:17,251,Andrew Jones made Three Point Jumper. Assisted by Kerwin Roach II.,44,63
9:06,251,Foul on Andrew Jones.,44,63
8:50,251,Foul on James Banks III.,44,63
8:47,50,Marcus Barham missed Three Point Jumper.,44,63
8:47,251,Jase Febres Defensive Rebound.,44,63
8:40,251,Andrew Jones made Layup. Assisted by Jase Febres.,44,65
8:17,50,Kamron Reaves made Three Point Jumper. Assisted by Marcus Barham.,47,65
7:55,251,Kerwin Roach II made Layup.,47,67
7:40,50,Isaiah Martin made Layup. Assisted by Desmond Williams.,49,67
7:29,251,Mohamed Bamba missed Three Point Jumper.,49,67
7:29,50,Kamron Reaves Defensive Rebound.,49,67
7:08,50,Desmond Williams made Layup.,51,67
6:48,251,James Banks III missed Jumper.,51,67
6:48,50,Kamron Reaves Defensive Rebound.,51,67
6:42,251,Foul on James Banks III.,51,67
6:42,251,Official TV Timeout,51,67
6:42,50,Isaiah Martin made Free Throw.,52,67
6:42,50,Isaiah Martin made Free Throw.,53,67
6:18,251,Eric Davis Jr. Turnover.,53,67
6:05,50,Nick Severado missed Jumper.,53,67
6:05,50,Isaiah Martin Offensive Rebound.,53,67
6:01,50,Isaiah Martin missed Jumper.,53,67
6:01,251,Jericho Sims Defensive Rebound.,53,67
5:57,50,Foul on Kamron Reaves.,53,67
5:44,251,Eric Davis Jr. made Layup.,53,69
5:24,50,Isaiah Martin missed Jumper.,53,69
5:24,251,Mohamed Bamba Block.,53,69
5:21,251,Jericho Sims Defensive Rebound.,53,69
5:18,251,Jacob Young made Layup.,53,71
5:12,50,Kamron Reaves Turnover.,53,71
5:11,251,Mohamed Bamba Steal.,53,71
5:04,251,Jase Febres missed Layup.,53,71
5:04,50,Marcus Barham Defensive Rebound.,53,71
4:43,251,Foul on Jase Febres.,53,71
4:25,50,Desmond Williams missed Three Point Jumper.,53,71
4:25,251,Jase Febres Defensive Rebound.,53,71
4:13,251,Mohamed Bamba made Three Point Jumper. Assisted by Jase Febres.,53,74
3:58,251,Foul on Jericho Sims.,53,74
3:58,251,Official TV Timeout,53,74
3:58,50,Nick Severado missed Free Throw.,53,74
3:58,251,Royce Hamm Jr. Defensive Rebound.,53,74
3:56,50,Foul on Desmond Williams.,53,74
3:56,251,Royce Hamm Jr. missed Free Throw.,53,74
3:56,50,Nick Severado Defensive Rebound.,53,74
3:35,251,Foul on Jacob Young.,53,74
3:35,50,Craig Bowman made Free Throw.,54,74
3:35,50,Craig Bowman missed Free Throw.,54,74
3:35,251,Jericho Sims Defensive Rebound.,54,74
3:17,50,Foul on Marcus Barham.,54,74
3:17,251,Royce Hamm Jr. made Free Throw.,54,75
3:17,251,Royce Hamm Jr. made Free Throw.,54,76
3:04,50,Desmond Williams missed Jumper.,54,76
3:04,50,Florida A&M Offensive Rebound.,54,76
2:53,251,Foul on Jase Febres.,54,76
2:53,50,Craig Bowman missed Free Throw.,54,76
2:53,251,Royce Hamm Jr. Defensive Rebound.,54,76
2:44,251,James Banks III missed Jumper.,54,76
2:44,251,Royce Hamm Jr. Offensive Rebound.,54,76
2:42,251,Royce Hamm Jr. made Jumper.,54,78
2:13,50,Florida A&M  Timeout,54,78
2:11,50,Florida A&M  Turnover.,54,78
1:50,251,Official TV Timeout,40,54
1:42,251,Eric Davis Jr. made Layup.,54,80
1:20,50,Craig Bowman missed Three Point Jumper.,54,80
1:20,251,Texas Defensive Rebound.,54,80
1:02,251,Ryan McClurg made Layup.,54,82
0:30,50,Desmond Williams made Jumper.,56,82
0:06,50,Foul on Elijah Mayes.,56,82
0:06,251,Joe Schwartz missed Free Throw.,56,82
0:06,50,Desmond Williams Defensive Rebound.,56,82
0:05,251,Foul on Joe Schwartz.,56,82
0:05,50,Desmond Williams made Free Throw.,57,82
0:05,50,Desmond Williams made Free Throw.,58,82
0:00,251,End of Game,58,82
