American,2598,St. Francis (PA),44
9:12,44,James Washington Turnover.,19,28
9:11,2598,Andre Wolford Steal.,19,28
9:07,2598,Mark Flagg made Layup. Assisted by Scott Meredith.,19,30
8:44,44,Sa'eed Nelson missed Layup.,19,30
8:44,2598,Scott Meredith Defensive Rebound.,19,30
8:38,2598,Andre Wolford made Three Point Jumper. Assisted by Scott Meredith.,19,33
8:29,44,American  Timeout,19,33
8:29,2598,Official TV Timeout,19,33
8:09,44,Sa'eed Nelson missed Layup.,19,33
8:09,44,Jesse Little Offensive Rebound.,19,33
8:06,44,Marvin Bragg missed Three Point Jumper.,19,33
8:06,2598,Malik Harmon Defensive Rebound.,19,33
7:49,44,Foul on Jesse Little.,19,33
7:49,2598,Randall Gaskins Jr. made Free Throw.,19,34
7:49,2598,Randall Gaskins Jr. missed Free Throw.,19,34
7:49,44,Marvin Bragg Defensive Rebound.,19,34
7:33,44,Jesse Little Turnover.,19,34
7:32,2598,Keith Braxton Steal.,19,34
7:28,2598,Mark Flagg made Layup. Assisted by Keith Braxton.,19,36
7:07,2598,Foul on Keith Braxton.,19,36
7:07,44,Jesse Little missed Free Throw.,19,36
7:07,44,American Offensive Rebound.,19,36
6:46,44,Cheikh Diallo Turnover.,19,36
6:43,2598,Randall Gaskins Jr. Steal.,19,36
6:41,2598,Randall Gaskins Jr. made Layup.,19,38
6:27,44,Larry Motuzis made Three Point Jumper. Assisted by Cheikh Diallo.,22,38
6:00,2598,Scott Meredith missed Three Point Jumper.,22,38
6:00,44,Larry Motuzis Block.,22,38
6:00,44,Sa'eed Nelson Defensive Rebound.,22,38
5:55,2598,Foul on Deivydas Kuzavas.,22,38
5:54,44,Sa'eed Nelson missed Free Throw.,22,38
5:54,44,American Deadball Team Rebound.,22,38
5:54,44,Sa'eed Nelson made Free Throw.,23,38
5:43,2598,Randall Gaskins Jr. made Jumper. Assisted by Keith Braxton.,23,40
5:25,44,Larry Motuzis missed Layup.,23,40
5:25,44,Jesse Little Offensive Rebound.,23,40
5:14,44,Marvin Bragg made Three Point Jumper. Assisted by Sa'eed Nelson.,26,40
4:57,2598,Jamaal King made Three Point Jumper. Assisted by Andre Wolford.,26,43
4:27,44,Cheikh Diallo made Layup.,28,43
4:17,44,Foul on Marvin Bragg.,28,43
4:17,2598,Keith Braxton made Free Throw.,28,44
4:17,2598,Keith Braxton made Free Throw.,28,45
3:58,44,Sa'eed Nelson missed Layup.,28,45
3:58,2598,Scott Meredith Defensive Rebound.,28,45
3:50,2598,Scott Meredith Turnover.,28,45
3:50,2598,Official TV Timeout,28,45
3:27,44,Matt Cimino missed Three Point Jumper.,28,45
3:27,2598,Keith Braxton Defensive Rebound.,28,45
3:13,2598,Scott Meredith missed Three Point Jumper.,28,45
3:13,44,Jesse Little Defensive Rebound.,28,45
3:11,2598,Foul on Mark Flagg.,28,45
3:11,44,Jesse Little made Free Throw.,29,45
3:11,44,Jesse Little made Free Throw.,30,45
2:47,2598,Malik Harmon missed Three Point Jumper.,30,45
2:47,2598,Deivydas Kuzavas Offensive Rebound.,30,45
2:41,2598,Deivydas Kuzavas missed Layup.,30,45
2:41,2598,Randall Gaskins Jr. Offensive Rebound.,30,45
2:36,2598,Randall Gaskins Jr. made Layup.,30,47
2:19,44,Cheikh Diallo made Three Point Jumper. Assisted by Sa'eed Nelson.,33,47
1:59,2598,Scott Meredith missed Three Point Jumper.,33,47
1:59,44,Cheikh Diallo Defensive Rebound.,33,47
1:47,44,Matt Cimino Turnover.,33,47
1:46,2598,Scott Meredith Steal.,33,47
1:43,2598,Scott Meredith Turnover.,33,47
1:41,44,Cheikh Diallo Steal.,33,47
1:39,44,Matt Cimino made Layup. Assisted by Cheikh Diallo.,35,47
1:24,2598,Keith Braxton made Three Point Jumper. Assisted by Malik Harmon.,35,50
0:50,2598,Foul on Deivydas Kuzavas.,35,50
0:50,44,Sa'eed Nelson made Free Throw.,36,50
0:50,44,Sa'eed Nelson missed Free Throw.,36,50
0:50,2598,Deivydas Kuzavas Defensive Rebound.,36,50
0:42,2598,Jamaal King missed Three Point Jumper.,36,50
0:42,44,American Defensive Rebound.,36,50
0:18,44,Matt Cimino made Three Point Jumper.,39,50
0:03,2598,Deivydas Kuzavas made Layup. Assisted by Jamaal King.,39,52
0:00,2598,End of 1st half,39,52
19:46,44,Larry Motuzis made Layup.,41,52
19:35,2598,Andre Wolford missed Three Point Jumper.,41,52
19:35,2598,Deivydas Kuzavas Offensive Rebound.,41,52
19:31,44,Foul on Jesse Little.,41,52
19:23,2598,Randall Gaskins Jr. made Layup.,41,54
19:04,44,Sa'eed Nelson missed Jumper.,41,54
19:04,2598,Keith Braxton Defensive Rebound.,41,54
18:48,2598,Randall Gaskins Jr. made Jumper.,41,56
18:23,44,Larry Motuzis missed Three Point Jumper.,41,56
18:23,2598,Andre Wolford Defensive Rebound.,41,56
18:15,2598,Jamaal King made Three Point Jumper.,41,59
17:55,44,Marvin Bragg missed Three Point Jumper.,41,59
17:55,2598,Jamaal King Defensive Rebound.,41,59
17:35,2598,Jamaal King made Three Point Jumper.,41,62
17:17,44,Sa'eed Nelson missed Layup.,41,62
17:17,2598,Keith Braxton Defensive Rebound.,41,62
17:11,2598,Keith Braxton Turnover.,41,62
17:08,44,Cheikh Diallo Steal.,41,62
17:03,44,Cheikh Diallo made Layup.,43,62
16:34,2598,Deivydas Kuzavas made Layup. Assisted by Jamaal King.,43,64
16:13,44,Marvin Bragg missed Three Point Jumper.,43,64
16:13,44,American Deadball Team Rebound.,43,64
16:11,2598,Foul on Deivydas Kuzavas.,43,64
16:04,44,Foul on Cheikh Diallo.,43,64
16:04,44,Cheikh Diallo Turnover.,43,64
15:52,44,Foul on Cheikh Diallo.,43,64
15:52,2598,Official TV Timeout,43,64
15:52,2598,Andre Wolford made Free Throw.,43,65
15:52,2598,Andre Wolford made Free Throw.,43,66
15:32,44,Cheikh Diallo made Three Point Jumper. Assisted by Sa'eed Nelson.,46,66
15:15,2598,Mark Flagg made Layup.,46,68
15:15,44,Foul on Jesse Little.,46,68
15:15,2598,Mark Flagg made Free Throw.,46,69
15:02,44,Cheikh Diallo made Jumper.,48,69
14:41,2598,Keith Braxton made Layup.,48,71
14:26,2598,Foul on Andre Wolford.,48,71
14:26,44,Sa'eed Nelson made Free Throw.,49,71
14:26,44,Sa'eed Nelson made Free Throw.,50,71
14:09,2598,Mark Flagg Turnover.,50,71
14:08,44,Larry Motuzis Steal.,50,71
13:57,44,Sa'eed Nelson made Layup. Assisted by Drew LaMont.,52,71
13:34,2598,Keith Braxton missed Jumper.,52,71
13:34,44,Larry Motuzis Defensive Rebound.,52,71
13:23,44,Sa'eed Nelson made Layup. Assisted by Drew LaMont.,54,71
13:23,2598,Foul on Mark Flagg.,54,71
13:23,44,Sa'eed Nelson missed Free Throw.,54,71
13:23,2598,Deivydas Kuzavas Defensive Rebound.,54,71
13:00,2598,Scott Meredith missed Three Point Jumper.,54,71
13:00,44,American Deadball Team Rebound.,54,71
12:58,2598,Foul on Deivydas Kuzavas.,54,71
12:46,44,Drew LaMont missed Three Point Jumper.,54,71
12:46,2598,Malik Harmon Defensive Rebound.,54,71
12:36,2598,Keith Braxton made Three Point Jumper. Assisted by Malik Harmon.,54,74
12:33,2598,St. Francis (PA)  Timeout,54,74
12:33,2598,Official TV Timeout,54,74
12:19,44,Larry Motuzis missed Three Point Jumper.,54,74
12:19,44,Drew LaMont Offensive Rebound.,54,74
12:14,44,Drew LaMont made Jumper.,56,74
11:47,2598,Malik Harmon missed Three Point Jumper.,56,74
11:47,2598,Keith Braxton Offensive Rebound.,56,74
11:27,2598,Randall Gaskins Jr. missed Layup.,56,74
11:27,44,Jesse Little Block.,56,74
11:24,44,Jesse Little Defensive Rebound.,56,74
11:20,44,Sa'eed Nelson missed Layup.,56,74
11:20,2598,Keith Braxton Defensive Rebound.,56,74
11:13,2598,Randall Gaskins Jr. made Jumper. Assisted by Keith Braxton.,56,76
10:58,2598,Foul on Randall Gaskins Jr..,56,76
10:58,2598,Official TV Timeout,56,76
10:56,44,Sa'eed Nelson made Layup. Assisted by Marvin Bragg.,58,76
10:56,2598,Foul on Scott Meredith.,58,76
10:56,44,Sa'eed Nelson made Free Throw.,59,76
10:35,2598,Scott Meredith missed Three Point Jumper.,59,76
10:35,44,Drew LaMont Defensive Rebound.,59,76
10:23,44,Drew LaMont missed Three Point Jumper.,59,76
10:23,2598,Keith Braxton Defensive Rebound.,59,76
10:14,2598,Keith Braxton missed Jumper.,59,76
10:14,44,Sa'eed Nelson Defensive Rebound.,59,76
10:12,2598,Foul on Daniel Wallace.,59,76
10:12,44,Sa'eed Nelson made Free Throw.,60,76
10:12,44,Sa'eed Nelson missed Free Throw.,60,76
10:12,2598,Mark Flagg Defensive Rebound.,60,76
10:02,2598,Foul on Mark Flagg.,60,76
10:02,2598,Mark Flagg Turnover.,60,76
9:39,44,Nick Macarchuk made Layup. Assisted by Sa'eed Nelson.,62,76
9:25,2598,Andre Wolford missed Three Point Jumper.,62,76
9:25,2598,Keith Braxton Offensive Rebound.,62,76
9:21,2598,Keith Braxton missed Layup.,62,76
9:21,44,Larry Motuzis Defensive Rebound.,62,76
9:15,2598,Foul on Randall Gaskins Jr..,62,76
9:14,44,Larry Motuzis made Free Throw.,63,76
9:14,44,Larry Motuzis made Free Throw.,64,76
8:47,2598,Keith Braxton missed Three Point Jumper.,64,76
8:47,44,Sa'eed Nelson Defensive Rebound.,64,76
8:14,44,Larry Motuzis made Layup. Assisted by Cheikh Diallo.,66,76
7:53,2598,Randall Gaskins Jr. missed Jumper.,66,76
7:53,44,Sa'eed Nelson Defensive Rebound.,66,76
7:44,44,Larry Motuzis made Three Point Jumper.,69,76
7:33,2598,St. Francis (PA)  Timeout,69,76
7:33,2598,Official TV Timeout,69,76
7:18,44,Foul on Nick Macarchuk.,69,76
7:18,2598,Deivydas Kuzavas made Free Throw.,69,77
7:18,2598,Deivydas Kuzavas made Free Throw.,69,78
7:01,44,Cheikh Diallo made Jumper. Assisted by Sa'eed Nelson.,71,78
6:40,44,Foul on Cheikh Diallo.,71,78
6:27,2598,Randall Gaskins Jr. Turnover.,71,78
6:11,44,Sa'eed Nelson missed Three Point Jumper.,71,78
6:11,2598,Keith Braxton Defensive Rebound.,71,78
6:06,2598,Keith Braxton Turnover.,71,78
6:05,44,Nick Macarchuk Steal.,71,78
6:03,44,Cheikh Diallo missed Layup.,71,78
6:03,2598,Keith Braxton Defensive Rebound.,71,78
6:01,44,Foul on Nick Macarchuk.,71,78
6:01,2598,Keith Braxton made Free Throw.,71,79
6:01,2598,Keith Braxton made Free Throw.,71,80
5:57,44,Sa'eed Nelson made Layup.,73,80
5:39,2598,Jamaal King made Layup.,73,82
5:26,44,Sa'eed Nelson made Layup.,75,82
5:24,2598,Foul on Andre Wolford.,75,82
5:24,44,Sa'eed Nelson missed Free Throw.,75,82
5:24,2598,Deivydas Kuzavas Defensive Rebound.,75,82
5:00,2598,Keith Braxton made Jumper.,75,84
4:43,44,Sa'eed Nelson made Layup.,77,84
4:24,2598,Andre Wolford made Three Point Jumper. Assisted by Jamaal King.,77,87
4:03,2598,Foul on Randall Gaskins Jr..,77,87
4:03,44,Larry Motuzis made Free Throw.,78,87
4:03,44,Larry Motuzis made Free Throw.,79,87
3:37,2598,Jamaal King missed Layup.,79,87
3:37,2598,Deivydas Kuzavas Offensive Rebound.,79,87
3:34,2598,Deivydas Kuzavas made Two Point Tip Shot.,79,89
3:17,44,Sa'eed Nelson Turnover.,79,89
3:15,2598,Jamaal King Steal.,79,89
3:12,2598,Jamaal King Turnover.,79,89
3:09,44,Sa'eed Nelson Steal.,79,89
3:06,44,Larry Motuzis made Layup. Assisted by Sa'eed Nelson.,81,89
3:05,44,American  Timeout,81,89
3:05,2598,Official TV Timeout,81,89
2:51,2598,Keith Braxton missed Layup.,81,89
2:51,44,Marvin Bragg Block.,81,89
2:50,2598,Keith Braxton Offensive Rebound.,81,89
2:36,2598,Jamaal King missed Three Point Jumper.,81,89
2:36,2598,Andre Wolford Offensive Rebound.,81,89
2:31,2598,Andre Wolford made Two Point Tip Shot.,81,91
2:13,44,Cheikh Diallo missed Three Point Jumper.,81,91
2:13,44,American Deadball Team Rebound.,81,91
2:10,2598,Foul on Malik Harmon.,81,91
2:10,44,Larry Motuzis missed Free Throw.,81,91
2:10,44,American Deadball Team Rebound.,81,91
2:10,44,Larry Motuzis made Free Throw.,82,91
1:44,2598,Keith Braxton made Layup.,82,93
1:31,44,Sa'eed Nelson missed Layup.,82,93
1:31,2598,Deivydas Kuzavas Defensive Rebound.,82,93
1:29,44,Foul on Sa'eed Nelson.,82,93
1:29,2598,Deivydas Kuzavas made Free Throw.,82,94
1:29,2598,Deivydas Kuzavas made Free Throw.,82,95
1:17,44,Sa'eed Nelson made Layup. Assisted by Jesse Little.,84,95
1:09,2598,Malik Harmon Turnover.,84,95
1:06,44,Cheikh Diallo Steal.,84,95
1:03,44,Marvin Bragg made Layup. Assisted by Jesse Little.,86,95
0:58,44,Foul on Marvin Bragg.,86,95
0:58,2598,Jamaal King made Free Throw.,86,96
0:58,2598,Jamaal King missed Free Throw.,86,96
0:58,44,Cheikh Diallo Defensive Rebound.,86,96
0:47,44,Sa'eed Nelson Turnover.,86,96
0:47,2598,Jamaal King Steal.,86,96
0:46,44,Foul on Larry Motuzis.,86,96
0:46,2598,Randall Gaskins Jr. made Free Throw.,86,97
0:46,2598,Randall Gaskins Jr. made Free Throw.,86,98
0:36,44,Sa'eed Nelson Turnover.,86,98
0:35,2598,Randall Gaskins Jr. Steal.,86,98
0:35,44,Foul on Larry Motuzis.,86,98
0:35,2598,Jamaal King made Free Throw.,86,99
0:35,2598,Jamaal King made Free Throw.,86,100
0:22,44,Cheikh Diallo made Three Point Jumper. Assisted by Marvin Bragg.,89,100
0:00,2598,End of Game,89,100
