Louisiana Tech,333,Alabama,2348
6:07,333,Dazon Ingram missed Layup.,31,26
6:07,2348,Exavian Christon Defensive Rebound.,31,26
5:59,2348,DaQuan Bracey made Three Point Jumper. Assisted by Exavian Christon.,34,26
5:35,333,Dazon Ingram Turnover.,34,26
5:12,2348,Jacobi Boykins missed Three Point Jumper.,34,26
5:12,333,Galin Smith Defensive Rebound.,34,26
4:57,333,Collin Sexton made Three Point Jumper.,34,29
4:41,2348,Louisiana Tech  Timeout,34,29
4:23,2348,DaQuan Bracey missed Three Point Jumper.,34,29
4:23,333,Collin Sexton Defensive Rebound.,34,29
4:15,333,Riley Norris missed Three Point Jumper.,34,29
4:15,2348,Derric Jean Defensive Rebound.,34,29
4:06,333,Foul on Riley Norris.,34,29
4:06,2348,Jy'lan Washington made Free Throw.,35,29
4:06,2348,Jy'lan Washington made Free Throw.,36,29
3:55,333,Collin Sexton missed Layup.,36,29
3:55,2348,Jy'lan Washington Defensive Rebound.,36,29
3:50,333,Foul on Collin Sexton.,36,29
3:44,333,Official TV Timeout,36,29
3:44,2348,Jy'lan Washington made Free Throw.,37,29
3:44,2348,Jy'lan Washington made Free Throw.,38,29
3:44,333,Galin Smith missed Jumper.,38,29
3:44,2348,Anthony Duruji Block.,38,29
3:44,2348,Anthony Duruji Defensive Rebound.,38,29
3:21,2348,Foul on Derric Jean.,38,29
3:21,2348,Derric Jean Turnover.,38,29
3:04,333,Avery Johnson Jr. Turnover.,38,29
3:02,2348,Anthony Duruji Steal.,38,29
2:50,2348,Foul on Anthony Duruji.,38,29
2:50,2348,Anthony Duruji Turnover.,38,29
2:37,333,Collin Sexton missed Layup.,38,29
2:37,2348,Anthony Duruji Block.,38,29
2:35,2348,Jy'lan Washington Defensive Rebound.,38,29
2:33,333,Foul on Avery Johnson Jr..,38,29
2:33,2348,DaQuan Bracey missed Free Throw.,38,29
2:33,2348,Louisiana Tech Deadball Team Rebound.,38,29
2:33,2348,DaQuan Bracey missed Free Throw.,38,29
2:33,333,Dazon Ingram Defensive Rebound.,38,29
2:14,333,Dazon Ingram made Three Point Jumper. Assisted by Riley Norris.,38,32
1:52,333,Foul on Riley Norris.,38,32
1:52,2348,Jy'lan Washington missed Free Throw.,38,32
1:52,2348,Louisiana Tech Deadball Team Rebound.,38,32
1:52,2348,Jy'lan Washington missed Free Throw.,38,32
1:52,333,Dazon Ingram Defensive Rebound.,38,32
1:48,333,Dazon Ingram made Layup.,38,34
1:33,2348,Derric Jean missed Jumper.,38,34
1:33,333,Herb Jones Defensive Rebound.,38,34
1:28,333,John Petty Turnover.,38,34
0:58,2348,Anthony Duruji missed Jumper.,38,34
0:58,333,Herb Jones Defensive Rebound.,38,34
0:51,333,Herb Jones Turnover.,38,34
0:49,2348,Anthony Duruji Steal.,38,34
0:35,2348,Derric Jean Turnover.,38,34
0:34,333,Herb Jones Steal.,38,34
0:33,2348,Foul on Derric Jean.,38,34
0:33,333,Herb Jones made Free Throw.,38,35
0:33,333,Herb Jones missed Free Throw.,38,35
0:33,2348,Louisiana Tech Defensive Rebound.,38,35
0:10,2348,Jacobi Boykins missed Layup.,38,35
0:10,333,Donta Hall Block.,38,35
0:08,333,John Petty Defensive Rebound.,38,35
0:05,2348,Foul on DaQuan Bracey.,38,35
0:05,333,Dazon Ingram made Free Throw.,38,36
0:05,333,Dazon Ingram made Free Throw.,38,37
0:03,2348,DaQuan Bracey missed Three Point Jumper.,38,37
0:03,333,John Petty Defensive Rebound.,38,37
0:00,333,End of 1st half,38,37
19:53,2348,Jy'lan Washington missed Three Point Jumper.,38,37
19:53,333,Dazon Ingram Defensive Rebound.,38,37
19:48,333,Herb Jones missed Layup.,38,37
19:48,333,Dazon Ingram Offensive Rebound.,38,37
19:46,2348,Foul on Jalen Harris.,38,37
19:38,333,John Petty missed Three Point Jumper.,38,37
19:38,2348,Jalen Harris Defensive Rebound.,38,37
19:30,2348,Jalen Harris Turnover.,38,37
19:28,333,John Petty Steal.,38,37
19:23,333,John Petty Turnover.,38,37
19:16,333,Foul on John Petty.,38,37
19:16,2348,Jacobi Boykins made Free Throw.,39,37
19:16,2348,Jacobi Boykins made Free Throw.,40,37
19:16,2348,Jacobi Boykins made Free Throw.,41,37
18:53,333,Donta Hall missed Jumper.,41,37
18:53,2348,Joniah White Defensive Rebound.,41,37
18:43,2348,Jalen Harris made Jumper.,43,37
18:27,333,Dazon Ingram missed Jumper.,43,37
18:27,2348,Jacobi Boykins Defensive Rebound.,43,37
18:15,333,Foul on Donta Hall.,43,37
18:15,2348,Joniah White missed Free Throw.,43,37
18:15,2348,Louisiana Tech Deadball Team Rebound.,43,37
18:15,2348,Joniah White made Free Throw.,44,37
18:11,2348,Foul on DaQuan Bracey.,44,37
18:02,333,Daniel Giddens missed Layup.,44,37
18:02,2348,Joniah White Defensive Rebound.,44,37
17:52,2348,Jacobi Boykins missed Three Point Jumper.,44,37
17:52,2348,Louisiana Tech Offensive Rebound.,44,37
17:52,333,Foul on Dazon Ingram.,44,37
17:26,2348,Jy'lan Washington missed Three Point Jumper.,44,37
17:26,333,Daniel Giddens Defensive Rebound.,44,37
17:16,333,Herb Jones Turnover.,44,37
17:15,2348,Jalen Harris Steal.,44,37
17:11,2348,Jalen Harris made Layup.,46,37
17:08,333,Alabama  Timeout,46,37
16:50,333,Dazon Ingram Turnover.,46,37
16:48,2348,Jalen Harris Steal.,46,37
16:48,2348,Derric Jean Turnover.,46,37
16:48,333,Collin Sexton Steal.,46,37
16:44,333,Collin Sexton missed Layup.,46,37
16:44,2348,Louisiana Tech Defensive Rebound.,46,37
16:24,2348,Jalen Harris missed Three Point Jumper.,46,37
16:24,333,Avery Johnson Jr. Defensive Rebound.,46,37
16:10,333,Avery Johnson Jr. missed Layup.,46,37
16:10,333,Alex Reese Offensive Rebound.,46,37
15:57,2348,Foul on Jacobi Boykins.,46,37
15:57,333,Official TV Timeout,46,37
15:49,333,Collin Sexton missed Jumper.,46,37
15:49,333,Collin Sexton Offensive Rebound.,46,37
15:46,333,Collin Sexton Turnover.,46,37
15:44,2348,Derric Jean Steal.,46,37
15:31,2348,Jalen Harris made Jumper.,48,37
15:00,333,Alex Reese made Jumper.,48,39
14:31,2348,Jacobi Boykins missed Three Point Jumper.,48,39
14:31,333,Collin Sexton Defensive Rebound.,48,39
14:22,333,Collin Sexton Turnover.,48,39
14:06,333,Foul on Alex Reese.,48,39
14:06,2348,Jacobi Boykins made Free Throw.,49,39
14:06,2348,Jacobi Boykins made Free Throw.,50,39
13:59,2348,Foul on Derric Jean.,50,39
13:45,333,Dazon Ingram made Layup.,50,41
13:24,2348,Jacobi Boykins missed Three Point Jumper.,50,41
13:24,2348,Anthony Duruji Offensive Rebound.,50,41
13:20,2348,Anthony Duruji missed Jumper.,50,41
13:20,333,Galin Smith Block.,50,41
13:18,2348,Anthony Duruji Offensive Rebound.,50,41
13:16,2348,Jacobi Boykins missed Three Point Jumper.,50,41
13:16,2348,Oliver Powell Offensive Rebound.,50,41
13:11,2348,Oliver Powell made Two Point Tip Shot.,52,41
13:03,2348,Foul on Anthony Duruji.,52,41
13:03,333,Dazon Ingram made Free Throw.,52,42
13:03,333,Dazon Ingram made Free Throw.,52,43
12:36,2348,DaQuan Bracey missed Jumper.,52,43
12:36,333,Dazon Ingram Defensive Rebound.,52,43
12:30,2348,Foul on Anthony Duruji.,52,43
12:30,333,Dazon Ingram missed Free Throw.,52,43
12:30,333,Alabama Deadball Team Rebound.,52,43
12:30,333,Dazon Ingram made Free Throw.,52,44
12:08,2348,DaQuan Bracey Turnover.,52,44
12:08,333,Avery Johnson Jr. Steal.,52,44
11:56,333,Herb Jones missed Jumper.,52,44
11:56,333,Alex Reese Offensive Rebound.,52,44
11:51,333,Alex Reese Turnover.,52,44
11:49,333,Official TV Timeout,52,44
11:43,2348,DaQuan Bracey Turnover.,52,44
11:41,333,Herb Jones Steal.,52,44
11:39,333,Herb Jones made Layup.,52,46
11:31,333,Foul on Alex Reese.,52,46
11:31,2348,DaQuan Bracey made Free Throw.,53,46
11:31,2348,DaQuan Bracey missed Free Throw.,53,46
11:31,2348,Louisiana Tech Deadball Team Rebound.,53,46
11:19,333,Alex Reese Turnover.,53,46
11:18,2348,Jacobi Boykins Steal.,53,46
11:15,2348,Derric Jean missed Jumper.,53,46
11:15,333,Alex Reese Defensive Rebound.,53,46
11:15,2348,Foul on Anthony Duruji.,53,46
11:15,333,Alex Reese missed Free Throw.,53,46
11:15,2348,Jalen Harris Defensive Rebound.,53,46
11:13,2348,Jalen Harris missed Jumper.,53,46
11:13,2348,Anthony Duruji Offensive Rebound.,53,46
11:08,2348,Anthony Duruji Turnover.,53,46
11:06,333,Alex Reese Steal.,53,46
11:02,333,Collin Sexton missed Three Point Jumper.,53,46
11:02,333,Galin Smith Offensive Rebound.,53,46
10:56,333,Galin Smith Turnover.,53,46
10:51,2348,Jy'lan Washington missed Three Point Jumper.,53,46
10:51,333,Galin Smith Defensive Rebound.,53,46
10:39,333,Herb Jones missed Three Point Jumper.,53,46
10:39,2348,Jacobi Boykins Defensive Rebound.,53,46
10:14,333,Foul on Herb Jones.,53,46
9:56,2348,DaQuan Bracey missed Jumper.,53,46
9:56,333,Donta Hall Defensive Rebound.,53,46
9:53,2348,Foul on Joniah White.,53,46
9:53,333,Donta Hall made Free Throw.,53,47
9:53,333,Donta Hall made Free Throw.,53,48
9:30,2348,DaQuan Bracey missed Jumper.,53,48
9:30,333,Donta Hall Block.,53,48
9:29,333,Herb Jones Defensive Rebound.,53,48
9:16,333,Collin Sexton made Dunk. Assisted by Herb Jones.,53,50
9:13,2348,Louisiana Tech  Timeout,53,50
9:04,2348,Jy'lan Washington made Jumper.,55,50
8:46,333,Avery Johnson Jr. missed Three Point Jumper.,55,50
8:46,333,Riley Norris Offensive Rebound.,55,50
8:39,333,Donta Hall made Dunk. Assisted by Avery Johnson Jr..,55,52
8:23,2348,Jalen Harris missed Layup.,55,52
8:23,2348,Joniah White Offensive Rebound.,55,52
8:20,2348,Joniah White missed Dunk.,55,52
8:20,2348,Joniah White Offensive Rebound.,55,52
8:18,2348,Joniah White made Jumper.,57,52
8:03,333,Avery Johnson Jr. missed Three Point Jumper.,57,52
8:03,2348,Exavian Christon Defensive Rebound.,57,52
7:35,2348,Jalen Harris made Layup.,59,52
7:23,333,Collin Sexton made Layup.,59,54
7:09,333,Official TV Timeout,59,54
7:09,2348,DaQuan Bracey missed Free Throw.,59,54
7:09,333,Donta Hall Defensive Rebound.,59,54
7:09,333,Foul on Herb Jones.,59,54
6:47,333,Collin Sexton missed Layup.,59,54
6:47,333,Herb Jones Offensive Rebound.,59,54
6:45,333,Herb Jones missed Layup.,59,54
6:45,333,Herb Jones Offensive Rebound.,59,54
6:42,333,Herb Jones missed Layup.,59,54
6:42,333,Donta Hall Offensive Rebound.,59,54
6:37,333,Donta Hall made Dunk.,59,56
6:13,2348,Foul on Jalen Harris.,59,56
6:13,2348,Jalen Harris Turnover.,59,56
6:06,2348,Foul on Oliver Powell.,59,56
6:06,333,Collin Sexton made Free Throw.,59,57
6:06,333,Collin Sexton made Free Throw.,59,58
5:44,2348,DaQuan Bracey Turnover.,59,58
5:42,333,Collin Sexton Steal.,59,58
5:38,2348,Foul on Jy'lan Washington.,59,58
5:38,333,Dazon Ingram made Free Throw.,59,59
5:38,333,Dazon Ingram made Free Throw.,59,60
5:29,2348,DaQuan Bracey made Layup.,61,60
5:17,333,Foul on Collin Sexton.,61,60
5:17,333,Collin Sexton Turnover.,61,60
4:59,2348,DaQuan Bracey made Layup.,63,60
4:50,333,Herb Jones Turnover.,63,60
4:49,2348,Oliver Powell Steal.,63,60
4:41,333,Foul on Herb Jones.,63,60
4:41,2348,DaQuan Bracey made Free Throw.,64,60
4:41,2348,DaQuan Bracey made Free Throw.,65,60
4:31,333,Dazon Ingram made Layup.,65,62
4:31,2348,Foul on Jacobi Boykins.,65,62
4:31,333,Dazon Ingram made Free Throw.,65,63
4:14,2348,Jy'lan Washington made Dunk. Assisted by DaQuan Bracey.,67,63
3:54,333,Donta Hall made Dunk. Assisted by Collin Sexton.,67,65
3:47,333,Alabama  Timeout,67,65
3:33,2348,Jalen Harris missed Jumper.,67,65
3:33,333,Donta Hall Defensive Rebound.,67,65
3:16,333,Collin Sexton made Layup.,67,67
2:57,2348,Jacobi Boykins missed Three Point Jumper.,67,67
2:57,2348,Louisiana Tech Offensive Rebound.,67,67
2:53,333,Foul on Donta Hall.,67,67
2:53,2348,Joniah White missed Free Throw.,67,67
2:53,2348,Louisiana Tech Deadball Team Rebound.,67,67
2:53,2348,Joniah White made Free Throw.,68,67
2:39,333,Collin Sexton missed Jumper.,68,67
2:39,2348,Jacobi Boykins Defensive Rebound.,68,67
2:07,2348,DaQuan Bracey missed Jumper.,68,67
2:07,333,Donta Hall Defensive Rebound.,68,67
1:59,333,Collin Sexton made Dunk.,68,69
1:29,2348,Jalen Harris made Jumper.,70,69
1:22,333,Collin Sexton missed Jumper.,70,69
1:22,333,Riley Norris Offensive Rebound.,70,69
1:18,333,Riley Norris made Layup.,70,71
0:55,2348,DaQuan Bracey Turnover.,70,71
0:27,2348,Foul on Joniah White.,70,71
0:27,333,Dazon Ingram made Free Throw.,70,72
0:27,333,Dazon Ingram made Free Throw.,70,73
0:11,2348,Jalen Harris missed Layup.,70,73
0:11,2348,Joniah White Offensive Rebound.,70,73
0:08,333,Foul on Dazon Ingram.,70,73
0:08,2348,Joniah White made Free Throw.,71,73
0:08,2348,Joniah White made Free Throw.,72,73
0:08,2348,Louisiana Tech  Timeout,72,73
0:08,2348,Foul on Jy'lan Washington.,72,73
0:08,333,Collin Sexton made Free Throw.,72,74
0:08,333,Collin Sexton made Free Throw.,72,75
0:05,2348,Jacobi Boykins missed Three Point Jumper.,72,75
0:05,2348,Jalen Harris Offensive Rebound.,72,75
0:03,2348,Jalen Harris made Layup.,74,75
0:02,2348,Louisiana Tech  Timeout,74,75
0:01,2348,Foul on Derric Jean.,74,75
0:01,333,Collin Sexton made Free Throw.,74,76
0:01,333,Collin Sexton made Free Throw.,74,77
0:00,2348,Jalen Harris missed Three Point Jumper.,74,77
0:00,333,Alabama Defensive Rebound.,74,77
0:00,333,End of Game,74,77
