Binghamton,2169,Delaware State,2066
10:37,2169,Jonathan Walker Defensive Rebound.,25,11
10:09,2169,Kavon Waller made Three Point Jumper. Assisted by Jonathan Walker.,25,14
9:43,2066,Tyler Stewart missed Jumper.,25,14
9:43,2169,Artem Tavakalyan Defensive Rebound.,25,14
9:32,2066,Technical Foul on Tyler Stewart.,25,14
9:32,2066,Foul on Tyler Stewart.,25,14
9:32,2169,Technical Foul on Kavon Waller.,25,14
9:32,2169,Foul on Kavon Waller.,25,14
9:13,2066,Foul on Timmy Rose.,25,14
9:13,2169,Jonathan Walker made Free Throw.,25,15
9:13,2169,Jonathan Walker missed Free Throw.,25,15
9:13,2066,Tyler Stewart Defensive Rebound.,25,15
9:00,2066,Thomas Bruce made Jumper. Assisted by Timmy Rose.,27,15
8:47,2169,Artem Tavakalyan missed Jumper.,27,15
8:47,2066,Thomas Bruce Defensive Rebound.,27,15
8:39,2066,Tyler Stewart Turnover.,27,15
8:38,2169,Jonathan Mitchell Steal.,27,15
8:09,2169,Jonathan Mitchell made Three Point Jumper. Assisted by Jonathan Walker.,27,18
7:52,2066,Thomas Bruce made Layup. Assisted by Timmy Rose.,29,18
7:45,2169,Official TV Timeout,29,18
7:15,2169,Kavon Waller missed Three Point Jumper.,29,18
7:15,2066,J.C. Show Defensive Rebound.,29,18
7:02,2169,Foul on Johquin Wiley.,29,18
6:58,2066,Willie Rodriguez made Layup.,31,18
6:42,2169,Marquis Collins missed Three Point Jumper.,31,18
6:42,2066,Everson Davis Defensive Rebound.,31,18
6:33,2066,J.C. Show made Three Point Jumper. Assisted by Timmy Rose.,34,18
6:03,2169,Johquin Wiley missed Three Point Jumper.,34,18
6:03,2066,Willie Rodriguez Defensive Rebound.,34,18
5:45,2066,Willie Rodriguez missed Three Point Jumper.,34,18
5:45,2169,Kavon Waller Defensive Rebound.,34,18
5:19,2169,Marquis Collins missed Jumper.,34,18
5:19,2066,Thomas Bruce Defensive Rebound.,34,18
4:59,2066,J.C. Show made Three Point Jumper. Assisted by Timmy Rose.,37,18
4:31,2169,Artem Tavakalyan made Layup.,37,20
4:11,2169,Foul on Demola Onifade.,37,20
4:11,2066,Thomas Bruce made Free Throw.,38,20
4:11,2066,Thomas Bruce made Free Throw.,39,20
4:04,2169,Artem Tavakalyan made Layup.,39,22
3:51,2066,Fard Muhammad made Three Point Jumper. Assisted by Everson Davis.,42,22
3:37,2169,Johquin Wiley Turnover.,42,22
3:37,2169,Official TV Timeout,42,22
3:22,2169,Foul on Kavon Waller.,42,22
3:22,2066,Thomas Bruce made Free Throw.,43,22
3:22,2066,Thomas Bruce made Free Throw.,44,22
2:53,2169,Jonathan Walker Turnover.,44,22
2:42,2066,J.C. Show missed Three Point Jumper.,44,22
2:42,2169,Artem Tavakalyan Defensive Rebound.,44,22
2:31,2169,Simon Okolue made Jumper. Assisted by Artem Tavakalyan.,44,24
2:31,2066,Foul on Thomas Bruce.,44,24
2:31,2169,Simon Okolue made Free Throw.,44,25
2:00,2066,Fard Muhammad Turnover.,44,25
2:00,2169,Johquin Wiley Steal.,44,25
1:34,2169,Marquis Collins made Three Point Jumper. Assisted by Jonathan Walker.,44,28
1:07,2066,Everson Davis made Layup. Assisted by Willie Rodriguez.,46,28
0:34,2169,Artem Tavakalyan missed Three Point Jumper.,46,28
0:34,2066,Fard Muhammad Defensive Rebound.,46,28
0:26,2066,Binghamton  Timeout,46,28
0:02,2066,J.C. Show Turnover.,46,28
0:02,2169,Johquin Wiley Steal.,46,28
0:02,2066,Foul on Everson Davis.,46,28
0:02,2169,Johquin Wiley made Free Throw.,46,29
0:02,2169,Johquin Wiley missed Free Throw.,46,29
0:02,2066,Thomas Bruce Defensive Rebound.,46,29
0:00,2066,Thomas Bruce missed Three Point Jumper.,46,29
0:00,2066,Binghamton Deadball Team Rebound.,46,29
0:00,2169,End of 1st half,46,29
19:36,2169,Artem Tavakalyan missed Three Point Jumper.,46,29
19:36,2066,Fard Muhammad Defensive Rebound.,46,29
19:04,2066,Fard Muhammad made Jumper.,48,29
18:41,2169,Jonathan Walker missed Jumper.,48,29
18:30,2066,Thomas Bruce Defensive Rebound.,48,29
18:28,2066,Everson Davis made Jumper.,50,29
18:08,2169,Kobe Gantz made Three Point Jumper. Assisted by Jonathan Walker.,50,32
17:35,2066,Everson Davis missed Layup.,50,32
17:35,2066,Thomas Bruce Offensive Rebound.,50,32
17:31,2066,Thomas Bruce made Dunk.,52,32
17:11,2169,Artem Tavakalyan missed Jumper.,52,32
17:11,2169,Artem Tavakalyan Offensive Rebound.,52,32
17:07,2169,Artem Tavakalyan Turnover.,52,32
17:06,2066,Everson Davis Steal.,52,32
17:02,2066,Fard Muhammad missed Three Point Jumper.,52,32
17:02,2169,Artem Tavakalyan Defensive Rebound.,52,32
16:54,2169,Kavon Waller made Layup.,52,34
16:54,2066,Foul on Everson Davis.,52,34
16:54,2169,Kavon Waller made Free Throw.,52,35
16:36,2066,Willie Rodriguez made Jumper.,54,35
16:10,2169,Jonathan Walker made Three Point Jumper.,54,38
15:50,2066,Fard Muhammad made Three Point Jumper. Assisted by J.C. Show.,57,38
15:34,2169,Johquin Wiley missed Three Point Jumper.,57,38
15:34,2066,Thomas Bruce Defensive Rebound.,57,38
15:14,2066,Thomas Bruce made Layup. Assisted by J.C. Show.,59,38
14:50,2169,Kavon Waller missed Three Point Jumper.,59,38
14:50,2066,Fard Muhammad Defensive Rebound.,59,38
14:42,2066,J.C. Show Turnover.,59,38
14:42,2169,Official TV Timeout,59,38
14:27,2169,Johquin Wiley made Jumper.,59,40
14:13,2066,Everson Davis missed Three Point Jumper.,59,40
14:13,2169,Kavon Waller Defensive Rebound.,59,40
13:47,2169,Simon Okolue made Jumper. Assisted by Kavon Waller.,59,42
13:19,2066,Willie Rodriguez made Jumper.,61,42
13:00,2169,Daivon Gamble made Three Point Jumper.,61,45
12:43,2066,Bobby Ahearn made Jumper. Assisted by Timmy Rose.,63,45
12:18,2169,Johquin Wiley missed Three Point Jumper.,63,45
12:18,2066,Willie Rodriguez Defensive Rebound.,63,45
12:08,2169,Foul on Simon Okolue.,63,45
11:53,2066,Willie Rodriguez missed Layup.,63,45
11:53,2066,Bobby Ahearn Offensive Rebound.,63,45
11:47,2066,Bobby Ahearn made Jumper.,65,45
11:26,2169,Johquin Wiley missed Jumper.,65,45
11:26,2066,Willie Rodriguez Defensive Rebound.,65,45
11:14,2066,Tyler Stewart Turnover.,65,45
11:13,2169,Daivon Gamble Steal.,65,45
11:09,2169,Jonathan Walker missed Layup.,65,45
11:09,2066,Bobby Ahearn Defensive Rebound.,65,45
11:06,2066,Timmy Rose Turnover.,65,45
11:04,2169,Jonathan Walker Steal.,65,45
10:49,2169,Johquin Wiley made Layup.,65,47
10:49,2066,Foul on Bobby Ahearn.,65,47
10:49,2169,Official TV Timeout,65,47
10:49,2169,Johquin Wiley made Free Throw.,65,48
10:30,2169,Foul on Jonathan Walker.,65,48
10:28,2169,Foul on Simon Okolue.,65,48
10:24,2066,J.C. Show made Three Point Jumper.,68,48
10:03,2066,Foul on Thomas Bruce.,68,48
9:58,2169,Kavon Waller missed Three Point Jumper.,68,48
9:58,2066,Bobby Ahearn Defensive Rebound.,68,48
9:49,2066,J.C. Show missed Jumper.,68,48
9:49,2169,Kavon Waller Defensive Rebound.,68,48
9:42,2169,Saleik Edwards made Layup.,68,50
9:42,2066,Foul on Tyler Stewart.,68,50
9:42,2169,Saleik Edwards missed Free Throw.,68,50
9:42,2066,Timmy Rose Defensive Rebound.,68,50
9:38,2169,Foul on Daivon Gamble.,68,50
9:30,2066,Bobby Ahearn made Layup. Assisted by Thomas Bruce.,70,50
9:02,2066,Foul on J.C. Show.,70,50
9:02,2169,Jonathan Walker made Free Throw.,70,51
9:02,2169,Jonathan Walker made Free Throw.,70,52
8:57,2169,Foul on Jonathan Walker.,70,52
8:53,2066,Bobby Ahearn made Three Point Jumper. Assisted by Tyler Stewart.,73,52
8:40,2169,Simon Okolue made Layup. Assisted by Saleik Edwards.,73,54
8:40,2066,Foul on Thomas Bruce.,73,54
8:40,2169,Simon Okolue missed Free Throw.,73,54
8:40,2066,Everson Davis Defensive Rebound.,73,54
8:11,2066,Timmy Rose missed Jumper.,73,54
8:11,2169,Simon Okolue Block.,73,54
8:10,2169,Simon Okolue Defensive Rebound.,73,54
8:03,2169,Daivon Gamble made Layup. Assisted by Jonathan Walker.,73,56
7:36,2169,Foul on Daivon Gamble.,73,56
7:36,2169,Official TV Timeout,73,56
7:36,2066,Everson Davis made Free Throw.,74,56
7:36,2066,Everson Davis made Free Throw.,75,56
7:07,2169,Daivon Gamble missed Layup.,75,56
7:07,2066,Bobby Ahearn Defensive Rebound.,75,56
6:40,2066,J.C. Show missed Three Point Jumper.,75,56
6:40,2066,Thomas Bruce Offensive Rebound.,75,56
6:35,2066,Thomas Bruce made Layup.,77,56
6:10,2169,Saleik Edwards Turnover.,77,56
6:09,2066,J.C. Show Steal.,77,56
5:55,2066,J.C. Show missed Three Point Jumper.,77,56
5:55,2169,Jonathan Walker Defensive Rebound.,77,56
5:46,2169,Saleik Edwards missed Three Point Jumper.,77,56
5:46,2169,Daivon Gamble Offensive Rebound.,77,56
5:44,2169,Daivon Gamble made Layup.,77,58
5:24,2066,Everson Davis missed Three Point Jumper.,77,58
5:24,2169,Delaware State Defensive Rebound.,77,58
5:03,2169,Simon Okolue missed Jumper.,77,58
5:03,2066,Thomas Bruce Defensive Rebound.,77,58
4:43,2066,Foul on Bobby Ahearn.,77,58
4:43,2066,Bobby Ahearn Turnover.,77,58
4:33,2066,Foul on Thomas Bruce.,77,58
4:33,2169,Simon Okolue made Free Throw.,77,59
4:33,2169,Simon Okolue missed Free Throw.,77,59
4:26,2169,Artem Tavakalyan Offensive Rebound.,77,59
4:18,2169,Simon Okolue missed Layup.,77,59
4:18,2066,Thomas Bruce Defensive Rebound.,77,59
4:01,2066,Timmy Rose made Jumper.,79,59
3:44,2169,Artem Tavakalyan Turnover.,79,59
3:44,2169,Official TV Timeout,79,59
3:14,2066,Willie Rodriguez missed Jumper.,79,59
3:14,2169,Simon Okolue Defensive Rebound.,79,59
2:52,2066,Foul on John Schurman.,79,59
2:52,2169,Artem Tavakalyan missed Free Throw.,79,59
2:52,2169,Delaware State Deadball Team Rebound.,79,59
2:52,2169,Artem Tavakalyan made Free Throw.,79,60
2:31,2066,Caleb Stewart made Layup.,81,60
2:13,2066,Foul on John Schurman.,81,60
2:13,2169,Artem Tavakalyan made Free Throw.,81,61
2:13,2169,Artem Tavakalyan made Free Throw.,81,62
1:57,2066,Caleb Stewart missed Three Point Jumper.,81,62
1:57,2066,Dusan Perovic Offensive Rebound.,81,62
1:27,2066,Caleb Stewart missed Jumper.,81,62
1:27,2066,John Schurman Offensive Rebound.,81,62
1:25,2169,Foul on Simon Okolue.,81,62
1:25,2066,John Schurman made Free Throw.,82,62
1:25,2066,John Schurman missed Free Throw.,82,62
1:25,2169,Simon Okolue Defensive Rebound.,82,62
1:06,2169,Ameer Bennett Turnover.,82,62
1:04,2066,Jordan McRae Steal.,82,62
0:50,2066,Timmy Rose Turnover.,82,62
0:40,2169,Artem Tavakalyan made Jumper.,82,64
0:19,2066,Timmy Rose made Three Point Jumper. Assisted by Dusan Perovic.,85,64
0:00,2169,End of Game,85,64
