Sacred Heart,2349,UMass Lowell,2529
7:31,2529,Sean Hoehn made Layup.,26,24
7:17,2529,Foul on Charles Tucker Jr..,26,24
7:17,2349,Official TV Timeout,26,24
6:58,2349,Jahad Thomas missed Jumper.,26,24
6:58,2529,Zach Radz Defensive Rebound.,26,24
6:37,2529,Charles Tucker Jr. Turnover.,26,24
6:20,2529,Foul on Zach Radz.,26,24
6:06,2349,Ryan Jones Turnover.,26,24
6:05,2529,Charles Tucker Jr. Steal.,26,24
5:54,2529,Charles Tucker Jr. missed Jumper.,26,24
5:54,2349,Matt Harris Defensive Rebound.,26,24
5:43,2349,Rinardo Perry made Jumper.,26,26
5:28,2529,Mario Matasovic Turnover.,26,26
5:28,2349,Matt Harris Steal.,26,26
5:22,2349,Ryan Jones Turnover.,26,26
5:21,2529,Sean Hoehn Steal.,26,26
5:19,2529,Sean Hoehn made Layup.,28,26
5:03,2349,Rinardo Perry missed Three Point Jumper.,28,26
5:03,2529,Joseph Lopez Defensive Rebound.,28,26
4:52,2529,Charles Tucker Jr. Turnover.,28,26
4:50,2349,Jahad Thomas Steal.,28,26
4:47,2529,Foul on Sean Hoehn.,28,26
4:37,2349,Matt Harris made Three Point Jumper. Assisted by Rinardo Perry.,28,29
4:05,2529,Chris Robinson Turnover.,28,29
4:05,2349,Rinardo Perry Steal.,28,29
4:05,2529,Foul on Alex Watson.,28,29
4:05,2349,Official TV Timeout,28,29
4:05,2349,Jahad Thomas made Free Throw.,28,30
4:05,2349,Jahad Thomas made Free Throw.,28,31
3:51,2529,Foul on E.J. Anosike.,28,31
3:51,2529,E.J. Anosike Turnover.,28,31
3:40,2349,Jahad Thomas missed Layup.,28,31
3:40,2529,Joseph Lopez Defensive Rebound.,28,31
3:30,2529,De'von Barnett made Layup. Assisted by Kinnon LaRose.,30,31
3:08,2349,Rinardo Perry made Layup.,30,33
2:53,2529,De'von Barnett missed Layup.,30,33
2:53,2349,Josh Gantz Defensive Rebound.,30,33
2:48,2529,Foul on Charles Tucker Jr..,30,33
2:48,2349,Jahad Thomas missed Free Throw.,30,33
2:48,2529,Joseph Lopez Defensive Rebound.,30,33
2:25,2529,Chris Robinson missed Three Point Jumper.,30,33
2:25,2349,Jahad Thomas Defensive Rebound.,30,33
2:16,2349,Ryan Jones made Three Point Jumper. Assisted by Jahad Thomas.,30,36
2:02,2529,Joseph Lopez missed Layup.,30,36
2:02,2349,Jahad Thomas Defensive Rebound.,30,36
1:53,2349,Matt Harris missed Three Point Jumper.,30,36
1:53,2529,De'von Barnett Defensive Rebound.,30,36
1:39,2349,Ryan Jones missed Three Point Jumper.,30,36
1:39,2349,Ryan Jones Offensive Rebound.,30,36
1:19,2349,Foul on Josh Gantz.,30,36
1:16,2529,Charles Tucker Jr. Turnover.,30,36
1:11,2529,Foul on De'von Barnett.,30,36
1:11,2349,Josh Gantz made Free Throw.,30,37
1:11,2349,Josh Gantz missed Free Throw.,30,37
1:11,2529,Zach Radz Defensive Rebound.,30,37
0:54,2529,De'von Barnett made Layup.,32,37
0:54,2349,Foul on Matt Harris.,32,37
0:54,2529,De'von Barnett made Free Throw.,33,37
0:29,2349,Jahad Thomas made Jumper. Assisted by Ryan Jones.,33,39
0:08,2529,Joseph Lopez made Layup.,35,39
0:05,2349,Shawn Jones missed Jumper.,35,39
0:05,2529,Sacred Heart Defensive Rebound.,35,39
0:00,2349,End of 1st half,35,39
19:38,2349,Ryan Jones missed Jumper.,35,39
19:38,2529,Joseph Lopez Block.,35,39
19:36,2529,Charles Tucker Jr. Defensive Rebound.,35,39
19:26,2529,Sean Hoehn made Three Point Jumper.,38,39
19:04,2349,Matt Harris missed Jumper.,38,39
19:03,2529,Joseph Lopez Defensive Rebound.,38,39
18:45,2529,Joseph Lopez made Jumper.,40,39
18:28,2349,Josh Gantz made Layup. Assisted by Jahad Thomas.,40,41
18:13,2349,Foul on Matt Harris.,40,41
18:13,2529,Joseph Lopez missed Free Throw.,40,41
18:13,2529,Sacred Heart Deadball Team Rebound.,40,41
18:13,2529,Joseph Lopez made Free Throw.,41,41
18:02,2349,Rinardo Perry missed Jumper.,41,41
18:02,2529,Joseph Lopez Defensive Rebound.,41,41
17:54,2529,Joseph Lopez Turnover.,41,41
17:52,2349,Ryan Jones Steal.,41,41
17:33,2349,Ryan Jones Turnover.,41,41
17:32,2529,Sean Hoehn Steal.,41,41
17:28,2529,Charles Tucker Jr. made Layup. Assisted by Sean Hoehn.,43,41
17:17,2349,Ryan Jones missed Jumper.,43,41
17:17,2529,Charles Tucker Jr. Defensive Rebound.,43,41
17:09,2529,Sean Hoehn missed Layup.,43,41
17:09,2529,Sean Hoehn Offensive Rebound.,43,41
17:04,2529,Joseph Lopez made Layup. Assisted by Sean Hoehn.,45,41
16:39,2349,Jahad Thomas missed Layup.,45,41
16:39,2529,Mario Matasovic Block.,45,41
16:36,2529,Sean Hoehn Defensive Rebound.,45,41
16:29,2529,Kinnon LaRose made Layup. Assisted by Sean Hoehn.,47,41
16:15,2349,Jahad Thomas missed Layup.,47,41
16:15,2529,Mario Matasovic Defensive Rebound.,47,41
15:57,2529,Joseph Lopez missed Jumper.,47,41
15:57,2349,Rinardo Perry Defensive Rebound.,47,41
15:37,2349,Ryan Jones Turnover.,47,41
15:36,2529,Sean Hoehn Steal.,47,41
15:32,2529,Sean Hoehn missed Layup.,47,41
15:32,2349,Josh Gantz Defensive Rebound.,47,41
15:09,2529,Foul on Charles Tucker Jr..,47,41
15:09,2349,Official TV Timeout,47,41
14:48,2349,Ryan Jones missed Three Point Jumper.,47,41
14:48,2529,De'von Barnett Defensive Rebound.,47,41
14:32,2529,Kinnon LaRose Turnover.,47,41
14:20,2349,Rinardo Perry missed Three Point Jumper.,47,41
14:20,2349,Josh Gantz Offensive Rebound.,47,41
14:14,2349,Josh Gantz Turnover.,47,41
14:13,2529,Sean Hoehn Steal.,47,41
14:04,2529,Kinnon LaRose made Three Point Jumper. Assisted by Zach Radz.,50,41
13:52,2349,Jahad Thomas made Layup.,50,43
13:52,2529,Foul on De'von Barnett.,50,43
13:52,2349,Jahad Thomas missed Free Throw.,50,43
13:52,2529,Joseph Lopez Defensive Rebound.,50,43
13:26,2529,De'von Barnett Turnover.,50,43
13:17,2349,Jahad Thomas made Layup. Assisted by Ryan Jones.,50,45
13:03,2529,De'von Barnett Turnover.,50,45
12:40,2349,Jahad Thomas made Jumper.,50,47
12:16,2529,Sean Hoehn made Layup.,52,47
12:08,2349,Jahad Thomas Turnover.,52,47
11:49,2349,Official TV Timeout,52,47
11:35,2529,Kinnon LaRose missed Three Point Jumper.,52,47
11:35,2529,Joseph Lopez Offensive Rebound.,52,47
11:29,2529,Foul on Kinnon LaRose.,52,47
11:29,2529,Kinnon LaRose Turnover.,52,47
11:20,2349,Shawn Jones Turnover.,52,47
10:57,2529,E.J. Anosike missed Jumper.,52,47
10:57,2349,Jahad Thomas Defensive Rebound.,52,47
10:46,2349,Jahad Thomas made Layup.,52,49
10:46,2529,Foul on De'von Barnett.,52,49
10:46,2349,Jahad Thomas missed Free Throw.,52,49
10:46,2529,De'von Barnett Defensive Rebound.,52,49
10:24,2529,Sean Hoehn made Layup. Assisted by De'von Barnett.,54,49
9:50,2349,Ryan Jones missed Jumper.,54,49
9:50,2349,Connor Bennett Offensive Rebound.,54,49
9:45,2349,Connor Bennett missed Layup.,54,49
9:45,2529,Sean Hoehn Defensive Rebound.,54,49
9:38,2349,Jahad Thomas missed Layup.,54,49
9:38,2529,Sean Hoehn Defensive Rebound.,54,49
9:27,2529,Sean Hoehn made Layup.,56,49
9:07,2349,Matt Harris made Jumper.,56,51
8:50,2529,Sean Hoehn missed Three Point Jumper.,56,51
8:50,2349,Ryan Jones Defensive Rebound.,56,51
8:46,2349,Foul on Ryan Jones.,56,51
8:46,2349,Ryan Jones Turnover.,56,51
8:28,2529,Mario Matasovic made Layup.,58,51
8:12,2349,Rinardo Perry made Layup.,58,53
8:12,2529,Foul on Charles Tucker Jr..,58,53
8:12,2349,Rinardo Perry missed Free Throw.,58,53
8:12,2349,Matt Harris Offensive Rebound.,58,53
7:59,2349,Matt Harris missed Three Point Jumper.,58,53
7:59,2529,Charles Tucker Jr. Defensive Rebound.,58,53
7:50,2529,Charles Tucker Jr. missed Layup.,58,53
7:50,2349,Josh Gantz Block.,58,53
7:46,2529,Joseph Lopez Offensive Rebound.,58,53
7:31,2529,Joseph Lopez made Layup.,60,53
7:24,2349,Jahad Thomas made Jumper.,60,55
7:20,2349,Official TV Timeout,60,55
7:08,2529,Joseph Lopez missed Layup.,60,55
7:08,2349,Connor Bennett Block.,60,55
7:05,2349,Rinardo Perry Defensive Rebound.,60,55
6:50,2349,Rinardo Perry made Jumper.,60,57
6:21,2529,Mario Matasovic missed Layup.,60,57
6:21,2349,Connor Bennett Block.,60,57
6:19,2529,Mario Matasovic Offensive Rebound.,60,57
6:15,2529,Mario Matasovic made Layup.,62,57
6:05,2349,Shawn Jones missed Jumper.,62,57
6:05,2529,Alex Watson Defensive Rebound.,62,57
5:57,2529,Mario Matasovic made Layup. Assisted by Sean Hoehn.,64,57
5:44,2349,Josh Gantz missed Three Point Jumper.,64,57
5:44,2529,Alex Watson Defensive Rebound.,64,57
5:38,2529,Mario Matasovic made Layup. Assisted by Alex Watson.,66,57
5:31,2349,UMass Lowell  Timeout,66,57
5:20,2349,Rinardo Perry missed Three Point Jumper.,66,57
5:20,2529,Alex Watson Defensive Rebound.,66,57
5:13,2529,Mario Matasovic missed Layup.,66,57
5:13,2349,Matt Harris Defensive Rebound.,66,57
5:03,2529,Foul on Alex Watson.,66,57
5:03,2349,Matt Harris made Free Throw.,66,58
5:03,2349,Matt Harris made Free Throw.,66,59
4:50,2529,Zach Radz made Jumper. Assisted by Alex Watson.,68,59
4:32,2349,Matt Harris missed Three Point Jumper.,68,59
4:32,2529,Zach Radz Defensive Rebound.,68,59
4:06,2529,Foul on Zach Radz.,68,59
4:06,2529,Zach Radz Turnover.,68,59
3:52,2529,Foul on Alex Watson.,68,59
3:52,2349,Official TV Timeout,68,59
3:52,2349,Shawn Jones made Free Throw.,68,60
3:52,2349,Shawn Jones missed Free Throw.,68,60
3:52,2529,Joseph Lopez Defensive Rebound.,68,60
3:31,2529,Joseph Lopez missed Layup.,68,60
3:31,2529,Joseph Lopez Offensive Rebound.,68,60
3:28,2349,Foul on Connor Bennett.,68,60
3:28,2529,Joseph Lopez made Free Throw.,69,60
3:28,2529,Joseph Lopez made Free Throw.,70,60
3:20,2349,Matt Harris missed Three Point Jumper.,70,60
3:20,2529,Mario Matasovic Defensive Rebound.,70,60
2:50,2529,Zach Radz made Three Point Jumper. Assisted by Mario Matasovic.,73,60
2:47,2529,Sacred Heart  Timeout,73,60
2:41,2349,Shawn Jones made Layup.,73,62
2:36,2349,Foul on Shawn Jones.,73,62
2:10,2529,Joseph Lopez made Layup.,75,62
1:57,2349,Ryan Jones missed Layup.,75,62
1:57,2349,Connor Bennett Offensive Rebound.,75,62
1:55,2529,Foul on Mario Matasovic.,75,62
1:55,2349,Connor Bennett made Free Throw.,75,63
1:55,2349,Connor Bennett made Free Throw.,75,64
1:51,2349,Foul on Ryan Jones.,75,64
1:43,2349,Foul on Shawn Jones.,75,64
1:40,2349,Foul on Rinardo Perry.,75,64
1:40,2529,Sean Hoehn missed Free Throw.,75,64
1:40,2349,Matt Harris Defensive Rebound.,75,64
1:32,2529,Foul on Joseph Lopez.,75,64
1:32,2349,Ryan Jones made Free Throw.,75,65
1:32,2349,Ryan Jones made Free Throw.,75,66
1:28,2349,Foul on Matt Harris.,75,66
1:28,2529,Zach Radz missed Free Throw.,75,66
1:28,2349,Ryan Jones Defensive Rebound.,75,66
1:20,2349,Rinardo Perry missed Three Point Jumper.,75,66
1:20,2349,Shawn Jones Offensive Rebound.,75,66
1:16,2349,Shawn Jones missed Jumper.,75,66
1:16,2349,Connor Bennett Offensive Rebound.,75,66
1:12,2349,Connor Bennett made Layup.,75,68
1:04,2529,Zach Radz Turnover.,75,68
1:02,2349,Matt Harris Steal.,75,68
1:02,2349,Matt Harris made Layup.,75,70
1:02,2529,Sacred Heart  Timeout,75,70
1:00,2529,Mario Matasovic made Dunk. Assisted by Kinnon LaRose.,77,70
0:54,2349,Matt Harris made Three Point Jumper. Assisted by Shawn Jones.,77,73
0:46,2349,Foul on Connor Bennett.,77,73
0:46,2529,Mario Matasovic made Free Throw.,78,73
0:46,2529,Mario Matasovic made Free Throw.,79,73
0:45,2529,Foul on Joseph Lopez.,79,73
0:45,2349,Matt Harris made Free Throw.,79,74
0:45,2349,Matt Harris made Free Throw.,79,75
0:45,2349,Foul on Ryan Jones.,79,75
0:45,2529,Zach Radz made Free Throw.,80,75
0:45,2529,Zach Radz made Free Throw.,81,75
0:40,2349,Ryan Jones missed Three Point Jumper.,81,75
0:40,2529,Zach Radz Defensive Rebound.,81,75
0:35,2349,Foul on Josh Gantz.,81,75
0:35,2529,Zach Radz made Free Throw.,82,75
0:35,2529,Zach Radz made Free Throw.,83,75
0:35,2529,Foul on Kinnon LaRose.,83,75
0:35,2349,Matt Harris made Free Throw.,83,76
0:35,2349,Matt Harris made Free Throw.,83,77
0:35,2349,Matt Harris made Free Throw.,83,78
0:31,2349,Foul on Shawn Jones.,83,78
0:31,2529,Zach Radz made Free Throw.,84,78
0:31,2529,Zach Radz made Free Throw.,85,78
0:22,2349,Ryan Jones made Jumper.,85,80
0:14,2349,Foul on Shawn Jones.,85,80
0:14,2529,Kinnon LaRose missed Free Throw.,85,80
0:14,2529,Sacred Heart Deadball Team Rebound.,85,80
0:14,2529,Kinnon LaRose made Free Throw.,86,80
0:14,2349,Matt Harris missed Three Point Jumper.,86,80
0:14,2529,Mario Matasovic Defensive Rebound.,86,80
0:14,2349,Foul on Rinardo Perry.,86,80
0:14,2529,Mario Matasovic missed Free Throw.,86,80
0:14,2529,Sacred Heart Deadball Team Rebound.,86,80
0:14,2529,Mario Matasovic made Free Throw.,87,80
0:07,2349,Matt Harris Turnover.,87,80
0:07,2529,Sean Hoehn Steal.,87,80
0:00,2349,End of Game,87,80
