Florida National,Error,Florida Intl,2229
7:38,-1,Christopher Hall Offensive Rebound.,49,71
7:29,-1,Ryan Blanchett missed Jumper.,49,71
7:29,2229,Trejon Jacob Defensive Rebound.,49,71
6:58,2229,Trejon Jacob missed Three Point Jumper.,49,71
6:58,-1,Kenneth Santos Defensive Rebound.,49,71
6:34,-1,Kenneth Santos missed Three Point Jumper.,49,71
6:34,2229,Florida International Offensive Rebound.,49,71
6:31,-1,Foul on Quantavis Hall.,49,71
6:31,2229,Official TV Timeout,49,71
6:17,2229,Isaiah Banks missed Three Point Jumper.,49,71
6:17,-1,Terence Johnson Defensive Rebound.,49,71
6:01,-1,Quantavis Hall missed Three Point Jumper.,49,71
6:01,2229,Florida International Defensive Rebound.,49,71
5:44,2229,Willy Nunez Jr. missed Layup.,49,71
5:44,-1,Ryan Blanchett Defensive Rebound.,49,71
5:36,-1,Quantavis Hall Turnover.,49,71
5:35,2229,Brian Beard Jr. Steal.,49,71
5:32,2229,Eric Lockett made Layup.,49,73
5:15,-1,Christopher Hall missed Three Point Jumper.,49,73
5:15,2229,Eric Lockett Defensive Rebound.,49,73
5:08,2229,Isaiah Banks made Dunk. Assisted by Brian Beard Jr..,49,75
4:56,-1,Christopher Hall Turnover.,49,75
4:41,-1,Foul on Christian Anglada.,49,75
4:41,2229,Brian Beard Jr. made Free Throw.,49,76
4:41,2229,Brian Beard Jr. made Free Throw.,49,77
4:29,-1,Christian Anglada Turnover.,49,77
4:16,2229,Brian Beard Jr. missed Layup.,49,77
4:16,-1,Ryan Blanchett Defensive Rebound.,49,77
4:07,-1,Kenneth Santos made Three Point Jumper. Assisted by Ivenor Rosier.,52,77
3:55,2229,Brian Beard Jr. Turnover.,52,77
3:53,-1,Ivenor Rosier Steal.,52,77
3:52,2229,Foul on Ronald Whitaker.,52,77
3:52,2229,Official TV Timeout,52,77
3:52,-1,Christian Anglada missed Free Throw.,52,77
3:52,-1,Florida National Deadball Team Rebound.,52,77
3:52,-1,Christian Anglada made Free Throw.,53,77
3:33,2229,Isaiah Banks Turnover.,53,77
3:27,-1,Ketrick Bartley made Three Point Jumper. Assisted by Ivenor Rosier.,56,77
3:00,2229,Willy Nunez Jr. missed Three Point Jumper.,56,77
3:00,-1,Christian Anglada Defensive Rebound.,56,77
2:52,-1,Christian Anglada missed Layup.,56,77
2:52,-1,Ryan Blanchett Offensive Rebound.,56,77
2:48,-1,Ryan Blanchett missed Jumper.,56,77
2:48,2229,Isaiah Banks Defensive Rebound.,56,77
2:31,2229,Brian Beard Jr. made Layup.,56,79
2:16,2229,Foul on Ronald Whitaker.,56,79
2:16,-1,Kenneth Santos made Free Throw.,57,79
2:16,-1,Kenneth Santos made Free Throw.,58,79
1:58,-1,Foul on Ketrick Bartley.,58,79
1:55,2229,Michael Douglas missed Free Throw.,58,79
1:55,-1,Ryan Blanchett Defensive Rebound.,58,79
1:46,-1,Kenneth Santos Turnover.,58,79
1:32,-1,Foul on Christian Anglada.,58,79
1:32,2229,Brian Beard Jr. missed Free Throw.,58,79
1:32,2229,Florida International Deadball Team Rebound.,58,79
1:32,2229,Brian Beard Jr. missed Free Throw.,58,79
1:32,-1,Ivenor Rosier Defensive Rebound.,58,79
1:28,-1,Florida National  Timeout,58,79
1:28,2229,Official TV Timeout,58,79
1:17,-1,Kenneth Santos made Three Point Jumper. Assisted by Ivenor Rosier.,61,79
1:00,2229,Willy Nunez Jr. Turnover.,61,79
0:48,-1,Ketrick Bartley missed Layup.,61,79
0:48,2229,Kasper Christiansen Block.,61,79
0:47,-1,Ryan Blanchett Offensive Rebound.,61,79
0:46,-1,Ryan Blanchett missed Layup.,61,79
0:46,-1,Florida National Offensive Rebound.,61,79
0:40,-1,Ivenor Rosier missed Three Point Jumper.,61,79
0:40,2229,Cordell Veira Defensive Rebound.,61,79
0:03,2229,Florida International  Turnover.,61,79
0:01,-1,Kenneth Santos missed Three Point Jumper.,61,79
0:01,-1,Florida National Deadball Team Rebound.,61,79
0:00,2229,End of Game,61,79
