East Tennessee State,2230,Fordham,2193
9:49,2230,Tre Evans missed Jumper.,11,13
9:49,2230,Prokop Slanina Offensive Rebound.,11,13
9:29,2230,Prokop Slanina made Three Point Jumper. Assisted by Will Tavares.,11,16
9:11,2193,Peter Jurkin made Jumper. Assisted by Desonta Bradford.,13,16
8:48,2193,Foul on Devontavius Payne.,13,16
8:48,2230,Tre Evans made Free Throw.,13,17
8:48,2230,Tre Evans made Free Throw.,13,18
8:39,2193,Bo Hodges made Jumper. Assisted by Jermaine Long.,15,18
8:20,2193,Foul on Desonta Bradford.,15,18
7:58,2230,Tre Evans missed Three Point Jumper.,15,18
7:58,2193,Desonta Bradford Defensive Rebound.,15,18
7:50,2193,Jermaine Long missed Three Point Jumper.,15,18
7:50,2230,Joseph Chartouny Defensive Rebound.,15,18
7:30,2193,Foul on Jermaine Long.,15,18
7:30,2230,Official TV Timeout,15,18
7:30,2230,Perris Hicks made Free Throw.,15,19
7:30,2230,Perris Hicks missed Free Throw.,15,19
7:30,2193,Bo Hodges Defensive Rebound.,15,19
7:24,2193,Jermaine Long Turnover.,15,19
7:23,2230,Joseph Chartouny Steal.,15,19
7:17,2230,Fordham  Timeout,15,19
7:17,2230,Tre Evans Turnover.,15,19
7:17,2193,Jermaine Long Steal.,15,19
7:17,2193,Desonta Bradford made Layup. Assisted by Devontavius Payne.,17,19
6:48,2193,Foul on Jermaine Long.,17,19
6:48,2230,Tre Evans made Free Throw.,17,20
6:48,2230,Tre Evans made Free Throw.,17,21
6:29,2193,Bo Hodges Turnover.,17,21
6:27,2230,Joseph Chartouny Steal.,17,21
6:09,2230,Will Tavares missed Three Point Jumper.,17,21
6:09,2193,Devontavius Payne Defensive Rebound.,17,21
5:52,2193,Mladen Armus Turnover.,17,21
5:51,2230,Joseph Chartouny Steal.,17,21
5:48,2230,Ivan Raut missed Layup.,17,21
5:48,2193,Jason Williams Block.,17,21
5:44,2193,Desonta Bradford Defensive Rebound.,17,21
5:39,2193,Bo Hodges made Dunk. Assisted by Desonta Bradford.,19,21
5:21,2230,Will Tavares Turnover.,19,21
4:59,2193,Kanayo Obi-Rapu made Three Point Jumper. Assisted by Devontavius Payne.,22,21
4:42,2193,Foul on Devontavius Payne.,22,21
4:42,2230,David Pekarek made Free Throw.,22,22
4:42,2230,David Pekarek missed Free Throw.,22,22
4:42,2193,Bo Hodges Defensive Rebound.,22,22
4:32,2193,Bo Hodges Turnover.,22,22
4:32,2230,Joseph Chartouny Steal.,22,22
4:32,2230,Joseph Chartouny Turnover.,22,22
4:26,2193,Desonta Bradford made Three Point Jumper. Assisted by Jason Williams.,25,22
3:58,2230,David Pekarek made Three Point Jumper. Assisted by Tre Evans.,25,25
3:40,2193,Mladen Armus Turnover.,25,25
3:38,2230,Official TV Timeout,25,25
3:19,2230,Cavit Havsa missed Layup.,25,25
3:19,2193,Desonta Bradford Defensive Rebound.,25,25
3:03,2193,Andre Edwards made Three Point Jumper. Assisted by Desonta Bradford.,28,25
2:33,2230,David Pekarek missed Three Point Jumper.,28,25
2:33,2193,Jason Williams Defensive Rebound.,28,25
2:21,2193,Bo Hodges missed Layup.,28,25
2:21,2193,Andre Edwards Offensive Rebound.,28,25
2:18,2193,Andre Edwards missed Layup.,28,25
2:18,2230,David Pekarek Defensive Rebound.,28,25
1:59,2193,Foul on Andre Edwards.,28,25
1:59,2230,Joseph Chartouny made Free Throw.,28,26
1:59,2230,Joseph Chartouny made Free Throw.,28,27
1:33,2193,Bo Hodges made Layup. Assisted by Desonta Bradford.,30,27
1:07,2230,Foul on Ivan Raut.,30,27
1:07,2230,Ivan Raut Turnover.,30,27
0:45,2193,Kanayo Obi-Rapu made Three Point Jumper.,33,27
0:22,2193,Foul on Jason Williams.,33,27
0:22,2230,Joseph Chartouny made Free Throw.,33,28
0:22,2230,Joseph Chartouny missed Free Throw.,33,28
0:22,2193,Desonta Bradford Defensive Rebound.,33,28
0:03,2193,Andre Edwards Turnover.,33,28
0:00,2230,End of 1st half,33,28
19:48,2230,Will Tavares made Layup. Assisted by Ivan Raut.,33,30
19:19,2193,Kanayo Obi-Rapu missed Three Point Jumper.,33,30
19:19,2230,Will Tavares Defensive Rebound.,33,30
19:10,2230,Will Tavares Turnover.,33,30
19:09,2193,Bo Hodges Steal.,33,30
19:06,2193,Jermaine Long made Layup. Assisted by Kanayo Obi-Rapu.,35,30
18:51,2230,Joseph Chartouny Turnover.,35,30
18:50,2193,Jermaine Long Steal.,35,30
18:49,2193,Jermaine Long Turnover.,35,30
18:48,2230,Will Tavares Steal.,35,30
18:23,2230,Prokop Slanina missed Jumper.,35,30
18:23,2193,Bo Hodges Defensive Rebound.,35,30
17:53,2193,Bo Hodges made Layup. Assisted by Devontavius Payne.,37,30
17:31,2230,Prokop Slanina made Layup. Assisted by Joseph Chartouny.,37,32
17:13,2193,Desonta Bradford missed Jumper.,37,32
17:13,2193,East Tennessee State Offensive Rebound.,37,32
17:11,2230,Foul on Will Tavares.,37,32
16:58,2193,Devontavius Payne missed Three Point Jumper.,37,32
16:58,2230,Tre Evans Defensive Rebound.,37,32
16:50,2230,Will Tavares made Layup. Assisted by Tre Evans.,37,34
16:29,2193,Jalan McCloud made Layup.,39,34
16:10,2193,Foul on Desonta Bradford.,39,34
16:10,2230,Prokop Slanina made Free Throw.,39,35
16:10,2230,Prokop Slanina made Free Throw.,39,36
15:57,2193,Devontavius Payne made Jumper.,41,36
15:35,2230,Prokop Slanina made Jumper.,41,38
15:13,2193,Desonta Bradford made Three Point Jumper. Assisted by Kanayo Obi-Rapu.,44,38
15:00,2230,Ivan Raut missed Three Point Jumper.,44,38
15:00,2193,East Tennessee State Defensive Rebound.,44,38
14:56,2230,Foul on Prokop Slanina.,44,38
14:56,2230,Official TV Timeout,44,38
14:47,2230,Foul on Will Tavares.,44,38
14:47,2193,Desonta Bradford missed Free Throw.,44,38
14:47,2193,East Tennessee State Deadball Team Rebound.,44,38
14:47,2193,Desonta Bradford made Free Throw.,45,38
14:23,2230,Will Tavares missed Jumper.,45,38
14:23,2193,Andre Edwards Defensive Rebound.,45,38
14:13,2193,Devontavius Payne missed Three Point Jumper.,45,38
14:13,2230,Will Tavares Defensive Rebound.,45,38
13:58,2230,Ivan Raut Turnover.,45,38
13:57,2193,Andre Edwards Steal.,45,38
13:55,2193,Andre Edwards made Dunk.,47,38
13:53,2230,Fordham  Timeout,47,38
13:53,2230,Official TV Timeout,47,38
13:26,2230,Perris Hicks made Jumper.,47,40
13:11,2193,Andre Edwards made Three Point Jumper. Assisted by Jalan McCloud.,50,40
12:54,2193,Foul on Andre Edwards.,50,40
12:54,2230,Fordham  Timeout,50,40
12:52,2230,Tre Evans missed Layup.,50,40
12:52,2193,Kanayo Obi-Rapu Block.,50,40
12:51,2193,Jason Williams Defensive Rebound.,50,40
12:49,2230,Foul on Perris Hicks.,50,40
12:34,2193,Bo Hodges made Jumper.,52,40
12:22,2230,Prokop Slanina made Layup. Assisted by Joseph Chartouny.,52,42
12:05,2193,Andre Edwards missed Three Point Jumper.,52,42
12:05,2230,Perris Hicks Defensive Rebound.,52,42
11:57,2230,Tre Evans made Jumper.,52,44
11:57,2193,Foul on Kanayo Obi-Rapu.,52,44
11:57,2230,Official TV Timeout,52,44
11:57,2230,Tre Evans made Free Throw.,52,45
11:37,2193,Andre Edwards made Layup. Assisted by Jalan McCloud.,54,45
11:10,2193,Foul on Jalan McCloud.,54,45
11:10,2230,Perris Hicks made Free Throw.,54,46
11:10,2230,Perris Hicks made Free Throw.,54,47
11:00,2193,Desonta Bradford missed Three Point Jumper.,54,47
11:00,2193,Bo Hodges Offensive Rebound.,54,47
10:57,2230,Foul on Tre Evans.,54,47
10:57,2193,Bo Hodges made Free Throw.,55,47
10:57,2193,Bo Hodges made Free Throw.,56,47
10:38,2230,Tre Evans missed Three Point Jumper.,56,47
10:38,2193,Andre Edwards Defensive Rebound.,56,47
10:21,2193,Devontavius Payne made Jumper.,58,47
10:04,2230,Will Tavares made Three Point Jumper. Assisted by Prokop Slanina.,58,50
9:49,2193,Foul on Desonta Bradford.,58,50
9:49,2193,Desonta Bradford Turnover.,58,50
9:30,2230,Tre Evans made Layup. Assisted by Prokop Slanina.,58,52
9:30,2193,Foul on Kanayo Obi-Rapu.,58,52
9:30,2230,Tre Evans missed Free Throw.,58,52
9:30,2193,Bo Hodges Defensive Rebound.,58,52
9:11,2193,Desonta Bradford made Jumper.,60,52
8:53,2230,Will Tavares made Three Point Jumper.,60,55
8:35,2193,Bo Hodges Turnover.,60,55
8:34,2230,Will Tavares Steal.,60,55
8:34,2193,Foul on Andre Edwards.,60,55
8:34,2230,Will Tavares made Free Throw.,60,56
8:34,2230,Will Tavares missed Free Throw.,60,56
8:34,2193,Kanayo Obi-Rapu Defensive Rebound.,60,56
8:12,2230,Foul on Perris Hicks.,60,56
8:02,2193,Bo Hodges missed Layup.,60,56
8:02,2230,Prokop Slanina Defensive Rebound.,60,56
7:47,2193,Foul on Kanayo Obi-Rapu.,60,56
7:47,2230,Official TV Timeout,60,56
7:47,2230,Ivan Raut missed Free Throw.,60,56
7:47,2193,Desonta Bradford Defensive Rebound.,60,56
7:21,2193,Bo Hodges made Jumper. Assisted by Jalan McCloud.,62,56
7:10,2230,Will Tavares missed Three Point Jumper.,62,56
7:10,2193,Desonta Bradford Defensive Rebound.,62,56
6:54,2193,Jalan McCloud made Jumper.,64,56
6:35,2230,Ivan Raut made Three Point Jumper. Assisted by Cavit Havsa.,64,59
6:07,2193,Mladen Armus made Layup. Assisted by Jalan McCloud.,66,59
5:51,2193,Foul on Devontavius Payne.,66,59
5:51,2230,Will Tavares made Free Throw.,66,60
5:51,2230,Will Tavares made Free Throw.,66,61
5:33,2193,Mladen Armus missed Jumper.,66,61
5:33,2230,Joseph Chartouny Defensive Rebound.,66,61
5:24,2230,Tre Evans Turnover.,66,61
5:22,2193,Mladen Armus Steal.,66,61
5:20,2193,Bo Hodges made Dunk. Assisted by Kanayo Obi-Rapu.,68,61
4:57,2230,Will Tavares made Layup.,68,63
4:29,2193,Devontavius Payne missed Jumper.,68,63
4:29,2230,Tre Evans Defensive Rebound.,68,63
4:09,2230,Will Tavares missed Three Point Jumper.,68,63
4:09,2193,Bo Hodges Defensive Rebound.,68,63
3:57,2193,East Tennessee State  Timeout,68,63
3:57,2230,Official TV Timeout,68,63
3:40,2193,Jalan McCloud missed Jumper.,68,63
3:40,2193,Andre Edwards Offensive Rebound.,68,63
3:38,2230,Foul on Prokop Slanina.,68,63
3:38,2193,Andre Edwards missed Free Throw.,68,63
3:38,2193,East Tennessee State Deadball Team Rebound.,68,63
3:38,2193,Andre Edwards made Free Throw.,69,63
3:23,2230,Joseph Chartouny missed Layup.,69,63
3:23,2193,Desonta Bradford Defensive Rebound.,69,63
3:13,2193,Jalan McCloud missed Jumper.,69,63
3:13,2230,Prokop Slanina Defensive Rebound.,69,63
3:03,2230,Perris Hicks made Jumper.,69,65
2:38,2193,Desonta Bradford missed Jumper.,69,65
2:38,2193,Desonta Bradford Offensive Rebound.,69,65
2:32,2193,Desonta Bradford made Jumper.,71,65
2:10,2193,Foul on Devontavius Payne.,71,65
2:10,2230,Tre Evans made Free Throw.,71,66
2:10,2230,Tre Evans made Free Throw.,71,67
2:01,2230,Foul on Perris Hicks.,71,67
2:01,2193,Desonta Bradford missed Free Throw.,71,67
2:01,2230,Tre Evans Defensive Rebound.,71,67
1:45,2230,Tre Evans made Layup. Assisted by Cavit Havsa.,71,69
1:24,2193,Bo Hodges made Free Throw.,72,69
1:24,2193,East Tennessee State  Timeout,72,69
1:24,2193,Andre Edwards missed Layup.,72,69
1:24,2193,Bo Hodges Offensive Rebound.,72,69
1:24,2230,Foul on Tre Evans.,72,69
1:24,2193,Bo Hodges missed Free Throw.,72,69
1:24,2193,East Tennessee State Deadball Team Rebound.,72,69
0:57,2230,Tre Evans missed Layup.,72,69
0:57,2193,Jalan McCloud Defensive Rebound.,72,69
0:44,2230,Foul on Joseph Chartouny.,72,69
0:44,2193,Desonta Bradford made Free Throw.,73,69
0:44,2193,Desonta Bradford made Free Throw.,74,69
0:34,2230,Tre Evans made Layup.,74,71
0:34,2230,Fordham  Timeout,74,71
0:32,2230,Foul on David Pekarek.,74,71
0:32,2193,Kanayo Obi-Rapu missed Free Throw.,74,71
0:32,2193,East Tennessee State Deadball Team Rebound.,74,71
0:32,2193,Kanayo Obi-Rapu made Free Throw.,75,71
0:14,2230,Prokop Slanina made Jumper. Assisted by Tre Evans.,75,73
0:14,2230,Foul on Tre Evans.,75,73
0:14,2193,Desonta Bradford made Free Throw.,76,73
0:14,2193,Desonta Bradford missed Free Throw.,76,73
0:14,2230,Joseph Chartouny Defensive Rebound.,76,73
0:07,2193,Foul on Devontavius Payne.,76,73
0:07,2230,Will Tavares made Free Throw.,76,74
0:07,2230,Will Tavares made Free Throw.,76,75
0:05,2230,Foul on Tre Evans.,76,75
0:05,2193,Desonta Bradford made Free Throw.,77,75
0:05,2193,Desonta Bradford made Free Throw.,78,75
0:05,2230,Fordham  Timeout,78,75
0:04,2193,Foul on Jalan McCloud.,78,75
0:04,2230,Ivan Raut made Free Throw.,78,76
0:04,2230,Ivan Raut made Free Throw.,78,77
0:03,2230,Foul on Ivan Raut.,78,77
0:03,2193,Desonta Bradford made Free Throw.,79,77
0:03,2193,Desonta Bradford made Free Throw.,80,77
0:02,2230,Joseph Chartouny Turnover.,80,77
0:02,2193,Kanayo Obi-Rapu Steal.,80,77
0:02,2230,Foul on Ivan Raut.,80,77
0:02,2193,Kanayo Obi-Rapu made Free Throw.,81,77
0:02,2193,Kanayo Obi-Rapu made Free Throw.,82,77
0:00,2230,End of Game,82,77
