Chicago State,269,Marquette,2130
0:27,269,Markus Howard missed Three Point Jumper.,40,48
0:27,2130,Montana Byrd Defensive Rebound.,40,48
0:00,269,End of 1st half,40,48
19:39,2130,Rob Shaw missed Jumper.,40,48
19:39,2130,Montana Byrd Offensive Rebound.,40,48
19:29,2130,Fred Sims Jr. missed Jumper.,40,48
19:29,269,Matt Heldt Defensive Rebound.,40,48
19:14,269,Markus Howard made Three Point Jumper. Assisted by Andrew Rowsey.,40,51
18:46,269,Foul on Sam Hauser.,40,51
18:46,269,Foul on Matt Heldt.,40,51
18:26,2130,Montana Byrd missed Three Point Jumper.,40,51
18:26,2130,Glen Burns Offensive Rebound.,40,51
18:24,2130,Glen Burns Turnover.,40,51
18:14,269,Sacar Anim missed Jumper.,40,51
18:14,2130,Rob Shaw Defensive Rebound.,40,51
18:08,269,Foul on Sam Hauser.,40,51
18:08,2130,Fred Sims Jr. made Free Throw.,41,51
18:08,2130,Fred Sims Jr. made Free Throw.,42,51
17:49,269,Markus Howard made Three Point Jumper.,42,54
17:35,2130,Rob Shaw missed Jumper.,42,54
17:35,269,Matt Heldt Defensive Rebound.,42,54
17:21,269,Sam Hauser Turnover.,42,54
17:20,2130,Glen Burns Steal.,42,54
17:17,2130,Rob Shaw made Layup. Assisted by Fred Sims Jr..,44,54
16:45,2130,Foul on Rob Shaw.,44,54
16:35,269,Andrew Rowsey Turnover.,44,54
16:13,269,Foul on Theo John.,44,54
16:13,2130,Deionte Simmons made Free Throw.,45,54
16:13,2130,Deionte Simmons missed Free Throw.,45,54
16:13,269,Markus Howard Defensive Rebound.,45,54
15:45,269,Andrew Rowsey made Jumper.,45,56
15:24,2130,Jelani Pruitt missed Jumper.,45,56
15:24,269,Jamal Cain Defensive Rebound.,45,56
15:18,269,Theo John missed Layup.,45,56
15:18,2130,Glen Burns Defensive Rebound.,45,56
15:06,2130,Jelani Pruitt missed Jumper.,45,56
15:06,2130,Chicago State Deadball Team Rebound.,45,56
15:06,269,Foul on Sacar Anim.,45,56
15:06,269,Official TV Timeout,45,56
14:55,2130,Fred Sims Jr. missed Three Point Jumper.,45,56
14:55,269,Andrew Rowsey Defensive Rebound.,45,56
14:48,2130,Foul on Deionte Simmons.,45,56
14:43,269,Andrew Rowsey missed Jumper.,45,56
14:43,269,Sacar Anim Offensive Rebound.,45,56
14:39,2130,Foul on Rob Shaw.,45,56
14:34,2130,Foul on Jelani Pruitt.,45,56
14:34,269,Sacar Anim missed Free Throw.,45,56
14:34,269,Marquette Deadball Team Rebound.,45,56
14:34,269,Sacar Anim made Free Throw.,45,57
14:16,2130,Glen Burns Turnover.,45,57
14:06,269,Markus Howard made Three Point Jumper. Assisted by Andrew Rowsey.,45,60
14:02,2130,Chicago State  Timeout,45,60
13:55,2130,Fred Sims Jr. missed Three Point Jumper.,45,60
13:55,269,Greg Elliott Block.,45,60
13:52,269,Theo John Defensive Rebound.,45,60
13:49,269,Greg Elliott made Layup. Assisted by Jamal Cain.,45,62
13:30,2130,Montana Byrd missed Jumper.,45,62
13:30,269,Andrew Rowsey Defensive Rebound.,45,62
13:13,269,Greg Elliott made Dunk. Assisted by Andrew Rowsey.,45,64
12:48,2130,Fred Sims Jr. made Jumper.,47,64
12:34,269,Andrew Rowsey made Layup.,47,66
12:09,2130,Deionte Simmons made Jumper. Assisted by Fred Sims Jr..,49,66
11:54,269,Jamal Cain made Layup. Assisted by Greg Elliott.,49,68
11:54,2130,Foul on Glen Burns.,49,68
11:54,269,Official TV Timeout,49,68
11:54,269,Jamal Cain made Free Throw.,49,69
11:34,2130,Fred Sims Jr. missed Three Point Jumper.,49,69
11:34,269,Andrew Rowsey Defensive Rebound.,49,69
11:27,269,Foul on Greg Elliott.,49,69
11:27,269,Greg Elliott Turnover.,49,69
11:05,2130,Travon Bell Turnover.,49,69
11:04,269,Greg Elliott Steal.,49,69
11:01,269,Greg Elliott made Dunk.,49,71
10:46,2130,Glen Burns missed Jumper.,49,71
10:46,2130,Deionte Simmons Offensive Rebound.,49,71
10:41,2130,Deionte Simmons made Two Point Tip Shot.,51,71
10:33,269,Sam Hauser missed Three Point Jumper.,51,71
10:33,2130,Deionte Simmons Defensive Rebound.,51,71
10:10,2130,Travon Bell missed Three Point Jumper.,51,71
10:10,2130,Deionte Simmons Offensive Rebound.,51,71
10:07,2130,Deionte Simmons made Two Point Tip Shot.,53,71
9:51,2130,Foul on Travon Bell.,53,71
9:35,269,Andrew Rowsey made Jumper.,53,73
9:12,269,Foul on Andrew Rowsey.,53,73
9:12,2130,Glen Burns made Free Throw.,54,73
9:12,2130,Glen Burns made Free Throw.,55,73
9:06,269,Greg Elliott missed Three Point Jumper.,55,73
9:06,2130,Glen Burns Defensive Rebound.,55,73
8:57,2130,Rob Shaw Turnover.,55,73
8:42,269,Andrew Rowsey made Three Point Jumper.,55,76
8:13,269,Foul on Theo John.,55,76
8:13,2130,Deionte Simmons made Free Throw.,56,76
8:13,2130,Deionte Simmons made Free Throw.,57,76
8:13,269,Marquette  Timeout,57,76
7:55,269,Markus Howard made Three Point Jumper. Assisted by Andrew Rowsey.,57,79
7:27,2130,Travon Bell missed Three Point Jumper.,57,79
7:27,269,Greg Elliott Defensive Rebound.,57,79
7:17,269,Markus Howard missed Three Point Jumper.,57,79
7:17,269,Greg Elliott Offensive Rebound.,57,79
7:14,269,Markus Howard made Three Point Jumper. Assisted by Greg Elliott.,57,82
6:51,2130,Fred Sims Jr. missed Three Point Jumper.,57,82
6:51,269,Greg Elliott Defensive Rebound.,57,82
6:42,269,Markus Howard missed Three Point Jumper.,57,82
6:42,2130,Glen Burns Defensive Rebound.,57,82
6:42,269,Foul on Greg Elliott.,57,82
6:42,2130,Glen Burns missed Free Throw.,57,82
6:42,269,Sacar Anim Defensive Rebound.,57,82
6:28,269,Markus Howard made Three Point Jumper.,57,85
6:14,2130,Fred Sims Jr. missed Jumper.,57,85
6:14,269,Markus Howard Defensive Rebound.,57,85
6:00,269,Markus Howard Turnover.,57,85
5:58,2130,Anthony Harris Steal.,57,85
5:55,269,Foul on Greg Elliott.,57,85
5:55,2130,Glen Burns made Free Throw.,58,85
5:55,2130,Glen Burns made Free Throw.,59,85
5:42,269,Markus Howard Turnover.,59,85
5:34,2130,Glen Burns missed Jumper.,59,85
5:34,269,Jamal Cain Defensive Rebound.,59,85
5:26,269,Foul on Theo John.,59,85
5:26,269,Theo John Turnover.,59,85
5:14,2130,Anthony Harris made Three Point Jumper. Assisted by Glen Burns.,62,85
4:55,269,Jamal Cain missed Three Point Jumper.,62,85
4:55,269,Sacar Anim Offensive Rebound.,62,85
4:52,269,Sacar Anim missed Two Point Tip Shot.,62,85
4:52,2130,Anthony Harris Defensive Rebound.,62,85
4:47,2130,Fred Sims Jr. missed Jumper.,62,85
4:47,269,Matt Heldt Defensive Rebound.,62,85
4:45,2130,Foul on Deionte Simmons.,62,85
4:45,269,Matt Heldt made Free Throw.,62,86
4:45,269,Matt Heldt made Free Throw.,62,87
4:30,2130,Fred Sims Jr. missed Three Point Jumper.,62,87
4:30,269,Sacar Anim Defensive Rebound.,62,87
4:23,2130,Foul on Anthony Harris.,62,87
4:23,269,Jamal Cain missed Free Throw.,62,87
4:23,2130,Deionte Simmons Defensive Rebound.,62,87
4:05,2130,Anthony Harris missed Three Point Jumper.,62,87
4:05,269,Markus Howard Defensive Rebound.,62,87
3:56,269,Sacar Anim missed Three Point Jumper.,62,87
3:56,2130,Montana Byrd Defensive Rebound.,62,87
3:49,269,Official TV Timeout,62,87
3:44,2130,Travon Bell Turnover.,62,87
3:26,269,Sacar Anim made Layup. Assisted by Matt Heldt.,62,89
3:15,2130,Simeon Henton missed Jumper.,62,89
3:15,269,Matt Heldt Block.,62,89
3:13,269,Sacar Anim Defensive Rebound.,62,89
3:09,269,Sacar Anim missed Jumper.,62,89
3:09,269,Sacar Anim Offensive Rebound.,62,89
3:09,2130,Montana Byrd Block.,62,89
3:09,2130,Foul on Glen Burns.,62,89
3:09,269,Sacar Anim made Free Throw.,62,90
3:09,269,Sacar Anim made Free Throw.,62,91
2:47,2130,Glen Burns Turnover.,62,91
2:30,269,Jamal Cain made Layup. Assisted by Greg Elliott.,62,93
2:14,2130,Jalen Stephens-Holmes missed Layup.,62,93
2:14,2130,John Joyce Offensive Rebound.,62,93
2:11,2130,John Joyce made Two Point Tip Shot.,64,93
1:49,269,Sacar Anim made Dunk. Assisted by Greg Elliott.,64,95
1:29,2130,Cameron Bowles missed Jumper.,64,95
1:29,269,Sacar Anim Defensive Rebound.,64,95
1:15,269,Mike Lelito missed Three Point Jumper.,64,95
1:15,2130,John Joyce Defensive Rebound.,64,95
1:02,2130,Nathan Townsen Jr. made Jumper.,66,95
0:44,2130,Foul on Jalen Stephens-Holmes.,66,95
0:44,269,Cam Marotta missed Three Point Jumper.,66,95
0:44,269,Greg Elliott Offensive Rebound.,66,95
0:44,269,Sacar Anim missed Free Throw.,66,95
0:44,269,Marquette Deadball Team Rebound.,66,95
0:44,269,Sacar Anim missed Free Throw.,66,95
0:44,2130,Simeon Henton Defensive Rebound.,66,95
0:30,2130,John Joyce made Three Point Jumper. Assisted by Simeon Henton.,69,95
0:01,269,Marquette  Turnover.,69,95
0:00,269,End of Game,69,95
