Arkansas State,325,Cleveland State,2032
3:52,2032,Rashad Lindsey missed Three Point Jumper.,30,29
3:52,325,Kenny Carpenter Defensive Rebound.,30,29
3:44,325,Kasheem Thomas missed Layup.,30,29
3:44,2032,Tamas Bruce Defensive Rebound.,30,29
3:37,2032,Ty Cockfield missed Layup.,30,29
3:37,325,Kenny Carpenter Defensive Rebound.,30,29
3:12,325,Bobby Word missed Layup.,30,29
3:12,2032,Tamas Bruce Block.,30,29
3:11,325,Cleveland State Offensive Rebound.,30,29
3:11,325,Official TV Timeout,30,29
3:07,325,Dontel Highsmith Turnover.,30,29
2:49,2032,Deven Simms made Jumper.,32,29
2:17,325,Kenny Carpenter missed Three Point Jumper.,32,29
2:17,2032,Arkansas State Defensive Rebound.,32,29
2:01,2032,Salif Boudie Turnover.,32,29
1:58,325,Tyree Appleby Steal.,32,29
1:55,325,Kenny Carpenter made Layup.,32,31
1:40,2032,Salif Boudie made Layup. Assisted by Marquis Eaton.,34,31
1:40,325,Foul on Bobby Word.,34,31
1:40,2032,Salif Boudie missed Free Throw.,34,31
1:40,325,Jamarcus Hairston Defensive Rebound.,34,31
1:23,325,Jamarcus Hairston made Layup. Assisted by Tyree Appleby.,34,33
0:46,2032,Deven Simms missed Three Point Jumper.,34,33
0:46,325,Tyree Appleby Defensive Rebound.,34,33
0:41,2032,Foul on Deven Simms.,34,33
0:41,325,Dontel Highsmith missed Free Throw.,34,33
0:41,325,Cleveland State Deadball Team Rebound.,34,33
0:41,325,Dontel Highsmith made Free Throw.,34,34
0:30,2032,Rashad Lindsey missed Three Point Jumper.,34,34
0:30,325,Bobby Word Defensive Rebound.,34,34
0:17,325,Cleveland State  Timeout,34,34
0:01,325,Kenny Carpenter missed Three Point Jumper.,34,34
0:01,2032,Arkansas State Defensive Rebound.,34,34
0:00,325,End of 1st half,34,34
19:38,2032,Rashad Lindsey made Jumper.,36,34
19:10,325,Stefan Kenic missed Three Point Jumper.,36,34
19:10,325,Bobby Word Offensive Rebound.,36,34
19:00,2032,Foul on Tamas Bruce.,36,34
18:42,325,Stefan Kenic made Three Point Jumper. Assisted by Anthony Wright.,36,37
18:22,2032,Tamas Bruce missed Layup.,36,37
18:22,325,Stefan Kenic Defensive Rebound.,36,37
18:02,325,Stefan Kenic made Layup.,36,39
17:44,2032,Tristin Walley made Three Point Jumper. Assisted by Rashad Lindsey.,39,39
17:26,325,Kasheem Thomas missed Layup.,39,39
17:26,2032,Deven Simms Defensive Rebound.,39,39
17:21,2032,C.J. Foster made Three Point Jumper. Assisted by Deven Simms.,42,39
16:47,325,Kenny Carpenter made Jumper.,42,41
16:28,2032,Tamas Bruce made Layup.,44,41
16:27,325,Foul on Stefan Kenic.,44,41
16:27,2032,Tamas Bruce missed Free Throw.,44,41
16:27,325,Evan Clayborne Defensive Rebound.,44,41
16:11,325,Tyree Appleby made Jumper.,44,43
15:54,2032,Deven Simms made Layup. Assisted by C.J. Foster.,46,43
15:42,325,Anthony Wright made Layup. Assisted by Tyree Appleby.,46,45
15:42,2032,Foul on Tamas Bruce.,46,45
15:42,325,Official TV Timeout,46,45
15:42,325,Anthony Wright made Free Throw.,46,46
15:20,2032,Connor Kern made Three Point Jumper. Assisted by Rashad Lindsey.,49,46
15:08,325,Evan Clayborne missed Layup.,49,46
15:08,325,Evan Clayborne Offensive Rebound.,49,46
15:07,325,Evan Clayborne missed Two Point Tip Shot.,49,46
15:07,325,Evan Clayborne Offensive Rebound.,49,46
15:07,2032,Foul on C.J. Foster.,49,46
15:07,325,Evan Clayborne made Free Throw.,49,47
15:07,325,Evan Clayborne made Free Throw.,49,48
14:49,2032,Rashad Lindsey missed Jumper.,49,48
14:49,2032,Tristin Walley Offensive Rebound.,49,48
14:44,2032,Tristin Walley missed Layup.,49,48
14:44,325,Evan Clayborne Block.,49,48
14:43,2032,Deven Simms Offensive Rebound.,49,48
14:39,2032,Rashad Lindsey Turnover.,49,48
14:37,325,Dontel Highsmith Steal.,49,48
14:33,325,Tyree Appleby made Three Point Jumper. Assisted by Anthony Wright.,49,51
14:16,2032,Rashad Lindsey made Jumper.,51,51
13:59,325,Evan Clayborne made Layup. Assisted by Tyree Appleby.,51,53
13:43,2032,Foul on Ty Cockfield.,51,53
13:43,2032,Ty Cockfield Turnover.,51,53
13:31,325,Kenny Carpenter made Jumper.,51,55
13:23,2032,Arkansas State  Timeout,51,55
13:10,2032,Ty Cockfield missed Layup.,51,55
13:10,325,Evan Clayborne Block.,51,55
13:09,2032,Arkansas State Offensive Rebound.,51,55
12:57,325,Foul on Anthony Wright.,51,55
12:57,2032,Deven Simms missed Free Throw.,51,55
12:57,2032,Arkansas State Deadball Team Rebound.,51,55
12:57,2032,Deven Simms missed Free Throw.,51,55
12:57,325,Anthony Wright Defensive Rebound.,51,55
12:33,325,Bobby Word made Three Point Jumper. Assisted by Kenny Carpenter.,51,58
12:08,2032,Connor Kern Turnover.,51,58
11:56,325,Kenny Carpenter made Jumper.,51,60
11:33,2032,Marquis Eaton Turnover.,51,60
11:33,325,Tyree Appleby Steal.,51,60
11:33,325,Official TV Timeout,51,60
11:25,325,Tyree Appleby missed Layup.,51,60
11:25,2032,Tristin Walley Block.,51,60
11:23,2032,C.J. Foster Defensive Rebound.,51,60
11:17,2032,C.J. Foster made Layup.,53,60
10:59,325,Evan Clayborne missed Jumper.,53,60
10:59,2032,Tristin Walley Defensive Rebound.,53,60
10:47,2032,Tristin Walley missed Three Point Jumper.,53,60
10:47,2032,Ty Cockfield Offensive Rebound.,53,60
10:42,2032,Ty Cockfield missed Layup.,53,60
10:42,325,Cleveland State Defensive Rebound.,53,60
10:25,325,Bobby Word missed Three Point Jumper.,53,60
10:25,2032,Tristin Walley Defensive Rebound.,53,60
10:16,2032,Marquis Eaton missed Layup.,53,60
10:16,325,Bobby Word Block.,53,60
10:16,2032,Arkansas State Offensive Rebound.,53,60
10:09,2032,Ty Cockfield missed Layup.,53,60
10:09,2032,Tamas Bruce Offensive Rebound.,53,60
10:05,2032,Tamas Bruce made Layup.,55,60
9:43,325,Evan Clayborne missed Layup.,55,60
9:43,2032,Tristin Walley Defensive Rebound.,55,60
9:42,325,Foul on Evan Clayborne.,55,60
9:33,325,Foul on Dontel Highsmith.,55,60
9:24,2032,C.J. Foster missed Layup.,55,60
9:24,2032,Tamas Bruce Offensive Rebound.,55,60
9:21,2032,Tamas Bruce made Layup.,57,60
9:08,325,Anthony Wright missed Jumper.,57,60
9:08,2032,Tristin Walley Defensive Rebound.,57,60
8:58,2032,C.J. Foster Turnover.,57,60
8:56,325,Jamarcus Hairston Steal.,57,60
8:52,325,Dontel Highsmith Turnover.,57,60
8:39,2032,Tristin Walley missed Layup.,57,60
8:39,2032,Deven Simms Offensive Rebound.,57,60
8:36,2032,Deven Simms made Layup.,59,60
8:31,325,Jamarcus Hairston missed Layup.,59,60
8:31,2032,Tristin Walley Block.,59,60
8:28,2032,C.J. Foster Defensive Rebound.,59,60
8:25,2032,Ty Cockfield made Three Point Jumper. Assisted by C.J. Foster.,62,60
8:21,325,Cleveland State  Timeout,62,60
8:10,325,Evan Clayborne made Dunk. Assisted by Tyree Appleby.,62,62
8:09,2032,Foul on C.J. Foster.,62,62
8:09,325,Evan Clayborne missed Free Throw.,62,62
8:09,2032,C.J. Foster Defensive Rebound.,62,62
7:47,2032,Deven Simms missed Layup.,62,62
7:47,325,Evan Clayborne Block.,62,62
7:44,325,Kenny Carpenter Defensive Rebound.,62,62
7:30,2032,Foul on Tristin Walley.,62,62
7:17,325,Foul on Evan Clayborne.,62,62
7:17,325,Evan Clayborne Turnover.,62,62
7:17,2032,Technical Foul on Tamas Bruce.,62,62
7:17,2032,Foul on Tamas Bruce.,62,62
7:17,325,Anthony Wright made Free Throw.,62,63
7:17,325,Anthony Wright made Free Throw.,62,64
6:58,2032,Marquis Eaton Turnover.,62,64
6:47,325,Tyree Appleby made Layup.,62,66
6:28,2032,Rashad Lindsey missed Jumper.,62,66
6:28,325,Anthony Wright Defensive Rebound.,62,66
6:04,2032,Foul on Connor Kern.,62,66
6:04,325,Bobby Word made Free Throw.,62,67
6:04,325,Bobby Word made Free Throw.,62,68
5:55,2032,Ty Cockfield Turnover.,62,68
5:53,325,Dontel Highsmith Steal.,62,68
5:49,325,Bobby Word made Layup.,62,70
5:38,2032,Arkansas State  Timeout,62,70
5:28,2032,Deven Simms missed Jumper.,62,70
5:28,325,Kenny Carpenter Defensive Rebound.,62,70
4:59,325,Tyree Appleby Turnover.,62,70
4:58,2032,Tristin Walley Steal.,62,70
4:45,2032,Ty Cockfield made Three Point Jumper. Assisted by Rashad Lindsey.,65,70
4:25,2032,Foul on Connor Kern.,65,70
4:25,325,Tyree Appleby missed Free Throw.,65,70
4:25,2032,Deven Simms Defensive Rebound.,65,70
4:05,325,Foul on Kenny Carpenter.,65,70
3:54,325,Foul on Kenny Carpenter.,65,70
3:54,325,Official TV Timeout,65,70
3:54,2032,Tristin Walley made Free Throw.,66,70
3:54,2032,Tristin Walley made Free Throw.,67,70
3:43,325,Tyree Appleby missed Layup.,67,70
3:43,2032,Ty Cockfield Defensive Rebound.,67,70
3:36,2032,Ty Cockfield made Layup.,69,70
3:14,325,Evan Clayborne made Dunk. Assisted by Tyree Appleby.,69,72
2:52,2032,Deven Simms Turnover.,69,72
2:50,325,Evan Clayborne Steal.,69,72
2:30,325,Bobby Word missed Jumper.,69,72
2:30,2032,Tristin Walley Defensive Rebound.,69,72
2:16,2032,Tamas Bruce missed Jumper.,69,72
2:16,325,Dontel Highsmith Defensive Rebound.,69,72
1:51,325,Bobby Word missed Three Point Jumper.,69,72
1:51,2032,C.J. Foster Defensive Rebound.,69,72
1:42,2032,C.J. Foster missed Layup.,69,72
1:42,2032,Deven Simms Offensive Rebound.,69,72
1:38,2032,C.J. Foster missed Three Point Jumper.,69,72
1:38,325,Tyree Appleby Defensive Rebound.,69,72
1:31,325,Tyree Appleby Turnover.,69,72
1:30,2032,Ty Cockfield Steal.,69,72
1:29,2032,Ty Cockfield missed Three Point Jumper.,69,72
1:29,325,Kenny Carpenter Defensive Rebound.,69,72
1:29,2032,Foul on Tamas Bruce.,69,72
1:29,325,Kenny Carpenter missed Free Throw.,69,72
1:29,325,Cleveland State Deadball Team Rebound.,69,72
1:29,325,Kenny Carpenter made Free Throw.,69,73
1:10,2032,Deven Simms made Three Point Jumper. Assisted by Ty Cockfield.,72,73
1:09,2032,Arkansas State  Timeout,72,73
0:46,325,Dontel Highsmith missed Layup.,72,73
0:46,325,Kasheem Thomas Offensive Rebound.,72,73
0:27,325,Cleveland State  Timeout,72,73
0:14,325,Dontel Highsmith missed Layup.,72,73
0:14,2032,C.J. Foster Defensive Rebound.,72,73
0:05,2032,Ty Cockfield missed Layup.,72,73
0:05,325,Bobby Word Block.,72,73
0:05,325,Cleveland State Defensive Rebound.,72,73
0:05,325,Cleveland State  Timeout,72,73
0:05,325,Dontel Highsmith Turnover.,72,73
0:04,2032,Deven Simms Turnover.,72,73
0:04,325,Cleveland State  Timeout,72,73
0:02,2032,Foul on Shaquillo Fritz.,72,73
0:02,325,Bobby Word made Free Throw.,72,74
0:02,325,Bobby Word made Free Throw.,72,75
0:00,325,End of Game,72,75
