Colgate,399,Albany,2142
17:15,2142,Jordan Burns Turnover.,37,40
16:58,399,Travis Charles Turnover.,37,40
16:57,2142,Dana Batt Steal.,37,40
16:48,2142,Will Rayman made Three Point Jumper. Assisted by Jordan Swopshire.,40,40
16:29,399,Greig Stire missed Layup.,40,40
16:29,2142,Jordan Swopshire Defensive Rebound.,40,40
16:14,2142,Jordan Swopshire Turnover.,40,40
16:13,399,Greig Stire Steal.,40,40
15:57,399,Joe Cremo made Three Point Jumper. Assisted by David Nichols.,40,43
15:40,399,Foul on David Nichols.,40,43
15:40,399,Official TV Timeout,40,43
15:31,2142,Will Rayman made Layup.,42,43
15:31,399,Foul on Joe Cremo.,42,43
15:31,2142,Will Rayman made Free Throw.,43,43
15:08,399,Travis Charles missed Jumper.,43,43
15:08,2142,Dana Batt Defensive Rebound.,43,43
14:46,2142,Will Rayman missed Jumper.,43,43
14:46,399,Greig Stire Defensive Rebound.,43,43
14:40,2142,Foul on Will Rayman.,43,43
14:27,399,Joe Cremo missed Jumper.,43,43
14:27,399,Albany Offensive Rebound.,43,43
14:27,2142,Foul on Dana Batt.,43,43
14:16,399,Alex Foster made Layup. Assisted by Devonte Campbell.,43,45
13:58,2142,Malcolm Regisford made Layup. Assisted by Jordan Swopshire.,45,45
13:36,399,Travis Charles made Layup. Assisted by Joe Cremo.,45,47
13:36,2142,Foul on Malcolm Regisford.,45,47
13:36,399,Travis Charles made Free Throw.,45,48
13:20,2142,Jordan Burns made Jumper.,47,48
12:58,399,David Nichols made Jumper. Assisted by Joe Cremo.,47,50
12:41,2142,Jordan Burns made Three Point Jumper.,50,50
12:17,399,Alex Foster missed Layup.,50,50
12:17,2142,Malcolm Regisford Defensive Rebound.,50,50
11:59,2142,Jordan Swopshire made Jumper.,52,50
11:25,399,Matt Conway made Jumper.,52,52
11:13,2142,Jordan Swopshire missed Three Point Jumper.,52,52
11:13,399,Joe Cremo Defensive Rebound.,52,52
11:04,399,Costa Anderson missed Jumper.,52,52
11:04,2142,Malcolm Regisford Defensive Rebound.,52,52
10:56,2142,Foul on Jordan Robertson.,52,52
10:56,2142,Jordan Robertson Turnover.,52,52
10:56,399,Official TV Timeout,52,52
10:37,399,Foul on Alex Foster.,52,52
10:37,399,Alex Foster Turnover.,52,52
10:23,2142,Malcolm Regisford missed Layup.,52,52
10:23,399,David Nichols Defensive Rebound.,52,52
10:19,2142,Foul on Jordan Swopshire.,52,52
10:19,399,David Nichols made Free Throw.,52,53
10:19,399,David Nichols made Free Throw.,52,54
10:07,2142,Jordan Burns missed Layup.,52,54
10:07,399,Devonte Campbell Block.,52,54
10:06,399,Devonte Campbell Defensive Rebound.,52,54
9:42,399,Costa Anderson made Three Point Jumper. Assisted by Devonte Campbell.,52,57
9:25,2142,Malcolm Regisford missed Layup.,52,57
9:25,399,Albany Defensive Rebound.,52,57
9:00,399,Joe Cremo missed Jumper.,52,57
9:00,399,Devonte Campbell Offensive Rebound.,52,57
8:58,399,Devonte Campbell Turnover.,52,57
8:57,2142,Francisco Amiel Steal.,52,57
8:51,2142,Will Rayman Turnover.,52,57
8:49,399,Costa Anderson Steal.,52,57
8:36,399,Joe Cremo made Layup.,52,59
8:17,2142,Jordan Burns Turnover.,52,59
8:16,399,Costa Anderson Steal.,52,59
8:13,399,Devonte Campbell Turnover.,52,59
8:12,2142,Jordan Robertson Steal.,52,59
8:06,2142,Jordan Robertson made Layup.,54,59
8:06,399,Foul on Travis Charles.,54,59
8:06,2142,Jordan Robertson made Free Throw.,55,59
7:56,399,Albany  Turnover.,55,59
7:54,399,Official TV Timeout,55,59
7:47,2142,Will Rayman missed Jumper.,55,59
7:47,2142,Dana Batt Offensive Rebound.,55,59
7:44,2142,Will Rayman missed Jumper.,55,59
7:44,399,Travis Charles Defensive Rebound.,55,59
7:19,399,Costa Anderson missed Jumper.,55,59
7:19,2142,Sean O'Brien Defensive Rebound.,55,59
7:10,2142,Will Rayman made Three Point Jumper. Assisted by Francisco Amiel.,58,59
6:43,399,David Nichols missed Jumper.,58,59
6:43,399,Travis Charles Offensive Rebound.,58,59
6:22,399,Joe Cremo made Jumper.,58,61
5:59,2142,Jordan Robertson made Jumper.,60,61
5:38,2142,Foul on Dana Batt.,60,61
5:38,399,Travis Charles made Free Throw.,60,62
5:38,399,Travis Charles made Free Throw.,60,63
5:19,2142,Jordan Robertson missed Jumper.,60,63
5:19,399,Travis Charles Defensive Rebound.,60,63
5:06,399,David Nichols Turnover.,60,63
5:05,2142,Sean O'Brien Steal.,60,63
5:01,399,Foul on David Nichols.,60,63
5:01,2142,Jordan Robertson missed Free Throw.,60,63
5:01,2142,Colgate Deadball Team Rebound.,60,63
5:01,2142,Jordan Robertson made Free Throw.,61,63
4:52,399,Joe Cremo Turnover.,61,63
4:52,2142,Will Rayman Steal.,61,63
4:51,399,Foul on Joe Cremo.,61,63
4:51,2142,Sean O'Brien made Free Throw.,62,63
4:51,2142,Sean O'Brien made Free Throw.,63,63
4:25,399,Joe Cremo missed Jumper.,63,63
4:25,2142,Jordan Swopshire Defensive Rebound.,63,63
4:07,2142,Jordan Robertson missed Jumper.,63,63
4:07,399,Travis Charles Defensive Rebound.,63,63
3:46,399,David Nichols missed Three Point Jumper.,63,63
3:46,2142,Will Rayman Defensive Rebound.,63,63
3:30,2142,Jordan Swopshire Turnover.,63,63
3:29,399,Greig Stire Steal.,63,63
3:24,399,David Nichols missed Layup.,63,63
3:24,2142,Jordan Swopshire Defensive Rebound.,63,63
3:17,399,Foul on Greig Stire.,63,63
3:17,399,Official TV Timeout,63,63
3:17,2142,Jordan Swopshire made Free Throw.,64,63
3:17,2142,Jordan Swopshire missed Free Throw.,64,63
3:17,399,Greig Stire Defensive Rebound.,64,63
2:59,399,Joe Cremo missed Jumper.,64,63
2:59,399,Joe Cremo Offensive Rebound.,64,63
2:59,2142,Foul on Jordan Swopshire.,64,63
2:59,399,Joe Cremo made Free Throw.,64,64
2:59,399,Joe Cremo made Free Throw.,64,65
2:50,2142,Sean O'Brien missed Three Point Jumper.,64,65
2:50,399,David Nichols Defensive Rebound.,64,65
2:25,399,Joe Cremo made Layup.,64,67
2:25,2142,Foul on Jordan Swopshire.,64,67
2:25,399,Joe Cremo made Free Throw.,64,68
2:08,2142,Jordan Burns missed Three Point Jumper.,64,68
2:08,399,Albany Defensive Rebound.,64,68
1:42,2142,Foul on Dana Batt.,64,68
1:42,399,Devonte Campbell missed Free Throw.,64,68
1:42,399,Albany Deadball Team Rebound.,64,68
1:42,399,Devonte Campbell made Free Throw.,64,69
1:26,399,Foul on Joe Cremo.,64,69
1:26,2142,Will Rayman missed Free Throw.,64,69
1:26,2142,Colgate Deadball Team Rebound.,64,69
1:26,2142,Will Rayman made Free Throw.,65,69
1:14,399,Devonte Campbell made Layup.,65,71
1:04,399,Foul on Greig Stire.,65,71
1:04,2142,Jordan Swopshire missed Free Throw.,65,71
1:04,2142,Colgate Deadball Team Rebound.,65,71
1:04,2142,Jordan Swopshire made Free Throw.,66,71
0:44,399,David Nichols Turnover.,66,71
0:40,2142,Jordan Swopshire Steal.,66,71
0:30,399,Foul on Devonte Campbell.,66,71
0:30,2142,Will Rayman missed Free Throw.,66,71
0:30,2142,Colgate Deadball Team Rebound.,66,71
0:30,2142,Will Rayman made Free Throw.,67,71
0:26,2142,Foul on Jordan Swopshire.,67,71
0:26,399,David Nichols made Free Throw.,67,72
0:26,399,David Nichols made Free Throw.,67,73
0:18,2142,Will Rayman missed Three Point Jumper.,67,73
0:18,2142,Sean O'Brien Offensive Rebound.,67,73
0:14,2142,Sean O'Brien missed Three Point Jumper.,67,73
0:14,2142,Sean O'Brien Offensive Rebound.,67,73
0:08,2142,Sean O'Brien missed Three Point Jumper.,67,73
0:08,2142,Will Rayman Offensive Rebound.,67,73
0:04,2142,Will Rayman made Layup.,69,73
0:04,2142,Colgate  Timeout,69,73
0:04,399,Official TV Timeout,69,73
0:03,2142,Foul on Jordan Robertson.,69,73
0:03,399,David Nichols made Free Throw.,69,74
0:03,399,David Nichols made Free Throw.,69,75
0:02,2142,Sean O'Brien missed Three Point Jumper.,69,75
0:02,2142,Colgate Deadball Team Rebound.,69,75
0:00,399,End of Game,69,75
