UIC,2653,Troy,82
5:42,82,Marcus Ottey missed Layup.,14,28
5:42,2653,B.J. Miller Block.,14,28
5:41,2653,Kevin Baker Defensive Rebound.,14,28
5:37,2653,Wesley Person missed Three Point Jumper.,14,28
5:37,82,Dikembe Dixson Defensive Rebound.,14,28
5:32,82,Dikembe Dixson Turnover.,14,28
5:18,2653,Wesley Person made Three Point Jumper. Assisted by Juan Davis Jr..,14,31
5:01,82,Tarkus Ferguson made Layup.,16,31
4:40,2653,Wesley Person made Three Point Jumper.,16,34
4:23,82,Dominique Matthews missed Layup.,16,34
4:23,2653,Kevin Baker Defensive Rebound.,16,34
4:11,2653,Kevin Baker missed Three Point Jumper.,16,34
4:11,82,Dikembe Dixson Defensive Rebound.,16,34
4:08,2653,Foul on Darian Adams.,16,34
3:53,82,Jordan Blount made Layup.,18,34
3:32,2653,Darian Adams Turnover.,18,34
3:31,82,Marcus Ottey Steal.,18,34
3:29,82,Marcus Ottey made Layup.,20,34
3:04,2653,B.J. Miller made Three Point Jumper. Assisted by Darian Adams.,20,37
2:53,82,Dominique Matthews missed Three Point Jumper.,20,37
2:53,2653,Kevin Baker Defensive Rebound.,20,37
2:36,2653,Juan Davis Jr. Turnover.,20,37
2:36,2653,Foul on Juan Davis Jr..,20,37
2:36,2653,Official TV Timeout,20,37
2:22,82,Godwin Boahen Turnover.,20,37
2:00,2653,Wesley Person missed Jumper.,20,37
2:00,2653,Javan Johnson Offensive Rebound.,20,37
1:58,82,Foul on Godwin Boahen.,20,37
1:58,2653,Javan Johnson missed Free Throw.,20,37
1:58,82,Dikembe Dixson Defensive Rebound.,20,37
1:41,82,Jordan Blount missed Layup.,20,37
1:41,2653,Javan Johnson Block.,20,37
1:40,2653,Troy Defensive Rebound.,20,37
1:28,82,Foul on Marcus Ottey.,20,37
1:28,2653,Wesley Person missed Free Throw.,20,37
1:28,2653,Troy Deadball Team Rebound.,20,37
1:28,2653,Wesley Person made Free Throw.,20,38
1:28,2653,Wesley Person made Free Throw.,20,39
1:13,82,Jordan Blount missed Layup.,20,39
1:13,2653,B.J. Miller Block.,20,39
1:12,2653,Wesley Person Defensive Rebound.,20,39
0:59,2653,Kevin Baker Turnover.,20,39
0:59,82,Godwin Boahen Steal.,20,39
0:41,82,Godwin Boahen missed Layup.,20,39
0:41,2653,Troy Defensive Rebound.,20,39
0:40,2653,Troy  Timeout,20,39
0:26,2653,Kevin Baker Turnover.,20,39
0:03,82,Dikembe Dixson Turnover.,20,39
0:01,2653,Javan Johnson Steal.,20,39
0:00,2653,End of 1st half,20,39
19:42,2653,Wesley Person missed Three Point Jumper.,20,39
19:42,2653,Juan Davis Jr. Offensive Rebound.,20,39
19:39,2653,Juan Davis Jr. made Layup.,20,41
19:20,2653,Foul on Shawn Hopkins.,20,41
19:18,82,Tarkus Ferguson Turnover.,20,41
19:16,2653,Alex Hicks Steal.,20,41
19:11,2653,Shawn Hopkins missed Layup.,20,41
19:11,2653,Kevin Baker Offensive Rebound.,20,41
19:07,2653,Wesley Person made Three Point Jumper. Assisted by Kevin Baker.,20,44
18:53,82,Jordan Blount made Three Point Jumper. Assisted by Tarkus Ferguson.,23,44
18:38,2653,Wesley Person made Three Point Jumper.,23,47
18:25,82,Tarkus Ferguson missed Three Point Jumper.,23,47
18:25,82,Tai Odiase Offensive Rebound.,23,47
18:22,2653,Foul on Shawn Hopkins.,23,47
18:10,82,Marcus Ottey made Layup.,25,47
18:03,82,Foul on Tarkus Ferguson.,25,47
18:03,2653,Shawn Hopkins missed Free Throw.,25,47
18:03,2653,Troy Deadball Team Rebound.,25,47
18:03,2653,Shawn Hopkins made Free Throw.,25,48
18:03,2653,Shawn Hopkins missed Free Throw.,25,48
18:03,82,Tarkus Ferguson Defensive Rebound.,25,48
17:57,82,Tarkus Ferguson made Layup.,27,48
17:57,2653,Foul on Wesley Person.,27,48
17:57,82,Tarkus Ferguson missed Free Throw.,27,48
17:57,2653,Shawn Hopkins Defensive Rebound.,27,48
17:41,2653,Shawn Hopkins made Jumper.,27,50
17:31,82,Jordan Blount missed Three Point Jumper.,27,50
17:31,2653,Alex Hicks Defensive Rebound.,27,50
17:14,2653,Wesley Person missed Three Point Jumper.,27,50
17:14,82,Tarkus Ferguson Defensive Rebound.,27,50
17:06,82,Marcus Ottey made Layup.,29,50
16:35,2653,Shawn Hopkins made Layup.,29,52
16:21,82,Tai Odiase made Layup. Assisted by Tarkus Ferguson.,31,52
16:11,2653,Shawn Hopkins Turnover.,31,52
16:09,82,Jordan Blount Steal.,31,52
16:07,82,Marcus Ottey missed Dunk.,31,52
16:07,82,UIC Offensive Rebound.,31,52
16:04,82,Tai Odiase Turnover.,31,52
16:04,82,Foul on Tai Odiase.,31,52
15:44,2653,Official TV Timeout,31,52
15:44,82,Foul on Jordan Blount.,31,52
15:44,2653,Official TV Timeout,31,52
15:44,2653,Wesley Person made Free Throw.,31,53
15:44,2653,Wesley Person made Free Throw.,31,54
15:44,2653,Wesley Person made Free Throw.,31,55
15:35,82,Godwin Boahen made Three Point Jumper. Assisted by Marcus Ottey.,34,55
15:21,2653,Darian Adams made Three Point Jumper. Assisted by Kevin Baker.,34,58
14:50,82,Marcus Ottey Turnover.,34,58
14:46,2653,Juan Davis Jr. Turnover.,34,58
14:46,2653,Foul on Juan Davis Jr..,34,58
14:29,82,Godwin Boahen missed Three Point Jumper.,34,58
14:29,82,Dikembe Dixson Offensive Rebound.,34,58
14:25,82,Dikembe Dixson made Layup.,36,58
14:12,2653,Darian Adams Turnover.,36,58
14:05,82,Godwin Boahen missed Three Point Jumper.,36,58
14:05,82,Clint Robinson Offensive Rebound.,36,58
13:59,82,Clint Robinson missed Layup.,36,58
13:59,2653,Alex Hicks Block.,36,58
13:56,2653,B.J. Miller Defensive Rebound.,36,58
13:53,2653,Wesley Person Turnover.,36,58
13:37,82,Godwin Boahen missed Layup.,36,58
13:37,2653,Alex Hicks Block.,36,58
13:36,2653,B.J. Miller Defensive Rebound.,36,58
13:11,82,Foul on Clint Robinson.,36,58
13:11,2653,B.J. Miller missed Free Throw.,36,58
13:11,2653,Troy Deadball Team Rebound.,36,58
13:11,2653,B.J. Miller made Free Throw.,36,59
12:57,82,Marcus Ottey missed Three Point Jumper.,36,59
12:57,2653,Alex Hicks Defensive Rebound.,36,59
12:41,2653,B.J. Miller missed Jumper.,36,59
12:41,82,Clint Robinson Defensive Rebound.,36,59
12:33,82,Michael Diggins missed Three Point Jumper.,36,59
12:33,2653,Wesley Person Defensive Rebound.,36,59
12:07,2653,Alex Hicks made Jumper.,36,61
11:56,82,Dikembe Dixson Turnover.,36,61
11:56,2653,Official TV Timeout,36,61
11:39,82,Foul on Clint Robinson.,36,61
11:32,2653,Darian Adams missed Three Point Jumper.,36,61
11:32,82,Godwin Boahen Defensive Rebound.,36,61
11:25,82,Michael Diggins Turnover.,36,61
11:25,2653,Alex Hicks Steal.,36,61
11:20,2653,B.J. Miller made Dunk. Assisted by Darian Adams.,36,63
11:10,82,Godwin Boahen made Jumper.,38,63
10:45,2653,Darian Adams made Three Point Jumper.,38,66
10:30,82,Dominique Matthews missed Three Point Jumper.,38,66
10:30,2653,Alex Hicks Defensive Rebound.,38,66
10:16,2653,Alex Hicks Turnover.,38,66
10:16,2653,Foul on Alex Hicks.,38,66
10:07,82,Dominique Matthews missed Dunk.,38,66
10:07,2653,Juan Davis Jr. Defensive Rebound.,38,66
9:47,2653,Malik Burnett Turnover.,38,66
9:46,82,Jordan Blount Steal.,38,66
9:42,82,Jordan Blount Turnover.,38,66
9:41,2653,B.J. Miller Steal.,38,66
9:27,2653,Juan Davis Jr. missed Layup.,38,66
9:27,2653,Juan Davis Jr. Offensive Rebound.,38,66
9:24,2653,Juan Davis Jr. Turnover.,38,66
9:24,82,Godwin Boahen Steal.,38,66
9:17,82,Michael Diggins made Three Point Jumper. Assisted by Godwin Boahen.,41,66
9:14,82,UIC  Timeout,41,66
9:03,82,Foul on Jordan Blount.,41,66
9:03,2653,Juan Davis Jr. made Free Throw.,41,67
9:03,2653,Juan Davis Jr. made Free Throw.,41,68
8:46,82,Jordan Blount Turnover.,41,68
8:45,2653,Javan Johnson Steal.,41,68
8:29,2653,Malik Burnett missed Three Point Jumper.,41,68
8:29,82,Jacob Wiley Defensive Rebound.,41,68
8:21,82,Jordan Blount Turnover.,41,68
8:15,82,Foul on Jordan Blount.,41,68
8:15,2653,Malik Burnett missed Free Throw.,41,68
8:15,2653,Darian Adams Offensive Rebound.,41,68
8:15,2653,Darian Adams missed Layup.,41,68
8:15,2653,Juan Davis Jr. Offensive Rebound.,41,68
8:15,2653,Juan Davis Jr. made Two Point Tip Shot.,41,70
8:00,2653,Foul on Juan Davis Jr..,41,70
8:00,82,Marcus Ottey made Free Throw.,42,70
8:00,82,Marcus Ottey made Free Throw.,43,70
7:34,2653,B.J. Miller made Layup.,43,72
7:20,82,Marcus Ottey missed Layup.,43,72
7:20,82,Marcus Ottey Offensive Rebound.,43,72
7:16,82,Dominique Matthews made Three Point Jumper. Assisted by Marcus Ottey.,46,72
7:04,2653,Javan Johnson made Three Point Jumper. Assisted by Darian Adams.,46,75
6:50,2653,Foul on Juan Davis Jr..,46,75
6:50,82,Dominique Matthews made Free Throw.,47,75
6:50,82,Dominique Matthews made Free Throw.,48,75
6:43,2653,Malik Burnett missed Layup.,48,75
6:43,82,Jacob Wiley Defensive Rebound.,48,75
6:38,2653,Foul on B.J. Miller.,48,75
6:38,82,Marcus Ottey made Free Throw.,49,75
6:38,82,Marcus Ottey made Free Throw.,50,75
6:12,2653,Darian Adams missed Jumper.,50,75
6:12,82,Michael Diggins Defensive Rebound.,50,75
6:08,82,Michael Diggins Turnover.,50,75
5:56,2653,Alex Hicks Turnover.,50,75
5:39,82,Marcus Ottey missed Layup.,50,75
5:39,82,Marcus Ottey Offensive Rebound.,50,75
5:37,82,Marcus Ottey missed Layup.,50,75
5:37,2653,Alex Hicks Block.,50,75
5:35,82,Michael Diggins Offensive Rebound.,50,75
5:32,82,Dominique Matthews missed Three Point Jumper.,50,75
5:32,82,Michael Diggins Offensive Rebound.,50,75
5:30,82,Michael Diggins made Layup.,52,75
5:03,2653,Darian Adams Turnover.,52,75
5:02,82,Marcus Ottey Steal.,52,75
5:00,82,Marcus Ottey missed Layup.,52,75
5:00,2653,Darian Adams Defensive Rebound.,52,75
4:58,82,Foul on Marcus Ottey.,52,75
4:58,2653,Darian Adams made Free Throw.,52,76
4:58,2653,Darian Adams made Free Throw.,52,77
4:51,2653,Foul on Alex Hicks.,52,77
4:51,82,Marcus Ottey made Free Throw.,53,77
4:51,82,Marcus Ottey missed Free Throw.,53,77
4:51,2653,B.J. Miller Defensive Rebound.,53,77
4:25,2653,B.J. Miller missed Layup.,53,77
4:25,82,Tai Odiase Block.,53,77
4:22,82,Jacob Wiley Defensive Rebound.,53,77
4:13,82,Dominique Matthews made Three Point Jumper. Assisted by Marcus Ottey.,56,77
3:48,2653,Official TV Timeout,56,77
3:42,2653,Darian Adams missed Three Point Jumper.,56,77
3:42,82,Godwin Boahen Defensive Rebound.,56,77
3:35,82,Godwin Boahen missed Layup.,56,77
3:35,2653,Javan Johnson Block.,56,77
3:34,2653,Darian Adams Defensive Rebound.,56,77
3:21,2653,Malik Burnett missed Layup.,56,77
3:21,82,Naradain James Block.,56,77
3:17,82,Jacob Wiley Defensive Rebound.,56,77
3:15,82,Jordan Blount made Layup.,58,77
3:15,2653,Foul on Javan Johnson.,58,77
3:15,82,Jordan Blount made Free Throw.,59,77
2:55,2653,Malik Burnett made Layup.,59,79
2:55,82,Foul on Jordan Blount.,59,79
2:55,2653,Malik Burnett missed Free Throw.,59,79
2:55,82,Godwin Boahen Defensive Rebound.,59,79
2:44,2653,Foul on Javan Johnson.,59,79
2:44,82,Naradain James made Free Throw.,60,79
2:44,82,Naradain James missed Free Throw.,60,79
2:44,2653,Darian Adams Defensive Rebound.,60,79
2:36,2653,Javan Johnson made Dunk.,60,81
2:19,82,Tai Odiase made Layup.,62,81
1:56,2653,Javan Johnson missed Layup.,62,81
1:56,82,Godwin Boahen Defensive Rebound.,62,81
1:53,2653,Foul on Darian Adams.,62,81
1:53,82,Godwin Boahen made Free Throw.,63,81
1:53,82,Godwin Boahen made Free Throw.,64,81
1:46,2653,Malik Burnett Turnover.,64,81
1:45,82,Godwin Boahen Steal.,64,81
1:38,82,Jacob Wiley made Dunk. Assisted by Godwin Boahen.,66,81
1:09,2653,B.J. Miller made Layup.,66,83
0:56,82,Jacob Wiley missed Layup.,66,83
0:52,2653,Malik Burnett Defensive Rebound.,66,83
0:48,2653,Javan Johnson made Dunk. Assisted by Malik Burnett.,66,85
0:37,82,Dominique Matthews missed Three Point Jumper.,66,85
0:37,2653,Whit Moreman Defensive Rebound.,66,85
0:07,2653,B.J. Miller made Layup. Assisted by Whit Moreman.,66,87
0:00,82,Dominique Matthews missed Three Point Jumper.,66,87
0:00,2653,Javan Johnson Defensive Rebound.,66,87
0:00,2653,End of Game,66,87
