Texas A&amp;M-CC,326,Texas State,357
12:05,357,Texas A&M-CC  Timeout,9,13
12:05,326,Official TV Timeout,9,13
11:45,357,Kareem South made Jumper.,11,13
11:18,357,Foul on Kareem South.,11,13
11:18,326,Eric Terry made Free Throw.,11,14
11:18,326,Eric Terry made Free Throw.,11,15
11:00,357,Sean Rhea missed Layup.,11,15
11:00,326,Eric Terry Defensive Rebound.,11,15
10:46,326,Eric Terry Turnover.,11,15
10:45,357,Sean Rhea Steal.,11,15
10:40,357,Joseph Kilgore missed Three Point Jumper.,11,15
10:40,326,Tre'Larenz Nottingham Defensive Rebound.,11,15
10:32,326,Deris Duncan missed Three Point Jumper.,11,15
10:32,357,Emmanuel Toney Defensive Rebound.,11,15
10:21,357,Sean Rhea missed Jumper.,11,15
10:21,326,Deris Duncan Defensive Rebound.,11,15
10:00,326,Deris Duncan Turnover.,11,15
9:28,357,Colin Hale missed Jumper.,11,15
9:28,326,Tre'Larenz Nottingham Defensive Rebound.,11,15
9:13,326,Tre'Larenz Nottingham missed Three Point Jumper.,11,15
9:13,357,Joseph Kilgore Defensive Rebound.,11,15
9:04,357,Joseph Kilgore missed Layup.,11,15
9:04,326,Nijal Pearson Block.,11,15
9:01,326,Immanuel King Defensive Rebound.,11,15
9:01,357,Foul on York Benjamin.,11,15
8:46,326,Reggie Miller made Three Point Jumper. Assisted by Tre'Larenz Nottingham.,11,18
8:15,357,Kyle Brown missed Jumper.,11,18
8:15,326,Immanuel King Defensive Rebound.,11,18
7:54,326,Immanuel King Turnover.,11,18
7:53,357,Joseph Kilgore Steal.,11,18
7:41,357,Sean Rhea made Layup.,13,18
7:23,326,Reggie Miller missed Three Point Jumper.,13,18
7:23,326,Nijal Pearson Offensive Rebound.,13,18
7:14,357,Foul on Joseph Kilgore.,13,18
7:14,326,Official TV Timeout,13,18
6:55,326,Alex Peacock made Jumper. Assisted by Immanuel King.,13,20
6:24,357,Perry Francois missed Jumper.,13,20
6:24,326,Nijal Pearson Defensive Rebound.,13,20
6:16,326,Immanuel King missed Layup.,13,20
6:16,357,Perry Francois Defensive Rebound.,13,20
6:10,357,Kyle Brown missed Layup.,13,20
6:10,326,Nijal Pearson Block.,13,20
6:10,357,Texas A&M-CC Offensive Rebound.,13,20
6:09,357,Kareem South missed Three Point Jumper.,13,20
6:09,326,Immanuel King Defensive Rebound.,13,20
5:57,326,Nijal Pearson Turnover.,13,20
5:57,326,Foul on Nijal Pearson.,13,20
5:42,326,Foul on Eric Terry.,13,20
5:42,357,Elijah Schmidt missed Free Throw.,13,20
5:42,357,Texas A&M-CC Deadball Team Rebound.,13,20
5:42,357,Elijah Schmidt missed Free Throw.,13,20
5:42,326,Tyler Blount Defensive Rebound.,13,20
5:15,326,Eric Terry Turnover.,13,20
4:57,357,Kareem South Turnover.,13,20
4:56,326,Alex Peacock Steal.,13,20
4:42,357,Foul on Sean Rhea.,13,20
4:42,326,Eric Terry missed Free Throw.,13,20
4:42,326,Alex Peacock Offensive Rebound.,13,20
4:40,357,Foul on Emmanuel Toney.,13,20
4:40,326,Alex Peacock missed Free Throw.,13,20
4:40,357,Jamell Bradley Defensive Rebound.,13,20
4:18,357,Myles Smith missed Jumper.,13,20
4:18,357,Kareem South Offensive Rebound.,13,20
4:12,357,Emmanuel Toney missed Three Point Jumper.,13,20
4:12,326,Nijal Pearson Defensive Rebound.,13,20
3:56,326,Nijal Pearson Turnover.,13,20
3:56,326,Foul on Nijal Pearson.,13,20
3:56,326,Official TV Timeout,13,20
3:41,357,Emmanuel Toney Turnover.,13,20
3:16,326,Texas State  Timeout,13,20
3:12,326,Alex Peacock made Three Point Jumper. Assisted by Marlin Davis.,13,23
2:55,357,Tre Gray missed Jumper.,13,23
2:55,326,Eric Terry Defensive Rebound.,13,23
2:39,326,Eric Terry made Jumper. Assisted by Alex Peacock.,13,25
2:29,357,Myles Smith Turnover.,13,25
2:29,326,Marlin Davis Steal.,13,25
2:18,326,Marlin Davis made Layup. Assisted by Alex Peacock.,13,27
2:00,357,Emmanuel Toney Turnover.,13,27
1:58,326,Shelby Adams Steal.,13,27
1:57,326,Shelby Adams Turnover.,13,27
1:30,357,Perry Francois missed Jumper.,13,27
1:30,326,Eric Terry Block.,13,27
1:28,357,Elijah Schmidt Offensive Rebound.,13,27
1:26,357,Elijah Schmidt missed Jumper.,13,27
1:26,326,Eric Terry Block.,13,27
1:26,326,Texas State Defensive Rebound.,13,27
1:26,357,Texas A&M-CC  Timeout,13,27
1:12,326,Alex Peacock made Layup.,13,29
0:53,357,Tre Gray missed Jumper.,13,29
0:53,357,Texas A&M-CC Offensive Rebound.,13,29
0:48,357,Tre Gray made Three Point Jumper. Assisted by Emmanuel Toney.,16,29
0:26,326,Shelby Adams made Three Point Jumper. Assisted by Alex Peacock.,16,32
0:06,357,York Benjamin Turnover.,16,32
0:02,357,Foul on Perry Francois.,16,32
0:00,326,Marlin Davis made Free Throw.,16,33
0:00,326,Marlin Davis missed Free Throw.,16,33
0:00,357,York Benjamin Defensive Rebound.,16,33
0:00,326,End of 1st half,16,32
19:37,326,Tyler Blount Turnover.,16,33
19:23,357,Elijah Schmidt Turnover.,16,33
19:23,357,Foul on Elijah Schmidt.,16,33
19:03,326,Immanuel King made Layup. Assisted by Alex Peacock.,16,35
18:32,357,Sean Rhea made Layup. Assisted by Emmanuel Toney.,18,35
18:18,326,Nijal Pearson made Three Point Jumper. Assisted by Alex Peacock.,18,38
17:59,357,Joseph Kilgore missed Jumper.,18,38
17:59,326,Immanuel King Defensive Rebound.,18,38
17:47,326,Nijal Pearson missed Three Point Jumper.,18,38
17:47,357,Sean Rhea Defensive Rebound.,18,38
17:42,357,Sean Rhea Turnover.,18,38
17:38,326,Nijal Pearson Turnover.,18,38
17:30,357,Kyle Brown made Jumper.,20,38
17:10,326,Immanuel King Turnover.,20,38
16:54,357,Kyle Brown Turnover.,20,38
16:53,326,Alex Peacock Steal.,20,38
16:49,326,Marlin Davis Turnover.,20,38
16:48,357,Joseph Kilgore Steal.,20,38
16:46,326,Foul on Marlin Davis.,20,38
16:46,357,Sean Rhea made Free Throw.,21,38
16:46,357,Sean Rhea missed Free Throw.,21,38
16:46,357,Texas A&M-CC Deadball Team Rebound.,21,38
16:31,357,Joseph Kilgore Turnover.,21,38
16:30,326,Alex Peacock Steal.,21,38
16:12,326,Nijal Pearson Turnover.,21,38
16:11,357,Perry Francois Steal.,21,38
15:45,357,Joseph Kilgore missed Jumper.,21,38
15:45,326,Deris Duncan Defensive Rebound.,21,38
15:40,326,Nijal Pearson Turnover.,21,38
15:40,357,Emmanuel Toney Steal.,21,38
15:40,357,Emmanuel Toney made Layup.,23,38
15:39,326,Official TV Timeout,23,38
15:13,326,Tyler Blount missed Three Point Jumper.,23,38
15:13,326,Nijal Pearson Offensive Rebound.,23,38
14:58,326,Alex Peacock made Jumper.,23,40
14:57,357,Foul on Perry Francois.,23,40
14:57,326,Alex Peacock made Free Throw.,23,41
14:35,357,Joseph Kilgore missed Three Point Jumper.,23,41
14:35,357,York Benjamin Offensive Rebound.,23,41
14:30,326,Foul on Alex Peacock.,23,41
14:30,357,York Benjamin made Free Throw.,24,41
14:30,357,York Benjamin made Free Throw.,25,41
14:09,357,Foul on York Benjamin.,25,41
14:06,357,Foul on Sean Rhea.,25,41
13:59,357,Foul on Sean Rhea.,25,41
13:41,326,Alex Peacock made Layup.,25,43
13:30,326,Foul on Eric Terry.,25,43
13:29,357,Joseph Kilgore missed Jumper.,25,43
13:29,357,York Benjamin Offensive Rebound.,25,43
13:22,357,York Benjamin missed Jumper.,25,43
13:22,357,Emmanuel Toney Offensive Rebound.,25,43
13:20,357,Emmanuel Toney missed Layup.,25,43
13:20,326,Tre'Larenz Nottingham Defensive Rebound.,25,43
13:14,357,Foul on Elijah Schmidt.,25,43
13:14,326,Alex Peacock made Free Throw.,25,44
13:14,326,Alex Peacock made Free Throw.,25,45
13:00,357,Tre Gray made Three Point Jumper. Assisted by Emmanuel Toney.,28,45
12:43,357,Foul on York Benjamin.,28,45
12:43,326,Tre'Larenz Nottingham made Free Throw.,28,46
12:43,326,Tre'Larenz Nottingham made Free Throw.,28,47
12:22,326,Foul on Tre'Larenz Nottingham.,28,47
12:22,357,Joseph Kilgore made Free Throw.,29,47
12:22,357,Joseph Kilgore made Free Throw.,30,47
12:12,357,Foul on Tre Gray.,30,47
12:12,326,Deris Duncan missed Free Throw.,30,47
12:12,357,York Benjamin Defensive Rebound.,30,47
12:10,357,York Benjamin Turnover.,30,47
11:59,326,Official TV Timeout,30,47
11:45,357,Foul on York Benjamin.,30,47
11:45,326,Eric Terry missed Free Throw.,30,47
11:45,326,Texas State Deadball Team Rebound.,30,47
11:45,326,Eric Terry made Free Throw.,30,48
11:38,357,Emmanuel Toney missed Jumper.,30,48
11:38,326,Eric Terry Defensive Rebound.,30,48
11:30,326,Deris Duncan made Layup. Assisted by Alex Peacock.,30,50
11:15,357,Kareem South made Jumper.,32,50
11:03,326,Tre'Larenz Nottingham Turnover.,32,50
10:48,357,Joseph Kilgore missed Jumper.,32,50
10:48,326,Reggie Miller Defensive Rebound.,32,50
10:27,326,Quentin Scott missed Three Point Jumper.,32,50
10:27,326,Quentin Scott Offensive Rebound.,32,50
10:21,326,Quentin Scott made Layup.,32,52
10:01,357,Tre Gray made Three Point Jumper. Assisted by Perry Francois.,35,52
9:41,326,Reggie Miller Turnover.,35,52
9:41,357,Joseph Kilgore Steal.,35,52
9:38,357,Tre Gray missed Layup.,35,52
9:38,326,Deris Duncan Defensive Rebound.,35,52
9:26,326,Tre'Larenz Nottingham missed Three Point Jumper.,35,52
9:26,326,Quentin Scott Offensive Rebound.,35,52
9:20,326,Tre'Larenz Nottingham missed Layup.,35,52
9:20,357,Joseph Kilgore Defensive Rebound.,35,52
9:11,357,Joseph Kilgore made Jumper.,37,52
9:00,326,Tre'Larenz Nottingham missed Layup.,37,52
9:00,357,Perry Francois Block.,37,52
9:00,357,Texas A&M-CC Defensive Rebound.,37,52
8:44,357,Joseph Kilgore made Jumper.,39,52
8:19,326,Eric Terry missed Jumper.,39,52
8:19,357,Joseph Kilgore Block.,39,52
8:18,357,Tre Gray Defensive Rebound.,39,52
8:11,357,Kareem South made Jumper.,41,52
7:58,326,Texas State  Timeout,41,52
7:58,326,Official TV Timeout,41,52
7:46,326,Immanuel King made Layup. Assisted by Alex Peacock.,41,54
7:29,357,Sean Rhea made Layup.,43,54
7:08,326,Immanuel King Turnover.,43,54
7:08,326,Official TV Timeout,43,54
6:52,357,Joseph Kilgore made Three Point Jumper. Assisted by Kyle Brown.,46,54
6:41,326,Marlin Davis Turnover.,46,54
6:40,357,Tre Gray Steal.,46,54
6:37,357,Tre Gray missed Jumper.,46,54
6:37,326,Alex Peacock Defensive Rebound.,46,54
6:22,326,Immanuel King missed Layup.,46,54
6:22,357,Tre Gray Defensive Rebound.,46,54
6:20,326,Foul on Nijal Pearson.,46,54
6:05,357,Tre Gray missed Three Point Jumper.,46,54
6:05,326,Immanuel King Defensive Rebound.,46,54
5:47,357,Foul on Emmanuel Toney.,46,54
5:47,326,Alex Peacock made Free Throw.,46,55
5:47,326,Alex Peacock missed Free Throw.,46,55
5:47,326,Nijal Pearson Offensive Rebound.,46,55
5:41,326,Tyler Blount made Three Point Jumper. Assisted by Marlin Davis.,46,58
5:14,326,Foul on Eric Terry.,46,58
5:14,357,Sean Rhea missed Free Throw.,46,58
5:14,357,Texas A&M-CC Deadball Team Rebound.,46,58
5:14,357,Sean Rhea made Free Throw.,47,58
5:05,326,Nijal Pearson Turnover.,47,58
4:49,326,Foul on Eric Terry.,47,58
4:49,357,York Benjamin made Free Throw.,48,58
4:49,357,York Benjamin made Free Throw.,49,58
4:21,326,Nijal Pearson missed Jumper.,49,58
4:21,357,Kyle Brown Defensive Rebound.,49,58
4:01,357,Joseph Kilgore missed Jumper.,49,58
4:01,326,Immanuel King Defensive Rebound.,49,58
3:59,357,Foul on Perry Francois.,49,58
3:59,326,Immanuel King made Free Throw.,49,59
3:59,326,Immanuel King missed Free Throw.,49,59
3:59,326,Alex Peacock Offensive Rebound.,49,59
3:39,357,Foul on Joseph Kilgore.,49,59
3:39,326,Nijal Pearson made Free Throw.,49,60
3:39,326,Nijal Pearson missed Free Throw.,49,60
3:39,357,Texas A&M-CC Defensive Rebound.,49,60
3:14,357,Joseph Kilgore missed Three Point Jumper.,49,60
3:14,326,Alex Peacock Defensive Rebound.,49,60
2:51,326,Nijal Pearson missed Three Point Jumper.,49,60
2:51,326,Alex Peacock Offensive Rebound.,49,60
2:44,326,Immanuel King made Dunk. Assisted by Alex Peacock.,49,62
2:29,357,Tre Gray made Layup.,51,62
2:29,326,Foul on Immanuel King.,51,62
2:29,357,Tre Gray missed Free Throw.,51,62
2:29,326,Alex Peacock Defensive Rebound.,51,62
2:07,326,Alex Peacock Turnover.,51,62
2:07,357,Emmanuel Toney Steal.,51,62
1:51,357,Emmanuel Toney missed Three Point Jumper.,51,62
1:51,326,Alex Peacock Defensive Rebound.,51,62
1:40,357,Foul on Emmanuel Toney.,51,62
1:40,326,Nijal Pearson missed Free Throw.,51,62
1:40,326,Texas State Deadball Team Rebound.,51,62
1:40,326,Nijal Pearson made Free Throw.,51,63
1:32,357,Kareem South missed Jumper.,51,63
1:32,326,Immanuel King Defensive Rebound.,51,63
1:02,326,Nijal Pearson made Jumper.,51,65
1:01,357,Foul on Sean Rhea.,51,65
1:01,326,Nijal Pearson made Free Throw.,51,66
0:46,357,Kareem South missed Three Point Jumper.,51,66
0:46,326,Nijal Pearson Defensive Rebound.,51,66
0:14,326,Immanuel King Turnover.,51,66
0:14,326,Foul on Immanuel King.,51,66
0:11,357,Emmanuel Toney made Layup. Assisted by Kareem South.,53,66
0:00,326,End of Game,53,66
