Long Beach State,12,Arizona,299
11:46,12,Dusan Ristic Turnover.,39,60
11:44,299,Javonntie Jackson Steal.,39,60
11:41,12,Foul on Alex Barcello.,39,60
11:41,299,Javonntie Jackson missed Free Throw.,39,60
11:41,299,Long Beach State Deadball Team Rebound.,39,60
11:41,299,Javonntie Jackson made Free Throw.,40,60
11:29,12,Dylan Smith made Layup.,40,62
11:13,299,Foul on Temidayo Yussuf.,40,62
11:13,299,Temidayo Yussuf Turnover.,40,62
10:48,12,Parker Jackson-Cartwright missed Layup.,40,62
10:48,299,KJ Byers Block.,40,62
10:46,299,Edon Maxhuni Defensive Rebound.,40,62
10:42,299,Edon Maxhuni Turnover.,40,62
10:41,12,Parker Jackson-Cartwright Steal.,40,62
10:37,12,Alex Barcello made Three Point Jumper. Assisted by Parker Jackson-Cartwright.,40,65
10:22,299,Foul on Javonntie Jackson.,40,65
10:22,299,Javonntie Jackson Turnover.,40,65
10:09,299,Foul on Temidayo Yussuf.,40,65
9:54,12,Dylan Smith made Three Point Jumper. Assisted by Deandre Ayton.,40,68
9:25,299,Edon Maxhuni Turnover.,40,68
9:24,12,Keanu Pinder Steal.,40,68
9:19,12,Dylan Smith missed Three Point Jumper.,40,68
9:19,299,Javonntie Jackson Defensive Rebound.,40,68
9:03,299,Jordan Griffin missed Three Point Jumper.,40,68
9:03,299,Javonntie Jackson Offensive Rebound.,40,68
9:01,299,Javonntie Jackson made Two Point Tip Shot.,42,68
9:00,12,Foul on Keanu Pinder.,42,68
9:00,299,Javonntie Jackson made Free Throw.,43,68
8:40,12,Brandon Randolph made Jumper.,43,70
8:31,12,Foul on Allonzo Trier.,43,70
8:30,299,Jordan Roberts Turnover.,43,70
8:24,12,Parker Jackson-Cartwright made Layup.,43,72
8:07,299,Deishuan Booker Turnover.,43,72
8:05,12,Parker Jackson-Cartwright Steal.,43,72
8:03,299,Foul on Deishuan Booker.,43,72
8:03,12,Brandon Randolph made Free Throw.,43,73
8:03,12,Brandon Randolph made Free Throw.,43,74
7:33,299,Javonntie Jackson missed Three Point Jumper.,43,74
7:33,12,Deandre Ayton Defensive Rebound.,43,74
7:28,12,Allonzo Trier made Layup. Assisted by Parker Jackson-Cartwright.,43,76
7:21,299,Long Beach State  Timeout,43,76
6:57,12,Foul on Deandre Ayton.,43,76
6:57,299,Mason Riggins missed Free Throw.,43,76
6:57,299,Long Beach State Deadball Team Rebound.,43,76
6:57,299,Mason Riggins made Free Throw.,44,76
6:41,12,Allonzo Trier Turnover.,44,76
6:28,299,Gabe Levin missed Three Point Jumper.,44,76
6:28,12,Parker Jackson-Cartwright Defensive Rebound.,44,76
6:22,12,Deandre Ayton Turnover.,44,76
6:11,299,Barry Ogalue made Layup. Assisted by Gabe Levin.,46,76
5:46,12,Allonzo Trier Turnover.,46,76
5:27,299,Mason Riggins missed Dunk.,46,76
5:27,12,Brandon Randolph Defensive Rebound.,46,76
5:21,12,Brandon Randolph missed Layup.,46,76
5:21,12,Dusan Ristic Offensive Rebound.,46,76
5:18,12,Dusan Ristic made Layup.,46,78
5:07,299,Bryan Alberts missed Three Point Jumper.,46,78
5:07,12,Dusan Ristic Defensive Rebound.,46,78
4:56,12,Ira Lee made Three Point Jumper. Assisted by Alex Barcello.,46,81
4:37,299,Gabe Levin made Layup. Assisted by Deishuan Booker.,48,81
4:30,12,Arizona  Timeout,48,81
4:20,12,Dusan Ristic Turnover.,48,81
3:48,299,Bryan Alberts missed Three Point Jumper.,48,81
3:48,299,Long Beach State Deadball Team Rebound.,48,81
3:48,12,Foul on Keanu Pinder.,48,81
3:39,299,KJ Byers made Three Point Jumper. Assisted by Deishuan Booker.,51,81
3:17,12,Alex Barcello made Three Point Jumper. Assisted by Brandon Randolph.,51,84
3:00,299,Deishuan Booker missed Three Point Jumper.,51,84
3:00,12,Dylan Smith Defensive Rebound.,51,84
2:52,299,Foul on KJ Byers.,51,84
2:52,12,Brandon Randolph made Free Throw.,51,85
2:52,12,Brandon Randolph made Free Throw.,51,86
2:41,299,Foul on Temidayo Yussuf.,51,86
2:21,12,Alex Barcello missed Jumper.,51,86
2:21,12,Ira Lee Offensive Rebound.,51,86
2:15,12,Ira Lee missed Two Point Tip Shot.,51,86
2:15,299,KJ Byers Defensive Rebound.,51,86
2:01,299,KJ Byers missed Jumper.,51,86
2:01,12,Keanu Pinder Defensive Rebound.,51,86
1:48,299,Foul on KJ Byers.,51,86
1:48,12,Keanu Pinder made Free Throw.,51,87
1:48,12,Keanu Pinder missed Free Throw.,51,87
1:48,12,Ira Lee Offensive Rebound.,51,87
1:47,12,Ira Lee made Layup.,51,89
1:16,12,Foul on Brandon Randolph.,51,89
1:16,299,Jordan Griffin made Free Throw.,52,89
1:16,299,Jordan Griffin made Free Throw.,53,89
1:04,12,Foul on Dylan Smith.,53,89
1:04,12,Dylan Smith Turnover.,53,89
0:42,299,Jordan Griffin made Three Point Jumper.,56,89
0:33,12,Brandon Randolph made Dunk.,56,91
0:17,12,Foul on Keanu Pinder.,56,91
0:17,299,Quentin Shropshire missed Free Throw.,56,91
0:17,12,Keanu Pinder Defensive Rebound.,56,91
0:00,12,End of Game,56,91
