Evansville,167,New Mexico,339
2:18,167,Makuach Maluach Offensive Rebound.,20,27
2:13,167,Makuach Maluach made Two Point Tip Shot.,20,29
1:57,339,Duane Gibson made Jumper.,22,29
1:53,339,Foul on Duane Gibson.,22,29
1:53,167,Antino Jackson made Free Throw.,22,30
1:53,167,Antino Jackson made Free Throw.,22,31
1:36,339,K.J. Riley made Layup.,24,31
1:36,167,Foul on Joe Furstinger.,24,31
1:36,339,K.J. Riley made Free Throw.,25,31
1:12,167,Chris McNeal made Three Point Jumper. Assisted by Makuach Maluach.,25,34
1:12,339,Foul on K.J. Riley.,25,34
1:12,167,Chris McNeal made Free Throw.,25,35
0:59,339,Evansville  Timeout,25,35
0:46,339,Dru Smith missed Jumper.,25,35
0:46,339,Dru Smith Offensive Rebound.,25,35
0:32,167,Foul on Anthony Mathis.,25,35
0:32,339,Noah Frederking made Free Throw.,26,35
0:32,339,Noah Frederking made Free Throw.,27,35
0:01,167,New Mexico  Turnover.,27,35
0:00,167,End of 1st half,27,35
19:36,339,Duane Gibson Turnover.,27,35
19:06,167,Sam Logwood missed Jumper.,27,35
19:06,339,Duane Gibson Defensive Rebound.,27,35
18:34,339,Blake Simmons made Three Point Jumper. Assisted by Duane Gibson.,30,35
18:22,167,Troy Simons missed Layup.,30,35
18:22,339,Dainius Chatkevicius Defensive Rebound.,30,35
18:03,339,Foul on Dru Smith.,30,35
18:03,339,Dru Smith Turnover.,30,35
17:38,167,Antino Jackson missed Three Point Jumper.,30,35
17:38,339,Blake Simmons Defensive Rebound.,30,35
17:34,167,Foul on Chris McNeal.,30,35
17:20,339,Noah Frederking made Jumper.,32,35
17:20,339,Noah Frederking made Free Throw.,33,35
17:19,167,Foul on Antino Jackson.,33,35
16:53,339,Foul on K.J. Riley.,33,35
16:47,167,Makuach Maluach Turnover.,33,35
16:46,339,Duane Gibson Steal.,33,35
16:41,339,Duane Gibson Turnover.,33,35
16:41,167,Chris McNeal Steal.,33,35
16:22,167,Chris McNeal made Three Point Jumper. Assisted by Antino Jackson.,33,38
16:07,167,Foul on Vladimir Pinchuk.,33,38
16:07,339,K.J. Riley made Free Throw.,34,38
16:07,339,K.J. Riley missed Free Throw.,34,38
16:07,167,Joe Furstinger Defensive Rebound.,34,38
16:00,167,Makuach Maluach made Layup. Assisted by Antino Jackson.,34,40
15:36,339,Blake Simmons missed Jumper.,34,40
15:36,167,Makuach Maluach Block.,34,40
15:36,339,Evansville Offensive Rebound.,34,40
15:36,167,Official TV Timeout,34,40
15:28,339,Blake Simmons made Three Point Jumper.,37,40
15:20,167,Troy Simons made Three Point Jumper. Assisted by Joe Furstinger.,37,43
15:01,339,Blake Simmons missed Layup.,37,43
15:01,339,Dalen Traore Offensive Rebound.,37,43
14:50,339,K.J. Riley made Layup.,39,43
14:34,167,Antino Jackson missed Layup.,39,43
14:34,167,Makuach Maluach Offensive Rebound.,39,43
14:34,167,Makuach Maluach made Layup.,39,45
14:34,339,Foul on K.J. Riley.,39,45
14:34,167,Makuach Maluach missed Free Throw.,39,45
14:34,339,Marty Hill Defensive Rebound.,39,45
14:14,339,Blake Simmons Turnover.,39,45
14:14,167,Joe Furstinger Steal.,39,45
14:03,167,Sam Logwood made Dunk. Assisted by Joe Furstinger.,39,47
13:51,339,Foul on Marty Hill.,39,47
13:51,339,Marty Hill Turnover.,39,47
13:31,167,Anthony Mathis made Three Point Jumper. Assisted by Joe Furstinger.,39,50
13:17,167,Foul on Anthony Mathis.,39,50
12:54,339,Marty Hill missed Jumper.,39,50
12:54,167,Joe Furstinger Defensive Rebound.,39,50
12:36,167,Sam Logwood Turnover.,39,50
12:35,339,Dainius Chatkevicius Steal.,39,50
12:09,167,Foul on Joe Furstinger.,39,50
12:09,339,Dainius Chatkevicius missed Free Throw.,39,50
12:09,339,Evansville Deadball Team Rebound.,39,50
12:09,339,Dainius Chatkevicius made Free Throw.,40,50
11:51,167,Sam Logwood made Jumper. Assisted by Jachai Simmons.,40,52
11:41,339,John Hall Turnover.,40,52
11:41,167,Official TV Timeout,40,52
11:34,339,Foul on Dainius Chatkevicius.,40,52
11:31,167,Chris McNeal Turnover.,40,52
11:30,339,Duane Gibson Steal.,40,52
11:28,339,Marty Hill made Layup.,42,52
11:08,167,Vladimir Pinchuk made Jumper. Assisted by Jachai Simmons.,42,54
10:49,339,Blake Simmons missed Three Point Jumper.,42,54
10:49,339,Marty Hill Offensive Rebound.,42,54
10:28,339,Duane Gibson missed Jumper.,42,54
10:28,167,Dane Kuiper Defensive Rebound.,42,54
10:12,167,Jachai Simmons missed Three Point Jumper.,42,54
10:12,339,Duane Gibson Defensive Rebound.,42,54
9:54,339,Foul on Dru Smith.,42,54
9:54,339,Dru Smith Turnover.,42,54
9:41,339,Foul on Duane Gibson.,42,54
9:41,167,Troy Simons made Free Throw.,42,55
9:41,167,Troy Simons made Free Throw.,42,56
9:11,339,K.J. Riley missed Three Point Jumper.,42,56
9:11,167,Antino Jackson Defensive Rebound.,42,56
9:02,167,Vladimir Pinchuk missed Jumper.,42,56
9:02,339,Noah Frederking Defensive Rebound.,42,56
8:47,167,Foul on Makuach Maluach.,42,56
8:47,339,Blake Simmons missed Free Throw.,42,56
8:47,339,Evansville Deadball Team Rebound.,42,56
8:47,339,Blake Simmons made Free Throw.,43,56
8:40,167,Troy Simons made Three Point Jumper. Assisted by Antino Jackson.,43,59
8:23,339,Blake Simmons Turnover.,43,59
8:21,167,Troy Simons Steal.,43,59
8:21,339,Foul on Duane Gibson.,43,59
8:21,167,Antino Jackson missed Free Throw.,43,59
8:21,339,Blake Simmons Defensive Rebound.,43,59
8:06,339,Duane Gibson missed Jumper.,43,59
8:06,167,Makuach Maluach Defensive Rebound.,43,59
7:58,167,Anthony Mathis made Three Point Jumper. Assisted by Antino Jackson.,43,62
7:44,339,Evansville  Timeout,43,62
7:40,339,Dalen Traore missed Jumper.,43,62
7:40,167,Joe Furstinger Block.,43,62
7:38,339,Dalen Traore Offensive Rebound.,43,62
7:29,339,Blake Simmons made Jumper.,45,62
7:21,167,Joe Furstinger made Dunk. Assisted by Sam Logwood.,45,64
7:12,167,Foul on Anthony Mathis.,45,64
7:12,167,Official TV Timeout,45,64
7:12,339,Dru Smith made Free Throw.,46,64
7:12,339,Dru Smith made Free Throw.,47,64
6:58,167,Anthony Mathis missed Three Point Jumper.,47,64
6:58,339,Evansville Defensive Rebound.,47,64
6:57,167,Foul on Sam Logwood.,47,64
6:57,339,Dru Smith made Free Throw.,48,64
6:57,339,Dru Smith made Free Throw.,49,64
6:27,167,Dane Kuiper missed Three Point Jumper.,49,64
6:27,339,Marty Hill Defensive Rebound.,49,64
6:03,339,Marty Hill missed Jumper.,49,64
6:03,167,Joe Furstinger Defensive Rebound.,49,64
5:39,167,Joe Furstinger missed Three Point Jumper.,49,64
5:39,339,Dru Smith Defensive Rebound.,49,64
5:21,339,Dalen Traore made Layup. Assisted by Marty Hill.,51,64
5:13,167,New Mexico  Timeout,51,64
5:02,167,Vladimir Pinchuk missed Jumper.,51,64
5:02,167,Antino Jackson Offensive Rebound.,51,64
4:46,167,Chris McNeal missed Jumper.,51,64
4:46,339,Dainius Chatkevicius Block.,51,64
4:45,339,Dainius Chatkevicius Defensive Rebound.,51,64
4:31,339,Noah Frederking missed Three Point Jumper.,51,64
4:31,167,Antino Jackson Defensive Rebound.,51,64
4:26,167,Makuach Maluach made Layup. Assisted by Antino Jackson.,51,66
4:05,339,Dru Smith Turnover.,51,66
4:05,167,Chris McNeal Steal.,51,66
4:00,167,Chris McNeal made Layup.,51,68
3:58,339,Dru Smith made Free Throw.,52,68
3:58,167,Technical Foul on New Mexico.,51,68
3:57,167,Official TV Timeout,52,68
3:45,339,Duane Gibson Turnover.,52,68
3:29,167,Vladimir Pinchuk made Jumper. Assisted by Makuach Maluach.,52,70
3:24,339,Blake Simmons Turnover.,52,70
3:23,167,Dane Kuiper Steal.,52,70
3:22,167,Troy Simons missed Three Point Jumper.,52,70
3:22,339,Evansville Defensive Rebound.,52,70
3:12,339,Duane Gibson Turnover.,52,70
3:11,167,Troy Simons Steal.,52,70
3:10,167,Sam Logwood made Layup. Assisted by Antino Jackson.,52,72
2:57,339,Blake Simmons missed Jumper.,52,72
2:57,167,Joe Furstinger Defensive Rebound.,52,72
2:47,167,Sam Logwood made Layup. Assisted by Joe Furstinger.,52,74
2:30,339,Evan Kuhlman missed Jumper.,52,74
2:30,339,Noah Frederking Offensive Rebound.,52,74
2:04,339,Blake Simmons missed Three Point Jumper.,52,74
2:04,167,Sam Logwood Defensive Rebound.,52,74
1:43,167,Chris McNeal made Jumper.,52,76
1:12,339,Evan Kuhlman made Layup. Assisted by Dru Smith.,54,76
0:52,167,Anthony Mathis made Layup.,54,78
0:37,167,Foul on Makuach Maluach.,54,78
0:37,339,K.J. Riley made Free Throw.,55,78
0:37,339,K.J. Riley made Free Throw.,56,78
0:10,167,Jachai Simmons missed Three Point Jumper.,56,78
0:10,339,John Hall Defensive Rebound.,56,78
0:00,339,Dru Smith made Three Point Jumper. Assisted by K.J. Riley.,59,78
0:00,167,End of Game,59,78
