Wiley,Error,Southern,2582
12:10,2582,Emanual Shepherd missed Jumper.,11,15
12:10,2582,Torrey Mayo Offensive Rebound.,11,15
12:05,2582,LaQuentin Collins made Three Point Jumper. Assisted by Torrey Mayo.,11,18
11:41,-1,Stephen Taylor made Jumper.,13,18
11:19,2582,Torrey Mayo missed Three Point Jumper.,13,18
11:19,2582,Jared Sam Offensive Rebound.,13,18
11:14,-1,Foul on Kevondric Davis.,13,18
11:14,2582,Official TV Timeout,13,18
11:14,2582,Chris Thomas made Free Throw.,13,19
11:14,2582,Chris Thomas made Free Throw.,13,20
10:46,-1,Joshua Hamilton Turnover.,13,20
10:44,2582,DeRias Johnson missed Three Point Jumper.,13,20
10:44,-1,Wiley Defensive Rebound.,13,20
10:42,2582,Foul on Mubashar Ali.,13,20
10:33,-1,Joshua Hamilton made Layup.,15,20
10:12,-1,Foul on Jamel Robinson.,15,20
10:12,2582,Richard Lee made Free Throw.,15,21
10:12,2582,Richard Lee missed Free Throw.,15,21
10:12,-1,Traylin Prejean Defensive Rebound.,15,21
10:04,-1,Joshua Hamilton missed Three Point Jumper.,15,21
10:04,2582,DeRias Johnson Defensive Rebound.,15,21
9:59,-1,Foul on Joshua Hamilton.,15,21
9:59,2582,Torrey Mayo made Free Throw.,15,22
9:59,2582,Torrey Mayo made Free Throw.,15,23
9:52,-1,Jamel Robinson missed Jumper.,15,23
9:52,2582,Mubashar Ali Defensive Rebound.,15,23
9:44,2582,Mubashar Ali Turnover.,15,23
9:41,-1,Jamel Robinson Steal.,15,23
9:28,-1,Martavious Washington Turnover.,15,23
9:09,2582,Richard Lee missed Three Point Jumper.,15,23
9:09,-1,Jamel Robinson Defensive Rebound.,15,23
8:42,-1,Andre Jackson Turnover.,15,23
8:34,2582,DeRias Johnson made Three Point Jumper. Assisted by Emanual Shepherd.,15,26
8:22,-1,Martavious Washington missed Three Point Jumper.,15,26
8:22,-1,Ashton DeMurrell Offensive Rebound.,15,26
8:19,-1,Ashton DeMurrell made Jumper.,17,26
8:19,2582,DeRias Johnson missed Jumper.,17,26
8:04,-1,Patrick Scipio Defensive Rebound.,17,26
7:46,2582,Foul on DeRias Johnson.,17,26
7:42,-1,Kevondric Davis missed Jumper.,17,26
7:42,2582,Emanual Shepherd Defensive Rebound.,17,26
7:33,2582,Official TV Timeout,17,26
7:21,2582,Aaron Ray made Three Point Jumper. Assisted by Brendon Ganaway.,17,29
6:56,-1,Jamel Robinson Turnover.,17,29
6:54,2582,Emanual Shepherd Steal.,17,29
6:51,-1,Foul on Kevondric Davis.,17,29
6:51,2582,Aaron Ray made Free Throw.,17,30
6:51,2582,Aaron Ray made Free Throw.,17,31
6:43,-1,Anthony Sharp II Turnover.,17,31
6:42,2582,Jared Sam Steal.,17,31
6:38,2582,Aaron Ray made Layup.,17,33
6:34,-1,Wiley  Timeout,17,33
6:34,-1,Stephen Taylor Turnover.,17,33
6:34,2582,Eddie Reese Steal.,17,33
6:34,2582,Emanual Shepherd Turnover.,17,33
6:34,-1,Traylin Prejean Steal.,17,33
6:34,2582,Foul on Brendon Ganaway.,17,33
6:07,-1,Jamel Robinson made Free Throw.,18,33
6:07,-1,Jamel Robinson missed Free Throw.,18,33
6:07,2582,Jared Sam Defensive Rebound.,18,33
5:47,2582,Jared Sam missed Jumper.,18,33
5:47,-1,Kevondric Davis Defensive Rebound.,18,33
5:37,-1,Ashton DeMurrell missed Jumper.,18,33
5:37,2582,Aaron Ray Defensive Rebound.,18,33
5:32,2582,Aaron Ray Turnover.,18,33
5:32,2582,Foul on Aaron Ray.,18,33
5:32,-1,Kevondric Davis missed Jumper.,18,33
5:32,-1,Andre Jackson Offensive Rebound.,18,33
5:26,-1,Kevondric Davis made Three Point Jumper. Assisted by Jamel Robinson.,21,33
4:53,2582,Jared Sam made Layup. Assisted by LaQuentin Collins.,21,35
4:38,-1,Andre Jackson Turnover.,21,35
4:36,2582,LaQuentin Collins Steal.,21,35
4:31,2582,Chris Thomas Turnover.,21,35
4:30,-1,Andre Jackson Steal.,21,35
4:26,-1,Andre Jackson Turnover.,21,35
4:06,2582,Eddie Reese made Three Point Jumper. Assisted by Jared Sam.,21,38
3:49,-1,Martavious Washington Turnover.,21,38
3:47,2582,Emanual Shepherd Steal.,21,38
3:44,2582,Eddie Reese made Layup. Assisted by Emanual Shepherd.,21,40
3:12,-1,Martavious Washington missed Jumper.,21,40
3:12,-1,Ashton DeMurrell Offensive Rebound.,21,40
3:05,-1,Ashton DeMurrell made Two Point Tip Shot.,23,40
2:52,2582,Torrey Mayo missed Three Point Jumper.,23,40
2:52,-1,Kevondric Davis Defensive Rebound.,23,40
2:44,2582,Foul on Eddie Reese.,23,40
2:44,2582,Official TV Timeout,23,40
2:21,-1,Kevondric Davis missed Free Throw.,23,40
2:21,2582,Jared Sam Defensive Rebound.,23,40
2:06,2582,Jared Sam missed Jumper.,23,40
2:06,2582,Jared Sam Offensive Rebound.,23,40
2:04,2582,Jared Sam missed Jumper.,23,40
2:04,-1,Traylin Prejean Defensive Rebound.,23,40
1:58,2582,Foul on Eddie Reese.,23,40
1:58,-1,Kevondric Davis made Free Throw.,24,40
1:58,-1,Kevondric Davis made Free Throw.,25,40
1:36,2582,LaQuentin Collins made Three Point Jumper. Assisted by Torrey Mayo.,25,43
1:16,-1,Kevondric Davis made Layup.,27,43
1:02,2582,Jared Sam made Layup.,27,45
1:02,-1,Foul on Traylin Prejean.,27,45
1:02,2582,Jared Sam missed Free Throw.,27,45
1:02,2582,Emanual Shepherd Offensive Rebound.,27,45
1:02,2582,Jared Sam missed Jumper.,27,45
1:02,-1,Ashton DeMurrell Defensive Rebound.,27,45
1:02,-1,Andre Jackson made Layup.,29,45
0:34,2582,Southern  Timeout,29,45
0:04,2582,Torrey Mayo missed Jumper.,29,45
0:04,2582,Jared Sam Offensive Rebound.,29,45
0:00,2582,Jared Sam made Three Point Jumper.,29,48
0:00,2582,End of 1st half,29,45
19:43,2582,Jared Sam missed Layup.,29,48
19:43,-1,Wiley Defensive Rebound.,29,48
19:43,2582,Foul on Chris Thomas.,29,48
19:40,-1,Joshua Hamilton missed Layup.,29,48
19:40,2582,Jared Sam Defensive Rebound.,29,48
19:20,2582,Chris Thomas made Jumper.,29,50
19:10,-1,Kevondric Davis made Three Point Jumper. Assisted by Joshua Hamilton.,32,50
19:02,2582,Eddie Reese missed Three Point Jumper.,32,50
19:02,2582,Chris Thomas Offensive Rebound.,32,50
18:51,2582,Chris Thomas missed Jumper.,32,50
18:51,-1,Ashton DeMurrell Defensive Rebound.,32,50
18:44,-1,Joshua Hamilton made Layup.,34,50
18:28,2582,Chris Thomas missed Jumper.,34,50
18:28,-1,Wiley Defensive Rebound.,34,50
18:18,-1,Foul on Patrick Scipio.,34,50
18:18,-1,Patrick Scipio Turnover.,34,50
18:03,2582,Foul on LaQuentin Collins.,34,50
18:03,2582,LaQuentin Collins Turnover.,34,50
18:00,-1,Wiley  Timeout,34,50
17:53,2582,Foul on LaQuentin Collins.,34,50
17:46,-1,Patrick Scipio made Jumper. Assisted by Andre Jackson.,36,50
17:23,2582,Jared Sam made Layup.,36,52
17:06,-1,Traylin Prejean made Layup. Assisted by Andre Jackson.,38,52
16:39,2582,Jared Sam missed Jumper.,38,52
16:39,-1,Joshua Hamilton Defensive Rebound.,38,52
16:18,-1,Traylin Prejean missed Three Point Jumper.,38,52
16:18,2582,LaQuentin Collins Defensive Rebound.,38,52
16:06,-1,Foul on Traylin Prejean.,38,52
16:06,2582,Aaron Ray made Free Throw.,38,53
16:06,2582,Aaron Ray missed Free Throw.,38,53
16:06,-1,Traylin Prejean Defensive Rebound.,38,53
15:55,-1,Traylin Prejean made Layup. Assisted by Kevondric Davis.,40,53
15:37,2582,Jared Sam Turnover.,40,53
15:37,2582,Foul on Jared Sam.,40,53
15:37,2582,Official TV Timeout,40,53
15:37,-1,Stephen Taylor missed Three Point Jumper.,40,53
15:37,2582,Aaron Ray Defensive Rebound.,40,53
15:26,-1,Foul on Andre Jackson.,40,53
15:22,2582,Aaron Ray missed Three Point Jumper.,40,53
15:22,-1,Wiley Defensive Rebound.,40,53
15:01,-1,Joshua Hamilton made Jumper.,42,53
14:43,2582,LaQuentin Collins made Layup.,42,55
14:38,-1,Foul on Ashton DeMurrell.,42,55
14:37,2582,LaQuentin Collins made Free Throw.,42,56
14:27,2582,Foul on Emanual Shepherd.,42,56
14:15,-1,Kevondric Davis missed Layup.,42,56
14:15,2582,Jared Sam Defensive Rebound.,42,56
13:53,-1,Foul on Ashton DeMurrell.,42,56
13:53,2582,Jared Sam made Free Throw.,42,57
13:53,2582,Jared Sam made Free Throw.,42,58
13:36,-1,Kevondric Davis missed Three Point Jumper.,42,58
13:36,2582,Emanual Shepherd Defensive Rebound.,42,58
13:24,-1,Foul on Kevondric Davis.,42,58
13:24,2582,LaQuentin Collins missed Free Throw.,42,58
13:24,2582,Southern Deadball Team Rebound.,42,58
13:24,2582,LaQuentin Collins made Free Throw.,42,59
13:00,2582,Foul on Chris Thomas.,42,59
12:37,-1,Stephen Taylor missed Jumper.,42,59
12:37,2582,Chris Thomas Defensive Rebound.,42,59
12:27,-1,Foul on Stephen Taylor.,42,59
12:27,2582,Emanual Shepherd made Free Throw.,42,60
12:27,2582,Emanual Shepherd missed Free Throw.,42,60
12:27,2582,Aaron Ray Offensive Rebound.,42,60
12:27,2582,Aaron Ray Turnover.,42,60
12:12,-1,Anthony Sharp II missed Three Point Jumper.,42,60
12:12,-1,Jamel Robinson Offensive Rebound.,42,60
12:10,2582,Foul on Emanual Shepherd.,42,60
12:10,-1,Jamel Robinson made Free Throw.,43,60
12:10,-1,Jamel Robinson made Free Throw.,44,60
11:48,2582,Jared Sam made Jumper.,44,62
11:36,-1,Joshua Hamilton missed Jumper.,44,62
11:36,-1,Joshua Hamilton Offensive Rebound.,44,62
11:34,-1,Joshua Hamilton missed Jumper.,44,62
11:34,2582,Jared Sam Block.,44,62
11:34,2582,Jared Sam Defensive Rebound.,44,62
11:28,2582,Jared Sam made Dunk. Assisted by Chris Thomas.,44,64
11:22,-1,Joshua Hamilton made Layup.,46,64
11:22,2582,Foul on Mubashar Ali.,46,64
11:22,-1,Joshua Hamilton made Free Throw.,47,64
11:04,2582,Aaron Ray Turnover.,47,64
11:04,-1,Joshua Hamilton Steal.,47,64
10:51,-1,Andre Jackson missed Jumper.,47,64
10:51,-1,Ashton DeMurrell Offensive Rebound.,47,64
10:46,-1,Ashton DeMurrell made Layup.,49,64
10:42,-1,Foul on Andre Jackson.,49,64
10:42,2582,Brendon Ganaway made Free Throw.,49,65
10:42,2582,Brendon Ganaway made Free Throw.,49,66
10:32,2582,Foul on Chris Thomas.,49,66
10:32,-1,Anthony Sharp II made Free Throw.,50,66
10:32,-1,Anthony Sharp II made Free Throw.,51,66
10:17,2582,Aaron Ray missed Layup.,51,66
10:17,-1,Ashton DeMurrell Defensive Rebound.,51,66
10:11,-1,Joshua Hamilton made Jumper.,53,66
9:55,-1,Foul on Jamel Robinson.,53,66
9:55,2582,Torrey Mayo missed Free Throw.,53,66
9:55,2582,Chris Thomas Offensive Rebound.,53,66
9:55,2582,Chris Thomas missed Layup.,53,66
9:55,2582,Emanual Shepherd Offensive Rebound.,53,66
9:55,2582,Emanual Shepherd made Two Point Tip Shot.,53,68
9:55,-1,Kevondric Davis made Jumper.,55,68
9:50,-1,Foul on Anthony Sharp II.,55,68
9:44,2582,Torrey Mayo missed Free Throw.,55,68
9:44,2582,Southern Deadball Team Rebound.,55,68
9:44,2582,Torrey Mayo made Free Throw.,55,69
9:04,-1,Patrick Scipio missed Three Point Jumper.,55,69
9:04,2582,Jared Sam Defensive Rebound.,55,69
8:59,2582,Jared Sam made Layup. Assisted by LaQuentin Collins.,55,71
8:35,-1,Kevondric Davis made Three Point Jumper. Assisted by Ashton DeMurrell.,58,71
8:19,2582,Emanual Shepherd missed Jumper.,58,71
8:19,2582,Jamar Sandifer Offensive Rebound.,58,71
8:14,2582,Jared Sam made Layup. Assisted by Jamar Sandifer.,58,73
7:57,-1,Joshua Hamilton made Three Point Jumper. Assisted by Anthony Sharp II.,61,73
7:38,2582,Emanual Shepherd Turnover.,61,73
7:36,-1,Anthony Sharp II missed Three Point Jumper.,61,73
7:36,2582,Jamar Sandifer Defensive Rebound.,61,73
7:31,2582,Emanual Shepherd made Dunk. Assisted by Jared Sam.,61,75
7:19,2582,Official TV Timeout,61,75
7:04,-1,Joshua Hamilton missed Three Point Jumper.,61,75
7:04,2582,Chris Thomas Block.,61,75
7:04,2582,LaQuentin Collins Defensive Rebound.,61,75
6:31,2582,Chris Thomas made Dunk. Assisted by LaQuentin Collins.,61,77
6:20,-1,Anthony Sharp II made Jumper.,63,77
6:20,2582,Foul on Chris Thomas.,63,77
6:20,-1,Anthony Sharp II missed Free Throw.,63,77
6:20,2582,Southern Defensive Rebound.,63,77
6:00,2582,Jared Sam missed Jumper.,63,77
6:00,2582,Emanual Shepherd Offensive Rebound.,63,77
5:55,2582,Emanual Shepherd made Two Point Tip Shot.,63,79
5:43,-1,Anthony Sharp II Turnover.,63,79
5:41,2582,LaQuentin Collins Steal.,63,79
5:30,2582,Aaron Ray made Layup.,63,81
5:30,-1,Wiley  Timeout,63,81
5:13,-1,Stephen Taylor Turnover.,63,81
4:56,2582,Jared Sam made Layup. Assisted by LaQuentin Collins.,63,83
4:56,-1,Foul on Stephen Taylor.,63,83
4:55,2582,Jared Sam made Free Throw.,63,84
4:46,2582,Foul on Emanual Shepherd.,63,84
4:46,-1,Stephen Taylor missed Free Throw.,63,84
4:46,-1,Wiley Deadball Team Rebound.,63,84
4:46,-1,Stephen Taylor made Free Throw.,64,84
4:28,2582,Aaron Ray missed Layup.,64,84
4:28,2582,LaQuentin Collins Offensive Rebound.,64,84
4:25,-1,Foul on Traylin Prejean.,64,84
4:25,2582,LaQuentin Collins made Free Throw.,64,85
4:25,2582,LaQuentin Collins made Free Throw.,64,86
4:13,-1,Kevondric Davis made Layup.,66,86
3:41,2582,Jared Sam missed Jumper.,66,86
3:41,2582,Aaron Ray Offensive Rebound.,66,86
3:41,-1,Foul on Traylin Prejean.,66,86
3:41,2582,Official TV Timeout,66,86
3:41,2582,Aaron Ray missed Free Throw.,66,86
3:41,2582,Southern Deadball Team Rebound.,66,86
3:41,2582,Aaron Ray missed Free Throw.,66,86
3:41,-1,Traylin Prejean Defensive Rebound.,66,86
3:33,-1,Jamel Robinson made Jumper.,68,86
3:33,2582,Foul on Emanual Shepherd.,68,86
3:33,-1,Jamel Robinson missed Free Throw.,68,86
3:33,2582,Chris Thomas Defensive Rebound.,68,86
3:15,2582,LaQuentin Collins missed Three Point Jumper.,68,86
3:15,2582,Jared Sam Offensive Rebound.,68,86
2:41,-1,Foul on Demetrius Wiggins.,68,86
2:41,2582,Emanual Shepherd missed Free Throw.,68,86
2:41,2582,Southern Deadball Team Rebound.,68,86
2:41,2582,Emanual Shepherd missed Free Throw.,68,86
2:41,-1,Traylin Prejean Defensive Rebound.,68,86
2:23,-1,Jamel Robinson missed Jumper.,68,86
2:23,2582,Jamar Sandifer Defensive Rebound.,68,86
2:04,2582,Jared Sam made Jumper. Assisted by Brendon Ganaway.,68,88
1:44,2582,Foul on Brendon Ganaway.,68,88
1:44,-1,Jamel Robinson missed Free Throw.,68,88
1:44,-1,Wiley Deadball Team Rebound.,68,88
1:44,-1,Jamel Robinson made Free Throw.,69,88
1:26,2582,Mubashar Ali made Layup. Assisted by DeRias Johnson.,69,90
1:12,-1,Traylin Prejean missed Jumper.,69,90
1:12,2582,Emanual Shepherd Defensive Rebound.,69,90
0:58,2582,Mubashar Ali missed Layup.,69,90
0:58,-1,Demetrius Wiggins Defensive Rebound.,69,90
0:50,-1,Andre Jackson Turnover.,69,90
0:48,2582,DeRias Johnson Steal.,69,90
0:44,2582,Jamar Sandifer made Dunk. Assisted by DeRias Johnson.,69,92
0:26,-1,Demetrius Wiggins missed Three Point Jumper.,69,92
0:26,-1,Traylin Prejean Offensive Rebound.,69,92
0:17,-1,Martavious Washington missed Three Point Jumper.,69,92
0:17,2582,DeRias Johnson Defensive Rebound.,69,92
0:00,2582,End of 2nd half,69,92
0:00,2582,End of Game,69,92
