Wyoming,2172,Denver,2751
1:29,2751,Alan Herndon missed Three Point Jumper.,28,39
1:29,2172,Joe Rosga Defensive Rebound.,28,39
1:12,2172,Joe Rosga made Jumper.,28,41
1:00,2172,Foul on Abiola Akintola.,28,41
1:00,2751,Alexander Aka Gorski made Free Throw.,29,41
1:00,2751,Alexander Aka Gorski made Free Throw.,30,41
0:50,2751,Foul on Louis Adams.,30,41
0:50,2172,Jake Pemberton missed Free Throw.,30,41
0:50,2751,Alexander Aka Gorski Defensive Rebound.,30,41
0:36,2751,Nyaires Redding missed Three Point Jumper.,30,41
0:36,2172,Joe Rosga Defensive Rebound.,30,41
0:12,2172,Abiola Akintola missed Layup.,30,41
0:12,2751,Andrew Moemeka Defensive Rebound.,30,41
0:04,2751,Hunter Maldonado missed Three Point Jumper.,30,41
0:04,2172,Joe Rosga Defensive Rebound.,30,41
0:01,2172,Jake Pemberton made Layup. Assisted by Joe Rosga.,30,43
0:00,2172,End of 1st half,30,43
19:43,2751,Hayden Dalton missed Jumper.,30,43
19:43,2172,Jake Krafka Defensive Rebound.,30,43
19:35,2172,Ade Murkey Turnover.,30,43
19:34,2751,Alan Herndon Steal.,30,43
19:27,2172,Foul on Jake Krafka.,30,43
19:27,2751,Hayden Dalton made Free Throw.,31,43
19:27,2751,Hayden Dalton made Free Throw.,32,43
19:02,2751,Foul on Nyaires Redding.,32,43
19:02,2172,Joe Rosga made Free Throw.,32,44
19:02,2172,Joe Rosga made Free Throw.,32,45
18:50,2751,Hayden Dalton missed Jumper.,32,45
18:50,2751,Cody Kelley Offensive Rebound.,32,45
18:46,2172,Foul on Abiola Akintola.,32,45
18:46,2751,Cody Kelley made Free Throw.,33,45
18:46,2751,Cody Kelley missed Free Throw.,33,45
18:46,2172,Daniel Amigo Defensive Rebound.,33,45
18:24,2172,Ade Murkey missed Layup.,33,45
18:24,2751,Hayden Dalton Defensive Rebound.,33,45
18:06,2172,Foul on Daniel Amigo.,33,45
18:03,2751,Justin James missed Jumper.,33,45
18:03,2172,Abiola Akintola Defensive Rebound.,33,45
17:48,2172,Ade Murkey made Jumper.,33,47
17:33,2751,Hayden Dalton Turnover.,33,47
17:33,2751,Foul on Hayden Dalton.,33,47
17:09,2172,Abiola Akintola Turnover.,33,47
17:09,2172,Foul on Abiola Akintola.,33,47
16:55,2751,Cody Kelley made Three Point Jumper. Assisted by Hayden Dalton.,36,47
16:36,2172,Jake Pemberton missed Jumper.,36,47
16:36,2172,Abiola Akintola Offensive Rebound.,36,47
16:34,2751,Foul on Hayden Dalton.,36,47
16:34,2172,Abiola Akintola missed Free Throw.,36,47
16:34,2172,Denver Deadball Team Rebound.,36,47
16:34,2172,Abiola Akintola missed Free Throw.,36,47
16:34,2751,Alan Herndon Defensive Rebound.,36,47
16:19,2751,Alexander Aka Gorski made Three Point Jumper.,39,47
15:59,2172,Joe Rosga made Jumper.,39,49
15:45,2751,Alan Herndon made Dunk. Assisted by Cody Kelley.,41,49
15:31,2172,Jake Holtzmann Turnover.,41,49
15:30,2751,Hayden Dalton Steal.,41,49
15:25,2751,Hayden Dalton missed Three Point Jumper.,41,49
15:25,2172,Joe Rosga Defensive Rebound.,41,49
15:16,2172,Joe Rosga made Jumper.,41,51
15:01,2751,Justin James missed Three Point Jumper.,41,51
15:01,2751,Cody Kelley Offensive Rebound.,41,51
14:40,2751,Justin James missed Jumper.,41,51
14:40,2172,Jake Pemberton Defensive Rebound.,41,51
14:25,2172,Jake Pemberton Turnover.,41,51
14:24,2751,Hayden Dalton Steal.,41,51
14:21,2751,Justin James made Layup.,43,51
14:02,2172,Official TV Timeout,43,51
13:57,2751,Foul on Louis Adams.,43,51
13:52,2172,Daniel Amigo made Jumper.,43,53
13:39,2751,Andrew Moemeka missed Jumper.,43,53
13:39,2172,Joe Rosga Defensive Rebound.,43,53
13:30,2751,Foul on Cody Kelley.,43,53
13:13,2172,Joe Rosga missed Jumper.,43,53
13:13,2751,Louis Adams Defensive Rebound.,43,53
13:05,2172,Foul on Jake Pemberton.,43,53
13:05,2751,Louis Adams missed Free Throw.,43,53
13:05,2751,Wyoming Deadball Team Rebound.,43,53
13:05,2751,Louis Adams made Free Throw.,44,53
12:46,2172,Christian Mackey made Layup. Assisted by Jake Holtzmann.,44,55
12:32,2172,Foul on Christian Mackey.,44,55
12:32,2751,Hayden Dalton made Free Throw.,45,55
12:32,2751,Hayden Dalton made Free Throw.,46,55
12:13,2172,Daniel Amigo Turnover.,46,55
12:03,2172,Foul on Jake Holtzmann.,46,55
12:03,2751,Alexander Aka Gorski made Free Throw.,47,55
12:03,2751,Alexander Aka Gorski made Free Throw.,48,55
11:47,2751,Foul on Cody Kelley.,48,55
11:47,2172,Official TV Timeout,48,55
11:34,2172,Joe Rosga missed Three Point Jumper.,48,55
11:34,2172,Christian Mackey Offensive Rebound.,48,55
11:30,2172,Christian Mackey Turnover.,48,55
11:19,2751,Hayden Dalton made Layup.,50,55
11:05,2172,Jake Pemberton made Three Point Jumper. Assisted by Joe Rosga.,50,58
10:56,2172,Foul on Jake Holtzmann.,50,58
10:56,2751,Alan Herndon missed Free Throw.,50,58
10:56,2751,Wyoming Deadball Team Rebound.,50,58
10:56,2751,Alan Herndon made Free Throw.,51,58
10:46,2172,Daniel Amigo made Layup. Assisted by Jake Krafka.,51,60
10:29,2751,Alan Herndon made Three Point Jumper. Assisted by Cody Kelley.,54,60
10:17,2751,Foul on Alan Herndon.,54,60
10:17,2172,Jake Holtzmann made Free Throw.,54,61
10:17,2172,Jake Holtzmann made Free Throw.,54,62
10:13,2172,Foul on Daniel Amigo.,54,62
10:13,2751,Louis Adams made Free Throw.,55,62
10:13,2751,Louis Adams made Free Throw.,56,62
10:01,2172,Daniel Amigo made Layup.,56,64
9:52,2751,Alexander Aka Gorski missed Three Point Jumper.,56,64
9:52,2172,Daniel Amigo Defensive Rebound.,56,64
9:41,2172,Joe Rosga Turnover.,56,64
9:40,2751,Hayden Dalton Steal.,56,64
9:37,2751,Hayden Dalton Turnover.,56,64
9:21,2172,Daniel Amigo missed Jumper.,56,64
9:21,2751,Alan Herndon Block.,56,64
9:19,2172,Jake Krafka Offensive Rebound.,56,64
9:13,2172,Jake Holtzmann made Three Point Jumper. Assisted by Jake Krafka.,56,67
9:05,2751,Cody Kelley missed Three Point Jumper.,56,67
9:05,2751,Hayden Dalton Offensive Rebound.,56,67
8:50,2751,Alan Herndon missed Three Point Jumper.,56,67
8:50,2172,Jake Krafka Defensive Rebound.,56,67
8:38,2172,Jake Krafka Turnover.,56,67
8:38,2172,Foul on Jake Krafka.,56,67
8:14,2751,Justin James made Jumper.,58,67
8:06,2751,Foul on Alexander Aka Gorski.,58,67
8:06,2172,Jake Holtzmann made Free Throw.,58,68
8:06,2172,Jake Holtzmann made Free Throw.,58,69
7:53,2751,Hayden Dalton made Three Point Jumper. Assisted by Nyaires Redding.,61,69
7:34,2172,Jake Holtzmann Turnover.,61,69
7:34,2172,Foul on Jake Holtzmann.,61,69
7:34,2172,Official TV Timeout,61,69
7:16,2751,Hayden Dalton missed Layup.,61,69
7:16,2751,Wyoming Offensive Rebound.,61,69
7:03,2751,Alan Herndon Turnover.,61,69
6:43,2172,Joe Rosga missed Jumper.,61,69
6:43,2172,Daniel Amigo Offensive Rebound.,61,69
6:31,2172,Daniel Amigo Turnover.,61,69
6:30,2751,Justin James Steal.,61,69
6:19,2751,Justin James missed Three Point Jumper.,61,69
6:19,2172,Denver Defensive Rebound.,61,69
6:02,2751,Foul on Alan Herndon.,61,69
6:02,2172,Daniel Amigo made Free Throw.,61,70
6:02,2172,Daniel Amigo missed Free Throw.,61,70
6:02,2751,Andrew Moemeka Defensive Rebound.,61,70
5:52,2751,Hayden Dalton missed Three Point Jumper.,61,70
5:52,2172,Joe Rosga Defensive Rebound.,61,70
5:24,2751,Foul on Andrew Moemeka.,61,70
5:24,2172,Daniel Amigo made Free Throw.,61,71
5:24,2172,Daniel Amigo made Free Throw.,61,72
5:09,2751,Justin James made Dunk.,63,72
4:47,2172,Jake Holtzmann missed Three Point Jumper.,63,72
4:47,2751,Justin James Defensive Rebound.,63,72
4:39,2751,Cody Kelley missed Three Point Jumper.,63,72
4:39,2172,Ade Murkey Defensive Rebound.,63,72
4:17,2751,Foul on Alexander Aka Gorski.,63,72
4:17,2172,Jake Pemberton made Free Throw.,63,73
4:17,2172,Jake Pemberton missed Free Throw.,63,73
4:17,2751,Hayden Dalton Defensive Rebound.,63,73
4:08,2751,Justin James missed Layup.,63,73
4:08,2172,Jake Holtzmann Defensive Rebound.,63,73
4:08,2751,Foul on Louis Adams.,63,73
4:08,2172,Jake Holtzmann made Free Throw.,63,74
4:08,2172,Jake Holtzmann made Free Throw.,63,75
4:04,2172,Official TV Timeout,63,75
4:00,2172,Foul on Ade Murkey.,63,75
4:00,2751,Louis Adams missed Free Throw.,63,75
4:00,2751,Wyoming Deadball Team Rebound.,63,75
4:00,2751,Louis Adams made Free Throw.,64,75
3:36,2172,Jake Holtzmann made Three Point Jumper. Assisted by Jake Pemberton.,64,78
3:18,2751,Justin James made Three Point Jumper. Assisted by Alan Herndon.,67,78
2:46,2751,Foul on Alan Herndon.,67,78
2:46,2172,Daniel Amigo missed Free Throw.,67,78
2:46,2172,Denver Deadball Team Rebound.,67,78
2:46,2172,Daniel Amigo made Free Throw.,67,79
2:41,2172,Foul on Ade Murkey.,67,79
2:41,2751,Louis Adams made Free Throw.,68,79
2:41,2751,Louis Adams made Free Throw.,69,79
2:38,2172,Ade Murkey Turnover.,69,79
2:37,2751,Justin James Steal.,69,79
2:33,2751,Alan Herndon made Dunk. Assisted by Justin James.,71,79
2:30,2172,Denver  Timeout,71,79
2:01,2172,Jake Holtzmann missed Layup.,71,79
2:01,2172,Daniel Amigo Offensive Rebound.,71,79
1:57,2172,Daniel Amigo made Layup.,71,81
1:47,2172,Foul on Jake Pemberton.,71,81
1:47,2751,Justin James missed Free Throw.,71,81
1:47,2751,Wyoming Deadball Team Rebound.,71,81
1:47,2751,Justin James missed Free Throw.,71,81
1:47,2751,Hayden Dalton Offensive Rebound.,71,81
1:44,2751,Hayden Dalton missed Layup.,71,81
1:44,2751,Hayden Dalton Offensive Rebound.,71,81
1:34,2751,Justin James missed Three Point Jumper.,71,81
1:34,2172,Jake Pemberton Defensive Rebound.,71,81
1:33,2751,Foul on Alexander Aka Gorski.,71,81
1:33,2172,Jake Pemberton made Free Throw.,71,82
1:33,2172,Jake Pemberton made Free Throw.,71,83
1:25,2751,Hayden Dalton missed Three Point Jumper.,71,83
1:25,2172,Daniel Amigo Defensive Rebound.,71,83
1:16,2172,Denver  Timeout,71,83
1:04,2172,Jake Holtzmann Turnover.,71,83
1:03,2751,Alexander Aka Gorski Steal.,71,83
0:54,2172,Foul on Jake Pemberton.,71,83
0:54,2751,Justin James made Free Throw.,72,83
0:54,2751,Justin James made Free Throw.,73,83
0:53,2751,Foul on Louis Adams.,73,83
0:53,2172,Joe Rosga made Free Throw.,73,84
0:53,2172,Joe Rosga made Free Throw.,73,85
0:51,2172,Foul on Jake Pemberton.,73,85
0:51,2751,Justin James missed Free Throw.,73,85
0:51,2751,Wyoming Deadball Team Rebound.,73,85
0:51,2751,Justin James made Free Throw.,74,85
0:50,2172,Joe Rosga Turnover.,74,85
0:49,2172,Foul on Joe Rosga.,74,85
0:49,2751,Alan Herndon missed Free Throw.,74,85
0:49,2751,Wyoming Deadball Team Rebound.,74,85
0:49,2751,Alan Herndon made Free Throw.,75,85
0:35,2751,Foul on Louis Adams.,75,85
0:35,2172,Joe Rosga made Free Throw.,75,86
0:35,2172,Joe Rosga made Free Throw.,75,87
0:25,2751,Hayden Dalton made Three Point Jumper. Assisted by Hunter Maldonado.,78,87
0:16,2751,Foul on Alexander Aka Gorski.,78,87
0:16,2172,Donoven Carlisle made Free Throw.,78,88
0:16,2172,Donoven Carlisle missed Free Throw.,78,88
0:16,2751,Hayden Dalton Defensive Rebound.,78,88
0:10,2751,Justin James missed Three Point Jumper.,78,88
0:10,2172,Jake Holtzmann Defensive Rebound.,78,88
0:00,2172,End of Game,78,88
