Tenn-Martin,99,LSU,2630
9:55,99,Duop Reath made Dunk. Assisted by Daryl Edwards.,12,15
9:28,2630,Darius Thompson missed Three Point Jumper.,12,15
9:28,2630,UT Martin Offensive Rebound.,12,15
8:58,2630,Darius Thompson missed Three Point Jumper.,12,15
8:58,99,Duop Reath Defensive Rebound.,12,15
8:50,99,Daryl Edwards missed Three Point Jumper.,12,15
8:50,99,LSU Offensive Rebound.,12,15
8:42,2630,Foul on Jailen Gill.,12,15
8:32,2630,Foul on Fatodd Lewis.,12,15
8:29,99,Daryl Edwards made Layup. Assisted by Wayde Sims.,12,17
7:58,2630,Fatodd Lewis missed Jumper.,12,17
7:58,2630,Fatodd Lewis Offensive Rebound.,12,17
7:56,99,Official TV Timeout,12,17
7:56,2630,Foul on Fatodd Lewis.,12,17
7:56,2630,Fatodd Lewis missed Jumper.,12,17
7:56,99,Duop Reath Defensive Rebound.,12,17
7:56,99,Official TV Timeout,12,17
7:56,99,Duop Reath made Free Throw.,12,18
7:56,99,Duop Reath made Free Throw.,12,19
7:55,99,Official TV Timeout,12,17
7:35,2630,Jailen Gill Turnover.,12,19
7:35,2630,Foul on Jailen Gill.,12,19
7:19,99,Wayde Sims Turnover.,12,19
7:18,2630,Jailen Gill Steal.,12,19
7:10,2630,Dominique Williams missed Jumper.,12,19
7:10,99,Tremont Waters Defensive Rebound.,12,19
7:02,99,Daryl Edwards made Jumper.,12,21
6:35,2630,Matthew Butler missed Three Point Jumper.,12,21
6:35,99,Duop Reath Defensive Rebound.,12,21
6:26,99,Skylar Mays made Layup.,12,23
6:16,2630,Matthew Butler made Jumper.,14,23
6:01,99,Skylar Mays missed Three Point Jumper.,14,23
6:01,2630,Jailen Gill Defensive Rebound.,14,23
5:59,99,Foul on Duop Reath.,14,23
5:46,2630,Fatodd Lewis Turnover.,14,23
5:29,99,Skylar Mays made Three Point Jumper. Assisted by Daryl Edwards.,14,26
5:21,2630,Terrence Parker made Layup. Assisted by Matthew Butler.,16,26
5:20,99,LSU  Timeout,16,26
5:01,99,Skylar Mays made Three Point Jumper. Assisted by Daryl Edwards.,16,29
4:34,2630,Darius Thompson Turnover.,16,29
4:19,99,Daryl Edwards missed Three Point Jumper.,16,29
4:19,2630,Fatodd Lewis Defensive Rebound.,16,29
3:59,2630,Jerome Davis Turnover.,16,29
3:58,99,Brandon Rachal Steal.,16,29
3:55,99,Brandon Rachal made Layup. Assisted by Tremont Waters.,16,31
3:37,2630,Matthew Butler Turnover.,16,31
3:36,99,Brandon Rachal Steal.,16,31
3:33,99,Brandon Rachal made Layup.,16,33
3:31,2630,UT Martin  Timeout,16,33
3:09,2630,Darius Thompson made Jumper.,18,33
2:51,99,Duop Reath missed Jumper.,18,33
2:51,2630,Kahari Beaufort Block.,18,33
2:49,2630,Kahari Beaufort Defensive Rebound.,18,33
2:47,2630,Matthew Butler Turnover.,18,33
2:46,99,Tremont Waters Steal.,18,33
2:35,99,Skylar Mays made Three Point Jumper. Assisted by Tremont Waters.,18,36
2:16,99,Foul on Aaron Epps.,18,36
2:16,2630,Fatodd Lewis made Free Throw.,19,36
2:16,2630,Fatodd Lewis missed Free Throw.,19,36
2:16,99,Aaron Epps Defensive Rebound.,19,36
2:04,99,Aaron Epps missed Three Point Jumper.,19,36
2:04,2630,Fatodd Lewis Defensive Rebound.,19,36
1:56,99,Foul on Aaron Epps.,19,36
1:56,2630,Darius Thompson made Free Throw.,20,36
1:56,2630,Darius Thompson made Free Throw.,21,36
1:43,99,Wayde Sims missed Three Point Jumper.,21,36
1:43,2630,Mike Fofana Defensive Rebound.,21,36
1:29,2630,Mike Fofana missed Jumper.,21,36
1:29,99,Wayde Sims Defensive Rebound.,21,36
1:19,99,Tremont Waters missed Layup.,21,36
1:19,99,Duop Reath Offensive Rebound.,21,36
1:17,99,Duop Reath missed Layup.,21,36
1:17,99,Duop Reath Offensive Rebound.,21,36
1:06,2630,Foul on Parrish Hewitt.,21,36
1:06,99,Skylar Mays missed Free Throw.,21,36
1:06,2630,Jailen Gill Defensive Rebound.,21,36
0:56,2630,Kahari Beaufort missed Jumper.,21,36
0:56,99,Wayde Sims Defensive Rebound.,21,36
0:53,2630,Foul on Kahari Beaufort.,21,36
0:53,99,Skylar Mays made Free Throw.,21,37
0:53,99,Skylar Mays made Free Throw.,21,38
0:27,2630,Darius Thompson made Three Point Jumper. Assisted by Matthew Butler.,24,38
0:04,99,Skylar Mays made Three Point Jumper. Assisted by Tremont Waters.,24,41
0:00,99,End of 1st half,24,41
19:46,99,Foul on Wayde Sims.,24,41
19:46,2630,Darius Thompson missed Free Throw.,24,41
19:46,2630,UT Martin Deadball Team Rebound.,24,41
19:46,2630,Darius Thompson made Free Throw.,25,41
19:15,99,Tremont Waters missed Three Point Jumper.,25,41
19:15,99,Aaron Epps Offensive Rebound.,25,41
19:08,99,Skylar Mays missed Three Point Jumper.,25,41
19:08,99,Wayde Sims Offensive Rebound.,25,41
18:59,99,Wayde Sims missed Three Point Jumper.,25,41
18:59,2630,Matthew Butler Defensive Rebound.,25,41
18:52,2630,Matthew Butler missed Jumper.,25,41
18:52,99,Tremont Waters Defensive Rebound.,25,41
18:44,99,Randy Onwuasor made Layup. Assisted by Tremont Waters.,25,43
18:15,2630,Mike Fofana missed Jumper.,25,43
18:15,2630,Jailen Gill Offensive Rebound.,25,43
18:11,2630,Jailen Gill Turnover.,25,43
18:08,99,Skylar Mays Steal.,25,43
18:06,2630,Foul on Darius Thompson.,25,43
18:06,99,Aaron Epps made Free Throw.,25,44
18:06,99,Aaron Epps made Free Throw.,25,45
17:59,2630,Mike Fofana Turnover.,25,45
17:58,99,Wayde Sims Steal.,25,45
17:49,99,Wayde Sims Turnover.,25,45
17:48,2630,Mike Fofana Steal.,25,45
17:45,2630,Matthew Butler made Layup. Assisted by Darius Thompson.,27,45
17:36,2630,Foul on Darius Thompson.,27,45
17:15,99,Skylar Mays missed Three Point Jumper.,27,45
17:15,2630,Jailen Gill Defensive Rebound.,27,45
16:56,2630,Kahari Beaufort Turnover.,27,45
16:55,99,Tremont Waters Steal.,27,45
16:53,99,Tremont Waters made Layup.,27,47
16:29,2630,Darius Thompson missed Three Point Jumper.,27,47
16:29,99,LSU Defensive Rebound.,27,47
16:03,99,Randy Onwuasor missed Jumper.,27,47
16:03,2630,Jailen Gill Block.,27,47
16:02,2630,Matthew Butler Defensive Rebound.,27,47
15:40,99,Foul on Randy Onwuasor.,27,47
15:40,99,Official TV Timeout,27,47
15:40,2630,Darius Thompson made Free Throw.,28,47
15:40,2630,Darius Thompson made Free Throw.,29,47
15:27,99,Duop Reath made Layup. Assisted by Tremont Waters.,29,49
15:05,2630,DelFincko Bogan missed Three Point Jumper.,29,49
15:05,99,Daryl Edwards Defensive Rebound.,29,49
14:53,99,Daryl Edwards missed Jumper.,29,49
14:53,2630,DelFincko Bogan Defensive Rebound.,29,49
14:52,2630,Darius Thompson missed Jumper.,29,49
14:52,2630,Fatodd Lewis Offensive Rebound.,29,49
14:51,2630,Fatodd Lewis made Layup.,31,49
14:37,2630,Foul on Jailen Gill.,31,49
14:37,99,Duop Reath made Free Throw.,31,50
14:37,99,Duop Reath missed Free Throw.,31,50
14:37,2630,Fatodd Lewis Defensive Rebound.,31,50
14:20,2630,Matthew Butler made Three Point Jumper. Assisted by DelFincko Bogan.,34,50
13:48,99,Skylar Mays missed Three Point Jumper.,34,50
13:48,99,Aaron Epps Offensive Rebound.,34,50
13:46,99,Daryl Edwards made Jumper.,34,52
13:21,2630,DelFincko Bogan made Three Point Jumper. Assisted by Darius Thompson.,37,52
13:04,99,Aaron Epps missed Three Point Jumper.,37,52
13:04,2630,Matthew Butler Defensive Rebound.,37,52
12:56,2630,Darius Thompson made Three Point Jumper. Assisted by Matthew Butler.,40,52
12:30,99,Daryl Edwards missed Jumper.,40,52
12:30,2630,Jailen Gill Block.,40,52
12:28,2630,Fatodd Lewis Defensive Rebound.,40,52
12:24,2630,DelFincko Bogan missed Three Point Jumper.,40,52
12:24,99,Duop Reath Defensive Rebound.,40,52
12:05,2630,Foul on DelFincko Bogan.,40,52
12:05,99,Tremont Waters missed Three Point Jumper.,40,52
12:05,2630,Darius Thompson Defensive Rebound.,40,52
11:34,2630,DelFincko Bogan Turnover.,40,52
11:33,99,Tremont Waters Steal.,40,52
11:33,99,Skylar Mays made Layup. Assisted by Tremont Waters.,40,54
11:14,2630,Darius Thompson Turnover.,40,54
11:13,99,Wayde Sims Steal.,40,54
11:04,99,Daryl Edwards made Three Point Jumper. Assisted by Tremont Waters.,40,57
11:03,99,LSU  Timeout,40,57
10:33,2630,DelFincko Bogan missed Layup.,40,57
10:33,2630,UT Martin Offensive Rebound.,40,57
10:29,99,Official TV Timeout,40,57
10:11,2630,Matthew Butler Turnover.,40,57
10:10,99,Wayde Sims Steal.,40,57
10:05,99,Duop Reath made Jumper. Assisted by Skylar Mays.,40,59
9:55,2630,Darius Thompson missed Three Point Jumper.,40,59
9:55,2630,Jailen Gill Offensive Rebound.,40,59
9:55,99,Foul on Duop Reath.,40,59
9:53,2630,Matthew Butler made Jumper. Assisted by DelFincko Bogan.,42,59
9:17,99,Tremont Waters made Three Point Jumper.,42,62
9:06,2630,DelFincko Bogan made Three Point Jumper. Assisted by Matthew Butler.,45,62
8:47,99,Duop Reath made Layup. Assisted by Wayde Sims.,45,64
8:38,2630,Matthew Butler missed Three Point Jumper.,45,64
8:38,99,Tremont Waters Defensive Rebound.,45,64
8:30,99,Wayde Sims made Layup. Assisted by Tremont Waters.,45,66
8:03,2630,Matthew Butler made Jumper.,47,66
7:52,99,Daryl Edwards missed Three Point Jumper.,47,66
7:52,2630,DelFincko Bogan Defensive Rebound.,47,66
7:21,2630,Darius Thompson missed Layup.,47,66
7:21,99,Daryl Edwards Defensive Rebound.,47,66
7:04,99,Duop Reath made Jumper. Assisted by Tremont Waters.,47,68
6:37,2630,DelFincko Bogan Turnover.,47,68
6:37,99,Tremont Waters Steal.,47,68
6:35,2630,Foul on DelFincko Bogan.,47,68
6:35,99,Official TV Timeout,47,68
6:17,99,Tremont Waters missed Jumper.,47,68
6:17,2630,UT Martin Defensive Rebound.,47,68
5:55,99,Foul on Brandon Rachal.,47,68
5:54,2630,DelFincko Bogan made Jumper.,49,68
5:44,2630,Foul on Darius Thompson.,49,68
5:36,2630,Foul on Matthew Butler.,49,68
5:36,99,Brandon Rachal missed Free Throw.,49,68
5:36,99,Aaron Epps Offensive Rebound.,49,68
5:12,99,Aaron Epps made Jumper. Assisted by Marshall Graves.,49,70
4:46,2630,Matthew Butler made Jumper.,51,70
4:45,2630,UT Martin  Timeout,51,70
4:45,2630,Foul on DelFincko Bogan.,51,70
4:45,99,Tremont Waters made Free Throw.,51,72
4:45,99,Tremont Waters made Free Throw.,51,71
4:33,2630,Matthew Butler Turnover.,51,72
4:33,99,Brandon Rachal Steal.,51,72
4:33,99,Randy Onwuasor made Layup. Assisted by Brandon Rachal.,51,74
4:33,2630,Foul on Fatodd Lewis.,51,74
4:33,99,Randy Onwuasor made Free Throw.,51,75
4:20,99,Foul on Randy Onwuasor.,51,75
4:20,2630,Darius Thompson made Free Throw.,52,75
4:20,2630,Darius Thompson made Free Throw.,53,75
3:55,99,Tremont Waters missed Three Point Jumper.,53,75
3:55,2630,Fatodd Lewis Defensive Rebound.,53,75
3:44,99,Foul on Tremont Waters.,53,75
3:44,99,Official TV Timeout,53,75
3:25,2630,Matthew Butler made Jumper.,55,75
2:56,2630,Foul on Darius Thompson.,55,75
2:56,99,Aaron Epps missed Free Throw.,55,75
2:56,99,LSU Deadball Team Rebound.,55,75
2:56,99,Aaron Epps missed Free Throw.,55,75
2:56,2630,Jailen Gill Defensive Rebound.,55,75
2:37,2630,Fatodd Lewis missed Jumper.,55,75
2:37,2630,Jailen Gill Offensive Rebound.,55,75
2:30,2630,Jailen Gill made Layup.,57,75
2:09,99,Aaron Epps missed Jumper.,57,75
2:09,99,Brandon Rachal Offensive Rebound.,57,75
2:06,99,Brandon Rachal made Layup.,57,77
2:06,2630,Foul on Mike Fofana.,57,77
2:06,99,Brandon Rachal made Free Throw.,57,78
1:48,2630,Mike Fofana missed Three Point Jumper.,57,78
1:48,99,Brandon Rachal Defensive Rebound.,57,78
1:34,99,Marshall Graves made Three Point Jumper. Assisted by Randy Onwuasor.,57,81
1:14,99,Foul on Brandon Rachal.,57,81
1:14,2630,Jailen Gill made Free Throw.,58,81
1:14,2630,Jailen Gill made Free Throw.,59,81
1:08,99,Brandon Rachal Turnover.,59,81
1:07,2630,Fatodd Lewis Steal.,59,81
1:02,99,Foul on Marshall Graves.,59,81
1:02,2630,Fatodd Lewis made Free Throw.,60,81
1:02,2630,Fatodd Lewis missed Free Throw.,60,81
1:02,99,Aaron Epps Defensive Rebound.,60,81
0:33,99,Marshall Graves made Three Point Jumper. Assisted by Randy Onwuasor.,60,84
0:22,2630,Matthew Butler Turnover.,60,84
0:00,99,End of Game,60,84
