Winthrop,231,Furman,2737
17:39,2737,Winthrop  Timeout,57,41
17:25,2737,Anders Broman made Three Point Jumper. Assisted by Bjorn Broman.,60,41
17:04,2737,Foul on Anders Broman.,60,41
17:04,231,Jordan Lyons missed Free Throw.,60,41
17:04,231,Furman Deadball Team Rebound.,60,41
17:04,231,Jordan Lyons made Free Throw.,60,42
16:53,2737,Xavier Cooks made Jumper. Assisted by Bjorn Broman.,62,42
16:39,231,Matt Rafferty Turnover.,62,42
16:25,2737,Xavier Cooks Turnover.,62,42
16:24,231,Andrew Brown Steal.,62,42
16:23,2737,Foul on Xavier Cooks.,62,42
15:57,231,Andrew Brown missed Three Point Jumper.,62,42
15:57,2737,Jermaine Ukaegbu Defensive Rebound.,62,42
15:49,231,Official TV Timeout,62,42
15:49,2737,Jermaine Ukaegbu Turnover.,62,42
15:40,2737,Foul on Kyle Zunic.,62,42
15:19,231,Alex Hunter Turnover.,62,42
15:04,2737,Nych Smith missed Jumper.,62,42
15:04,2737,Jermaine Ukaegbu Offensive Rebound.,62,42
14:41,2737,Charles Falden made Layup.,64,42
14:25,231,Alex Hunter missed Three Point Jumper.,64,42
14:25,2737,Josh Ferguson Defensive Rebound.,64,42
14:02,2737,Josh Ferguson made Layup. Assisted by Jermaine Ukaegbu.,66,42
13:54,231,Furman  Timeout,66,42
13:44,231,Jordan Lyons Turnover.,66,42
13:43,2737,Charles Falden Steal.,66,42
13:39,2737,Charles Falden missed Layup.,66,42
13:39,231,Daniel Fowler Block.,66,42
13:38,231,Matt Rafferty Defensive Rebound.,66,42
13:25,231,John Davis III made Jumper.,66,44
13:11,2737,Bjorn Broman missed Three Point Jumper.,66,44
13:11,231,Matt Rafferty Defensive Rebound.,66,44
13:08,2737,Foul on Xavier Cooks.,66,44
12:58,2737,Foul on Jermaine Ukaegbu.,66,44
12:58,2737,Technical Foul on Winthrop.,66,44
12:58,231,John Davis III made Free Throw.,66,45
12:58,231,John Davis III made Free Throw.,66,46
12:58,231,Clay Mounce made Free Throw.,66,47
12:58,231,Clay Mounce made Free Throw.,66,48
12:38,2737,Charles Falden missed Jumper.,66,48
12:38,2737,Josh Ferguson Offensive Rebound.,66,48
12:36,231,Foul on Jordan Lyons.,66,48
12:26,2737,Anders Broman missed Three Point Jumper.,66,48
12:26,2737,Austin Awad Offensive Rebound.,66,48
12:19,2737,Anders Broman missed Three Point Jumper.,66,48
12:19,231,Clay Mounce Defensive Rebound.,66,48
12:17,2737,Foul on Charles Falden.,66,48
12:17,231,Clay Mounce made Free Throw.,66,49
12:17,231,Clay Mounce made Free Throw.,66,50
12:10,2737,Austin Awad missed Three Point Jumper.,66,50
12:10,231,Furman Defensive Rebound.,66,50
11:49,231,Daniel Fowler Turnover.,66,50
11:48,2737,Josh Ferguson Steal.,66,50
11:33,2737,Nych Smith missed Jumper.,66,50
11:33,231,Alex Hunter Defensive Rebound.,66,50
11:27,231,Jordan Lyons missed Three Point Jumper.,66,50
11:27,2737,Josh Ferguson Defensive Rebound.,66,50
11:00,2737,Anders Broman missed Three Point Jumper.,66,50
11:00,2737,Josh Ferguson Offensive Rebound.,66,50
10:56,2737,Josh Ferguson made Layup.,68,50
10:46,231,Matt Rafferty made Layup. Assisted by Alex Hunter.,68,52
10:38,231,Foul on Alex Hunter.,68,52
10:38,231,Official TV Timeout,68,52
10:38,2737,Nych Smith made Free Throw.,69,52
10:38,2737,Nych Smith made Free Throw.,70,52
10:23,231,Clay Mounce Turnover.,70,52
10:22,2737,Xavier Cooks Steal.,70,52
10:12,2737,Xavier Cooks made Layup.,72,52
9:59,231,Andrew Brown missed Layup.,72,52
9:59,231,Matt Rafferty Offensive Rebound.,72,52
9:56,231,Clay Mounce made Layup. Assisted by Matt Rafferty.,72,54
9:46,2737,Xavier Cooks missed Layup.,72,54
9:46,2737,Jermaine Ukaegbu Offensive Rebound.,72,54
9:40,2737,Xavier Cooks Turnover.,72,54
9:40,231,Matt Rafferty Steal.,72,54
9:40,2737,Foul on Kyle Zunic.,72,54
9:40,231,Matt Rafferty made Free Throw.,72,55
9:40,231,Matt Rafferty missed Free Throw.,72,55
9:40,2737,Xavier Cooks Defensive Rebound.,72,55
9:25,2737,Nych Smith missed Layup.,72,55
9:25,231,Clay Mounce Block.,72,55
9:24,231,Andrew Brown Defensive Rebound.,72,55
9:17,231,Andrew Brown missed Layup.,72,55
9:17,2737,Jermaine Ukaegbu Block.,72,55
9:16,2737,Anders Broman Defensive Rebound.,72,55
8:41,2737,Bjorn Broman made Jumper.,74,55
8:41,231,Foul on Andrew Brown.,74,55
8:41,2737,Bjorn Broman made Free Throw.,75,55
8:22,231,Clay Mounce missed Layup.,75,55
8:22,2737,Jermaine Ukaegbu Block.,75,55
8:21,2737,Jermaine Ukaegbu Defensive Rebound.,75,55
7:52,2737,Jermaine Ukaegbu made Layup.,77,55
7:37,231,Matt Rafferty made Layup.,77,57
7:08,2737,Xavier Cooks missed Layup.,77,57
7:08,231,Andrew Brown Defensive Rebound.,77,57
7:03,231,John Davis III missed Three Point Jumper.,77,57
7:03,231,Matt Rafferty Offensive Rebound.,77,57
7:02,2737,Foul on Jermaine Ukaegbu.,77,57
7:02,231,Official TV Timeout,77,57
7:02,231,Matt Rafferty made Free Throw.,77,58
7:02,231,Matt Rafferty made Free Throw.,77,59
7:01,231,Official TV Timeout,77,57
6:57,2737,Xavier Cooks Turnover.,77,59
6:56,231,Andrew Brown Steal.,77,59
6:49,231,Jordan Lyons missed Layup.,77,59
6:49,2737,Xavier Cooks Block.,77,59
6:48,2737,Xavier Cooks Defensive Rebound.,77,59
6:29,2737,Anders Broman missed Three Point Jumper.,77,59
6:29,2737,Xavier Cooks Offensive Rebound.,77,59
6:23,2737,Xavier Cooks made Layup.,79,59
6:17,231,Jordan Lyons missed Three Point Jumper.,79,59
6:17,2737,Nych Smith Defensive Rebound.,79,59
5:49,231,Foul on Andrew Brown.,79,59
5:49,2737,Josh Ferguson made Free Throw.,80,59
5:49,2737,Josh Ferguson missed Free Throw.,80,59
5:49,231,Matt Rafferty Defensive Rebound.,80,59
5:33,231,John Davis III missed Layup.,80,59
5:33,2737,Xavier Cooks Block.,80,59
5:33,231,Furman Offensive Rebound.,80,59
5:21,231,Andrew Brown Turnover.,80,59
5:20,2737,Xavier Cooks Steal.,80,59
5:16,231,Foul on Daniel Fowler.,80,59
5:16,2737,Anders Broman made Free Throw.,81,59
5:16,2737,Anders Broman made Free Throw.,82,59
5:11,231,Daniel Fowler made Jumper.,82,61
4:54,2737,Anders Broman missed Three Point Jumper.,82,61
4:54,2737,Josh Ferguson Offensive Rebound.,82,61
4:48,2737,Josh Ferguson made Layup.,84,61
4:36,231,Andrew Brown Turnover.,84,61
4:35,2737,Anders Broman Steal.,84,61
4:18,2737,Charles Falden missed Three Point Jumper.,84,61
4:18,231,Furman Defensive Rebound.,84,61
3:55,231,Clay Mounce made Three Point Jumper. Assisted by Jordan Lyons.,84,64
3:40,231,Foul on John Davis III.,84,64
3:40,231,Official TV Timeout,84,64
3:33,2737,Kyle Zunic missed Layup.,84,64
3:33,2737,Kyle Zunic Offensive Rebound.,84,64
3:25,2737,Josh Ferguson Turnover.,84,64
3:25,231,Jordan Lyons Steal.,84,64
3:25,2737,Foul on Bjorn Broman.,84,64
3:25,231,Jordan Lyons missed Free Throw.,84,64
3:25,231,Furman Deadball Team Rebound.,84,64
3:25,231,Jordan Lyons made Free Throw.,84,65
3:25,231,Foul on Jordan Lyons.,84,65
3:25,2737,Nych Smith missed Free Throw.,84,65
3:25,231,Andrew Brown Defensive Rebound.,84,65
3:18,231,Daniel Fowler Turnover.,84,65
3:17,2737,Bjorn Broman Steal.,84,65
3:08,2737,Josh Ferguson Turnover.,84,65
3:08,2737,Foul on Josh Ferguson.,84,65
2:59,231,Jordan Lyons missed Three Point Jumper.,84,65
2:59,2737,Winthrop Defensive Rebound.,84,65
2:26,2737,Xavier Cooks made Dunk.,86,65
2:26,231,Foul on Daniel Fowler.,86,65
2:26,2737,Xavier Cooks made Free Throw.,87,65
2:11,231,Geoff Beans made Three Point Jumper. Assisted by John Davis III.,87,68
1:57,231,Foul on Geoff Beans.,87,68
1:57,2737,Josh Ferguson made Free Throw.,88,68
1:57,2737,Josh Ferguson made Free Throw.,89,68
1:41,231,Daniel Fowler made Jumper.,89,70
1:31,2737,Josh Ferguson made Dunk. Assisted by Xavier Cooks.,91,70
1:24,2737,Foul on Xavier Cooks.,91,70
1:24,231,Andrew Brown made Free Throw.,91,71
1:24,231,Andrew Brown made Free Throw.,91,72
1:24,231,Andrew Brown missed Free Throw.,91,72
1:24,2737,Josh Ferguson Defensive Rebound.,91,72
1:23,231,Foul on Geoff Beans.,91,72
1:23,2737,Josh Ferguson made Free Throw.,92,72
1:23,2737,Josh Ferguson made Free Throw.,93,72
1:10,231,John Davis III missed Layup.,93,72
1:10,2737,Mitch Hill Defensive Rebound.,93,72
0:40,2737,Nych Smith missed Layup.,93,72
0:40,231,Geoff Beans Defensive Rebound.,93,72
0:38,2737,Foul on Josh Ferguson.,93,72
0:38,231,Geoff Beans made Free Throw.,93,73
0:38,231,Geoff Beans made Free Throw.,93,74
0:16,2737,Matt Erps Turnover.,93,74
0:15,231,Daniel Fowler Steal.,93,74
0:12,231,Daniel Fowler missed Layup.,93,74
0:12,231,Furman Offensive Rebound.,93,74
0:06,231,Geoff Beans missed Three Point Jumper.,93,74
0:06,2737,Mitch Hill Defensive Rebound.,93,74
0:00,231,End of Game,93,74
