Alcorn State,2655,Tulane,2016
11:14,2655,Samir Sehic made Layup. Assisted by Cameron Reynolds.,11,19
10:51,2016,Troymain Crosby Turnover.,11,19
10:51,2655,Official TV Timeout,11,19
10:42,2655,Foul on Cameron Reynolds.,11,19
10:42,2655,Cameron Reynolds Turnover.,11,19
10:17,2016,Troymain Crosby missed Layup.,11,19
10:17,2655,Tulane Deadball Team Rebound.,11,19
10:03,2655,Ray Ona Embo made Three Point Jumper. Assisted by Colin Slater.,11,22
9:45,2016,Dante Sterling missed Three Point Jumper.,11,22
9:45,2655,Colin Slater Defensive Rebound.,11,22
9:37,2016,Foul on Tyler Carter.,11,22
9:37,2655,Colin Slater made Free Throw.,11,23
9:37,2655,Colin Slater made Free Throw.,11,24
9:21,2016,TyQuaylon Smith Turnover.,11,24
9:20,2655,Melvin Frazier Steal.,11,24
9:17,2655,Samir Sehic made Layup. Assisted by Colin Slater.,11,26
9:14,2016,Alcorn State  Timeout,11,26
8:48,2016,TyQuaylon Smith missed Jumper.,11,26
8:48,2655,Tulane Defensive Rebound.,11,26
8:32,2655,Jordan Cornish missed Three Point Jumper.,11,26
8:32,2016,Maurice Howard Defensive Rebound.,11,26
8:18,2016,Avery Patterson Turnover.,11,26
8:17,2655,Bul Ajang Steal.,11,26
8:03,2655,Bul Ajang Turnover.,11,26
8:03,2016,TyQuaylon Smith Steal.,11,26
7:43,2016,Yalen Reed Turnover.,11,26
7:42,2655,Samir Sehic Steal.,11,26
7:38,2655,Colin Slater missed Three Point Jumper.,11,26
7:38,2016,A.J. Mosby Defensive Rebound.,11,26
7:27,2016,Avery Patterson Turnover.,11,26
7:27,2655,Official TV Timeout,11,26
7:15,2655,Melvin Frazier made Dunk. Assisted by Jordan Cornish.,11,28
6:48,2016,Avery Patterson missed Three Point Jumper.,11,28
6:48,2655,Jordan Cornish Defensive Rebound.,11,28
6:23,2655,Bul Ajang missed Jumper.,11,28
6:23,2655,Melvin Frazier Offensive Rebound.,11,28
6:22,2016,Foul on Avery Patterson.,11,28
6:16,2655,Bul Ajang missed Layup.,11,28
6:16,2016,Avery Patterson Block.,11,28
6:16,2655,Tulane Offensive Rebound.,11,28
6:15,2655,Samir Sehic made Jumper. Assisted by Jordan Cornish.,11,30
5:53,2016,A.J. Mosby missed Jumper.,11,30
5:53,2655,Samir Sehic Block.,11,30
5:51,2655,Samir Sehic Defensive Rebound.,11,30
5:51,2016,Foul on A.J. Mosby.,11,30
5:51,2655,Samir Sehic made Free Throw.,11,31
5:51,2655,Samir Sehic made Free Throw.,11,32
5:36,2016,Maurice Howard made Three Point Jumper. Assisted by A.J. Mosby.,14,32
5:18,2655,Foul on Caleb Daniels.,14,32
5:18,2655,Caleb Daniels Turnover.,14,32
5:06,2016,Maurice Howard Turnover.,14,32
4:51,2655,Caleb Daniels missed Three Point Jumper.,14,32
4:51,2016,Alcorn State Defensive Rebound.,14,32
4:45,2016,Maurice Howard missed Three Point Jumper.,14,32
4:45,2655,Buay Koka Defensive Rebound.,14,32
4:34,2016,Foul on Kobe Wilson.,14,32
4:34,2655,Cameron Reynolds missed Free Throw.,14,32
4:34,2655,Tulane Deadball Team Rebound.,14,32
4:34,2655,Cameron Reynolds made Free Throw.,14,33
4:34,2655,Cameron Reynolds made Free Throw.,14,34
4:22,2655,Foul on Buay Koka.,14,34
4:15,2016,A.J. Mosby missed Three Point Jumper.,14,34
4:15,2655,Colin Slater Defensive Rebound.,14,34
4:05,2655,Colin Slater missed Jumper.,14,34
4:05,2016,Yalen Reed Block.,14,34
4:03,2016,Kobe Wilson Defensive Rebound.,14,34
3:56,2016,Yalen Reed made Layup. Assisted by A.J. Mosby.,16,34
3:25,2655,Colin Slater made Three Point Jumper. Assisted by Cameron Reynolds.,16,37
3:00,2016,Yalen Reed made Three Point Jumper. Assisted by Dante Sterling.,19,37
2:39,2655,Buay Koka missed Layup.,19,37
2:39,2655,Buay Koka Offensive Rebound.,19,37
2:35,2655,Buay Koka missed Jumper.,19,37
2:35,2016,Dante Sterling Defensive Rebound.,19,37
2:16,2016,Dante Sterling made Three Point Jumper. Assisted by A.J. Mosby.,22,37
2:01,2655,Cameron Reynolds missed Jumper.,22,37
2:01,2016,Kobe Wilson Defensive Rebound.,22,37
1:50,2016,A.J. Mosby made Jumper.,24,37
1:41,2655,Tulane  Timeout,24,37
1:41,2655,Official TV Timeout,24,37
1:31,2655,Melvin Frazier made Three Point Jumper. Assisted by Samir Sehic.,24,40
1:14,2016,A.J. Mosby made Three Point Jumper. Assisted by Maurice Howard.,27,40
0:51,2655,Cameron Reynolds missed Three Point Jumper.,27,40
0:51,2655,Samir Sehic Offensive Rebound.,27,40
0:47,2016,Foul on Maurice Howard.,27,40
0:47,2655,Samir Sehic made Free Throw.,27,41
0:47,2655,Samir Sehic made Free Throw.,27,42
0:26,2655,Foul on Jordan Cornish.,27,42
0:11,2016,A.J. Mosby missed Three Point Jumper.,27,42
0:11,2016,Dante Sterling Offensive Rebound.,27,42
0:02,2016,TyQuaylon Smith missed Layup.,27,42
0:02,2016,TyQuaylon Smith Offensive Rebound.,27,42
0:01,2016,TyQuaylon Smith made Two Point Tip Shot.,29,42
0:00,2655,End of 1st half,27,42
19:35,2016,Avery Patterson Turnover.,29,42
19:34,2655,Melvin Frazier Steal.,29,42
19:16,2655,Melvin Frazier missed Layup.,29,42
19:16,2655,Melvin Frazier Offensive Rebound.,29,42
19:14,2655,Melvin Frazier made Two Point Tip Shot.,29,44
18:48,2016,Devon Brewer made Jumper. Assisted by Yalen Reed.,31,44
18:21,2655,Cameron Reynolds made Three Point Jumper. Assisted by Jordan Cornish.,31,47
18:07,2655,Foul on Cameron Reynolds.,31,47
18:07,2016,Yalen Reed missed Free Throw.,31,47
18:07,2016,Alcorn State Deadball Team Rebound.,31,47
18:07,2016,Yalen Reed made Free Throw.,32,47
17:41,2655,Melvin Frazier missed Three Point Jumper.,32,47
17:41,2016,A.J. Mosby Defensive Rebound.,32,47
17:26,2016,A.J. Mosby missed Three Point Jumper.,32,47
17:26,2655,Jordan Cornish Defensive Rebound.,32,47
17:09,2655,Cameron Reynolds Turnover.,32,47
17:08,2016,Devon Brewer Steal.,32,47
17:05,2016,Avery Patterson made Layup.,34,47
16:43,2655,Cameron Reynolds made Three Point Jumper. Assisted by Ray Ona Embo.,34,50
16:22,2016,Tyler Carter made Jumper. Assisted by Avery Patterson.,36,50
16:07,2655,Cameron Reynolds missed Three Point Jumper.,36,50
16:07,2016,Yalen Reed Defensive Rebound.,36,50
16:01,2016,Yalen Reed missed Three Point Jumper.,36,50
16:01,2655,Cameron Reynolds Defensive Rebound.,36,50
15:51,2655,Melvin Frazier made Layup.,36,52
15:43,2016,Dante Sterling missed Jumper.,36,52
15:43,2655,Jordan Cornish Defensive Rebound.,36,52
15:33,2655,Jordan Cornish made Layup.,36,54
15:33,2016,Foul on Yalen Reed.,36,54
15:33,2655,Official TV Timeout,36,54
15:33,2655,Jordan Cornish made Free Throw.,36,55
15:24,2016,Tyler Carter missed Layup.,36,55
15:24,2655,Blake Paul Block.,36,55
15:23,2655,Cameron Reynolds Defensive Rebound.,36,55
15:16,2655,Ray Ona Embo made Three Point Jumper. Assisted by Cameron Reynolds.,36,58
15:12,2016,Alcorn State  Timeout,36,58
15:12,2016,Technical Foul on Alcorn State.,36,58
15:12,2655,Cameron Reynolds missed Free Throw.,36,58
15:12,2655,Tulane Deadball Team Rebound.,36,58
15:12,2655,Cameron Reynolds made Free Throw.,36,59
14:54,2655,Foul on Cameron Reynolds.,36,59
14:54,2016,Tyler Carter made Free Throw.,37,59
14:54,2016,Tyler Carter made Free Throw.,38,59
14:47,2016,Foul on Troymain Crosby.,38,59
14:42,2655,Jordan Cornish missed Three Point Jumper.,38,59
14:42,2016,Tyler Carter Defensive Rebound.,38,59
14:24,2016,Maurice Howard made Three Point Jumper. Assisted by Tyler Carter.,41,59
13:49,2655,Melvin Frazier missed Three Point Jumper.,41,59
13:49,2016,Tyler Carter Defensive Rebound.,41,59
13:37,2016,Foul on TyQuaylon Smith.,41,59
13:37,2016,TyQuaylon Smith Turnover.,41,59
13:29,2655,Ray Ona Embo Turnover.,41,59
13:28,2016,Tyler Carter Steal.,41,59
13:25,2016,Maurice Howard missed Three Point Jumper.,41,59
13:25,2016,TyQuaylon Smith Offensive Rebound.,41,59
13:21,2016,A.J. Mosby made Three Point Jumper. Assisted by TyQuaylon Smith.,44,59
13:02,2655,Jordan Cornish made Layup.,44,61
12:41,2016,Tyler Carter missed Three Point Jumper.,44,61
12:41,2016,Alcorn State Offensive Rebound.,44,61
12:39,2655,Foul on Samir Sehic.,44,61
12:26,2016,Devon Brewer missed Jumper.,44,61
12:26,2655,Caleb Daniels Defensive Rebound.,44,61
12:15,2655,Ray Ona Embo Turnover.,44,61
12:14,2016,Maurice Howard Steal.,44,61
12:08,2016,Dante Sterling missed Three Point Jumper.,44,61
12:08,2655,Samir Sehic Defensive Rebound.,44,61
11:45,2655,Cameron Reynolds missed Three Point Jumper.,44,61
11:45,2016,Yalen Reed Defensive Rebound.,44,61
11:30,2016,Maurice Howard missed Three Point Jumper.,44,61
11:30,2655,Cameron Reynolds Defensive Rebound.,44,61
11:18,2655,Samir Sehic Turnover.,44,61
11:17,2016,Dante Sterling Steal.,44,61
11:12,2016,Dante Sterling made Layup.,46,61
10:54,2655,Samir Sehic made Jumper. Assisted by Caleb Daniels.,46,63
10:33,2016,Maurice Howard missed Jumper.,46,63
10:33,2655,Melvin Frazier Defensive Rebound.,46,63
10:26,2655,Cameron Reynolds made Three Point Jumper. Assisted by Melvin Frazier.,46,66
10:03,2016,A.J. Mosby missed Three Point Jumper.,46,66
10:03,2655,Ray Ona Embo Defensive Rebound.,46,66
9:54,2655,Samir Sehic missed Three Point Jumper.,46,66
9:54,2016,A.J. Mosby Defensive Rebound.,46,66
9:47,2016,Foul on A.J. Mosby.,46,66
9:47,2016,Dante Sterling Turnover.,46,66
9:47,2655,Official TV Timeout,46,66
9:24,2655,Caleb Daniels made Three Point Jumper. Assisted by Samir Sehic.,46,69
8:55,2016,Devon Brewer made Jumper.,48,69
8:40,2655,Cameron Reynolds missed Three Point Jumper.,48,69
8:40,2655,Samir Sehic Offensive Rebound.,48,69
8:36,2016,Foul on Dante Sterling.,48,69
8:36,2655,Samir Sehic made Free Throw.,48,70
8:36,2655,Samir Sehic missed Free Throw.,48,70
8:36,2016,Devon Brewer Defensive Rebound.,48,70
8:21,2016,Devon Brewer Turnover.,48,70
8:00,2655,Jordan Cornish missed Three Point Jumper.,48,70
8:00,2016,Avery Patterson Defensive Rebound.,48,70
7:51,2016,Dante Sterling missed Three Point Jumper.,48,70
7:51,2016,Yalen Reed Offensive Rebound.,48,70
7:44,2016,Maurice Howard made Three Point Jumper. Assisted by Yalen Reed.,51,70
7:30,2016,Foul on Devon Brewer.,51,70
7:30,2655,Official TV Timeout,51,70
7:30,2655,Cameron Reynolds made Free Throw.,51,71
7:30,2655,Cameron Reynolds missed Free Throw.,51,71
7:30,2016,Yalen Reed Defensive Rebound.,51,71
7:17,2016,Devon Brewer made Layup. Assisted by Avery Patterson.,53,71
6:50,2655,Jordan Cornish missed Jumper.,53,71
6:50,2016,Maurice Howard Defensive Rebound.,53,71
6:38,2016,Yalen Reed Turnover.,53,71
6:37,2655,Colin Slater Steal.,53,71
6:34,2016,Foul on Maurice Howard.,53,71
6:34,2655,Jordan Cornish made Free Throw.,53,72
6:34,2655,Jordan Cornish missed Free Throw.,53,72
6:34,2016,Devon Brewer Defensive Rebound.,53,72
6:13,2016,Dante Sterling missed Three Point Jumper.,53,72
6:13,2655,Jordan Cornish Defensive Rebound.,53,72
6:00,2655,Cameron Reynolds Turnover.,53,72
5:59,2016,A.J. Mosby Steal.,53,72
5:57,2016,A.J. Mosby made Layup.,55,72
5:39,2655,Colin Slater Turnover.,55,72
5:38,2016,Dante Sterling Steal.,55,72
5:35,2016,Dante Sterling Turnover.,55,72
5:34,2655,Jordan Cornish Steal.,55,72
5:32,2655,Jordan Cornish Turnover.,55,72
5:31,2016,A.J. Mosby Steal.,55,72
5:29,2016,A.J. Mosby made Three Point Jumper.,58,72
5:08,2655,Cameron Reynolds made Three Point Jumper. Assisted by Caleb Daniels.,58,75
4:46,2016,Devon Brewer made Layup. Assisted by Maurice Howard.,60,75
4:28,2655,Colin Slater missed Three Point Jumper.,60,75
4:28,2016,A.J. Mosby Defensive Rebound.,60,75
4:13,2016,Devon Brewer made Layup. Assisted by Tyler Carter.,62,75
3:50,2655,Cameron Reynolds made Three Point Jumper. Assisted by Colin Slater.,62,78
3:34,2655,Foul on Colin Slater.,62,78
3:34,2655,Official TV Timeout,62,78
3:30,2016,Maurice Howard made Three Point Jumper. Assisted by A.J. Mosby.,65,78
3:11,2655,Cameron Reynolds missed Jumper.,65,78
3:11,2655,Tulane Offensive Rebound.,65,78
2:52,2655,Jordan Cornish Turnover.,65,78
2:34,2016,Tyler Carter missed Jumper.,65,78
2:34,2655,Melvin Frazier Defensive Rebound.,65,78
2:17,2655,Cameron Reynolds made Three Point Jumper. Assisted by Samir Sehic.,65,81
1:55,2016,Devon Brewer Turnover.,65,81
1:30,2016,Foul on Yalen Reed.,65,81
1:30,2655,Melvin Frazier missed Free Throw.,65,81
1:30,2016,Tyler Carter Defensive Rebound.,65,81
1:18,2016,Tyler Carter missed Layup.,65,81
1:18,2655,Cameron Reynolds Block.,65,81
1:16,2655,Samir Sehic Defensive Rebound.,65,81
0:57,2655,Foul on Melvin Frazier.,65,81
0:57,2655,Melvin Frazier Turnover.,65,81
0:51,2016,Yalen Reed missed Jumper.,65,81
0:51,2655,Bul Ajang Defensive Rebound.,65,81
0:39,2655,Colin Slater missed Three Point Jumper.,65,81
0:39,2016,Yalen Reed Defensive Rebound.,65,81
0:25,2016,Tyler Carter missed Layup.,65,81
0:25,2655,Buay Koka Block.,65,81
0:25,2016,Alcorn State Offensive Rebound.,65,81
0:13,2655,Foul on Shakwon Barrett.,65,81
0:08,2016,Maurice Howard missed Three Point Jumper.,65,81
0:08,2655,Tulane Defensive Rebound.,65,81
0:00,2655,End of Game,65,81
