Belmont,2628,TCU,2057
14:41,2628,Alex Robinson missed Jumper.,6,15
14:41,2628,TCU Deadball Team Rebound.,6,15
14:40,2057,Foul on Mack Mercer.,6,15
14:20,2628,Kouat Noi made Layup. Assisted by Alex Robinson.,6,17
13:59,2057,Austin Luke made Three Point Jumper. Assisted by Dylan Windler.,9,17
13:44,2628,Alex Robinson missed Jumper.,9,17
13:44,2057,Dylan Windler Defensive Rebound.,9,17
13:24,2057,Austin Luke Turnover.,9,17
13:23,2628,Kouat Noi Steal.,9,17
13:18,2628,Kenrich Williams missed Three Point Jumper.,9,17
13:18,2628,Ahmed Hamdy-Mohamed Offensive Rebound.,9,17
13:12,2628,Ahmed Hamdy-Mohamed Turnover.,9,17
13:11,2057,Kevin McClain Steal.,9,17
13:00,2057,Amanze Egekeze made Layup. Assisted by Austin Luke.,11,17
12:35,2628,Ahmed Hamdy-Mohamed missed Layup.,11,17
12:35,2057,Mack Mercer Block.,11,17
12:34,2057,Kevin McClain Defensive Rebound.,11,17
12:24,2057,Kevin McClain missed Three Point Jumper.,11,17
12:24,2628,Ahmed Hamdy-Mohamed Defensive Rebound.,11,17
12:14,2628,Alex Robinson Turnover.,11,17
12:13,2057,Caleb Hollander missed Three Point Jumper.,11,17
12:13,2628,Kenrich Williams Defensive Rebound.,11,17
11:54,2057,Foul on Dylan Windler.,11,17
11:54,2628,Official TV Timeout,11,17
11:54,2628,Ahmed Hamdy-Mohamed made Free Throw.,11,18
11:54,2628,Ahmed Hamdy-Mohamed made Free Throw.,11,19
11:34,2057,Dylan Windler made Layup.,13,19
11:34,2628,Foul on Kenrich Williams.,13,19
11:34,2057,Dylan Windler made Free Throw.,14,19
11:27,2628,JD Miller missed Layup.,14,19
11:27,2057,Belmont Defensive Rebound.,14,19
11:02,2057,Amanze Egekeze Turnover.,14,19
11:01,2628,Kenrich Williams Steal.,14,19
10:43,2628,Kenrich Williams made Three Point Jumper. Assisted by Alex Robinson.,14,22
10:24,2057,Nick Hopkins Turnover.,14,22
10:23,2628,JD Miller Steal.,14,22
10:15,2628,Jaylen Fisher Turnover.,14,22
10:14,2057,Nick Hopkins Steal.,14,22
10:09,2057,Nick Hopkins missed Three Point Jumper.,14,22
10:09,2628,Ahmed Hamdy-Mohamed Defensive Rebound.,14,22
9:59,2628,Alex Robinson made Three Point Jumper.,14,25
9:58,2057,Foul on Burton Sampson.,14,25
9:58,2628,Alex Robinson made Free Throw.,14,26
9:38,2057,Dylan Windler Turnover.,14,26
9:21,2628,JD Miller made Layup.,14,28
9:00,2057,Seth Adelsperger missed Layup.,14,28
9:00,2628,Vladimir Brodziansky Defensive Rebound.,14,28
8:37,2628,JD Miller missed Three Point Jumper.,14,28
8:37,2628,Vladimir Brodziansky Offensive Rebound.,14,28
8:32,2628,Vladimir Brodziansky made Layup.,14,30
8:32,2057,Foul on Seth Adelsperger.,14,30
8:32,2628,Vladimir Brodziansky made Free Throw.,14,31
8:08,2057,Kevin McClain missed Three Point Jumper.,14,31
8:08,2628,JD Miller Defensive Rebound.,14,31
7:55,2628,JD Miller missed Layup.,14,31
7:55,2057,Amanze Egekeze Defensive Rebound.,14,31
7:41,2057,Michael Benkert missed Three Point Jumper.,14,31
7:41,2628,Desmond Bane Defensive Rebound.,14,31
7:34,2628,Jaylen Fisher made Layup. Assisted by Desmond Bane.,14,33
7:33,2057,Foul on Burton Sampson.,14,33
7:33,2628,Official TV Timeout,14,33
7:33,2628,Jaylen Fisher made Free Throw.,14,34
7:09,2057,Tyler Hadden made Layup. Assisted by Michael Benkert.,16,34
6:39,2628,Jaylen Fisher made Layup.,16,36
6:27,2057,Amanze Egekeze missed Three Point Jumper.,16,36
6:27,2057,Michael Benkert Offensive Rebound.,16,36
6:08,2057,Kevin McClain Turnover.,16,36
6:05,2628,Shawn Olden Steal.,16,36
5:51,2628,Vladimir Brodziansky Turnover.,16,36
5:38,2057,Dylan Windler made Layup.,18,36
5:21,2628,JD Miller made Three Point Jumper. Assisted by Kenrich Williams.,18,39
5:07,2057,Tyler Hadden missed Layup.,18,39
5:07,2628,Kenrich Williams Defensive Rebound.,18,39
4:57,2628,Vladimir Brodziansky missed Jumper.,18,39
4:57,2057,Dylan Windler Defensive Rebound.,18,39
4:47,2628,Foul on Kenrich Williams.,18,39
4:33,2057,Mack Mercer missed Jumper.,18,39
4:33,2628,Desmond Bane Defensive Rebound.,18,39
4:21,2628,Ahmed Hamdy-Mohamed missed Layup.,18,39
4:21,2057,Mack Mercer Block.,18,39
4:20,2057,Caleb Hollander Defensive Rebound.,18,39
4:06,2057,Nick Hopkins made Layup. Assisted by Mack Mercer.,20,39
3:50,2628,Alex Robinson missed Layup.,20,39
3:50,2057,Caleb Hollander Defensive Rebound.,20,39
3:49,2628,Foul on Ahmed Hamdy-Mohamed.,20,39
3:49,2628,Official TV Timeout,20,39
3:39,2057,Dylan Windler made Layup.,22,39
3:20,2057,Foul on Mack Mercer.,22,39
3:20,2628,Kouat Noi missed Free Throw.,22,39
3:20,2057,Mack Mercer Defensive Rebound.,22,39
3:02,2057,Mack Mercer made Three Point Jumper. Assisted by Nick Hopkins.,25,39
2:46,2628,Vladimir Brodziansky made Three Point Jumper. Assisted by Jaylen Fisher.,25,42
2:28,2057,Nick Hopkins missed Three Point Jumper.,25,42
2:28,2628,JD Miller Defensive Rebound.,25,42
2:13,2628,JD Miller missed Layup.,25,42
2:13,2057,Belmont Defensive Rebound.,25,42
2:00,2057,Mack Mercer made Layup. Assisted by Amanze Egekeze.,27,42
2:00,2628,Foul on Vladimir Brodziansky.,27,42
2:00,2057,Mack Mercer missed Free Throw.,27,42
2:00,2628,Vladimir Brodziansky Defensive Rebound.,27,42
1:28,2628,JD Miller missed Three Point Jumper.,27,42
1:28,2628,Vladimir Brodziansky Offensive Rebound.,27,42
1:25,2628,JD Miller Turnover.,27,42
1:05,2057,Dylan Windler missed Three Point Jumper.,27,42
1:05,2628,Alex Robinson Defensive Rebound.,27,42
0:46,2628,Jaylen Fisher missed Layup.,27,42
0:46,2057,Nick Hopkins Defensive Rebound.,27,42
0:39,2057,Kevin McClain made Layup. Assisted by Nick Hopkins.,29,42
0:37,2628,TCU  Timeout,29,42
0:12,2628,Jaylen Fisher missed Layup.,29,42
0:12,2057,Mack Mercer Defensive Rebound.,29,42
0:02,2057,Amanze Egekeze made Layup. Assisted by Nick Hopkins.,31,42
0:00,2628,End of 1st half,31,42
19:40,2057,Dylan Windler made Layup.,33,42
19:27,2628,Jaylen Fisher missed Layup.,33,42
19:27,2628,Kenrich Williams Offensive Rebound.,33,42
19:23,2628,Kenrich Williams made Layup.,33,44
19:02,2057,Austin Luke Turnover.,33,44
19:01,2628,Jaylen Fisher Steal.,33,44
18:58,2628,JD Miller made Dunk. Assisted by Vladimir Brodziansky.,33,46
18:40,2057,Dylan Windler missed Layup.,33,46
18:40,2628,Desmond Bane Defensive Rebound.,33,46
18:26,2628,Jaylen Fisher Turnover.,33,46
18:22,2057,Kevin McClain made Layup. Assisted by Dylan Windler.,35,46
17:58,2628,Jaylen Fisher made Layup.,35,48
17:29,2057,Dylan Windler Turnover.,35,48
17:28,2628,JD Miller Steal.,35,48
17:19,2628,Vladimir Brodziansky missed Three Point Jumper.,35,48
17:19,2057,Kevin McClain Defensive Rebound.,35,48
16:54,2057,Amanze Egekeze missed Three Point Jumper.,35,48
16:54,2628,JD Miller Defensive Rebound.,35,48
16:48,2628,Desmond Bane made Layup. Assisted by Jaylen Fisher.,35,50
16:44,2057,Belmont  Timeout,35,50
16:30,2057,Amanze Egekeze Turnover.,35,50
16:16,2628,Kenrich Williams made Layup. Assisted by Jaylen Fisher.,35,52
16:01,2057,Seth Adelsperger made Layup. Assisted by Austin Luke.,37,52
15:37,2628,Vladimir Brodziansky made Three Point Jumper. Assisted by Jaylen Fisher.,37,55
15:06,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,40,55
14:40,2628,Kouat Noi missed Three Point Jumper.,40,55
14:40,2057,Amanze Egekeze Defensive Rebound.,40,55
14:28,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,43,55
13:58,2628,Official TV Timeout,43,55
13:52,2628,Kouat Noi made Layup. Assisted by Alex Robinson.,43,57
13:31,2057,Austin Luke made Three Point Jumper. Assisted by Dylan Windler.,46,57
13:12,2628,Desmond Bane made Jumper. Assisted by Alex Robinson.,46,59
12:55,2057,Amanze Egekeze missed Three Point Jumper.,46,59
12:55,2628,Ahmed Hamdy-Mohamed Defensive Rebound.,46,59
12:42,2057,Foul on Dylan Windler.,46,59
12:42,2628,Kouat Noi made Free Throw.,46,60
12:42,2628,Kouat Noi missed Free Throw.,46,60
12:42,2057,Amanze Egekeze Defensive Rebound.,46,60
12:20,2057,Amanze Egekeze Turnover.,46,60
12:19,2628,Kouat Noi Steal.,46,60
12:07,2628,Kouat Noi made Three Point Jumper. Assisted by Desmond Bane.,46,63
11:51,2057,Nick Hopkins made Three Point Jumper. Assisted by Amanze Egekeze.,49,63
11:33,2628,Kenrich Williams made Jumper.,49,65
11:17,2057,Dylan Windler missed Three Point Jumper.,49,65
11:17,2057,Belmont Deadball Team Rebound.,49,65
11:14,2628,Foul on Kouat Noi.,49,65
11:14,2628,Official TV Timeout,49,65
11:05,2628,Foul on Kouat Noi.,49,65
11:05,2057,Dylan Windler made Free Throw.,50,65
11:05,2057,Dylan Windler made Free Throw.,51,65
10:40,2628,Vladimir Brodziansky missed Jumper.,51,65
10:40,2057,Kevin McClain Defensive Rebound.,51,65
10:30,2057,Nick Hopkins made Layup.,53,65
10:24,2628,TCU  Timeout,53,65
10:20,2057,Foul on Dylan Windler.,53,65
10:19,2628,Kenrich Williams made Layup. Assisted by Jaylen Fisher.,53,67
9:58,2057,Kevin McClain made Three Point Jumper. Assisted by Nick Hopkins.,56,67
9:47,2628,Desmond Bane Turnover.,56,67
9:47,2628,Foul on Desmond Bane.,56,67
9:35,2057,Amanze Egekeze made Layup. Assisted by Dylan Windler.,58,67
9:02,2628,JD Miller missed Layup.,58,67
9:02,2628,JD Miller Offensive Rebound.,58,67
8:59,2628,JD Miller made Layup.,58,69
8:59,2057,Foul on Nick Hopkins.,58,69
8:59,2628,JD Miller missed Free Throw.,58,69
8:59,2057,Amanze Egekeze Defensive Rebound.,58,69
8:39,2057,Amanze Egekeze missed Three Point Jumper.,58,69
8:39,2628,Kenrich Williams Defensive Rebound.,58,69
8:28,2628,Jaylen Fisher missed Layup.,58,69
8:28,2628,Ahmed Hamdy-Mohamed Offensive Rebound.,58,69
8:25,2628,Ahmed Hamdy-Mohamed made Two Point Tip Shot.,58,71
8:05,2057,Nick Hopkins missed Three Point Jumper.,58,71
8:05,2057,Belmont Deadball Team Rebound.,58,71
8:02,2628,Foul on Ahmed Hamdy-Mohamed.,58,71
8:01,2057,Austin Luke Turnover.,58,71
8:00,2628,Kenrich Williams Steal.,58,71
7:51,2057,Foul on Dylan Windler.,58,71
7:51,2628,Official TV Timeout,58,71
7:51,2628,JD Miller missed Free Throw.,58,71
7:51,2628,TCU Deadball Team Rebound.,58,71
7:51,2628,JD Miller made Free Throw.,58,72
7:39,2057,Kevin McClain made Three Point Jumper. Assisted by Amanze Egekeze.,61,72
7:24,2628,Ahmed Hamdy-Mohamed made Layup. Assisted by Kenrich Williams.,61,74
7:06,2057,Kevin McClain made Three Point Jumper. Assisted by Amanze Egekeze.,64,74
6:37,2628,Alex Robinson Turnover.,64,74
6:23,2057,Kevin McClain missed Three Point Jumper.,64,74
6:23,2628,Ahmed Hamdy-Mohamed Defensive Rebound.,64,74
5:59,2628,Alex Robinson missed Layup.,64,74
5:59,2057,Belmont Defensive Rebound.,64,74
5:29,2057,Nick Hopkins missed Three Point Jumper.,64,74
5:29,2628,Kenrich Williams Defensive Rebound.,64,74
5:21,2057,Foul on Nick Hopkins.,64,74
5:21,2628,Alex Robinson missed Free Throw.,64,74
5:21,2628,TCU Deadball Team Rebound.,64,74
5:21,2628,Alex Robinson made Free Throw.,64,75
5:04,2057,Amanze Egekeze missed Three Point Jumper.,64,75
5:04,2628,Kenrich Williams Defensive Rebound.,64,75
4:54,2628,Jaylen Fisher Turnover.,64,75
4:54,2057,Austin Luke Steal.,64,75
4:47,2057,Michael Benkert missed Three Point Jumper.,64,75
4:47,2628,Jaylen Fisher Defensive Rebound.,64,75
4:26,2628,JD Miller made Layup.,64,77
3:59,2057,Michael Benkert missed Three Point Jumper.,64,77
3:59,2628,Alex Robinson Defensive Rebound.,64,77
3:50,2628,Kenrich Williams missed Layup.,64,77
3:50,2057,Seth Adelsperger Block.,64,77
3:49,2628,TCU Offensive Rebound.,64,77
3:49,2628,Official TV Timeout,64,77
3:35,2628,Jaylen Fisher missed Three Point Jumper.,64,77
3:35,2057,Caleb Hollander Defensive Rebound.,64,77
3:23,2057,Caleb Hollander missed Three Point Jumper.,64,77
3:23,2628,Kenrich Williams Defensive Rebound.,64,77
3:06,2628,Jaylen Fisher Turnover.,64,77
3:05,2057,Nick Hopkins Steal.,64,77
2:59,2057,Nick Hopkins made Three Point Jumper. Assisted by Austin Luke.,67,77
2:38,2628,Jaylen Fisher missed Three Point Jumper.,67,77
2:38,2057,Austin Luke Defensive Rebound.,67,77
2:23,2057,Austin Luke Turnover.,67,77
2:23,2628,Vladimir Brodziansky Steal.,67,77
2:05,2628,Kouat Noi missed Three Point Jumper.,67,77
2:05,2057,Austin Luke Defensive Rebound.,67,77
1:58,2057,Nick Hopkins missed Three Point Jumper.,67,77
1:58,2057,Belmont Deadball Team Rebound.,67,77
1:55,2628,Foul on Desmond Bane.,67,77
1:50,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,70,77
1:21,2628,Vladimir Brodziansky made Dunk. Assisted by Alex Robinson.,70,79
1:20,2628,TCU  Timeout,70,79
1:10,2057,Nick Hopkins missed Three Point Jumper.,70,79
1:10,2628,Alex Robinson Defensive Rebound.,70,79
0:46,2628,Alex Robinson missed Three Point Jumper.,70,79
0:46,2057,Dylan Windler Defensive Rebound.,70,79
0:42,2628,Foul on Kenrich Williams.,70,79
0:28,2628,Foul on Kenrich Williams.,70,79
0:28,2057,Kevin McClain made Free Throw.,71,79
0:28,2057,Kevin McClain made Free Throw.,72,79
0:28,2057,Belmont  Timeout,72,79
0:26,2057,Foul on Kevin McClain.,72,79
0:24,2057,Foul on Kevin McClain.,72,79
0:24,2628,Desmond Bane made Free Throw.,72,80
0:24,2628,Desmond Bane made Free Throw.,72,81
0:22,2057,Dylan Windler made Layup.,74,81
0:21,2057,Belmont  Timeout,74,81
0:21,2057,Foul on Austin Luke.,74,81
0:21,2628,Desmond Bane made Free Throw.,74,82
0:21,2628,Desmond Bane made Free Throw.,74,83
0:16,2057,Dylan Windler made Layup.,76,83
0:13,2057,Foul on Nick Hopkins.,76,83
0:13,2628,Desmond Bane made Free Throw.,76,84
0:13,2628,Desmond Bane made Free Throw.,76,85
0:08,2057,Dylan Windler Turnover.,76,85
0:07,2628,Kenrich Williams Steal.,76,85
0:04,2628,Desmond Bane made Dunk. Assisted by Kenrich Williams.,76,87
0:00,2628,End of Game,76,87
