Eastern Kentucky,98,Western Kentucky,2198
7:16,2198,Nick Mayo missed Three Point Jumper.,6,20
7:16,98,Marek Nelson Defensive Rebound.,6,20
6:49,98,Dwight Coleby missed Jumper.,6,20
6:49,98,Marek Nelson Offensive Rebound.,6,20
6:49,2198,Foul on Jackson Davis.,6,20
6:49,98,Official TV Timeout,6,20
6:49,98,Marek Nelson missed Free Throw.,6,20
6:49,98,Western Kentucky Deadball Team Rebound.,6,20
6:49,98,Marek Nelson missed Free Throw.,6,20
6:49,2198,DeAndre Dishman Defensive Rebound.,6,20
6:30,2198,A.J. Youngman made Three Point Jumper. Assisted by Nick Mayo.,9,20
6:08,98,Foul on Marek Nelson.,9,20
6:08,98,Marek Nelson Turnover.,9,20
5:52,2198,Nick Mayo made Jumper.,11,20
5:46,98,Jake Ohmer made Layup. Assisted by Lamonte Bearden.,11,22
5:38,98,Foul on Taveion Hollingsworth.,11,22
5:19,2198,Foul on DeAndre Dishman.,11,22
5:19,2198,DeAndre Dishman Turnover.,11,22
4:53,98,Justin Johnson missed Jumper.,11,22
4:53,98,Taveion Hollingsworth Offensive Rebound.,11,22
4:43,98,Darius Thompson missed Jumper.,11,22
4:43,2198,DeAndre Dishman Defensive Rebound.,11,22
4:16,2198,Nick Mayo Turnover.,11,22
4:08,98,Lamonte Bearden made Jumper.,11,24
3:50,2198,Foul on A.J. Youngman.,11,24
3:50,2198,A.J. Youngman Turnover.,11,24
3:50,98,Official TV Timeout,11,24
3:38,98,Jake Ohmer made Three Point Jumper.,11,27
3:04,2198,Asante Gist missed Jumper.,11,27
3:04,98,Taveion Hollingsworth Block.,11,27
3:03,98,Jake Ohmer Defensive Rebound.,11,27
2:59,98,Darius Thompson made Layup. Assisted by Lamonte Bearden.,11,29
2:55,2198,Eastern Kentucky  Timeout,11,29
2:42,2198,DeAndre Dishman made Layup.,13,29
2:14,98,Darius Thompson missed Three Point Jumper.,13,29
2:14,98,Western Kentucky Offensive Rebound.,13,29
1:54,98,Justin Johnson missed Three Point Jumper.,13,29
1:54,2198,DeAndre Dishman Defensive Rebound.,13,29
1:36,2198,DeAndre Dishman made Layup. Assisted by Nick Mayo.,15,29
1:18,98,Lamonte Bearden made Jumper.,15,31
0:49,98,Foul on Taveion Hollingsworth.,15,31
0:39,2198,Nick Mayo missed Jumper.,15,31
0:39,2198,Nick Mayo Offensive Rebound.,15,31
0:36,2198,Nick Mayo missed Jumper.,15,31
0:36,2198,Peyton Broughton Offensive Rebound.,15,31
0:33,2198,Peyton Broughton made Layup.,17,31
0:07,98,Lamonte Bearden Turnover.,17,31
0:06,2198,Nick Mayo Steal.,17,31
0:01,2198,Dedric Boyd missed Layup.,17,31
0:01,98,Justin Johnson Defensive Rebound.,17,31
0:00,98,End of 1st half,17,31
19:35,98,Lamonte Bearden made Three Point Jumper.,17,34
19:12,2198,Nick Mayo made Three Point Jumper. Assisted by Dedric Boyd.,20,34
19:03,98,Lamonte Bearden made Layup.,20,36
18:33,98,Foul on Justin Johnson.,20,36
18:19,2198,Dedric Boyd missed Layup.,20,36
18:19,98,Dwight Coleby Block.,20,36
18:19,2198,Eastern Kentucky Offensive Rebound.,20,36
18:15,2198,Peyton Broughton Turnover.,20,36
18:03,2198,Foul on Jackson Davis.,20,36
17:57,98,Justin Johnson made Layup. Assisted by Darius Thompson.,20,38
17:39,2198,Nick Mayo Turnover.,20,38
17:38,98,Darius Thompson Steal.,20,38
17:35,98,Darius Thompson made Layup. Assisted by Lamonte Bearden.,20,40
17:31,2198,Eastern Kentucky  Timeout,20,40
17:31,98,Official TV Timeout,20,40
17:18,2198,Dedric Boyd made Three Point Jumper. Assisted by Nick Mayo.,23,40
16:51,98,Lamonte Bearden made Layup.,23,42
16:35,2198,Dedric Boyd missed Layup.,23,42
16:35,98,Dwight Coleby Block.,23,42
16:33,98,Darius Thompson Defensive Rebound.,23,42
16:28,98,Taveion Hollingsworth made Three Point Jumper. Assisted by Darius Thompson.,23,45
16:13,2198,Jackson Davis made Three Point Jumper. Assisted by Asante Gist.,26,45
15:51,98,Lamonte Bearden made Three Point Jumper.,26,48
15:27,2198,Dedric Boyd missed Three Point Jumper.,26,48
15:27,98,Justin Johnson Defensive Rebound.,26,48
15:25,2198,Foul on Nick Mayo.,26,48
15:25,98,Official TV Timeout,26,48
15:08,98,Lamonte Bearden Turnover.,26,48
15:07,2198,Jackson Davis Steal.,26,48
15:04,2198,Dedric Boyd Turnover.,26,48
15:03,98,Lamonte Bearden Steal.,26,48
15:03,2198,Foul on Jackson Davis.,26,48
14:51,98,Justin Johnson missed Layup.,26,48
14:51,2198,Dillon Avare Defensive Rebound.,26,48
14:43,2198,Dillon Avare missed Three Point Jumper.,26,48
14:43,98,Marek Nelson Defensive Rebound.,26,48
14:42,2198,Foul on Zach Charles.,26,48
14:28,98,Taveion Hollingsworth missed Jumper.,26,48
14:28,2198,Asante Gist Defensive Rebound.,26,48
14:20,2198,Asante Gist made Layup.,28,48
14:20,98,Foul on Lamonte Bearden.,28,48
14:20,2198,Asante Gist missed Free Throw.,28,48
14:20,98,Taveion Hollingsworth Defensive Rebound.,28,48
14:07,2198,Foul on Dedric Boyd.,28,48
13:49,98,Marek Nelson made Layup. Assisted by Justin Johnson.,28,50
13:35,2198,Dedric Boyd missed Layup.,28,50
13:35,98,Justin Johnson Defensive Rebound.,28,50
13:16,98,Darius Thompson made Three Point Jumper.,28,53
12:52,2198,Dedric Boyd made Three Point Jumper. Assisted by Nick Mayo.,31,53
12:18,98,Marek Nelson made Jumper. Assisted by Taveion Hollingsworth.,31,55
12:01,98,Foul on Marek Nelson.,31,55
12:01,98,Official TV Timeout,31,55
12:01,2198,Asante Gist made Free Throw.,32,55
12:01,2198,Asante Gist missed Free Throw.,32,55
12:01,98,Dwight Coleby Defensive Rebound.,32,55
11:35,98,Darius Thompson missed Three Point Jumper.,32,55
11:35,98,Dwight Coleby Offensive Rebound.,32,55
11:31,2198,Foul on Nick Mayo.,32,55
11:31,98,Dwight Coleby made Free Throw.,32,56
11:31,98,Dwight Coleby made Free Throw.,32,57
11:13,2198,Asante Gist missed Jumper.,32,57
11:13,98,Marek Nelson Block.,32,57
11:12,2198,Eastern Kentucky Offensive Rebound.,32,57
11:04,2198,Dedric Boyd made Three Point Jumper.,35,57
10:41,2198,Foul on Asante Gist.,35,57
10:41,98,Darius Thompson made Free Throw.,35,58
10:41,98,Darius Thompson made Free Throw.,35,59
10:31,2198,A.J. Youngman missed Three Point Jumper.,35,59
10:31,98,Taveion Hollingsworth Defensive Rebound.,35,59
10:23,98,Taveion Hollingsworth missed Jumper.,35,59
10:23,2198,A.J. Youngman Defensive Rebound.,35,59
10:14,2198,Dedric Boyd missed Jumper.,35,59
10:14,98,Dwight Coleby Defensive Rebound.,35,59
10:03,98,Jake Ohmer missed Jumper.,35,59
10:03,98,Marek Nelson Offensive Rebound.,35,59
9:46,98,Dwight Coleby made Dunk. Assisted by Darius Thompson.,35,61
9:27,2198,Dedric Boyd made Layup.,37,61
8:59,98,Darius Thompson missed Jumper.,37,61
8:59,98,Taveion Hollingsworth Offensive Rebound.,37,61
8:51,98,Taveion Hollingsworth missed Three Point Jumper.,37,61
8:51,98,Jake Ohmer Offensive Rebound.,37,61
8:30,98,Dwight Coleby made Layup. Assisted by Darius Thompson.,37,63
8:12,2198,Nick Mayo Turnover.,37,63
8:11,98,Darius Thompson Steal.,37,63
8:07,98,Marek Nelson made Dunk. Assisted by Darius Thompson.,37,65
8:06,2198,Eastern Kentucky  Timeout,37,65
8:06,98,Official TV Timeout,37,65
7:53,98,Foul on Jake Ohmer.,37,65
7:49,2198,Nick Mayo missed Jumper.,37,65
7:49,2198,Eastern Kentucky Offensive Rebound.,37,65
7:38,2198,Nick Mayo missed Jumper.,37,65
7:38,98,Dwight Coleby Block.,37,65
7:38,2198,Eastern Kentucky Offensive Rebound.,37,65
7:36,2198,Asante Gist missed Three Point Jumper.,37,65
7:36,98,Dwight Coleby Defensive Rebound.,37,65
7:14,98,Jake Ohmer missed Jumper.,37,65
7:14,98,Lamonte Bearden Offensive Rebound.,37,65
7:08,98,Jake Ohmer made Three Point Jumper. Assisted by Lamonte Bearden.,37,68
6:44,2198,Nick Mayo missed Jumper.,37,68
6:44,98,Jake Ohmer Defensive Rebound.,37,68
6:26,98,Marek Nelson made Layup. Assisted by Darius Thompson.,37,70
6:05,2198,Nick Mayo missed Layup.,37,70
6:05,98,Marek Nelson Defensive Rebound.,37,70
5:40,98,Dwight Coleby Turnover.,37,70
5:40,2198,Nick Mayo Steal.,37,70
5:26,2198,Asante Gist made Jumper.,39,70
5:00,98,Lamonte Bearden missed Jumper.,39,70
5:00,2198,Nick Mayo Defensive Rebound.,39,70
4:44,2198,Nick Mayo made Jumper.,41,70
4:19,98,Justin Johnson made Three Point Jumper. Assisted by Tyler Miller.,41,73
3:53,2198,Asante Gist missed Jumper.,41,73
3:53,98,Jake Ohmer Defensive Rebound.,41,73
3:33,98,Jake Ohmer made Three Point Jumper. Assisted by Lamonte Bearden.,41,76
3:30,98,Western Kentucky  Timeout,41,76
3:30,98,Official TV Timeout,41,76
3:16,2198,Jackson Davis missed Layup.,41,76
3:16,98,Justin Johnson Defensive Rebound.,41,76
3:00,98,Tyler Miller missed Three Point Jumper.,41,76
3:00,98,Justin Johnson Offensive Rebound.,41,76
2:54,98,Justin Johnson made Jumper.,41,78
2:33,2198,Dedric Boyd missed Three Point Jumper.,41,78
2:33,2198,Dillon Avare Offensive Rebound.,41,78
2:28,2198,Dillon Avare made Three Point Jumper.,44,78
2:16,98,Western Kentucky  Timeout,44,78
2:09,98,Taveion Hollingsworth Turnover.,44,78
2:08,2198,Dillon Avare Steal.,44,78
2:05,2198,Zach Charles made Layup. Assisted by Dillon Avare.,46,78
1:46,2198,Foul on Dedric Boyd.,46,78
1:46,98,Taveion Hollingsworth made Free Throw.,46,79
1:46,98,Taveion Hollingsworth missed Free Throw.,46,79
1:46,2198,Dillon Avare Defensive Rebound.,46,79
1:27,2198,A.J. Youngman missed Three Point Jumper.,46,79
1:27,2198,Zach Charles Offensive Rebound.,46,79
1:25,98,Foul on Taveion Hollingsworth.,46,79
1:23,2198,Dedric Boyd made Jumper. Assisted by A.J. Youngman.,48,79
1:01,98,Justin Johnson made Dunk. Assisted by Taveion Hollingsworth.,48,81
0:44,2198,Dedric Boyd made Three Point Jumper. Assisted by Dillon Avare.,51,81
0:20,98,Taveion Hollingsworth made Jumper.,51,83
0:02,2198,Jackson Davis missed Jumper.,51,83
0:02,98,Justin Johnson Defensive Rebound.,51,83
0:00,98,End of Game,51,83
