Milwaukee,2459,Northern Illinois,270
4:13,270,Carson Warren-Newsome Defensive Rebound.,27,24
4:03,270,Carson Warren-Newsome made Layup.,29,24
4:03,2459,Northern Illinois  Timeout,29,24
3:47,2459,Levi Bradley made Jumper.,29,26
3:29,270,Brett Prahl made Layup. Assisted by August Haas.,31,26
3:18,270,Foul on August Haas.,31,26
3:18,2459,Eugene German made Free Throw.,31,27
3:18,2459,Eugene German made Free Throw.,31,28
2:59,270,Carson Warren-Newsome Turnover.,31,28
2:59,270,Foul on Carson Warren-Newsome.,31,28
2:38,2459,Noah McCarty missed Layup.,31,28
2:38,2459,Levi Bradley Offensive Rebound.,31,28
2:29,2459,Levi Bradley missed Layup.,31,28
2:29,270,Carson Warren-Newsome Block.,31,28
2:26,2459,Noah McCarty Offensive Rebound.,31,28
2:24,2459,Noah McCarty made Layup.,31,30
2:12,270,Carson Warren-Newsome missed Three Point Jumper.,31,30
2:12,270,Brett Prahl Offensive Rebound.,31,30
2:05,270,Jeremy Johnson made Three Point Jumper. Assisted by Brock Stull.,34,30
1:52,2459,Noah McCarty missed Three Point Jumper.,34,30
1:52,2459,Levi Bradley Offensive Rebound.,34,30
1:38,2459,Dante Thorpe missed Layup.,34,30
1:38,270,Carson Warren-Newsome Defensive Rebound.,34,30
1:33,270,Jeremy Johnson missed Three Point Jumper.,34,30
1:33,270,Brett Prahl Offensive Rebound.,34,30
1:27,270,Brett Prahl made Layup.,36,30
1:26,2459,Foul on Levi Bradley.,36,30
1:26,270,Brett Prahl made Free Throw.,37,30
1:14,2459,Eugene German made Three Point Jumper.,37,33
0:52,270,Jeremy Johnson missed Three Point Jumper.,37,33
0:52,2459,Eugene German Defensive Rebound.,37,33
0:45,2459,Eugene German Turnover.,37,33
0:44,270,Bryce Barnes Steal.,37,33
0:41,270,Brock Stull Turnover.,37,33
0:41,270,Foul on Brock Stull.,37,33
0:26,2459,Levi Bradley missed Jumper.,37,33
0:26,270,Carson Warren-Newsome Defensive Rebound.,37,33
0:21,2459,Foul on Eugene German.,37,33
0:21,270,Carson Warren-Newsome missed Free Throw.,37,33
0:21,2459,Levi Bradley Defensive Rebound.,37,33
0:01,2459,Eugene German missed Jumper.,37,33
0:01,2459,Anastasios Demogerontas Offensive Rebound.,37,33
0:01,2459,Anastasios Demogerontas missed Two Point Tip Shot.,37,33
0:01,2459,Northern Illinois Deadball Team Rebound.,37,33
0:00,2459,End of 1st half,37,33
19:43,2459,Levi Bradley missed Three Point Jumper.,37,33
19:43,270,Brock Stull Defensive Rebound.,37,33
19:18,2459,Foul on Levi Bradley.,37,33
19:15,2459,Foul on Lacey James.,37,33
19:15,270,Bryce Barnes Turnover.,37,33
19:03,2459,Eugene German missed Three Point Jumper.,37,33
19:03,270,Brock Stull Defensive Rebound.,37,33
18:50,270,Bryce Nze Turnover.,37,33
18:49,2459,Justin Thomas Steal.,37,33
18:45,2459,Dante Thorpe made Layup. Assisted by Justin Thomas.,37,35
18:27,270,Bryce Nze made Layup. Assisted by Bryce Barnes.,39,35
18:19,2459,Eugene German Turnover.,39,35
18:09,270,Brett Prahl made Layup. Assisted by Bryce Barnes.,41,35
17:52,2459,Levi Bradley made Layup.,41,37
17:37,270,Jeremy Johnson missed Three Point Jumper.,41,37
17:37,270,Bryce Nze Offensive Rebound.,41,37
17:33,270,Bryce Nze made Two Point Tip Shot.,43,37
17:28,270,Foul on Bryce Barnes.,43,37
17:17,2459,Eugene German missed Layup.,43,37
17:17,270,Brett Prahl Block.,43,37
17:15,2459,Eugene German Offensive Rebound.,43,37
17:10,2459,Eugene German missed Layup.,43,37
17:10,270,Brett Prahl Defensive Rebound.,43,37
16:47,270,Bryce Nze missed Three Point Jumper.,43,37
16:47,2459,Eugene German Defensive Rebound.,43,37
16:29,2459,Noah McCarty Turnover.,43,37
16:29,270,Brett Prahl Steal.,43,37
16:20,270,Brock Stull missed Three Point Jumper.,43,37
16:20,2459,Eugene German Defensive Rebound.,43,37
16:12,2459,Eugene German missed Layup.,43,37
16:12,270,Milwaukee Defensive Rebound.,43,37
16:00,2459,Official TV Timeout,43,37
15:56,270,Jeremy Johnson Turnover.,43,37
15:39,2459,Justin Thomas made Jumper.,43,39
15:20,2459,Foul on Anastasios Demogerontas.,43,39
15:14,270,Brock Stull Turnover.,43,39
14:48,2459,Noah McCarty made Layup. Assisted by Justin Thomas.,43,41
14:29,2459,Foul on Anastasios Demogerontas.,43,41
14:11,270,August Haas Turnover.,43,41
13:55,2459,Justin Thomas missed Layup.,43,41
13:55,270,Bryce Nze Block.,43,41
13:54,270,Milwaukee Defensive Rebound.,43,41
13:35,2459,Foul on Anastasios Demogerontas.,43,41
13:35,270,Brett Prahl missed Free Throw.,43,41
13:35,270,Milwaukee Deadball Team Rebound.,43,41
13:35,270,Brett Prahl made Free Throw.,44,41
13:17,2459,Levi Bradley missed Three Point Jumper.,44,41
13:17,2459,Dante Thorpe Offensive Rebound.,44,41
13:13,2459,Levi Bradley made Layup. Assisted by Dante Thorpe.,44,43
13:01,270,Brett Prahl Turnover.,44,43
12:47,2459,Eugene German missed Three Point Jumper.,44,43
12:47,270,Brock Stull Defensive Rebound.,44,43
12:31,270,Vance Johnson Turnover.,44,43
12:31,270,Foul on Vance Johnson.,44,43
12:18,2459,Levi Bradley missed Jumper.,44,43
12:18,2459,Gairges Daow Offensive Rebound.,44,43
12:12,2459,Gairges Daow missed Two Point Tip Shot.,44,43
12:12,270,August Haas Defensive Rebound.,44,43
12:09,270,August Haas made Layup.,46,43
11:43,2459,Dante Thorpe made Layup.,46,45
11:19,270,Brock Stull made Layup. Assisted by Jeremy Johnson.,48,45
11:02,2459,Noah McCarty missed Jumper.,48,45
11:02,2459,Gairges Daow Offensive Rebound.,48,45
11:00,2459,Gairges Daow made Layup.,48,47
11:00,270,Foul on Vance Johnson.,48,47
11:00,2459,Official TV Timeout,48,47
11:00,2459,Gairges Daow missed Free Throw.,48,47
11:00,270,Brett Prahl Defensive Rebound.,48,47
10:29,270,Bryce Nze missed Layup.,48,47
10:29,270,Brett Prahl Offensive Rebound.,48,47
10:24,270,Carson Warren-Newsome made Three Point Jumper. Assisted by August Haas.,51,47
10:05,2459,Levi Bradley missed Layup.,51,47
10:05,270,Bryce Nze Defensive Rebound.,51,47
10:01,270,Bryce Nze Turnover.,51,47
10:00,2459,Dante Thorpe Steal.,51,47
9:59,2459,Dante Thorpe made Layup.,51,49
9:42,2459,Foul on Dante Thorpe.,51,49
9:27,270,Brett Prahl Turnover.,51,49
9:26,2459,Levi Bradley Steal.,51,49
9:10,2459,Gairges Daow made Three Point Jumper. Assisted by Dante Thorpe.,51,52
8:54,270,Brock Stull missed Layup.,51,52
8:54,2459,Eugene German Block.,51,52
8:52,270,Milwaukee Offensive Rebound.,51,52
8:44,270,Brock Stull made Jumper.,53,52
8:26,270,Foul on Carson Warren-Newsome.,53,52
8:17,270,Foul on Jeremy Johnson.,53,52
8:09,2459,Lacey James missed Layup.,53,52
8:09,270,Brett Prahl Block.,53,52
8:08,270,Brett Prahl Defensive Rebound.,53,52
7:44,270,Bryce Barnes Turnover.,53,52
7:44,2459,Lacey James Steal.,53,52
7:40,2459,Dante Thorpe Turnover.,53,52
7:39,270,Jeremy Johnson Steal.,53,52
7:36,270,Bryce Barnes made Layup. Assisted by Jeremy Johnson.,55,52
7:13,2459,Justin Thomas missed Layup.,55,52
7:13,270,Bryce Nze Defensive Rebound.,55,52
7:00,270,Brock Stull missed Jumper.,55,52
7:00,270,Brett Prahl Offensive Rebound.,55,52
6:35,270,Brett Prahl made Layup. Assisted by Brock Stull.,57,52
6:33,2459,Northern Illinois  Timeout,57,52
6:20,270,Foul on Brock Stull.,57,52
6:20,2459,Official TV Timeout,57,52
6:15,2459,Eugene German made Jumper.,57,54
5:43,270,Carson Warren-Newsome made Three Point Jumper.,60,54
5:16,2459,Levi Bradley made Jumper.,60,56
4:56,270,Jeremy Johnson missed Layup.,60,56
4:56,2459,Anastasios Demogerontas Defensive Rebound.,60,56
4:49,2459,Eugene German made Layup.,60,58
4:26,270,Bryce Barnes made Layup.,62,58
4:07,2459,Anastasios Demogerontas missed Layup.,62,58
4:07,270,Bryce Nze Defensive Rebound.,62,58
3:37,270,Jeremy Johnson made Three Point Jumper. Assisted by Brock Stull.,65,58
3:31,270,Milwaukee  Timeout,65,58
3:18,2459,Eugene German missed Jumper.,65,58
3:18,270,Brett Prahl Defensive Rebound.,65,58
2:44,270,Milwaukee  Turnover.,65,58
2:24,2459,Dante Thorpe made Jumper.,65,60
2:00,270,Jeremy Johnson made Jumper. Assisted by Bryce Barnes.,67,60
1:47,2459,Eugene German made Layup.,67,62
1:23,2459,Foul on Dante Thorpe.,67,62
1:23,270,Brock Stull made Free Throw.,68,62
1:23,270,Brock Stull made Free Throw.,69,62
1:15,2459,Eugene German missed Three Point Jumper.,69,62
1:15,270,Brock Stull Defensive Rebound.,69,62
1:06,2459,Foul on Eugene German.,69,62
1:06,270,Bryce Barnes made Free Throw.,70,62
1:06,2459,Northern Illinois  Timeout,70,62
1:06,270,Bryce Barnes made Free Throw.,71,62
0:57,2459,Levi Bradley missed Three Point Jumper.,71,62
0:57,270,Brett Prahl Defensive Rebound.,71,62
0:54,2459,Foul on Noah McCarty.,71,62
0:54,270,Brett Prahl made Free Throw.,72,62
0:54,270,Brett Prahl made Free Throw.,73,62
0:50,2459,Eugene German missed Three Point Jumper.,73,62
0:50,270,Brock Stull Defensive Rebound.,73,62
0:20,270,Bryce Barnes missed Layup.,73,62
0:20,2459,Noah McCarty Block.,73,62
0:19,270,Bryce Barnes Offensive Rebound.,73,62
0:14,270,Bryce Barnes made Layup.,75,62
0:10,2459,Dante Thorpe missed Three Point Jumper.,75,62
0:10,270,Brett Prahl Defensive Rebound.,75,62
0:00,2459,End of Game,75,62
