Air Force,282,Indiana State,2005
13:04,282,Devin Thomas Turnover.,10,12
13:03,2005,Trevor Lyons Steal.,10,12
13:00,2005,Pervis Louder made Layup. Assisted by Trevor Lyons.,12,12
12:51,2005,Foul on Lavelle Scottie.,12,12
12:48,282,Jordan Barnes missed Three Point Jumper.,12,12
12:48,2005,Ryan Swan Defensive Rebound.,12,12
12:15,2005,Jacob Van Turnover.,12,12
12:14,282,Emondre Rickman Steal.,12,12
12:10,282,Tyreke Key missed Layup.,12,12
12:10,2005,Ryan Swan Defensive Rebound.,12,12
11:55,282,Official TV Timeout,12,12
11:48,2005,Ryan Swan made Layup.,14,12
11:27,282,Clayton Hughes missed Three Point Jumper.,14,12
11:27,2005,Keaton Van Soelen Defensive Rebound.,14,12
11:07,2005,Jacob Van Turnover.,14,12
11:06,282,Tyreke Key Steal.,14,12
11:03,282,Tyreke Key made Layup.,14,14
10:46,2005,Ryan Swan Turnover.,14,14
10:20,282,Jordan Barnes missed Three Point Jumper.,14,14
10:20,2005,Dane Norman Defensive Rebound.,14,14
10:08,2005,Jacob Van Turnover.,14,14
10:08,282,Tyreke Key Steal.,14,14
10:08,2005,Foul on Jacob Van.,14,14
10:01,282,Brandon Murphy Turnover.,14,14
9:26,2005,CJ Siples missed Three Point Jumper.,14,14
9:26,2005,Lavelle Scottie Offensive Rebound.,14,14
8:59,282,Foul on Qiydar Davis.,14,14
8:59,2005,Ryan Manning missed Free Throw.,14,14
8:59,2005,Air Force Deadball Team Rebound.,14,14
8:59,2005,Ryan Manning made Free Throw.,15,14
8:49,282,Clayton Hughes made Dunk.,15,16
8:28,2005,Lavelle Scottie missed Jumper.,15,16
8:28,2005,Frank Toohey Offensive Rebound.,15,16
8:25,2005,CJ Siples missed Three Point Jumper.,15,16
8:25,2005,CJ Siples Offensive Rebound.,15,16
8:23,282,Foul on Trey Knight III.,15,16
8:10,2005,CJ Siples Turnover.,15,16
8:10,2005,Foul on CJ Siples.,15,16
7:51,2005,Foul on Frank Toohey.,15,16
7:50,282,Official TV Timeout,15,16
7:50,282,Qiydar Davis made Free Throw.,15,17
7:50,282,Qiydar Davis made Free Throw.,15,18
7:22,2005,Trevor Lyons Turnover.,15,18
7:13,282,Trey Knight III Turnover.,15,18
7:07,2005,Sid Tomes made Layup.,17,18
6:51,282,Qiydar Davis missed Three Point Jumper.,17,18
6:51,282,Clayton Hughes Offensive Rebound.,17,18
6:46,282,Brenton Scott made Three Point Jumper. Assisted by Emondre Rickman.,17,21
6:26,2005,Trevor Lyons made Three Point Jumper. Assisted by Frank Toohey.,20,21
6:14,282,Brenton Scott made Three Point Jumper. Assisted by Jordan Barnes.,20,24
6:01,2005,Lavelle Scottie made Layup.,22,24
5:51,282,Qiydar Davis missed Jumper.,22,24
5:51,282,Emondre Rickman Offensive Rebound.,22,24
5:44,282,Emondre Rickman Turnover.,22,24
5:43,2005,Lavelle Scottie Steal.,22,24
5:42,2005,Lavelle Scottie Turnover.,22,24
5:41,282,Emondre Rickman Steal.,22,24
5:25,2005,Foul on Trevor Lyons.,22,24
5:25,282,Jordan Barnes missed Free Throw.,22,24
5:25,282,Indiana State Deadball Team Rebound.,22,24
5:25,282,Jordan Barnes made Free Throw.,22,25
4:59,2005,Pervis Louder missed Layup.,22,25
4:59,282,Brenton Scott Block.,22,25
4:57,282,Brenton Scott Defensive Rebound.,22,25
4:55,282,Jordan Barnes made Three Point Jumper. Assisted by Brenton Scott.,22,28
4:34,2005,Dane Norman missed Three Point Jumper.,22,28
4:34,282,Brenton Scott Defensive Rebound.,22,28
4:22,282,Brenton Scott missed Three Point Jumper.,22,28
4:22,2005,Trevor Lyons Defensive Rebound.,22,28
4:09,2005,Trevor Lyons Turnover.,22,28
4:08,282,Brenton Scott Steal.,22,28
4:07,282,Brenton Scott made Layup.,22,30
4:00,2005,Air Force  Timeout,22,30
4:00,282,Official TV Timeout,22,30
3:47,2005,Ryan Manning made Layup. Assisted by Ryan Swan.,24,30
3:26,282,Tyreke Key missed Three Point Jumper.,24,30
3:26,2005,Trevor Lyons Defensive Rebound.,24,30
3:03,2005,Trevor Lyons missed Three Point Jumper.,24,30
3:03,282,Brenton Scott Defensive Rebound.,24,30
2:43,282,Emondre Rickman missed Jumper.,24,30
2:43,2005,Ryan Manning Defensive Rebound.,24,30
2:35,282,Foul on Emondre Rickman.,24,30
2:22,2005,Ryan Manning missed Three Point Jumper.,24,30
2:22,282,Brenton Scott Defensive Rebound.,24,30
2:11,282,Tyreke Key missed Three Point Jumper.,24,30
2:11,282,Brandon Murphy Offensive Rebound.,24,30
2:04,282,Jordan Barnes made Three Point Jumper. Assisted by Brenton Scott.,24,33
1:42,2005,Pervis Louder made Layup.,26,33
1:26,2005,Foul on Pervis Louder.,26,33
1:23,282,Jordan Barnes missed Three Point Jumper.,26,33
1:23,2005,Ryan Manning Defensive Rebound.,26,33
1:07,2005,Ryan Swan missed Layup.,26,33
1:07,282,Jordan Barnes Defensive Rebound.,26,33
1:00,282,Indiana State  Timeout,26,33
0:47,282,Brenton Scott missed Jumper.,26,33
0:47,2005,Air Force Defensive Rebound.,26,33
0:29,2005,Ryan Manning made Three Point Jumper. Assisted by Keaton Van Soelen.,29,33
0:00,282,Brenton Scott missed Jumper.,29,33
0:00,282,Indiana State Offensive Rebound.,29,33
0:00,282,End of 1st half,29,33
19:41,282,Jordan Barnes missed Three Point Jumper.,29,33
19:41,282,Qiydar Davis Offensive Rebound.,29,33
19:30,2005,Foul on Frank Toohey.,29,33
19:27,282,Brenton Scott missed Three Point Jumper.,29,33
19:27,2005,Ryan Manning Defensive Rebound.,29,33
19:10,2005,Lavelle Scottie missed Three Point Jumper.,29,33
19:10,282,Qiydar Davis Defensive Rebound.,29,33
18:58,282,Qiydar Davis Turnover.,29,33
18:47,282,Foul on Bronson Kessinger.,29,33
18:47,2005,Lavelle Scottie made Free Throw.,30,33
18:47,2005,Lavelle Scottie missed Free Throw.,30,33
18:47,282,Brenton Scott Defensive Rebound.,30,33
18:34,282,Jordan Barnes Turnover.,30,33
18:32,2005,Frank Toohey Steal.,30,33
18:26,2005,Frank Toohey missed Three Point Jumper.,30,33
18:26,282,Jordan Barnes Defensive Rebound.,30,33
18:16,282,Emondre Rickman Turnover.,30,33
18:16,282,Foul on Emondre Rickman.,30,33
18:07,282,Foul on Brandon Murphy.,30,33
18:00,2005,Ryan Manning made Jumper.,32,33
17:50,282,Brenton Scott made Three Point Jumper. Assisted by Clayton Hughes.,32,36
17:34,2005,Lavelle Scottie missed Layup.,32,36
17:34,2005,Pervis Louder Offensive Rebound.,32,36
17:19,2005,Lavelle Scottie Turnover.,32,36
17:17,282,Bronson Kessinger Steal.,32,36
17:17,282,Clayton Hughes Turnover.,32,36
17:17,282,Foul on Clayton Hughes.,32,36
16:59,2005,Ryan Manning missed Jumper.,32,36
16:59,282,Brenton Scott Block.,32,36
16:57,282,Brenton Scott Defensive Rebound.,32,36
16:48,282,Qiydar Davis missed Three Point Jumper.,32,36
16:48,2005,Ryan Manning Defensive Rebound.,32,36
16:40,2005,Air Force  Timeout,32,36
16:40,282,Official TV Timeout,32,36
16:16,2005,Lavelle Scottie made Layup. Assisted by Frank Toohey.,34,36
15:52,2005,Foul on Lavelle Scottie.,34,36
15:52,282,Official TV Timeout,34,36
15:37,282,Qiydar Davis missed Jumper.,34,36
15:37,2005,Lavelle Scottie Block.,34,36
15:35,2005,Frank Toohey Defensive Rebound.,34,36
15:14,2005,Lavelle Scottie Turnover.,34,36
14:49,282,Jordan Barnes made Three Point Jumper. Assisted by Brenton Scott.,34,39
14:34,2005,Lavelle Scottie made Layup.,36,39
14:34,282,Foul on Qiydar Davis.,36,39
14:34,2005,Lavelle Scottie made Free Throw.,37,39
14:10,282,Brenton Scott missed Three Point Jumper.,37,39
14:10,2005,Pervis Louder Defensive Rebound.,37,39
14:02,2005,Pervis Louder made Layup.,39,39
13:45,2005,Foul on Pervis Louder.,39,39
13:40,282,Jordan Barnes made Three Point Jumper.,39,42
13:16,2005,Lavelle Scottie missed Jumper.,39,42
13:16,282,Bronson Kessinger Defensive Rebound.,39,42
13:05,282,Brenton Scott made Layup.,39,44
12:50,2005,Ryan Swan Turnover.,39,44
12:49,282,Tyreke Key Steal.,39,44
12:37,2005,Foul on Lavelle Scottie.,39,44
12:37,282,Bronson Kessinger missed Free Throw.,39,44
12:37,282,Indiana State Deadball Team Rebound.,39,44
12:37,282,Bronson Kessinger made Free Throw.,39,45
12:24,2005,Pervis Louder Turnover.,39,45
12:15,282,Tyreke Key Turnover.,39,45
12:14,2005,Ryan Manning Steal.,39,45
12:10,282,Foul on Trey Knight III.,39,45
12:10,2005,Dane Norman missed Free Throw.,39,45
12:10,2005,Air Force Deadball Team Rebound.,39,45
12:10,2005,Dane Norman made Free Throw.,40,45
11:59,282,Demonte Ojinnaka missed Three Point Jumper.,40,45
11:59,2005,Air Force Defensive Rebound.,40,45
11:53,282,Official TV Timeout,40,45
11:34,2005,Ryan Manning missed Jumper.,40,45
11:34,282,Jordan Barnes Defensive Rebound.,40,45
11:07,282,Clayton Hughes Turnover.,40,45
11:05,2005,Frank Toohey Steal.,40,45
10:54,2005,Ryan Manning Turnover.,40,45
10:53,282,Brandon Murphy Steal.,40,45
10:49,282,Brenton Scott missed Three Point Jumper.,40,45
10:49,2005,Sid Tomes Defensive Rebound.,40,45
10:33,282,Foul on Brenton Scott.,40,45
10:33,2005,Keaton Van Soelen missed Free Throw.,40,45
10:33,2005,Air Force Deadball Team Rebound.,40,45
10:33,2005,Keaton Van Soelen made Free Throw.,41,45
10:08,282,Jordan Barnes made Three Point Jumper. Assisted by Clayton Hughes.,41,48
9:37,2005,Trevor Lyons Turnover.,41,48
9:22,282,Clayton Hughes missed Three Point Jumper.,41,48
9:22,2005,Trevor Lyons Defensive Rebound.,41,48
9:11,2005,Ryan Manning Turnover.,41,48
9:10,282,Brenton Scott Steal.,41,48
9:08,282,Brenton Scott Turnover.,41,48
9:07,2005,Pervis Louder Steal.,41,48
9:05,2005,Pervis Louder Turnover.,41,48
9:04,282,Brenton Scott Steal.,41,48
9:04,282,Brenton Scott made Layup.,41,50
9:04,2005,Foul on Frank Toohey.,41,50
9:04,2005,Air Force  Timeout,41,50
9:04,282,Brenton Scott made Free Throw.,41,51
8:55,282,Foul on Tyreke Key.,41,51
8:55,2005,Ryan Manning made Free Throw.,42,51
8:55,2005,Ryan Manning made Free Throw.,43,51
8:27,282,Jordan Barnes missed Three Point Jumper.,43,51
8:27,2005,Frank Toohey Defensive Rebound.,43,51
8:15,2005,Frank Toohey made Three Point Jumper. Assisted by Pervis Louder.,46,51
7:42,282,Clayton Hughes Turnover.,46,51
7:42,282,Foul on Clayton Hughes.,46,51
7:42,282,Official TV Timeout,46,51
7:18,282,Foul on Brenton Scott.,46,51
7:18,2005,Trevor Lyons made Free Throw.,47,51
7:18,2005,Trevor Lyons made Free Throw.,48,51
7:08,282,Clayton Hughes Turnover.,48,51
7:07,2005,Trevor Lyons Steal.,48,51
7:03,2005,Lavelle Scottie Turnover.,48,51
6:32,2005,Foul on Frank Toohey.,48,51
6:32,282,Jordan Barnes missed Free Throw.,48,51
6:32,282,Indiana State Deadball Team Rebound.,48,51
6:32,282,Jordan Barnes made Free Throw.,48,52
6:06,282,Foul on Clayton Hughes.,48,52
6:06,2005,Lavelle Scottie made Free Throw.,49,52
6:06,2005,Lavelle Scottie made Free Throw.,50,52
5:44,282,Qiydar Davis made Jumper.,50,54
5:17,2005,Sid Tomes made Jumper.,52,54
4:56,282,Tyreke Key made Three Point Jumper. Assisted by Brenton Scott.,52,57
4:38,2005,Lavelle Scottie missed Layup.,52,57
4:38,282,Tyreke Key Defensive Rebound.,52,57
4:18,282,Tyreke Key made Layup.,52,59
4:18,2005,Foul on Ryan Swan.,52,59
4:18,282,Tyreke Key made Free Throw.,52,60
4:06,2005,Pervis Louder missed Layup.,52,60
4:06,282,Tyreke Key Defensive Rebound.,52,60
3:58,282,Brenton Scott made Three Point Jumper. Assisted by Tyreke Key.,52,63
3:42,2005,Trevor Lyons missed Layup.,52,63
3:42,282,Brenton Scott Defensive Rebound.,52,63
3:34,2005,Foul on Pervis Louder.,52,63
3:34,282,Official TV Timeout,52,63
3:34,282,Tyreke Key made Free Throw.,52,64
3:34,282,Tyreke Key missed Free Throw.,52,64
3:34,2005,Ryan Manning Defensive Rebound.,52,64
3:19,282,Foul on Tyreke Key.,52,64
3:19,2005,Pervis Louder made Free Throw.,53,64
3:19,2005,Pervis Louder missed Free Throw.,53,64
3:19,282,Bronson Kessinger Defensive Rebound.,53,64
3:14,2005,Foul on Ryan Manning.,53,64
3:14,282,Jordan Barnes made Free Throw.,53,65
3:14,282,Jordan Barnes made Free Throw.,53,66
2:49,2005,Frank Toohey made Jumper. Assisted by Lavelle Scottie.,55,66
2:14,282,Jordan Barnes missed Layup.,55,66
2:14,2005,Frank Toohey Defensive Rebound.,55,66
2:02,2005,Frank Toohey made Three Point Jumper. Assisted by Pervis Louder.,58,66
1:59,2005,Air Force  Timeout,58,66
1:57,282,Jordan Barnes Turnover.,58,66
1:50,2005,Technical Foul on Pervis Louder.,58,66
1:50,282,Jordan Barnes made Free Throw.,58,67
1:22,282,Jordan Barnes made Three Point Jumper. Assisted by Tyreke Key.,58,70
1:11,2005,Sid Tomes missed Three Point Jumper.,58,70
1:11,282,Brenton Scott Defensive Rebound.,58,70
1:07,2005,Foul on Trevor Lyons.,58,70
1:07,282,Brenton Scott missed Free Throw.,58,70
1:07,2005,Lavelle Scottie Defensive Rebound.,58,70
0:57,2005,Trevor Lyons made Layup.,60,70
0:57,282,Foul on Bronson Kessinger.,60,70
0:57,2005,Trevor Lyons missed Free Throw.,60,70
0:57,282,Brenton Scott Defensive Rebound.,60,70
0:48,2005,Foul on Sid Tomes.,60,70
0:48,282,Jordan Barnes made Free Throw.,60,71
0:48,282,Jordan Barnes made Free Throw.,60,72
0:41,2005,Trevor Lyons missed Layup.,60,72
0:41,2005,Ryan Manning Offensive Rebound.,60,72
0:39,2005,Ryan Manning made Layup.,62,72
0:35,282,Tyreke Key Turnover.,62,72
0:33,2005,Ryan Manning missed Three Point Jumper.,62,72
0:33,2005,Frank Toohey Offensive Rebound.,62,72
0:24,2005,Trevor Lyons missed Jumper.,62,72
0:24,282,Jordan Barnes Defensive Rebound.,62,72
0:20,282,Tyreke Key made Dunk. Assisted by Jordan Barnes.,62,74
0:13,2005,Lavelle Scottie missed Layup.,62,74
0:13,2005,Frank Toohey Offensive Rebound.,62,74
0:05,2005,Frank Toohey missed Jumper.,62,74
0:05,2005,Frank Toohey Offensive Rebound.,62,74
0:04,2005,Frank Toohey missed Layup.,62,74
0:04,2005,Lavelle Scottie Offensive Rebound.,62,74
0:04,2005,Lavelle Scottie made Two Point Tip Shot.,64,74
0:00,282,End of Game,64,74
