UNLV,2460,Northern Iowa,2439
12:45,2460,Foul on Austin Phyfe.,6,10
12:45,2439,Kris Clyburn made Free Throw.,7,10
12:45,2439,Kris Clyburn made Free Throw.,8,10
12:20,2460,Isaiah Brown Turnover.,8,10
12:20,2460,Foul on Isaiah Brown.,8,10
12:07,2439,Cheickna Dembele Turnover.,8,10
12:05,2460,Hunter Rhodes Steal.,8,10
11:50,2439,Foul on Jovan Mooring.,8,10
11:50,2460,Official TV Timeout,8,10
11:50,2460,Spencer Haldeman missed Three Point Jumper.,8,10
11:50,2439,Tervell Beck Defensive Rebound.,8,10
11:31,2439,Tervell Beck made Three Point Jumper. Assisted by Jordan Johnson.,11,10
11:13,2460,Hunter Rhodes made Three Point Jumper. Assisted by Isaiah Brown.,11,13
10:50,2439,Cheickna Dembele missed Jumper.,11,13
10:50,2439,Cheickna Dembele Offensive Rebound.,11,13
10:46,2439,Cheickna Dembele missed Jumper.,11,13
10:46,2460,Hunter Rhodes Defensive Rebound.,11,13
10:28,2460,Luke McDonnell missed Layup.,11,13
10:28,2439,Tervell Beck Defensive Rebound.,11,13
10:23,2439,Jordan Johnson Turnover.,11,13
10:18,2460,Hunter Rhodes Steal.,11,13
10:17,2460,Hunter Rhodes made Layup.,11,15
10:10,2439,Cheickna Dembele Turnover.,11,15
10:10,2439,Foul on Cheickna Dembele.,11,15
9:59,2460,Bennett Koch made Jumper.,11,17
9:51,2460,Foul on Isaiah Brown.,11,17
9:51,2439,Brandon McCoy made Layup.,13,17
9:51,2439,Brandon McCoy made Free Throw.,14,17
9:48,2439,Foul on Anthony Smith.,14,17
9:22,2460,Bennett Koch made Jumper.,14,19
9:01,2439,Amauri Hardy made Jumper.,16,19
8:51,2460,Juwan McCloud made Jumper.,16,21
8:47,2439,Brandon McCoy Turnover.,16,21
8:47,2439,Foul on Brandon McCoy.,16,21
8:25,2460,Klint Carlson missed Jumper.,16,21
8:25,2439,Shakur Juiston Defensive Rebound.,16,21
8:09,2439,Shakur Juiston made Jumper.,18,21
7:53,2460,Bennett Koch made Free Throw.,18,22
7:53,2460,Official TV Timeout,18,23
7:48,2460,Bennett Koch made Layup.,18,24
7:48,2439,Foul on Shakur Juiston.,18,24
7:48,2460,Official TV Timeout,18,24
7:41,2439,Kris Clyburn made Layup. Assisted by Amauri Hardy.,20,24
7:12,2460,Juwan McCloud missed Layup.,20,24
7:12,2439,Jordan Johnson Defensive Rebound.,20,24
6:57,2439,Amauri Hardy missed Layup.,20,24
6:57,2439,Amauri Hardy Offensive Rebound.,20,24
6:52,2439,Jordan Johnson missed Three Point Jumper.,20,24
6:52,2460,Spencer Haldeman Defensive Rebound.,20,24
6:20,2460,Northern Iowa  Turnover.,20,24
5:52,2439,Jordan Johnson made Three Point Jumper.,23,24
5:39,2460,Hunter Rhodes made Layup.,23,26
5:24,2439,Kris Clyburn made Layup.,25,26
4:59,2460,Klint Carlson Turnover.,25,26
4:57,2439,Kris Clyburn Steal.,25,26
4:55,2439,Kris Clyburn Turnover.,25,26
4:54,2460,Luke McDonnell Steal.,25,26
4:32,2460,Luke McDonnell Turnover.,25,26
4:31,2439,Shakur Juiston Steal.,25,26
4:28,2439,Kris Clyburn made Layup. Assisted by Shakur Juiston.,27,26
4:12,2439,Foul on Cheickna Dembele.,27,26
4:12,2460,Tywhon Pickford made Free Throw.,27,27
4:12,2460,Tywhon Pickford made Free Throw.,27,28
4:01,2439,Jordan Johnson missed Jumper.,27,28
4:01,2439,Shakur Juiston Offensive Rebound.,27,28
3:56,2460,Tywhon Pickford Defensive Rebound.,27,28
3:56,2439,Shakur Juiston missed Layup.,27,28
3:42,2460,Foul on Bennett Koch.,27,28
3:42,2439,Foul on Cheikh Mbacke Diong.,27,28
3:42,2460,Official TV Timeout,27,28
3:30,2460,Klint Carlson made Jumper.,27,30
3:14,2439,Shakur Juiston missed Jumper.,27,30
3:14,2460,Spencer Haldeman Defensive Rebound.,27,30
3:00,2439,Foul on Shakur Juiston.,27,30
3:00,2460,Klint Carlson missed Free Throw.,27,30
3:00,2460,Northern Iowa Deadball Team Rebound.,27,30
3:00,2460,Klint Carlson made Free Throw.,27,31
2:47,2439,Jovan Mooring missed Layup.,27,31
2:47,2439,Cheikh Mbacke Diong Offensive Rebound.,27,31
2:43,2439,Cheikh Mbacke Diong made Layup.,29,31
2:32,2460,Tywhon Pickford missed Three Point Jumper.,29,31
2:32,2460,Ted Friedman Offensive Rebound.,29,31
2:13,2460,Klint Carlson missed Layup.,29,31
2:13,2439,Cheikh Mbacke Diong Block.,29,31
2:11,2439,Kris Clyburn Defensive Rebound.,29,31
1:59,2439,Jovan Mooring missed Layup.,29,31
1:59,2460,Klint Carlson Defensive Rebound.,29,31
1:42,2460,Juwan McCloud missed Jumper.,29,31
1:42,2439,Cheikh Mbacke Diong Defensive Rebound.,29,31
1:24,2439,Cheikh Mbacke Diong Turnover.,29,31
1:22,2460,Juwan McCloud Steal.,29,31
1:02,2460,Spencer Haldeman made Three Point Jumper. Assisted by Klint Carlson.,29,34
0:38,2439,Jovan Mooring missed Three Point Jumper.,29,34
0:38,2460,Klint Carlson Defensive Rebound.,29,34
0:07,2460,Klint Carlson missed Jumper.,29,34
0:07,2460,Tywhon Pickford Offensive Rebound.,29,34
0:03,2460,Tywhon Pickford missed Layup.,29,34
0:03,2439,Cheikh Mbacke Diong Block.,29,34
0:01,2460,Klint Carlson Offensive Rebound.,29,34
0:00,2460,Klint Carlson missed Jumper.,29,34
0:00,2439,Cheikh Mbacke Diong Defensive Rebound.,29,34
0:00,2460,End of 1st half,29,34
19:48,2460,Bennett Koch missed Jumper.,29,34
19:48,2439,Shakur Juiston Defensive Rebound.,29,34
19:37,2439,Brandon McCoy missed Jumper.,29,34
19:37,2460,Tywhon Pickford Defensive Rebound.,29,34
19:25,2460,Bennett Koch made Layup.,29,36
19:00,2439,Jovan Mooring missed Jumper.,29,36
19:00,2460,Bennett Koch Defensive Rebound.,29,36
18:39,2460,Bennett Koch missed Jumper.,29,36
18:39,2439,Shakur Juiston Defensive Rebound.,29,36
18:16,2439,Kris Clyburn made Three Point Jumper. Assisted by Jordan Johnson.,32,36
18:05,2460,Juwan McCloud Turnover.,32,36
18:04,2439,Shakur Juiston Steal.,32,36
17:55,2439,Brandon McCoy made Layup. Assisted by Shakur Juiston.,34,36
17:32,2460,Klint Carlson Turnover.,34,36
17:31,2439,Jovan Mooring Steal.,34,36
17:29,2460,Foul on Isaiah Brown.,34,36
17:29,2439,Jovan Mooring made Free Throw.,35,36
17:29,2439,Jovan Mooring made Free Throw.,36,36
17:14,2460,Bennett Koch missed Jumper.,36,36
17:14,2439,Brandon McCoy Block.,36,36
17:13,2460,Bennett Koch Offensive Rebound.,36,36
17:10,2439,Foul on Shakur Juiston.,36,36
17:10,2460,Bennett Koch made Free Throw.,36,37
17:10,2460,Bennett Koch made Free Throw.,36,38
17:03,2439,Jovan Mooring missed Jumper.,36,38
17:03,2460,Bennett Koch Defensive Rebound.,36,38
16:51,2460,Klint Carlson made Layup.,36,40
16:34,2439,Brandon McCoy made Jumper.,38,40
16:17,2460,Bennett Koch made Jumper. Assisted by Isaiah Brown.,38,42
15:57,2439,Brandon McCoy made Jumper.,40,42
15:33,2460,Bennett Koch made Jumper.,40,44
15:24,2439,Kris Clyburn Turnover.,40,44
15:21,2460,Bennett Koch Steal.,40,44
15:03,2460,Bennett Koch made Layup.,40,46
14:54,2439,Kris Clyburn made Three Point Jumper. Assisted by Jordan Johnson.,43,46
14:51,2439,UNLV  Timeout,43,46
14:28,2460,Bennett Koch missed Jumper.,43,46
14:28,2439,Tervell Beck Defensive Rebound.,43,46
14:13,2439,Jovan Mooring made Three Point Jumper. Assisted by Tervell Beck.,46,46
13:50,2460,Official TV Timeout,46,46
13:34,2460,Klint Carlson made Jumper.,46,48
13:25,2439,Jovan Mooring missed Three Point Jumper.,46,48
13:25,2460,Northern Iowa Defensive Rebound.,46,48
12:57,2460,Austin Phyfe missed Three Point Jumper.,46,48
12:57,2460,Klint Carlson Offensive Rebound.,46,48
12:51,2460,Klint Carlson missed Jumper.,46,48
12:51,2439,Jovan Mooring Defensive Rebound.,46,48
12:43,2439,Jovan Mooring Turnover.,46,48
12:43,2439,Foul on Jovan Mooring.,46,48
12:30,2460,Tywhon Pickford Turnover.,46,48
12:19,2439,Jordan Johnson missed Jumper.,46,48
12:19,2439,Anthony Smith Offensive Rebound.,46,48
12:14,2439,Jordan Johnson missed Three Point Jumper.,46,48
12:14,2460,Tywhon Pickford Defensive Rebound.,46,48
12:10,2439,Foul on Anthony Smith.,46,48
12:10,2460,Spencer Haldeman made Free Throw.,46,49
12:10,2460,Spencer Haldeman made Free Throw.,46,50
11:53,2460,Klint Carlson made Jumper.,46,52
11:42,2460,Foul on Austin Phyfe.,46,52
11:42,2460,Official TV Timeout,46,52
11:33,2460,Foul on Austin Phyfe.,46,52
11:19,2439,Shakur Juiston made Layup.,48,52
10:49,2460,Klint Carlson missed Three Point Jumper.,48,52
10:49,2439,Brandon McCoy Defensive Rebound.,48,52
10:33,2439,Amauri Hardy missed Layup.,48,52
10:33,2460,Hunter Rhodes Defensive Rebound.,48,52
10:14,2460,Klint Carlson missed Layup.,48,52
10:14,2439,Kris Clyburn Defensive Rebound.,48,52
10:01,2439,Kris Clyburn made Jumper.,50,52
9:40,2439,Foul on Brandon McCoy.,50,52
9:40,2460,Bennett Koch missed Free Throw.,50,52
9:40,2460,Northern Iowa Deadball Team Rebound.,50,52
9:40,2460,Bennett Koch made Free Throw.,50,53
9:33,2460,Foul on Juwan McCloud.,50,53
9:17,2439,Shakur Juiston missed Jumper.,50,53
9:17,2460,Juwan McCloud Defensive Rebound.,50,53
8:58,2460,Isaiah Brown Turnover.,50,53
8:56,2439,Jovan Mooring Steal.,50,53
8:54,2439,Jovan Mooring made Layup.,52,53
8:23,2460,Bennett Koch missed Layup.,52,53
8:23,2439,Brandon McCoy Defensive Rebound.,52,53
8:11,2439,Jordan Johnson missed Three Point Jumper.,52,53
8:11,2460,Northern Iowa Defensive Rebound.,52,53
7:49,2460,Bennett Koch missed Layup.,52,53
7:49,2439,Shakur Juiston Defensive Rebound.,52,53
7:34,2439,Jovan Mooring missed Jumper.,52,53
7:34,2439,Shakur Juiston Offensive Rebound.,52,53
7:30,2439,Shakur Juiston missed Layup.,52,53
7:30,2439,Shakur Juiston Offensive Rebound.,52,53
7:29,2460,Official TV Timeout,52,53
7:29,2439,Shakur Juiston Turnover.,52,53
7:29,2460,Klint Carlson Steal.,52,53
7:27,2460,Official TV Timeout,52,53
7:02,2460,Klint Carlson made Jumper.,52,55
6:52,2460,Foul on Spencer Haldeman.,52,55
6:48,2439,Shakur Juiston made Jumper.,54,55
6:25,2460,Bennett Koch missed Jumper.,54,55
6:25,2439,Brandon McCoy Defensive Rebound.,54,55
6:19,2460,Foul on Juwan McCloud.,54,55
6:19,2439,Jordan Johnson made Free Throw.,55,55
6:19,2439,Jordan Johnson made Free Throw.,56,55
5:58,2460,Bennett Koch missed Jumper.,56,55
5:58,2439,Brandon McCoy Defensive Rebound.,56,55
5:53,2439,Jordan Johnson Turnover.,56,55
5:52,2460,Tywhon Pickford Steal.,56,55
5:38,2460,Tywhon Pickford missed Three Point Jumper.,56,55
5:38,2439,Shakur Juiston Defensive Rebound.,56,55
5:31,2439,Jovan Mooring missed Three Point Jumper.,56,55
5:31,2460,Tywhon Pickford Defensive Rebound.,56,55
5:07,2460,Spencer Haldeman missed Three Point Jumper.,56,55
5:07,2439,Kris Clyburn Defensive Rebound.,56,55
4:59,2439,Jordan Johnson missed Three Point Jumper.,56,55
4:59,2460,Bennett Koch Defensive Rebound.,56,55
4:34,2460,Juwan McCloud missed Layup.,56,55
4:34,2439,Brandon McCoy Defensive Rebound.,56,55
4:28,2439,Jordan Johnson Turnover.,56,55
4:28,2439,Foul on Jordan Johnson.,56,55
4:06,2460,Klint Carlson missed Jumper.,56,55
4:06,2439,Jovan Mooring Defensive Rebound.,56,55
3:57,2439,UNLV  Timeout,56,55
3:46,2439,Jovan Mooring made Three Point Jumper.,59,55
3:23,2460,Bennett Koch Turnover.,59,55
3:21,2439,Shakur Juiston Steal.,59,55
3:14,2439,Jovan Mooring missed Three Point Jumper.,59,55
3:14,2460,Bennett Koch Defensive Rebound.,59,55
2:53,2460,Tywhon Pickford missed Three Point Jumper.,59,55
2:53,2439,Kris Clyburn Defensive Rebound.,59,55
2:44,2439,Jovan Mooring missed Three Point Jumper.,59,55
2:44,2460,Klint Carlson Defensive Rebound.,59,55
2:29,2460,Klint Carlson made Jumper.,59,57
2:01,2439,Jordan Johnson missed Jumper.,59,57
2:01,2460,Bennett Koch Block.,59,57
1:58,2460,Bennett Koch Defensive Rebound.,59,57
1:35,2460,Bennett Koch missed Jumper.,59,57
1:35,2460,Tywhon Pickford Offensive Rebound.,59,57
1:29,2439,Foul on Shakur Juiston.,59,57
1:29,2460,Tywhon Pickford missed Free Throw.,59,57
1:29,2460,Northern Iowa Deadball Team Rebound.,59,57
1:29,2460,Tywhon Pickford made Free Throw.,59,58
1:14,2439,Kris Clyburn made Layup.,61,58
1:03,2460,Northern Iowa  Timeout,61,58
0:50,2460,Bennett Koch made Jumper.,61,60
0:22,2439,Shakur Juiston Turnover.,61,60
0:20,2460,Klint Carlson Steal.,61,60
0:16,2439,Foul on Jovan Mooring.,61,60
0:16,2460,Bennett Koch made Free Throw.,61,61
0:16,2460,Bennett Koch missed Free Throw.,61,61
0:16,2439,Shakur Juiston Defensive Rebound.,61,61
0:00,2439,Jordan Johnson missed Jumper.,61,61
0:00,2460,Northern Iowa Defensive Rebound.,61,61
0:00,2460,End of 2nd half,61,61
4:43,2439,Jovan Mooring missed Three Point Jumper.,61,61
4:43,2460,Juwan McCloud Defensive Rebound.,61,61
4:15,2460,Klint Carlson made Layup.,61,63
4:00,2439,Kris Clyburn missed Layup.,61,63
4:00,2460,Klint Carlson Defensive Rebound.,61,63
3:51,2439,Foul on Jordan Johnson.,61,63
3:51,2460,Juwan McCloud made Free Throw.,61,64
3:51,2460,Juwan McCloud missed Free Throw.,61,64
3:51,2439,Brandon McCoy Defensive Rebound.,61,64
3:38,2439,Jordan Johnson made Jumper.,63,64
3:09,2460,Klint Carlson missed Jumper.,63,64
3:09,2439,Shakur Juiston Defensive Rebound.,63,64
2:54,2460,Foul on Spencer Haldeman.,63,64
2:54,2439,Jovan Mooring missed Free Throw.,63,64
2:54,2460,Tywhon Pickford Defensive Rebound.,63,64
2:37,2460,Spencer Haldeman missed Three Point Jumper.,63,64
2:37,2460,Tywhon Pickford Offensive Rebound.,63,64
2:27,2460,Tywhon Pickford made Layup.,63,66
2:13,2439,Shakur Juiston missed Jumper.,63,66
2:13,2460,Northern Iowa Defensive Rebound.,63,66
1:50,2460,Bennett Koch made Dunk. Assisted by Spencer Haldeman.,63,68
1:39,2439,Jordan Johnson missed Three Point Jumper.,63,68
1:39,2460,Spencer Haldeman Defensive Rebound.,63,68
1:09,2460,Klint Carlson made Jumper.,63,70
1:02,2439,Shakur Juiston Turnover.,63,70
0:57,2439,Foul on Brandon McCoy.,63,70
0:57,2460,Bennett Koch made Free Throw.,63,71
0:57,2460,Bennett Koch missed Free Throw.,63,71
0:57,2439,Shakur Juiston Defensive Rebound.,63,71
0:48,2439,Jordan Johnson Turnover.,63,71
0:47,2460,Juwan McCloud Steal.,63,71
0:43,2439,Foul on Jovan Mooring.,63,71
0:43,2460,Juwan McCloud made Free Throw.,63,72
0:43,2460,Juwan McCloud made Free Throw.,63,73
0:33,2439,Cheickna Dembele made Dunk. Assisted by Jordan Johnson.,65,73
0:26,2439,Foul on Jordan Johnson.,65,73
0:26,2460,Klint Carlson made Free Throw.,65,74
0:26,2460,Klint Carlson made Free Throw.,65,75
0:19,2439,Jovan Mooring missed Three Point Jumper.,65,75
0:19,2439,Shakur Juiston Offensive Rebound.,65,75
0:14,2439,Shakur Juiston made Three Point Jumper.,68,75
0:10,2439,Foul on Shakur Juiston.,68,75
0:10,2460,Bennett Koch made Free Throw.,68,76
0:10,2460,Bennett Koch made Free Throw.,68,77
0:04,2439,Tervell Beck missed Jumper.,68,77
0:04,2460,Tywhon Pickford Defensive Rebound.,68,77
0:00,2460,End of Game,68,77
