Georgia State,2653,Troy,2247
0:38,2653,Jordon Varnado made Layup. Assisted by Wesley Person.,66,66
0:08,2653,Troy  Timeout,66,66
0:08,2247,D'Marcus Simonds missed Three Point Jumper.,66,66
0:08,2653,Troy Defensive Rebound.,66,66
0:08,2653,Troy  Timeout,66,66
0:04,2247,Foul on Devin Mitchell.,66,66
0:04,2653,B.J. Miller made Free Throw.,66,67
0:04,2653,B.J. Miller made Free Throw.,66,68
0:04,2247,Georgia State  Timeout,66,68
0:00,2653,End of Game,66,68
