Iona,2099,Canisius,314
11:03,2099,Jermaine Crumpton made Jumper. Assisted by Jonathan Sanks.,19,10
10:47,314,Zach Lewis made Layup.,21,10
10:25,2099,Jermaine Crumpton made Layup.,21,12
10:14,314,Roland Griffin missed Three Point Jumper.,21,12
10:14,2099,Isaiah Reese Defensive Rebound.,21,12
10:08,2099,Jalanni White Turnover.,21,12
9:52,314,TK Edogi Turnover.,21,12
9:43,2099,Jonathan Sanks missed Three Point Jumper.,21,12
9:43,314,E.J. Crawford Defensive Rebound.,21,12
9:33,314,Zach Lewis missed Three Point Jumper.,21,12
9:33,314,Iona Offensive Rebound.,21,12
9:31,2099,Foul on Jalanni White.,21,12
9:20,314,Roland Griffin made Layup. Assisted by Deyshonee Much.,23,12
9:20,2099,Foul on Jonathan Sanks.,23,12
9:20,314,Roland Griffin made Free Throw.,24,12
8:56,2099,Jermaine Crumpton made Jumper.,24,14
8:40,314,Deyshonee Much missed Three Point Jumper.,24,14
8:40,2099,Jalanni White Defensive Rebound.,24,14
8:32,2099,Malik Johnson Turnover.,24,14
8:31,314,Schadrac Casimir Steal.,24,14
8:28,314,E.J. Crawford missed Layup.,24,14
8:28,314,TK Edogi Offensive Rebound.,24,14
8:27,314,TK Edogi Turnover.,24,14
8:18,2099,Jermaine Crumpton missed Jumper.,24,14
8:18,2099,Jalanni White Offensive Rebound.,24,14
8:12,2099,Jalanni White missed Layup.,24,14
8:12,314,TK Edogi Defensive Rebound.,24,14
8:09,314,Schadrac Casimir Turnover.,24,14
8:01,2099,Jonathan Sanks made Three Point Jumper. Assisted by Malik Johnson.,24,17
7:59,314,Foul on Roland Griffin.,24,17
7:59,2099,Official TV Timeout,24,17
7:59,2099,Jonathan Sanks made Free Throw.,24,18
7:41,314,TK Edogi Turnover.,24,18
7:36,2099,Jonathan Sanks missed Three Point Jumper.,24,18
7:36,314,C.J. Seaforth Defensive Rebound.,24,18
7:23,314,Deyshonee Much missed Layup.,24,18
7:23,2099,Malik Johnson Defensive Rebound.,24,18
7:16,2099,Spencer Foley missed Three Point Jumper.,24,18
7:16,2099,Jermaine Crumpton Offensive Rebound.,24,18
7:08,2099,Jonathan Sanks made Three Point Jumper. Assisted by Spencer Foley.,24,21
6:51,314,Zach Lewis Turnover.,24,21
6:51,314,Foul on Zach Lewis.,24,21
6:43,2099,Jermaine Crumpton missed Three Point Jumper.,24,21
6:43,314,Deyshonee Much Defensive Rebound.,24,21
6:33,314,E.J. Crawford missed Jumper.,24,21
6:33,2099,Malik Johnson Defensive Rebound.,24,21
6:24,2099,Jalanni White missed Layup.,24,21
6:24,314,E.J. Crawford Defensive Rebound.,24,21
6:15,314,Deyshonee Much made Three Point Jumper. Assisted by Zach Lewis.,27,21
5:55,2099,Jermaine Crumpton made Layup.,27,23
5:29,314,Rickey McGill Turnover.,27,23
5:19,2099,Jermaine Crumpton missed Layup.,27,23
5:19,2099,Jermaine Crumpton Offensive Rebound.,27,23
5:16,2099,Jermaine Crumpton made Two Point Tip Shot.,27,25
5:05,2099,Foul on Jonathan Sanks.,27,25
4:47,314,Rickey McGill missed Jumper.,27,25
4:47,2099,Selvedin Planincic Defensive Rebound.,27,25
4:36,2099,Jermaine Crumpton missed Jumper.,27,25
4:36,314,Zach Lewis Block.,27,25
4:34,314,Roland Griffin Defensive Rebound.,27,25
4:29,2099,Foul on Selvedin Planincic.,27,25
4:29,314,Roland Griffin made Free Throw.,28,25
4:29,314,Roland Griffin made Free Throw.,29,25
4:10,2099,Selvedin Planincic missed Layup.,29,25
4:10,314,Roland Griffin Block.,29,25
4:07,2099,Jermaine Crumpton Offensive Rebound.,29,25
4:05,2099,Jermaine Crumpton made Layup.,29,27
3:47,314,Jan Svandrlik missed Jumper.,29,27
3:47,2099,Malik Johnson Defensive Rebound.,29,27
3:41,2099,Isaiah Reese made Three Point Jumper. Assisted by Takal Molson.,29,30
3:20,314,Roland Griffin missed Jumper.,29,30
3:20,314,Jan Svandrlik Offensive Rebound.,29,30
3:14,314,Zach Lewis missed Three Point Jumper.,29,30
3:14,2099,Jermaine Crumpton Defensive Rebound.,29,30
3:01,314,Foul on Roland Griffin.,29,30
3:01,2099,Official TV Timeout,29,30
3:01,2099,Jermaine Crumpton made Free Throw.,29,31
3:01,2099,Jermaine Crumpton made Free Throw.,29,32
2:43,314,Deyshonee Much Turnover.,29,32
2:27,314,Foul on Zach Lewis.,29,32
2:27,2099,Malik Johnson made Free Throw.,29,33
2:27,2099,Malik Johnson missed Free Throw.,29,33
2:27,314,Roland Griffin Defensive Rebound.,29,33
2:20,314,Deyshonee Much missed Three Point Jumper.,29,33
2:20,2099,Isaiah Reese Defensive Rebound.,29,33
2:11,2099,Isaiah Reese made Three Point Jumper. Assisted by Malik Johnson.,29,36
1:49,314,Deyshonee Much Turnover.,29,36
1:49,314,Iona  Timeout,29,36
1:23,2099,Spencer Foley made Three Point Jumper. Assisted by Isaiah Reese.,29,39
1:04,314,E.J. Crawford missed Layup.,29,39
1:04,2099,Canisius Defensive Rebound.,29,39
1:02,314,Foul on E.J. Crawford.,29,39
1:02,2099,Malik Johnson made Free Throw.,29,40
1:02,2099,Malik Johnson made Free Throw.,29,41
0:57,314,E.J. Crawford Turnover.,29,41
0:56,2099,Malik Johnson Steal.,29,41
0:41,2099,Takal Molson made Layup.,29,43
0:26,314,Deyshonee Much missed Three Point Jumper.,29,43
0:26,2099,Isaiah Reese Defensive Rebound.,29,43
0:05,2099,Jermaine Crumpton missed Three Point Jumper.,29,43
0:05,314,Roland Griffin Defensive Rebound.,29,43
0:00,2099,End of 1st half,29,43
19:45,2099,Foul on Selvedin Planincic.,29,43
19:45,314,Roland Griffin made Free Throw.,30,43
19:45,314,Roland Griffin missed Free Throw.,30,43
19:45,2099,Takal Molson Defensive Rebound.,30,43
19:36,314,Foul on Zach Lewis.,30,43
19:27,2099,Takal Molson made Three Point Jumper. Assisted by Jermaine Crumpton.,30,46
19:17,2099,Foul on Jermaine Crumpton.,30,46
19:17,314,Zach Lewis made Free Throw.,31,46
19:17,314,Zach Lewis made Free Throw.,32,46
19:17,314,Zach Lewis made Free Throw.,33,46
18:57,2099,Selvedin Planincic made Jumper. Assisted by Takal Molson.,33,48
18:42,314,Roland Griffin missed Jumper.,33,48
18:42,314,Roland Griffin Offensive Rebound.,33,48
18:40,2099,Foul on Selvedin Planincic.,33,48
18:40,314,Roland Griffin missed Free Throw.,33,48
18:40,314,Iona Deadball Team Rebound.,33,48
18:40,314,Roland Griffin missed Free Throw.,33,48
18:40,314,E.J. Crawford Offensive Rebound.,33,48
18:39,2099,Foul on Takal Molson.,33,48
18:39,314,E.J. Crawford made Free Throw.,34,48
18:39,314,E.J. Crawford made Free Throw.,35,48
18:27,2099,Selvedin Planincic Turnover.,35,48
18:27,2099,Foul on Selvedin Planincic.,35,48
18:22,314,E.J. Crawford made Three Point Jumper. Assisted by Rickey McGill.,38,48
18:04,2099,Takal Molson missed Layup.,38,48
18:04,314,Zach Lewis Defensive Rebound.,38,48
17:55,2099,Foul on Malik Johnson.,38,48
17:55,314,Zach Lewis missed Free Throw.,38,48
17:55,314,Iona Deadball Team Rebound.,38,48
17:55,314,Zach Lewis missed Free Throw.,38,48
17:55,2099,Takal Molson Defensive Rebound.,38,48
17:42,2099,Jalanni White Turnover.,38,48
17:40,314,Deyshonee Much Steal.,38,48
17:31,314,E.J. Crawford made Jumper.,40,48
17:27,2099,Canisius  Timeout,40,48
17:27,2099,Official TV Timeout,40,48
17:07,2099,Jermaine Crumpton Turnover.,40,48
16:52,314,Rickey McGill made Layup.,42,48
16:38,2099,Takal Molson missed Layup.,42,48
16:38,314,E.J. Crawford Block.,42,48
16:35,2099,Takal Molson Offensive Rebound.,42,48
16:33,2099,Takal Molson missed Layup.,42,48
16:33,2099,Jalanni White Offensive Rebound.,42,48
16:27,2099,Jalanni White missed Two Point Tip Shot.,42,48
16:27,314,Rickey McGill Defensive Rebound.,42,48
16:19,314,Deyshonee Much made Jumper.,44,48
16:09,314,Foul on Roland Griffin.,44,48
16:01,2099,Jonathan Sanks missed Jumper.,44,48
16:01,314,Deyshonee Much Defensive Rebound.,44,48
15:51,314,E.J. Crawford made Three Point Jumper. Assisted by Deyshonee Much.,47,48
15:36,2099,Jermaine Crumpton missed Three Point Jumper.,47,48
15:36,2099,Jalanni White Offensive Rebound.,47,48
15:34,314,Foul on E.J. Crawford.,47,48
15:34,2099,Official TV Timeout,47,48
15:27,2099,Spencer Foley missed Three Point Jumper.,47,48
15:27,314,Deyshonee Much Defensive Rebound.,47,48
15:14,314,Deyshonee Much missed Layup.,47,48
15:14,314,TK Edogi Offensive Rebound.,47,48
15:12,314,TK Edogi missed Layup.,47,48
15:12,314,Deyshonee Much Offensive Rebound.,47,48
15:08,314,Deyshonee Much missed Two Point Tip Shot.,47,48
15:08,2099,Isaiah Reese Defensive Rebound.,47,48
15:02,2099,Isaiah Reese missed Three Point Jumper.,47,48
15:02,314,Deyshonee Much Defensive Rebound.,47,48
14:58,314,Deyshonee Much Turnover.,47,48
14:57,2099,Jermaine Crumpton Steal.,47,48
14:37,2099,Jermaine Crumpton made Three Point Jumper.,47,51
14:18,314,TK Edogi Turnover.,47,51
14:17,2099,Malik Johnson Steal.,47,51
14:15,2099,Malik Johnson Turnover.,47,51
14:15,314,Deyshonee Much Steal.,47,51
14:15,314,Iona  Timeout,47,51
14:09,2099,Foul on Malik Johnson.,47,51
14:09,314,Rickey McGill missed Free Throw.,47,51
14:09,2099,Takal Molson Defensive Rebound.,47,51
13:48,2099,Takal Molson made Layup.,47,53
13:38,314,E.J. Crawford made Jumper. Assisted by Deyshonee Much.,49,53
13:10,2099,Jermaine Crumpton Turnover.,49,53
13:10,2099,Foul on Jermaine Crumpton.,49,53
12:47,314,Zach Lewis missed Layup.,49,53
12:47,2099,Malik Johnson Defensive Rebound.,49,53
12:27,2099,Malik Johnson Turnover.,49,53
12:25,314,Zach Lewis Steal.,49,53
12:18,314,Deyshonee Much made Three Point Jumper. Assisted by Zach Lewis.,52,53
12:06,2099,Spencer Foley missed Three Point Jumper.,52,53
12:06,314,Deyshonee Much Defensive Rebound.,52,53
11:58,314,Rickey McGill made Three Point Jumper. Assisted by Zach Lewis.,55,53
11:33,314,Foul on Jan Svandrlik.,55,53
11:33,2099,Official TV Timeout,55,53
11:24,2099,Jermaine Crumpton made Layup. Assisted by Isaiah Reese.,55,55
10:54,2099,Foul on Isaiah Reese.,55,55
10:54,314,Rickey McGill missed Free Throw.,55,55
10:54,314,Iona Deadball Team Rebound.,55,55
10:54,314,Rickey McGill missed Free Throw.,55,55
10:54,2099,Takal Molson Defensive Rebound.,55,55
10:35,2099,Isaiah Reese made Jumper.,55,57
10:21,314,Rickey McGill made Layup.,57,57
10:09,2099,Isaiah Reese made Layup.,57,59
9:53,314,Rickey McGill missed Three Point Jumper.,57,59
9:53,2099,Jermaine Crumpton Defensive Rebound.,57,59
9:42,2099,Takal Molson made Layup.,57,61
9:31,2099,Foul on Takal Molson.,57,61
9:31,314,Deyshonee Much made Free Throw.,58,61
9:31,314,Deyshonee Much made Free Throw.,59,61
9:31,314,Deyshonee Much missed Free Throw.,59,61
9:31,2099,Takal Molson Defensive Rebound.,59,61
9:07,2099,Jonathan Sanks missed Jumper.,59,61
9:07,314,Deyshonee Much Defensive Rebound.,59,61
9:04,2099,Foul on Marcale Lotts.,59,61
9:04,314,Roland Griffin made Free Throw.,60,61
9:04,314,Roland Griffin missed Free Throw.,60,61
9:04,2099,Marcale Lotts Defensive Rebound.,60,61
8:48,314,Foul on Schadrac Casimir.,60,61
8:41,2099,Takal Molson made Layup.,60,63
8:41,314,Foul on Rickey McGill.,60,63
8:41,2099,Takal Molson made Free Throw.,60,64
8:17,314,Rickey McGill made Layup.,62,64
7:58,2099,Isaiah Reese missed Three Point Jumper.,62,64
7:58,314,Deyshonee Much Defensive Rebound.,62,64
7:46,314,Deyshonee Much missed Three Point Jumper.,62,64
7:46,2099,Isaiah Reese Defensive Rebound.,62,64
7:38,2099,Isaiah Reese made Layup.,62,66
7:13,314,Schadrac Casimir Turnover.,62,66
7:13,2099,Isaiah Reese Steal.,62,66
7:12,314,Foul on Jan Svandrlik.,62,66
7:12,2099,Official TV Timeout,62,66
7:12,2099,Isaiah Reese made Free Throw.,62,67
7:12,2099,Isaiah Reese made Free Throw.,62,68
6:57,314,Rickey McGill made Layup.,64,68
6:36,2099,Takal Molson missed Three Point Jumper.,64,68
6:36,314,Zach Lewis Defensive Rebound.,64,68
6:23,314,Rickey McGill made Layup.,66,68
5:57,2099,Isaiah Reese missed Three Point Jumper.,66,68
5:57,314,Zach Lewis Defensive Rebound.,66,68
5:44,314,Rickey McGill missed Three Point Jumper.,66,68
5:44,2099,Jermaine Crumpton Defensive Rebound.,66,68
5:30,2099,Jermaine Crumpton made Layup. Assisted by Jonathan Sanks.,66,70
5:30,314,Foul on Rickey McGill.,66,70
5:30,2099,Jermaine Crumpton made Free Throw.,66,71
5:12,314,Roland Griffin made Layup.,68,71
4:58,2099,Isaiah Reese made Layup.,68,73
4:28,314,E.J. Crawford made Layup.,70,73
4:13,2099,Takal Molson made Layup. Assisted by Jermaine Crumpton.,70,75
3:57,314,Roland Griffin missed Three Point Jumper.,70,75
3:57,2099,Isaiah Reese Defensive Rebound.,70,75
3:49,2099,Official TV Timeout,70,75
3:24,2099,Isaiah Reese Turnover.,70,75
3:03,314,Jan Svandrlik missed Three Point Jumper.,70,75
3:03,2099,Takal Molson Defensive Rebound.,70,75
2:38,2099,Jonathan Sanks missed Three Point Jumper.,70,75
2:38,314,Zach Lewis Defensive Rebound.,70,75
2:29,314,Rickey McGill made Layup.,72,75
2:18,2099,Canisius  Timeout,72,75
2:07,2099,Jonathan Sanks made Three Point Jumper. Assisted by Malik Johnson.,72,78
1:57,314,Rickey McGill made Layup.,74,78
1:25,2099,Jermaine Crumpton Turnover.,74,78
1:24,314,Jan Svandrlik Steal.,74,78
1:21,314,Roland Griffin made Layup.,76,78
0:56,2099,Isaiah Reese Turnover.,76,78
0:56,2099,Foul on Isaiah Reese.,76,78
0:56,314,Iona  Timeout,76,78
0:46,314,Rickey McGill missed Layup.,76,78
0:46,2099,Malik Johnson Defensive Rebound.,76,78
0:42,314,Foul on E.J. Crawford.,76,78
0:42,2099,Malik Johnson missed Free Throw.,76,78
0:42,2099,Takal Molson Offensive Rebound.,76,78
0:40,314,Foul on E.J. Crawford.,76,78
0:40,2099,Takal Molson missed Free Throw.,76,78
0:40,2099,Canisius Deadball Team Rebound.,76,78
0:40,2099,Takal Molson made Free Throw.,76,79
0:34,314,Roland Griffin Turnover.,76,79
0:33,2099,Malik Johnson Steal.,76,79
0:28,314,Foul on Roland Griffin.,76,79
0:28,2099,Malik Johnson made Free Throw.,76,80
0:28,2099,Malik Johnson made Free Throw.,76,81
0:24,314,Rickey McGill missed Layup.,76,81
0:24,2099,Malik Johnson Defensive Rebound.,76,81
0:16,2099,Isaiah Reese made Layup. Assisted by Malik Johnson.,76,83
0:11,314,E.J. Crawford made Jumper. Assisted by Rickey McGill.,78,83
0:11,314,Iona  Timeout,78,83
0:10,314,Foul on Zach Lewis.,78,83
0:10,2099,Takal Molson made Free Throw.,78,84
0:10,2099,Takal Molson made Free Throw.,78,85
0:06,314,Rickey McGill missed Three Point Jumper.,78,85
0:06,314,Jan Svandrlik Offensive Rebound.,78,85
0:01,314,Jan Svandrlik missed Two Point Tip Shot.,78,85
0:01,2099,Jonathan Sanks Defensive Rebound.,78,85
0:00,2099,End of Game,78,85
