SE Louisiana,2110,Central Arkansas,2545
11:04,2545,Eddy Polanco made Free Throw.,14,14
10:35,2110,Matthew Mondesir missed Layup.,14,14
10:35,2545,Jordan Capps Defensive Rebound.,14,14
10:18,2545,Keith Charleston Turnover.,14,14
10:17,2110,Ethan Lee Steal.,14,14
10:14,2110,Darraja Parnell made Layup.,14,16
10:13,2545,Foul on Eddy Polanco.,14,16
10:13,2110,Darraja Parnell made Free Throw.,14,17
9:59,2545,Jordan Capps missed Layup.,14,17
9:59,2110,Hayden Koval Block.,14,17
9:57,2110,Mathieu Kamba Defensive Rebound.,14,17
9:52,2110,Darraja Parnell Turnover.,14,17
9:51,2545,Jordan Capps Steal.,14,17
9:48,2545,Jordan Capps made Layup. Assisted by Eddy Polanco.,16,17
9:33,2110,Thatch Unruh missed Three Point Jumper.,16,17
9:33,2545,Jordan Capps Defensive Rebound.,16,17
9:17,2545,Jordan Capps missed Layup.,16,17
9:17,2110,Mathieu Kamba Defensive Rebound.,16,17
9:11,2110,Jordan Howard missed Three Point Jumper.,16,17
9:11,2545,Eddy Polanco Defensive Rebound.,16,17
9:00,2545,Joshua Filmore made Layup. Assisted by Jordan Capps.,18,17
8:35,2110,Darraja Parnell made Three Point Jumper. Assisted by Hayden Koval.,18,20
8:04,2545,Joshua Filmore missed Jumper.,18,20
8:04,2110,Mathieu Kamba Block.,18,20
8:02,2545,SE Louisiana Offensive Rebound.,18,20
8:01,2545,Eddy Polanco missed Three Point Jumper.,18,20
8:01,2545,Moses Greenwood Offensive Rebound.,18,20
7:58,2545,Moses Greenwood made Layup.,20,20
7:58,2110,Foul on Ethan Lee.,20,20
7:58,2545,SE Louisiana  Timeout,20,20
7:58,2545,Moses Greenwood made Free Throw.,21,20
7:40,2110,Thatch Unruh missed Jumper.,21,20
7:40,2110,Mathieu Kamba Offensive Rebound.,21,20
7:38,2110,Mathieu Kamba missed Layup.,21,20
7:38,2545,Moses Greenwood Defensive Rebound.,21,20
7:29,2545,James Currington made Layup. Assisted by Eddy Polanco.,23,20
7:15,2545,Foul on Quinton Thomas.,23,20
7:15,2110,Ethan Lee made Free Throw.,23,21
7:15,2110,Ethan Lee made Free Throw.,23,22
6:53,2545,Moses Greenwood missed Jumper.,23,22
6:53,2545,James Currington Offensive Rebound.,23,22
6:47,2545,James Currington missed Jumper.,23,22
6:47,2110,Thatch Unruh Defensive Rebound.,23,22
6:46,2545,Foul on James Currington.,23,22
6:32,2545,Foul on Marlain Veal.,23,22
6:32,2110,Deandre Jones made Free Throw.,23,23
6:32,2110,Deandre Jones made Free Throw.,23,24
6:16,2110,Foul on Deandre Jones.,23,24
6:16,2545,Marlain Veal made Free Throw.,24,24
6:16,2545,Marlain Veal missed Free Throw.,24,24
6:16,2545,Keith Charleston Offensive Rebound.,24,24
6:07,2545,Keith Charleston made Layup.,26,24
5:55,2110,Jordan Howard missed Layup.,26,24
5:55,2545,Joshua Filmore Defensive Rebound.,26,24
5:24,2545,Marlain Veal missed Jumper.,26,24
5:24,2110,Deandre Jones Defensive Rebound.,26,24
5:20,2110,Mathieu Kamba missed Three Point Jumper.,26,24
5:20,2545,Marlain Veal Defensive Rebound.,26,24
4:57,2545,Jordan Capps made Layup. Assisted by Marlain Veal.,28,24
4:42,2110,Thatch Unruh missed Three Point Jumper.,28,24
4:42,2545,Marlain Veal Defensive Rebound.,28,24
4:29,2110,Foul on Mathieu Kamba.,28,24
4:29,2545,Marlain Veal made Free Throw.,29,24
4:29,2545,Marlain Veal made Free Throw.,30,24
4:04,2110,Hayden Koval made Layup. Assisted by Mathieu Kamba.,30,26
3:57,2545,Joshua Filmore missed Jumper.,30,26
3:57,2545,Keith Charleston Offensive Rebound.,30,26
3:40,2545,Keith Charleston missed Jumper.,30,26
3:40,2110,Hayden Koval Defensive Rebound.,30,26
3:29,2110,Deandre Jones made Three Point Jumper.,30,29
3:02,2545,Keith Charleston made Three Point Jumper. Assisted by Joshua Filmore.,33,29
2:43,2110,Hayden Koval missed Three Point Jumper.,33,29
2:43,2110,Deandre Jones Offensive Rebound.,33,29
2:41,2545,Foul on Keith Charleston.,33,29
2:41,2110,Central Arkansas  Timeout,33,29
2:41,2110,Deandre Jones made Free Throw.,33,30
2:41,2110,Deandre Jones made Free Throw.,33,31
2:27,2545,Moses Greenwood missed Jumper.,33,31
2:27,2110,Hayden Koval Defensive Rebound.,33,31
2:07,2110,Hayden Koval Turnover.,33,31
2:00,2545,Eddy Polanco missed Three Point Jumper.,33,31
2:00,2110,Ethan Lee Defensive Rebound.,33,31
1:43,2110,Jordan Howard missed Jumper.,33,31
1:43,2545,Jordan Capps Defensive Rebound.,33,31
1:40,2545,Jordan Capps Turnover.,33,31
1:18,2110,Ethan Lee Turnover.,33,31
0:37,2545,Jabbar Singleton made Three Point Jumper. Assisted by Jordan Capps.,36,31
0:32,2110,Central Arkansas  Timeout,36,31
0:09,2110,Hayden Koval missed Layup.,36,31
0:09,2545,Quinton Thomas Defensive Rebound.,36,31
0:03,2545,Joshua Filmore missed Three Point Jumper.,36,31
0:03,2110,Central Arkansas Defensive Rebound.,36,31
0:00,2110,End of 1st half,36,31
19:49,2545,Foul on Jordan Capps.,36,31
19:41,2110,Thatch Unruh made Jumper.,36,33
19:25,2545,Jordan Capps missed Layup.,36,33
19:25,2545,SE Louisiana Offensive Rebound.,36,33
19:11,2545,Jordan Capps missed Layup.,36,33
19:11,2110,Hayden Koval Defensive Rebound.,36,33
19:03,2545,Foul on Jabbar Singleton.,36,33
19:03,2110,Ethan Lee made Free Throw.,36,34
19:03,2110,Ethan Lee missed Free Throw.,36,34
19:03,2545,Jordan Capps Defensive Rebound.,36,34
18:59,2545,Jabbar Singleton missed Layup.,36,34
18:59,2110,Mathieu Kamba Block.,36,34
18:57,2110,Ethan Lee Defensive Rebound.,36,34
18:44,2110,Foul on Ethan Lee.,36,34
18:44,2110,Ethan Lee Turnover.,36,34
18:36,2545,Joshua Filmore missed Three Point Jumper.,36,34
18:36,2110,Hayden Koval Defensive Rebound.,36,34
18:06,2110,Ethan Lee missed Jumper.,36,34
18:06,2110,Ethan Lee Offensive Rebound.,36,34
18:04,2110,Ethan Lee made Layup.,36,36
17:37,2545,Jordan Capps made Three Point Jumper. Assisted by James Currington.,39,36
17:15,2110,Thatch Unruh missed Three Point Jumper.,39,36
17:15,2545,James Currington Defensive Rebound.,39,36
17:01,2545,Joshua Filmore missed Three Point Jumper.,39,36
17:01,2110,Mathieu Kamba Defensive Rebound.,39,36
16:53,2110,Jordan Howard made Layup. Assisted by Mathieu Kamba.,39,38
16:22,2545,Marlain Veal made Jumper.,41,38
16:09,2110,Thatch Unruh missed Three Point Jumper.,41,38
16:09,2545,James Currington Defensive Rebound.,41,38
15:58,2545,Jabbar Singleton missed Layup.,41,38
15:58,2110,Mathieu Kamba Defensive Rebound.,41,38
15:45,2110,Tanner Schmit missed Jumper.,41,38
15:45,2545,James Currington Defensive Rebound.,41,38
15:27,2545,Joshua Filmore made Jumper.,43,38
15:12,2110,Mathieu Kamba missed Three Point Jumper.,43,38
15:12,2545,Jordan Capps Defensive Rebound.,43,38
15:02,2545,Joshua Filmore missed Three Point Jumper.,43,38
15:02,2545,SE Louisiana Offensive Rebound.,43,38
14:58,2545,SE Louisiana  Timeout,43,38
14:30,2545,Eddy Polanco Turnover.,43,38
14:29,2110,Jordan Howard Steal.,43,38
14:09,2545,Foul on James Currington.,43,38
13:59,2110,Jordan Howard made Jumper. Assisted by Mathieu Kamba.,43,40
13:44,2545,Eddy Polanco missed Jumper.,43,40
13:44,2110,Deandre Jones Block.,43,40
13:43,2110,Deandre Jones Defensive Rebound.,43,40
13:37,2110,Jordan Howard missed Three Point Jumper.,43,40
13:37,2110,Deandre Jones Offensive Rebound.,43,40
13:33,2110,Tanner Schmit made Jumper. Assisted by Deandre Jones.,43,42
13:11,2545,Foul on Eddy Polanco.,43,42
13:11,2545,Eddy Polanco Turnover.,43,42
12:58,2110,Ethan Lee missed Layup.,43,42
12:58,2545,Marlain Veal Defensive Rebound.,43,42
12:39,2545,Moses Greenwood made Jumper. Assisted by Keith Charleston.,45,42
12:31,2110,Jordan Howard made Three Point Jumper.,45,45
12:20,2545,Keith Charleston Turnover.,45,45
12:03,2110,Thatch Unruh Turnover.,45,45
12:02,2545,Jabbar Singleton Steal.,45,45
11:53,2110,Foul on Hayden Koval.,45,45
11:53,2545,SE Louisiana  Timeout,45,45
11:41,2545,Joshua Filmore missed Three Point Jumper.,45,45
11:41,2110,Hayden Koval Defensive Rebound.,45,45
11:40,2545,Foul on Keith Charleston.,45,45
11:20,2110,Ethan Lee missed Jumper.,45,45
11:20,2545,Moses Greenwood Defensive Rebound.,45,45
11:07,2545,Keith Charleston missed Layup.,45,45
10:44,2545,Keith Charleston Offensive Rebound.,45,45
10:38,2545,Marlain Veal made Layup.,47,45
10:28,2545,Foul on Moses Greenwood.,47,45
10:26,2110,Deandre Jones made Free Throw.,47,46
10:26,2110,Deandre Jones made Free Throw.,47,47
10:06,2545,Marlain Veal missed Jumper.,47,47
10:06,2545,Moses Greenwood Offensive Rebound.,47,47
10:06,2110,Foul on Hayden Koval.,47,47
10:06,2545,Moses Greenwood made Free Throw.,48,47
10:06,2545,Moses Greenwood made Free Throw.,49,47
9:51,2110,Hayden Koval made Three Point Jumper. Assisted by Jordan Howard.,49,50
9:30,2545,Eddy Polanco made Three Point Jumper. Assisted by Keith Charleston.,52,50
9:26,2545,SE Louisiana  Timeout,52,50
9:18,2110,Hayden Koval Turnover.,52,50
9:00,2545,Eddy Polanco made Layup.,54,50
8:46,2110,Mathieu Kamba Turnover.,54,50
8:45,2545,Jabbar Singleton Steal.,54,50
8:43,2545,Jabbar Singleton made Layup.,56,50
8:33,2110,Central Arkansas  Timeout,56,50
8:33,2110,Central Arkansas  Timeout,56,50
8:20,2110,Deandre Jones made Jumper.,56,52
8:07,2545,Jabbar Singleton missed Three Point Jumper.,56,52
8:07,2545,Moses Greenwood Offensive Rebound.,56,52
8:04,2545,Moses Greenwood made Jumper.,58,52
8:04,2110,Foul on Hayden Koval.,58,52
8:04,2545,Moses Greenwood made Free Throw.,59,52
7:46,2545,Foul on Jabbar Singleton.,59,52
7:46,2110,Thatch Unruh made Free Throw.,59,53
7:46,2110,Thatch Unruh made Free Throw.,59,54
7:33,2545,Keith Charleston made Three Point Jumper. Assisted by Marlain Veal.,62,54
7:24,2545,Foul on Keith Charleston.,62,54
7:23,2110,Jordan Howard made Free Throw.,62,55
7:23,2110,Jordan Howard made Free Throw.,62,56
6:58,2545,Moses Greenwood missed Layup.,62,56
6:58,2545,Moses Greenwood Offensive Rebound.,62,56
6:53,2545,Eddy Polanco missed Three Point Jumper.,62,56
6:53,2545,Moses Greenwood Offensive Rebound.,62,56
6:49,2545,Moses Greenwood missed Layup.,62,56
6:49,2545,SE Louisiana Offensive Rebound.,62,56
6:34,2110,Foul on Deandre Jones.,62,56
6:32,2545,Keith Charleston missed Layup.,62,56
6:32,2110,Mathieu Kamba Block.,62,56
6:31,2110,Central Arkansas Defensive Rebound.,62,56
6:21,2545,Foul on Eddy Polanco.,62,56
6:21,2110,Thatch Unruh made Free Throw.,62,57
6:21,2110,Thatch Unruh made Free Throw.,62,58
6:21,2545,Keith Charleston missed Three Point Jumper.,62,58
6:21,2545,Moses Greenwood Offensive Rebound.,62,58
5:51,2110,Foul on Thatch Unruh.,62,58
5:51,2545,Eddy Polanco made Free Throw.,63,58
5:51,2545,Eddy Polanco made Free Throw.,64,58
5:32,2110,Tanner Schmit made Layup. Assisted by Jordan Howard.,64,60
4:58,2545,Marlain Veal missed Three Point Jumper.,64,60
4:58,2110,Deandre Jones Block.,64,60
4:58,2110,Central Arkansas Defensive Rebound.,64,60
4:45,2110,Ethan Lee missed Layup.,64,60
4:45,2545,James Currington Defensive Rebound.,64,60
4:45,2110,Foul on Ethan Lee.,64,60
4:45,2545,James Currington missed Free Throw.,64,60
4:45,2110,Ethan Lee Defensive Rebound.,64,60
4:45,2110,Thatch Unruh missed Layup.,64,60
4:45,2545,James Currington Defensive Rebound.,64,60
4:16,2110,Foul on Deandre Jones.,64,60
4:16,2545,James Currington missed Free Throw.,64,60
4:16,2545,SE Louisiana Deadball Team Rebound.,64,60
4:16,2545,James Currington missed Free Throw.,64,60
4:16,2110,Hayden Koval Defensive Rebound.,64,60
4:16,2110,Mathieu Kamba Turnover.,64,60
4:16,2545,James Currington Steal.,64,60
3:57,2545,Joshua Filmore made Three Point Jumper. Assisted by Marlain Veal.,67,60
3:39,2110,Ethan Lee made Layup. Assisted by Thatch Unruh.,67,62
3:17,2545,Moses Greenwood made Jumper.,69,62
3:00,2110,Thatch Unruh missed Jumper.,69,62
3:00,2110,Ethan Lee Offensive Rebound.,69,62
2:59,2545,Foul on Moses Greenwood.,69,62
2:59,2110,Central Arkansas  Timeout,69,62
2:59,2110,Ethan Lee missed Free Throw.,69,62
2:59,2110,Central Arkansas Deadball Team Rebound.,69,62
2:59,2110,Ethan Lee missed Free Throw.,69,62
2:59,2110,Central Arkansas Offensive Rebound.,69,62
2:51,2110,Hayden Koval missed Jumper.,69,62
2:51,2545,Moses Greenwood Defensive Rebound.,69,62
2:34,2545,Eddy Polanco missed Three Point Jumper.,69,62
2:34,2110,Mathieu Kamba Defensive Rebound.,69,62
2:24,2545,Foul on Joshua Filmore.,69,62
2:24,2110,Jordan Howard made Free Throw.,69,63
2:24,2110,Jordan Howard made Free Throw.,69,64
2:09,2110,Foul on Hayden Koval.,69,64
2:09,2545,Marlain Veal made Free Throw.,70,64
2:09,2545,Marlain Veal made Free Throw.,71,64
1:57,2110,Hayden Koval missed Three Point Jumper.,71,64
1:57,2545,Jabbar Singleton Defensive Rebound.,71,64
1:52,2110,Foul on Mathieu Kamba.,71,64
1:52,2545,Jabbar Singleton missed Free Throw.,71,64
1:52,2545,SE Louisiana Deadball Team Rebound.,71,64
1:52,2545,Jabbar Singleton missed Free Throw.,71,64
1:52,2110,Thatch Unruh Defensive Rebound.,71,64
1:44,2110,Hayden Koval missed Three Point Jumper.,71,64
1:44,2110,Mathieu Kamba Offensive Rebound.,71,64
1:37,2545,Foul on Jordan Capps.,71,64
1:37,2110,Hayden Koval missed Free Throw.,71,64
1:37,2110,Central Arkansas Deadball Team Rebound.,71,64
1:37,2110,Hayden Koval missed Free Throw.,71,64
1:37,2545,Marlain Veal Defensive Rebound.,71,64
1:06,2545,Joshua Filmore missed Three Point Jumper.,71,64
1:06,2110,Ethan Lee Defensive Rebound.,71,64
0:53,2110,Central Arkansas  Timeout,71,64
0:41,2110,Thatch Unruh missed Layup.,71,64
0:41,2545,James Currington Defensive Rebound.,71,64
0:36,2110,Foul on Thatch Unruh.,71,64
0:36,2545,Marlain Veal missed Free Throw.,71,64
0:36,2545,SE Louisiana Deadball Team Rebound.,71,64
0:36,2545,Marlain Veal missed Free Throw.,71,64
0:36,2110,Hayden Koval Defensive Rebound.,71,64
0:36,2545,Foul on Keith Charleston.,71,64
0:36,2110,Hayden Koval made Free Throw.,71,65
0:36,2110,Hayden Koval made Free Throw.,71,66
0:35,2545,Keith Charleston Turnover.,71,66
0:33,2110,Thatch Unruh Steal.,71,66
0:31,2545,Foul on Keith Charleston.,71,66
0:31,2110,Thatch Unruh made Free Throw.,71,67
0:31,2110,Thatch Unruh missed Free Throw.,71,67
0:31,2110,Central Arkansas Deadball Team Rebound.,71,67
0:29,2545,Marlain Veal missed Layup.,71,67
0:29,2110,Matthew Mondesir Block.,71,67
0:28,2110,Ethan Lee Defensive Rebound.,71,67
0:23,2110,Darraja Parnell missed Layup.,71,67
0:23,2110,Darraja Parnell Offensive Rebound.,71,67
0:21,2545,Foul on Moses Greenwood.,71,67
0:21,2110,Darraja Parnell missed Free Throw.,71,67
0:21,2110,Central Arkansas Deadball Team Rebound.,71,67
0:21,2110,Darraja Parnell missed Free Throw.,71,67
0:21,2545,Eddy Polanco Defensive Rebound.,71,67
0:20,2110,Foul on Ethan Lee.,71,67
0:20,2545,Eddy Polanco made Free Throw.,72,67
0:20,2545,Eddy Polanco missed Free Throw.,72,67
0:20,2110,Jordan Howard Defensive Rebound.,72,67
0:12,2110,Jordan Howard missed Three Point Jumper.,72,67
0:12,2110,Mathieu Kamba Offensive Rebound.,72,67
0:10,2110,Mathieu Kamba missed Jumper.,72,67
0:10,2110,Deandre Jones Offensive Rebound.,72,67
0:07,2110,Central Arkansas  Timeout,72,67
0:06,2110,Mathieu Kamba made Layup.,72,69
0:02,2110,Foul on Deandre Jones.,72,69
0:02,2545,Marlain Veal missed Free Throw.,72,69
0:02,2545,SE Louisiana Deadball Team Rebound.,72,69
0:02,2545,Marlain Veal made Free Throw.,73,69
0:02,2545,SE Louisiana  Timeout,73,69
0:00,2110,Matthew Mondesir missed Three Point Jumper.,73,69
0:00,2110,Central Arkansas Deadball Team Rebound.,73,69
0:00,2110,End of Game,73,69
