Eastern Washington,155,North Dakota,331
3:24,155,Tray Buchanan Turnover.,34,26
3:23,331,Ty Gibson Steal.,34,26
3:21,331,Sir Washington Turnover.,34,26
2:56,155,Jafar Kinsey missed Three Point Jumper.,34,26
2:56,331,Jesse Hunt Defensive Rebound.,34,26
2:28,331,Jesse Hunt made Layup.,36,26
2:08,155,Jafar Kinsey Turnover.,36,26
1:48,331,Sir Washington made Layup. Assisted by Jesse Hunt.,38,26
1:40,155,Tray Buchanan missed Three Point Jumper.,38,26
1:40,331,Jacob Davison Defensive Rebound.,38,26
1:22,331,Bogdan Bliznyuk made Jumper.,40,26
0:56,155,Conner Avants missed Jumper.,40,26
0:56,331,Jesse Hunt Defensive Rebound.,40,26
0:37,331,Bogdan Bliznyuk made Jumper.,42,26
0:20,155,North Dakota  Timeout,42,26
0:04,155,Conner Avants made Layup. Assisted by Dale Jones.,42,28
0:00,155,End of 1st half,42,28
19:46,331,Jack Perry Turnover.,42,28
19:45,155,Geno Crandall Steal.,42,28
19:33,155,Conner Avants made Jumper. Assisted by Geno Crandall.,42,30
19:21,331,Jack Perry missed Jumper.,42,30
19:21,331,Cody Benzel Offensive Rebound.,42,30
19:10,331,Bogdan Bliznyuk Turnover.,42,30
19:09,155,Dale Jones Steal.,42,30
18:57,331,Foul on Jesse Hunt.,42,30
18:57,155,Conner Avants made Free Throw.,42,31
18:57,155,Conner Avants missed Free Throw.,42,31
18:57,331,Bogdan Bliznyuk Defensive Rebound.,42,31
18:43,155,Foul on Dale Jones.,42,31
18:36,331,Jesse Hunt missed Jumper.,42,31
18:36,155,Marlon Stewart Defensive Rebound.,42,31
18:23,331,Foul on Jesse Hunt.,42,31
18:20,155,Geno Crandall made Layup.,42,33
18:06,331,Bogdan Bliznyuk missed Three Point Jumper.,42,33
18:06,155,Geno Crandall Defensive Rebound.,42,33
17:58,155,Conner Avants missed Jumper.,42,33
17:58,331,Bogdan Bliznyuk Block.,42,33
17:56,331,Jesse Hunt Defensive Rebound.,42,33
17:51,331,Bogdan Bliznyuk missed Jumper.,42,33
17:51,331,Jesse Hunt Offensive Rebound.,42,33
17:46,331,Jack Perry missed Three Point Jumper.,42,33
17:46,331,Jesse Hunt Offensive Rebound.,42,33
17:28,331,Jesse Hunt made Jumper.,44,33
17:16,155,Dale Jones missed Three Point Jumper.,44,33
17:16,331,Cody Benzel Defensive Rebound.,44,33
16:55,331,Bogdan Bliznyuk missed Three Point Jumper.,44,33
16:55,155,Dale Jones Defensive Rebound.,44,33
16:55,331,Foul on Jesse Hunt.,44,33
16:32,155,Marlon Stewart Turnover.,44,33
16:31,331,Bogdan Bliznyuk Steal.,44,33
16:23,331,Cody Benzel missed Three Point Jumper.,44,33
16:23,155,Dale Jones Defensive Rebound.,44,33
16:07,155,Marlon Stewart missed Three Point Jumper.,44,33
16:07,331,Jesse Hunt Defensive Rebound.,44,33
15:48,331,Jesse Hunt made Three Point Jumper. Assisted by Jack Perry.,47,33
15:23,155,Cortez Seales missed Jumper.,47,33
15:23,331,Cody Benzel Defensive Rebound.,47,33
14:52,331,Bogdan Bliznyuk missed Three Point Jumper.,47,33
14:51,155,Dale Jones Defensive Rebound.,47,33
14:48,155,Dale Jones Turnover.,47,33
14:39,155,Foul on Conner Avants.,47,33
14:39,331,Bogdan Bliznyuk made Free Throw.,48,33
14:39,331,Bogdan Bliznyuk missed Free Throw.,48,33
14:39,155,Conner Avants Defensive Rebound.,48,33
14:24,155,Conner Avants made Dunk. Assisted by Tray Buchanan.,48,35
13:48,331,Bogdan Bliznyuk Turnover.,48,35
13:32,155,Billy Brown made Three Point Jumper. Assisted by Dale Jones.,48,38
12:57,331,Eastern Washington  Turnover.,48,38
12:57,331,Ty Gibson missed Layup.,48,38
12:57,155,Dale Jones Block.,48,38
12:56,331,Eastern Washington Offensive Rebound.,48,38
12:35,155,Dale Jones made Three Point Jumper. Assisted by Tray Buchanan.,48,41
12:13,331,Foul on Sir Washington.,48,41
11:53,155,Tray Buchanan missed Jumper.,48,41
11:53,331,Eastern Washington Defensive Rebound.,48,41
11:53,155,Official TV Timeout,48,41
11:40,331,Ty Gibson made Jumper.,50,41
11:23,155,Billy Brown made Three Point Jumper. Assisted by Tray Buchanan.,50,44
11:03,331,Jacob Davison Turnover.,50,44
11:03,155,Geno Crandall Steal.,50,44
11:03,331,Foul on Sir Washington.,50,44
10:38,155,Tray Buchanan made Three Point Jumper. Assisted by Conner Avants.,50,47
10:10,331,Bogdan Bliznyuk missed Jumper.,50,47
10:10,155,Dale Jones Defensive Rebound.,50,47
9:55,155,Dale Jones Turnover.,50,47
9:54,331,Jacob Davison Steal.,50,47
9:37,155,Foul on Dale Jones.,50,47
9:32,331,Bogdan Bliznyuk Turnover.,50,47
9:18,155,Tray Buchanan Turnover.,50,47
9:18,331,Jacob Davison Steal.,50,47
9:15,155,Foul on Tray Buchanan.,50,47
9:02,331,Bogdan Bliznyuk made Three Point Jumper. Assisted by Jack Perry.,53,47
8:43,155,Geno Crandall missed Jumper.,53,47
8:43,155,Conner Avants Offensive Rebound.,53,47
8:10,155,Dale Jones missed Three Point Jumper.,53,47
8:10,331,Jacob Davison Defensive Rebound.,53,47
7:54,331,Foul on Jacob Davison.,53,47
7:54,331,Jacob Davison Turnover.,53,47
7:44,155,Geno Crandall Turnover.,53,47
7:44,331,Cody Benzel Steal.,53,47
7:31,331,Bogdan Bliznyuk made Layup.,55,47
7:31,155,Foul on Conner Avants.,55,47
7:31,331,Bogdan Bliznyuk made Free Throw.,56,47
7:18,155,Dale Jones missed Jumper.,56,47
7:18,331,Jesse Hunt Defensive Rebound.,56,47
7:00,331,Bogdan Bliznyuk made Jumper.,58,47
6:59,155,North Dakota  Timeout,58,47
6:41,155,Geno Crandall missed Three Point Jumper.,58,47
6:41,331,Bogdan Bliznyuk Defensive Rebound.,58,47
6:23,331,Bogdan Bliznyuk missed Three Point Jumper.,58,47
6:23,155,Geno Crandall Defensive Rebound.,58,47
6:16,155,Foul on Geno Crandall.,58,47
6:16,155,Geno Crandall Turnover.,58,47
5:53,331,Bogdan Bliznyuk made Layup.,60,47
5:43,155,Conner Avants Turnover.,60,47
5:42,331,Jack Perry Steal.,60,47
5:18,331,Bogdan Bliznyuk made Jumper.,62,47
5:08,331,Foul on Jesse Hunt.,62,47
5:08,155,Conner Avants made Free Throw.,62,48
5:08,155,Conner Avants made Free Throw.,62,49
4:49,331,Bogdan Bliznyuk made Jumper.,64,49
4:38,155,Geno Crandall Turnover.,64,49
4:36,331,Bogdan Bliznyuk Steal.,64,49
4:35,331,Jesse Hunt missed Layup.,64,49
4:35,155,Dale Jones Defensive Rebound.,64,49
4:20,155,Geno Crandall Turnover.,64,49
4:19,331,Jesse Hunt Steal.,64,49
3:56,331,Bogdan Bliznyuk Turnover.,64,49
3:56,155,Conner Avants Steal.,64,49
3:56,155,Official TV Timeout,64,49
3:49,155,Marlon Stewart Turnover.,64,49
3:48,331,Cody Benzel Steal.,64,49
3:20,331,Cody Benzel made Three Point Jumper. Assisted by Bogdan Bliznyuk.,67,49
3:09,331,Foul on Jesse Hunt.,67,49
3:09,155,Marlon Stewart made Free Throw.,67,50
3:09,155,Marlon Stewart made Free Throw.,67,51
2:54,331,Jack Perry Turnover.,67,51
2:54,155,Dale Jones made Layup. Assisted by Marlon Stewart.,67,53
2:45,331,Richard Polanco Turnover.,67,53
2:45,155,Marlon Stewart Steal.,67,53
2:43,155,Marlon Stewart missed Jumper.,67,53
2:43,155,Dale Jones Offensive Rebound.,67,53
2:40,155,Dale Jones made Jumper.,67,55
2:34,331,Eastern Washington  Timeout,67,55
2:27,331,Sir Washington missed Layup.,67,55
2:27,155,Conner Avants Defensive Rebound.,67,55
2:19,155,Marlon Stewart made Layup.,67,57
1:47,331,Cody Benzel missed Three Point Jumper.,67,57
1:47,155,Conner Avants Defensive Rebound.,67,57
1:42,331,Foul on Cody Benzel.,67,57
1:42,155,Marlon Stewart made Free Throw.,67,58
1:42,155,Marlon Stewart made Free Throw.,67,59
1:31,155,Foul on Billy Brown.,67,59
1:31,331,Bogdan Bliznyuk made Free Throw.,68,59
1:31,331,Bogdan Bliznyuk made Free Throw.,69,59
1:26,155,Marlon Stewart Turnover.,69,59
1:14,331,Eastern Washington  Timeout,69,59
1:14,331,Eastern Washington  Timeout,69,59
1:11,331,Richard Polanco made Free Throw.,70,59
1:11,331,Richard Polanco made Free Throw.,71,59
0:59,155,Marlon Stewart missed Layup.,71,59
0:59,331,Bogdan Bliznyuk Defensive Rebound.,71,59
0:52,331,Sir Washington made Layup. Assisted by Ty Gibson.,73,59
0:45,155,Tray Buchanan made Three Point Jumper. Assisted by Marlon Stewart.,73,62
0:40,155,Foul on Tray Buchanan.,73,62
0:40,331,Sir Washington made Free Throw.,74,62
0:40,331,Sir Washington made Free Throw.,75,62
0:33,155,Marlon Stewart made Layup.,75,64
0:29,155,Foul on Dale Jones.,75,64
0:29,331,Cody Benzel made Free Throw.,76,64
0:29,331,Cody Benzel made Free Throw.,77,64
0:22,155,Kienan Walter Turnover.,77,64
0:20,331,Sir Washington Steal.,77,64
0:00,155,End of Game,77,64
