Tulsa,2655,Tulane,202
14:36,2655,Melvin Frazier missed Free Throw.,5,3
14:36,2655,Tulane Deadball Team Rebound.,5,3
14:36,2655,Melvin Frazier made Free Throw.,5,4
14:17,202,Junior Etou missed Layup.,5,4
14:17,2655,Blake Paul Block.,5,4
14:15,2655,Jordan Cornish Defensive Rebound.,5,4
14:10,2655,Melvin Frazier missed Three Point Jumper.,5,4
14:10,202,Junior Etou Defensive Rebound.,5,4
13:56,2655,Foul on Melvin Frazier.,5,4
13:46,202,Geno Artison Turnover.,5,4
13:29,2655,Samir Sehic made Layup. Assisted by Jordan Cornish.,5,6
13:14,2655,Foul on Blake Paul.,5,6
13:14,202,Curran Scott made Free Throw.,6,6
13:14,202,Curran Scott made Free Throw.,7,6
12:53,2655,Jordan Cornish Turnover.,7,6
12:53,202,Curran Scott Steal.,7,6
12:49,202,Elijah Joiner Turnover.,7,6
12:27,2655,Samir Sehic made Layup. Assisted by Caleb Daniels.,7,8
12:27,202,Foul on Geno Artison.,7,8
12:27,2655,Samir Sehic missed Free Throw.,7,8
12:27,202,Martins Igbanu Defensive Rebound.,7,8
12:14,202,Jaleel Wheeler made Layup. Assisted by Curran Scott.,9,8
11:44,2655,Samir Sehic missed Layup.,9,8
11:44,202,Jaleel Wheeler Defensive Rebound.,9,8
11:34,2655,Foul on Cameron Reynolds.,9,8
11:34,2655,Official TV Timeout,9,8
11:34,202,Curran Scott made Free Throw.,10,8
11:34,202,Curran Scott missed Free Throw.,10,8
11:34,202,Martins Igbanu Offensive Rebound.,10,8
11:24,2655,Foul on Samir Sehic.,10,8
11:12,2655,Foul on Ray Ona Embo.,10,8
11:05,202,Curran Scott missed Layup.,10,8
11:05,2655,Colin Slater Defensive Rebound.,10,8
10:48,2655,Caleb Daniels missed Layup.,10,8
10:48,202,Sterling Taplin Defensive Rebound.,10,8
10:45,202,Sterling Taplin Turnover.,10,8
10:37,2655,Caleb Daniels made Three Point Jumper. Assisted by Cameron Reynolds.,10,11
10:17,202,Martins Igbanu made Three Point Jumper. Assisted by Elijah Joiner.,13,11
9:59,2655,Colin Slater made Jumper.,13,13
9:39,202,Junior Etou made Jumper.,15,13
9:16,2655,Foul on Samir Sehic.,15,13
9:16,2655,Samir Sehic Turnover.,15,13
8:52,202,Junior Etou made Layup.,17,13
8:28,2655,Cameron Reynolds Turnover.,17,13
8:28,202,Elijah Joiner Steal.,17,13
8:22,202,Lawson Korita missed Three Point Jumper.,17,13
8:22,2655,Cameron Reynolds Defensive Rebound.,17,13
8:14,2655,Colin Slater made Layup.,17,15
7:53,2655,Foul on Caleb Daniels.,17,15
7:53,2655,Official TV Timeout,17,15
7:53,202,Junior Etou made Free Throw.,18,15
7:53,202,Junior Etou missed Free Throw.,18,15
7:53,2655,Blake Paul Defensive Rebound.,18,15
7:40,202,Foul on Martins Igbanu.,18,15
7:26,2655,Colin Slater missed Three Point Jumper.,18,15
7:26,202,Geno Artison Defensive Rebound.,18,15
7:01,202,Martins Igbanu missed Layup.,18,15
7:01,2655,Blake Paul Defensive Rebound.,18,15
6:49,2655,Cameron Reynolds missed Three Point Jumper.,18,15
6:49,202,Tulsa Defensive Rebound.,18,15
6:28,202,Corey Henderson Jr. missed Three Point Jumper.,18,15
6:28,202,Jaleel Wheeler Offensive Rebound.,18,15
6:18,202,Junior Etou missed Three Point Jumper.,18,15
6:18,202,Jaleel Wheeler Offensive Rebound.,18,15
6:03,202,Jaleel Wheeler missed Layup.,18,15
6:03,202,Jaleel Wheeler Offensive Rebound.,18,15
5:41,202,Corey Henderson Jr. missed Layup.,18,15
5:41,2655,Tulane Defensive Rebound.,18,15
5:40,202,Foul on Junior Etou.,18,15
5:30,2655,Cameron Reynolds made Layup. Assisted by Bul Ajang.,18,17
5:30,202,Foul on Corey Henderson Jr..,18,17
5:30,2655,Cameron Reynolds made Free Throw.,18,18
5:16,202,Martins Igbanu missed Layup.,18,18
5:16,2655,Bul Ajang Defensive Rebound.,18,18
4:59,2655,Melvin Frazier missed Layup.,18,18
4:59,2655,Caleb Daniels Offensive Rebound.,18,18
4:45,2655,Caleb Daniels Turnover.,18,18
4:32,202,Geno Artison missed Three Point Jumper.,18,18
4:32,2655,Tulane Defensive Rebound.,18,18
4:30,202,Foul on Martins Igbanu.,18,18
4:30,2655,Bul Ajang made Free Throw.,18,19
4:30,2655,Bul Ajang made Free Throw.,18,20
4:11,202,Curran Scott missed Jumper.,18,20
4:11,202,Martins Igbanu Offensive Rebound.,18,20
4:07,202,Martins Igbanu made Layup.,20,20
3:57,2655,Jordan Cornish Turnover.,20,20
3:56,202,Curran Scott Steal.,20,20
3:53,202,Sterling Taplin missed Layup.,20,20
3:53,2655,Jordan Cornish Block.,20,20
3:52,202,Curran Scott Offensive Rebound.,20,20
3:52,2655,Foul on Cameron Reynolds.,20,20
3:52,2655,Official TV Timeout,20,20
3:52,202,Curran Scott made Free Throw.,21,20
3:52,202,Curran Scott made Free Throw.,22,20
3:27,2655,Caleb Daniels missed Three Point Jumper.,22,20
3:27,202,Geno Artison Defensive Rebound.,22,20
3:09,202,Sterling Taplin made Layup.,24,20
2:39,2655,Bul Ajang Turnover.,24,20
2:38,202,Sterling Taplin Steal.,24,20
2:24,202,Curran Scott made Three Point Jumper. Assisted by Lawson Korita.,27,20
2:20,2655,Tulane  Timeout,27,20
1:56,2655,Colin Slater missed Three Point Jumper.,27,20
1:56,202,Sterling Taplin Defensive Rebound.,27,20
1:44,202,Geno Artison missed Layup.,27,20
1:44,2655,Tulane Defensive Rebound.,27,20
1:21,2655,Jordan Cornish made Three Point Jumper. Assisted by Ray Ona Embo.,27,23
1:10,202,Elijah Joiner missed Three Point Jumper.,27,23
1:10,2655,Blake Paul Defensive Rebound.,27,23
0:57,2655,Ray Ona Embo missed Three Point Jumper.,27,23
0:57,2655,Caleb Daniels Offensive Rebound.,27,23
0:55,2655,Caleb Daniels missed Two Point Tip Shot.,27,23
0:55,202,Curran Scott Defensive Rebound.,27,23
0:38,202,Sterling Taplin missed Three Point Jumper.,27,23
0:38,202,Geno Artison Offensive Rebound.,27,23
0:33,202,Tulsa  Timeout,27,23
0:11,202,Geno Artison missed Three Point Jumper.,27,23
0:11,2655,Caleb Daniels Defensive Rebound.,27,23
0:01,2655,Jordan Cornish Turnover.,27,23
0:00,2655,End of 1st half,27,23
19:45,2655,Blake Paul made Layup. Assisted by Cameron Reynolds.,27,25
19:33,202,Lawson Korita made Layup. Assisted by Junior Etou.,29,25
19:11,2655,Melvin Frazier made Layup. Assisted by Blake Paul.,29,27
18:53,202,Junior Etou missed Layup.,29,27
18:53,2655,Blake Paul Block.,29,27
18:51,2655,Cameron Reynolds Defensive Rebound.,29,27
18:41,2655,Cameron Reynolds made Jumper.,29,29
18:18,202,Corey Henderson Jr. missed Three Point Jumper.,29,29
18:18,202,Junior Etou Offensive Rebound.,29,29
17:57,2655,Foul on Blake Paul.,29,29
17:47,202,Martins Igbanu made Layup. Assisted by Lawson Korita.,31,29
17:22,2655,Ray Ona Embo missed Three Point Jumper.,31,29
17:22,202,Lawson Korita Defensive Rebound.,31,29
17:14,2655,Foul on Ray Ona Embo.,31,29
17:08,202,Sterling Taplin missed Jumper.,31,29
17:08,2655,Cameron Reynolds Defensive Rebound.,31,29
16:53,2655,Melvin Frazier missed Jumper.,31,29
16:53,202,Lawson Korita Defensive Rebound.,31,29
16:44,202,Lawson Korita missed Three Point Jumper.,31,29
16:44,2655,Ray Ona Embo Defensive Rebound.,31,29
16:35,2655,Cameron Reynolds made Three Point Jumper. Assisted by Jordan Cornish.,31,32
16:16,202,Sterling Taplin missed Layup.,31,32
16:16,2655,Blake Paul Block.,31,32
16:16,202,Tulsa Offensive Rebound.,31,32
16:08,202,Curran Scott missed Layup.,31,32
16:08,202,Junior Etou Offensive Rebound.,31,32
16:05,202,Junior Etou made Layup.,33,32
15:53,2655,Blake Paul missed Jumper.,33,32
15:53,202,Corey Henderson Jr. Defensive Rebound.,33,32
15:43,2655,Official TV Timeout,33,32
15:33,202,Sterling Taplin Turnover.,33,32
15:12,2655,Ray Ona Embo missed Jumper.,33,32
15:12,202,Corey Henderson Jr. Defensive Rebound.,33,32
14:57,202,Junior Etou made Jumper.,35,32
14:41,202,Foul on Martins Igbanu.,35,32
14:40,2655,Cameron Reynolds made Three Point Jumper. Assisted by Ray Ona Embo.,35,35
14:18,202,Junior Etou made Three Point Jumper. Assisted by Curran Scott.,38,35
14:01,2655,Jordan Cornish missed Jumper.,38,35
14:01,2655,Jordan Cornish Offensive Rebound.,38,35
13:55,202,Foul on Junior Etou.,38,35
13:55,2655,Samir Sehic made Free Throw.,38,36
13:55,2655,Samir Sehic missed Free Throw.,38,36
13:55,202,Martins Igbanu Defensive Rebound.,38,36
13:40,202,Curran Scott missed Jumper.,38,36
13:40,2655,Melvin Frazier Defensive Rebound.,38,36
13:19,2655,Cameron Reynolds missed Three Point Jumper.,38,36
13:19,202,Curran Scott Defensive Rebound.,38,36
13:07,202,Martins Igbanu made Jumper.,40,36
12:49,2655,Jordan Cornish missed Layup.,40,36
12:49,202,Geno Artison Defensive Rebound.,40,36
12:27,202,Martins Igbanu made Layup. Assisted by Sterling Taplin.,42,36
12:19,202,Foul on Geno Artison.,42,36
12:19,2655,Melvin Frazier missed Free Throw.,42,36
12:19,2655,Tulane Deadball Team Rebound.,42,36
12:19,2655,Melvin Frazier made Free Throw.,42,37
12:07,202,Geno Artison missed Three Point Jumper.,42,37
12:07,2655,Ray Ona Embo Defensive Rebound.,42,37
11:59,202,Foul on Geno Artison.,42,37
11:59,2655,Official TV Timeout,42,37
11:58,2655,Cameron Reynolds missed Three Point Jumper.,42,37
11:58,202,Jaleel Wheeler Defensive Rebound.,42,37
11:35,202,Martins Igbanu missed Layup.,42,37
11:35,2655,Samir Sehic Defensive Rebound.,42,37
11:22,2655,Melvin Frazier Turnover.,42,37
11:21,202,Elijah Joiner Steal.,42,37
11:21,2655,Caleb Daniels missed Free Throw.,42,37
11:21,2655,Tulane Deadball Team Rebound.,42,37
11:21,2655,Foul on Tulane.,43,37
11:21,202,Curran Scott made Free Throw.,43,37
11:21,2655,Technical Foul on Tulane.,42,37
11:04,202,Martins Igbanu Turnover.,43,37
10:57,202,Foul on Lawson Korita.,43,37
10:46,2655,Samir Sehic Turnover.,43,37
10:45,202,Lawson Korita Steal.,43,37
10:36,202,Jaleel Wheeler made Layup.,45,37
10:35,2655,Foul on Caleb Daniels.,45,37
10:35,202,Jaleel Wheeler made Free Throw.,46,37
10:20,2655,Cameron Reynolds made Jumper. Assisted by Melvin Frazier.,46,39
10:01,202,Elijah Joiner Turnover.,46,39
10:00,2655,Melvin Frazier Steal.,46,39
9:57,2655,Ray Ona Embo made Layup.,46,41
9:41,202,Martins Igbanu made Layup. Assisted by Curran Scott.,48,41
9:31,202,Foul on Curran Scott.,48,41
9:21,202,Foul on Jaleel Wheeler.,48,41
9:21,2655,Samir Sehic made Free Throw.,48,42
9:21,2655,Samir Sehic missed Free Throw.,48,42
9:21,202,Lawson Korita Defensive Rebound.,48,42
9:04,202,Sterling Taplin made Layup.,50,42
9:04,2655,Foul on Caleb Daniels.,50,42
9:04,202,Sterling Taplin made Free Throw.,51,42
8:46,2655,Melvin Frazier made Layup.,51,44
8:21,202,Curran Scott missed Three Point Jumper.,51,44
8:21,2655,Cameron Reynolds Defensive Rebound.,51,44
7:57,2655,Cameron Reynolds missed Three Point Jumper.,51,44
7:57,202,Curran Scott Defensive Rebound.,51,44
7:49,202,Curran Scott Turnover.,51,44
7:49,2655,Official TV Timeout,51,44
7:38,2655,Cameron Reynolds missed Jumper.,51,44
7:38,202,Jaleel Wheeler Defensive Rebound.,51,44
7:13,202,Sterling Taplin made Layup.,53,44
7:02,2655,Jordan Cornish made Three Point Jumper. Assisted by Cameron Reynolds.,53,47
6:34,202,Jaleel Wheeler Turnover.,53,47
6:20,2655,Cameron Reynolds missed Jumper.,53,47
6:20,202,Jaleel Wheeler Defensive Rebound.,53,47
6:03,202,Jaleel Wheeler Turnover.,53,47
5:48,2655,Samir Sehic made Jumper. Assisted by Jordan Cornish.,53,49
5:25,202,Curran Scott missed Three Point Jumper.,53,49
5:25,2655,Tulane Defensive Rebound.,53,49
5:08,2655,Melvin Frazier missed Dunk.,53,49
5:08,202,Curran Scott Defensive Rebound.,53,49
4:56,202,Junior Etou missed Three Point Jumper.,53,49
4:56,202,Martins Igbanu Offensive Rebound.,53,49
4:44,202,Sterling Taplin Turnover.,53,49
4:28,2655,Samir Sehic missed Jumper.,53,49
4:28,202,Curran Scott Defensive Rebound.,53,49
4:12,202,Junior Etou missed Three Point Jumper.,53,49
4:12,202,Tulsa Offensive Rebound.,53,49
4:11,2655,Foul on Ray Ona Embo.,53,49
4:11,2655,Foul on Cameron Reynolds.,53,49
4:11,202,Junior Etou made Free Throw.,54,49
4:11,2655,Tulane  Timeout,54,49
4:11,202,Junior Etou made Free Throw.,55,49
3:48,2655,Ray Ona Embo missed Three Point Jumper.,55,49
3:48,2655,Cameron Reynolds Offensive Rebound.,55,49
3:44,2655,Cameron Reynolds missed Jumper.,55,49
3:44,202,Lawson Korita Defensive Rebound.,55,49
3:27,2655,Foul on Ray Ona Embo.,55,49
3:27,2655,Official TV Timeout,55,49
3:27,202,Junior Etou missed Free Throw.,55,49
3:27,2655,Melvin Frazier Defensive Rebound.,55,49
2:57,2655,Jordan Cornish missed Jumper.,55,49
2:57,202,Junior Etou Defensive Rebound.,55,49
2:30,202,Martins Igbanu missed Layup.,55,49
2:30,2655,Jordan Cornish Defensive Rebound.,55,49
2:20,2655,Melvin Frazier made Layup.,55,51
2:06,2655,Foul on Colin Slater.,55,51
2:06,202,Sterling Taplin made Layup.,57,51
2:06,202,Sterling Taplin made Free Throw.,58,51
1:56,2655,Cameron Reynolds made Jumper. Assisted by Jordan Cornish.,58,53
1:47,202,Tulsa  Timeout,58,53
1:26,202,Lawson Korita missed Three Point Jumper.,58,53
1:26,2655,Jordan Cornish Defensive Rebound.,58,53
1:09,2655,Cameron Reynolds missed Three Point Jumper.,58,53
1:09,202,Sterling Taplin Defensive Rebound.,58,53
0:57,2655,Foul on Samir Sehic.,58,53
0:57,202,Sterling Taplin made Free Throw.,59,53
0:57,202,Sterling Taplin missed Free Throw.,59,53
0:57,2655,Cameron Reynolds Defensive Rebound.,59,53
0:52,2655,Jordan Cornish missed Three Point Jumper.,59,53
0:52,202,Martins Igbanu Defensive Rebound.,59,53
0:45,2655,Foul on Melvin Frazier.,59,53
0:45,202,Sterling Taplin made Free Throw.,60,53
0:45,202,Sterling Taplin made Free Throw.,61,53
0:31,2655,Jordan Cornish missed Three Point Jumper.,61,53
0:31,202,Junior Etou Defensive Rebound.,61,53
0:24,2655,Foul on Jordan Cornish.,61,53
0:24,202,Sterling Taplin made Free Throw.,62,53
0:24,202,Sterling Taplin made Free Throw.,63,53
0:18,2655,Melvin Frazier made Three Point Jumper. Assisted by Ray Ona Embo.,63,56
0:17,2655,Tulane  Timeout,63,56
0:14,2655,Foul on Caleb Daniels.,63,56
0:14,202,Curran Scott made Free Throw.,64,56
0:14,202,Curran Scott made Free Throw.,65,56
0:09,2655,Ray Ona Embo missed Three Point Jumper.,65,56
0:09,202,Lawson Korita Defensive Rebound.,65,56
0:00,2655,End of Game,65,56
