Mt. St. Mary's,2341,LIU Brooklyn,116
7:12,116,Junior Robinson made Two Point Tip Shot.,44,57
6:56,2341,Joel Hernandez Turnover.,44,57
6:54,116,Junior Robinson Steal.,44,57
6:54,116,Junior Robinson made Layup.,46,57
6:54,2341,Official TV Timeout,46,57
6:49,2341,Raiquan Clark Turnover.,46,57
6:48,116,Junior Robinson Steal.,46,57
6:22,116,Junior Robinson missed Three Point Jumper.,46,57
6:22,2341,Raiquan Clark Defensive Rebound.,46,57
6:20,116,Foul on Chris Wray.,46,57
6:16,116,Foul on Junior Robinson.,46,57
5:53,2341,Jamall Robinson made Three Point Jumper. Assisted by Julian Batts.,46,60
5:34,2341,Foul on Raiquan Clark.,46,60
5:34,116,Donald Carey missed Free Throw.,46,60
5:34,116,Mt. St. Mary's Deadball Team Rebound.,46,60
5:34,116,Donald Carey made Free Throw.,47,60
5:29,116,Foul on Jonah Antonio.,47,60
5:29,2341,Jashaun Agosto made Free Throw.,47,61
5:29,2341,Jashaun Agosto made Free Throw.,47,62
5:08,2341,Foul on Joel Hernandez.,47,62
5:08,116,Donald Carey made Free Throw.,48,62
5:08,116,Donald Carey missed Free Throw.,48,62
5:08,2341,Julian Batts Defensive Rebound.,48,62
4:43,2341,Jashaun Agosto missed Three Point Jumper.,48,62
4:43,2341,Julius van Sauers Offensive Rebound.,48,62
4:38,2341,Julius van Sauers made Two Point Tip Shot.,48,64
4:21,116,Donald Carey missed Jumper.,48,64
4:21,2341,Julian Batts Defensive Rebound.,48,64
4:09,2341,Jamall Robinson made Three Point Jumper. Assisted by Julius van Sauers.,48,67
3:52,116,Junior Robinson made Three Point Jumper.,51,67
3:37,2341,Jamall Robinson missed Three Point Jumper.,51,67
3:37,116,Jonah Antonio Defensive Rebound.,51,67
3:31,116,Jonah Antonio missed Layup.,51,67
3:31,2341,Julian Batts Defensive Rebound.,51,67
3:03,2341,Julian Batts missed Three Point Jumper.,51,67
3:03,116,Chris Wray Defensive Rebound.,51,67
2:43,116,Donald Carey missed Three Point Jumper.,51,67
2:43,2341,Joel Hernandez Defensive Rebound.,51,67
2:15,2341,Jashaun Agosto missed Jumper.,51,67
2:15,116,Greg Alexander Defensive Rebound.,51,67
2:13,2341,Foul on Julius van Sauers.,51,67
2:13,2341,Official TV Timeout,51,67
2:13,116,Greg Alexander made Free Throw.,52,67
2:13,116,Greg Alexander made Free Throw.,53,67
2:01,2341,Joel Hernandez missed Layup.,53,67
2:01,116,James West IV Block.,53,67
1:59,116,James West IV Defensive Rebound.,53,67
1:48,116,Donald Carey made Layup.,55,67
1:42,116,Foul on James West IV.,55,67
1:42,2341,Jashaun Agosto missed Free Throw.,55,67
1:42,116,Greg Alexander Defensive Rebound.,55,67
1:30,116,Junior Robinson missed Layup.,55,67
1:30,116,Chris Wray Offensive Rebound.,55,67
1:28,116,Chris Wray made Two Point Tip Shot.,57,67
1:09,2341,Raiquan Clark made Dunk. Assisted by Joel Hernandez.,57,69
0:56,116,Jonah Antonio missed Three Point Jumper.,57,69
0:56,2341,Raiquan Clark Defensive Rebound.,57,69
0:30,2341,Joel Hernandez made Jumper.,57,71
0:09,116,Junior Robinson missed Three Point Jumper.,57,71
0:09,2341,Joel Hernandez Defensive Rebound.,57,71
0:00,2341,End of Game,57,71
