Florida Tech,Error,Florida Gulf Coast,526
9:50,53,Patrick Anderson missed Jumper.,8,15
9:50,526,Zach Johnson Defensive Rebound.,8,15
9:43,526,Christian Terrell missed Layup.,8,15
9:43,53,Valur Valsson Defensive Rebound.,8,15
9:31,53,Valur Valsson missed Three Point Jumper.,8,15
9:31,526,Brandon Goodwin Defensive Rebound.,8,15
9:22,526,Brandon Goodwin made Layup.,8,17
9:06,53,Patrick Anderson missed Three Point Jumper.,8,17
9:06,526,Christian Terrell Defensive Rebound.,8,17
8:46,526,Brandon Goodwin Turnover.,8,17
8:28,53,Valur Valsson Turnover.,8,17
8:27,526,Zach Johnson Steal.,8,17
8:25,526,Zach Johnson made Layup.,8,19
8:09,53,Darius Wright missed Three Point Jumper.,8,19
8:09,526,Brandon Goodwin Defensive Rebound.,8,19
7:47,526,Brandon Goodwin made Layup. Assisted by Darnell Rogers.,8,21
7:27,526,Foul on Darnell Rogers.,8,21
7:27,526,Official TV Timeout,8,21
7:25,53,Darius Wright made Free Throw.,9,21
7:25,53,Darius Wright made Free Throw.,10,21
7:12,526,Zach Johnson Turnover.,10,21
7:00,53,Michael Milligan made Layup. Assisted by Mate Papai.,12,21
6:39,526,Zach Johnson missed Three Point Jumper.,12,21
6:39,53,Antonis Pefanis Defensive Rebound.,12,21
6:22,53,Darius Wright made Jumper. Assisted by Antonis Pefanis.,14,21
6:00,526,Brandon Goodwin missed Three Point Jumper.,14,21
6:00,53,Michael Milligan Defensive Rebound.,14,21
5:44,53,Foul on Mate Papai.,14,21
5:44,53,Mate Papai Turnover.,14,21
5:24,526,Christian Terrell missed Three Point Jumper.,14,21
5:24,53,Mate Papai Defensive Rebound.,14,21
5:11,53,Michael Milligan missed Three Point Jumper.,14,21
5:11,526,Christian Terrell Defensive Rebound.,14,21
5:03,526,Christian Terrell Turnover.,14,21
5:01,53,Michael Milligan Steal.,14,21
4:49,53,Valur Valsson Turnover.,14,21
4:48,526,Christian Carlyle Steal.,14,21
4:46,526,Christian Carlyle missed Layup.,14,21
4:46,526,Christian Terrell Offensive Rebound.,14,21
4:43,526,Christian Terrell made Dunk.,14,23
4:23,53,Mate Papai made Jumper. Assisted by Patrick Anderson.,16,23
4:00,526,Brady Ernst made Dunk. Assisted by Brandon Goodwin.,16,25
3:35,526,Foul on Zach Johnson.,16,25
3:35,526,Official TV Timeout,16,25
3:35,53,Antonis Pefanis made Free Throw.,17,25
3:35,53,Antonis Pefanis made Free Throw.,18,25
3:15,526,Christian Terrell Turnover.,18,25
3:14,53,Michael Milligan Steal.,18,25
2:52,53,Patrick Anderson made Layup.,20,25
2:39,53,Foul on Antonis Pefanis.,20,25
2:38,526,Dinero Mercurius made Free Throw.,20,26
2:38,526,Dinero Mercurius made Free Throw.,20,27
2:25,53,Antonis Pefanis Turnover.,20,27
2:12,526,Dinero Mercurius made Three Point Jumper. Assisted by Christian Terrell.,20,30
1:58,53,Darius Wright missed Three Point Jumper.,20,30
1:58,526,Brady Ernst Defensive Rebound.,20,30
1:25,526,Zach Johnson Turnover.,20,30
1:24,53,Darius Wright Steal.,20,30
1:02,53,Michael Milligan made Three Point Jumper. Assisted by Darius Wright.,23,30
0:44,526,Dinero Mercurius made Jumper. Assisted by Brandon Goodwin.,23,32
0:20,53,Patrick Anderson missed Layup.,23,32
0:20,526,Brady Ernst Block.,23,32
0:18,526,Brady Ernst Defensive Rebound.,23,32
0:06,526,Brandon Goodwin missed Three Point Jumper.,23,32
0:06,53,Darius Wright Defensive Rebound.,23,32
0:00,53,Darius Wright missed Three Point Jumper.,23,32
0:00,53,Florida Inst Of Tech Deadball Team Rebound.,23,32
0:00,526,End of 1st half,23,32
19:52,526,Michael Gilmore made Dunk. Assisted by Brandon Goodwin.,23,34
19:38,53,Sam Daniel missed Three Point Jumper.,23,34
19:38,53,Richard Coil Offensive Rebound.,23,34
19:25,53,Richard Coil made Three Point Jumper. Assisted by Patrick Anderson.,26,34
19:00,526,Michael Gilmore Turnover.,26,34
18:59,53,Sam Daniel Steal.,26,34
18:45,53,Michael Milligan missed Layup.,26,34
18:45,526,Antravious Simmons Defensive Rebound.,26,34
18:31,526,Dinero Mercurius missed Three Point Jumper.,26,34
18:31,53,Sam Daniel Defensive Rebound.,26,34
18:15,53,Sam Daniel missed Jumper.,26,34
18:15,526,Antravious Simmons Defensive Rebound.,26,34
18:08,526,Zach Johnson made Layup. Assisted by Brandon Goodwin.,26,36
17:39,53,Sam Daniel missed Three Point Jumper.,26,36
17:39,526,Zach Johnson Defensive Rebound.,26,36
17:25,526,Zach Johnson missed Jumper.,26,36
17:25,53,Richard Coil Defensive Rebound.,26,36
17:15,53,Richard Coil made Three Point Jumper. Assisted by Valur Valsson.,29,36
17:04,526,Dinero Mercurius made Three Point Jumper. Assisted by Zach Johnson.,29,39
16:37,53,Sam Daniel made Layup.,31,39
16:22,526,Dinero Mercurius made Three Point Jumper. Assisted by Brandon Goodwin.,31,42
15:58,53,Michael Milligan missed Three Point Jumper.,31,42
15:58,53,Florida Inst Of Tech Deadball Team Rebound.,31,42
15:55,526,Foul on Antravious Simmons.,31,42
15:55,526,Official TV Timeout,31,42
15:54,53,Patrick Anderson missed Layup.,31,42
15:54,526,Zach Johnson Block.,31,42
15:49,53,Valur Valsson Offensive Rebound.,31,42
15:48,53,Valur Valsson missed Jumper.,31,42
15:48,526,Dinero Mercurius Defensive Rebound.,31,42
15:35,526,Brandon Goodwin Turnover.,31,42
15:34,53,Sam Daniel Steal.,31,42
15:32,53,Sam Daniel Turnover.,31,42
15:31,526,Dinero Mercurius Steal.,31,42
15:23,526,Dinero Mercurius missed Three Point Jumper.,31,42
15:23,526,Michael Gilmore Offensive Rebound.,31,42
15:20,526,Michael Gilmore missed Layup.,31,42
15:20,53,Richard Coil Defensive Rebound.,31,42
15:03,53,Sam Daniel missed Jumper.,31,42
15:03,53,Richard Coil Offensive Rebound.,31,42
15:00,53,Richard Coil made Layup.,33,42
15:00,526,Foul on Zach Johnson.,33,42
14:58,53,Richard Coil missed Free Throw.,33,42
14:58,526,Michael Gilmore Defensive Rebound.,33,42
14:43,526,Brandon Goodwin Turnover.,33,42
14:42,53,Richard Coil Steal.,33,42
14:24,53,Sam Daniel missed Three Point Jumper.,33,42
14:24,526,Zach Johnson Defensive Rebound.,33,42
14:11,526,Dinero Mercurius missed Layup.,33,42
14:11,53,Michael Milligan Block.,33,42
14:09,53,Patrick Anderson Defensive Rebound.,33,42
13:59,53,Patrick Anderson missed Three Point Jumper.,33,42
13:59,526,Michael Gilmore Defensive Rebound.,33,42
13:54,53,Foul on Valur Valsson.,33,42
13:41,526,Michael Gilmore missed Three Point Jumper.,33,42
13:41,53,Valur Valsson Defensive Rebound.,33,42
13:23,53,Sam Daniel made Layup. Assisted by Valur Valsson.,35,42
13:15,526,Florida Gulf Coast  Timeout,35,42
13:02,526,Ricky Doyle Turnover.,35,42
12:42,53,Sam Daniel missed Jumper.,35,42
12:42,526,Brandon Goodwin Defensive Rebound.,35,42
12:29,526,Ricky Doyle made Dunk. Assisted by Brandon Goodwin.,35,44
12:11,53,Valur Valsson Turnover.,35,44
11:51,526,Brandon Goodwin Turnover.,35,44
11:50,53,Michael Milligan Steal.,35,44
11:47,526,Foul on Christian Carlyle.,35,44
11:45,526,Official TV Timeout,35,44
11:45,53,Patrick Anderson made Free Throw.,36,44
11:45,53,Patrick Anderson made Free Throw.,37,44
11:30,526,Christian Terrell missed Three Point Jumper.,37,44
11:30,53,Valur Valsson Defensive Rebound.,37,44
11:00,53,Valur Valsson missed Three Point Jumper.,37,44
11:00,53,Michael Milligan Offensive Rebound.,37,44
10:56,53,Foul on Michael Milligan.,37,44
10:41,526,Brandon Goodwin missed Three Point Jumper.,37,44
10:41,53,Michael Milligan Defensive Rebound.,37,44
10:14,53,Valur Valsson missed Layup.,37,44
10:14,53,Richard Coil Offensive Rebound.,37,44
10:12,53,Richard Coil missed Layup.,37,44
10:12,53,Michael Milligan Offensive Rebound.,37,44
10:10,53,Michael Milligan made Layup.,39,44
9:52,526,Dinero Mercurius missed Three Point Jumper.,39,44
9:52,53,Michael Milligan Defensive Rebound.,39,44
9:30,53,Patrick Anderson made Jumper.,41,44
9:01,526,Christian Terrell missed Three Point Jumper.,41,44
9:01,53,Valur Valsson Defensive Rebound.,41,44
8:42,53,Richard Coil made Layup. Assisted by Valur Valsson.,43,44
8:33,526,Florida Gulf Coast  Timeout,43,44
8:25,526,Zach Johnson missed Three Point Jumper.,43,44
8:25,53,Florida Inst Of Tech Defensive Rebound.,43,44
8:03,53,Valur Valsson missed Three Point Jumper.,43,44
8:03,53,Sam Daniel Offensive Rebound.,43,44
7:58,53,Sam Daniel Turnover.,43,44
7:57,526,Zach Johnson Steal.,43,44
7:54,53,Foul on Valur Valsson.,43,44
7:54,526,Official TV Timeout,43,44
7:34,526,Brandon Goodwin missed Three Point Jumper.,43,44
7:34,526,Antravious Simmons Offensive Rebound.,43,44
7:30,526,Antravious Simmons Turnover.,43,44
7:13,53,Sam Daniel missed Three Point Jumper.,43,44
7:13,53,Richard Coil Offensive Rebound.,43,44
7:11,526,Foul on Antravious Simmons.,43,44
6:55,53,Richard Coil made Three Point Jumper. Assisted by Valur Valsson.,46,44
6:44,526,Michael Gilmore made Dunk. Assisted by Brandon Goodwin.,46,46
6:29,53,Patrick Anderson missed Three Point Jumper.,46,46
6:29,526,Ricky Doyle Defensive Rebound.,46,46
6:24,53,Foul on Richard Coil.,46,46
6:08,526,Christian Terrell made Three Point Jumper. Assisted by Zach Johnson.,46,49
5:43,53,Sam Daniel missed Jumper.,46,49
5:43,526,Brandon Goodwin Defensive Rebound.,46,49
5:36,526,Zach Johnson made Jumper. Assisted by Brandon Goodwin.,46,51
5:31,53,Technical Foul on Sam Daniel.,46,51
5:31,53,Foul on Sam Daniel.,46,51
5:31,526,Brandon Goodwin missed Free Throw.,46,51
5:31,526,Florida Gulf Coast Deadball Team Rebound.,46,51
5:31,526,Brandon Goodwin made Free Throw.,46,52
5:21,53,Foul on Richard Coil.,46,52
5:21,53,Richard Coil Turnover.,46,52
5:02,526,Christian Terrell made Layup. Assisted by Brandon Goodwin.,46,54
5:01,53,Foul on Michael Milligan.,46,54
5:01,526,Christian Terrell made Free Throw.,46,55
4:48,53,Valur Valsson missed Three Point Jumper.,46,55
4:48,526,Christian Terrell Defensive Rebound.,46,55
4:27,526,Zach Johnson missed Three Point Jumper.,46,55
4:27,53,Michael Milligan Defensive Rebound.,46,55
4:24,526,Foul on Ricky Doyle.,46,55
4:10,526,Foul on Zach Johnson.,46,55
4:10,53,Patrick Anderson made Free Throw.,47,55
4:10,53,Patrick Anderson made Free Throw.,48,55
4:10,53,Patrick Anderson made Free Throw.,49,55
4:02,526,Dinero Mercurius missed Three Point Jumper.,49,55
4:02,526,Christian Terrell Offensive Rebound.,49,55
3:58,526,Christian Terrell missed Two Point Tip Shot.,49,55
3:58,53,Richard Coil Defensive Rebound.,49,55
3:38,53,Valur Valsson Turnover.,49,55
3:38,526,Official TV Timeout,49,55
3:14,526,Dinero Mercurius made Layup. Assisted by Zach Johnson.,49,57
2:43,53,Richard Coil made Three Point Jumper. Assisted by Patrick Anderson.,52,57
2:19,526,Brandon Goodwin made Layup.,52,59
1:49,526,Foul on Brandon Goodwin.,52,59
1:49,53,Valur Valsson made Free Throw.,53,59
1:49,53,Valur Valsson made Free Throw.,54,59
1:33,53,Foul on Michael Milligan.,54,59
1:33,526,Brandon Goodwin missed Free Throw.,54,59
1:33,526,Florida Gulf Coast Deadball Team Rebound.,54,59
1:33,526,Brandon Goodwin made Free Throw.,54,60
1:14,53,Antonis Pefanis missed Three Point Jumper.,54,60
1:14,53,Patrick Anderson Offensive Rebound.,54,60
1:11,526,Foul on Brandon Goodwin.,54,60
1:11,53,Patrick Anderson missed Free Throw.,54,60
1:11,526,Ricky Doyle Defensive Rebound.,54,60
0:52,526,Ricky Doyle made Dunk. Assisted by Christian Terrell.,54,62
0:42,53,Patrick Anderson missed Layup.,54,62
0:42,526,Ricky Doyle Defensive Rebound.,54,62
0:31,526,Ricky Doyle missed Layup.,54,62
0:31,53,Richard Coil Defensive Rebound.,54,62
0:22,53,Richard Coil missed Three Point Jumper.,54,62
0:22,526,Dinero Mercurius Defensive Rebound.,54,62
0:00,526,End of Game,54,62
