Rider,315,Niagara,2520
8:53,315,Greg King Offensive Rebound.,22,17
8:33,315,Greg King missed Layup.,22,17
8:33,2520,Kealen Washington-Ives Defensive Rebound.,22,17
8:24,2520,Jordan Allen missed Jumper.,22,17
8:24,2520,Rider Offensive Rebound.,22,17
8:14,315,Foul on Greg Kuakumensah.,22,17
8:11,2520,Tyere Marshall made Layup. Assisted by Kealen Washington-Ives.,24,17
8:04,315,Greg King made Dunk. Assisted by James Towns.,24,19
7:42,315,Foul on Matt Scott.,24,19
7:42,315,Official TV Timeout,24,19
7:42,2520,Frederick Scott missed Free Throw.,24,19
7:42,2520,Rider Deadball Team Rebound.,24,19
7:42,2520,Frederick Scott missed Free Throw.,24,19
7:42,315,Greg King Defensive Rebound.,24,19
7:36,315,Kahlil Dukes made Three Point Jumper. Assisted by James Towns.,24,22
7:10,2520,Tyere Marshall missed Layup.,24,22
7:10,2520,Tyere Marshall Offensive Rebound.,24,22
7:07,2520,Tyere Marshall made Layup.,26,22
6:47,315,James Towns missed Three Point Jumper.,26,22
6:47,315,Greg King Offensive Rebound.,26,22
6:42,315,Greg King missed Layup.,26,22
6:42,2520,Jordan Allen Defensive Rebound.,26,22
6:35,2520,Jordan Allen made Three Point Jumper. Assisted by Stevie Jordan.,29,22
6:23,315,Kahlil Dukes missed Jumper.,29,22
6:23,2520,Tyere Marshall Defensive Rebound.,29,22
6:21,315,Foul on Greg King.,29,22
6:21,2520,Tyere Marshall made Free Throw.,30,22
6:21,2520,Tyere Marshall missed Free Throw.,30,22
6:21,315,Marvin Prochet Defensive Rebound.,30,22
6:12,2520,Foul on Tyere Marshall.,30,22
6:12,315,Matt Scott missed Free Throw.,30,22
6:12,315,Niagara Deadball Team Rebound.,30,22
6:12,315,Matt Scott made Free Throw.,30,23
5:56,2520,Stevie Jordan Turnover.,30,23
5:55,315,Kahlil Dukes Steal.,30,23
5:52,315,Matt Scott missed Three Point Jumper.,30,23
5:52,2520,Jordan Allen Defensive Rebound.,30,23
5:40,2520,Anthony Durham made Jumper. Assisted by Stevie Jordan.,32,23
5:39,315,Foul on Dominic Robb.,32,23
5:39,2520,Anthony Durham missed Free Throw.,32,23
5:39,315,Matt Scott Defensive Rebound.,32,23
5:21,2520,Foul on Anthony Durham.,32,23
5:13,315,Marvin Prochet made Three Point Jumper. Assisted by Kahlil Dukes.,32,26
4:59,2520,Dimencio Vaughn missed Layup.,32,26
4:59,2520,Dimencio Vaughn Offensive Rebound.,32,26
4:55,2520,Dimencio Vaughn Turnover.,32,26
4:36,2520,Foul on Stevie Jordan.,32,26
4:36,315,Dominic Robb made Free Throw.,32,27
4:36,315,Dominic Robb missed Free Throw.,32,27
4:36,2520,Karamoko Cisse Defensive Rebound.,32,27
4:15,2520,Dimencio Vaughn missed Jumper.,32,27
4:15,2520,Karamoko Cisse Offensive Rebound.,32,27
4:12,2520,Karamoko Cisse made Layup.,34,27
4:12,315,Foul on Marvin Prochet.,34,27
4:12,2520,Karamoko Cisse missed Free Throw.,34,27
4:12,315,Niagara Deadball Team Rebound.,34,27
4:03,315,Matt Scott missed Layup.,34,27
4:03,2520,Karamoko Cisse Block.,34,27
4:03,315,Niagara Offensive Rebound.,34,27
4:00,315,Niagara  Timeout,34,27
4:00,315,Official TV Timeout,34,27
4:00,315,Official TV Timeout,34,27
3:44,315,Matt Scott missed Jumper.,34,27
3:44,2520,Rider Defensive Rebound.,34,27
3:26,2520,Jordan Allen missed Layup.,34,27
3:26,315,Matt Scott Defensive Rebound.,34,27
3:17,315,James Towns missed Three Point Jumper.,34,27
3:17,2520,Anthony Durham Defensive Rebound.,34,27
2:55,315,Foul on Dominic Robb.,34,27
2:55,2520,Karamoko Cisse made Free Throw.,35,27
2:55,2520,Karamoko Cisse made Free Throw.,36,27
2:51,315,Kahlil Dukes missed Three Point Jumper.,36,27
2:51,315,Matt Scott Offensive Rebound.,36,27
2:42,2520,Foul on Stevie Jordan.,36,27
2:42,315,Matt Scott made Free Throw.,36,28
2:42,315,Matt Scott made Free Throw.,36,29
2:27,315,Foul on Greg King.,36,29
2:27,2520,Karamoko Cisse missed Free Throw.,36,29
2:27,2520,Rider Deadball Team Rebound.,36,29
2:27,2520,Karamoko Cisse made Free Throw.,37,29
2:14,315,Kahlil Dukes Turnover.,37,29
2:02,2520,Jordan Allen Turnover.,37,29
2:01,315,Kevin Larkin Steal.,37,29
1:58,315,Kevin Larkin made Layup.,37,31
1:27,2520,Kealen Washington-Ives missed Jumper.,37,31
1:27,315,Kevin Larkin Defensive Rebound.,37,31
1:20,2520,Foul on Kealen Washington-Ives.,37,31
1:20,315,Matt Scott missed Free Throw.,37,31
1:20,2520,Frederick Scott Defensive Rebound.,37,31
1:01,2520,Jordan Allen made Jumper.,39,31
0:45,315,Kahlil Dukes missed Layup.,39,31
0:45,2520,Tyrei Randall Defensive Rebound.,39,31
0:39,2520,Frederick Scott made Jumper.,41,31
0:32,315,Kevin Larkin Turnover.,41,31
0:30,2520,Kealen Washington-Ives Steal.,41,31
0:29,315,Foul on Kahlil Dukes.,41,31
0:29,2520,Kealen Washington-Ives missed Free Throw.,41,31
0:29,2520,Rider Deadball Team Rebound.,41,31
0:29,2520,Kealen Washington-Ives made Free Throw.,42,31
0:02,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,42,34
0:00,315,End of 1st half,42,34
19:48,2520,Tyere Marshall missed Jumper.,42,34
19:48,2520,Tyere Marshall Offensive Rebound.,42,34
19:45,2520,Tyere Marshall made Layup.,44,34
19:30,315,Marvin Prochet made Layup. Assisted by Kahlil Dukes.,44,36
19:30,2520,Foul on Dimencio Vaughn.,44,36
19:30,315,Marvin Prochet missed Free Throw.,44,36
19:30,315,Dominic Robb Offensive Rebound.,44,36
19:26,315,Dominic Robb Turnover.,44,36
19:10,2520,Stevie Jordan missed Layup.,44,36
19:10,315,Dominic Robb Defensive Rebound.,44,36
19:00,315,Marvin Prochet made Jumper.,44,38
18:41,315,Foul on Dominic Robb.,44,38
18:36,2520,Frederick Scott missed Three Point Jumper.,44,38
18:36,2520,Frederick Scott Offensive Rebound.,44,38
18:25,2520,Tyere Marshall made Layup. Assisted by Stevie Jordan.,46,38
18:16,315,Chris Barton missed Jumper.,46,38
18:16,2520,Jordan Allen Defensive Rebound.,46,38
17:58,2520,Tyere Marshall made Layup.,48,38
17:52,2520,Foul on Anthony Durham.,48,38
17:52,315,Matt Scott made Free Throw.,48,39
17:52,315,Matt Scott made Free Throw.,48,40
17:36,2520,Jordan Allen made Three Point Jumper. Assisted by Stevie Jordan.,51,40
17:27,315,Matt Scott missed Three Point Jumper.,51,40
17:27,2520,Stevie Jordan Defensive Rebound.,51,40
17:21,2520,Stevie Jordan made Layup.,53,40
17:21,315,Foul on Chris Barton.,53,40
17:21,2520,Stevie Jordan made Free Throw.,54,40
17:04,315,Greg King missed Layup.,54,40
17:04,2520,Frederick Scott Defensive Rebound.,54,40
17:01,315,Foul on Kahlil Dukes.,54,40
16:52,2520,Jordan Allen missed Three Point Jumper.,54,40
16:52,315,Matt Scott Block.,54,40
16:46,315,Chris Barton Defensive Rebound.,54,40
16:43,2520,Foul on Stevie Jordan.,54,40
16:43,315,Chris Barton made Free Throw.,54,41
16:43,315,Chris Barton made Free Throw.,54,42
16:24,2520,Tyere Marshall missed Layup.,54,42
16:24,315,Marvin Prochet Block.,54,42
16:22,2520,Frederick Scott Offensive Rebound.,54,42
16:20,2520,Jordan Allen missed Jumper.,54,42
16:20,315,Greg King Defensive Rebound.,54,42
16:12,315,Kahlil Dukes missed Three Point Jumper.,54,42
16:12,2520,Frederick Scott Defensive Rebound.,54,42
16:03,2520,Frederick Scott made Layup.,56,42
15:44,315,Kahlil Dukes made Three Point Jumper. Assisted by Chris Barton.,56,45
15:22,2520,Frederick Scott made Layup. Assisted by Tyere Marshall.,58,45
15:08,315,Greg King missed Layup.,58,45
15:08,315,Niagara Offensive Rebound.,58,45
15:05,315,Official TV Timeout,58,45
14:52,315,Kahlil Dukes missed Three Point Jumper.,58,45
14:52,2520,Stevie Jordan Defensive Rebound.,58,45
14:30,2520,Frederick Scott missed Three Point Jumper.,58,45
14:30,2520,Jordan Allen Offensive Rebound.,58,45
14:26,2520,Jordan Allen Turnover.,58,45
14:18,315,Marvin Prochet made Three Point Jumper. Assisted by James Towns.,58,48
13:55,315,Foul on Greg King.,58,48
13:55,2520,Frederick Scott made Free Throw.,59,48
13:55,2520,Frederick Scott made Free Throw.,60,48
13:47,315,Marvin Prochet missed Three Point Jumper.,60,48
13:47,2520,Karamoko Cisse Defensive Rebound.,60,48
13:45,315,Foul on Marvin Prochet.,60,48
13:35,2520,Karamoko Cisse made Layup. Assisted by Dimencio Vaughn.,62,48
13:18,2520,Foul on Karamoko Cisse.,62,48
13:18,315,Kahlil Dukes made Free Throw.,62,49
13:18,315,Kahlil Dukes made Free Throw.,62,50
13:03,2520,Stevie Jordan made Three Point Jumper. Assisted by Karamoko Cisse.,65,50
12:49,2520,Foul on Paxton Wilson.,65,50
12:49,315,James Towns made Free Throw.,65,51
12:49,315,James Towns made Free Throw.,65,52
12:49,315,James Towns made Free Throw.,65,53
12:27,2520,Paxton Wilson missed Three Point Jumper.,65,53
12:27,2520,Stevie Jordan Offensive Rebound.,65,53
12:22,2520,Stevie Jordan missed Jumper.,65,53
12:22,2520,Anthony Durham Offensive Rebound.,65,53
12:11,2520,Stevie Jordan missed Jumper.,65,53
12:11,2520,Stevie Jordan Offensive Rebound.,65,53
11:58,2520,Dimencio Vaughn missed Layup.,65,53
11:58,2520,Karamoko Cisse Offensive Rebound.,65,53
11:56,2520,Karamoko Cisse made Layup.,67,53
11:55,2520,Rider  Timeout,67,53
11:45,315,Kahlil Dukes missed Three Point Jumper.,67,53
11:45,2520,Anthony Durham Defensive Rebound.,67,53
11:38,2520,Jordan Allen missed Three Point Jumper.,67,53
11:38,315,Matt Scott Defensive Rebound.,67,53
11:27,315,Matt Scott missed Layup.,67,53
11:27,2520,Karamoko Cisse Block.,67,53
11:26,315,Niagara Offensive Rebound.,67,53
11:25,315,Official TV Timeout,67,53
11:07,315,James Towns Turnover.,67,53
11:05,2520,Karamoko Cisse Steal.,67,53
11:00,2520,Jordan Allen made Three Point Jumper. Assisted by Stevie Jordan.,70,53
10:53,315,James Towns Turnover.,70,53
10:28,2520,Dimencio Vaughn missed Layup.,70,53
10:28,315,Greg King Defensive Rebound.,70,53
10:22,315,James Towns made Layup. Assisted by Greg King.,70,55
9:59,2520,Dimencio Vaughn made Layup. Assisted by Anthony Durham.,72,55
9:33,315,Matt Scott missed Three Point Jumper.,72,55
9:33,315,Kevin Larkin Offensive Rebound.,72,55
9:29,315,Kevin Larkin missed Layup.,72,55
9:29,2520,Anthony Durham Defensive Rebound.,72,55
9:23,2520,Frederick Scott made Dunk. Assisted by Anthony Durham.,74,55
9:22,315,Niagara  Timeout,74,55
9:12,2520,Foul on Frederick Scott.,74,55
9:12,315,Marvin Prochet made Free Throw.,74,56
9:12,315,Marvin Prochet made Free Throw.,74,57
9:00,2520,Jordan Allen Turnover.,74,57
8:44,315,Kahlil Dukes missed Layup.,74,57
8:44,2520,Tyere Marshall Defensive Rebound.,74,57
8:37,2520,Dimencio Vaughn missed Layup.,74,57
8:37,315,Marvin Prochet Defensive Rebound.,74,57
8:32,315,James Towns missed Three Point Jumper.,74,57
8:32,2520,Tyere Marshall Defensive Rebound.,74,57
8:04,2520,Tyere Marshall missed Layup.,74,57
8:04,2520,Tyere Marshall Offensive Rebound.,74,57
8:01,2520,Tyere Marshall made Layup.,76,57
7:55,315,James Towns missed Layup.,76,57
7:55,315,Greg King Offensive Rebound.,76,57
7:50,315,Greg King made Layup.,76,59
7:32,2520,Jordan Allen made Jumper.,78,59
7:14,315,Matt Scott missed Three Point Jumper.,78,59
7:14,2520,Stevie Jordan Defensive Rebound.,78,59
7:05,2520,Dimencio Vaughn made Layup. Assisted by Stevie Jordan.,80,59
6:57,315,Kahlil Dukes missed Three Point Jumper.,80,59
6:57,2520,Dimencio Vaughn Defensive Rebound.,80,59
6:36,2520,Frederick Scott missed Three Point Jumper.,80,59
6:36,2520,Jordan Allen Offensive Rebound.,80,59
6:32,2520,Jordan Allen made Layup.,82,59
6:13,315,Kahlil Dukes made Three Point Jumper. Assisted by Matt Scott.,82,62
6:03,2520,Stevie Jordan missed Three Point Jumper.,82,62
6:03,2520,Dimencio Vaughn Offensive Rebound.,82,62
6:01,315,Foul on Kahlil Dukes.,82,62
6:01,315,Official TV Timeout,82,62
5:57,2520,Jordan Allen missed Three Point Jumper.,82,62
5:57,315,Marvin Prochet Defensive Rebound.,82,62
5:46,315,Marvin Prochet Turnover.,82,62
5:44,2520,Dimencio Vaughn Steal.,82,62
5:42,2520,Dimencio Vaughn made Dunk.,84,62
5:26,315,Chris Barton missed Jumper.,84,62
5:26,315,Chris Barton Offensive Rebound.,84,62
5:23,315,Chris Barton missed Jumper.,84,62
5:23,2520,Frederick Scott Defensive Rebound.,84,62
5:21,315,Foul on Marvin Prochet.,84,62
5:21,2520,Frederick Scott made Free Throw.,85,62
5:21,2520,Frederick Scott missed Free Throw.,85,62
5:21,315,Greg King Defensive Rebound.,85,62
5:10,2520,Foul on Jordan Allen.,85,62
5:10,315,James Towns made Free Throw.,85,63
5:10,315,James Towns made Free Throw.,85,64
4:41,2520,Frederick Scott made Dunk. Assisted by Kealen Washington-Ives.,87,64
4:31,315,Marvin Prochet made Layup.,87,66
4:31,2520,Foul on Frederick Scott.,87,66
4:31,315,Marvin Prochet made Free Throw.,87,67
4:16,315,Foul on Marvin Prochet.,87,67
4:16,2520,Frederick Scott made Free Throw.,88,67
4:16,2520,Frederick Scott missed Free Throw.,88,67
4:16,315,Marvin Prochet Defensive Rebound.,88,67
4:00,315,Chris Barton Turnover.,88,67
3:58,2520,Anthony Durham Steal.,88,67
3:57,315,Foul on Chris Barton.,88,67
3:57,315,Official TV Timeout,88,67
3:57,2520,Anthony Durham made Free Throw.,89,67
3:57,2520,Anthony Durham made Free Throw.,90,67
3:49,2520,Tyrei Randall made Three Point Jumper. Assisted by Devine Eke.,93,67
3:26,315,Kahlil Dukes missed Three Point Jumper.,93,67
3:26,315,Marvin Prochet Offensive Rebound.,93,67
3:19,315,Marvin Prochet made Three Point Jumper.,93,70
3:00,315,Foul on Greg King.,93,70
3:00,2520,Devine Eke made Free Throw.,94,70
3:00,2520,Devine Eke missed Free Throw.,94,70
3:00,315,Marvin Prochet Defensive Rebound.,94,70
2:41,2520,Foul on Tyrei Randall.,94,70
2:41,315,Marvin Prochet missed Free Throw.,94,70
2:41,315,Niagara Deadball Team Rebound.,94,70
2:41,315,Marvin Prochet missed Free Throw.,94,70
2:41,2520,Tyrei Randall Defensive Rebound.,94,70
2:30,2520,Paxton Wilson missed Jumper.,94,70
2:30,2520,Kealen Washington-Ives Offensive Rebound.,94,70
2:14,2520,Paxton Wilson made Three Point Jumper. Assisted by Anthony Durham.,97,70
1:57,2520,Foul on Kealen Washington-Ives.,97,70
1:57,315,James Towns made Free Throw.,97,71
1:57,315,James Towns made Free Throw.,97,72
1:39,2520,Joe Ajike Turnover.,97,72
1:38,315,Keleaf Tate Steal.,97,72
1:35,315,Greg King made Layup. Assisted by Keleaf Tate.,97,74
1:15,2520,Tyrei Randall made Layup.,99,74
1:07,315,Marvin Prochet missed Jumper.,99,74
1:07,2520,Joe Ajike Defensive Rebound.,99,74
0:49,2520,Joe Ajike missed Three Point Jumper.,99,74
0:49,315,Greg King Defensive Rebound.,99,74
0:40,315,James Towns Turnover.,99,74
0:39,2520,Paxton Wilson Steal.,99,74
0:26,2520,Tyrei Randall missed Three Point Jumper.,99,74
0:26,315,Chris Barton Defensive Rebound.,99,74
0:19,2520,Foul on Kealen Washington-Ives.,99,74
0:19,315,Chris Barton made Free Throw.,99,75
0:19,315,Chris Barton made Free Throw.,99,76
0:00,315,End of Game,99,76
