UCF,151,East Carolina,2116
4:35,151,Foul on Usman Haruna.,55,36
4:35,2116,Tacko Fall missed Free Throw.,55,36
4:35,151,Usman Haruna Defensive Rebound.,55,36
4:23,151,K.J. Davis missed Three Point Jumper.,55,36
4:23,151,B.J. Tyson Offensive Rebound.,55,36
4:20,2116,Foul on Djordjije Mumin.,55,36
4:14,151,B.J. Tyson missed Jumper.,55,36
4:14,2116,Terrell Allen Defensive Rebound.,55,36
3:52,2116,Tacko Fall missed Layup.,55,36
3:52,151,K.J. Davis Defensive Rebound.,55,36
3:41,151,B.J. Tyson made Three Point Jumper. Assisted by Isaac Fleming.,55,39
3:19,2116,Terrell Allen missed Jumper.,55,39
3:19,2116,A.J. Davis Offensive Rebound.,55,39
2:51,2116,Dayon Griffin missed Three Point Jumper.,55,39
2:51,151,K.J. Davis Defensive Rebound.,55,39
2:29,151,Foul on Justice Obasohan.,55,39
2:29,151,Justice Obasohan Turnover.,55,39
2:29,151,Official TV Timeout,55,39
2:01,151,Foul on Usman Haruna.,55,39
2:01,2116,Chad Brown missed Free Throw.,55,39
2:01,2116,UCF Deadball Team Rebound.,55,39
2:01,2116,Chad Brown made Free Throw.,56,39
1:32,151,Isaac Fleming missed Three Point Jumper.,56,39
1:32,2116,UCF Defensive Rebound.,56,39
1:10,2116,Ceasar DeJesus made Three Point Jumper. Assisted by Myles Douglas.,59,39
0:47,2116,Foul on Terrell Allen.,59,39
0:47,151,Isaac Fleming missed Free Throw.,59,39
0:47,151,East Carolina Deadball Team Rebound.,59,39
0:47,151,Isaac Fleming missed Free Throw.,59,39
0:47,2116,Dayon Griffin Defensive Rebound.,59,39
0:23,2116,Ceasar DeJesus missed Jumper.,59,39
0:23,151,Usman Haruna Defensive Rebound.,59,39
0:09,151,K.J. Davis missed Three Point Jumper.,59,39
0:09,2116,Nathan Laing Defensive Rebound.,59,39
0:00,151,End of Game,59,39
