Eastern NM,Error,New Mexico State,166
15:42,166,Johnathon Wilkins Defensive Rebound.,32,50
15:20,166,Braxton Huggins Turnover.,32,50
15:05,-1,Chris Lewis made Layup. Assisted by Javaan Mumtaz.,34,50
14:50,166,Jemerrio Jones Turnover.,34,50
14:45,166,Foul on Johnathon Wilkins.,34,50
14:45,-1,Joe Clarke made Free Throw.,35,50
14:45,-1,Joe Clarke made Free Throw.,36,50
14:29,-1,Foul on Chris Wyms.,36,50
14:29,166,Braxton Huggins missed Free Throw.,36,50
14:29,166,New Mexico St Deadball Team Rebound.,36,50
14:29,166,Braxton Huggins made Free Throw.,36,51
14:12,166,Foul on Johnathon Wilkins.,36,51
13:54,-1,Joe Clarke made Jumper.,38,51
13:35,166,Braxton Huggins made Three Point Jumper. Assisted by Jalyn Pennie.,38,54
13:20,-1,Byrale Carter Turnover.,38,54
13:20,166,Ian Baker Steal.,38,54
12:59,166,Eli Chuha made Layup.,38,56
12:56,166,Foul on Braxton Huggins.,38,56
12:55,-1,Andre Hughes missed Free Throw.,38,56
12:55,-1,E. New Mexico Deadball Team Rebound.,38,56
12:55,-1,Andre Hughes missed Free Throw.,38,56
12:55,-1,Marquise Harris Offensive Rebound.,38,56
12:51,166,Foul on Eli Chuha.,38,56
12:51,-1,Shawn Shelton missed Free Throw.,38,56
12:51,166,Jemerrio Jones Defensive Rebound.,38,56
12:50,-1,Shawn Shelton missed Free Throw.,38,56
12:50,-1,E. New Mexico Deadball Team Rebound.,38,56
12:48,-1,Marquise Harris missed Three Point Jumper.,38,56
12:47,-1,Shawn Shelton Offensive Rebound.,38,56
12:27,166,Joe Garza missed Three Point Jumper.,38,56
12:27,-1,Shawn Shelton Defensive Rebound.,38,56
12:16,-1,Chris Lewis missed Layup.,38,56
12:16,-1,Chris Lewis Offensive Rebound.,38,56
12:11,-1,Chris Lewis Turnover.,38,56
12:10,166,Jemerrio Jones Steal.,38,56
12:04,166,Jermaine Haley made Free Throw.,38,57
12:04,-1,Foul on CoRnell Neal.,38,57
12:04,166,Jermaine Haley missed Free Throw.,38,57
12:04,166,Eli Chuha Offensive Rebound.,38,57
11:54,-1,Foul on Arcaim Lallemand.,38,57
11:51,-1,Foul on Arcaim Lallemand.,38,57
11:51,166,Jemerrio Jones made Free Throw.,38,58
11:51,166,Jemerrio Jones missed Free Throw.,38,58
11:51,-1,Marquise Harris Defensive Rebound.,38,58
11:36,166,Foul on Joe Garza.,38,58
11:36,-1,Arcaim Lallemand made Free Throw.,39,58
11:36,-1,Arcaim Lallemand missed Free Throw.,39,58
11:36,-1,Shawn Shelton Offensive Rebound.,39,58
11:34,-1,Shawn Shelton missed Layup.,39,58
11:34,166,Joe Garza Defensive Rebound.,39,58
11:25,166,Matt Taylor made Dunk. Assisted by Jermaine Haley.,39,60
11:07,-1,Shawn Shelton made Layup. Assisted by Arcaim Lallemand.,41,60
10:48,166,Jermaine Haley made Three Point Jumper. Assisted by Matt Taylor.,41,63
10:37,-1,CoRnell Neal missed Jumper.,41,63
10:37,166,Eli Chuha Defensive Rebound.,41,63
10:34,-1,Foul on Marquise Harris.,41,63
10:34,166,Eli Chuha made Free Throw.,41,64
10:34,166,Eli Chuha made Free Throw.,41,65
10:15,-1,CoRnell Neal missed Three Point Jumper.,41,65
10:15,-1,Chris Lewis Offensive Rebound.,41,65
10:09,-1,Chris Lewis missed Layup.,41,65
10:09,166,Johnathon Wilkins Block.,41,65
10:08,-1,E. New Mexico Offensive Rebound.,41,65
10:08,-1,Joe Clarke missed Three Point Jumper.,41,65
10:08,166,Johnathon Wilkins Defensive Rebound.,41,65
10:03,-1,Foul on Joe Clarke.,41,65
10:03,166,Ian Baker made Free Throw.,41,66
10:03,166,Ian Baker missed Free Throw.,41,66
10:03,-1,Lamarquis Thompson Defensive Rebound.,41,66
9:31,-1,Joe Clarke Turnover.,41,66
9:19,166,Johnathon Wilkins made Jumper. Assisted by Jemerrio Jones.,41,68
9:02,-1,Javaan Mumtaz missed Three Point Jumper.,41,68
9:02,166,Ian Baker Defensive Rebound.,41,68
8:51,166,Jemerrio Jones missed Jumper.,41,68
8:51,-1,Chris Lewis Defensive Rebound.,41,68
8:32,-1,Joe Clarke missed Jumper.,41,68
8:32,166,Jermaine Haley Defensive Rebound.,41,68
8:28,166,Johnathon Wilkins Turnover.,41,68
8:27,-1,Javaan Mumtaz Steal.,41,68
8:03,-1,Javaan Mumtaz missed Three Point Jumper.,41,68
8:03,166,Ian Baker Defensive Rebound.,41,68
7:58,166,Foul on Ian Baker.,41,68
7:58,166,Ian Baker Turnover.,41,68
7:35,-1,Joe Clarke missed Layup.,41,68
7:35,166,Eli Chuha Defensive Rebound.,41,68
7:32,-1,Foul on Chris Wyms.,41,68
7:32,166,Matt Taylor made Free Throw.,41,69
7:32,166,Matt Taylor made Free Throw.,41,70
7:25,-1,Lamarquis Thompson missed Layup.,41,70
7:25,-1,Shawn Shelton Offensive Rebound.,41,70
7:15,-1,Shawn Shelton missed Jumper.,41,70
7:15,166,Eli Chuha Defensive Rebound.,41,70
6:57,166,Braxton Huggins made Three Point Jumper.,41,73
6:34,-1,CoRnell Neal Turnover.,41,73
6:33,166,Ian Baker Steal.,41,73
6:31,166,Matt Taylor made Dunk. Assisted by Ian Baker.,41,75
6:07,-1,Lucas Bowens missed Jumper.,41,75
6:07,166,Matt Taylor Defensive Rebound.,41,75
5:59,-1,Foul on CoRnell Neal.,41,75
5:59,166,Braxton Huggins made Free Throw.,41,76
5:59,166,Braxton Huggins made Free Throw.,41,77
5:59,166,Braxton Huggins made Free Throw.,41,78
5:47,-1,Marquise Harris made Layup.,43,78
5:21,166,Jalyn Pennie missed Three Point Jumper.,43,78
5:21,-1,CoRnell Neal Defensive Rebound.,43,78
5:07,-1,Lamarquis Thompson missed Three Point Jumper.,43,78
5:07,-1,Lamarquis Thompson Offensive Rebound.,43,78
5:04,166,Foul on Joe Garza.,43,78
5:04,-1,Lamarquis Thompson made Free Throw.,44,78
5:04,-1,Lamarquis Thompson made Free Throw.,45,78
4:37,166,Chancellor Ellis missed Three Point Jumper.,45,78
4:37,-1,Lamarquis Thompson Block.,45,78
4:35,-1,Chris Lewis Defensive Rebound.,45,78
4:35,166,Foul on Matt Taylor.,45,78
4:35,-1,Chris Lewis made Free Throw.,46,78
4:35,-1,Chris Lewis made Free Throw.,47,78
4:21,166,Jermaine Haley missed Three Point Jumper.,47,78
4:21,-1,CoRnell Neal Defensive Rebound.,47,78
4:16,-1,CoRnell Neal Turnover.,47,78
3:54,166,Chancellor Ellis missed Three Point Jumper.,47,78
3:54,166,Jalyn Pennie Offensive Rebound.,47,78
3:49,166,Jalyn Pennie made Layup.,47,80
3:45,-1,Chris Lewis missed Jumper.,47,80
3:45,166,Tanveer Bhullar Defensive Rebound.,47,80
3:40,166,Chancellor Ellis missed Three Point Jumper.,47,80
3:40,-1,Marquise Harris Defensive Rebound.,47,80
3:31,166,Foul on Jalyn Pennie.,47,80
3:31,166,Official TV Timeout,47,80
3:31,-1,Chris Lewis made Free Throw.,48,80
3:31,-1,Chris Lewis missed Free Throw.,48,80
3:31,-1,CoRnell Neal Offensive Rebound.,48,80
3:22,-1,Kevin Saiz Turnover.,48,80
3:17,166,Jermaine Haley Turnover.,48,80
3:02,-1,Shawn Shelton Turnover.,48,80
3:02,166,Jermaine Haley Steal.,48,80
2:46,166,Chancellor Ellis missed Three Point Jumper.,48,80
2:46,166,Jalyn Pennie Offensive Rebound.,48,80
2:40,166,Jalyn Pennie missed Layup.,48,80
2:40,-1,CoRnell Neal Defensive Rebound.,48,80
2:37,-1,Kevin Saiz missed Three Point Jumper.,48,80
2:37,-1,Isaac Maldonado Offensive Rebound.,48,80
2:34,-1,Isaac Maldonado missed Layup.,48,80
2:34,-1,Shawn Shelton Offensive Rebound.,48,80
2:31,-1,Shawn Shelton made Layup.,50,80
2:15,166,Tanveer Bhullar made Layup.,50,82
1:53,-1,Chris Lewis missed Layup.,50,82
1:53,166,Tanveer Bhullar Block.,50,82
1:52,-1,CoRnell Neal Offensive Rebound.,50,82
1:50,-1,CoRnell Neal missed Layup.,50,82
1:50,166,New Mexico St Defensive Rebound.,50,82
1:29,-1,Foul on Isaac Maldonado.,50,82
1:29,166,Chancellor Ellis missed Free Throw.,50,82
1:29,166,New Mexico St Deadball Team Rebound.,50,82
1:29,166,Chancellor Ellis made Free Throw.,50,83
1:16,-1,Shawn Shelton missed Jumper.,50,83
1:16,166,Chancellor Ellis Defensive Rebound.,50,83
1:08,166,Tanveer Bhullar missed Jumper.,50,83
1:08,-1,E. New Mexico Defensive Rebound.,50,83
0:59,-1,CoRnell Neal missed Three Point Jumper.,50,83
0:59,-1,Shawn Shelton Offensive Rebound.,50,83
0:56,166,Foul on Jermaine Haley.,50,83
0:56,-1,Shawn Shelton missed Free Throw.,50,83
0:56,-1,E. New Mexico Deadball Team Rebound.,50,83
0:56,-1,Shawn Shelton missed Free Throw.,50,83
0:56,166,Chancellor Ellis Defensive Rebound.,50,83
0:36,-1,Foul on Chris Lewis.,50,83
0:36,166,Tanveer Bhullar missed Free Throw.,50,83
0:36,166,New Mexico St Deadball Team Rebound.,50,83
0:36,166,Tanveer Bhullar made Free Throw.,50,84
0:22,-1,Shawn Shelton missed Jumper.,50,84
0:22,166,Joe Garza Defensive Rebound.,50,84
0:00,166,End of Game,50,84
