Covenant,Error,Tennessee St,2634
14:07,-1,Bailey Spragg Turnover.,8,13
14:06,2634,Darreon Reddick Steal.,8,13
14:00,2634,Delano Spencer missed Three Point Jumper.,8,13
14:00,-1,Nick Palmer Defensive Rebound.,8,13
13:48,-1,Zack Allen missed Three Point Jumper.,8,13
13:48,2634,Christian Mekowulu Defensive Rebound.,8,13
13:38,2634,Darreon Reddick made Three Point Jumper. Assisted by Armani Chaney.,8,16
13:36,-1,Covenant  Timeout,8,16
13:27,-1,Foul on Z Arima.,8,16
13:27,-1,Z Arima Turnover.,8,16
13:22,2634,Wayne Martin missed Layup.,8,16
13:22,2634,Xavier Williams Offensive Rebound.,8,16
13:20,2634,Xavier Williams missed Layup.,8,16
13:20,2634,Xavier Williams Offensive Rebound.,8,16
13:17,2634,Xavier Williams made Layup.,8,18
13:04,-1,Patjo Twagirayezu Turnover.,8,18
12:38,2634,A'Torey Everett made Layup. Assisted by Wayne Martin.,8,20
12:25,-1,Connor Sears made Layup. Assisted by Berto Dryden.,10,20
12:15,2634,Tahjere McCall missed Layup.,10,20
12:15,2634,Tahjere McCall Offensive Rebound.,10,20
12:12,2634,Tahjere McCall made Layup.,10,22
11:57,-1,Foul on Connor Sears.,10,22
11:57,-1,Connor Sears Turnover.,10,22
11:57,2634,Tennessee St  Timeout,10,22
11:52,2634,Tahjere McCall made Layup.,10,24
11:38,-1,Connor Sears Turnover.,10,24
11:37,2634,A'Torey Everett Steal.,10,24
11:35,2634,A'Torey Everett made Layup. Assisted by Xavier Williams.,10,26
11:15,-1,Z Arima missed Jumper.,10,26
11:15,2634,Tahjere McCall Defensive Rebound.,10,26
11:08,2634,Jordan Reed made Layup. Assisted by Tahjere McCall.,10,28
10:49,-1,Ben Phelps missed Three Point Jumper.,10,28
10:49,2634,Wayne Martin Defensive Rebound.,10,28
10:48,-1,Foul on Connor Sears.,10,28
10:46,2634,Wayne Martin made Free Throw.,10,29
10:46,2634,Wayne Martin made Free Throw.,10,30
10:38,-1,Bailey Spragg made Layup.,12,30
10:26,2634,Foul on Tahjere McCall.,12,30
10:26,2634,Tahjere McCall Turnover.,12,30
10:12,-1,Z Arima Turnover.,12,30
10:02,2634,A'Torey Everett made Jumper.,12,32
9:47,-1,Bailey Spragg missed Three Point Jumper.,12,32
9:47,2634,Wayne Martin Defensive Rebound.,12,32
9:35,2634,Tahjere McCall Turnover.,12,32
9:34,-1,Bailey Spragg Steal.,12,32
9:33,2634,Foul on Tahjere McCall.,12,32
9:28,-1,Jordan Walker Turnover.,12,32
9:28,-1,Foul on Jordan Walker.,12,32
9:09,2634,Jordan Reed missed Jumper.,12,32
9:09,2634,Wayne Martin Offensive Rebound.,12,32
9:06,2634,Wayne Martin missed Layup.,12,32
9:06,2634,Wayne Martin Offensive Rebound.,12,32
9:05,-1,Foul on Mitchell Hollis.,12,32
9:05,2634,Wayne Martin made Free Throw.,12,33
9:05,2634,Wayne Martin missed Free Throw.,12,33
9:05,-1,Patjo Twagirayezu Defensive Rebound.,12,33
8:59,-1,Berto Dryden Turnover.,12,33
8:39,2634,Delano Spencer missed Three Point Jumper.,12,33
8:39,-1,Caleb Haynes Defensive Rebound.,12,33
8:22,-1,Berto Dryden missed Jumper.,12,33
8:22,2634,Ken'Darrius Hamilton Defensive Rebound.,12,33
8:10,2634,Armani Chaney missed Jumper.,12,33
8:10,-1,Patjo Twagirayezu Defensive Rebound.,12,33
7:53,-1,Patjo Twagirayezu made Layup.,14,33
7:53,2634,Foul on Ken'Darrius Hamilton.,14,33
7:53,-1,Covenant  Timeout,14,33
7:53,-1,Patjo Twagirayezu made Free Throw.,15,33
7:43,2634,Jordan Reed missed Three Point Jumper.,15,33
7:43,2634,Samson Oyediran Offensive Rebound.,15,33
7:40,2634,Samson Oyediran made Layup.,15,35
7:28,-1,Patjo Twagirayezu missed Jumper.,15,35
7:28,2634,Jordan Reed Defensive Rebound.,15,35
7:06,2634,Samson Oyediran missed Jumper.,15,35
7:06,-1,Patjo Twagirayezu Defensive Rebound.,15,35
6:41,-1,Nick Palmer Turnover.,15,35
6:40,2634,Ken'Darrius Hamilton Steal.,15,35
6:35,2634,Jordan Reed missed Jumper.,15,35
6:35,-1,Caleb Haynes Defensive Rebound.,15,35
6:08,-1,Patjo Twagirayezu made Three Point Jumper. Assisted by Zack Allen.,18,35
5:50,2634,Delano Spencer made Three Point Jumper. Assisted by Armani Chaney.,18,38
5:24,-1,Zack Allen missed Three Point Jumper.,18,38
5:24,-1,Patjo Twagirayezu Offensive Rebound.,18,38
5:05,-1,Patjo Twagirayezu missed Three Point Jumper.,18,38
5:05,-1,Jared Jauch Offensive Rebound.,18,38
4:35,-1,Caleb Haynes missed Jumper.,18,38
4:35,-1,Covenant Offensive Rebound.,18,38
4:19,-1,Patjo Twagirayezu made Three Point Jumper. Assisted by Nick Palmer.,21,38
3:54,2634,Tahjere McCall missed Three Point Jumper.,21,38
3:54,2634,Wayne Martin Offensive Rebound.,21,38
3:51,2634,Wayne Martin made Layup.,21,40
3:33,-1,Nick Palmer missed Three Point Jumper.,21,40
3:33,2634,Darreon Reddick Defensive Rebound.,21,40
3:25,2634,Darreon Reddick missed Jumper.,21,40
3:25,2634,Samson Oyediran Offensive Rebound.,21,40
3:16,2634,Darreon Reddick made Three Point Jumper. Assisted by Tahjere McCall.,21,43
2:58,-1,Jared Jauch missed Three Point Jumper.,21,43
2:58,2634,Wayne Martin Defensive Rebound.,21,43
2:49,-1,Foul on Jared Jauch.,21,43
2:49,2634,Tennessee St  Timeout,21,43
2:49,2634,Tahjere McCall missed Free Throw.,21,43
2:49,2634,Tennessee St Deadball Team Rebound.,21,43
2:49,2634,Tahjere McCall missed Free Throw.,21,43
2:49,-1,William Bryan Defensive Rebound.,21,43
2:17,-1,Covenant  Turnover.,21,43
2:03,2634,Armani Chaney missed Layup.,21,43
2:03,2634,Tahjere McCall Offensive Rebound.,21,43
2:01,-1,Foul on William Bryan.,21,43
2:01,2634,Tahjere McCall made Free Throw.,21,44
2:01,2634,Tahjere McCall missed Free Throw.,21,44
2:01,-1,Patjo Twagirayezu Defensive Rebound.,21,44
1:44,-1,Bailey Spragg missed Three Point Jumper.,21,44
1:44,2634,Wayne Martin Defensive Rebound.,21,44
1:35,-1,Foul on Z Arima.,21,44
1:35,2634,Armani Chaney missed Free Throw.,21,44
1:35,2634,Tennessee St Deadball Team Rebound.,21,44
1:35,2634,Armani Chaney made Free Throw.,21,45
1:25,-1,Bailey Spragg missed Three Point Jumper.,21,45
1:25,2634,Armani Chaney Defensive Rebound.,21,45
1:18,2634,Armani Chaney made Jumper.,21,47
0:50,-1,William Bryan Turnover.,21,47
0:49,2634,Tahjere McCall Steal.,21,47
0:30,2634,Darreon Reddick Turnover.,21,47
0:00,-1,Nick Palmer made Three Point Jumper. Assisted by Berto Dryden.,24,47
0:00,2634,End of 1st half,24,47
19:47,2634,Tahjere McCall missed Jumper.,24,47
19:47,2634,Wayne Martin Offensive Rebound.,24,47
19:41,2634,Wayne Martin Turnover.,24,47
19:39,-1,Patjo Twagirayezu Steal.,24,47
19:21,-1,Connor Sears Turnover.,24,47
19:19,2634,Tahjere McCall Steal.,24,47
19:16,2634,Tahjere McCall made Dunk.,24,49
18:57,-1,Connor Sears Turnover.,24,49
18:42,2634,Wayne Martin made Layup. Assisted by Tahjere McCall.,24,51
18:31,-1,Berto Dryden Turnover.,24,51
18:30,2634,Jordan Reed Steal.,24,51
18:27,-1,Foul on Bailey Spragg.,24,51
18:27,2634,Jordan Reed made Free Throw.,24,52
18:27,2634,Jordan Reed made Free Throw.,24,53
17:58,-1,Z Arima missed Three Point Jumper.,24,53
17:58,2634,Wayne Martin Defensive Rebound.,24,53
17:48,-1,Foul on Caleb Haynes.,24,53
17:41,2634,Jordan Reed made Layup.,24,55
17:19,-1,Berto Dryden missed Three Point Jumper.,24,55
17:19,2634,Wayne Martin Defensive Rebound.,24,55
17:10,-1,Foul on Z Arima.,24,55
17:10,2634,Darreon Reddick made Free Throw.,24,56
17:10,2634,Darreon Reddick made Free Throw.,24,57
16:52,-1,Patjo Twagirayezu missed Three Point Jumper.,24,57
16:52,2634,Ken'Darrius Hamilton Defensive Rebound.,24,57
16:42,2634,Tahjere McCall missed Jumper.,24,57
16:42,-1,Berto Dryden Defensive Rebound.,24,57
16:35,-1,Zack Allen missed Layup.,24,57
16:35,2634,Wayne Martin Defensive Rebound.,24,57
16:22,2634,Ken'Darrius Hamilton Turnover.,24,57
16:22,2634,Foul on Ken'Darrius Hamilton.,24,57
16:04,2634,Foul on Ken'Darrius Hamilton.,24,57
16:04,-1,Caleb Haynes made Free Throw.,25,57
16:04,-1,Caleb Haynes made Free Throw.,26,57
15:57,2634,Tennessee St  Timeout,26,57
15:51,2634,Darreon Reddick missed Three Point Jumper.,26,57
15:51,-1,Berto Dryden Defensive Rebound.,26,57
15:47,-1,Berto Dryden Turnover.,26,57
15:47,-1,Foul on Berto Dryden.,26,57
15:29,2634,Jordan Reed missed Jumper.,26,57
15:29,-1,Caleb Haynes Defensive Rebound.,26,57
15:28,2634,Foul on Ken'Darrius Hamilton.,26,57
15:19,-1,Bailey Spragg missed Three Point Jumper.,26,57
15:19,2634,Wayne Martin Defensive Rebound.,26,57
15:12,-1,Foul on Bailey Spragg.,26,57
15:10,2634,Wayne Martin made Layup. Assisted by Tahjere McCall.,26,59
14:59,-1,Connor Sears Turnover.,26,59
14:57,2634,Wayne Martin Steal.,26,59
14:56,-1,Foul on Connor Sears.,26,59
14:56,2634,Wayne Martin missed Free Throw.,26,59
14:56,2634,Tennessee St Deadball Team Rebound.,26,59
14:56,2634,Wayne Martin made Free Throw.,26,60
14:25,-1,Connor Sears made Three Point Jumper. Assisted by Jared Jauch.,29,60
14:02,2634,A'Torey Everett Turnover.,29,60
14:02,2634,Foul on A'Torey Everett.,29,60
13:55,2634,Foul on Armani Chaney.,29,60
13:46,-1,Bailey Spragg made Three Point Jumper. Assisted by William Bryan.,32,60
13:10,2634,Armani Chaney missed Jumper.,32,60
13:10,-1,Jared Jauch Defensive Rebound.,32,60
13:05,-1,Nick Palmer made Layup. Assisted by Jared Jauch.,34,60
12:46,2634,Delano Spencer Turnover.,34,60
12:45,-1,Connor Sears Steal.,34,60
12:42,-1,Nick Palmer missed Three Point Jumper.,34,60
12:42,2634,Christian Mekowulu Defensive Rebound.,34,60
12:40,-1,Foul on Connor Sears.,34,60
12:40,2634,Christian Mekowulu made Free Throw.,34,61
12:40,2634,Christian Mekowulu missed Free Throw.,34,61
12:40,-1,Mitchell Hollis Defensive Rebound.,34,61
12:09,-1,Mitchell Hollis Turnover.,34,61
12:02,2634,Xavier Williams missed Three Point Jumper.,34,61
12:02,-1,Mitchell Hollis Defensive Rebound.,34,61
11:41,2634,Foul on Xavier Williams.,34,61
11:41,-1,Covenant  Timeout,34,61
11:41,-1,Patjo Twagirayezu made Free Throw.,35,61
11:41,-1,Patjo Twagirayezu made Free Throw.,36,61
11:29,-1,Foul on William Bryan.,36,61
11:29,2634,Christian Mekowulu made Free Throw.,36,62
11:29,2634,Christian Mekowulu made Free Throw.,36,63
11:07,-1,Bailey Spragg made Three Point Jumper.,39,63
10:39,2634,Delano Spencer missed Jumper.,39,63
10:39,-1,Z Arima Defensive Rebound.,39,63
10:27,-1,Patjo Twagirayezu missed Three Point Jumper.,39,63
10:27,2634,Tennessee St Defensive Rebound.,39,63
10:26,2634,Tennessee St  Timeout,39,63
10:16,2634,Xavier Williams made Dunk. Assisted by Christian Mekowulu.,39,65
9:52,-1,Z Arima missed Three Point Jumper.,39,65
9:52,2634,Christian Mekowulu Defensive Rebound.,39,65
9:41,2634,Xavier Williams Turnover.,39,65
9:40,-1,Patjo Twagirayezu Steal.,39,65
9:31,2634,Foul on Xavier Williams.,39,65
9:31,-1,Caleb Haynes missed Free Throw.,39,65
9:31,-1,Covenant Deadball Team Rebound.,39,65
9:31,-1,Caleb Haynes missed Free Throw.,39,65
9:31,2634,Christian Mekowulu Defensive Rebound.,39,65
9:10,2634,Jordan Reed missed Three Point Jumper.,39,65
9:10,2634,Tahjere McCall Offensive Rebound.,39,65
9:06,-1,Foul on William Bryan.,39,65
9:06,2634,Tahjere McCall made Free Throw.,39,66
9:06,2634,Tahjere McCall made Free Throw.,39,67
8:38,-1,Caleb Haynes made Layup. Assisted by Jared Jauch.,41,67
8:38,2634,Foul on Wayne Martin.,41,67
8:38,-1,Caleb Haynes made Free Throw.,42,67
8:23,2634,Samson Oyediran missed Three Point Jumper.,42,67
8:23,-1,Caleb Haynes Defensive Rebound.,42,67
8:04,-1,William Bryan Turnover.,42,67
7:54,2634,Wayne Martin missed Layup.,42,67
7:54,2634,Jordan Reed Offensive Rebound.,42,67
7:51,-1,Foul on Zack Allen.,42,67
7:51,2634,Tennessee St  Timeout,42,67
7:51,2634,Jordan Reed made Free Throw.,42,68
7:51,2634,Jordan Reed missed Free Throw.,42,68
7:51,-1,Zack Allen Defensive Rebound.,42,68
7:19,-1,Jared Jauch missed Three Point Jumper.,42,68
7:19,2634,Wayne Martin Defensive Rebound.,42,68
7:00,2634,Tahjere McCall made Layup. Assisted by Wayne Martin.,42,70
6:38,-1,Jared Jauch Turnover.,42,70
6:37,2634,Darreon Reddick Steal.,42,70
6:33,-1,Foul on William Bryan.,42,70
6:33,2634,Jordan Reed missed Free Throw.,42,70
6:33,2634,Tennessee St Deadball Team Rebound.,42,70
6:33,2634,Jordan Reed made Free Throw.,42,71
6:22,-1,Mitchell Hollis Turnover.,42,71
6:21,2634,Jalen Duke Steal.,42,71
6:19,2634,Jalen Duke made Dunk.,42,73
5:55,-1,Foul on Jordan Walker.,42,73
5:55,-1,Jordan Walker Turnover.,42,73
5:36,2634,Xavier Williams Turnover.,42,73
5:36,-1,Nick Palmer Steal.,42,73
5:24,2634,Foul on A'Torey Everett.,42,73
5:24,-1,Nick Palmer missed Free Throw.,42,73
5:24,-1,William Bryan Offensive Rebound.,42,73
5:07,-1,Ben Phelps made Layup.,44,73
4:46,2634,A'Torey Everett missed Jumper.,44,73
4:46,-1,Caleb Haynes Defensive Rebound.,44,73
4:19,2634,Foul on A'Torey Everett.,44,73
4:19,-1,Nick Palmer made Free Throw.,45,73
4:19,-1,Nick Palmer made Free Throw.,46,73
4:10,2634,Armani Chaney missed Jumper.,46,73
4:10,-1,Nick Palmer Defensive Rebound.,46,73
3:53,-1,Zack Allen missed Three Point Jumper.,46,73
3:53,2634,A'Torey Everett Defensive Rebound.,46,73
3:45,-1,Foul on Zack Allen.,46,73
3:45,2634,Tennessee St  Timeout,46,73
3:45,2634,A'Torey Everett made Free Throw.,46,74
3:45,2634,A'Torey Everett made Free Throw.,46,75
3:23,-1,Jordan Walker missed Jumper.,46,75
3:23,2634,A'Torey Everett Defensive Rebound.,46,75
3:17,2634,A'Torey Everett missed Layup.,46,75
3:17,-1,Mitchell Hollis Defensive Rebound.,46,75
3:08,-1,Foul on Zack Allen.,46,75
3:08,-1,Zack Allen Turnover.,46,75
2:59,2634,Foul on Armani Chaney.,46,75
2:59,2634,Armani Chaney Turnover.,46,75
2:45,-1,Mitchell Hollis made Three Point Jumper. Assisted by Jackson Kendall.,49,75
2:17,2634,Khalill Spencer Turnover.,49,75
2:06,-1,Jackson Kendall Turnover.,49,75
1:56,2634,A'Torey Everett made Jumper.,49,77
1:44,2634,Foul on Khalill Spencer.,49,77
1:44,-1,William Bryan made Free Throw.,50,77
1:44,-1,William Bryan missed Free Throw.,50,77
1:44,2634,A'Torey Everett Defensive Rebound.,50,77
1:29,2634,A'Torey Everett missed Layup.,50,77
1:29,2634,Jalen Duke Offensive Rebound.,50,77
1:27,2634,Jalen Duke made Jumper.,50,79
0:57,-1,Jared Jauch missed Jumper.,50,79
0:57,2634,Khalill Spencer Defensive Rebound.,50,79
0:37,2634,Khalill Spencer made Layup. Assisted by Armani Chaney.,50,81
0:22,-1,Jackson Kendall Turnover.,50,81
0:21,2634,Jalen Duke Steal.,50,81
0:00,2634,End of Game,50,81
