St. John's,2655,Tulane,2599
7:50,2599,Bashir Ahmed made Layup.,34,17
7:33,2655,Cameron Reynolds missed Jumper.,34,17
7:33,2599,Bashir Ahmed Defensive Rebound.,34,17
7:27,2599,Federico Mussini missed Three Point Jumper.,34,17
7:27,2655,Kain Harris Defensive Rebound.,34,17
7:16,2655,Kain Harris missed Layup.,34,17
7:16,2599,Tariq Owens Block.,34,17
7:15,2599,Federico Mussini Defensive Rebound.,34,17
7:14,2599,Federico Mussini Turnover.,34,17
7:13,2655,Blake Paul Steal.,34,17
7:12,2655,Kain Harris Turnover.,34,17
6:58,2599,Richard Freudenberg Turnover.,34,17
6:39,2655,Blake Paul made Dunk. Assisted by Cameron Reynolds.,34,19
6:24,2655,Foul on Colin Slater.,34,19
6:24,2599,Tariq Owens missed Free Throw.,34,19
6:24,2599,St. John's Deadball Team Rebound.,34,19
6:24,2599,Tariq Owens made Free Throw.,35,19
6:15,2655,Von Julien missed Layup.,35,19
6:15,2599,Tariq Owens Block.,35,19
6:14,2655,Colin Slater Offensive Rebound.,35,19
6:13,2599,Foul on Tariq Owens.,35,19
6:13,2655,Colin Slater made Free Throw.,35,20
6:13,2655,Colin Slater missed Free Throw.,35,20
6:13,2599,Bashir Ahmed Defensive Rebound.,35,20
5:55,2599,Marcus LoVett made Jumper.,37,20
5:35,2655,Colin Slater Turnover.,37,20
5:12,2599,Kassoum Yakwe made Jumper.,39,20
4:43,2655,Foul on Kain Harris.,39,20
4:43,2655,Kain Harris Turnover.,39,20
4:36,2599,Bashir Ahmed made Jumper.,41,20
4:36,2655,Foul on Blake Paul.,41,20
4:36,2599,Bashir Ahmed made Free Throw.,42,20
4:25,2655,Blake Paul Turnover.,42,20
4:12,2599,Bashir Ahmed missed Layup.,42,20
4:12,2655,Melvin Frazier Defensive Rebound.,42,20
4:08,2655,Colin Slater made Three Point Jumper.,42,23
3:48,2655,Foul on Von Julien.,42,23
3:48,2655,Official TV Timeout,42,23
3:48,2599,Shamorie Ponds made Free Throw.,43,23
3:48,2599,Shamorie Ponds made Free Throw.,44,23
3:17,2655,Kain Harris missed Three Point Jumper.,44,23
3:17,2655,Melvin Frazier Offensive Rebound.,44,23
3:14,2655,Melvin Frazier made Jumper.,44,25
3:14,2599,Foul on Shamorie Ponds.,44,25
3:14,2655,Melvin Frazier made Free Throw.,44,26
2:53,2599,Bashir Ahmed made Three Point Jumper. Assisted by Shamorie Ponds.,47,26
2:25,2655,Malik Morgan missed Jumper.,47,26
2:25,2599,Federico Mussini Defensive Rebound.,47,26
2:21,2599,Marcus LoVett Turnover.,47,26
2:06,2655,Foul on Von Julien.,47,26
2:06,2655,Von Julien Turnover.,47,26
1:47,2599,Federico Mussini missed Jumper.,47,26
1:47,2655,Malik Morgan Defensive Rebound.,47,26
1:35,2655,Ray Ona Embo made Three Point Jumper. Assisted by Ryan Smith.,47,29
1:04,2655,Foul on Ryan Smith.,47,29
1:04,2599,Shamorie Ponds missed Free Throw.,47,29
1:04,2599,St. John's Deadball Team Rebound.,47,29
1:04,2599,Shamorie Ponds made Free Throw.,48,29
0:51,2655,Cameron Reynolds made Jumper.,48,31
0:29,2599,Bashir Ahmed missed Three Point Jumper.,48,31
0:29,2655,Melvin Frazier Block.,48,31
0:26,2599,Shamorie Ponds Offensive Rebound.,48,31
0:21,2599,Shamorie Ponds Turnover.,48,31
0:21,2655,Melvin Frazier Steal.,48,31
0:21,2599,Foul on Shamorie Ponds.,48,31
0:21,2655,Ryan Smith made Free Throw.,48,32
0:21,2655,Ryan Smith missed Free Throw.,48,32
0:21,2599,Bashir Ahmed Defensive Rebound.,48,32
0:13,2599,St. John's  Timeout,48,32
0:01,2599,Marcus LoVett made Jumper.,50,32
0:01,2655,Foul on Malik Morgan.,50,32
0:01,2599,Marcus LoVett made Free Throw.,51,32
0:00,2655,End of 1st half,51,32
19:50,2655,Ryan Smith made Jumper.,51,34
19:24,2599,Bashir Ahmed Turnover.,51,34
19:24,2655,Melvin Frazier Steal.,51,34
19:19,2655,Cameron Reynolds made Three Point Jumper. Assisted by Melvin Frazier.,51,37
19:15,2599,St. John's  Timeout,51,37
19:15,2655,Official TV Timeout,51,37
18:54,2599,Foul on Kassoum Yakwe.,51,37
18:54,2599,Kassoum Yakwe Turnover.,51,37
18:39,2655,Ray Ona Embo missed Three Point Jumper.,51,37
18:39,2655,Malik Morgan Offensive Rebound.,51,37
18:35,2655,Malik Morgan missed Layup.,51,37
18:35,2599,Yankuba Sima Defensive Rebound.,51,37
18:15,2599,Shamorie Ponds made Three Point Jumper. Assisted by Bashir Ahmed.,54,37
17:56,2655,Foul on Cameron Reynolds.,54,37
17:56,2655,Cameron Reynolds Turnover.,54,37
17:45,2599,Marcus LoVett made Layup.,56,37
17:21,2655,Ryan Smith made Layup.,56,39
17:21,2599,Foul on Kassoum Yakwe.,56,39
17:21,2655,Ryan Smith made Free Throw.,56,40
17:04,2655,Malik Morgan Defensive Rebound.,56,40
17:04,2599,Shamorie Ponds missed Three Point Jumper.,56,40
16:53,2655,Melvin Frazier made Layup. Assisted by Malik Morgan.,56,42
16:37,2599,Yankuba Sima made Jumper. Assisted by Shamorie Ponds.,58,42
16:24,2599,Foul on Kassoum Yakwe.,58,42
16:20,2599,Foul on Shamorie Ponds.,58,42
16:19,2655,Malik Morgan made Three Point Jumper. Assisted by Melvin Frazier.,58,45
15:50,2599,Bashir Ahmed missed Layup.,58,45
15:50,2599,Yankuba Sima Offensive Rebound.,58,45
15:48,2599,Yankuba Sima made Two Point Tip Shot.,60,45
15:43,2655,Ryan Smith made Dunk. Assisted by Malik Morgan.,60,47
15:23,2599,Federico Mussini made Layup. Assisted by Yankuba Sima.,62,47
15:09,2655,Malik Morgan made Jumper.,62,49
14:53,2599,Yankuba Sima missed Jumper.,62,49
14:53,2655,Melvin Frazier Defensive Rebound.,62,49
14:46,2655,Melvin Frazier missed Layup.,62,49
14:46,2599,Malik Ellison Defensive Rebound.,62,49
14:40,2599,Malik Ellison missed Layup.,62,49
14:40,2655,Malik Morgan Block.,62,49
14:37,2599,Marcus LoVett Offensive Rebound.,62,49
14:32,2599,Bashir Ahmed missed Three Point Jumper.,62,49
14:32,2655,Melvin Frazier Defensive Rebound.,62,49
14:28,2655,Melvin Frazier Turnover.,62,49
14:27,2599,Marcus LoVett Steal.,62,49
14:22,2599,Federico Mussini made Jumper. Assisted by Marcus LoVett.,64,49
14:06,2655,Malik Morgan missed Jumper.,64,49
14:06,2599,Marcus LoVett Defensive Rebound.,64,49
13:57,2599,Malik Ellison missed Three Point Jumper.,64,49
13:57,2655,Cameron Reynolds Defensive Rebound.,64,49
13:46,2599,Foul on Yankuba Sima.,64,49
13:46,2655,Official TV Timeout,64,49
13:42,2655,Melvin Frazier missed Layup.,64,49
13:42,2599,Tariq Owens Block.,64,49
13:41,2599,Tariq Owens Defensive Rebound.,64,49
13:20,2599,Tariq Owens made Layup. Assisted by Marcus LoVett.,66,49
13:05,2655,Ray Ona Embo Turnover.,66,49
13:04,2599,Amar Alibegovic Steal.,66,49
12:59,2599,Amar Alibegovic missed Layup.,66,49
12:59,2599,Federico Mussini Offensive Rebound.,66,49
12:59,2655,Foul on Ryan Smith.,66,49
12:59,2599,Federico Mussini made Free Throw.,67,49
12:58,2599,Federico Mussini made Free Throw.,68,49
12:42,2655,Kain Harris made Jumper. Assisted by Ray Ona Embo.,68,51
12:19,2599,Shamorie Ponds made Three Point Jumper. Assisted by Federico Mussini.,71,51
11:57,2655,Ryan Smith missed Layup.,71,51
11:57,2599,Tariq Owens Block.,71,51
11:57,2599,St. John's Defensive Rebound.,71,51
11:56,2655,Official TV Timeout,71,51
11:36,2599,Tariq Owens made Jumper. Assisted by Malik Ellison.,73,51
11:27,2655,Cameron Reynolds Turnover.,73,51
11:03,2599,Tariq Owens missed Layup.,73,51
11:03,2599,Tariq Owens Offensive Rebound.,73,51
11:03,2655,Foul on Ray Ona Embo.,73,51
11:02,2599,Tariq Owens made Layup. Assisted by Amar Alibegovic.,75,51
11:02,2655,Foul on Ryan Smith.,75,51
11:02,2599,Tariq Owens made Free Throw.,76,51
10:40,2655,Cameron Reynolds missed Jumper.,76,51
10:40,2655,Ryan Smith Offensive Rebound.,76,51
10:26,2655,Ryan Smith missed Layup.,76,51
10:26,2599,Amar Alibegovic Defensive Rebound.,76,51
10:18,2599,Federico Mussini missed Layup.,76,51
10:18,2655,Ryan Smith Block.,76,51
10:17,2655,Melvin Frazier Defensive Rebound.,76,51
10:14,2599,Foul on Amar Alibegovic.,76,51
10:14,2655,Cameron Reynolds made Free Throw.,76,52
10:14,2655,Cameron Reynolds made Free Throw.,76,53
9:53,2599,Tariq Owens missed Jumper.,76,53
9:53,2655,Cameron Reynolds Defensive Rebound.,76,53
9:47,2655,Cameron Reynolds Turnover.,76,53
9:26,2599,Bashir Ahmed made Three Point Jumper. Assisted by Amar Alibegovic.,79,53
8:55,2655,Malik Morgan missed Jumper.,79,53
8:55,2599,Bashir Ahmed Defensive Rebound.,79,53
8:38,2599,Amar Alibegovic made Layup.,81,53
8:31,2655,Malik Morgan made Layup. Assisted by Ray Ona Embo.,81,55
8:20,2599,Amar Alibegovic made Three Point Jumper. Assisted by Shamorie Ponds.,84,55
8:02,2655,Kain Harris missed Jumper.,84,55
8:02,2599,Tariq Owens Block.,84,55
8:01,2655,Ryan Smith Offensive Rebound.,84,55
7:59,2655,Ryan Smith made Layup.,84,57
7:49,2655,Foul on Ray Ona Embo.,84,57
7:49,2655,Official TV Timeout,84,57
7:25,2655,Foul on Malik Morgan.,84,57
7:01,2599,Kassoum Yakwe missed Layup.,84,57
7:01,2655,Blake Paul Block.,84,57
7:00,2655,Tulane Defensive Rebound.,84,57
6:45,2655,Von Julien made Three Point Jumper. Assisted by Cameron Reynolds.,84,60
6:19,2599,Richard Freudenberg missed Three Point Jumper.,84,60
6:19,2655,Tulane Defensive Rebound.,84,60
5:59,2655,Melvin Frazier made Jumper. Assisted by Malik Morgan.,84,62
5:30,2599,Marcus LoVett made Jumper.,86,62
5:08,2599,Foul on Kassoum Yakwe.,86,62
5:08,2655,Melvin Frazier made Free Throw.,86,63
5:08,2655,Melvin Frazier made Free Throw.,86,64
4:43,2599,Richard Freudenberg Turnover.,86,64
4:43,2655,Melvin Frazier Steal.,86,64
4:35,2599,Foul on Richard Freudenberg.,86,64
4:35,2655,Melvin Frazier made Free Throw.,86,65
4:35,2655,Melvin Frazier made Free Throw.,86,66
4:25,2599,Bashir Ahmed Turnover.,86,66
4:08,2655,Malik Morgan missed Layup.,86,66
4:08,2599,Kassoum Yakwe Block.,86,66
4:08,2655,Tulane Offensive Rebound.,86,66
4:03,2599,Foul on Kassoum Yakwe.,86,66
4:03,2655,Melvin Frazier missed Free Throw.,86,66
4:03,2599,Richard Freudenberg Defensive Rebound.,86,66
3:37,2599,Yankuba Sima missed Jumper.,86,66
3:37,2599,Malik Ellison Offensive Rebound.,86,66
3:28,2599,Bashir Ahmed made Three Point Jumper. Assisted by Yankuba Sima.,89,66
3:11,2655,Official TV Timeout,89,66
3:07,2655,Von Julien made Three Point Jumper. Assisted by Malik Morgan.,89,69
2:43,2599,Malik Ellison made Layup.,91,69
2:27,2655,Kain Harris missed Jumper.,91,69
2:27,2655,Von Julien Offensive Rebound.,91,69
2:17,2655,Melvin Frazier missed Three Point Jumper.,91,69
2:17,2655,Blake Paul Offensive Rebound.,91,69
2:13,2655,Blake Paul made Layup.,91,71
1:55,2599,Amar Alibegovic missed Three Point Jumper.,91,71
1:55,2599,Richard Freudenberg Offensive Rebound.,91,71
1:50,2599,Richard Freudenberg Turnover.,91,71
1:39,2655,Sammis Reyes Turnover.,91,71
1:39,2599,Yankuba Sima Steal.,91,71
1:33,2655,Foul on Von Julien.,91,71
1:33,2599,Malik Ellison made Free Throw.,92,71
1:33,2599,Malik Ellison made Free Throw.,93,71
1:24,2599,Foul on Yankuba Sima.,93,71
1:24,2655,Malik Morgan made Free Throw.,93,72
1:24,2655,Malik Morgan made Free Throw.,93,73
1:10,2599,Malik Ellison missed Layup.,93,73
1:10,2655,Malik Morgan Block.,93,73
1:09,2655,Von Julien Defensive Rebound.,93,73
1:05,2655,Blake Paul missed Layup.,93,73
1:05,2599,Richard Freudenberg Defensive Rebound.,93,73
0:54,2655,Foul on Malik Morgan.,93,73
0:54,2599,Yankuba Sima made Free Throw.,94,73
0:54,2599,Yankuba Sima made Free Throw.,95,73
0:45,2655,Von Julien missed Three Point Jumper.,95,73
0:45,2599,Richard Freudenberg Defensive Rebound.,95,73
0:29,2599,Richard Freudenberg missed Three Point Jumper.,95,73
0:29,2655,Malik Morgan Defensive Rebound.,95,73
0:22,2655,Von Julien made Layup. Assisted by Malik Morgan.,95,75
0:00,2655,End of Game,95,75
