CSU Bakersfield,2567,SMU,2934
5:28,2567,Jarrey Foster missed Free Throw.,40,36
5:28,2567,SMU Deadball Team Rebound.,40,36
5:28,2567,Jarrey Foster made Free Throw.,40,37
5:03,2934,Dedrick Basile missed Jumper.,40,37
5:03,2567,SMU Deadball Team Rebound.,40,37
4:43,2934,Foul on Matt Smith.,40,37
4:43,2567,Ben Moore missed Free Throw.,40,37
4:43,2567,SMU Deadball Team Rebound.,40,37
4:43,2567,Ben Moore made Free Throw.,40,38
4:24,2934,Jaylin Airington missed Jumper.,40,38
4:24,2567,Sterling Brown Block.,40,38
4:23,2934,James Suber Offensive Rebound.,40,38
4:22,2934,Jaylin Airington missed Layup.,40,38
4:21,2567,Sterling Brown Block.,40,38
4:20,2567,Ben Moore Defensive Rebound.,40,38
4:19,2934,Foul on Jaylin Airington.,40,38
4:19,2567,Ben Moore made Free Throw.,40,39
4:19,2567,Ben Moore made Free Throw.,40,40
3:54,2934,Shon Briggs missed Jumper.,40,40
3:54,2567,Jarrey Foster Defensive Rebound.,40,40
3:36,2567,Shake Milton made Three Point Jumper. Assisted by Ben Moore.,40,43
3:12,2934,Damiyne Durham missed Three Point Jumper.,40,43
3:12,2567,Sterling Brown Defensive Rebound.,40,43
2:58,2567,Ben Moore Turnover.,40,43
2:56,2934,Dedrick Basile Steal.,40,43
2:53,2934,Damiyne Durham missed Jumper.,40,43
2:53,2567,Ben Moore Block.,40,43
2:51,2567,Sterling Brown Defensive Rebound.,40,43
2:48,2934,Foul on Dedrick Basile.,40,43
2:48,2567,Official TV Timeout,40,43
2:48,2567,Sterling Brown made Free Throw.,40,44
2:48,2567,Sterling Brown made Free Throw.,40,45
2:22,2934,Dedrick Basile Turnover.,40,45
2:22,2567,Shake Milton Steal.,40,45
2:22,2567,SMU  Timeout,40,45
2:03,2567,Sterling Brown missed Layup.,40,45
2:03,2567,Ben Moore Offensive Rebound.,40,45
2:00,2567,Shake Milton missed Three Point Jumper.,40,45
2:00,2567,Sterling Brown Offensive Rebound.,40,45
1:38,2567,Sterling Brown Turnover.,40,45
1:38,2567,Foul on Sterling Brown.,40,45
1:15,2934,Damiyne Durham missed Three Point Jumper.,40,45
1:15,2567,Semi Ojeleye Defensive Rebound.,40,45
0:58,2567,Sterling Brown Turnover.,40,45
0:56,2934,Damiyne Durham Steal.,40,45
0:53,2934,Damiyne Durham missed Three Point Jumper.,40,45
0:53,2934,Matt Smith Offensive Rebound.,40,45
0:42,2934,Brent Wrapp Turnover.,40,45
0:42,2934,Foul on Brent Wrapp.,40,45
0:31,2934,Foul on Matt Smith.,40,45
0:31,2567,Shake Milton made Free Throw.,40,46
0:31,2567,Shake Milton made Free Throw.,40,47
0:21,2934,Damiyne Durham missed Three Point Jumper.,40,47
0:21,2934,Dedrick Basile Offensive Rebound.,40,47
0:15,2934,Dedrick Basile missed Three Point Jumper.,40,47
0:15,2567,Semi Ojeleye Defensive Rebound.,40,47
0:13,2934,Foul on Matt Smith.,40,47
0:13,2567,Semi Ojeleye missed Free Throw.,40,47
0:13,2567,SMU Deadball Team Rebound.,40,47
0:13,2567,Semi Ojeleye made Free Throw.,40,48
0:09,2934,Damiyne Durham made Three Point Jumper. Assisted by Dedrick Basile.,43,48
0:08,2934,Foul on Jaylin Airington.,43,48
0:08,2567,Sterling Brown made Free Throw.,43,49
0:08,2567,SMU  Timeout,43,49
0:08,2567,Sterling Brown missed Free Throw.,43,49
0:08,2934,Jaylin Airington Defensive Rebound.,43,49
0:05,2934,Dedrick Basile missed Three Point Jumper.,43,49
0:05,2567,Shake Milton Defensive Rebound.,43,49
0:00,2567,End of Game,43,49
