Sacred Heart,2541,Santa Clara,2529
13:18,2541,Matt Hauser made Layup.,13,19
12:57,2529,Mario Matasovic missed Layup.,13,19
12:57,2541,Matt Hauser Defensive Rebound.,13,19
12:44,2529,Foul on Mario Matasovic.,13,19
12:31,2541,Jarvis Pugh made Jumper.,13,21
12:09,2529,Joseph Lopez missed Layup.,13,21
12:09,2541,Henrik Jadersten Block.,13,21
12:08,2529,Joseph Lopez Offensive Rebound.,13,21
12:06,2529,Joseph Lopez missed Layup.,13,21
12:06,2541,Henrik Jadersten Defensive Rebound.,13,21
11:56,2541,Jared Brownridge missed Layup.,13,21
11:56,2529,De'von Barnett Block.,13,21
11:54,2529,De'von Barnett Defensive Rebound.,13,21
11:51,2529,Quincy McKnight made Layup. Assisted by De'von Barnett.,15,21
11:41,2541,Matt Hauser made Layup.,15,23
11:13,2541,Foul on Evan Wardlow.,15,23
11:13,2541,Official TV Timeout,15,23
11:13,2529,Matej Buovac missed Free Throw.,15,23
11:13,2529,Sacred Heart Deadball Team Rebound.,15,23
11:13,2529,Matej Buovac made Free Throw.,16,23
11:13,2529,Matej Buovac made Free Throw.,17,23
10:59,2541,Jared Brownridge missed Jumper.,17,23
10:59,2529,Quincy McKnight Defensive Rebound.,17,23
10:42,2529,Joseph Lopez made Layup. Assisted by Quincy McKnight.,19,23
10:42,2541,Foul on Henrik Jadersten.,19,23
10:42,2529,Joseph Lopez made Free Throw.,20,23
10:33,2541,Evan Wardlow made Layup. Assisted by Jarvis Pugh.,20,25
10:08,2529,Quincy McKnight Turnover.,20,25
9:42,2541,Nate Kratch missed Jumper.,20,25
9:42,2529,Quincy McKnight Defensive Rebound.,20,25
9:14,2529,Sean Hoehn missed Three Point Jumper.,20,25
9:14,2529,De'von Barnett Offensive Rebound.,20,25
9:03,2529,Sean Hoehn made Layup. Assisted by Charles Tucker Jr..,22,25
8:47,2541,Henrik Jadersten made Three Point Jumper. Assisted by Matt Hauser.,22,28
8:17,2529,Sean Hoehn made Jumper. Assisted by Chris Robinson.,24,28
8:12,2541,Kai Healy missed Three Point Jumper.,24,28
8:12,2529,De'von Barnett Defensive Rebound.,24,28
8:04,2529,Charles Tucker Jr. made Layup.,26,28
8:04,2541,Foul on Henrik Jadersten.,26,28
8:04,2529,Charles Tucker Jr. made Free Throw.,27,28
7:40,2541,Nate Kratch missed Three Point Jumper.,27,28
7:40,2529,Charles Tucker Jr. Defensive Rebound.,27,28
7:29,2529,Chris Robinson made Three Point Jumper. Assisted by De'von Barnett.,30,28
7:19,2529,Foul on Charles Tucker Jr..,30,28
7:19,2541,Official TV Timeout,30,28
7:18,2541,Jarvis Pugh missed Three Point Jumper.,30,28
7:18,2529,Chris Robinson Defensive Rebound.,30,28
6:51,2529,Charles Tucker Jr. Turnover.,30,28
6:50,2541,Matt Hauser Steal.,30,28
6:47,2541,Jared Brownridge made Three Point Jumper. Assisted by Kai Healy.,30,31
6:20,2529,Sean Hoehn missed Three Point Jumper.,30,31
6:20,2541,Jared Brownridge Defensive Rebound.,30,31
6:12,2541,Jared Brownridge missed Three Point Jumper.,30,31
6:12,2529,Chris Robinson Defensive Rebound.,30,31
5:52,2529,Chris Robinson missed Layup.,30,31
5:52,2541,Matt Hauser Defensive Rebound.,30,31
5:44,2529,Foul on Sean Hoehn.,30,31
5:32,2541,Jarvis Pugh missed Three Point Jumper.,30,31
5:32,2529,Quincy McKnight Defensive Rebound.,30,31
5:03,2529,Matej Buovac missed Layup.,30,31
5:03,2541,Nate Kratch Defensive Rebound.,30,31
4:56,2541,Kai Healy missed Three Point Jumper.,30,31
4:56,2529,Quincy McKnight Defensive Rebound.,30,31
4:27,2529,Chris Robinson missed Three Point Jumper.,30,31
4:27,2541,Kai Healy Defensive Rebound.,30,31
4:17,2541,Matt Hauser missed Three Point Jumper.,30,31
4:17,2529,Chris Robinson Defensive Rebound.,30,31
4:07,2529,Quincy McKnight made Layup.,32,31
3:57,2541,Jarvis Pugh made Jumper. Assisted by Matt Hauser.,32,33
3:41,2529,Joseph Lopez made Layup. Assisted by Quincy McKnight.,34,33
3:41,2541,Foul on Kai Healy.,34,33
3:41,2541,Official TV Timeout,34,33
3:41,2529,Joseph Lopez missed Free Throw.,34,33
3:41,2541,Kai Healy Defensive Rebound.,34,33
3:32,2541,Jared Brownridge missed Three Point Jumper.,34,33
3:32,2529,Quincy McKnight Defensive Rebound.,34,33
3:27,2529,Joseph Lopez missed Layup.,34,33
3:27,2529,Joseph Lopez Offensive Rebound.,34,33
3:16,2529,Joseph Lopez missed Two Point Tip Shot.,34,33
3:16,2529,Joseph Lopez Offensive Rebound.,34,33
3:14,2529,Joseph Lopez missed Layup.,34,33
3:14,2541,Jarvis Pugh Defensive Rebound.,34,33
3:04,2541,Nate Kratch made Layup.,34,35
2:11,2541,Foul on Jarvis Pugh.,34,35
2:05,2529,Quincy McKnight missed Layup.,34,35
2:05,2541,Evan Wardlow Block.,34,35
2:04,2541,Jarvis Pugh Defensive Rebound.,34,35
2:00,2541,Matt Hauser Turnover.,34,35
1:42,2529,Charles Tucker Jr. made Layup.,36,35
1:25,2541,Jared Brownridge Turnover.,36,35
1:24,2529,Sean Hoehn Steal.,36,35
1:16,2529,Quincy McKnight Turnover.,36,35
1:14,2541,Jarvis Pugh Steal.,36,35
1:08,2541,Matt Hauser made Three Point Jumper. Assisted by Evan Wardlow.,36,38
0:47,2529,Quincy McKnight made Jumper. Assisted by Charles Tucker Jr..,38,38
0:22,2541,Matt Hauser made Three Point Jumper. Assisted by Jared Brownridge.,38,41
0:20,2529,Sacred Heart  Timeout,38,41
0:00,2541,End of 1st half,38,41
19:44,2529,Charles Tucker Jr. Turnover.,38,41
19:44,2541,Matt Hauser Steal.,38,41
19:39,2529,Foul on Sean Hoehn.,38,41
19:39,2541,Jarvis Pugh made Free Throw.,38,42
19:39,2541,Jarvis Pugh missed Free Throw.,38,42
19:39,2529,Joseph Lopez Defensive Rebound.,38,42
19:26,2529,Quincy McKnight made Layup.,40,42
19:11,2541,Jarvis Pugh Turnover.,40,42
19:11,2541,Foul on Jarvis Pugh.,40,42
18:45,2529,Sean Hoehn missed Jumper.,40,42
18:45,2541,Kai Healy Defensive Rebound.,40,42
18:35,2541,Kai Healy Turnover.,40,42
18:34,2529,Charles Tucker Jr. Steal.,40,42
18:34,2541,Foul on Kai Healy.,40,42
18:18,2529,Quincy McKnight missed Layup.,40,42
18:18,2541,Evan Wardlow Block.,40,42
18:18,2529,Sacred Heart Offensive Rebound.,40,42
18:12,2529,Quincy McKnight missed Three Point Jumper.,40,42
18:12,2541,Jarvis Pugh Defensive Rebound.,40,42
17:55,2541,Matt Hauser missed Jumper.,40,42
17:55,2529,Quincy McKnight Defensive Rebound.,40,42
17:43,2529,Joseph Lopez made Layup. Assisted by Quincy McKnight.,42,42
17:27,2541,Jarvis Pugh made Layup.,42,44
17:17,2541,Foul on Evan Wardlow.,42,44
17:08,2541,Foul on Matt Hauser.,42,44
16:46,2529,Charles Tucker Jr. made Layup. Assisted by Quincy McKnight.,44,44
16:38,2529,Foul on Quincy McKnight.,44,44
16:37,2541,Evan Wardlow made Jumper. Assisted by Matt Hauser.,44,46
16:17,2541,Foul on Matt Hauser.,44,46
16:16,2541,Foul on Nate Kratch.,44,46
16:16,2529,Quincy McKnight missed Free Throw.,44,46
16:16,2529,Sacred Heart Deadball Team Rebound.,44,46
16:16,2529,Quincy McKnight made Free Throw.,45,46
15:56,2529,Foul on Charles Tucker Jr..,45,46
15:56,2541,Official TV Timeout,45,46
15:56,2541,Matt Hauser made Free Throw.,45,47
15:56,2541,Matt Hauser made Free Throw.,45,48
15:42,2541,Foul on Jarvis Pugh.,45,48
15:42,2529,Mario Matasovic made Free Throw.,46,48
15:42,2529,Mario Matasovic made Free Throw.,47,48
15:35,2541,Jared Brownridge made Three Point Jumper. Assisted by Matt Hauser.,47,51
15:18,2529,Mario Matasovic Turnover.,47,51
15:18,2529,Foul on Mario Matasovic.,47,51
15:09,2541,Henrik Jadersten made Layup. Assisted by Jared Brownridge.,47,53
14:49,2529,De'von Barnett missed Jumper.,47,53
14:49,2541,Nate Kratch Defensive Rebound.,47,53
14:38,2541,Jared Brownridge made Layup.,47,55
14:22,2529,Sean Hoehn made Layup.,49,55
14:22,2529,Sacred Heart  Timeout,49,55
14:22,2541,Official TV Timeout,49,55
14:12,2541,Jared Brownridge made Three Point Jumper. Assisted by Matt Hauser.,49,58
13:43,2529,De'von Barnett made Layup. Assisted by Mario Matasovic.,51,58
13:17,2541,Evan Wardlow Turnover.,51,58
13:16,2529,Sean Hoehn Steal.,51,58
13:11,2529,Quincy McKnight made Layup. Assisted by De'von Barnett.,53,58
12:55,2541,Henrik Jadersten missed Three Point Jumper.,53,58
12:55,2529,De'von Barnett Defensive Rebound.,53,58
12:41,2541,Foul on Jarvis Pugh.,53,58
12:41,2529,Quincy McKnight missed Free Throw.,53,58
12:41,2529,Joseph Lopez Offensive Rebound.,53,58
12:41,2529,Joseph Lopez missed Layup.,53,58
12:41,2541,Henrik Jadersten Defensive Rebound.,53,58
12:33,2529,Foul on Quincy McKnight.,53,58
12:19,2541,Nate Kratch made Layup. Assisted by Jared Brownridge.,53,60
11:55,2529,Mario Matasovic missed Three Point Jumper.,53,60
11:55,2529,Charles Tucker Jr. Offensive Rebound.,53,60
11:49,2541,Foul on Henrik Jadersten.,53,60
11:49,2541,Official TV Timeout,53,60
11:49,2529,Quincy McKnight missed Free Throw.,53,60
11:49,2529,Sacred Heart Deadball Team Rebound.,53,60
11:49,2529,Quincy McKnight missed Free Throw.,53,60
11:49,2541,Nate Kratch Defensive Rebound.,53,60
11:37,2541,Jared Brownridge made Three Point Jumper. Assisted by Matt Hauser.,53,63
11:11,2529,Matej Buovac missed Three Point Jumper.,53,63
11:11,2541,Nate Kratch Defensive Rebound.,53,63
10:58,2541,Jared Brownridge missed Three Point Jumper.,53,63
10:58,2529,Quincy McKnight Defensive Rebound.,53,63
10:50,2529,Quincy McKnight made Three Point Jumper. Assisted by Charles Tucker Jr..,56,63
10:35,2541,Henrik Jadersten made Three Point Jumper. Assisted by Matt Hauser.,56,66
10:19,2529,Matej Buovac missed Three Point Jumper.,56,66
10:19,2541,Henrik Jadersten Defensive Rebound.,56,66
10:10,2541,Jared Brownridge missed Three Point Jumper.,56,66
10:10,2529,Matej Buovac Defensive Rebound.,56,66
9:58,2529,Matej Buovac made Layup. Assisted by Quincy McKnight.,58,66
9:58,2541,Foul on Nate Kratch.,58,66
9:58,2529,Matej Buovac made Free Throw.,59,66
9:43,2541,Henrik Jadersten made Layup. Assisted by Jared Brownridge.,59,68
9:34,2529,Joseph Lopez missed Layup.,59,68
9:34,2529,Joseph Lopez Offensive Rebound.,59,68
9:31,2529,Joseph Lopez made Two Point Tip Shot.,61,68
9:21,2529,Foul on Mario Matasovic.,61,68
9:21,2529,Foul on Chris Robinson.,61,68
9:21,2541,Jared Brownridge made Free Throw.,61,69
9:21,2541,Jared Brownridge made Free Throw.,61,70
9:01,2529,Sean Hoehn Turnover.,61,70
9:01,2541,Henrik Jadersten Steal.,61,70
8:45,2541,Matt Hauser missed Three Point Jumper.,61,70
8:45,2529,De'von Barnett Defensive Rebound.,61,70
8:37,2529,Sean Hoehn Turnover.,61,70
8:20,2541,Henrik Jadersten missed Jumper.,61,70
8:20,2529,De'von Barnett Block.,61,70
8:18,2529,De'von Barnett Defensive Rebound.,61,70
8:08,2529,Sean Hoehn Turnover.,61,70
7:50,2541,Nate Kratch made Layup. Assisted by Matt Hauser.,61,72
7:29,2529,Quincy McKnight missed Jumper.,61,72
7:29,2529,Joseph Lopez Offensive Rebound.,61,72
7:28,2541,Foul on Henrik Jadersten.,61,72
7:28,2541,Official TV Timeout,61,72
7:28,2529,Joseph Lopez made Free Throw.,62,72
7:28,2529,Joseph Lopez made Free Throw.,63,72
7:28,2541,Nate Kratch Turnover.,63,72
7:24,2529,Joseph Lopez made Layup.,65,72
7:19,2541,Nate Kratch Turnover.,65,72
7:19,2541,Santa Clara  Timeout,65,72
7:16,2529,Joseph Lopez Turnover.,65,72
7:02,2541,Henrik Jadersten Turnover.,65,72
7:02,2541,Foul on Henrik Jadersten.,65,72
6:45,2529,Chris Robinson Turnover.,65,72
6:45,2529,Foul on Chris Robinson.,65,72
6:34,2541,Santa Clara  Turnover.,65,72
6:24,2529,De'von Barnett Turnover.,65,72
6:24,2541,Nate Kratch missed Layup.,65,72
6:24,2529,Joseph Lopez Defensive Rebound.,65,72
6:22,2529,Joseph Lopez missed Layup.,65,72
6:22,2541,Tony Lewis Block.,65,72
6:21,2529,Sacred Heart Offensive Rebound.,65,72
6:18,2529,De'von Barnett made Layup.,67,72
5:39,2541,Tony Lewis made Layup. Assisted by Matt Hauser.,67,74
5:17,2529,Chris Robinson Turnover.,67,74
5:15,2541,Matt Hauser Steal.,67,74
5:00,2541,Jared Brownridge missed Three Point Jumper.,67,74
5:00,2529,De'von Barnett Defensive Rebound.,67,74
4:47,2529,Quincy McKnight Turnover.,67,74
4:46,2541,Jared Brownridge Steal.,67,74
4:22,2541,Tony Lewis made Jumper. Assisted by Jared Brownridge.,67,76
4:05,2529,Joseph Lopez missed Layup.,67,76
4:05,2541,Nate Kratch Defensive Rebound.,67,76
3:45,2541,Tony Lewis Turnover.,67,76
3:44,2529,De'von Barnett Steal.,67,76
3:41,2541,Foul on Matt Hauser.,67,76
3:41,2541,Official TV Timeout,67,76
3:41,2529,Quincy McKnight made Free Throw.,68,76
3:41,2529,Quincy McKnight missed Free Throw.,68,76
3:41,2541,Kai Healy Defensive Rebound.,68,76
3:15,2541,Jared Brownridge made Jumper.,68,78
2:50,2529,De'von Barnett made Layup.,70,78
2:20,2529,Foul on Quincy McKnight.,70,78
2:20,2541,Nate Kratch made Free Throw.,70,79
2:20,2541,Nate Kratch missed Free Throw.,70,79
2:20,2529,Sean Hoehn Defensive Rebound.,70,79
2:19,2529,Quincy McKnight missed Layup.,70,79
2:19,2541,Nate Kratch Defensive Rebound.,70,79
2:06,2541,Jared Brownridge missed Three Point Jumper.,70,79
2:06,2529,Matej Buovac Defensive Rebound.,70,79
1:53,2529,Joseph Lopez missed Jumper.,70,79
1:53,2541,Jarvis Pugh Defensive Rebound.,70,79
1:15,2541,Jared Brownridge made Layup.,70,81
0:54,2541,Foul on Evan Wardlow.,70,81
0:54,2529,Sean Hoehn made Free Throw.,71,81
0:54,2529,Sean Hoehn made Free Throw.,72,81
0:47,2541,Jarvis Pugh missed Layup.,72,81
0:47,2529,De'von Barnett Defensive Rebound.,72,81
0:40,2529,Quincy McKnight missed Jumper.,72,81
0:40,2541,Santa Clara Defensive Rebound.,72,81
0:27,2529,Foul on Chris Robinson.,72,81
0:27,2541,Jared Brownridge missed Free Throw.,72,81
0:27,2541,Santa Clara Deadball Team Rebound.,72,81
0:27,2541,Jared Brownridge made Free Throw.,72,82
0:18,2529,Quincy McKnight Turnover.,72,82
0:12,2529,Foul on De'von Barnett.,72,82
0:12,2541,Matt Hauser made Free Throw.,72,83
0:12,2541,Matt Hauser made Free Throw.,72,84
0:05,2529,De'von Barnett missed Jumper.,72,84
0:05,2529,Mario Matasovic Offensive Rebound.,72,84
0:02,2529,Mario Matasovic made Layup.,74,84
0:00,2541,End of Game,74,84
