Wofford,261,Vermont,2747
3:53,2747,Foul on Dishon Lowery.,26,28
3:53,261,Official TV Timeout,26,28
3:37,2747,Fletcher Magee missed Jumper.,26,28
3:37,261,Payton Henson Defensive Rebound.,26,28
3:12,261,Payton Henson missed Layup.,26,28
3:12,2747,Derrick Brooks Block.,26,28
3:10,2747,Derrick Brooks Defensive Rebound.,26,28
3:10,261,Foul on Dre Wills.,26,28
3:10,2747,Derrick Brooks made Free Throw.,27,28
3:10,2747,Derrick Brooks made Free Throw.,28,28
2:48,261,Trae Bell-Haynes missed Jumper.,28,28
2:48,2747,Cameron Jackson Defensive Rebound.,28,28
2:29,2747,Foul on Cameron Jackson.,28,28
2:29,2747,Cameron Jackson Turnover.,28,28
2:26,261,Trae Bell-Haynes missed Layup.,28,28
2:26,2747,Wofford Defensive Rebound.,28,28
1:41,261,Foul on Josh Hearlihy.,28,28
1:41,2747,Cameron Jackson made Free Throw.,29,28
1:41,2747,Cameron Jackson missed Free Throw.,29,28
1:41,261,Ernie Duncan Defensive Rebound.,29,28
1:17,261,Kurt Steidl missed Layup.,29,28
1:17,261,Payton Henson Offensive Rebound.,29,28
1:17,2747,Foul on Nathan Hoover.,29,28
1:17,261,Payton Henson made Free Throw.,29,29
1:17,261,Payton Henson made Free Throw.,29,30
1:11,2747,Cameron Jackson made Layup.,31,30
0:54,261,Payton Henson missed Three Point Jumper.,31,30
0:54,2747,Cameron Jackson Defensive Rebound.,31,30
0:46,2747,Cameron Jackson Turnover.,31,30
0:02,261,Ernie Duncan missed Three Point Jumper.,31,30
0:02,261,Vermont Offensive Rebound.,31,30
0:00,261,Payton Henson missed Jumper.,31,30
0:00,2747,Wofford Defensive Rebound.,31,30
0:00,261,End of 1st half,31,30
19:50,2747,Ryan Sawvell Turnover.,31,30
19:48,261,Anthony Lamb Steal.,31,30
19:46,261,Anthony Lamb made Layup.,31,32
19:27,2747,Ryan Sawvell missed Layup.,31,32
19:27,261,Anthony Lamb Block.,31,32
