Southern Utah,324,Coastal Carolina,253
8:04,324,Amidou Bamba Defensive Rebound.,17,18
7:54,324,Joseph Williams-Powell missed Jumper.,17,18
7:54,253,Ivan Madunic Defensive Rebound.,17,18
7:45,324,Foul on Amidou Bamba.,17,18
7:45,324,Official TV Timeout,17,18
7:45,253,Christian Musoko made Free Throw.,18,18
7:45,253,Christian Musoko made Free Throw.,19,18
7:25,324,Elijah Wilson missed Jumper.,19,18
7:25,324,Coastal Carolina Offensive Rebound.,19,18
7:25,253,Foul on Randy Onwuasor.,19,18
7:23,253,Foul on Christian Musoko.,19,18
7:23,324,Joseph Williams-Powell made Free Throw.,19,19
7:23,324,Joseph Williams-Powell made Free Throw.,19,20
7:03,253,Randy Onwuasor Turnover.,19,20
6:55,253,Foul on Brayden Holker.,19,20
6:54,324,Artur Labinowicz Turnover.,19,20
6:37,253,Brayden Holker made Layup. Assisted by Race Parsons.,21,20
6:10,324,Joseph Williams-Powell made Layup.,21,22
6:10,253,Foul on Brayden Holker.,21,22
6:10,324,Joseph Williams-Powell made Free Throw.,21,23
6:00,253,James McGee made Three Point Jumper. Assisted by Race Parsons.,24,23
5:38,324,Elijah Wilson made Layup.,24,25
5:16,253,Race Parsons Turnover.,24,25
5:15,324,Jaylen Shaw Steal.,24,25
5:11,324,Artur Labinowicz missed Three Point Jumper.,24,25
5:11,324,Josh Coleman Offensive Rebound.,24,25
4:48,324,Josh Coleman Turnover.,24,25
4:30,253,Race Parsons missed Three Point Jumper.,24,25
4:30,324,Josh Coleman Defensive Rebound.,24,25
4:07,324,Jaylen Shaw made Jumper.,24,27
3:53,253,Randy Onwuasor missed Three Point Jumper.,24,27
3:53,324,Joseph Williams-Powell Defensive Rebound.,24,27
3:42,324,Foul on Joseph Williams-Powell.,24,27
3:42,324,Joseph Williams-Powell Turnover.,24,27
3:42,324,Official TV Timeout,24,27
3:27,253,Jacob Calloway missed Layup.,24,27
3:27,253,Ivan Madunic Offensive Rebound.,24,27
3:21,253,Ivan Madunic missed Two Point Tip Shot.,24,27
3:21,324,Demario Beck Defensive Rebound.,24,27
3:15,324,Demario Beck missed Three Point Jumper.,24,27
3:15,324,Artur Labinowicz Offensive Rebound.,24,27
3:10,324,Artur Labinowicz made Two Point Tip Shot.,24,29
2:52,253,James McGee made Layup.,26,29
2:31,324,Artur Labinowicz Turnover.,26,29
2:30,253,Race Parsons Steal.,26,29
2:28,253,Race Parsons Turnover.,26,29
2:27,324,Jaylen Shaw Steal.,26,29
2:25,324,Elijah Wilson made Layup. Assisted by Amidou Bamba.,26,31
2:11,253,Jacob Calloway made Layup. Assisted by Ivan Madunic.,28,31
1:54,324,Elijah Wilson missed Three Point Jumper.,28,31
1:54,253,Ivan Madunic Defensive Rebound.,28,31
1:45,253,Randy Onwuasor missed Layup.,28,31
1:45,324,Elijah Wilson Defensive Rebound.,28,31
1:33,324,Elijah Wilson made Layup.,28,33
1:18,253,Randy Onwuasor Turnover.,28,33
1:18,324,Coastal Carolina  Timeout,28,33
1:06,324,Jaylen Shaw made Jumper.,28,35
0:57,253,James McGee missed Three Point Jumper.,28,35
0:57,324,Artur Labinowicz Defensive Rebound.,28,35
0:47,324,Jaylen Shaw made Jumper.,28,37
0:31,253,Race Parsons made Layup.,30,37
0:06,324,Artur Labinowicz missed Three Point Jumper.,30,37
0:06,324,Amidou Bamba Offensive Rebound.,30,37
0:00,324,Amidou Bamba made Two Point Tip Shot.,30,39
0:00,324,Official TV Timeout,30,39
0:00,324,End of 1st half,30,39
19:43,253,Randy Onwuasor made Three Point Jumper.,33,39
19:22,324,Elijah Wilson missed Layup.,33,39
19:22,253,Christian Musoko Defensive Rebound.,33,39
19:14,324,Foul on Jaylen Shaw.,33,39
19:14,253,Randy Onwuasor made Free Throw.,34,39
19:14,253,Randy Onwuasor made Free Throw.,35,39
18:54,324,Jaylen Shaw made Three Point Jumper.,35,42
18:39,253,Randy Onwuasor missed Layup.,35,42
18:39,324,Demario Beck Block.,35,42
18:38,253,Southern Utah Offensive Rebound.,35,42
18:36,253,James McGee Turnover.,35,42
18:34,324,Colton Ray-St Cyr Steal.,35,42
18:31,324,Colton Ray-St Cyr made Layup.,35,44
18:20,253,Randy Onwuasor missed Layup.,35,44
18:20,324,Amidou Bamba Block.,35,44
18:19,253,Southern Utah Offensive Rebound.,35,44
18:18,253,Race Parsons made Three Point Jumper. Assisted by Randy Onwuasor.,38,44
17:49,324,Elijah Wilson made Jumper.,38,46
17:41,324,Foul on Jaylen Shaw.,38,46
17:36,253,James McGee made Layup.,40,46
17:06,324,Colton Ray-St Cyr Turnover.,40,46
17:05,253,James McGee Steal.,40,46
17:00,253,Randy Onwuasor missed Three Point Jumper.,40,46
17:00,324,Colton Ray-St Cyr Defensive Rebound.,40,46
16:36,324,Demario Beck made Jumper.,40,48
16:21,253,Christian Musoko made Layup.,42,48
16:03,324,Foul on Colton Ray-St Cyr.,42,48
16:03,324,Colton Ray-St Cyr Turnover.,42,48
15:52,253,Randy Onwuasor missed Layup.,42,48
15:52,324,Amidou Bamba Defensive Rebound.,42,48
15:44,324,Elijah Wilson missed Three Point Jumper.,42,48
15:44,253,James McGee Defensive Rebound.,42,48
15:42,324,Foul on Demario Beck.,42,48
15:42,324,Official TV Timeout,42,48
15:17,324,Foul on Joseph Williams-Powell.,42,48
15:15,253,Race Parsons made Three Point Jumper. Assisted by James McGee.,45,48
14:49,324,Elijah Wilson made Three Point Jumper. Assisted by Artur Labinowicz.,45,51
14:40,253,Race Parsons made Layup.,47,51
14:40,324,Foul on Amidou Bamba.,47,51
14:40,253,Race Parsons made Free Throw.,48,51
14:14,324,Artur Labinowicz missed Jumper.,48,51
14:14,253,Ivan Madunic Defensive Rebound.,48,51
14:07,253,Race Parsons missed Three Point Jumper.,48,51
14:07,324,Elijah Wilson Defensive Rebound.,48,51
13:58,324,Elijah Wilson missed Three Point Jumper.,48,51
13:58,253,Southern Utah Defensive Rebound.,48,51
13:36,253,James McGee made Layup.,50,51
13:12,324,Demario Beck made Layup.,50,53
13:12,253,Foul on Ivan Madunic.,50,53
13:12,324,Demario Beck missed Free Throw.,50,53
13:12,253,Randy Onwuasor Defensive Rebound.,50,53
13:07,253,James McGee made Three Point Jumper. Assisted by Race Parsons.,53,53
12:51,324,Joseph Williams-Powell missed Jumper.,53,53
12:51,324,Demario Beck Offensive Rebound.,53,53
12:44,324,Artur Labinowicz made Three Point Jumper. Assisted by Joseph Williams-Powell.,53,56
12:31,253,Brayden Holker Turnover.,53,56
12:29,324,Artur Labinowicz Steal.,53,56
12:26,253,Foul on Race Parsons.,53,56
12:26,324,Artur Labinowicz missed Free Throw.,53,56
12:26,324,Coastal Carolina Deadball Team Rebound.,53,56
12:26,324,Artur Labinowicz made Free Throw.,53,57
12:12,253,Randy Onwuasor missed Three Point Jumper.,53,57
12:12,253,Jacob Calloway Offensive Rebound.,53,57
12:04,253,Race Parsons missed Three Point Jumper.,53,57
12:04,324,Artur Labinowicz Defensive Rebound.,53,57
11:34,324,Artur Labinowicz made Three Point Jumper. Assisted by Jaylan Robertson.,53,60
11:15,253,James McGee made Three Point Jumper. Assisted by Race Parsons.,56,60
10:45,324,Jaylen Shaw made Layup.,56,62
10:21,253,Race Parsons missed Three Point Jumper.,56,62
10:21,324,Artur Labinowicz Defensive Rebound.,56,62
10:08,324,Joseph Williams-Powell made Layup.,56,64
9:54,253,Ivan Madunic missed Layup.,56,64
9:54,324,Artur Labinowicz Defensive Rebound.,56,64
9:43,253,Foul on Jacob Calloway.,56,64
9:43,324,Official TV Timeout,56,64
9:43,324,Demario Beck made Free Throw.,56,65
9:43,324,Demario Beck made Free Throw.,56,66
9:17,324,Foul on Jaylan Robertson.,56,66
9:17,253,Randy Onwuasor made Free Throw.,57,66
9:17,253,Randy Onwuasor made Free Throw.,58,66
8:49,253,Foul on James McGee.,58,66
8:44,324,Jaylan Robertson made Jumper.,58,68
8:23,253,James McGee missed Layup.,58,68
8:23,324,Amidou Bamba Block.,58,68
8:21,253,James McGee Offensive Rebound.,58,68
8:18,253,James McGee missed Layup.,58,68
8:18,253,Brayden Holker Offensive Rebound.,58,68
8:18,324,Foul on Amidou Bamba.,58,68
8:18,253,Brayden Holker missed Free Throw.,58,68
8:18,253,Southern Utah Deadball Team Rebound.,58,68
8:18,253,Brayden Holker missed Free Throw.,58,68
8:18,324,Amidou Bamba Defensive Rebound.,58,68
8:05,324,Jaylan Robertson Turnover.,58,68
8:05,253,Randy Onwuasor Steal.,58,68
8:05,324,Foul on Jaylen Shaw.,58,68
8:05,253,Randy Onwuasor made Free Throw.,59,68
8:05,253,Randy Onwuasor made Free Throw.,60,68
7:41,324,Jaylan Robertson missed Jumper.,60,68
7:41,253,Christian Musoko Defensive Rebound.,60,68
7:32,253,Randy Onwuasor missed Layup.,60,68
7:32,324,Demario Beck Defensive Rebound.,60,68
7:22,324,Elijah Wilson missed Jumper.,60,68
7:22,253,Randy Onwuasor Defensive Rebound.,60,68
7:16,253,Randy Onwuasor made Layup.,62,68
6:57,253,Foul on Christian Musoko.,62,68
6:57,324,Official TV Timeout,62,68
6:41,324,Demario Beck Turnover.,62,68
6:18,324,Foul on Amidou Bamba.,62,68
6:18,253,Christian Musoko made Free Throw.,63,68
6:18,253,Christian Musoko missed Free Throw.,63,68
6:18,324,Demario Beck Defensive Rebound.,63,68
5:59,324,Jaylen Shaw missed Jumper.,63,68
5:57,253,James McGee Block.,63,68
5:56,324,Coastal Carolina Offensive Rebound.,63,68
5:50,324,Foul on Elijah Wilson.,63,68
5:50,324,Elijah Wilson Turnover.,63,68
5:37,253,Randy Onwuasor missed Three Point Jumper.,63,68
5:37,324,Artur Labinowicz Defensive Rebound.,63,68
5:35,253,Foul on John Marshall.,63,68
5:26,253,Foul on Randy Onwuasor.,63,68
5:26,324,Jaylen Shaw made Free Throw.,63,69
5:26,324,Jaylen Shaw made Free Throw.,63,70
5:10,253,Christian Musoko missed Layup.,63,70
5:10,324,Demario Beck Block.,63,70
5:07,253,Christian Musoko Offensive Rebound.,63,70
5:05,253,Christian Musoko missed Layup.,63,70
5:05,253,Randy Onwuasor Offensive Rebound.,63,70
5:01,253,Randy Onwuasor made Layup.,65,70
4:39,253,Foul on Race Parsons.,65,70
4:39,324,Jaylen Shaw made Free Throw.,65,71
4:39,324,Jaylen Shaw made Free Throw.,65,72
4:15,324,Foul on Elijah Wilson.,65,72
4:15,253,Christian Musoko missed Free Throw.,65,72
4:15,253,Southern Utah Deadball Team Rebound.,65,72
4:15,253,Christian Musoko missed Free Throw.,65,72
4:15,324,Coastal Carolina Defensive Rebound.,65,72
3:49,324,Jaylen Shaw missed Jumper.,65,72
3:49,324,Demario Beck Offensive Rebound.,65,72
3:44,324,Demario Beck missed Layup.,65,72
3:44,253,Christian Musoko Defensive Rebound.,65,72
3:33,253,Race Parsons missed Layup.,65,72
3:33,324,Demario Beck Block.,65,72
3:29,324,Jaylen Shaw Defensive Rebound.,65,72
3:14,253,Foul on John Marshall.,65,72
3:14,324,Official TV Timeout,65,72
3:14,324,Artur Labinowicz made Free Throw.,65,73
3:14,324,Artur Labinowicz made Free Throw.,65,74
3:14,324,Artur Labinowicz made Free Throw.,65,75
3:02,253,Ivan Madunic missed Three Point Jumper.,65,75
3:02,324,Artur Labinowicz Defensive Rebound.,65,75
2:36,324,Elijah Wilson made Layup.,65,77
2:36,253,Foul on Race Parsons.,65,77
2:36,324,Elijah Wilson made Free Throw.,65,78
2:06,253,James McGee made Three Point Jumper.,68,78
2:05,253,Southern Utah  Timeout,68,78
1:58,324,Demario Beck made Layup. Assisted by Artur Labinowicz.,68,80
1:42,253,Randy Onwuasor Turnover.,68,80
1:35,324,Elijah Wilson made Three Point Jumper. Assisted by Jaylen Shaw.,68,83
1:16,253,Foul on Christian Musoko.,68,83
1:16,253,Christian Musoko Turnover.,68,83
1:11,324,Foul on Joseph Williams-Powell.,68,83
1:11,324,Joseph Williams-Powell Turnover.,68,83
0:57,253,John Marshall missed Three Point Jumper.,68,83
0:57,324,Demario Beck Defensive Rebound.,68,83
0:39,324,Foul on Jaylen Shaw.,68,83
0:39,324,Jaylen Shaw Turnover.,68,83
0:33,253,James McGee missed Three Point Jumper.,68,83
0:33,253,Race Parsons Offensive Rebound.,68,83
0:28,253,Race Parsons missed Layup.,68,83
0:28,253,Race Parsons Offensive Rebound.,68,83
0:24,253,Randy Onwuasor missed Three Point Jumper.,68,83
0:24,324,Joseph Williams-Powell Defensive Rebound.,68,83
0:00,324,Official TV Timeout,68,83
0:00,324,End of Game,68,83
