Blue Mountain College,Error,Arkansas-Pine Bluff,2029
3:20,-1,Chris English missed Three Point Jumper.,12,15
3:20,2029,Jaquan Lynch Defensive Rebound.,12,15
3:10,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Kennedy McKinney.,12,18
2:49,2029,Foul on David Tillman.,12,18
2:49,-1,Denio Chirindza made Free Throw.,13,18
2:49,-1,Denio Chirindza made Free Throw.,14,18
2:31,2029,Cedric Turner made Layup. Assisted by Joe'Randle Toliver.,14,20
2:14,2029,Joe'Randle Toliver Steal.,14,20
2:13,-1,Denio Chirindza Turnover.,14,20
2:12,-1,Foul on C.J. Barnes.,14,20
2:12,2029,Joe'Randle Toliver made Free Throw.,14,21
2:12,2029,Joe'Randle Toliver made Free Throw.,14,22
2:12,-1,Denio Chirindza missed Layup.,14,22
2:12,2029,Kennedy McKinney Defensive Rebound.,14,22
1:25,2029,Jaquan Lynch missed Three Point Jumper.,14,22
1:25,2029,Arkansas-Pine Bluff Offensive Rebound.,14,22
0:55,2029,Foul on Kennedy McKinney.,14,22
0:55,2029,Kennedy McKinney Turnover.,14,22
0:35,-1,Denio Chirindza missed Three Point Jumper.,14,22
0:35,2029,Khalid Campbell Defensive Rebound.,14,22
0:29,2029,Joe'Randle Toliver missed Three Point Jumper.,14,22
0:29,-1,Chris English Defensive Rebound.,14,22
0:07,-1,Chris English missed Three Point Jumper.,14,22
0:07,-1,Anfernee Floyd Offensive Rebound.,14,22
0:02,-1,Anfernee Floyd made Layup.,16,22
0:02,2029,Foul on Joe'Randle Toliver.,16,22
0:02,-1,Anfernee Floyd made Free Throw.,17,22
0:00,2029,End of 1st half,17,22
19:50,2029,Ghiavonni Robinson Turnover.,17,22
19:24,2029,Marquis Cunningham Steal.,17,22
19:22,-1,Conner Helvig Turnover.,17,22
19:02,-1,C.J. Barnes Steal.,17,22
19:01,2029,Marquis Cunningham Turnover.,17,22
19:01,2029,Foul on Marquis Cunningham.,17,22
18:42,-1,Conner Helvig made Jumper.,19,22
18:22,-1,Foul on Anfernee Floyd.,19,22
18:09,2029,Ghiavonni Robinson missed Three Point Jumper.,19,22
18:09,2029,Marquis Cunningham Offensive Rebound.,19,22
18:05,2029,Marquis Cunningham Turnover.,19,22
17:47,2029,Foul on Marquis Cunningham.,19,22
17:47,-1,Denio Chirindza made Free Throw.,20,22
17:47,-1,Denio Chirindza made Free Throw.,21,22
17:23,2029,Trent Steen made Layup. Assisted by Ghiavonni Robinson.,21,24
17:23,-1,Foul on Chris English.,21,24
17:23,2029,Trent Steen made Free Throw.,21,25
16:54,-1,Conner Helvig missed Three Point Jumper.,21,25
16:54,-1,Anfernee Floyd Offensive Rebound.,21,25
16:46,-1,Anfernee Floyd made Two Point Tip Shot.,23,25
16:34,2029,Jaquan Lynch missed Three Point Jumper.,23,25
16:34,-1,Conner Helvig Defensive Rebound.,23,25
16:17,-1,Chris English missed Jumper.,23,25
16:17,2029,Trent Steen Block.,23,25
16:12,-1,Blue Mountain Offensive Rebound.,23,25
15:56,-1,Anfernee Floyd missed Jumper.,23,25
15:56,2029,Trent Steen Defensive Rebound.,23,25
15:44,-1,Foul on Anfernee Floyd.,23,25
15:44,2029,Official TV Timeout,23,25
15:44,2029,Joe'Randle Toliver Turnover.,23,25
15:44,2029,Charles Jackson missed Three Point Jumper.,23,25
15:44,-1,Chris English Defensive Rebound.,23,25
15:40,-1,Denio Chirindza missed Layup.,23,25
15:40,2029,Trent Steen Block.,23,25
15:34,2029,Ghiavonni Robinson Defensive Rebound.,23,25
15:31,2029,Trent Steen made Dunk. Assisted by Ghiavonni Robinson.,23,27
14:44,-1,Denio Chirindza Turnover.,23,27
14:31,2029,Trent Steen missed Layup.,23,27
14:31,-1,Chris English Defensive Rebound.,23,27
14:21,2029,Foul on Ghiavonni Robinson.,23,27
14:12,-1,Chris English made Three Point Jumper. Assisted by C.J. Barnes.,26,27
14:02,2029,Travon Harper missed Jumper.,26,27
14:02,-1,Blue Mountain Defensive Rebound.,26,27
13:41,2029,Official TV Timeout,26,27
13:38,-1,Blue Mountain  Timeout,26,27
13:37,-1,Adam Fleming made Layup.,28,27
13:26,2029,Joe'Randle Toliver Turnover.,28,27
13:03,2029,Foul on Ghiavonni Robinson.,28,27
12:57,-1,Denio Chirindza made Jumper. Assisted by Conner Helvig.,30,27
12:37,2029,Travon Harper missed Three Point Jumper.,30,27
12:37,-1,Denio Chirindza Defensive Rebound.,30,27
12:23,-1,Chris English missed Three Point Jumper.,30,27
12:23,2029,Joe'Randle Toliver Defensive Rebound.,30,27
12:02,-1,Foul on Denio Chirindza.,30,27
11:52,2029,Foul on Travon Harper.,30,27
11:52,2029,Travon Harper Turnover.,30,27
11:34,-1,Jay Howard missed Jumper.,30,27
11:34,-1,Adam Fleming Offensive Rebound.,30,27
11:31,-1,Adam Fleming made Two Point Tip Shot.,32,27
11:10,2029,Jaquan Lynch missed Layup.,32,27
11:10,2029,Trent Steen Offensive Rebound.,32,27
11:03,2029,Trent Steen made Two Point Tip Shot.,32,29
10:59,-1,Jay Howard Turnover.,32,29
10:45,2029,Travon Harper made Jumper. Assisted by Kennedy McKinney.,32,31
10:20,-1,Denio Chirindza Turnover.,32,31
10:20,2029,Trent Steen Steal.,32,31
10:20,2029,Arkansas-Pine Bluff  Timeout,32,31
9:57,2029,Travon Harper Turnover.,32,31
9:48,2029,Jaquan Lynch Steal.,32,31
9:47,-1,Jay Howard Turnover.,32,31
9:45,2029,Jaquan Lynch made Layup.,32,33
9:20,-1,Adam Fleming missed Layup.,32,33
9:20,2029,Trent Steen Block.,32,33
9:17,-1,Chris English Offensive Rebound.,32,33
9:14,-1,Chris English made Layup.,34,33
8:52,-1,Foul on Chase Brittingham.,34,33
8:40,-1,Foul on Chase Brittingham.,34,33
8:40,2029,Ghiavonni Robinson made Free Throw.,34,34
8:40,2029,Ghiavonni Robinson made Free Throw.,34,35
8:22,2029,Trent Steen Steal.,34,35
8:16,-1,Chris English Turnover.,34,35
8:14,-1,Foul on Chris English.,34,35
8:14,2029,Trent Steen made Free Throw.,34,36
8:14,2029,Trent Steen made Free Throw.,34,37
8:05,-1,Anfernee Floyd made Layup. Assisted by C.J. Barnes.,36,37
7:44,-1,Foul on Conner Helvig.,36,37
7:42,2029,Official TV Timeout,36,37
7:42,2029,Travon Harper made Free Throw.,36,38
7:42,2029,Travon Harper missed Free Throw.,36,38
7:42,-1,Conner Helvig Defensive Rebound.,36,38
7:22,-1,Blue Mountain  Timeout,36,38
7:14,-1,Anfernee Floyd made Layup. Assisted by Chase Brittingham.,38,38
6:55,2029,Kennedy McKinney missed Jumper.,38,38
6:55,-1,Blue Mountain Defensive Rebound.,38,38
6:20,-1,Chase Brittingham missed Jumper.,38,38
6:20,-1,Anfernee Floyd Offensive Rebound.,38,38
6:15,-1,Conner Helvig made Three Point Jumper. Assisted by Anfernee Floyd.,41,38
5:58,2029,Marcus Wallace missed Three Point Jumper.,41,38
5:58,2029,Trent Steen Offensive Rebound.,41,38
5:54,2029,Trent Steen Turnover.,41,38
5:42,2029,Foul on Jaquan Lynch.,41,38
5:38,-1,Conner Helvig missed Jumper.,41,38
5:38,2029,Trent Steen Defensive Rebound.,41,38
5:24,2029,Foul on Travon Harper.,41,38
5:24,2029,Travon Harper Turnover.,41,38
5:03,-1,Justin McClellon Turnover.,41,38
5:02,2029,Jaquan Lynch Steal.,41,38
4:56,-1,Foul on Chris English.,41,38
4:56,2029,Ghiavonni Robinson made Free Throw.,41,39
4:56,2029,Ghiavonni Robinson made Free Throw.,41,40
4:56,2029,Ghiavonni Robinson made Free Throw.,41,41
4:42,-1,Chris English missed Three Point Jumper.,41,41
4:42,-1,Blue Mountain Offensive Rebound.,41,41
4:39,2029,Foul on Trent Steen.,41,41
4:39,-1,Anfernee Floyd made Free Throw.,42,41
4:39,-1,Anfernee Floyd made Free Throw.,43,41
4:13,2029,Trent Steen made Layup.,43,43
3:55,-1,Chase Brittingham missed Layup.,43,43
3:55,2029,Trent Steen Block.,43,43
3:55,-1,Blue Mountain Offensive Rebound.,43,43
3:50,2029,Official TV Timeout,43,43
3:47,-1,Justin McClellon missed Three Point Jumper.,43,43
3:47,2029,Trent Steen Defensive Rebound.,43,43
3:43,2029,Trent Steen missed Free Throw.,43,43
3:43,2029,Arkansas-Pine Bluff Deadball Team Rebound.,43,43
3:43,2029,Trent Steen missed Free Throw.,43,43
3:43,-1,Chase Brittingham Defensive Rebound.,43,43
3:40,-1,Foul on Chris English.,43,43
3:23,-1,Conner Helvig missed Three Point Jumper.,43,43
3:23,2029,Ghiavonni Robinson Defensive Rebound.,43,43
2:59,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Jaquan Lynch.,43,46
2:39,-1,Justin McClellon made Jumper. Assisted by Chase Brittingham.,45,46
2:07,2029,Ghiavonni Robinson missed Jumper.,45,46
2:07,-1,Chase Brittingham Defensive Rebound.,45,46
1:56,2029,Ghiavonni Robinson Turnover.,45,46
1:54,-1,Chase Brittingham Steal.,45,46
1:40,-1,Chris English missed Layup.,45,46
1:40,2029,Trent Steen Block.,45,46
1:36,-1,Anfernee Floyd Offensive Rebound.,45,46
1:32,-1,Anfernee Floyd made Two Point Tip Shot.,47,46
1:24,2029,Jaquan Lynch made Jumper.,47,48
0:56,-1,Chris English Turnover.,47,48
0:33,2029,Jaquan Lynch missed Three Point Jumper.,47,48
0:33,-1,Chase Brittingham Defensive Rebound.,47,48
0:25,-1,Blue Mountain  Timeout,47,48
0:13,-1,Conner Helvig missed Jumper.,47,48
0:13,-1,Anfernee Floyd Offensive Rebound.,47,48
0:08,-1,Anfernee Floyd Turnover.,47,48
0:08,2029,Jaquan Lynch Steal.,47,48
0:08,-1,Foul on Conner Helvig.,47,48
0:08,2029,Jaquan Lynch made Free Throw.,47,49
0:08,2029,Jaquan Lynch made Free Throw.,47,50
0:04,-1,Conner Helvig made Three Point Jumper. Assisted by Chris English.,50,50
0:00,2029,End of 2nd half,50,50
4:46,-1,Justin McClellon missed Three Point Jumper.,50,50
4:46,-1,Chris English Offensive Rebound.,50,50
4:40,-1,Blue Mountain  Timeout,50,50
4:40,2029,Official TV Timeout,50,50
4:21,-1,Chase Brittingham made Jumper.,52,50
4:03,2029,Charles Jackson made Three Point Jumper.,52,53
3:45,-1,Conner Helvig Turnover.,52,53
3:43,2029,Jaquan Lynch Steal.,52,53
3:35,2029,Kennedy McKinney missed Three Point Jumper.,52,53
3:35,-1,Conner Helvig Defensive Rebound.,52,53
3:18,-1,Chris English made Three Point Jumper. Assisted by Justin McClellon.,55,53
2:57,2029,Ghiavonni Robinson made Three Point Jumper.,55,56
2:36,-1,Chris English missed Three Point Jumper.,55,56
2:36,2029,Charles Jackson Defensive Rebound.,55,56
2:16,2029,Travon Harper missed Three Point Jumper.,55,56
2:16,-1,Conner Helvig Defensive Rebound.,55,56
2:07,-1,Anfernee Floyd missed Layup.,55,56
2:07,2029,Trent Steen Defensive Rebound.,55,56
1:49,2029,Charles Jackson missed Three Point Jumper.,55,56
1:49,-1,Anfernee Floyd Defensive Rebound.,55,56
1:21,-1,Chase Brittingham made Jumper.,57,56
0:54,2029,Travon Harper missed Layup.,57,56
0:54,2029,Trent Steen Offensive Rebound.,57,56
0:50,2029,Trent Steen Turnover.,57,56
0:48,-1,Conner Helvig Steal.,57,56
0:32,-1,Conner Helvig missed Jumper.,57,56
0:32,-1,Anfernee Floyd Offensive Rebound.,57,56
0:23,2029,Foul on Travon Harper.,57,56
0:23,-1,Chris English missed Free Throw.,57,56
0:23,2029,Joe'Randle Toliver Defensive Rebound.,57,56
0:23,2029,Arkansas-Pine Bluff  Timeout,57,56
0:12,2029,Charles Jackson missed Jumper.,57,56
0:12,-1,Chris English Defensive Rebound.,57,56
0:08,2029,Foul on Joe'Randle Toliver.,57,56
0:08,-1,Chris English missed Free Throw.,57,56
0:08,-1,Blue Mountain Deadball Team Rebound.,57,56
0:08,-1,Chris English made Free Throw.,58,56
0:03,-1,Foul on Justin McClellon.,58,56
0:03,2029,Ghiavonni Robinson made Free Throw.,58,57
0:03,2029,Ghiavonni Robinson made Free Throw.,58,58
0:00,-1,Chris English missed Three Point Jumper.,58,58
0:00,2029,Arkansas-Pine Bluff Defensive Rebound.,58,58
0:00,2029,End of 1st overtime,58,58
4:50,-1,Chase Brittingham missed Jumper.,58,58
4:50,-1,Anfernee Floyd Offensive Rebound.,58,58
4:44,-1,Chris English missed Three Point Jumper.,58,58
4:44,-1,Anfernee Floyd Offensive Rebound.,58,58
4:17,-1,Chris English missed Three Point Jumper.,58,58
4:17,-1,Anfernee Floyd Offensive Rebound.,58,58
4:07,-1,Justin McClellon missed Three Point Jumper.,58,58
4:07,-1,Chris English Offensive Rebound.,58,58
3:54,-1,Conner Helvig Turnover.,58,58
3:30,2029,Travon Harper missed Three Point Jumper.,58,58
3:30,-1,Justin McClellon Defensive Rebound.,58,58
3:29,-1,Chris English missed Free Throw.,59,58
3:29,-1,Blue Mountain Deadball Team Rebound.,59,58
3:29,-1,Chris English made Free Throw.,60,58
3:21,2029,Foul on Charles Jackson.,58,58
3:21,-1,Technical Foul on Justin McClellon.,58,58
3:21,-1,Conner Helvig missed Free Throw.,58,58
3:21,-1,Blue Mountain Deadball Team Rebound.,58,58
3:21,-1,Conner Helvig made Free Throw.,59,58
3:10,2029,Marcus Wallace made Three Point Jumper. Assisted by Ghiavonni Robinson.,60,61
2:31,-1,Conner Helvig made Layup.,62,61
2:02,2029,Ghiavonni Robinson missed Three Point Jumper.,62,61
2:02,-1,Justin McClellon Defensive Rebound.,62,61
1:43,-1,Chris English made Layup.,64,61
1:22,2029,Travon Harper made Layup.,64,63
1:21,-1,Foul on Chase Brittingham.,64,63
1:21,2029,Travon Harper made Free Throw.,64,64
1:08,-1,Justin McClellon missed Layup.,64,64
1:08,-1,Chris English Offensive Rebound.,64,64
1:03,-1,Conner Helvig Turnover.,64,64
0:44,2029,Arkansas-Pine Bluff  Timeout,64,64
0:26,2029,Jaquan Lynch missed Jumper.,64,64
0:26,-1,Chris English Defensive Rebound.,64,64
0:20,2029,Foul on Marcus Wallace.,64,64
0:20,-1,Chris English made Free Throw.,65,64
0:20,-1,Chris English missed Free Throw.,65,64
0:20,2029,Jaquan Lynch Defensive Rebound.,65,64
0:14,2029,Foul on Travon Harper.,65,64
0:14,2029,Travon Harper Turnover.,65,64
0:08,-1,Blue Mountain  Timeout,65,64
0:08,2029,Foul on Jaquan Lynch.,65,64
0:08,-1,Anfernee Floyd missed Free Throw.,65,64
0:08,-1,Blue Mountain Deadball Team Rebound.,65,64
0:08,-1,Anfernee Floyd made Free Throw.,66,64
0:03,2029,Marcus Wallace missed Three Point Jumper.,66,64
0:03,2029,Trent Steen Offensive Rebound.,66,64
0:00,2029,Trent Steen made Two Point Tip Shot.,66,66
0:00,2029,End of 2nd overtime,66,66
4:45,-1,Foul on Anfernee Floyd.,66,66
4:45,2029,Trent Steen missed Free Throw.,66,66
4:45,2029,Arkansas-Pine Bluff Deadball Team Rebound.,66,66
4:45,2029,Jaquan Lynch Turnover.,66,66
4:33,-1,Denio Chirindza Turnover.,66,66
4:15,2029,Marcus Wallace missed Layup.,66,66
4:15,-1,Denio Chirindza Defensive Rebound.,66,66
3:49,-1,Conner Helvig Turnover.,66,66
3:38,-1,Foul on Conner Helvig.,66,66
3:38,2029,Trent Steen missed Free Throw.,66,66
3:38,2029,Arkansas-Pine Bluff Deadball Team Rebound.,66,66
3:38,2029,Trent Steen missed Free Throw.,66,66
3:38,-1,Anfernee Floyd Defensive Rebound.,66,66
3:04,-1,Conner Helvig made Three Point Jumper. Assisted by Chris English.,69,66
2:47,2029,Jaquan Lynch made Layup.,69,68
2:21,-1,Chris English made Three Point Jumper. Assisted by Conner Helvig.,72,68
2:07,2029,Ghiavonni Robinson missed Three Point Jumper.,72,68
2:07,2029,Trent Steen Offensive Rebound.,72,68
2:01,2029,Trent Steen made Two Point Tip Shot.,72,70
1:40,-1,Justin McClellon missed Jumper.,72,70
1:40,-1,Blue Mountain Offensive Rebound.,72,70
1:36,-1,Chris English Turnover.,72,70
1:06,-1,Foul on Conner Helvig.,72,70
1:06,2029,Ghiavonni Robinson made Free Throw.,72,71
1:06,2029,Ghiavonni Robinson made Free Throw.,72,72
0:52,-1,Denio Chirindza made Layup.,74,72
0:37,2029,Trent Steen made Jumper. Assisted by Joe'Randle Toliver.,74,74
0:07,-1,Chris English missed Three Point Jumper.,74,74
0:07,-1,Anfernee Floyd Offensive Rebound.,74,74
0:07,2029,Foul on Trent Steen.,74,74
0:07,-1,Anfernee Floyd made Free Throw.,75,74
0:07,-1,Anfernee Floyd missed Free Throw.,75,74
0:07,2029,Ghiavonni Robinson Defensive Rebound.,75,74
0:01,2029,Ghiavonni Robinson Turnover.,75,74
0:01,-1,Blue Mountain  Timeout,75,74
0:01,2029,Foul on Jaquan Lynch.,75,74
0:01,-1,Anfernee Floyd made Free Throw.,76,74
0:01,-1,Anfernee Floyd made Free Throw.,77,74
0:01,2029,Arkansas-Pine Bluff  Timeout,77,74
