Xavier LA,Error,SE Louisiana,2545
3:13,2545,Moses Greenwood Offensive Rebound.,65,81
3:09,2545,Moses Greenwood made Jumper.,65,83
3:01,-1,Donovan Armstrong made Jumper.,67,83
2:44,2545,Moses Greenwood Turnover.,67,83
2:31,-1,Mike Williams missed Three Point Jumper.,67,83
2:31,2545,Eddy Polanco Defensive Rebound.,67,83
2:15,-1,Foul on Hakeem Simon.,67,83
2:15,2545,Eddy Polanco made Free Throw.,67,84
2:15,2545,Eddy Polanco made Free Throw.,67,85
2:03,-1,Mike Williams missed Three Point Jumper.,67,85
2:03,-1,Xavier (LA) Offensive Rebound.,67,85
1:49,-1,Mike Williams missed Jumper.,67,85
1:49,2545,Eddy Polanco Defensive Rebound.,67,85
1:43,2545,Eddy Polanco missed Jumper.,67,85
1:43,2545,Eddy Polanco Offensive Rebound.,67,85
1:40,2545,Eddy Polanco made Jumper.,67,87
1:31,-1,Donovan Armstrong missed Jumper.,67,87
1:31,2545,Eddy Polanco Defensive Rebound.,67,87
1:23,2545,George Brock missed Three Point Jumper.,67,87
1:23,2545,Moses Greenwood Offensive Rebound.,67,87
1:18,2545,Moses Greenwood Turnover.,67,87
1:18,2545,Foul on Moses Greenwood.,67,87
1:06,-1,Jalen David missed Three Point Jumper.,67,87
1:06,2545,Eddy Polanco Defensive Rebound.,67,87
0:51,2545,Moses Greenwood made Jumper. Assisted by Dimi Cook.,67,89
0:43,-1,Seth Jackson made Layup.,69,89
0:15,-1,Foul on Leland Alexander.,69,89
0:15,2545,George Brock missed Free Throw.,69,89
0:15,2545,SE Louisiana Deadball Team Rebound.,69,89
0:15,2545,George Brock missed Free Throw.,69,89
0:15,-1,Donovan Armstrong Defensive Rebound.,69,89
0:15,-1,Mike Williams made Three Point Jumper. Assisted by Donovan Armstrong.,72,89
0:00,2545,End of Game,72,89
