Fort Valley State,Error,Savannah State,2542
15:49,2542,Official TV Timeout,9,9
15:31,-1,Jalen Crawford made Three Point Jumper. Assisted by Anton Hurst.,12,9
15:22,2542,Zach Sellers missed Layup.,12,9
15:22,-1,Anton Hurst Block.,12,9
15:22,2542,Savannah St Offensive Rebound.,12,9
15:09,2542,Dexter McClanahan made Three Point Jumper. Assisted by Zach Sellers.,12,12
15:02,-1,J.R. Bryant missed Jumper.,12,12
15:02,-1,Anton Hurst Offensive Rebound.,12,12
14:54,-1,Jalen Crawford made Three Point Jumper. Assisted by Tyler Edwards.,15,12
14:36,2542,Casey Wells made Three Point Jumper. Assisted by Jahir Cabeza.,15,15
14:24,2542,Foul on Jahir Cabeza.,15,15
14:24,-1,Tyler Edwards made Free Throw.,16,15
14:24,-1,Tyler Edwards made Free Throw.,17,15
14:11,2542,Dexter McClanahan made Three Point Jumper. Assisted by Zach Sellers.,17,18
13:57,-1,Jaylon McMillan made Three Point Jumper. Assisted by Tyler Edwards.,20,18
13:52,2542,Dexter McClanahan made Three Point Jumper. Assisted by Zach Sellers.,20,21
13:36,-1,Jaylon McMillan missed Three Point Jumper.,20,21
13:36,2542,Dexter McClanahan Defensive Rebound.,20,21
13:27,-1,Foul on J.R. Bryant.,20,21
13:19,2542,Casey Wells made Three Point Jumper. Assisted by Zach Sellers.,20,24
12:56,-1,Denard Williams missed Jumper.,20,24
12:56,2542,Casey Wells Defensive Rebound.,20,24
12:50,2542,Casey Wells missed Three Point Jumper.,20,24
12:50,-1,Denard Williams Defensive Rebound.,20,24
12:42,-1,Jalen Crawford Turnover.,20,24
12:37,2542,Isaiah Felder made Three Point Jumper. Assisted by Zach Sellers.,20,27
12:15,-1,Jalen Crawford made Jumper.,22,27
11:59,-1,Foul on Tyler Edwards.,22,27
11:59,2542,Dexter McClanahan missed Free Throw.,22,27
11:59,2542,Savannah St Deadball Team Rebound.,22,27
11:54,2542,Dexter McClanahan missed Free Throw.,22,27
11:54,-1,Denard Williams Defensive Rebound.,22,27
11:52,-1,Fort Valley State  Timeout,22,27
11:52,-1,Fort Valley State  Timeout,22,27
11:43,-1,Ray Mobley missed Three Point Jumper.,22,27
11:43,2542,Dexter McClanahan Defensive Rebound.,22,27
11:34,2542,Casey Wells Turnover.,22,27
11:32,-1,Ray Mobley Steal.,22,27
11:22,-1,Kris Bell missed Layup.,22,27
11:22,2542,Jordan Gaines Defensive Rebound.,22,27
11:18,2542,Kamil Williams missed Three Point Jumper.,22,27
11:18,-1,Jamaal Garror Defensive Rebound.,22,27
10:50,-1,Jalen Crawford made Jumper.,24,27
10:41,-1,Foul on Jalen Crawford.,24,27
10:40,2542,Zach Sellers made Layup.,24,29
10:18,-1,Jaylon McMillan Turnover.,24,29
10:17,2542,Jahir Cabeza Steal.,24,29
10:05,2542,Troyce Manassa made Jumper.,24,31
9:54,-1,Kris Bell missed Layup.,24,31
9:54,2542,Kamil Williams Defensive Rebound.,24,31
9:47,2542,Zach Sellers missed Three Point Jumper.,24,31
9:47,-1,Ray Mobley Defensive Rebound.,24,31
9:39,-1,Jaylon McMillan made Layup. Assisted by Ray Mobley.,26,31
9:39,2542,Foul on Troyce Manassa.,26,31
9:39,-1,Jaylon McMillan made Free Throw.,27,31
9:35,2542,Jahir Cabeza made Dunk. Assisted by Troyce Manassa.,27,33
9:23,-1,Jamaal Garror missed Three Point Jumper.,27,33
9:23,2542,Jahir Cabeza Defensive Rebound.,27,33
9:17,2542,Austin Dasent Turnover.,27,33
9:07,-1,Dekoven Ware missed Layup.,27,33
9:07,2542,Austin Dasent Defensive Rebound.,27,33
9:02,2542,Austin Dasent Turnover.,27,33
9:01,-1,Shaquil Barfield Steal.,27,33
8:55,-1,Ray Mobley missed Layup.,27,33
8:55,2542,Austin Dasent Defensive Rebound.,27,33
8:44,2542,Troyce Manassa missed Three Point Jumper.,27,33
8:44,2542,Dexter McClanahan Offensive Rebound.,27,33
8:38,2542,Dexter McClanahan missed Jumper.,27,33
8:38,-1,Shaquil Barfield Defensive Rebound.,27,33
8:32,-1,Jamaal Garror missed Three Point Jumper.,27,33
8:32,2542,Austin Dasent Defensive Rebound.,27,33
8:23,2542,Austin Dasent missed Layup.,27,33
8:23,2542,Jahir Cabeza Offensive Rebound.,27,33
8:18,2542,Troyce Manassa made Three Point Jumper. Assisted by Jahir Cabeza.,27,36
8:06,-1,Jaylon McMillan missed Three Point Jumper.,27,36
8:06,2542,Jahir Cabeza Block.,27,36
8:04,2542,Kamil Williams Defensive Rebound.,27,36
7:59,2542,Kamil Williams Turnover.,27,36
7:56,-1,Dekoven Ware Steal.,27,36
7:51,-1,Ray Mobley made Three Point Jumper. Assisted by Shaquil Barfield.,30,36
7:42,-1,Foul on Dekoven Ware.,30,36
7:42,2542,Official TV Timeout,30,36
7:42,2542,Troyce Manassa made Free Throw.,30,37
7:42,2542,Troyce Manassa made Free Throw.,30,38
7:28,-1,J.R. Bryant missed Jumper.,30,38
7:28,2542,Austin Dasent Defensive Rebound.,30,38
7:12,-1,Foul on Shaquil Barfield.,30,38
7:12,2542,Austin Dasent made Free Throw.,30,39
7:12,2542,Austin Dasent made Free Throw.,30,40
7:07,-1,Chris Smoak Turnover.,30,40
7:06,2542,Austin Dasent Steal.,30,40
7:04,2542,Austin Dasent made Layup.,30,42
6:50,-1,Shaquil Barfield made Layup.,32,42
6:43,-1,Foul on Shaquil Barfield.,32,42
6:43,2542,Troyce Manassa made Free Throw.,32,43
6:43,2542,Troyce Manassa missed Free Throw.,32,43
6:43,-1,Tyler Edwards Defensive Rebound.,32,43
6:36,-1,Jalen Crawford Turnover.,32,43
6:19,2542,Troyce Manassa missed Layup.,32,43
6:19,-1,Tyler Edwards Block.,32,43
6:17,-1,Chris Smoak Defensive Rebound.,32,43
6:14,-1,J.R. Bryant made Layup. Assisted by Chris Smoak.,34,43
6:07,-1,Foul on Chris Smoak.,34,43
6:07,2542,Dexter McClanahan made Free Throw.,34,44
6:07,2542,Dexter McClanahan made Free Throw.,34,45
5:53,-1,Jalen Crawford missed Three Point Jumper.,34,45
5:53,2542,Austin Dasent Defensive Rebound.,34,45
5:40,2542,Maricus Glenn missed Layup.,34,45
5:40,2542,Maricus Glenn Offensive Rebound.,34,45
5:34,2542,Austin Dasent Turnover.,34,45
5:24,2542,Foul on Austin Dasent.,34,45
5:23,-1,Jalen Crawford missed Three Point Jumper.,34,45
5:23,2542,Casey Wells Defensive Rebound.,34,45
4:54,2542,Maricus Glenn missed Dunk.,34,45
4:54,2542,Zach Sellers Offensive Rebound.,34,45
4:52,-1,Foul on Tyler Edwards.,34,45
4:52,2542,Zach Sellers made Free Throw.,34,46
4:52,2542,Zach Sellers missed Free Throw.,34,46
4:52,-1,Jamaal Garror Defensive Rebound.,34,46
4:42,2542,Foul on Dexter McClanahan.,34,46
4:42,-1,J.R. Bryant made Free Throw.,35,46
4:42,-1,J.R. Bryant made Free Throw.,36,46
4:33,2542,Casey Wells missed Three Point Jumper.,36,46
4:33,2542,Austin Dasent Offensive Rebound.,36,46
4:25,2542,Austin Dasent made Layup.,36,48
4:12,-1,Jalen Crawford missed Jumper.,36,48
4:12,-1,Denard Williams Offensive Rebound.,36,48
4:12,2542,Foul on Dexter McClanahan.,36,48
4:12,-1,Devante Bryant missed Free Throw.,36,48
4:12,-1,Fort Valley State Deadball Team Rebound.,36,48
4:12,-1,Devante Bryant made Free Throw.,37,48
3:54,2542,Zach Sellers Turnover.,37,48
3:52,-1,Jamaal Garror Steal.,37,48
3:50,-1,Jamaal Garror made Layup.,39,48
3:39,2542,Austin Dasent made Three Point Jumper.,39,51
3:14,-1,Jaylon McMillan made Jumper.,41,51
2:59,2542,Official TV Timeout,41,51
2:53,2542,Isaiah Felder Turnover.,41,51
2:37,-1,Jalen Crawford made Jumper.,43,51
2:20,2542,Isaiah Felder missed Jumper.,43,51
2:20,-1,Devante Bryant Defensive Rebound.,43,51
2:02,-1,Jaylon McMillan made Three Point Jumper. Assisted by Ray Mobley.,46,51
1:52,2542,Zach Sellers made Layup.,46,53
1:41,-1,Jamaal Garror made Layup.,48,53
1:31,2542,Zach Sellers Turnover.,48,53
1:29,-1,Devante Bryant Steal.,48,53
1:22,-1,Jalen Crawford missed Three Point Jumper.,48,53
1:22,2542,Jahir Cabeza Defensive Rebound.,48,53
1:14,2542,Zach Sellers made Three Point Jumper. Assisted by Jahir Cabeza.,48,56
0:58,-1,Jaylon McMillan made Three Point Jumper.,51,56
0:45,2542,Jordan Gaines made Layup. Assisted by Isaiah Felder.,51,58
0:31,-1,Jamaal Garror Turnover.,51,58
0:26,2542,Zach Sellers missed Layup.,51,58
0:26,-1,Fort Valley State Defensive Rebound.,51,58
0:20,-1,Ray Mobley missed Three Point Jumper.,51,58
0:20,-1,Shaquil Barfield Offensive Rebound.,51,58
0:11,-1,Jaylon McMillan missed Jumper.,51,58
0:11,-1,Shaquil Barfield Offensive Rebound.,51,58
0:03,-1,Anton Hurst missed Layup.,51,58
0:03,-1,Shaquil Barfield Offensive Rebound.,51,58
0:00,2542,End of 1st half,51,58
19:48,2542,Troyce Manassa missed Three Point Jumper.,51,58
19:48,-1,Tyler Edwards Defensive Rebound.,51,58
19:41,2542,Foul on Joshua Floyd.,51,58
19:41,-1,Tyler Edwards missed Free Throw.,51,58
19:41,-1,Fort Valley State Deadball Team Rebound.,51,58
19:41,-1,Tyler Edwards made Free Throw.,52,58
19:25,2542,Troyce Manassa made Three Point Jumper. Assisted by Dexter McClanahan.,52,61
19:12,-1,Foul on J.R. Bryant.,52,61
19:12,-1,J.R. Bryant Turnover.,52,61
19:02,2542,Dexter McClanahan made Layup.,52,63
18:52,-1,Jalen Crawford missed Jumper.,52,63
18:52,-1,Fort Valley State Offensive Rebound.,52,63
18:47,-1,Denard Williams missed Three Point Jumper.,52,63
18:47,2542,Savannah St Defensive Rebound.,52,63
18:44,-1,Foul on Anton Hurst.,52,63
18:32,2542,Joshua Floyd missed Three Point Jumper.,52,63
18:32,-1,J.R. Bryant Defensive Rebound.,52,63
18:22,-1,Tyler Edwards made Jumper.,54,63
18:13,2542,Dexter McClanahan missed Three Point Jumper.,54,63
18:13,-1,Anton Hurst Defensive Rebound.,54,63
18:02,-1,Jalen Crawford missed Jumper.,54,63
18:02,-1,Denard Williams Offensive Rebound.,54,63
17:57,-1,Denard Williams Turnover.,54,63
17:56,2542,Dexter McClanahan Steal.,54,63
17:47,2542,Jahir Cabeza Turnover.,54,63
17:22,-1,J.R. Bryant made Three Point Jumper. Assisted by Tyler Edwards.,57,63
17:09,2542,Dexter McClanahan made Three Point Jumper. Assisted by Troyce Manassa.,57,66
16:52,-1,J.R. Bryant missed Three Point Jumper.,57,66
16:52,2542,Savannah St Defensive Rebound.,57,66
16:47,2542,Zach Sellers Turnover.,57,66
16:36,-1,Jalen Crawford missed Layup.,57,66
16:36,2542,Jahir Cabeza Block.,57,66
16:35,-1,Denard Williams Offensive Rebound.,57,66
16:35,-1,Denard Williams made Layup.,59,66
16:35,2542,Foul on Dexter McClanahan.,59,66
16:35,-1,Denard Williams missed Free Throw.,59,66
16:35,2542,Jahir Cabeza Defensive Rebound.,59,66
16:18,-1,Foul on J.R. Bryant.,59,66
16:15,2542,Zach Sellers made Three Point Jumper. Assisted by Dexter McClanahan.,59,69
15:51,-1,J.R. Bryant made Three Point Jumper.,62,69
15:38,2542,Jordan Gaines made Jumper. Assisted by Jahir Cabeza.,62,71
15:16,-1,Jalen Crawford missed Three Point Jumper.,62,71
15:16,2542,Jordan Gaines Defensive Rebound.,62,71
15:04,2542,Jordan Gaines missed Jumper.,62,71
15:04,-1,Jalen Crawford Defensive Rebound.,62,71
14:58,-1,J.R. Bryant missed Three Point Jumper.,62,71
14:58,2542,Austin Dasent Defensive Rebound.,62,71
14:47,2542,Jahir Cabeza missed Three Point Jumper.,62,71
14:47,-1,Jamaal Garror Defensive Rebound.,62,71
14:29,-1,Jaylon McMillan made Three Point Jumper. Assisted by Ray Mobley.,65,71
14:21,2542,Casey Wells made Three Point Jumper. Assisted by Zach Sellers.,65,74
14:11,-1,Tyler Edwards missed Layup.,65,74
14:11,-1,Tyler Edwards Offensive Rebound.,65,74
14:07,-1,Tyler Edwards missed Layup.,65,74
14:07,2542,Dexter McClanahan Defensive Rebound.,65,74
14:02,2542,Casey Wells made Three Point Jumper. Assisted by Dexter McClanahan.,65,77
13:50,-1,Jaylon McMillan missed Three Point Jumper.,65,77
13:50,2542,Zach Sellers Defensive Rebound.,65,77
13:37,2542,Casey Wells missed Three Point Jumper.,65,77
13:37,-1,Denard Williams Defensive Rebound.,65,77
13:14,-1,Jaylon McMillan missed Layup.,65,77
13:14,2542,Zach Sellers Defensive Rebound.,65,77
12:55,2542,Dexter McClanahan missed Three Point Jumper.,65,77
12:55,2542,Casey Wells Offensive Rebound.,65,77
12:51,2542,Casey Wells Turnover.,65,77
12:48,-1,Ray Mobley Steal.,65,77
12:44,-1,Ray Mobley missed Layup.,65,77
12:44,-1,Denard Williams Offensive Rebound.,65,77
12:41,-1,Denard Williams made Dunk.,67,77
12:38,2542,Zach Sellers missed Layup.,67,77
12:38,-1,Fort Valley State Defensive Rebound.,67,77
12:14,-1,Denard Williams missed Three Point Jumper.,67,77
12:14,-1,Shaquil Barfield Offensive Rebound.,67,77
12:14,2542,Foul on Troyce Manassa.,67,77
12:03,-1,Tyler Edwards missed Jumper.,67,77
12:03,2542,Troyce Manassa Defensive Rebound.,67,77
11:51,2542,Casey Wells missed Three Point Jumper.,67,77
11:51,-1,Tyler Edwards Defensive Rebound.,67,77
11:43,2542,Foul on Troyce Manassa.,67,77
11:16,-1,Shaquil Barfield missed Jumper.,67,77
11:16,-1,Denard Williams Offensive Rebound.,67,77
11:08,-1,Jalen Crawford missed Three Point Jumper.,67,77
11:08,2542,Austin Dasent Defensive Rebound.,67,77
10:56,2542,Austin Dasent made Three Point Jumper. Assisted by Joshua Floyd.,67,80
10:42,2542,Foul on Jordan Gaines.,67,80
10:42,-1,Jalen Crawford made Free Throw.,68,80
10:42,-1,Jalen Crawford made Free Throw.,69,80
10:26,2542,Jordan Gaines made Jumper.,69,82
10:10,-1,Ray Mobley missed Three Point Jumper.,69,82
10:10,2542,Casey Wells Defensive Rebound.,69,82
10:05,2542,Austin Dasent Turnover.,69,82
9:55,2542,Foul on Jordan Gaines.,69,82
9:55,-1,Tyler Edwards made Free Throw.,70,82
9:55,-1,Tyler Edwards made Free Throw.,71,82
9:49,2542,Jahir Cabeza made Layup. Assisted by Joshua Floyd.,71,84
9:49,-1,Foul on Jamaal Garror.,71,84
9:49,2542,Jahir Cabeza made Free Throw.,71,85
9:34,-1,Tyler Edwards missed Layup.,71,85
9:34,2542,Jahir Cabeza Block.,71,85
9:33,-1,Tyler Edwards Offensive Rebound.,71,85
9:33,2542,Foul on Dexter McClanahan.,71,85
9:33,-1,Tyler Edwards made Free Throw.,72,85
9:33,-1,Tyler Edwards made Free Throw.,73,85
9:18,2542,Joshua Floyd made Layup.,73,87
9:05,-1,Dekoven Ware made Layup. Assisted by Shaquil Barfield.,75,87
8:57,2542,Casey Wells made Three Point Jumper. Assisted by Joshua Floyd.,75,90
8:39,-1,Ray Mobley missed Jumper.,75,90
8:39,-1,Dekoven Ware Offensive Rebound.,75,90
8:35,-1,Dekoven Ware made Layup.,77,90
8:20,2542,Jordan Gaines made Jumper. Assisted by Joshua Floyd.,77,92
8:09,-1,Ray Mobley made Three Point Jumper. Assisted by Tyler Edwards.,80,92
7:58,-1,Foul on Tyler Edwards.,80,92
7:58,2542,Official TV Timeout,80,92
7:58,2542,Jahir Cabeza missed Three Point Jumper.,80,92
7:58,-1,Ray Mobley Defensive Rebound.,80,92
7:25,-1,Jaylon McMillan missed Three Point Jumper.,80,92
7:25,-1,Shaquil Barfield Offensive Rebound.,80,92
7:20,-1,Kris Bell missed Layup.,80,92
7:20,-1,Kris Bell Offensive Rebound.,80,92
7:11,-1,Jamaal Garror Turnover.,80,92
7:08,2542,Jahir Cabeza Steal.,80,92
7:07,2542,Jahir Cabeza missed Three Point Jumper.,80,92
7:07,-1,Ray Mobley Defensive Rebound.,80,92
6:37,-1,Kris Bell missed Three Point Jumper.,80,92
6:37,2542,Kamil Williams Defensive Rebound.,80,92
6:30,2542,Jordan Gaines made Layup. Assisted by Kamil Williams.,80,94
6:13,-1,Shaquil Barfield made Three Point Jumper. Assisted by Ray Mobley.,83,94
6:02,2542,Joshua Floyd Turnover.,83,94
6:00,-1,Dekoven Ware Steal.,83,94
5:56,-1,Shaquil Barfield missed Three Point Jumper.,83,94
5:56,2542,Jahir Cabeza Defensive Rebound.,83,94
5:42,2542,Kamil Williams missed Three Point Jumper.,83,94
5:42,2542,Joshua Floyd Offensive Rebound.,83,94
5:42,2542,Joshua Floyd missed Layup.,83,94
5:42,2542,Joshua Floyd Offensive Rebound.,83,94
5:42,-1,Foul on Dekoven Ware.,83,94
5:42,2542,Joshua Floyd missed Free Throw.,83,94
5:42,2542,Savannah St Deadball Team Rebound.,83,94
5:42,2542,Joshua Floyd made Free Throw.,83,95
5:26,-1,Dekoven Ware missed Layup.,83,95
5:26,-1,Fort Valley State Offensive Rebound.,83,95
5:07,2542,Foul on Zach Sellers.,83,95
5:07,-1,J.R. Bryant missed Free Throw.,83,95
5:07,-1,Fort Valley State Deadball Team Rebound.,83,95
5:07,-1,J.R. Bryant made Free Throw.,84,95
4:53,-1,Foul on Jamaal Garror.,84,95
4:53,2542,Jahir Cabeza made Free Throw.,84,96
4:53,2542,Jahir Cabeza made Free Throw.,84,97
4:44,-1,J.R. Bryant missed Layup.,84,97
4:44,2542,Jahir Cabeza Block.,84,97
4:44,-1,Fort Valley State Offensive Rebound.,84,97
4:37,-1,Jamaal Garror missed Jumper.,84,97
4:37,2542,Troyce Manassa Defensive Rebound.,84,97
4:28,2542,Casey Wells made Three Point Jumper. Assisted by Jahir Cabeza.,84,100
4:12,-1,Jalen Crawford made Jumper.,86,100
3:49,-1,Foul on Jamaal Garror.,86,100
3:49,2542,Official TV Timeout,86,100
3:48,2542,Troyce Manassa made Free Throw.,86,101
3:48,2542,Troyce Manassa missed Free Throw.,86,101
3:48,-1,Fort Valley State Defensive Rebound.,86,101
3:38,-1,Jalen Crawford missed Three Point Jumper.,86,101
3:38,-1,Jaylon McMillan Offensive Rebound.,86,101
3:36,2542,Foul on Casey Wells.,86,101
3:36,-1,Jaylon McMillan missed Free Throw.,86,101
3:36,-1,Fort Valley State Deadball Team Rebound.,86,101
3:36,-1,Jaylon McMillan made Free Throw.,87,101
3:32,2542,Casey Wells made Three Point Jumper. Assisted by Troyce Manassa.,87,104
3:14,2542,Casey Wells made Three Point Jumper.,87,107
2:50,2542,Foul on Troyce Manassa.,87,107
2:50,-1,J.R. Bryant missed Free Throw.,87,107
2:50,-1,Fort Valley State Deadball Team Rebound.,87,107
2:50,-1,J.R. Bryant missed Free Throw.,87,107
2:50,2542,Troyce Manassa Defensive Rebound.,87,107
2:44,-1,Foul on Denard Williams.,87,107
2:44,2542,Troyce Manassa missed Free Throw.,87,107
2:44,2542,Savannah St Deadball Team Rebound.,87,107
2:44,2542,Troyce Manassa missed Free Throw.,87,107
2:44,2542,Jahir Cabeza Offensive Rebound.,87,107
2:41,2542,Isaiah Felder made Three Point Jumper. Assisted by Troyce Manassa.,87,110
2:15,-1,Jalen Crawford missed Layup.,87,110
2:15,-1,Denard Williams Offensive Rebound.,87,110
2:12,-1,Denard Williams made Layup.,89,110
2:03,2542,Isaiah Felder made Three Point Jumper. Assisted by Jahir Cabeza.,89,113
1:52,-1,Jaylon McMillan made Three Point Jumper. Assisted by Tyler Edwards.,92,113
1:36,-1,Foul on Tyler Edwards.,92,113
1:36,2542,Savannah St  Timeout,92,113
1:36,2542,Troyce Manassa made Free Throw.,92,114
1:36,2542,Troyce Manassa made Free Throw.,92,115
1:26,-1,Jaylon McMillan made Layup.,94,115
1:18,2542,Casey Wells missed Three Point Jumper.,94,115
1:18,-1,Fort Valley State Defensive Rebound.,94,115
1:10,2542,Foul on Austin Dasent.,94,115
1:10,-1,Tyler Edwards made Free Throw.,95,115
1:10,-1,Tyler Edwards made Free Throw.,96,115
1:00,2542,Casey Wells made Three Point Jumper. Assisted by Austin Dasent.,96,118
0:51,-1,Jalen Crawford made Three Point Jumper. Assisted by Chris Smoak.,99,118
0:28,2542,Troyce Manassa missed Three Point Jumper.,99,118
0:28,-1,Jalen Crawford Defensive Rebound.,99,118
0:18,-1,Tyler Edwards missed Three Point Jumper.,99,118
0:18,-1,Denard Williams Offensive Rebound.,99,118
0:13,-1,Denard Williams made Layup.,101,118
0:00,2542,End of Game,101,118
