Alabama A&amp;M,2572,Southern Miss,2010
12:29,2572,Robert Thomas III Defensive Rebound.,36,45
12:23,2010,Foul on De'Edrick Petty.,36,45
12:23,2572,Robert Thomas III made Free Throw.,36,46
12:23,2572,Robert Thomas III made Free Throw.,36,47
12:07,2572,Foul on Robert Thomas III.,36,47
11:46,2010,Rakiya Battle made Jumper.,38,47
11:26,2572,Tim Rowe missed Jumper.,38,47
11:26,2010,Rakiya Battle Defensive Rebound.,38,47
11:02,2010,Eugene Jones Jr. made Jumper. Assisted by Rakiya Battle.,40,47
10:43,2572,Cortez Edwards Turnover.,40,47
10:43,2572,Official TV Timeout,40,47
10:22,2010,Marcus Merriweather made Layup.,42,47
10:06,2572,D'Angelo Richardson missed Three Point Jumper.,42,47
10:06,2010,Eugene Jones Jr. Defensive Rebound.,42,47
9:45,2010,Marcus Merriweather made Three Point Jumper.,45,47
9:21,2572,Michael Ramey made Jumper. Assisted by Robert Thomas III.,45,49
8:55,2010,Christopher Thomas missed Three Point Jumper.,45,49
8:55,2572,Eddie Davis III Defensive Rebound.,45,49
8:40,2572,Eddie Davis III made Dunk. Assisted by D'Angelo Richardson.,45,51
8:19,2010,Foul on Eugene Jones Jr..,45,51
8:19,2010,Eugene Jones Jr. Turnover.,45,51
7:57,2572,Eddie Davis III missed Jumper.,45,51
7:57,2010,Alabama A&M Defensive Rebound.,45,51
7:57,2572,Official TV Timeout,45,51
7:35,2010,Marcus Merriweather Turnover.,45,51
7:30,2572,Tim Rowe made Jumper. Assisted by Robert Thomas III.,45,53
7:03,2010,Marcus Merriweather missed Three Point Jumper.,45,53
7:03,2572,Tim Rowe Defensive Rebound.,45,53
6:41,2572,Tim Rowe made Jumper. Assisted by Robert Thomas III.,45,55
6:18,2010,Matthew Cotton made Three Point Jumper. Assisted by Rakiya Battle.,48,55
5:50,2010,Foul on Quinterian McConico.,48,55
5:48,2572,Raheem Watts made Jumper. Assisted by Kevin Holland.,48,57
5:15,2010,Rakiya Battle missed Jumper.,48,57
5:15,2572,Tim Rowe Defensive Rebound.,48,57
4:49,2572,Robert Thomas III missed Jumper.,48,57
4:49,2010,Marcus Merriweather Defensive Rebound.,48,57
4:27,2010,Matthew Cotton missed Jumper.,48,57
4:27,2572,Tim Rowe Defensive Rebound.,48,57
4:09,2572,Quinton Campbell missed Three Point Jumper.,48,57
4:09,2010,Quinterian McConico Defensive Rebound.,48,57
4:02,2010,Alabama A&M  Timeout,48,57
3:54,2572,Foul on Michael Ramey.,48,57
3:54,2572,Official TV Timeout,48,57
3:34,2010,Matthew Cotton missed Three Point Jumper.,48,57
3:34,2572,Michael Ramey Defensive Rebound.,48,57
3:21,2572,Raheem Watts Turnover.,48,57
3:06,2010,Quinterian McConico made Jumper. Assisted by Matthew Cotton.,50,57
2:44,2572,Kevin Holland made Jumper. Assisted by Michael Ramey.,50,59
2:25,2010,Tracy Burnett missed Jumper.,50,59
2:25,2572,Tim Rowe Defensive Rebound.,50,59
2:08,2572,Kevin Holland Turnover.,50,59
2:06,2010,Quinterian McConico Steal.,50,59
2:02,2010,Rakiya Battle missed Layup.,50,59
2:02,2010,Rakiya Battle Offensive Rebound.,50,59
1:46,2010,Matthew Cotton Turnover.,50,59
1:26,2572,Kevin Holland made Jumper.,50,61
1:02,2572,Foul on Kevin Holland.,50,61
0:57,2010,De'Edrick Petty made Three Point Jumper. Assisted by Rakiya Battle.,53,61
0:56,2010,Alabama A&M  Timeout,53,61
0:56,2572,Quinton Campbell Turnover.,53,61
0:55,2572,Foul on Quinton Campbell.,53,61
0:55,2010,Technical Foul on Rakiya Battle.,53,61
0:55,2010,Foul on Rakiya Battle.,53,61
0:55,2572,Technical Foul on Quinton Campbell.,53,61
0:50,2010,De'Edrick Petty made Layup.,55,61
0:49,2572,Southern Miss  Timeout,55,61
0:49,2010,Alabama A&M  Timeout,55,61
0:35,2010,Foul on Eugene Jones Jr..,55,61
0:35,2572,Kevin Holland missed Free Throw.,55,61
0:35,2010,Quinterian McConico Defensive Rebound.,55,61
0:25,2010,Rakiya Battle missed Jumper.,55,61
0:25,2572,Tim Rowe Defensive Rebound.,55,61
0:21,2010,Foul on Eugene Jones Jr..,55,61
0:21,2572,Tim Rowe made Free Throw.,55,62
0:21,2572,Tim Rowe made Free Throw.,55,63
0:15,2010,De'Edrick Petty missed Three Point Jumper.,55,63
0:15,2572,Cortez Edwards Defensive Rebound.,55,63
0:00,2572,End of Game,55,63
