Loyola-Chicago,265,Washington State,2350
9:16,265,Conor Clifford made Layup. Assisted by Malachi Flynn.,17,11
9:03,2350,Vlatko Granic missed Three Point Jumper.,17,11
9:03,265,Malachi Flynn Defensive Rebound.,17,11
8:46,265,Conor Clifford made Layup. Assisted by Malachi Flynn.,17,13
8:25,2350,Ben Richardson made Layup.,19,13
8:00,2350,Foul on Cameron Satterwhite.,19,13
8:00,265,Ike Iroegbu made Free Throw.,19,14
8:00,265,Ike Iroegbu missed Free Throw.,19,14
8:00,2350,Maurice Kirby Defensive Rebound.,19,14
7:42,2350,Maurice Kirby made Layup. Assisted by Ben Richardson.,21,14
7:31,265,Conor Clifford made Layup. Assisted by Malachi Flynn.,21,16
7:06,2350,Cameron Satterwhite missed Layup.,21,16
7:06,2350,Maurice Kirby Offensive Rebound.,21,16
6:57,2350,Ben Richardson missed Jumper.,21,16
6:57,2350,Cameron Satterwhite Offensive Rebound.,21,16
6:55,2350,Cameron Satterwhite made Two Point Tip Shot.,23,16
6:44,265,Malachi Flynn made Three Point Jumper.,23,19
6:28,2350,Cameron Satterwhite missed Three Point Jumper.,23,19
6:28,265,Malachi Flynn Defensive Rebound.,23,19
6:11,265,Josh Hawkinson missed Three Point Jumper.,23,19
6:11,2350,Cameron Satterwhite Defensive Rebound.,23,19
5:55,265,Foul on Malachi Flynn.,23,19
5:55,265,Official TV Timeout,23,19
5:43,265,Foul on Conor Clifford.,23,19
5:43,2350,Aundre Jackson missed Free Throw.,23,19
5:43,2350,Loyola (CHI) Deadball Team Rebound.,23,19
5:43,2350,Aundre Jackson made Free Throw.,24,19
5:42,265,Charles Callison Turnover.,24,19
5:35,2350,Aundre Jackson made Layup. Assisted by Clayton Custer.,26,19
5:05,265,Conor Clifford Turnover.,26,19
4:41,2350,Clayton Custer missed Three Point Jumper.,26,19
4:41,265,Derrien King Defensive Rebound.,26,19
4:36,265,Ike Iroegbu made Layup.,26,21
4:36,2350,Foul on Clayton Custer.,26,21
4:36,265,Ike Iroegbu made Free Throw.,26,22
4:23,2350,Milton Doyle Turnover.,26,22
4:20,265,Charles Callison missed Layup.,26,22
4:20,265,Ike Iroegbu Offensive Rebound.,26,22
4:03,265,Josh Hawkinson made Jumper. Assisted by Jeff Pollard.,26,24
3:41,2350,Aundre Jackson missed Layup.,26,24
3:41,265,Jeff Pollard Block.,26,24
3:40,2350,Donte Ingram Offensive Rebound.,26,24
3:33,2350,Milton Doyle made Three Point Jumper.,29,24
3:12,265,Jeff Pollard made Layup.,29,26
2:46,2350,Cameron Satterwhite missed Jumper.,29,26
2:46,2350,Loyola (CHI) Offensive Rebound.,29,26
2:40,265,Official TV Timeout,29,26
2:27,2350,Donte Ingram Turnover.,29,26
2:26,265,Jeff Pollard Steal.,29,26
2:23,265,Charles Callison missed Three Point Jumper.,29,26
2:23,2350,Cameron Satterwhite Defensive Rebound.,29,26
2:07,2350,Donte Ingram made Jumper.,31,26
1:45,2350,Foul on Donte Ingram.,31,26
1:45,265,Ike Iroegbu missed Free Throw.,31,26
1:45,265,Washington St Deadball Team Rebound.,31,26
1:45,265,Ike Iroegbu made Free Throw.,31,27
1:35,2350,Milton Doyle made Layup.,33,27
1:23,265,Ike Iroegbu missed Jumper.,33,27
1:23,2350,Milton Doyle Defensive Rebound.,33,27
1:15,2350,Donte Ingram made Three Point Jumper. Assisted by Milton Doyle.,36,27
0:55,265,Derrien King Turnover.,36,27
0:51,2350,Ben Richardson Steal.,36,27
0:40,2350,Aundre Jackson made Layup.,38,27
0:28,265,Ike Iroegbu made Three Point Jumper. Assisted by Malachi Flynn.,38,30
0:05,265,Foul on Derrien King.,38,30
0:03,265,Foul on Jeff Pollard.,38,30
0:01,2350,Donte Ingram missed Jumper.,38,30
0:01,265,Jeff Pollard Defensive Rebound.,38,30
0:00,265,End of 1st half,38,31
19:30,265,Conor Clifford missed Jumper.,38,30
19:30,2350,Ben Richardson Defensive Rebound.,38,30
19:12,2350,Donte Ingram made Three Point Jumper. Assisted by Ben Richardson.,41,30
18:58,265,Derrien King made Layup.,41,32
18:43,2350,Donte Ingram missed Jumper.,41,32
18:43,265,Derrien King Defensive Rebound.,41,32
18:39,265,Malachi Flynn Turnover.,41,32
18:39,2350,Clayton Custer made Three Point Jumper. Assisted by Milton Doyle.,44,32
18:39,265,Derrien King made Jumper.,44,34
18:39,2350,Donte Ingram made Three Point Jumper. Assisted by Milton Doyle.,47,34
17:39,265,Conor Clifford made Layup.,47,36
17:17,2350,Donte Ingram missed Jumper.,47,36
17:17,265,Ike Iroegbu Defensive Rebound.,47,36
17:06,265,Derrien King Turnover.,47,36
17:05,2350,Clayton Custer Steal.,47,36
17:02,2350,Ben Richardson missed Layup.,47,36
17:02,2350,Milton Doyle Offensive Rebound.,47,36
17:02,265,Foul on Conor Clifford.,47,36
17:00,265,Foul on Ike Iroegbu.,47,36
16:50,2350,Ben Richardson made Three Point Jumper. Assisted by Clayton Custer.,50,36
16:31,265,Ike Iroegbu Turnover.,50,36
16:30,2350,Aundre Jackson Steal.,50,36
16:22,2350,Milton Doyle Turnover.,50,36
16:03,265,Josh Hawkinson missed Layup.,50,36
16:03,2350,Aundre Jackson Defensive Rebound.,50,36
15:50,2350,Clayton Custer missed Three Point Jumper.,50,36
15:50,265,Ike Iroegbu Defensive Rebound.,50,36
15:45,2350,Foul on Ben Richardson.,50,36
15:45,265,Official TV Timeout,50,36
15:45,265,Ike Iroegbu made Free Throw.,50,37
15:45,265,Ike Iroegbu made Free Throw.,50,38
15:19,2350,Donte Ingram made Jumper.,52,38
15:11,2350,Foul on Aundre Jackson.,52,38
15:11,265,Josh Hawkinson missed Free Throw.,52,38
15:11,2350,Donte Ingram Defensive Rebound.,52,38
14:41,265,Josh Hawkinson made Free Throw.,52,39
14:40,2350,Milton Doyle missed Three Point Jumper.,52,39
14:40,265,Josh Hawkinson Defensive Rebound.,52,39
14:30,265,Derrien King missed Three Point Jumper.,52,39
14:30,2350,Ben Richardson Defensive Rebound.,52,39
14:12,2350,Milton Doyle Turnover.,52,39
14:10,265,Derrien King Steal.,52,39
14:09,265,Derrien King Turnover.,52,39
13:58,2350,Clayton Custer missed Three Point Jumper.,52,39
13:58,265,Josh Hawkinson Defensive Rebound.,52,39
13:51,265,Ike Iroegbu made Layup.,52,41
13:30,2350,Donte Ingram made Jumper.,54,41
13:10,265,Malachi Flynn Turnover.,54,41
13:09,2350,Cameron Satterwhite Steal.,54,41
13:04,2350,Aundre Jackson made Layup.,56,41
12:49,2350,Foul on Cameron Satterwhite.,56,41
12:49,265,Charles Callison made Free Throw.,56,42
12:49,265,Charles Callison made Free Throw.,56,43
12:48,2350,Aundre Jackson made Jumper. Assisted by Ben Richardson.,58,43
12:31,265,Derrien King missed Jumper.,58,43
12:31,2350,Donte Ingram Defensive Rebound.,58,43
12:26,2350,Donte Ingram Turnover.,58,43
12:25,265,Malachi Flynn Steal.,58,43
12:11,2350,Foul on Ben Richardson.,58,43
12:02,2350,Foul on Cameron Satterwhite.,58,43
12:02,265,Jeff Pollard made Free Throw.,58,44
12:02,265,Jeff Pollard missed Free Throw.,58,44
12:02,2350,Milton Doyle Defensive Rebound.,58,44
11:49,2350,Aundre Jackson missed Layup.,58,44
11:49,265,Jeff Pollard Defensive Rebound.,58,44
11:43,265,Ike Iroegbu made Layup.,58,46
11:43,2350,Foul on Ben Richardson.,58,46
11:43,265,Official TV Timeout,58,46
11:43,265,Ike Iroegbu missed Free Throw.,58,46
11:43,2350,Donte Ingram Defensive Rebound.,58,46
11:16,2350,Bruno Skokna missed Three Point Jumper.,58,46
11:16,2350,Aundre Jackson Offensive Rebound.,58,46
11:12,2350,Loyola (CHI)  Turnover.,58,46
10:49,265,Charles Callison made Layup.,58,48
10:30,265,Foul on Jeff Pollard.,58,48
10:30,2350,Clayton Custer made Free Throw.,59,48
10:30,2350,Clayton Custer made Free Throw.,60,48
10:14,265,Derrien King made Layup.,60,50
9:51,2350,Donte Ingram missed Jumper.,60,50
9:51,265,Jeff Pollard Defensive Rebound.,60,50
9:50,2350,Foul on Bruno Skokna.,60,50
9:50,265,Malachi Flynn made Free Throw.,60,51
9:50,265,Malachi Flynn made Free Throw.,60,52
9:36,265,Foul on Ike Iroegbu.,60,52
9:36,2350,Clayton Custer made Free Throw.,61,52
9:36,2350,Clayton Custer made Free Throw.,62,52
9:18,265,Foul on Malachi Flynn.,62,52
9:18,265,Malachi Flynn Turnover.,62,52
8:57,2350,Milton Doyle missed Three Point Jumper.,62,52
8:57,265,Malachi Flynn Defensive Rebound.,62,52
8:42,2350,Foul on Ben Richardson.,62,52
8:42,265,Derrien King missed Free Throw.,62,52
8:42,265,Washington St Deadball Team Rebound.,62,52
8:42,265,Derrien King made Free Throw.,62,53
8:13,2350,Clayton Custer missed Layup.,62,53
8:13,265,Ike Iroegbu Defensive Rebound.,62,53
8:03,265,Josh Hawkinson missed Layup.,62,53
8:03,2350,Milton Doyle Block.,62,53
8:01,2350,Aundre Jackson Defensive Rebound.,62,53
7:55,2350,Milton Doyle made Layup. Assisted by Donte Ingram.,64,53
7:47,265,Derrien King missed Jumper.,64,53
7:47,2350,Milton Doyle Defensive Rebound.,64,53
7:36,2350,Aundre Jackson made Layup. Assisted by Clayton Custer.,66,53
7:32,265,Washington St  Timeout,66,53
7:19,265,Derrien King missed Jumper.,66,53
7:19,2350,Donte Ingram Defensive Rebound.,66,53
7:07,265,Foul on Charles Callison.,66,53
7:07,265,Official TV Timeout,66,53
7:07,2350,Milton Doyle missed Free Throw.,66,53
7:07,2350,Loyola (CHI) Deadball Team Rebound.,66,53
7:07,2350,Milton Doyle made Free Throw.,67,53
6:49,265,Charles Callison made Layup.,67,55
6:26,2350,Donte Ingram made Layup.,69,55
6:26,265,Foul on Josh Hawkinson.,69,55
6:26,2350,Donte Ingram missed Free Throw.,69,55
6:26,265,Jeff Pollard Defensive Rebound.,69,55
6:15,265,Malachi Flynn made Three Point Jumper. Assisted by Charles Callison.,69,58
5:54,2350,Foul on Aundre Jackson.,69,58
5:54,2350,Aundre Jackson Turnover.,69,58
5:43,265,Malachi Flynn made Layup.,69,60
5:18,2350,Clayton Custer made Layup. Assisted by Milton Doyle.,71,60
5:18,265,Foul on Jeff Pollard.,71,60
5:18,2350,Clayton Custer made Free Throw.,72,60
5:04,265,Charles Callison missed Layup.,72,60
5:04,265,Jeff Pollard Offensive Rebound.,72,60
5:03,2350,Foul on Aundre Jackson.,72,60
5:03,265,Jeff Pollard made Free Throw.,72,61
5:03,265,Jeff Pollard made Free Throw.,72,62
4:36,2350,Milton Doyle missed Layup.,72,62
4:36,265,Derrien King Defensive Rebound.,72,62
4:17,265,Ike Iroegbu missed Jumper.,72,62
4:17,2350,Cameron Satterwhite Defensive Rebound.,72,62
3:49,2350,Donte Ingram missed Three Point Jumper.,72,62
3:49,265,Ike Iroegbu Defensive Rebound.,72,62
3:37,265,Malachi Flynn missed Three Point Jumper.,72,62
3:37,2350,Milton Doyle Defensive Rebound.,72,62
3:22,265,Foul on Malachi Flynn.,72,62
3:22,265,Official TV Timeout,72,62
3:22,2350,Ben Richardson made Free Throw.,73,62
3:22,2350,Ben Richardson made Free Throw.,74,62
3:12,265,Charles Callison made Layup.,74,64
2:58,2350,Ben Richardson missed Jumper.,74,64
2:58,265,Ike Iroegbu Defensive Rebound.,74,64
2:50,265,Derrien King missed Jumper.,74,64
2:50,265,Josh Hawkinson Offensive Rebound.,74,64
2:49,265,Josh Hawkinson made Two Point Tip Shot.,74,66
2:49,2350,Loyola (CHI)  Timeout,74,66
2:39,265,Foul on Charles Callison.,74,66
2:39,2350,Clayton Custer made Free Throw.,75,66
2:31,2350,Foul on Ben Richardson.,75,66
2:31,265,Josh Hawkinson made Free Throw.,75,67
2:31,265,Josh Hawkinson made Free Throw.,75,68
2:28,2350,Clayton Custer made Free Throw.,76,68
2:14,2350,Clayton Custer missed Layup.,76,68
2:14,265,Derrien King Block.,76,68
2:13,265,Josh Hawkinson Defensive Rebound.,76,68
2:05,265,Derrien King missed Jumper.,76,68
2:05,265,Josh Hawkinson Offensive Rebound.,76,68
2:03,2350,Foul on Milton Doyle.,76,68
2:03,265,Josh Hawkinson made Free Throw.,76,69
2:03,265,Josh Hawkinson made Free Throw.,76,70
2:01,265,Foul on Josh Hawkinson.,76,70
2:01,2350,Aundre Jackson made Free Throw.,77,70
2:01,2350,Aundre Jackson made Free Throw.,78,70
1:52,265,Josh Hawkinson made Layup. Assisted by Ike Iroegbu.,78,72
1:20,2350,Milton Doyle made Jumper.,80,72
1:13,265,Charles Callison Turnover.,80,72
1:06,265,Foul on Josh Hawkinson.,80,72
1:06,2350,Donte Ingram missed Free Throw.,80,72
1:06,2350,Loyola (CHI) Deadball Team Rebound.,80,72
1:06,2350,Donte Ingram missed Free Throw.,80,72
1:06,265,Josh Hawkinson Defensive Rebound.,80,72
0:57,265,Charles Callison missed Three Point Jumper.,80,72
0:57,265,Ike Iroegbu Offensive Rebound.,80,72
0:53,2350,Foul on Milton Doyle.,80,72
0:53,265,Ike Iroegbu made Free Throw.,80,73
0:53,265,Ike Iroegbu made Free Throw.,80,74
0:53,2350,Loyola (CHI)  Timeout,80,74
0:52,265,Foul on Charles Callison.,80,74
0:52,2350,Clayton Custer made Free Throw.,81,74
0:52,2350,Clayton Custer missed Free Throw.,81,74
0:52,265,Derrien King Defensive Rebound.,81,74
0:42,265,Derrien King missed Jumper.,81,74
0:41,265,Josh Hawkinson Offensive Rebound.,81,74
0:41,2350,Foul on Cameron Satterwhite.,81,74
0:41,265,Josh Hawkinson made Free Throw.,81,75
0:41,265,Josh Hawkinson made Free Throw.,81,76
0:41,265,Foul on Derrien King.,81,76
0:41,2350,Bruno Skokna missed Free Throw.,81,76
0:41,2350,Loyola (CHI) Deadball Team Rebound.,81,76
0:41,2350,Bruno Skokna made Free Throw.,82,76
0:29,265,Derrien King missed Three Point Jumper.,82,76
0:29,2350,Milton Doyle Defensive Rebound.,82,76
0:29,265,Foul on Josh Hawkinson.,82,76
0:29,2350,Milton Doyle made Free Throw.,83,76
0:29,2350,Milton Doyle made Free Throw.,84,76
0:24,265,Charles Callison missed Three Point Jumper.,84,76
0:24,2350,Aundre Jackson Defensive Rebound.,84,76
0:21,265,Foul on Ike Iroegbu.,84,76
0:21,2350,Aundre Jackson made Free Throw.,85,76
0:21,2350,Aundre Jackson made Free Throw.,86,76
0:15,265,Ike Iroegbu made Layup.,86,78
0:15,265,Washington St  Timeout,86,78
0:14,265,Foul on Derrien King.,86,78
0:14,2350,Clayton Custer missed Free Throw.,86,78
0:14,2350,Loyola (CHI) Deadball Team Rebound.,86,78
0:14,2350,Clayton Custer missed Free Throw.,86,78
0:14,265,Josh Hawkinson Defensive Rebound.,86,78
0:09,2350,Foul on Milton Doyle.,86,78
0:09,265,Ike Iroegbu missed Free Throw.,86,78
0:09,265,Washington St Deadball Team Rebound.,86,78
0:09,265,Ike Iroegbu made Free Throw.,86,79
0:09,265,Foul on Derrien King.,86,79
0:09,2350,Clayton Custer made Free Throw.,87,79
0:09,2350,Clayton Custer made Free Throw.,88,79
0:06,265,Malachi Flynn Turnover.,88,79
0:00,265,End of Game,88,79
