South Dakota,2309,Kent State,233
15:38,233,Matt Mooney missed Jumper.,10,10
15:38,2309,Kent State Defensive Rebound.,10,10
15:35,233,Foul on Dan Jech.,10,10
15:21,2309,Jimmy Hall Turnover.,10,10
14:39,233,Trey Burch-Manning missed Layup.,10,10
14:39,2309,Jimmy Hall Block.,10,10
14:36,2309,Jimmy Hall Defensive Rebound.,10,10
14:18,2309,Jaylin Walker Turnover.,10,10
14:06,233,Trey Dickerson Turnover.,10,10
14:04,2309,Kevin Zabo Steal.,10,10
14:02,233,Foul on Matt Mooney.,10,10
13:59,2309,Kevin Zabo missed Three Point Jumper.,10,10
13:59,233,Tyler Peterson Defensive Rebound.,10,10
13:54,2309,Foul on Kevin Zabo.,10,10
13:42,233,Trey Burch-Manning missed Jumper.,10,10
13:42,2309,Jaylin Walker Defensive Rebound.,10,10
13:32,2309,Jaylin Walker missed Jumper.,10,10
13:32,2309,Alonzo Walker Offensive Rebound.,10,10
13:25,2309,Jerrelle DeBerry made Three Point Jumper.,10,13
13:14,233,Triston Simpson made Layup.,12,13
13:10,2309,Deon Edwin made Layup.,12,15
12:50,233,Austin Sparks made Layup. Assisted by Tyler Peterson.,14,15
12:35,2309,Jerrelle DeBerry made Three Point Jumper. Assisted by Deon Edwin.,14,18
12:12,233,Brandon Armstrong missed Jumper.,14,18
12:12,2309,Jaylin Walker Defensive Rebound.,14,18
12:05,2309,Jaylin Walker made Layup.,14,20
11:55,233,Triston Simpson missed Jumper.,14,20
11:55,2309,Deon Edwin Defensive Rebound.,14,20
11:48,2309,Jaylin Walker made Three Point Jumper. Assisted by Deon Edwin.,14,23
11:43,233,South Dakota  Timeout,14,23
11:27,233,Brandon Armstrong made Jumper. Assisted by Triston Simpson.,16,23
11:08,2309,Jimmy Hall missed Layup.,16,23
11:08,233,Carlton Hurst Block.,16,23
11:05,2309,Jimmy Hall Offensive Rebound.,16,23
11:01,2309,Jimmy Hall missed Layup.,16,23
11:01,2309,Jimmy Hall Offensive Rebound.,16,23
10:50,2309,Jerrelle DeBerry missed Jumper.,16,23
10:50,2309,Deon Edwin Offensive Rebound.,16,23
10:46,233,Foul on Carlton Hurst.,16,23
10:46,2309,Deon Edwin made Free Throw.,16,24
10:46,2309,Deon Edwin missed Free Throw.,16,24
10:46,233,Carlton Hurst Defensive Rebound.,16,24
10:38,233,Carlton Hurst missed Jumper.,16,24
10:38,2309,Deon Edwin Defensive Rebound.,16,24
10:26,2309,Jimmy Hall made Jumper. Assisted by Deon Edwin.,16,26
10:03,233,Brandon Armstrong made Three Point Jumper. Assisted by Carlton Hurst.,19,26
9:50,2309,Mitch Peterson missed Jumper.,19,26
9:50,233,Tyler Flack Defensive Rebound.,19,26
9:42,233,Tyler Flack missed Three Point Jumper.,19,26
9:42,233,Carlton Hurst Offensive Rebound.,19,26
9:36,2309,Foul on Danny Pippen.,19,26
9:36,233,Carlton Hurst made Free Throw.,20,26
9:36,233,Carlton Hurst missed Free Throw.,20,26
9:36,2309,Kent State Defensive Rebound.,20,26
9:22,2309,Jaylin Walker missed Three Point Jumper.,20,26
9:22,2309,Kent State Offensive Rebound.,20,26
9:11,2309,Jaylin Walker made Jumper.,20,28
9:11,233,Foul on Carlton Hurst.,20,28
9:11,2309,Jaylin Walker made Free Throw.,20,29
8:51,233,Matt Mooney missed Layup.,20,29
8:51,233,South Dakota Offensive Rebound.,20,29
8:45,233,Trey Dickerson missed Three Point Jumper.,20,29
8:45,233,Carlton Hurst Offensive Rebound.,20,29
8:41,2309,Foul on Jalen Avery.,20,29
8:38,233,Matt Mooney made Three Point Jumper. Assisted by Trey Dickerson.,23,29
8:22,2309,Jaylin Walker missed Three Point Jumper.,23,29
8:22,233,Trey Burch-Manning Defensive Rebound.,23,29
8:13,233,Trey Dickerson missed Layup.,23,29
8:13,2309,Jimmy Hall Block.,23,29
8:13,233,South Dakota Offensive Rebound.,23,29
8:03,233,Matt Mooney made Three Point Jumper. Assisted by Trey Burch-Manning.,26,29
7:50,2309,Deon Edwin missed Layup.,26,29
7:50,233,Tyler Flack Defensive Rebound.,26,29
7:43,233,Carlton Hurst made Dunk. Assisted by Trey Dickerson.,28,29
7:43,2309,Foul on Kevin Zabo.,28,29
7:43,2309,Official TV Timeout,28,29
7:43,233,Carlton Hurst made Free Throw.,29,29
7:26,2309,Jalen Avery missed Three Point Jumper.,29,29
7:26,2309,Deon Edwin Offensive Rebound.,29,29
7:22,2309,Deon Edwin made Jumper.,29,31
7:05,233,Matt Mooney Turnover.,29,31
6:35,2309,Jimmy Hall made Jumper.,29,33
6:23,233,Tyler Flack made Jumper. Assisted by Trey Dickerson.,31,33
6:07,2309,Alonzo Walker made Layup. Assisted by Jimmy Hall.,31,35
5:57,233,Foul on Matt Mooney.,31,35
5:57,233,Matt Mooney Turnover.,31,35
5:49,2309,Deon Edwin Turnover.,31,35
5:47,233,Matt Mooney Steal.,31,35
5:41,2309,Foul on Deon Edwin.,31,35
5:41,233,Matt Mooney missed Free Throw.,31,35
5:41,233,Matt Mooney Offensive Rebound.,31,35
5:34,233,Dan Jech made Layup.,33,35
5:24,2309,Foul on Jaylin Walker.,33,35
5:20,233,Dan Jech made Free Throw.,34,35
5:09,2309,Jaylin Walker missed Jumper.,34,35
5:09,233,Dan Jech Defensive Rebound.,34,35
5:06,2309,Foul on Jimmy Hall.,34,35
5:06,233,Dan Jech made Free Throw.,35,35
5:06,233,Dan Jech missed Free Throw.,35,35
5:06,2309,Jerrelle DeBerry Defensive Rebound.,35,35
4:54,233,Foul on Dan Jech.,35,35
4:54,2309,Jimmy Hall made Free Throw.,35,36
4:54,2309,Jimmy Hall made Free Throw.,35,37
4:39,233,Trey Burch-Manning missed Dunk.,35,37
4:39,2309,Jalen Avery Defensive Rebound.,35,37
4:33,2309,Mitch Peterson missed Three Point Jumper.,35,37
4:33,233,Trey Dickerson Defensive Rebound.,35,37
4:27,233,Tyler Peterson missed Three Point Jumper.,35,37
4:27,2309,Jerrelle DeBerry Defensive Rebound.,35,37
4:15,2309,Jalen Avery missed Jumper.,35,37
4:15,2309,Alonzo Walker Offensive Rebound.,35,37
3:57,2309,Adonis De La Rosa Turnover.,35,37
3:57,2309,Official TV Timeout,35,37
3:41,233,Triston Simpson missed Three Point Jumper.,35,37
3:41,2309,Mitch Peterson Defensive Rebound.,35,37
3:11,2309,Adonis De La Rosa made Jumper.,35,39
2:52,233,Tyler Peterson missed Layup.,35,39
2:52,233,Joshua Doss Offensive Rebound.,35,39
2:38,233,Foul on Austin Sparks.,35,39
2:38,233,Austin Sparks Turnover.,35,39
2:34,2309,Jaylin Walker made Three Point Jumper. Assisted by Jimmy Hall.,35,42
2:12,233,Tyler Peterson Turnover.,35,42
1:54,2309,Jaylin Walker missed Jumper.,35,42
1:54,2309,Jimmy Hall Offensive Rebound.,35,42
1:49,2309,Jimmy Hall made Layup.,35,44
1:43,233,Brandon Armstrong made Three Point Jumper. Assisted by Triston Simpson.,38,44
1:29,2309,Jimmy Hall missed Jumper.,38,44
1:29,233,Tyler Peterson Defensive Rebound.,38,44
1:22,233,Tyler Peterson missed Three Point Jumper.,38,44
1:22,2309,Kent State Defensive Rebound.,38,44
0:49,2309,Jimmy Hall missed Jumper.,38,44
0:49,233,Trey Dickerson Defensive Rebound.,38,44
0:37,233,Trey Dickerson made Layup.,40,44
0:28,2309,Kent State  Timeout,40,44
0:05,2309,Jimmy Hall missed Layup.,40,44
0:05,233,Trey Burch-Manning Defensive Rebound.,40,44
0:00,233,Tyler Peterson made Layup. Assisted by Trey Dickerson.,42,44
0:00,2309,End of 1st half,42,44
19:40,233,Foul on Trey Burch-Manning.,42,44
19:40,233,Trey Burch-Manning Turnover.,42,44
19:25,2309,Deon Edwin missed Layup.,42,44
19:25,233,Tyler Flack Block.,42,44
19:23,233,Carlton Hurst Defensive Rebound.,42,44
19:13,233,Carlton Hurst made Three Point Jumper. Assisted by Trey Burch-Manning.,45,44
19:01,2309,Danny Pippen made Jumper. Assisted by Deon Edwin.,45,46
18:52,233,Trey Dickerson made Three Point Jumper. Assisted by Trey Burch-Manning.,48,46
18:32,2309,Jimmy Hall made Jumper.,48,48
18:17,233,Matt Mooney missed Three Point Jumper.,48,48
18:17,2309,Danny Pippen Defensive Rebound.,48,48
17:58,2309,Mitch Peterson missed Jumper.,48,48
17:58,233,Matt Mooney Defensive Rebound.,48,48
17:48,233,Trey Burch-Manning made Three Point Jumper. Assisted by Trey Dickerson.,51,48
17:12,2309,Deon Edwin missed Jumper.,51,48
17:12,233,Trey Burch-Manning Defensive Rebound.,51,48
17:05,233,Matt Mooney missed Three Point Jumper.,51,48
17:05,2309,Danny Pippen Defensive Rebound.,51,48
16:57,2309,Danny Pippen missed Three Point Jumper.,51,48
16:57,2309,Kent State Offensive Rebound.,51,48
16:46,2309,Jimmy Hall missed Layup.,51,48
16:46,2309,Kent State Offensive Rebound.,51,48
16:46,233,Foul on Trey Burch-Manning.,51,48
16:43,2309,Jimmy Hall made Jumper. Assisted by Jalen Avery.,51,50
16:26,2309,Foul on Alonzo Walker.,51,50
16:11,233,Matt Mooney made Jumper. Assisted by Trey Dickerson.,53,50
15:49,2309,Jaylin Walker made Jumper.,53,52
15:31,233,Matt Mooney Turnover.,53,52
15:28,2309,Deon Edwin Steal.,53,52
15:27,2309,Deon Edwin made Layup.,53,54
15:27,233,Foul on Tyler Peterson.,53,54
15:27,2309,Official TV Timeout,53,54
15:27,2309,Deon Edwin made Free Throw.,53,55
15:02,233,Tyler Flack missed Jumper.,53,55
15:02,233,Tyler Flack Offensive Rebound.,53,55
14:58,233,Tyler Flack made Layup.,55,55
14:43,2309,Jimmy Hall missed Jumper.,55,55
14:43,233,Trey Dickerson Defensive Rebound.,55,55
14:32,233,Tyler Peterson made Jumper.,57,55
14:32,2309,Foul on Alonzo Walker.,57,55
14:32,233,Tyler Peterson made Free Throw.,58,55
14:21,233,Foul on Tyler Peterson.,58,55
14:21,2309,Deon Edwin missed Free Throw.,58,55
14:21,2309,Kent State Deadball Team Rebound.,58,55
14:21,2309,Deon Edwin missed Free Throw.,58,55
14:21,233,Tyler Peterson Defensive Rebound.,58,55
14:14,2309,Foul on Adonis De La Rosa.,58,55
14:14,233,Matt Mooney made Free Throw.,59,55
14:14,233,Matt Mooney made Free Throw.,60,55
14:04,2309,Jaylin Walker missed Three Point Jumper.,60,55
14:04,233,Tyler Peterson Defensive Rebound.,60,55
13:49,233,Dan Jech missed Three Point Jumper.,60,55
13:49,2309,Deon Edwin Defensive Rebound.,60,55
13:38,2309,Deon Edwin missed Layup.,60,55
13:38,233,South Dakota Defensive Rebound.,60,55
13:27,233,Matt Mooney made Layup.,62,55
13:19,2309,Kent State  Timeout,62,55
13:06,2309,Foul on Jimmy Hall.,62,55
13:06,2309,Jimmy Hall Turnover.,62,55
12:52,233,Trey Burch-Manning made Layup.,64,55
12:41,2309,Jerrelle DeBerry missed Three Point Jumper.,64,55
12:41,233,Triston Simpson Defensive Rebound.,64,55
12:26,233,Foul on Matt Mooney.,64,55
12:26,233,Matt Mooney Turnover.,64,55
12:11,2309,Mitch Peterson missed Three Point Jumper.,64,55
12:11,233,Triston Simpson Defensive Rebound.,64,55
12:06,2309,Foul on Mitch Peterson.,64,55
11:51,2309,Foul on Jimmy Hall.,64,55
11:51,2309,Official TV Timeout,64,55
11:51,233,Carlton Hurst made Free Throw.,65,55
11:51,233,Carlton Hurst made Free Throw.,66,55
11:50,2309,Kevin Zabo made Layup.,66,57
11:40,233,Carlton Hurst Turnover.,66,57
11:39,2309,Deon Edwin Steal.,66,57
11:27,233,Foul on Tyler Peterson.,66,57
11:21,2309,Deon Edwin made Free Throw.,66,58
11:21,2309,Deon Edwin made Free Throw.,66,59
10:57,233,Tyler Peterson missed Three Point Jumper.,66,59
10:57,233,Triston Simpson Offensive Rebound.,66,59
10:46,233,Trey Burch-Manning missed Layup.,66,59
10:46,2309,Kevin Zabo Defensive Rebound.,66,59
10:40,233,Foul on Tyler Peterson.,66,59
10:40,2309,Kevin Zabo made Free Throw.,66,60
10:40,2309,Kevin Zabo made Free Throw.,66,61
10:17,2309,Foul on Leo Edwards.,66,61
10:17,233,Tyler Flack made Free Throw.,67,61
10:17,233,Tyler Flack made Free Throw.,68,61
9:57,2309,Jaylin Walker missed Jumper.,68,61
9:57,233,Carlton Hurst Defensive Rebound.,68,61
9:45,2309,Foul on Kevin Zabo.,68,61
9:45,233,Matt Mooney made Free Throw.,69,61
9:45,233,Matt Mooney missed Free Throw.,69,61
9:45,2309,Jimmy Hall Defensive Rebound.,69,61
9:28,2309,Jimmy Hall missed Layup.,69,61
9:28,2309,Deon Edwin Offensive Rebound.,69,61
9:23,2309,Deon Edwin missed Three Point Jumper.,69,61
9:23,2309,Kent State Offensive Rebound.,69,61
9:12,2309,Deon Edwin Turnover.,69,61
9:08,233,Carlton Hurst Steal.,69,61
9:06,233,Carlton Hurst Turnover.,69,61
9:04,2309,Jaylin Walker Steal.,69,61
9:03,233,Foul on Carlton Hurst.,69,61
9:03,2309,Jaylin Walker made Free Throw.,69,62
9:03,2309,Jaylin Walker made Free Throw.,69,63
8:56,233,Trey Burch-Manning missed Layup.,69,63
8:56,2309,Kent State Defensive Rebound.,69,63
8:45,2309,Jaylin Walker missed Jumper.,69,63
8:45,2309,Jimmy Hall Offensive Rebound.,69,63
8:41,2309,Jimmy Hall made Layup.,69,65
8:24,233,Tyler Flack Turnover.,69,65
8:22,2309,Jaylin Walker Steal.,69,65
8:20,233,Foul on Trey Burch-Manning.,69,65
8:20,2309,Jaylin Walker missed Free Throw.,69,65
8:20,233,Matt Mooney Defensive Rebound.,69,65
8:12,233,Trey Dickerson missed Layup.,69,65
8:12,233,Dan Jech Offensive Rebound.,69,65
8:07,233,Dan Jech missed Layup.,69,65
8:07,2309,Deon Edwin Defensive Rebound.,69,65
8:02,2309,Kevin Zabo missed Three Point Jumper.,69,65
8:02,2309,Kevin Zabo Offensive Rebound.,69,65
7:51,233,Foul on Dan Jech.,69,65
7:46,2309,Official TV Timeout,69,65
7:46,2309,Jerrelle DeBerry made Free Throw.,69,66
7:46,2309,Jerrelle DeBerry made Free Throw.,69,67
7:30,233,Matt Mooney made Jumper. Assisted by Trey Dickerson.,71,67
7:00,233,Foul on Dan Jech.,71,67
7:00,2309,Adonis De La Rosa made Free Throw.,71,68
7:00,2309,Adonis De La Rosa missed Free Throw.,71,68
7:00,233,Tyler Flack Defensive Rebound.,71,68
6:50,233,Trey Dickerson Turnover.,71,68
6:48,2309,Adonis De La Rosa Steal.,71,68
6:33,2309,Jaylin Walker made Layup.,71,70
6:19,233,Matt Mooney missed Three Point Jumper.,71,70
6:19,233,South Dakota Offensive Rebound.,71,70
6:06,233,Tyler Peterson missed Three Point Jumper.,71,70
6:06,233,Carlton Hurst Offensive Rebound.,71,70
5:55,233,Carlton Hurst missed Three Point Jumper.,71,70
5:55,2309,Deon Edwin Defensive Rebound.,71,70
5:43,2309,Jaylin Walker missed Jumper.,71,70
5:43,233,Trey Dickerson Defensive Rebound.,71,70
5:34,233,Matt Mooney missed Layup.,71,70
5:34,2309,Jimmy Hall Defensive Rebound.,71,70
5:29,2309,Jimmy Hall Turnover.,71,70
5:29,233,Trey Dickerson missed Three Point Jumper.,71,70
5:29,2309,Kevin Zabo Defensive Rebound.,71,70
5:21,233,Foul on Matt Mooney.,71,70
5:21,2309,Jaylin Walker made Free Throw.,71,71
5:21,2309,Jaylin Walker made Free Throw.,71,72
4:52,233,Carlton Hurst made Jumper. Assisted by Tyler Peterson.,73,72
4:33,2309,Deon Edwin made Three Point Jumper. Assisted by Kevin Zabo.,73,75
4:11,233,Tyler Flack Turnover.,73,75
4:09,2309,Deon Edwin Steal.,73,75
3:57,2309,Jimmy Hall missed Jumper.,73,75
3:57,233,Trey Burch-Manning Defensive Rebound.,73,75
3:41,2309,Foul on Alonzo Walker.,73,75
3:41,2309,Official TV Timeout,73,75
3:41,233,Trey Burch-Manning missed Free Throw.,73,75
3:41,233,South Dakota Deadball Team Rebound.,73,75
3:41,233,Trey Burch-Manning made Free Throw.,74,75
3:24,2309,Kevin Zabo missed Layup.,74,75
3:24,2309,Alonzo Walker Offensive Rebound.,74,75
3:19,2309,Alonzo Walker Turnover.,74,75
3:08,233,Tyler Flack missed Jumper.,74,75
3:08,233,Carlton Hurst Offensive Rebound.,74,75
3:02,233,Carlton Hurst missed Layup.,74,75
3:02,2309,Deon Edwin Block.,74,75
3:00,2309,Deon Edwin Defensive Rebound.,74,75
2:39,2309,Jaylin Walker Turnover.,74,75
2:23,233,Matt Mooney made Jumper.,76,75
2:04,2309,Jimmy Hall missed Jumper.,76,75
2:04,233,Tyler Flack Defensive Rebound.,76,75
1:45,233,Triston Simpson missed Layup.,76,75
1:45,2309,Jimmy Hall Defensive Rebound.,76,75
1:37,2309,Deon Edwin made Layup.,76,77
1:17,2309,Foul on Kevin Zabo.,76,77
1:17,233,Tyler Flack made Free Throw.,77,77
1:17,233,Tyler Flack made Free Throw.,78,77
1:12,2309,Kent State  Timeout,78,77
1:06,2309,Deon Edwin missed Three Point Jumper.,78,77
1:06,233,Carlton Hurst Defensive Rebound.,78,77
0:36,233,Trey Burch-Manning missed Jumper.,78,77
0:36,233,Tyler Flack Offensive Rebound.,78,77
0:13,233,Matt Mooney missed Three Point Jumper.,78,77
0:13,233,Tyler Flack Defensive Rebound.,78,77
0:10,233,South Dakota  Timeout,78,77
0:10,2309,Kent State  Timeout,78,77
0:07,233,Tyler Flack made Layup.,80,77
0:03,2309,Jaylin Walker missed Three Point Jumper.,80,77
0:03,233,Carlton Hurst Defensive Rebound.,80,77
0:00,2309,End of Game,80,77
