UMKC,2739,Green Bay,140
14:32,140,UMKC  Timeout,12,4
14:32,2739,Charles Cooper missed Free Throw.,12,4
14:32,2739,Green Bay Deadball Team Rebound.,12,4
14:32,2739,Charles Cooper made Free Throw.,12,5
14:21,140,Broderick Newbill made Layup. Assisted by Xavier Bishop.,14,5
14:17,2739,Warren Jones Turnover.,14,5
14:00,140,Dashawn King missed Three Point Jumper.,14,5
14:00,140,Martez Harrison Offensive Rebound.,14,5
13:38,140,Dashawn King missed Layup.,14,5
13:38,2739,Turner Botz Block.,14,5
13:36,140,Dashawn King Offensive Rebound.,14,5
13:33,140,Dashawn King made Layup.,16,5
13:28,2739,Khalil Small missed Three Point Jumper.,16,5
13:28,140,Broderick Newbill Defensive Rebound.,16,5
13:20,140,Xavier Bishop Turnover.,16,5
13:16,2739,Kerem Kanter Steal.,16,5
13:14,2739,Warren Jones missed Three Point Jumper.,16,5
13:14,2739,Khalil Small Offensive Rebound.,16,5
13:10,2739,Khalil Small made Layup.,16,7
12:55,2739,Foul on Khalil Small.,16,7
12:47,140,LaVell Boyd missed Layup.,16,7
12:47,2739,Kenneth Lowe Defensive Rebound.,16,7
12:29,2739,Warren Jones missed Three Point Jumper.,16,7
12:29,140,Martez Harrison Defensive Rebound.,16,7
12:23,140,Broderick Newbill made Layup. Assisted by Martez Harrison.,18,7
12:23,2739,Green Bay  Timeout,18,7
12:11,2739,Turner Botz made Three Point Jumper. Assisted by Trevor Anderson.,18,10
11:41,140,Martez Harrison Turnover.,18,10
11:27,2739,Tevin Findlay made Layup.,18,12
10:57,140,LaVell Boyd Turnover.,18,12
10:56,2739,Trevor Anderson Steal.,18,12
10:52,2739,Trevor Anderson missed Layup.,18,12
10:52,140,Broderick Newbill Defensive Rebound.,18,12
10:43,140,Broderick Newbill missed Three Point Jumper.,18,12
10:43,2739,Trevor Anderson Defensive Rebound.,18,12
10:34,2739,Warren Jones made Three Point Jumper. Assisted by Turner Botz.,18,15
9:58,140,Grant Leach missed Three Point Jumper.,18,15
9:58,2739,Warren Jones Defensive Rebound.,18,15
9:48,2739,Trevor Anderson missed Three Point Jumper.,18,15
9:48,140,UMKC Defensive Rebound.,18,15
9:13,140,Martez Harrison made Layup.,20,15
9:03,2739,Turner Botz made Three Point Jumper. Assisted by Khalil Small.,20,18
8:33,140,Kyle Steward made Layup.,22,18
8:33,2739,Foul on Kenneth Lowe.,22,18
8:33,140,Kyle Steward missed Free Throw.,22,18
8:33,2739,Khalil Small Defensive Rebound.,22,18
8:19,2739,Khalil Small missed Three Point Jumper.,22,18
8:19,140,Broderick Robinson Defensive Rebound.,22,18
8:04,140,Broderick Robinson made Three Point Jumper. Assisted by LaVell Boyd.,25,18
7:55,2739,Kenneth Lowe made Layup. Assisted by Tevin Findlay.,25,20
7:34,140,Martez Harrison made Jumper.,27,20
7:10,140,Foul on Darnell Tillman.,27,20
7:09,2739,Official TV Timeout,27,20
7:09,2739,Kenneth Lowe made Free Throw.,27,21
7:09,2739,Kenneth Lowe missed Free Throw.,27,21
7:09,140,Duane Clark Defensive Rebound.,27,21
6:48,140,Kyle Steward Turnover.,27,21
6:36,2739,Turner Botz missed Three Point Jumper.,27,21
6:36,140,Broderick Robinson Defensive Rebound.,27,21
6:33,2739,Foul on Charles Cooper.,27,21
6:12,140,Duane Clark missed Jumper.,27,21
6:12,2739,Khalil Small Defensive Rebound.,27,21
6:06,2739,Charles Cooper made Layup. Assisted by Khalil Small.,27,23
5:52,2739,Foul on Turner Botz.,27,23
5:52,140,Duane Clark missed Free Throw.,27,23
5:52,2739,Turner Botz Defensive Rebound.,27,23
5:45,2739,Charles Cooper made Layup.,27,25
5:18,140,Martez Harrison Turnover.,27,25
5:16,2739,Warren Jones Steal.,27,25
5:14,2739,Warren Jones made Layup.,27,27
4:45,140,Martez Harrison missed Layup.,27,27
4:45,2739,Kenneth Lowe Block.,27,27
4:43,2739,Turner Botz Defensive Rebound.,27,27
4:40,2739,Warren Jones made Layup. Assisted by Turner Botz.,27,29
4:37,140,Xavier Bishop Turnover.,27,29
4:28,140,Foul on Broderick Robinson.,27,29
4:28,2739,Charles Cooper missed Free Throw.,27,29
4:28,2739,Green Bay Deadball Team Rebound.,27,29
4:28,2739,Charles Cooper made Free Throw.,27,30
4:17,140,Kyle Steward Turnover.,27,30
4:17,140,Foul on Kyle Steward.,27,30
4:05,2739,Kenneth Lowe Turnover.,27,30
3:55,140,Xavier Bishop missed Three Point Jumper.,27,30
3:55,2739,Khalil Small Defensive Rebound.,27,30
3:45,2739,Khalil Small missed Jumper.,27,30
3:45,140,UMKC Defensive Rebound.,27,30
3:40,2739,Official TV Timeout,27,30
3:18,140,LaVell Boyd missed Three Point Jumper.,27,30
3:18,2739,Warren Jones Defensive Rebound.,27,30
3:10,140,Foul on Kyle Steward.,27,30
3:10,2739,Tevin Findlay missed Free Throw.,27,30
3:10,2739,Green Bay Deadball Team Rebound.,27,30
3:10,2739,Tevin Findlay made Free Throw.,27,31
2:53,140,LaVell Boyd Turnover.,27,31
2:52,2739,Warren Jones Steal.,27,31
2:48,2739,Turner Botz missed Three Point Jumper.,27,31
2:48,140,Isaiah Ross Defensive Rebound.,27,31
2:40,140,Isaiah Ross missed Layup.,27,31
2:40,2739,Turner Botz Defensive Rebound.,27,31
2:34,2739,Turner Botz made Three Point Jumper. Assisted by Warren Jones.,27,34
2:11,140,LaVell Boyd missed Three Point Jumper.,27,34
2:11,2739,David Jesperson Defensive Rebound.,27,34
1:54,2739,David Jesperson made Layup. Assisted by Turner Botz.,27,36
1:34,2739,Foul on Tevin Findlay.,27,36
1:34,140,Xavier Bishop made Free Throw.,28,36
1:34,140,Xavier Bishop made Free Throw.,29,36
1:20,2739,Warren Jones made Three Point Jumper. Assisted by David Jesperson.,29,39
0:55,140,Broderick Newbill made Three Point Jumper. Assisted by Martez Harrison.,32,39
0:44,140,Foul on Broderick Newbill.,32,39
0:44,2739,Tevin Findlay made Free Throw.,32,40
0:44,2739,Tevin Findlay made Free Throw.,32,41
0:27,140,Broderick Newbill missed Jumper.,32,41
0:27,2739,Turner Botz Block.,32,41
0:25,2739,Tevin Findlay Defensive Rebound.,32,41
0:20,140,Foul on Darnell Tillman.,32,41
0:20,2739,Turner Botz made Free Throw.,32,42
0:20,2739,Turner Botz made Free Throw.,32,43
0:03,140,Dashawn King made Layup.,34,43
0:00,2739,End of 1st half,34,43
19:44,2739,Khalil Small missed Three Point Jumper.,34,43
19:44,140,LaVell Boyd Defensive Rebound.,34,43
19:29,140,Broderick Robinson missed Layup.,34,43
19:29,140,Broderick Robinson Offensive Rebound.,34,43
19:24,140,Kyle Steward missed Three Point Jumper.,34,43
19:24,2739,Charles Cooper Defensive Rebound.,34,43
19:04,2739,Charles Cooper made Jumper.,34,45
18:27,140,LaVell Boyd missed Three Point Jumper.,34,45
18:27,140,Kyle Steward Offensive Rebound.,34,45
18:18,140,LaVell Boyd made Jumper.,36,45
18:00,2739,Charles Cooper made Jumper.,36,47
17:54,140,Martez Harrison Turnover.,36,47
17:54,140,Foul on Martez Harrison.,36,47
17:44,140,Foul on Darnell Tillman.,36,47
17:44,2739,Kenneth Lowe missed Free Throw.,36,47
17:44,2739,Green Bay Deadball Team Rebound.,36,47
17:44,2739,Kenneth Lowe missed Free Throw.,36,47
17:44,140,Darnell Tillman Defensive Rebound.,36,47
17:33,2739,Foul on Trevor Anderson.,36,47
17:24,140,LaVell Boyd made Layup.,38,47
17:08,2739,Khalil Small made Layup. Assisted by Charles Cooper.,38,49
16:55,140,LaVell Boyd missed Three Point Jumper.,38,49
16:55,2739,Charles Cooper Defensive Rebound.,38,49
16:45,2739,Trevor Anderson made Three Point Jumper. Assisted by Kenneth Lowe.,38,52
16:25,140,LaVell Boyd Turnover.,38,52
16:24,2739,Trevor Anderson Steal.,38,52
16:21,2739,Trevor Anderson missed Jumper.,38,52
16:21,2739,Turner Botz Offensive Rebound.,38,52
16:15,2739,Trevor Anderson made Three Point Jumper. Assisted by Kenneth Lowe.,38,55
16:10,140,UMKC  Timeout,38,55
15:55,140,Dashawn King made Layup.,40,55
15:37,2739,Turner Botz made Layup. Assisted by Kenneth Lowe.,40,57
15:20,140,Broderick Newbill made Layup.,42,57
15:13,2739,Turner Botz missed Three Point Jumper.,42,57
15:13,140,Xavier Bishop Defensive Rebound.,42,57
15:06,140,Isaiah Ross made Three Point Jumper. Assisted by Xavier Bishop.,45,57
14:55,140,Foul on Xavier Bishop.,45,57
14:39,2739,Turner Botz missed Layup.,45,57
14:39,2739,Turner Botz Offensive Rebound.,45,57
14:33,2739,Green Bay  Timeout,45,57
14:29,2739,Trevor Anderson missed Three Point Jumper.,45,57
14:29,140,Isaiah Ross Defensive Rebound.,45,57
14:19,140,Xavier Bishop made Layup.,47,57
14:05,2739,Warren Jones missed Three Point Jumper.,47,57
14:05,140,Duane Clark Defensive Rebound.,47,57
13:53,140,Dashawn King missed Three Point Jumper.,47,57
13:53,2739,Khalil Small Defensive Rebound.,47,57
13:50,140,Foul on Xavier Bishop.,47,57
13:34,2739,Khalil Small made Layup.,47,59
13:25,140,Xavier Bishop missed Layup.,47,59
13:25,2739,Turner Botz Defensive Rebound.,47,59
13:17,2739,Warren Jones made Jumper.,47,61
12:47,140,Isaiah Ross missed Three Point Jumper.,47,61
12:47,2739,Turner Botz Defensive Rebound.,47,61
12:37,2739,Turner Botz missed Three Point Jumper.,47,61
12:37,2739,Warren Jones Offensive Rebound.,47,61
12:32,2739,Warren Jones made Layup.,47,63
12:23,140,Xavier Bishop missed Three Point Jumper.,47,63
12:23,2739,Green Bay Defensive Rebound.,47,63
12:19,140,Foul on Dashawn King.,47,63
12:10,2739,Tevin Findlay made Layup.,47,65
11:59,140,Grant Leach missed Three Point Jumper.,47,65
11:59,2739,Charles Cooper Defensive Rebound.,47,65
11:41,2739,Tevin Findlay missed Layup.,47,65
11:41,140,LaVell Boyd Defensive Rebound.,47,65
11:32,140,LaVell Boyd Turnover.,47,65
11:32,2739,Official TV Timeout,47,65
11:24,140,Foul on Isaiah Ross.,47,65
11:24,2739,Charles Cooper missed Free Throw.,47,65
11:24,2739,Green Bay Deadball Team Rebound.,47,65
11:24,2739,Charles Cooper made Free Throw.,47,66
11:09,140,Isaiah Ross missed Three Point Jumper.,47,66
11:09,2739,Tevin Findlay Defensive Rebound.,47,66
11:05,2739,Charles Cooper made Layup. Assisted by Tevin Findlay.,47,68
10:50,140,Martez Harrison missed Jumper.,47,68
10:50,2739,Warren Jones Defensive Rebound.,47,68
10:28,2739,Warren Jones missed Jumper.,47,68
10:28,140,Martez Harrison Defensive Rebound.,47,68
10:21,140,Grant Leach made Three Point Jumper.,50,68
10:05,2739,Tevin Findlay Turnover.,50,68
10:03,140,Grant Leach Steal.,50,68
10:01,140,Kyle Steward made Dunk. Assisted by Isaiah Ross.,52,68
9:32,2739,Warren Jones missed Three Point Jumper.,52,68
9:32,2739,Tevin Findlay Offensive Rebound.,52,68
9:19,2739,Warren Jones made Layup.,52,70
9:10,2739,Foul on David Jesperson.,52,70
9:05,140,Kyle Steward missed Jumper.,52,70
9:05,2739,Tevin Findlay Defensive Rebound.,52,70
8:45,2739,Kenneth Lowe made Layup. Assisted by Tevin Findlay.,52,72
8:29,140,Dashawn King missed Layup.,52,72
8:29,2739,Charles Cooper Defensive Rebound.,52,72
8:28,140,Foul on Dashawn King.,52,72
8:28,2739,Charles Cooper made Free Throw.,52,73
8:28,2739,Charles Cooper made Free Throw.,52,74
8:19,140,LaVell Boyd missed Three Point Jumper.,52,74
8:19,140,LaVell Boyd Offensive Rebound.,52,74
8:10,2739,Foul on Kenneth Lowe.,52,74
8:10,140,LaVell Boyd missed Free Throw.,52,74
8:10,140,UMKC Deadball Team Rebound.,52,74
8:10,140,LaVell Boyd made Free Throw.,53,74
7:58,2739,Charles Cooper Turnover.,53,74
7:57,2739,Official TV Timeout,53,74
7:34,140,Dashawn King missed Layup.,53,74
7:34,2739,Trevor Anderson Defensive Rebound.,53,74
7:19,2739,Kenneth Lowe made Layup. Assisted by Tevin Findlay.,53,76
7:19,140,Foul on Kyle Steward.,53,76
7:19,2739,Kenneth Lowe missed Free Throw.,53,76
7:19,140,Broderick Robinson Defensive Rebound.,53,76
7:12,140,LaVell Boyd made Jumper.,55,76
6:55,2739,Tevin Findlay made Layup. Assisted by Kenneth Lowe.,55,78
6:43,140,LaVell Boyd missed Layup.,55,78
6:43,2739,Kenneth Lowe Block.,55,78
6:41,140,Jordan Giles Offensive Rebound.,55,78
6:33,140,LaVell Boyd made Three Point Jumper. Assisted by Martez Harrison.,58,78
6:28,140,UMKC  Timeout,58,78
6:16,140,Foul on Broderick Robinson.,58,78
6:16,2739,Khalil Small made Free Throw.,58,79
6:16,2739,Khalil Small made Free Throw.,58,80
5:54,140,Broderick Robinson made Three Point Jumper. Assisted by Martez Harrison.,61,80
5:32,2739,Khalil Small made Three Point Jumper.,61,83
5:21,140,LaVell Boyd made Three Point Jumper.,64,83
5:11,2739,Turner Botz Turnover.,64,83
5:11,140,Martez Harrison made Layup.,66,83
4:59,140,Foul on Kyle Steward.,66,83
4:59,2739,Turner Botz made Free Throw.,66,84
4:59,2739,Turner Botz made Free Throw.,66,85
4:37,140,Broderick Newbill made Three Point Jumper. Assisted by Martez Harrison.,69,85
4:17,2739,Warren Jones Turnover.,69,85
4:17,2739,Foul on Warren Jones.,69,85
4:03,140,LaVell Boyd made Layup.,71,85
3:50,140,Foul on Martez Harrison.,71,85
3:50,2739,Official TV Timeout,71,85
3:50,2739,Trevor Anderson made Free Throw.,71,86
3:50,2739,Trevor Anderson made Free Throw.,71,87
3:31,140,Broderick Robinson missed Three Point Jumper.,71,87
3:31,2739,Trevor Anderson Defensive Rebound.,71,87
3:22,140,Foul on Broderick Robinson.,71,87
3:22,2739,Trevor Anderson made Free Throw.,71,88
3:22,2739,Trevor Anderson made Free Throw.,71,89
3:11,140,LaVell Boyd made Three Point Jumper.,74,89
2:57,2739,Charles Cooper missed Layup.,74,89
2:57,140,Xavier Bishop Defensive Rebound.,74,89
2:45,2739,Foul on Khalil Small.,74,89
2:40,140,Xavier Bishop missed Layup.,74,89
2:40,2739,Warren Jones Defensive Rebound.,74,89
2:19,2739,Khalil Small made Layup.,74,91
1:57,2739,Foul on Trevor Anderson.,74,91
1:55,2739,Foul on Trevor Anderson.,74,91
1:55,140,Martez Harrison missed Free Throw.,74,91
1:55,2739,Charles Cooper Defensive Rebound.,74,91
1:28,140,Foul on Grant Leach.,74,91
1:28,2739,Warren Jones made Free Throw.,74,92
1:28,2739,Warren Jones missed Free Throw.,74,92
1:28,140,Grant Leach Defensive Rebound.,74,92
1:22,140,Martez Harrison made Jumper.,76,92
1:11,140,Foul on Grant Leach.,76,92
1:11,2739,Khalil Small missed Free Throw.,76,92
1:11,2739,Green Bay Deadball Team Rebound.,76,92
1:11,2739,Khalil Small made Free Throw.,76,93
0:58,2739,Foul on Turner Botz.,76,93
0:58,140,Xavier Bishop missed Free Throw.,76,93
0:58,140,UMKC Deadball Team Rebound.,76,93
0:58,140,Xavier Bishop made Free Throw.,77,93
0:35,2739,Trevor Anderson made Jumper.,77,95
0:26,140,Xavier Bishop missed Three Point Jumper.,77,95
0:26,2739,Green Bay Defensive Rebound.,77,95
0:00,2739,End of Game,77,95
