Mt. St. Mary's,79,Southern Illinois,116
0:16,116,Mt. St. Mary's  Timeout,36,35
0:00,116,Will Miller missed Three Point Jumper.,36,35
0:00,79,Thik Bol Defensive Rebound.,36,35
0:00,79,End of 1st half,36,35
19:49,79,Sean O'Brien Turnover.,36,35
19:48,116,Elijah Long Steal.,36,35
19:25,116,Mawdo Sallah missed Jumper.,36,35
19:25,79,Sean O'Brien Defensive Rebound.,36,35
19:17,79,Leo Vincent made Layup.,36,37
18:57,116,Mawdo Sallah missed Jumper.,36,37
18:57,79,Sean O'Brien Defensive Rebound.,36,37
18:50,79,Leo Vincent Turnover.,36,37
18:29,116,Chris Wray missed Jumper.,36,37
18:29,79,Thik Bol Defensive Rebound.,36,37
18:18,79,Leo Vincent missed Three Point Jumper.,36,37
18:18,79,Sean O'Brien Offensive Rebound.,36,37
18:16,116,Foul on Chris Wray.,36,37
18:05,79,Mike Rodriguez missed Jumper.,36,37
18:05,79,Sean O'Brien Offensive Rebound.,36,37
18:00,79,Armon Fletcher made Layup. Assisted by Sean O'Brien.,36,39
17:42,116,Greg Alexander made Three Point Jumper. Assisted by Junior Robinson.,39,39
17:36,116,Foul on Junior Robinson.,39,39
17:26,116,Foul on Junior Robinson.,39,39
17:23,79,Sean O'Brien missed Layup.,39,39
17:23,79,Thik Bol Offensive Rebound.,39,39
17:20,79,Leo Vincent missed Three Point Jumper.,39,39
17:20,116,Ryan Gomes Defensive Rebound.,39,39
16:47,116,Mt. St. Mary's  Turnover.,39,39
16:21,79,Leo Vincent made Three Point Jumper.,39,42
16:00,79,Foul on Mike Rodriguez.,39,42
15:48,116,Khalid Nwandu Turnover.,39,42
15:47,79,Armon Fletcher Steal.,39,42
15:38,79,Armon Fletcher missed Layup.,39,42
15:38,116,Randy Miller Jr. Defensive Rebound.,39,42
15:31,116,Khalid Nwandu made Layup.,41,42
15:09,116,Foul on Randy Miller Jr..,41,42
15:09,79,Armon Fletcher missed Three Point Jumper.,41,42
15:09,79,Sean O'Brien Offensive Rebound.,41,42
15:07,79,Thik Bol missed Layup.,41,42
15:07,79,Sean O'Brien Offensive Rebound.,41,42
14:49,79,Sean O'Brien made Layup.,41,44
14:43,79,Foul on Leo Vincent.,41,44
14:14,79,Foul on Leo Vincent.,41,44
13:55,116,Miles Wilson Turnover.,41,44
13:54,79,Sean Lloyd Steal.,41,44
13:46,79,Aaron Cook Turnover.,41,44
13:40,116,Miles Wilson Steal.,41,44
13:38,116,Will Miller missed Jumper.,41,44
13:38,79,Sean O'Brien Defensive Rebound.,41,44
13:30,79,Aaron Cook missed Three Point Jumper.,41,44
13:30,116,Mt. St. Mary's Defensive Rebound.,41,44
13:19,116,- Null missed Layup.,41,44
13:19,79,Sean Lloyd missed Layup.,41,44
13:19,79,Southern Illinois Offensive Rebound.,41,44
12:56,116,Junior Robinson missed Three Point Jumper.,41,44
12:56,79,Thik Bol Defensive Rebound.,41,44
12:51,79,Aaron Cook missed Layup.,41,44
12:51,116,Mawdo Sallah Block.,41,44
12:51,79,Aaron Cook Offensive Rebound.,41,44
12:51,116,Foul on Mawdo Sallah.,41,44
12:51,79,Aaron Cook missed Free Throw.,41,44
12:51,79,Southern Illinois Deadball Team Rebound.,41,44
12:51,79,Aaron Cook made Free Throw.,41,45
12:33,116,Chris Wray Turnover.,41,45
12:17,79,Sean Lloyd missed Three Point Jumper.,41,45
12:17,116,Junior Robinson Defensive Rebound.,41,45
12:06,116,Will Miller missed Three Point Jumper.,41,45
12:06,79,Sean O'Brien Block.,41,45
12:06,79,Thik Bol Defensive Rebound.,41,45
11:48,79,Aaron Cook made Three Point Jumper. Assisted by Armon Fletcher.,41,48
11:42,116,Mt. St. Mary's  Timeout,41,48
11:42,79,Official TV Timeout,41,48
11:24,116,Mt. St. Mary's  Timeout,41,48
11:15,116,Junior Robinson made Jumper.,43,48
10:58,116,Foul on Junior Robinson.,43,48
10:44,79,Sean O'Brien Turnover.,43,48
10:44,79,Foul on Sean O'Brien.,43,48
10:28,116,Junior Robinson Turnover.,43,48
10:26,79,Aaron Cook Steal.,43,48
10:12,79,Thik Bol Turnover.,43,48
10:11,116,Chris Wray Steal.,43,48
10:07,116,Greg Alexander made Dunk. Assisted by Junior Robinson.,45,48
9:47,79,Sean O'Brien missed Layup.,45,48
9:47,116,Greg Alexander Block.,45,48
9:47,116,Junior Robinson Defensive Rebound.,45,48
9:41,116,Will Miller missed Three Point Jumper.,45,48
9:41,79,Thik Bol Defensive Rebound.,45,48
9:25,79,Armon Fletcher missed Three Point Jumper.,45,48
9:25,116,Will Miller Defensive Rebound.,45,48
9:14,116,Elijah Long Turnover.,45,48
9:13,79,Sean O'Brien Steal.,45,48
8:54,116,Foul on Elijah Long.,45,48
8:54,79,Sean Lloyd made Free Throw.,45,49
8:54,79,Sean Lloyd made Free Throw.,45,50
8:36,116,Will Miller made Three Point Jumper. Assisted by Chris Wray.,48,50
8:13,79,Armon Fletcher made Three Point Jumper. Assisted by Rudy Stradnieks.,48,53
7:43,116,Elijah Long missed Layup.,48,53
7:43,79,Rudy Stradnieks Defensive Rebound.,48,53
7:37,116,Foul on Junior Robinson.,48,53
7:37,79,Official TV Timeout,48,53
7:37,79,Mike Rodriguez made Free Throw.,48,54
7:37,79,Mike Rodriguez made Free Throw.,48,55
7:07,116,Miles Wilson missed Three Point Jumper.,48,55
7:07,116,Chris Wray Offensive Rebound.,48,55
7:07,79,Foul on Armon Fletcher.,48,55
6:50,116,Elijah Long missed Layup.,48,55
6:50,79,Sean O'Brien Defensive Rebound.,48,55
6:49,79,Foul on Sean O'Brien.,48,55
6:49,79,Sean O'Brien Turnover.,48,55
6:40,79,Foul on Thik Bol.,48,55
6:40,116,Elijah Long made Free Throw.,49,55
6:40,116,Elijah Long made Free Throw.,50,55
6:29,116,Foul on Elijah Long.,50,55
6:29,79,Armon Fletcher made Free Throw.,50,56
6:29,79,Armon Fletcher made Free Throw.,50,57
6:14,116,Will Miller missed Three Point Jumper.,50,57
6:14,79,Thik Bol Defensive Rebound.,50,57
6:01,116,Foul on Chris Wray.,50,57
6:01,79,Mike Rodriguez made Free Throw.,50,58
6:01,79,Mike Rodriguez made Free Throw.,50,59
5:43,116,Miles Wilson missed Layup.,50,59
5:43,79,Thik Bol Block.,50,59
5:43,79,Sean O'Brien Defensive Rebound.,50,59
5:36,79,Thik Bol made Layup. Assisted by Sean O'Brien.,50,61
5:15,116,Elijah Long made Three Point Jumper.,53,61
4:56,79,Thik Bol missed Jumper.,53,61
4:56,116,Miles Wilson Defensive Rebound.,53,61
4:48,79,Foul on Thik Bol.,53,61
4:48,116,Elijah Long missed Free Throw.,53,61
4:48,116,Mt. St. Mary's Deadball Team Rebound.,53,61
4:48,116,Elijah Long made Free Throw.,54,61
4:44,79,Armon Fletcher made Layup.,54,63
4:11,116,Elijah Long missed Jumper.,54,63
4:11,79,Sean O'Brien Defensive Rebound.,54,63
4:01,79,Thik Bol made Dunk. Assisted by Mike Rodriguez.,54,65
3:38,116,Charles Glover missed Three Point Jumper.,54,65
3:38,79,Sean O'Brien Defensive Rebound.,54,65
3:24,79,Mike Rodriguez Turnover.,54,65
3:23,116,Miles Wilson Steal.,54,65
3:19,79,Foul on Sean Lloyd.,54,65
3:19,79,Official TV Timeout,54,65
3:19,116,Elijah Long missed Free Throw.,54,65
3:19,79,Sean O'Brien Defensive Rebound.,54,65
2:50,79,Sean O'Brien missed Three Point Jumper.,54,65
2:50,116,Mt. St. Mary's Defensive Rebound.,54,65
2:45,79,Foul on Armon Fletcher.,54,65
2:45,116,Elijah Long missed Free Throw.,54,65
2:45,116,Mt. St. Mary's Deadball Team Rebound.,54,65
2:45,116,Elijah Long made Free Throw.,55,65
2:42,79,Mike Rodriguez made Layup. Assisted by Sean O'Brien.,55,67
2:18,116,Junior Robinson Turnover.,55,67
2:17,79,Mike Rodriguez Steal.,55,67
2:13,79,Armon Fletcher missed Layup.,55,67
2:13,79,Thik Bol Offensive Rebound.,55,67
2:08,79,Thik Bol made Layup.,55,69
1:53,116,Chris Wray missed Layup.,55,69
1:53,79,Thik Bol Block.,55,69
1:53,79,Leo Vincent Defensive Rebound.,55,69
1:30,79,Thik Bol made Layup. Assisted by Sean O'Brien.,55,71
1:22,116,Will Miller made Three Point Jumper. Assisted by Elijah Long.,58,71
0:53,79,Thik Bol made Dunk. Assisted by Mike Rodriguez.,58,73
0:37,116,Elijah Long made Jumper.,60,73
0:04,79,Leo Vincent missed Three Point Jumper.,60,73
0:04,116,Mt. St. Mary's Defensive Rebound.,60,73
0:02,116,Junior Robinson made Three Point Jumper.,63,73
0:00,79,End of 2nd half,63,73
0:00,79,End of Game,63,73
