George Washington,218,Temple,45
0:37,45,George Washington  Timeout,31,23
0:28,45,Jordan Roland Turnover.,31,23
0:27,218,Daniel Dingle Steal.,31,23
0:25,218,Josh Brown made Layup. Assisted by Alani Moore II.,31,25
0:01,45,Kevin Marfo missed Jumper.,31,25
0:01,218,Daniel Dingle Block.,31,25
0:00,218,Daniel Dingle Defensive Rebound.,31,25
0:00,218,End of 1st half,31,25
19:35,45,Collin Smith made Jumper. Assisted by Arnaldo Toro.,33,25
19:02,218,Alani Moore II made Three Point Jumper. Assisted by Daniel Dingle.,33,28
18:45,218,Foul on Obi Enechionyia.,33,28
18:35,45,Collin Smith made Jumper.,35,28
18:21,218,Ernest Aflakpui missed Layup.,35,28
18:21,45,Arnaldo Toro Block.,35,28
18:19,218,Ernest Aflakpui Offensive Rebound.,35,28
18:13,218,Ernest Aflakpui missed Layup.,35,28
18:13,45,Arnaldo Toro Defensive Rebound.,35,28
17:58,45,Collin Smith missed Three Point Jumper.,35,28
17:58,218,Obi Enechionyia Defensive Rebound.,35,28
17:46,218,Daniel Dingle missed Jumper.,35,28
17:46,45,Collin Smith Defensive Rebound.,35,28
17:29,45,Arnaldo Toro made Layup.,37,28
17:09,218,Obi Enechionyia missed Three Point Jumper.,37,28
17:09,45,Arnaldo Toro Defensive Rebound.,37,28
16:55,45,Jordan Roland made Layup. Assisted by Tyler Cavanaugh.,39,28
16:25,218,Daniel Dingle missed Three Point Jumper.,39,28
16:25,45,Jordan Roland Defensive Rebound.,39,28
16:14,45,Arnaldo Toro made Layup. Assisted by Tyler Cavanaugh.,41,28
16:06,218,Temple  Timeout,41,28
15:45,218,Alani Moore II made Three Point Jumper. Assisted by Daniel Dingle.,41,31
15:18,45,Jaren Sina missed Three Point Jumper.,41,31
15:18,45,Arnaldo Toro Offensive Rebound.,41,31
14:56,45,Jordan Roland made Three Point Jumper.,44,31
14:36,218,Shizz Alston Jr. missed Jumper.,44,31
14:36,45,George Washington Deadball Team Rebound.,44,31
14:35,218,Official TV Timeout,44,31
14:13,45,Collin Smith made Jumper.,46,31
13:51,218,Daniel Dingle made Three Point Jumper. Assisted by Shizz Alston Jr..,46,34
13:20,45,Jordan Roland missed Three Point Jumper.,46,34
13:20,45,George Washington Offensive Rebound.,46,34
13:14,45,Collin Smith missed Jumper.,46,34
13:14,218,Obi Enechionyia Block.,46,34
13:12,45,George Washington Offensive Rebound.,46,34
13:08,45,Jaren Sina made Three Point Jumper. Assisted by Collin Smith.,49,34
12:49,218,Alani Moore II missed Three Point Jumper.,49,34
12:49,45,Jaren Sina Defensive Rebound.,49,34
12:36,45,Jaren Sina Turnover.,49,34
12:36,218,Shizz Alston Jr. Steal.,49,34
12:36,45,Foul on Jaren Sina.,49,34
12:11,218,Alani Moore II made Three Point Jumper. Assisted by Daniel Dingle.,49,37
11:57,45,Jordan Roland missed Layup.,49,37
11:57,218,Obi Enechionyia Block.,49,37
11:55,218,Daniel Dingle Defensive Rebound.,49,37
11:46,218,Alani Moore II Turnover.,49,37
11:45,45,Jordan Roland Steal.,49,37
11:44,45,Collin Smith Turnover.,49,37
11:44,218,Official TV Timeout,49,37
11:26,218,Daniel Dingle missed Three Point Jumper.,49,37
11:26,45,Tyler Cavanaugh Defensive Rebound.,49,37
11:07,45,Tyler Cavanaugh missed Jumper.,49,37
11:07,218,Josh Brown Block.,49,37
11:06,45,George Washington Offensive Rebound.,49,37
10:58,45,Collin Smith missed Jumper.,49,37
10:58,218,Daniel Dingle Defensive Rebound.,49,37
10:51,218,Daniel Dingle Turnover.,49,37
10:50,45,Arnaldo Toro Steal.,49,37
10:46,45,Matt Hart made Three Point Jumper. Assisted by Jaren Sina.,52,37
10:28,218,Shizz Alston Jr. made Jumper. Assisted by Daniel Dingle.,52,39
10:06,45,Collin Smith Turnover.,52,39
9:54,218,Mark Williams made Jumper.,52,41
9:27,45,Tyler Cavanaugh missed Jumper.,52,41
9:27,218,Obi Enechionyia Defensive Rebound.,52,41
9:18,45,Foul on Tyler Cavanaugh.,52,41
9:18,218,Mark Williams made Free Throw.,52,42
9:18,218,Mark Williams missed Free Throw.,52,42
9:18,218,Shizz Alston Jr. Offensive Rebound.,52,42
9:16,218,Shizz Alston Jr. missed Jumper.,52,42
9:16,218,Obi Enechionyia Offensive Rebound.,52,42
9:13,218,Obi Enechionyia missed Jumper.,52,42
9:13,45,Tyler Cavanaugh Defensive Rebound.,52,42
8:59,218,Foul on Obi Enechionyia.,52,42
8:52,45,Matt Hart missed Three Point Jumper.,52,42
8:52,218,Shizz Alston Jr. Defensive Rebound.,52,42
8:42,45,Foul on Jordan Roland.,52,42
8:42,218,Obi Enechionyia made Free Throw.,52,43
8:42,218,Obi Enechionyia made Free Throw.,52,44
8:22,218,Foul on Obi Enechionyia.,52,44
8:22,45,Tyler Cavanaugh made Free Throw.,53,44
8:22,45,Tyler Cavanaugh made Free Throw.,54,44
8:03,218,Mark Williams missed Jumper.,54,44
8:03,45,Jordan Roland Defensive Rebound.,54,44
7:45,218,Foul on Shizz Alston Jr..,54,44
7:45,218,Official TV Timeout,54,44
7:39,45,Jordan Roland Turnover.,54,44
7:38,218,Mark Williams Steal.,54,44
7:34,218,Daniel Dingle made Three Point Jumper. Assisted by Josh Brown.,54,47
7:16,45,Arnaldo Toro made Layup. Assisted by Tyler Cavanaugh.,56,47
6:57,218,Alani Moore II Turnover.,56,47
6:33,45,Tyler Cavanaugh made Three Point Jumper. Assisted by Matt Hart.,59,47
6:07,218,Shizz Alston Jr. made Jumper. Assisted by Mark Williams.,59,49
5:50,218,Foul on Alani Moore II.,59,49
5:39,45,Collin Smith missed Layup.,59,49
5:39,218,Shizz Alston Jr. Block.,59,49
5:32,218,Shizz Alston Jr. Defensive Rebound.,59,49
5:29,218,Josh Brown made Three Point Jumper. Assisted by Shizz Alston Jr..,59,52
5:28,218,Foul on Alani Moore II.,59,52
5:18,45,Matt Hart missed Three Point Jumper.,59,52
5:18,218,Temple Defensive Rebound.,59,52
5:18,45,Foul on Collin Smith.,59,52
5:00,218,Shizz Alston Jr. missed Three Point Jumper.,59,52
5:00,45,Collin Smith Defensive Rebound.,59,52
4:44,45,Jaren Sina Turnover.,59,52
4:44,218,Alani Moore II Steal.,59,52
4:44,45,Foul on Jaren Sina.,59,52
4:27,218,Daniel Dingle missed Three Point Jumper.,59,52
4:27,45,Matt Hart Defensive Rebound.,59,52
3:56,45,Matt Hart missed Jumper.,59,52
3:56,45,Arnaldo Toro Offensive Rebound.,59,52
3:41,218,Foul on Obi Enechionyia.,59,52
3:41,218,Official TV Timeout,59,52
3:41,45,Tyler Cavanaugh made Free Throw.,60,52
3:41,45,Tyler Cavanaugh made Free Throw.,61,52
3:18,218,Josh Brown missed Three Point Jumper.,61,52
3:18,45,Arnaldo Toro Defensive Rebound.,61,52
2:59,45,Jordan Roland Turnover.,61,52
2:59,218,Alani Moore II Steal.,61,52
2:51,218,Daniel Dingle missed Layup.,61,52
2:51,45,Collin Smith Block.,61,52
2:47,218,Shizz Alston Jr. Offensive Rebound.,61,52
2:45,218,Josh Brown made Three Point Jumper. Assisted by Shizz Alston Jr..,61,55
2:44,218,Temple  Timeout,61,55
2:23,218,Foul on Mark Williams.,61,55
2:23,45,Arnaldo Toro missed Free Throw.,61,55
2:23,218,Daniel Dingle Defensive Rebound.,61,55
2:09,218,Daniel Dingle made Three Point Jumper. Assisted by Josh Brown.,61,58
1:41,45,Jaren Sina missed Jumper.,61,58
1:41,218,Josh Brown Defensive Rebound.,61,58
1:31,218,Daniel Dingle made Three Point Jumper. Assisted by Shizz Alston Jr..,61,61
1:21,45,George Washington  Timeout,61,61
1:06,218,Foul on Shizz Alston Jr..,61,61
1:06,45,Tyler Cavanaugh made Free Throw.,62,61
1:06,45,Tyler Cavanaugh made Free Throw.,63,61
0:38,218,Shizz Alston Jr. made Jumper. Assisted by Mark Williams.,63,63
0:08,45,Tyler Cavanaugh made Three Point Jumper. Assisted by Jordan Roland.,66,63
0:05,45,Foul on Jaren Sina.,66,63
0:00,218,Daniel Dingle missed Three Point Jumper.,66,63
0:00,218,Temple Deadball Team Rebound.,66,63
0:00,218,End of Game,66,63
