Idaho State,275,Wisconsin,304
19:24,275,Bronson Koenig missed Three Point Jumper.,16,35
19:24,304,Novak Topalovic Defensive Rebound.,16,35
19:16,304,Brandon Boyd missed Layup.,16,35
19:16,304,Robert Jones III Offensive Rebound.,16,35
19:12,304,Robert Jones III made Layup.,18,35
18:58,275,Ethan Happ made Layup.,18,37
18:45,304,Foul on Novak Topalovic.,18,37
18:45,304,Novak Topalovic Turnover.,18,37
18:30,275,Vitto Brown Turnover.,18,37
18:29,304,Robert Jones III Steal.,18,37
18:28,304,Brandon Boyd missed Layup.,18,37
18:28,275,Bronson Koenig Defensive Rebound.,18,37
18:14,275,Vitto Brown made Three Point Jumper. Assisted by Zak Showalter.,18,40
18:00,304,Erik Nakken made Three Point Jumper. Assisted by Ethan Telfair.,21,40
17:43,275,Zak Showalter made Layup.,21,42
17:25,304,Ethan Telfair Turnover.,21,42
17:24,275,Zak Showalter Steal.,21,42
17:21,275,Zak Showalter made Layup.,21,44
17:01,304,Brandon Boyd missed Layup.,21,44
17:01,275,Vitto Brown Block.,21,44
17:01,275,Wisconsin Defensive Rebound.,21,44
16:51,275,Foul on Bronson Koenig.,21,44
16:51,304,Balint Mocsan made Free Throw.,22,44
16:51,304,Balint Mocsan made Free Throw.,23,44
16:51,304,Balint Mocsan missed Free Throw.,23,44
16:51,275,Ethan Happ Defensive Rebound.,23,44
16:42,275,Khalil Iverson Turnover.,23,44
16:35,304,Stephen Lennox missed Layup.,23,44
16:35,275,D'Mitrik Trice Defensive Rebound.,23,44
16:20,304,Foul on Balint Mocsan.,23,44
16:15,275,Khalil Iverson made Dunk. Assisted by Ethan Happ.,23,46
15:46,304,Robert Jones III missed Three Point Jumper.,23,46
15:46,275,Zak Showalter Defensive Rebound.,23,46
15:25,275,Nigel Hayes Turnover.,23,46
15:25,275,Official TV Timeout,23,46
15:11,275,Foul on Ethan Happ.,23,46
15:09,304,Stephen Lennox missed Free Throw.,23,46
15:09,304,Idaho State Deadball Team Rebound.,23,46
15:09,304,Stephen Lennox missed Free Throw.,23,46
15:09,304,Erik Nakken Offensive Rebound.,23,46
14:49,304,Robert Jones III Turnover.,23,46
14:48,275,Zak Showalter Steal.,23,46
14:42,304,Foul on Balint Mocsan.,23,46
14:34,275,Charles Thomas IV made Jumper.,23,48
14:20,304,Stephen Lennox made Layup.,25,48
14:04,275,Charles Thomas IV missed Jumper.,25,48
14:04,275,Charles Thomas IV Offensive Rebound.,25,48
13:56,275,Bronson Koenig made Three Point Jumper. Assisted by D'Mitrik Trice.,25,51
13:36,304,Balint Mocsan made Jumper.,27,51
13:17,275,Bronson Koenig made Layup.,27,53
13:04,304,Ethan Telfair missed Three Point Jumper.,27,53
13:04,275,Bronson Koenig Defensive Rebound.,27,53
12:43,275,Bronson Koenig Turnover.,27,53
12:27,304,Robert Jones III missed Jumper.,27,53
12:27,275,Khalil Iverson Defensive Rebound.,27,53
12:12,275,Charles Thomas IV missed Jumper.,27,53
12:12,304,Geno Luzcando Defensive Rebound.,27,53
12:10,275,Foul on Alex Illikainen.,27,53
11:58,304,Balint Mocsan missed Three Point Jumper.,27,53
11:58,275,Khalil Iverson Defensive Rebound.,27,53
11:41,304,Foul on Ethan Telfair.,27,53
11:41,275,Official TV Timeout,27,53
11:41,275,Jordan Hill made Free Throw.,27,54
11:41,275,Jordan Hill missed Free Throw.,27,54
11:41,304,Robert Jones III Defensive Rebound.,27,54
11:21,304,Hayes Garrity missed Jumper.,27,54
11:21,275,Wisconsin Defensive Rebound.,27,54
11:09,275,Foul on Khalil Iverson.,27,54
11:09,275,Khalil Iverson Turnover.,27,54
10:39,304,Geno Luzcando missed Jumper.,27,54
10:39,275,Khalil Iverson Defensive Rebound.,27,54
10:25,275,Charles Thomas IV Turnover.,27,54
10:24,304,Robert Jones III Steal.,27,54
10:16,275,Foul on Khalil Iverson.,27,54
9:56,304,Geno Luzcando made Dunk.,29,54
9:42,275,Jordan Hill missed Three Point Jumper.,29,54
9:42,275,Vitto Brown Offensive Rebound.,29,54
9:28,275,Vitto Brown made Dunk.,29,56
9:09,304,Hayes Garrity missed Three Point Jumper.,29,56
9:09,275,Ethan Happ Defensive Rebound.,29,56
8:57,275,D'Mitrik Trice missed Jumper.,29,56
8:57,275,Ethan Happ Offensive Rebound.,29,56
8:54,304,Foul on Robert Jones III.,29,56
8:54,275,Ethan Happ missed Free Throw.,29,56
8:54,275,Wisconsin Deadball Team Rebound.,29,56
8:54,275,Ethan Happ missed Free Throw.,29,56
8:54,275,Wisconsin Offensive Rebound.,29,56
8:28,275,Nigel Hayes missed Jumper.,29,56
8:28,304,Geno Luzcando Defensive Rebound.,29,56
8:14,275,Foul on Andy Van Vliet.,29,56
8:14,304,Novak Topalovic missed Free Throw.,29,56
8:14,304,Idaho State Deadball Team Rebound.,29,56
8:14,304,Novak Topalovic missed Free Throw.,29,56
8:14,275,Ethan Happ Defensive Rebound.,29,56
7:59,275,Ethan Happ Turnover.,29,56
7:58,304,Brandon Boyd Steal.,29,56
7:51,304,Hayes Garrity made Three Point Jumper. Assisted by Ethan Telfair.,32,56
7:43,275,Wisconsin  Timeout,32,56
7:36,275,Zak Showalter missed Three Point Jumper.,32,56
7:36,304,Ethan Telfair Defensive Rebound.,32,56
7:22,304,Hayes Garrity missed Three Point Jumper.,32,56
7:22,275,Nigel Hayes Defensive Rebound.,32,56
7:04,304,Foul on Ethan Telfair.,32,56
7:02,275,Official TV Timeout,32,56
7:02,275,Bronson Koenig made Free Throw.,32,57
7:02,275,Bronson Koenig made Free Throw.,32,58
6:40,304,Novak Topalovic made Layup. Assisted by Hayes Garrity.,34,58
6:32,275,Khalil Iverson missed Layup.,34,58
6:32,304,Novak Topalovic Block.,34,58
6:30,275,Bronson Koenig Offensive Rebound.,34,58
6:20,275,Bronson Koenig made Jumper.,34,60
5:57,304,Ethan Telfair made Jumper.,36,60
5:45,275,Andy Van Vliet missed Three Point Jumper.,36,60
5:45,304,Ethan Telfair Defensive Rebound.,36,60
5:35,304,Ethan Telfair missed Jumper.,36,60
5:35,275,Andy Van Vliet Defensive Rebound.,36,60
5:21,275,Bronson Koenig made Three Point Jumper.,36,63
5:02,304,Hayes Garrity missed Three Point Jumper.,36,63
5:02,275,Alex Illikainen Defensive Rebound.,36,63
4:53,304,Foul on Hayes Garrity.,36,63
4:53,275,Bronson Koenig made Free Throw.,36,64
4:53,275,Bronson Koenig missed Free Throw.,36,64
4:53,304,Stephen Lennox Defensive Rebound.,36,64
4:33,304,Stephen Lennox missed Three Point Jumper.,36,64
4:33,275,Jordan Hill Defensive Rebound.,36,64
4:23,275,Bronson Koenig made Three Point Jumper.,36,67
4:21,275,Official TV Timeout,36,67
4:12,304,Balint Mocsan Turnover.,36,67
4:11,275,Khalil Iverson Steal.,36,67
3:51,275,Jordan Hill made Layup.,36,69
3:34,275,Foul on D'Mitrik Trice.,36,69
3:34,304,Ethan Telfair missed Free Throw.,36,69
3:34,275,Aaron Moesch Defensive Rebound.,36,69
3:26,304,Foul on Stephen Lennox.,36,69
3:26,275,Charles Thomas IV made Free Throw.,36,70
3:26,275,Charles Thomas IV made Free Throw.,36,71
3:21,304,Ethan Telfair missed Three Point Jumper.,36,71
3:21,275,Charles Thomas IV Defensive Rebound.,36,71
3:07,275,Jordan Hill made Layup.,36,73
2:48,304,Robert Jones III missed Three Point Jumper.,36,73
2:48,275,D'Mitrik Trice Defensive Rebound.,36,73
2:25,275,Jordan Hill missed Jumper.,36,73
2:25,275,Charles Thomas IV Offensive Rebound.,36,73
2:21,275,Charles Thomas IV made Layup.,36,75
2:21,304,Foul on Clark Wilkinson.,36,75
2:21,275,Charles Thomas IV made Free Throw.,36,76
2:02,275,Foul on Aaron Moesch.,36,76
2:02,304,Robert Jones III made Free Throw.,37,76
2:02,304,Robert Jones III missed Free Throw.,37,76
2:02,275,Matt Ferris Defensive Rebound.,37,76
1:35,275,Brevin Pritzl missed Three Point Jumper.,37,76
1:35,304,Brandon Boyd Defensive Rebound.,37,76
1:28,304,Robert Jones III made Layup. Assisted by Brandon Boyd.,39,76
1:07,275,Aaron Moesch missed Layup.,39,76
1:07,275,Andy Van Vliet Offensive Rebound.,39,76
1:02,275,Andy Van Vliet made Dunk.,39,78
0:41,304,Balint Mocsan made Three Point Jumper.,42,78
0:22,275,T.J. Schlundt missed Three Point Jumper.,42,78
0:22,304,Clark Wilkinson Defensive Rebound.,42,78
0:08,275,Foul on Andy Van Vliet.,42,78
0:08,304,Robert Jones III made Free Throw.,43,78
0:08,304,Robert Jones III made Free Throw.,44,78
0:00,275,End of Game,44,78
