Iona,161,Fairleigh Dickinson,314
11:12,161,Ghassan Nehme Defensive Rebound.,15,15
10:59,161,Tyrone O'Garro missed Jumper.,15,15
10:59,314,Jan Svandrlik Defensive Rebound.,15,15
10:49,314,Jordan Washington made Layup. Assisted by Schadrac Casimir.,17,15
10:35,161,Stephan Jiggetts missed Jumper.,17,15
10:35,314,Schadrac Casimir Defensive Rebound.,17,15
10:28,314,Schadrac Casimir made Layup.,19,15
10:28,161,Foul on Earl Potts Jr.,19,15
10:28,314,Schadrac Casimir made Free Throw.,20,15
10:14,161,Earl Potts Jr missed Three Point Jumper.,20,15
10:14,161,Fairleigh Dickinson Deadball Team Rebound.,20,15
10:12,314,Foul on Tyrell Williams.,20,15
10:08,161,Earl Potts Jr made Layup.,20,17
10:00,314,E.J. Crawford missed Three Point Jumper.,20,17
10:00,161,Ghassan Nehme Defensive Rebound.,20,17
9:53,161,Earl Potts Jr made Three Point Jumper. Assisted by Darnell Edge.,20,20
9:22,314,Jan Svandrlik missed Three Point Jumper.,20,20
9:22,161,Darnell Edge Defensive Rebound.,20,20
8:58,161,Darnell Edge missed Three Point Jumper.,20,20
8:58,161,Ghassan Nehme Offensive Rebound.,20,20
8:55,314,Foul on Sam Cassell Jr..,20,20
8:40,161,Kaleb Bishop made Layup. Assisted by Mike Holloway.,20,22
8:31,314,Jordan Washington made Dunk. Assisted by Sam Cassell Jr..,22,22
8:22,314,Foul on Schadrac Casimir.,22,22
8:12,161,Mike Holloway made Layup.,22,24
8:12,314,Foul on Jordan Washington.,22,24
8:12,161,Mike Holloway made Free Throw.,22,25
8:00,314,Taylor Bessick made Jumper. Assisted by Rickey McGill.,24,25
7:44,161,Earl Potts Jr missed Three Point Jumper.,24,25
7:44,314,Iona Deadball Team Rebound.,24,25
7:41,161,Foul on Mike Holloway.,24,25
7:30,314,Taylor Bessick made Layup. Assisted by Rickey McGill.,26,25
7:09,314,Foul on Taylor Bessick.,26,25
7:09,161,Mike Holloway made Free Throw.,26,26
7:09,161,Mike Holloway made Free Throw.,26,27
6:57,314,Taylor Bessick Turnover.,26,27
6:56,161,Earl Potts Jr Steal.,26,27
6:43,161,Malik Miller missed Jumper.,26,27
6:43,161,Kaleb Bishop Offensive Rebound.,26,27
6:40,161,Kaleb Bishop made Layup.,26,29
6:40,314,Foul on Sam Cassell Jr..,26,29
6:40,161,Kaleb Bishop missed Free Throw.,26,29
6:40,314,Jordan Washington Defensive Rebound.,26,29
6:29,314,E.J. Crawford made Layup. Assisted by Jordan Washington.,28,29
6:17,161,Stephan Jiggetts missed Layup.,28,29
6:17,314,Jordan Washington Defensive Rebound.,28,29
5:50,314,Sam Cassell Jr. made Three Point Jumper. Assisted by Jordan Washington.,31,29
5:37,161,Darian Anderson Turnover.,31,29
5:36,314,Sam Cassell Jr. Steal.,31,29
5:32,314,Rickey McGill made Three Point Jumper. Assisted by Sam Cassell Jr..,34,29
5:29,161,Fairleigh Dickinson  Timeout,34,29
5:15,161,Ghassan Nehme missed Three Point Jumper.,34,29
5:15,314,Rickey McGill Defensive Rebound.,34,29
5:05,161,Foul on Kaleb Bishop.,34,29
5:05,314,Jordan Washington made Free Throw.,35,29
5:05,314,Jordan Washington made Free Throw.,36,29
4:49,161,Mike Holloway made Layup.,36,31
4:30,314,Rickey McGill made Jumper.,38,31
4:17,161,Mike Holloway made Jumper. Assisted by Stephan Jiggetts.,38,33
4:06,314,E.J. Crawford missed Three Point Jumper.,38,33
4:06,161,Mike Holloway Defensive Rebound.,38,33
3:42,161,Ghassan Nehme Turnover.,38,33
3:41,314,E.J. Crawford Steal.,38,33
3:37,314,Jordan Washington made Layup. Assisted by Rickey McGill.,40,33
3:15,161,Darnell Edge missed Three Point Jumper.,40,33
3:15,161,Kaleb Bishop Offensive Rebound.,40,33
3:12,314,Foul on Rickey McGill.,40,33
3:12,161,Official TV Timeout,40,33
3:11,161,Kaleb Bishop made Free Throw.,40,34
3:11,161,Kaleb Bishop made Free Throw.,40,35
2:42,314,Schadrac Casimir made Three Point Jumper. Assisted by E.J. Crawford.,43,35
2:41,161,Foul on Darian Anderson.,43,35
2:41,314,Schadrac Casimir made Free Throw.,44,35
2:25,161,Stephan Jiggetts missed Jumper.,44,35
2:25,314,Iona Defensive Rebound.,44,35
2:13,314,Schadrac Casimir made Three Point Jumper. Assisted by Rickey McGill.,47,35
1:52,314,Foul on Tyrell Williams.,47,35
1:52,161,Mike Holloway missed Free Throw.,47,35
1:52,161,Fairleigh Dickinson Deadball Team Rebound.,47,35
1:52,161,Mike Holloway missed Free Throw.,47,35
1:52,314,Tyrell Williams Defensive Rebound.,47,35
1:31,314,Tyrell Williams made Layup. Assisted by Schadrac Casimir.,49,35
1:02,161,Stephan Jiggetts missed Layup.,49,35
1:02,314,Tyrell Williams Defensive Rebound.,49,35
0:56,161,Foul on Malik Miller.,49,35
0:56,314,Jon Severe made Free Throw.,50,35
0:56,314,Jon Severe made Free Throw.,51,35
0:37,161,Darian Anderson missed Jumper.,51,35
0:37,314,Tyrell Williams Block.,51,35
0:36,161,Earl Potts Jr Offensive Rebound.,51,35
0:34,161,Earl Potts Jr missed Jumper.,51,35
0:34,314,Tyrell Williams Defensive Rebound.,51,35
0:23,314,Iona  Timeout,51,35
0:06,314,Rickey McGill made Three Point Jumper. Assisted by Jon Severe.,54,35
0:00,161,End of 1st half,54,35
19:45,161,Darian Anderson missed Jumper.,54,35
19:45,314,Jordan Washington Defensive Rebound.,54,35
19:38,314,Sam Cassell Jr. made Three Point Jumper. Assisted by Rickey McGill.,57,35
19:19,314,Foul on Jordan Washington.,57,35
19:03,161,Stephan Jiggetts missed Layup.,57,35
19:03,314,Jon Severe Defensive Rebound.,57,35
18:47,314,Rickey McGill missed Three Point Jumper.,57,35
18:47,161,Kaleb Bishop Defensive Rebound.,57,35
18:29,161,Kaleb Bishop missed Jumper.,57,35
18:29,314,Iona Defensive Rebound.,57,35
18:09,314,Sam Cassell Jr. made Three Point Jumper. Assisted by Rickey McGill.,60,35
17:49,161,Darian Anderson missed Jumper.,60,35
17:49,161,Tyrone O'Garro Offensive Rebound.,60,35
17:35,161,Mike Holloway made Jumper. Assisted by Ghassan Nehme.,60,37
17:21,161,Foul on Mike Holloway.,60,37
17:21,314,Jordan Washington made Free Throw.,61,37
17:21,314,Jordan Washington made Free Throw.,62,37
17:10,161,Kaleb Bishop missed Layup.,62,37
17:10,161,Fairleigh Dickinson Offensive Rebound.,62,37
16:57,161,Darian Anderson missed Three Point Jumper.,62,37
16:57,314,Jordan Washington Defensive Rebound.,62,37
16:47,314,E.J. Crawford made Jumper.,64,37
16:39,314,Foul on Sam Cassell Jr..,64,37
16:37,161,Ghassan Nehme missed Three Point Jumper.,64,37
16:37,161,Earl Potts Jr Offensive Rebound.,64,37
16:31,161,Ghassan Nehme missed Three Point Jumper.,64,37
16:31,314,E.J. Crawford Defensive Rebound.,64,37
16:24,314,Jordan Washington made Dunk. Assisted by Rickey McGill.,66,37
16:10,161,Mike Holloway missed Jumper.,66,37
16:10,314,Jon Severe Defensive Rebound.,66,37
16:05,314,E.J. Crawford missed Three Point Jumper.,66,37
16:05,161,Kaleb Bishop Defensive Rebound.,66,37
15:51,314,Foul on Jordan Washington.,66,37
15:51,161,Official TV Timeout,66,37
15:51,161,Mike Holloway made Free Throw.,66,38
15:51,161,Mike Holloway made Free Throw.,66,39
15:23,314,Taylor Bessick Turnover.,66,39
15:21,314,Foul on Taylor Bessick.,66,39
15:07,161,Ghassan Nehme missed Layup.,66,39
15:07,314,Taylor Bessick Block.,66,39
15:06,314,Taylor Bessick Defensive Rebound.,66,39
15:04,314,Taylor Bessick Turnover.,66,39
15:01,161,Earl Potts Jr missed Three Point Jumper.,66,39
15:01,161,Kaleb Bishop Offensive Rebound.,66,39
14:57,161,Kaleb Bishop missed Layup.,66,39
14:57,161,Malik Miller Offensive Rebound.,66,39
14:54,161,Malik Miller made Layup.,66,41
14:23,314,Jon Severe missed Three Point Jumper.,66,41
14:23,161,Earl Potts Jr Defensive Rebound.,66,41
14:17,314,Foul on Jon Severe.,66,41
14:09,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggetts.,66,44
13:59,314,Jon Severe Turnover.,66,44
13:57,161,Darnell Edge Steal.,66,44
13:54,161,Darnell Edge made Layup.,66,46
13:27,314,Rickey McGill missed Jumper.,66,46
13:27,314,Rickey McGill Offensive Rebound.,66,46
13:22,314,Iona  Turnover.,66,46
13:04,161,Malik Miller made Jumper. Assisted by Stephan Jiggetts.,66,48
12:43,314,Schadrac Casimir missed Jumper.,66,48
12:43,314,Schadrac Casimir Offensive Rebound.,66,48
12:37,314,Schadrac Casimir Turnover.,66,48
12:36,161,Malik Miller Steal.,66,48
12:32,161,Darian Anderson Turnover.,66,48
12:25,314,Schadrac Casimir missed Three Point Jumper.,66,48
12:25,314,Tyrell Williams Offensive Rebound.,66,48
11:57,314,Tyrell Williams missed Jumper.,66,48
11:57,161,Malik Miller Defensive Rebound.,66,48
11:50,161,Darian Anderson missed Layup.,66,48
11:50,314,Tyrell Williams Defensive Rebound.,66,48
11:42,314,E.J. Crawford made Layup. Assisted by Schadrac Casimir.,68,48
11:24,161,Malik Miller missed Jumper.,68,48
11:24,314,E.J. Crawford Defensive Rebound.,68,48
11:11,314,Tyrell Williams made Layup. Assisted by Rickey McGill.,70,48
10:51,161,Kaleb Bishop missed Three Point Jumper.,70,48
10:51,314,E.J. Crawford Defensive Rebound.,70,48
10:42,161,Foul on Malik Miller.,70,48
10:41,161,Official TV Timeout,70,48
10:41,314,Sam Cassell Jr. made Free Throw.,71,48
10:41,314,Sam Cassell Jr. made Free Throw.,72,48
10:17,314,Foul on Jon Severe.,72,48
10:17,161,Ghassan Nehme made Free Throw.,72,49
10:17,161,Ghassan Nehme made Free Throw.,72,50
10:09,314,E.J. Crawford missed Jumper.,72,50
10:09,161,Darnell Edge Defensive Rebound.,72,50
9:56,161,Tyrone O'Garro missed Jumper.,72,50
9:56,314,Sam Cassell Jr. Defensive Rebound.,72,50
9:46,314,Tyrell Williams made Layup. Assisted by Sam Cassell Jr..,74,50
9:31,161,Darnell Edge made Jumper.,74,52
9:22,314,Jon Severe missed Jumper.,74,52
9:22,314,Iona Deadball Team Rebound.,74,52
9:19,161,Foul on Tyrone O'Garro.,74,52
9:09,314,Rickey McGill missed Jumper.,74,52
9:09,161,Mike Holloway Defensive Rebound.,74,52
8:36,161,Stephan Jiggetts Turnover.,74,52
8:35,314,Sam Cassell Jr. Steal.,74,52
8:32,314,Rickey McGill missed Three Point Jumper.,74,52
8:32,314,Taylor Bessick Offensive Rebound.,74,52
8:26,314,Rickey McGill missed Layup.,74,52
8:26,314,Iona Offensive Rebound.,74,52
8:16,314,E.J. Crawford missed Three Point Jumper.,74,52
8:16,314,Schadrac Casimir Offensive Rebound.,74,52
8:04,161,Foul on Stephan Jiggetts.,74,52
8:00,161,Foul on Stephan Jiggetts.,74,52
7:49,314,E.J. Crawford made Jumper.,76,52
7:27,161,Stephan Jiggetts made Three Point Jumper. Assisted by DaRon Curry.,76,55
7:01,314,E.J. Crawford missed Three Point Jumper.,76,55
7:01,161,Tyrone O'Garro Defensive Rebound.,76,55
6:51,161,DaRon Curry Turnover.,76,55
6:49,314,Rickey McGill Steal.,76,55
6:48,314,Rickey McGill made Layup.,78,55
6:38,161,Darnell Edge missed Three Point Jumper.,78,55
6:38,314,Rickey McGill Defensive Rebound.,78,55
6:30,314,Foul on E.J. Crawford.,78,55
6:30,314,E.J. Crawford Turnover.,78,55
6:09,161,Darnell Edge made Layup. Assisted by Darian Anderson.,78,57
5:47,161,Foul on Dondre Rhoden.,78,57
5:47,314,Jordan Washington made Free Throw.,79,57
5:47,314,Jordan Washington made Free Throw.,80,57
5:36,161,Stephan Jiggetts made Three Point Jumper. Assisted by Darian Anderson.,80,60
5:22,314,Jordan Washington missed Layup.,80,60
5:22,314,Jordan Washington Offensive Rebound.,80,60
5:20,314,Jordan Washington missed Two Point Tip Shot.,80,60
5:20,314,Jordan Washington Offensive Rebound.,80,60
5:20,314,Jordan Washington Turnover.,80,60
5:08,314,Foul on Rickey McGill.,80,60
5:08,161,Darian Anderson made Free Throw.,80,61
5:08,161,Darian Anderson made Free Throw.,80,62
4:40,314,Sam Cassell Jr. made Three Point Jumper. Assisted by Schadrac Casimir.,83,62
4:20,314,Foul on Sam Cassell Jr..,83,62
4:20,161,Mike Holloway made Free Throw.,83,63
4:20,161,Mike Holloway missed Free Throw.,83,63
4:20,161,Darnell Edge Offensive Rebound.,83,63
4:14,161,Darnell Edge missed Three Point Jumper.,83,63
4:14,161,Mike Holloway Offensive Rebound.,83,63
4:09,161,Mike Holloway made Layup.,83,65
4:09,314,Foul on E.J. Crawford.,83,65
4:09,161,Mike Holloway missed Free Throw.,83,65
4:09,314,Jordan Washington Defensive Rebound.,83,65
4:01,314,Rickey McGill missed Layup.,83,65
4:01,161,Darnell Edge Defensive Rebound.,83,65
3:53,161,Darian Anderson made Jumper.,83,67
3:34,161,Foul on Stephan Jiggetts.,83,67
3:34,161,Official TV Timeout,83,67
3:34,314,Schadrac Casimir made Free Throw.,84,67
3:34,314,Schadrac Casimir made Free Throw.,85,67
3:24,314,Foul on Rickey McGill.,85,67
3:24,161,Stephan Jiggetts made Free Throw.,85,68
3:24,161,Stephan Jiggetts made Free Throw.,85,69
2:57,314,Jordan Washington made Jumper. Assisted by Sam Cassell Jr..,87,69
2:46,161,Stephan Jiggetts made Jumper.,87,71
2:10,314,Jordan Washington Turnover.,87,71
2:02,161,Darian Anderson missed Three Point Jumper.,87,71
2:02,161,Nadi Beciri Offensive Rebound.,87,71
1:57,161,Nadi Beciri missed Layup.,87,71
1:57,314,Jon Severe Defensive Rebound.,87,71
1:41,314,E.J. Crawford made Three Point Jumper.,90,71
1:15,161,Darian Anderson missed Three Point Jumper.,90,71
1:15,314,Rickey McGill Defensive Rebound.,90,71
1:10,314,Iona  Timeout,90,71
1:10,161,Official TV Timeout,90,71
0:51,314,Sam Cassell Jr. Turnover.,90,71
0:39,161,Nadi Beciri missed Layup.,90,71
0:39,314,Tyrell Williams Block.,90,71
0:36,314,E.J. Crawford Defensive Rebound.,90,71
0:15,314,Rickey McGill missed Layup.,90,71
0:15,161,Darnell Edge Defensive Rebound.,90,71
0:09,314,Foul on Luka Milosavljevic.,90,71
0:09,161,Darnell Edge made Free Throw.,90,72
