Western Michigan,325,Cleveland State,2711
13:40,325,Foul on Jibri Blount.,17,9
13:40,325,Official TV Timeout,17,9
13:40,2711,Drake LaMont made Free Throw.,18,9
13:20,325,Kenny Carpenter missed Three Point Jumper.,18,9
13:20,325,Evan Clayborne Offensive Rebound.,18,9
13:16,325,Evan Clayborne made Layup.,18,11
12:57,2711,Tucker Haymond Turnover.,18,11
12:56,325,Terrell Hales Steal.,18,11
12:54,325,Kenny Carpenter made Layup. Assisted by Terrell Hales.,18,13
12:41,325,Foul on Kenny Carpenter.,18,13
12:28,2711,Seth Dugan made Layup. Assisted by Reggie Jones.,20,13
12:16,325,Rob Edwards missed Jumper.,20,13
12:16,2711,Seth Dugan Defensive Rebound.,20,13
12:07,2711,Bryce Moore Turnover.,20,13
11:44,325,Bobby Word made Three Point Jumper. Assisted by Kasheem Thomas.,20,16
11:31,325,Foul on Rob Edwards.,20,16
11:31,325,Official TV Timeout,20,16
11:27,2711,Reggie Jones missed Jumper.,20,16
11:27,325,Terrell Hales Defensive Rebound.,20,16
11:08,325,Rob Edwards made Jumper.,20,18
10:41,2711,Bryce Moore made Three Point Jumper. Assisted by Seth Dugan.,23,18
10:30,325,Kenny Carpenter Turnover.,23,18
10:29,2711,Reggie Jones Steal.,23,18
10:20,2711,Seth Dugan missed Jumper.,23,18
10:20,325,Terrell Hales Defensive Rebound.,23,18
9:56,325,Kenny Carpenter Turnover.,23,18
9:55,2711,Seth Dugan Steal.,23,18
9:51,2711,Josh Davis missed Layup.,23,18
9:51,325,Terrell Hales Block.,23,18
9:49,325,Bobby Word Defensive Rebound.,23,18
9:27,325,Rob Edwards made Jumper.,23,20
9:07,2711,Reggie Jones missed Jumper.,23,20
9:07,325,Bobby Word Defensive Rebound.,23,20
8:42,325,Rob Edwards made Layup.,23,22
8:42,2711,Foul on Seth Dugan.,23,22
8:42,325,Rob Edwards made Free Throw.,23,23
8:24,2711,Thomas Wilder Turnover.,23,23
8:13,325,Bobby Word Turnover.,23,23
7:51,2711,Reggie Jones made Jumper.,25,23
7:38,325,Bobby Word Turnover.,25,23
7:35,325,Official TV Timeout,25,23
7:16,2711,Reggie Jones missed Three Point Jumper.,25,23
7:16,325,Kasheem Thomas Defensive Rebound.,25,23
6:50,325,Jamarcus Hairston missed Three Point Jumper.,25,23
6:50,325,Terrell Hales Offensive Rebound.,25,23
6:46,325,Terrell Hales made Layup.,25,25
6:24,2711,Thomas Wilder missed Three Point Jumper.,25,25
6:24,2711,Drake LaMont Offensive Rebound.,25,25
6:15,2711,Brandon Johnson made Jumper. Assisted by Bryce Moore.,27,25
5:42,325,Rob Edwards missed Jumper.,27,25
5:42,2711,Drake LaMont Defensive Rebound.,27,25
5:31,2711,Drake LaMont missed Jumper.,27,25
5:31,325,Terrell Hales Defensive Rebound.,27,25
5:13,2711,Foul on Thomas Wilder.,27,25
5:01,325,Rob Edwards made Three Point Jumper. Assisted by Kasheem Thomas.,27,28
4:44,2711,Tucker Haymond missed Three Point Jumper.,27,28
4:44,325,Jamarcus Hairston Defensive Rebound.,27,28
4:36,325,Foul on Rob Edwards.,27,28
4:36,325,Rob Edwards Turnover.,27,28
4:24,2711,Tucker Haymond Turnover.,27,28
4:05,325,Demonte Flannigan missed Jumper.,27,28
4:05,2711,Brandon Johnson Defensive Rebound.,27,28
3:51,2711,Brandon Johnson Turnover.,27,28
3:50,325,Kasheem Thomas Steal.,27,28
3:48,325,Kasheem Thomas made Layup. Assisted by Jamarcus Hairston.,27,30
3:36,2711,Thomas Wilder missed Jumper.,27,30
3:36,325,Kasheem Thomas Defensive Rebound.,27,30
3:11,325,Bobby Word missed Three Point Jumper.,27,30
3:11,2711,Thomas Wilder Defensive Rebound.,27,30
2:54,2711,Brandon Johnson missed Jumper.,27,30
2:54,325,Jamarcus Hairston Defensive Rebound.,27,30
2:43,2711,Foul on Drake LaMont.,27,30
2:43,325,Official TV Timeout,27,30
2:39,325,Bobby Word missed Three Point Jumper.,27,30
2:39,2711,Western Michigan Defensive Rebound.,27,30
2:19,2711,Foul on Reggie Jones.,27,30
2:19,2711,Reggie Jones Turnover.,27,30
1:57,325,Kenny Carpenter missed Three Point Jumper.,27,30
1:57,2711,Brandon Johnson Defensive Rebound.,27,30
1:35,2711,Reggie Jones made Jumper.,29,30
1:07,325,Bobby Word made Three Point Jumper.,29,33
0:47,2711,Thomas Wilder made Layup.,31,33
0:25,325,Kasheem Thomas made Layup.,31,35
0:14,2711,Western Michigan  Timeout,31,35
0:09,2711,Tucker Haymond missed Jumper.,31,35
0:09,325,Jamarcus Hairston Block.,31,35
0:07,325,Kasheem Thomas Defensive Rebound.,31,35
0:03,325,Bobby Word made Jumper. Assisted by Terrell Hales.,31,37
0:00,2711,Thomas Wilder Turnover.,31,37
0:00,325,Terrell Hales Steal.,31,37
0:00,325,End of 1st half,31,37
19:43,325,Demonte Flannigan made Layup. Assisted by Rob Edwards.,31,39
19:22,325,Foul on Bobby Word.,31,39
19:01,2711,Thomas Wilder made Three Point Jumper. Assisted by Tucker Haymond.,34,39
18:35,325,Demonte Flannigan made Jumper.,34,41
18:25,2711,Thomas Wilder Turnover.,34,41
18:24,325,Kasheem Thomas Steal.,34,41
18:22,325,Jibri Blount made Dunk.,34,43
17:57,325,Foul on Demonte Flannigan.,34,43
17:53,325,Foul on Demonte Flannigan.,34,43
17:53,2711,Thomas Wilder made Free Throw.,35,43
17:53,2711,Thomas Wilder missed Free Throw.,35,43
17:53,325,Bobby Word Defensive Rebound.,35,43
17:28,325,Bobby Word missed Three Point Jumper.,35,43
17:28,2711,Thomas Wilder Defensive Rebound.,35,43
17:16,2711,Reggie Jones missed Jumper.,35,43
17:16,325,Rob Edwards Defensive Rebound.,35,43
16:42,325,Bobby Word made Jumper.,35,45
16:25,2711,Reggie Jones Turnover.,35,45
16:24,325,Rob Edwards Steal.,35,45
16:21,325,Rob Edwards made Layup.,35,47
16:11,2711,Western Michigan  Timeout,35,47
16:01,2711,Tucker Haymond Turnover.,35,47
15:59,325,Evan Clayborne Steal.,35,47
15:47,325,Jibri Blount made Jumper.,35,49
15:22,325,Foul on Jibri Blount.,35,49
15:22,325,Official TV Timeout,35,49
15:09,2711,Brandon Johnson made Jumper.,37,49
14:48,2711,Foul on Drake LaMont.,37,49
14:29,325,Cleveland St  Timeout,37,49
14:26,325,Bobby Word made Jumper.,37,51
14:07,2711,Foul on Tucker Haymond.,37,51
14:07,2711,Tucker Haymond Turnover.,37,51
13:54,325,Demonte Flannigan made Layup.,37,53
13:46,325,Foul on Kasheem Thomas.,37,53
13:26,2711,Seth Dugan Turnover.,37,53
13:25,325,Derek Sloan Steal.,37,53
13:25,2711,Foul on Thomas Wilder.,37,53
13:12,325,Demonte Flannigan made Dunk. Assisted by Kasheem Thomas.,37,55
13:02,2711,Western Michigan  Timeout,37,55
12:40,2711,Tucker Haymond missed Jumper.,37,55
12:40,325,Demonte Flannigan Defensive Rebound.,37,55
12:29,325,Rob Edwards missed Three Point Jumper.,37,55
12:29,325,Demonte Flannigan Offensive Rebound.,37,55
12:26,325,Demonte Flannigan made Layup.,37,57
12:10,2711,Bryce Moore missed Three Point Jumper.,37,57
12:10,325,Kasheem Thomas Defensive Rebound.,37,57
12:03,325,Rob Edwards missed Three Point Jumper.,37,57
12:03,2711,Bryce Moore Defensive Rebound.,37,57
12:01,325,Foul on Derek Sloan.,37,57
11:38,2711,Brandon Johnson made Jumper.,39,57
11:20,325,Demonte Flannigan made Layup.,39,59
11:04,2711,Brandon Johnson missed Jumper.,39,59
11:04,325,Demonte Flannigan Defensive Rebound.,39,59
11:01,2711,Foul on Brandon Johnson.,39,59
11:01,325,Official TV Timeout,39,59
10:46,325,Demonte Flannigan missed Jumper.,39,59
10:46,325,Derek Sloan Offensive Rebound.,39,59
10:43,2711,Foul on Adida Ikongshul.,39,59
10:43,325,Derek Sloan missed Free Throw.,39,59
10:43,325,Cleveland St Deadball Team Rebound.,39,59
10:43,325,Derek Sloan made Free Throw.,39,60
10:28,2711,Joeviair Kennedy missed Jumper.,39,60
10:28,325,Derek Sloan Block.,39,60
10:25,325,Demonte Flannigan Defensive Rebound.,39,60
10:18,325,Bobby Word made Three Point Jumper. Assisted by Demonte Flannigan.,39,63
10:05,2711,Jarrin Randall made Three Point Jumper.,42,63
9:44,325,Bobby Word made Three Point Jumper. Assisted by Terrell Hales.,42,66
9:27,2711,Bryce Moore missed Jumper.,42,66
9:27,325,Demonte Flannigan Defensive Rebound.,42,66
8:58,325,Jamarcus Hairston missed Layup.,42,66
8:58,325,Jamarcus Hairston Offensive Rebound.,42,66
8:55,325,Jamarcus Hairston missed Layup.,42,66
8:55,2711,Josh Davis Defensive Rebound.,42,66
8:45,325,Foul on Jamarcus Hairston.,42,66
8:45,2711,Josh Davis made Free Throw.,43,66
8:45,2711,Josh Davis made Free Throw.,44,66
8:25,325,Rob Edwards Turnover.,44,66
8:24,2711,Jarrin Randall Steal.,44,66
8:20,2711,Josh Davis missed Three Point Jumper.,44,66
8:20,325,Kenny Carpenter Defensive Rebound.,44,66
8:02,325,Derek Sloan Turnover.,44,66
7:50,2711,Adida Ikongshul missed Layup.,44,66
7:50,325,Derek Sloan Block.,44,66
7:48,325,Rob Edwards Defensive Rebound.,44,66
7:45,325,Rob Edwards missed Layup.,44,66
7:45,2711,Bryce Moore Defensive Rebound.,44,66
7:36,325,Foul on Derek Sloan.,44,66
7:36,325,Official TV Timeout,44,66
7:36,2711,Josh Davis made Free Throw.,45,66
7:36,2711,Josh Davis missed Free Throw.,45,66
7:36,325,Rob Edwards Defensive Rebound.,45,66
7:30,325,Cleveland St  Timeout,45,66
7:07,325,Jibri Blount missed Jumper.,45,66
7:07,325,Cleveland St Offensive Rebound.,45,66
6:54,2711,Foul on Jarrin Randall.,45,66
6:50,325,Demonte Flannigan made Jumper.,45,68
6:35,2711,Josh Davis Turnover.,45,68
6:34,325,Bobby Word Steal.,45,68
6:32,2711,Foul on Bryce Moore.,45,68
6:32,325,Bobby Word made Free Throw.,45,69
6:32,325,Bobby Word made Free Throw.,45,70
6:13,2711,Jarrin Randall missed Three Point Jumper.,45,70
6:13,2711,Adida Ikongshul Offensive Rebound.,45,70
6:08,2711,Bryce Moore missed Jumper.,45,70
6:08,2711,Joeviair Kennedy Offensive Rebound.,45,70
6:04,2711,Joeviair Kennedy made Layup.,47,70
5:46,325,Kasheem Thomas made Jumper.,47,72
5:31,2711,Joeviair Kennedy made Three Point Jumper. Assisted by Josh Davis.,50,72
5:02,2711,Foul on Adida Ikongshul.,50,72
5:02,325,Demonte Flannigan made Free Throw.,50,73
5:02,325,Demonte Flannigan made Free Throw.,50,74
4:49,2711,Jarrin Randall missed Three Point Jumper.,50,74
4:49,2711,Joeviair Kennedy Offensive Rebound.,50,74
4:42,2711,Bryce Moore made Three Point Jumper. Assisted by Jarrin Randall.,53,74
4:18,2711,Foul on Bryce Moore.,53,74
4:18,325,Kasheem Thomas made Free Throw.,53,75
4:18,325,Kasheem Thomas missed Free Throw.,53,75
4:18,2711,Adida Ikongshul Defensive Rebound.,53,75
4:02,2711,Jarrin Randall missed Three Point Jumper.,53,75
4:02,325,Terrell Hales Defensive Rebound.,53,75
3:39,325,Evan Clayborne made Layup. Assisted by Rob Edwards.,53,77
3:28,2711,Bryce Moore missed Three Point Jumper.,53,77
3:28,325,Rob Edwards Defensive Rebound.,53,77
3:20,325,Rob Edwards Turnover.,53,77
3:19,2711,Jarrin Randall Steal.,53,77
3:13,325,Foul on Bobby Word.,53,77
3:13,325,Official TV Timeout,53,77
3:13,2711,Jared Printy missed Free Throw.,53,77
3:13,2711,Western Michigan Deadball Team Rebound.,53,77
3:13,2711,Jared Printy made Free Throw.,54,77
3:13,2711,Jared Printy made Free Throw.,55,77
2:55,325,Bobby Word made Three Point Jumper. Assisted by Tim Hasbargen.,55,80
2:28,2711,Jarrin Randall missed Jumper.,55,80
2:28,325,Kasheem Thomas Defensive Rebound.,55,80
2:17,325,Cleveland St  Timeout,55,80
2:04,325,Evan Clayborne Turnover.,55,80
1:53,325,Foul on Daniel Levitt.,55,80
1:53,2711,Bryce Moore made Free Throw.,56,80
1:53,2711,Bryce Moore made Free Throw.,57,80
1:26,325,Kenny Carpenter missed Three Point Jumper.,57,80
1:26,325,Tim Hasbargen Offensive Rebound.,57,80
1:20,325,Daniel Levitt made Three Point Jumper. Assisted by Terrell Hales.,57,83
0:55,2711,Jarrin Randall missed Layup.,57,83
0:55,325,Evan Clayborne Block.,57,83
0:55,2711,Western Michigan Offensive Rebound.,57,83
0:48,2711,Jarrin Randall missed Layup.,57,83
0:48,325,Evan Clayborne Block.,57,83
0:48,2711,Western Michigan Offensive Rebound.,57,83
0:46,2711,Joeviair Kennedy made Layup. Assisted by Jarrin Randall.,59,83
0:38,325,Daniel Levitt missed Three Point Jumper.,59,83
0:38,2711,Maxwell Omili Defensive Rebound.,59,83
0:29,2711,Jarrin Randall Turnover.,59,83
0:28,325,Terrell Hales Steal.,59,83
0:26,325,Daniel Levitt made Layup. Assisted by Terrell Hales.,59,85
0:22,2711,Jared Printy made Three Point Jumper. Assisted by Joeviair Kennedy.,62,85
0:00,325,End of Game,62,85
