San José State,149,Montana,23
15:53,23,Isaiah Nichols made Layup.,4,4
15:24,149,Jack Lopez made Layup.,4,6
15:02,23,Isaac Thornton Turnover.,4,6
15:01,149,Ahmaad Rorie Steal.,4,6
14:49,23,Foul on Gary Williams Jr..,4,6
14:49,149,Official TV Timeout,4,6
14:38,23,Foul on Ryan Welage.,4,6
14:26,149,Michael Oguine made Jumper.,4,8
14:10,149,Foul on Gavin DeJong.,4,8
13:36,23,Terrell Brown missed Three Point Jumper.,4,8
13:36,149,Michael Oguine Defensive Rebound.,4,8
13:27,149,Jack Lopez made Three Point Jumper. Assisted by Michael Oguine.,4,11
13:13,23,Ryan Welage Turnover.,4,11
13:05,23,Foul on Brandon Mitchell.,4,11
13:05,149,Walter Wright made Free Throw.,4,12
13:05,149,Walter Wright made Free Throw.,4,13
12:48,23,Brandon Mitchell Turnover.,4,13
12:40,149,Bobby Moorehead missed Three Point Jumper.,4,13
12:40,23,Jalen James Defensive Rebound.,4,13
12:33,23,Jalen James missed Layup.,4,13
12:33,23,Jaycee Hillsman Offensive Rebound.,4,13
12:18,149,Foul on Bobby Moorehead.,4,13
12:13,149,Foul on Bobby Moorehead.,4,13
12:13,23,Brandon Mitchell made Free Throw.,5,13
12:13,23,Brandon Mitchell missed Free Throw.,5,13
12:13,149,Brandon Gfeller Defensive Rebound.,5,13
12:01,23,Foul on Brandon Mitchell.,5,13
11:51,149,Foul on Jared Samuelson.,5,13
11:51,149,Jared Samuelson Turnover.,5,13
11:51,149,Official TV Timeout,5,13
11:50,23,Brandon Mitchell Turnover.,5,13
11:49,149,Fabijan Krslovic Steal.,5,13
11:33,149,Ahmaad Rorie missed Jumper.,5,13
11:33,149,Fabijan Krslovic Offensive Rebound.,5,13
11:30,149,Fabijan Krslovic made Two Point Tip Shot.,5,15
11:28,149,Foul on Ahmaad Rorie.,5,15
11:28,23,Isaiah Nichols made Free Throw.,6,15
11:28,23,Isaiah Nichols missed Free Throw.,6,15
11:28,149,Michael Oguine Defensive Rebound.,6,15
11:27,149,Walter Wright Turnover.,6,15
11:18,23,Jaycee Hillsman made Three Point Jumper. Assisted by Isaac Thornton.,9,15
11:11,149,Walter Wright made Layup.,9,17
10:42,149,Foul on Michael Oguine.,9,17
10:42,23,Isaiah Nichols missed Free Throw.,9,17
10:42,149,Michael Oguine Defensive Rebound.,9,17
10:35,149,Fabijan Krslovic made Dunk. Assisted by Walter Wright.,9,19
10:18,23,Ryan Welage missed Jumper.,9,19
10:18,149,Michael Oguine Block.,9,19
10:15,149,Brandon Gfeller Defensive Rebound.,9,19
9:59,149,Walter Wright missed Three Point Jumper.,9,19
9:59,149,Fabijan Krslovic Offensive Rebound.,9,19
9:51,149,Fabijan Krslovic missed Jumper.,9,19
9:51,23,Brandon Clarke Defensive Rebound.,9,19
9:40,23,Brandon Clarke missed Jumper.,9,19
9:40,149,Fabijan Krslovic Block.,9,19
9:37,149,Fabijan Krslovic Defensive Rebound.,9,19
9:13,149,Walter Wright made Jumper.,9,21
8:51,149,Foul on Brandon Gfeller.,9,21
8:51,23,Brandon Clarke made Free Throw.,10,21
8:51,23,Brandon Clarke missed Free Throw.,10,21
8:51,149,Fabijan Krslovic Defensive Rebound.,10,21
8:45,23,Foul on Brandon Clarke.,10,21
8:45,149,Ahmaad Rorie made Free Throw.,10,22
8:45,149,Ahmaad Rorie made Free Throw.,10,23
8:21,23,Ryan Welage Turnover.,10,23
8:18,149,Walter Wright Steal.,10,23
8:16,23,Foul on Ryan Welage.,10,23
8:16,149,Jack Lopez made Free Throw.,10,24
8:16,149,Jack Lopez missed Free Throw.,10,24
8:16,23,Ryan Welage Defensive Rebound.,10,24
7:58,23,Gary Williams Jr. missed Layup.,10,24
7:58,23,Brandon Clarke Offensive Rebound.,10,24
7:54,23,Brandon Clarke made Two Point Tip Shot.,12,24
7:42,149,Jack Lopez missed Three Point Jumper.,12,24
7:42,149,Michael Oguine Offensive Rebound.,12,24
7:35,149,Walter Wright missed Layup.,12,24
7:35,23,Brandon Clarke Block.,12,24
7:32,149,Ahmaad Rorie Offensive Rebound.,12,24
7:28,149,Ahmaad Rorie made Jumper.,12,26
7:17,149,Foul on Walter Wright.,12,26
7:17,149,Official TV Timeout,12,26
7:17,23,Ryan Welage made Free Throw.,13,26
7:17,23,Ryan Welage made Free Throw.,14,26
7:10,149,Sayeed Pridgett made Layup. Assisted by Mario Dunn.,14,28
6:52,23,Jalen James made Three Point Jumper. Assisted by Terrell Brown.,17,28
6:38,149,Sayeed Pridgett Turnover.,17,28
6:36,23,Jalen James Steal.,17,28
6:22,23,Terrell Brown Turnover.,17,28
6:21,149,Ahmaad Rorie Steal.,17,28
6:19,149,Ahmaad Rorie Turnover.,17,28
6:19,23,Jalen James Steal.,17,28
6:19,149,Foul on Ahmaad Rorie.,17,28
5:51,23,Cody Schwartz missed Three Point Jumper.,17,28
5:51,149,Walter Wright Defensive Rebound.,17,28
5:39,23,Foul on Jalen James.,17,28
5:39,149,Walter Wright made Free Throw.,17,29
5:39,149,Walter Wright made Free Throw.,17,30
5:26,23,Terrell Brown missed Three Point Jumper.,17,30
5:26,23,Jalen James Offensive Rebound.,17,30
5:16,23,Brandon Clarke missed Jumper.,17,30
5:16,149,Fabijan Krslovic Defensive Rebound.,17,30
5:10,23,Foul on Terrell Brown.,17,30
5:10,149,Michael Oguine made Free Throw.,17,31
5:10,149,Michael Oguine made Free Throw.,17,32
5:04,23,Terrell Brown missed Three Point Jumper.,17,32
5:04,149,Michael Oguine Defensive Rebound.,17,32
4:58,23,Foul on Jalen James.,17,32
4:58,149,Michael Oguine made Free Throw.,17,33
4:58,149,Michael Oguine made Free Throw.,17,34
4:40,23,Cody Schwartz made Three Point Jumper. Assisted by Terrell Brown.,20,34
4:24,149,Sayeed Pridgett made Layup. Assisted by Walter Wright.,20,36
4:04,23,Gary Williams Jr. made Layup.,22,36
3:53,149,Walter Wright made Layup.,22,38
3:43,149,Official TV Timeout,22,38
3:36,23,Cody Schwartz missed Jumper.,22,38
3:36,149,Jared Samuelson Defensive Rebound.,22,38
3:13,149,Foul on Sayeed Pridgett.,22,38
3:13,149,Sayeed Pridgett Turnover.,22,38
2:56,23,Jaycee Hillsman made Layup. Assisted by Brandon Clarke.,24,38
2:31,149,Fabijan Krslovic made Jumper. Assisted by Brandon Gfeller.,24,40
2:03,23,Isaac Thornton missed Three Point Jumper.,24,40
2:03,149,Ahmaad Rorie Defensive Rebound.,24,40
1:56,149,Walter Wright made Layup.,24,42
