Air Force,349,Army,2005
12:50,349,Kennedy Edwards Turnover.,41,54
12:50,2005,Jacob Van Steal.,41,54
12:49,349,Foul on Mac Hoffman.,41,54
12:36,2005,Lavelle Scottie missed Jumper.,41,54
12:36,349,Thomas Funk Defensive Rebound.,41,54
12:24,349,John Emezie missed Layup.,41,54
12:24,2005,Lavelle Scottie Defensive Rebound.,41,54
12:15,2005,Lavelle Scottie missed Layup.,41,54
12:15,349,Luke Morrison Defensive Rebound.,41,54
12:08,349,Luke Morrison made Three Point Jumper. Assisted by Thomas Funk.,41,57
11:43,2005,Hayden Graham missed Jumper.,41,57
11:43,349,Luke Morrison Defensive Rebound.,41,57
11:35,349,Thomas Funk missed Layup.,41,57
11:35,2005,Air Force Defensive Rebound.,41,57
11:34,349,Official TV Timeout,41,57
11:13,2005,Sid Tomes made Jumper.,43,57
11:00,349,Luke Morrison made Three Point Jumper. Assisted by Jordan Fox.,43,60
10:43,2005,Jacob Van Turnover.,43,60
10:40,349,John Emezie Steal.,43,60
10:17,349,Thomas Funk missed Layup.,43,60
10:17,2005,Hayden Graham Defensive Rebound.,43,60
10:10,2005,Sid Tomes missed Three Point Jumper.,43,60
10:10,349,Thomas Funk Defensive Rebound.,43,60
10:07,2005,Foul on Hayden Graham.,43,60
10:07,349,Thomas Funk made Free Throw.,43,61
10:07,349,Thomas Funk made Free Throw.,43,62
9:46,2005,Zach Kocur Turnover.,43,62
9:45,349,Thomas Funk Steal.,43,62
9:41,349,John Emezie Turnover.,43,62
9:40,2005,CJ Siples Steal.,43,62
9:36,2005,Zach Kocur made Three Point Jumper.,46,62
9:15,349,Jordan Fox Turnover.,46,62
9:15,2005,Hayden Graham Steal.,46,62
9:15,349,Foul on Thomas Funk.,46,62
9:15,2005,Hayden Graham made Free Throw.,47,62
9:14,2005,Hayden Graham made Free Throw.,48,62
9:05,349,Jordan Fox missed Three Point Jumper.,48,62
9:05,2005,Sid Tomes Defensive Rebound.,48,62
8:55,2005,CJ Siples made Three Point Jumper. Assisted by Zach Kocur.,51,62
8:36,2005,Foul on Zach Kocur.,51,62
8:36,349,Kennedy Edwards missed Free Throw.,51,62
8:36,349,Army Deadball Team Rebound.,51,62
8:36,349,Kennedy Edwards made Free Throw.,51,63
8:29,2005,Hayden Graham missed Jumper.,51,63
8:29,349,Army Defensive Rebound.,51,63
8:23,2005,Foul on Hayden Graham.,51,63
8:23,349,Jordan Fox made Free Throw.,51,64
8:23,349,Jordan Fox made Free Throw.,51,65
8:10,349,Thomas Funk Steal.,51,65
8:10,2005,Jacob Van Turnover.,51,65
8:10,349,Army  Timeout,51,65
8:07,2005,Foul on CJ Siples.,51,65
8:07,349,Thomas Funk made Free Throw.,51,66
8:07,349,Thomas Funk missed Free Throw.,51,66
8:07,2005,Frank Toohey Defensive Rebound.,51,66
7:48,2005,Zach Kocur missed Layup.,51,66
7:48,349,Mac Hoffman Block.,51,66
7:45,349,Thomas Funk Defensive Rebound.,51,66
7:34,349,John Emezie Turnover.,51,66
7:34,349,Official TV Timeout,51,66
7:25,2005,Trevor Lyons Turnover.,51,66
6:58,349,Kennedy Edwards Turnover.,51,66
6:48,2005,Frank Toohey missed Jumper.,51,66
6:48,349,Jordan Fox Defensive Rebound.,51,66
6:37,2005,Foul on Frank Toohey.,51,66
6:37,349,John Emezie made Free Throw.,51,67
6:37,349,John Emezie made Free Throw.,51,68
6:21,2005,Trevor Lyons made Layup.,53,68
5:51,349,Thomas Funk missed Three Point Jumper.,53,68
5:50,2005,Trevor Lyons Offensive Rebound.,53,68
5:41,2005,Zach Kocur made Three Point Jumper. Assisted by Trevor Lyons.,56,68
5:29,2005,Foul on Kyle Broekhuis.,56,68
5:29,349,Matthew Wilson made Free Throw.,56,69
5:29,349,Matthew Wilson made Free Throw.,56,70
5:25,2005,Hayden Graham missed Three Point Jumper.,56,70
5:25,349,Jordan Fox Defensive Rebound.,56,70
4:57,349,Kennedy Edwards Turnover.,56,70
4:24,349,Foul on Thomas Funk.,56,70
4:24,2005,Zach Kocur made Free Throw.,57,70
4:24,2005,Zach Kocur made Free Throw.,58,70
4:23,2005,Foul on Zach Kocur.,58,70
4:23,349,Thomas Funk made Free Throw.,58,71
4:23,349,Thomas Funk missed Free Throw.,58,71
4:23,2005,Hayden Graham Defensive Rebound.,58,71
4:22,2005,Jacob Van missed Layup.,58,71
4:22,349,Mac Hoffman Defensive Rebound.,58,71
3:52,349,Kennedy Edwards missed Three Point Jumper.,58,71
3:52,2005,Zach Kocur Defensive Rebound.,58,71
3:44,2005,Trevor Lyons made Three Point Jumper. Assisted by Jacob Van.,61,71
3:23,349,Army  Timeout,61,71
3:23,349,Jacob Kessler missed Three Point Jumper.,61,71
3:23,2005,Kyle Broekhuis Defensive Rebound.,61,71
3:11,2005,Zach Kocur made Layup.,63,71
3:07,349,Foul on Kennedy Edwards.,63,71
3:07,2005,Zach Kocur made Free Throw.,64,71
2:52,349,Jordan Fox made Layup. Assisted by John Emezie.,64,73
2:31,349,Foul on Jacob Kessler.,64,73
2:31,2005,Trevor Lyons missed Free Throw.,64,73
2:31,349,Mac Hoffman Defensive Rebound.,64,73
2:11,349,John Emezie missed Three Point Jumper.,64,73
2:11,349,Mac Hoffman Offensive Rebound.,64,73
1:47,349,Scott Mammel made Three Point Jumper. Assisted by John Emezie.,64,76
1:34,2005,Hayden Graham Turnover.,64,76
0:57,349,John Emezie missed Jumper.,64,76
0:57,2005,Frank Toohey Defensive Rebound.,64,76
0:49,349,Foul on Mac Hoffman.,64,76
0:47,2005,Hayden Graham missed Free Throw.,64,76
0:47,2005,Air Force Deadball Team Rebound.,64,76
0:47,2005,Hayden Graham missed Free Throw.,64,76
0:47,349,Mac Hoffman Defensive Rebound.,64,76
0:41,349,John Emezie missed Layup.,64,76
0:41,2005,Trevor Lyons Block.,64,76
0:39,2005,Trevor Lyons Defensive Rebound.,64,76
0:35,2005,CJ Siples made Layup.,66,76
0:31,2005,Air Force  Timeout,66,76
0:31,2005,Foul on Trevor Lyons.,66,76
0:31,349,Thomas Funk made Free Throw.,66,77
0:31,349,Thomas Funk missed Free Throw.,66,77
0:30,2005,Air Force Defensive Rebound.,66,77
0:20,2005,Trevor Lyons made Three Point Jumper. Assisted by CJ Siples.,69,77
0:18,2005,Air Force  Timeout,69,77
0:16,2005,Foul on Trevor Lyons.,69,77
0:16,349,Jordan Fox made Free Throw.,69,78
0:16,349,Jordan Fox made Free Throw.,69,79
0:10,2005,CJ Siples made Layup.,71,79
0:09,349,Foul on Jordan Fox.,71,79
0:09,349,Jordan Fox Turnover.,71,79
0:08,2005,Trevor Lyons missed Three Point Jumper.,71,79
0:00,349,Mac Hoffman Defensive Rebound.,71,79
0:00,349,End of Game,71,79
