CS Fullerton,301,San Diego,2239
6:01,2239,Kyle Allman made Free Throw.,24,23
5:32,301,Olin Carter III missed Three Point Jumper.,24,23
5:32,2239,Kyle Allman Defensive Rebound.,24,23
5:27,2239,Foul on Kyle Allman.,24,23
5:27,2239,Kyle Allman Turnover.,24,23
5:02,301,Nassir Barrino made Jumper.,24,25
4:42,2239,Jackson Rowe made Jumper.,26,25
4:29,2239,Foul on Lionheart Leslie.,26,25
4:29,301,Olin Carter III made Free Throw.,26,26
4:29,301,Olin Carter III missed Free Throw.,26,26
4:29,2239,Darcy Malone Defensive Rebound.,26,26
4:08,2239,Austen Awosika made Jumper.,28,26
3:37,301,Tyler Williams missed Jumper.,28,26
3:37,2239,Austen Awosika Defensive Rebound.,28,26
3:31,2239,Tre Coggins missed Layup.,28,26
3:31,301,San Diego Defensive Rebound.,28,26
3:28,301,Official TV Timeout,28,26
2:59,301,Brett Bailey missed Three Point Jumper.,28,26
2:59,2239,Lionheart Leslie Defensive Rebound.,28,26
2:44,2239,Lionheart Leslie missed Three Point Jumper.,28,26
2:44,301,Nassir Barrino Defensive Rebound.,28,26
2:31,301,Nassir Barrino made Layup.,28,28
2:27,2239,CS Fullerton  Timeout,28,28
2:16,2239,Lionheart Leslie missed Jumper.,28,28
2:16,301,Tyler Williams Defensive Rebound.,28,28
1:51,301,Frank Ryder missed Jumper.,28,28
1:51,2239,Arkim Robertson Defensive Rebound.,28,28
1:42,2239,Foul on Arkim Robertson.,28,28
1:42,2239,Arkim Robertson Turnover.,28,28
1:28,301,Olin Carter III missed Three Point Jumper.,28,28
1:28,2239,Lionheart Leslie Defensive Rebound.,28,28
1:16,2239,Tre Coggins Turnover.,28,28
1:01,301,Brett Bailey missed Jumper.,28,28
1:01,2239,Richard Peters Block.,28,28
1:00,2239,Austen Awosika Defensive Rebound.,28,28
0:54,2239,Austen Awosika made Layup.,30,28
0:30,301,Nassir Barrino missed Jumper.,30,28
0:30,2239,Austen Awosika Block.,30,28
0:29,301,Frank Ryder Offensive Rebound.,30,28
0:24,301,Tyler Williams missed Jumper.,30,28
0:24,2239,Richard Peters Block.,30,28
0:24,301,San Diego Offensive Rebound.,30,28
0:20,301,Brett Bailey made Three Point Jumper. Assisted by Tyler Williams.,30,31
0:00,2239,Lionheart Leslie missed Three Point Jumper.,30,31
0:00,301,San Diego Defensive Rebound.,30,31
0:00,301,End of 1st half,30,31
19:39,301,Olin Carter III made Jumper.,30,33
19:18,2239,Lionheart Leslie missed Three Point Jumper.,30,33
19:18,301,San Diego Defensive Rebound.,30,33
19:05,301,Cameron Neubauer made Three Point Jumper.,30,36
18:53,2239,Arkim Robertson Turnover.,30,36
18:43,301,Cameron Neubauer missed Three Point Jumper.,30,36
18:43,2239,Tre Coggins Defensive Rebound.,30,36
18:35,301,Foul on Brett Bailey.,30,36
18:35,2239,Lionheart Leslie made Free Throw.,31,36
18:35,2239,Lionheart Leslie made Free Throw.,32,36
18:22,301,Cameron Neubauer made Layup.,32,38
18:22,2239,Foul on Richard Peters.,32,38
18:22,301,Cameron Neubauer made Free Throw.,32,39
18:08,2239,Richard Peters made Layup. Assisted by Lionheart Leslie.,34,39
17:53,2239,Foul on Richard Peters.,34,39
17:53,301,Brett Bailey made Free Throw.,34,40
17:48,301,Brett Bailey made Free Throw.,34,41
17:35,2239,Tre Coggins made Layup.,36,41
17:35,2239,CS Fullerton  Timeout,36,41
17:19,301,Olin Carter III made Layup.,36,43
17:12,301,Foul on Mark Carbone.,36,43
17:12,2239,Lionheart Leslie made Free Throw.,37,43
17:12,2239,Lionheart Leslie made Free Throw.,38,43
16:54,301,Brett Bailey missed Layup.,38,43
16:54,2239,Austen Awosika Defensive Rebound.,38,43
16:46,2239,Kyle Allman Turnover.,38,43
16:24,301,Mark Carbone missed Jumper.,38,43
16:24,2239,Jackson Rowe Defensive Rebound.,38,43
16:18,301,Foul on Brett Bailey.,38,43
16:08,2239,Jackson Rowe made Jumper.,40,43
15:50,301,Cameron Neubauer made Jumper.,40,45
15:50,2239,Foul on Kyle Allman.,40,45
15:50,301,Official TV Timeout,40,45
15:50,301,Cameron Neubauer made Free Throw.,40,46
15:32,2239,Lionheart Leslie missed Three Point Jumper.,40,46
15:32,301,Juwan Gray Defensive Rebound.,40,46
14:55,301,Olin Carter III made Three Point Jumper.,40,49
14:36,2239,Tre Coggins missed Jumper.,40,49
14:36,301,Cameron Neubauer Defensive Rebound.,40,49
14:14,301,Olin Carter III made Three Point Jumper.,40,52
13:57,2239,Lionheart Leslie made Jumper.,42,52
13:37,301,Cameron Neubauer missed Jumper.,42,52
13:37,2239,Davon Clare Defensive Rebound.,42,52
13:28,2239,Austen Awosika made Jumper. Assisted by Lionheart Leslie.,44,52
13:07,301,Juwan Gray missed Jumper.,44,52
13:07,2239,Austen Awosika Defensive Rebound.,44,52
13:00,2239,Austen Awosika missed Jumper.,44,52
13:00,2239,Lionheart Leslie Offensive Rebound.,44,52
12:56,2239,Lionheart Leslie made Jumper.,46,52
12:34,301,Juwan Gray made Three Point Jumper. Assisted by Brett Bailey.,46,55
12:22,2239,Richard Peters made Layup. Assisted by Tre Coggins.,48,55
12:02,301,Olin Carter III missed Three Point Jumper.,48,55
12:02,2239,Davon Clare Defensive Rebound.,48,55
11:48,2239,Davon Clare missed Jumper.,48,55
11:48,2239,Davon Clare Offensive Rebound.,48,55
11:44,2239,Davon Clare missed Two Point Tip Shot.,48,55
11:44,301,Juwan Gray Defensive Rebound.,48,55
11:26,301,Juwan Gray missed Three Point Jumper.,48,55
11:26,2239,Austen Awosika Defensive Rebound.,48,55
11:19,301,Foul on Olin Carter III.,48,55
11:19,301,Official TV Timeout,48,55
11:19,2239,Austen Awosika missed Free Throw.,48,55
11:19,2239,CS Fullerton Deadball Team Rebound.,48,55
11:19,2239,Austen Awosika made Free Throw.,49,55
11:05,301,Cameron Neubauer Turnover.,49,55
11:03,2239,Tre Coggins Steal.,49,55
11:01,301,Foul on Nassir Barrino.,49,55
11:01,2239,Austen Awosika missed Free Throw.,49,55
11:01,2239,CS Fullerton Deadball Team Rebound.,49,55
11:01,2239,Austen Awosika made Free Throw.,50,55
10:45,301,Brett Bailey missed Three Point Jumper.,50,55
10:45,301,Cameron Neubauer Offensive Rebound.,50,55
10:34,301,Olin Carter III made Jumper. Assisted by Tyler Williams.,50,57
10:12,2239,Lionheart Leslie made Layup.,52,57
9:54,301,Cameron Neubauer made Three Point Jumper. Assisted by Olin Carter III.,52,60
9:41,2239,Tre Coggins missed Three Point Jumper.,52,60
9:41,301,Olin Carter III Defensive Rebound.,52,60
9:31,301,Cameron Neubauer made Three Point Jumper. Assisted by Olin Carter III.,52,63
9:28,2239,CS Fullerton  Timeout,52,63
9:10,301,Foul on Cameron Neubauer.,52,63
9:02,2239,Foul on Richard Peters.,52,63
9:02,2239,Richard Peters Turnover.,52,63
8:46,301,Cameron Neubauer missed Three Point Jumper.,52,63
8:46,2239,Kyle Allman Defensive Rebound.,52,63
8:32,2239,Lionheart Leslie Turnover.,52,63
8:32,301,Cameron Neubauer Steal.,52,63
8:21,301,Brett Bailey missed Layup.,52,63
8:21,2239,Lionheart Leslie Defensive Rebound.,52,63
8:17,2239,Tre Coggins missed Layup.,52,63
8:17,301,San Diego Defensive Rebound.,52,63
7:54,301,Official TV Timeout,52,63
7:54,301,San Diego  Timeout,52,63
7:35,301,Olin Carter III missed Jumper.,52,63
7:35,2239,Jackson Rowe Block.,52,63
7:35,301,San Diego Offensive Rebound.,52,63
7:28,301,Cameron Neubauer made Layup.,52,65
7:28,2239,Foul on Jackson Rowe.,52,65
7:28,301,Cameron Neubauer missed Free Throw.,52,65
7:28,2239,Davon Clare Defensive Rebound.,52,65
7:04,2239,Tre Coggins made Three Point Jumper.,55,65
6:40,301,Brett Bailey missed Jumper.,55,65
6:40,2239,Kyle Allman Block.,55,65
6:38,301,Brett Bailey Offensive Rebound.,55,65
6:38,2239,Foul on Davon Clare.,55,65
6:38,301,Brett Bailey made Free Throw.,55,66
6:38,301,Brett Bailey made Free Throw.,55,67
6:18,301,Foul on Frank Ryder.,55,67
6:18,2239,Jackson Rowe missed Free Throw.,55,67
6:18,2239,CS Fullerton Deadball Team Rebound.,55,67
6:18,2239,Jackson Rowe made Free Throw.,56,67
5:52,301,Olin Carter III missed Three Point Jumper.,56,67
5:52,2239,Davon Clare Defensive Rebound.,56,67
5:34,2239,Jackson Rowe made Layup. Assisted by Davon Clare.,58,67
5:04,2239,Foul on Davon Clare.,58,67
5:04,301,Juwan Gray missed Free Throw.,58,67
5:04,301,San Diego Deadball Team Rebound.,58,67
5:04,301,Juwan Gray made Free Throw.,58,68
4:51,2239,Tre Coggins missed Three Point Jumper.,58,68
4:51,2239,Austen Awosika Offensive Rebound.,58,68
4:35,2239,Jackson Rowe missed Jumper.,58,68
4:35,301,Juwan Gray Defensive Rebound.,58,68
4:18,2239,Foul on Kyle Allman.,58,68
4:18,301,Brett Bailey missed Free Throw.,58,68
4:18,301,San Diego Deadball Team Rebound.,58,68
4:18,301,Brett Bailey made Free Throw.,58,69
3:50,2239,Lionheart Leslie made Jumper.,60,69
3:50,301,Foul on Cameron Neubauer.,60,69
3:50,301,Official TV Timeout,60,69
3:50,2239,Lionheart Leslie made Free Throw.,61,69
3:26,301,Tyler Williams missed Jumper.,61,69
3:26,2239,Jackson Rowe Block.,61,69
3:26,2239,CS Fullerton Defensive Rebound.,61,69
3:11,2239,Lionheart Leslie made Jumper.,63,69
2:44,2239,Foul on Lionheart Leslie.,63,69
2:44,301,Olin Carter III made Free Throw.,63,70
2:44,301,Olin Carter III made Free Throw.,63,71
2:25,2239,Tre Coggins missed Three Point Jumper.,63,71
2:25,2239,Lionheart Leslie Offensive Rebound.,63,71
2:24,301,Foul on Tyler Williams.,63,71
2:24,2239,Lionheart Leslie missed Free Throw.,63,71
2:24,301,Juwan Gray Defensive Rebound.,63,71
1:54,301,Brett Bailey Turnover.,63,71
1:53,2239,Jackson Rowe Steal.,63,71
1:50,2239,Lionheart Leslie made Layup. Assisted by Austen Awosika.,65,71
1:36,2239,Foul on Austen Awosika.,65,71
1:36,301,Cameron Neubauer made Free Throw.,65,72
1:36,2239,CS Fullerton  Timeout,65,72
1:36,301,Cameron Neubauer missed Free Throw.,65,72
1:36,2239,Jackson Rowe Defensive Rebound.,65,72
1:22,2239,Kyle Allman Turnover.,65,72
0:58,301,Tyler Williams made Layup. Assisted by Cameron Neubauer.,65,74
0:48,2239,Lionheart Leslie made Layup.,67,74
0:46,2239,Foul on Davon Clare.,67,74
0:46,301,Mark Carbone missed Free Throw.,67,74
0:46,301,San Diego Deadball Team Rebound.,67,74
0:46,301,Mark Carbone made Free Throw.,67,75
0:36,2239,Lionheart Leslie made Layup.,69,75
0:33,2239,Foul on Jackson Rowe.,69,75
0:33,301,Cameron Neubauer made Free Throw.,69,76
0:33,301,Cameron Neubauer made Free Throw.,69,77
0:27,2239,Tre Coggins made Jumper.,71,77
0:27,301,Foul on Tyler Williams.,71,77
0:27,2239,Tre Coggins made Free Throw.,72,77
0:23,301,San Diego  Timeout,72,77
0:23,2239,Foul on Austen Awosika.,72,77
0:23,301,Mark Carbone made Free Throw.,72,78
0:23,301,Mark Carbone made Free Throw.,72,79
0:15,301,Foul on Juwan Gray.,72,79
0:15,2239,Lionheart Leslie missed Free Throw.,72,79
0:15,2239,CS Fullerton Deadball Team Rebound.,72,79
0:15,2239,Lionheart Leslie missed Free Throw.,72,79
0:15,301,Brett Bailey Defensive Rebound.,72,79
0:14,2239,Foul on Davon Clare.,72,79
0:14,301,Brett Bailey missed Free Throw.,72,79
0:14,301,San Diego Deadball Team Rebound.,72,79
0:14,301,Brett Bailey made Free Throw.,72,80
0:09,2239,Tre Coggins made Three Point Jumper.,75,80
0:07,2239,Foul on Jhan Paul Mejia.,75,80
0:07,301,Brett Bailey made Free Throw.,75,81
0:07,301,Brett Bailey made Free Throw.,75,82
0:00,2239,Tre Coggins missed Three Point Jumper.,75,82
0:00,301,Cameron Neubauer Defensive Rebound.,75,82
0:00,301,End of Game,75,82
