Jarvis Christian,Error,Lamar,2320
13:39,-1,Keegan Jones missed Layup.,10,13
13:39,2320,Nick Garth Defensive Rebound.,10,13
13:26,2320,Avery Sullivan made Jumper.,10,15
12:56,-1,Chris Adams missed Jumper.,10,15
12:56,2320,Tyrin Atwood Defensive Rebound.,10,15
12:52,2320,James Harrison missed Three Point Jumper.,10,15
12:52,-1,Chris Adams Defensive Rebound.,10,15
12:45,-1,Chasten King made Layup. Assisted by Chris Adams.,12,15
12:32,2320,Nick Garth made Three Point Jumper. Assisted by Tyrin Atwood.,12,18
12:04,-1,Chasten King Turnover.,12,18
12:03,2320,Avery Sullivan Steal.,12,18
11:58,2320,Tyrin Atwood made Layup. Assisted by Nick Garth.,12,20
11:53,-1,Jarvis Christian  Timeout,12,20
11:36,-1,Chris Adams Turnover.,12,20
11:19,2320,Avery Sullivan made Jumper. Assisted by Tyrin Atwood.,12,22
11:04,-1,Letron Manning Turnover.,12,22
11:03,2320,Torey Noel Steal.,12,22
11:01,2320,Torey Noel made Layup.,12,24
10:57,2320,Foul on Torey Noel.,12,24
10:42,-1,Keegan Jones made Layup.,14,24
10:22,2320,Avery Sullivan missed Jumper.,14,24
10:22,2320,Avery Sullivan Offensive Rebound.,14,24
10:16,2320,Avery Sullivan Turnover.,14,24
10:16,2320,Foul on Avery Sullivan.,14,24
10:08,-1,Chris Adams made Layup.,16,24
9:54,2320,Tyrin Atwood made Layup. Assisted by Nick Garth.,16,26
9:54,-1,Foul on DeAndre Newton.,16,26
9:54,2320,Tyrin Atwood made Free Throw.,16,27
9:23,-1,Eric Stewart missed Three Point Jumper.,16,27
9:23,-1,DeAndre Newton Offensive Rebound.,16,27
9:13,-1,DeAndre Newton made Layup.,18,27
9:08,2320,James Harrison missed Three Point Jumper.,18,27
9:08,-1,Jarvis Christian Defensive Rebound.,18,27
9:02,-1,Chris Adams missed Jumper.,18,27
9:02,2320,James Harrison Defensive Rebound.,18,27
8:49,2320,James Harrison Turnover.,18,27
8:47,2320,Foul on James Harrison.,18,27
8:31,-1,DeAndre Newton Turnover.,18,27
8:15,2320,Colton Weisbrod missed Jumper.,18,27
8:15,-1,Nick Palmer Defensive Rebound.,18,27
8:12,2320,Foul on Avery Sullivan.,18,27
8:01,-1,Chris Adams Turnover.,18,27
8:01,2320,Torey Noel Steal.,18,27
8:01,-1,Foul on Chris Adams.,18,27
7:50,2320,James Harrison missed Three Point Jumper.,18,27
7:50,-1,Nick Palmer Defensive Rebound.,18,27
7:48,2320,Foul on Jordan Foster.,18,27
7:48,2320,Official TV Timeout,18,27
7:48,-1,Nick Palmer made Free Throw.,19,27
7:48,-1,Nick Palmer made Free Throw.,20,27
7:33,-1,Foul on Christian Miller.,20,27
7:14,2320,Colton Weisbrod missed Jumper.,20,27
7:14,-1,Nick Palmer Defensive Rebound.,20,27
6:54,-1,Eric Stewart made Three Point Jumper. Assisted by DeAndre Newton.,23,27
6:37,2320,Tyrin Atwood made Jumper. Assisted by Torey Noel.,23,29
6:23,-1,Eric Stewart missed Three Point Jumper.,23,29
6:23,2320,Colton Weisbrod Defensive Rebound.,23,29
6:12,2320,Jordan Foster made Layup.,23,31
6:12,-1,Foul on Nick Palmer.,23,31
6:12,2320,Jordan Foster missed Free Throw.,23,31
6:12,-1,Chris Adams Defensive Rebound.,23,31
6:01,-1,Christian Miller missed Three Point Jumper.,23,31
6:01,2320,Tyrin Atwood Defensive Rebound.,23,31
5:53,2320,James Harrison made Three Point Jumper. Assisted by Torey Noel.,23,34
5:34,2320,Foul on Tyrin Atwood.,23,34
5:34,-1,DeAndre Newton missed Free Throw.,23,34
5:34,2320,Tyrin Atwood Defensive Rebound.,23,34
5:29,2320,James Harrison missed Three Point Jumper.,23,34
5:29,2320,Colton Weisbrod Offensive Rebound.,23,34
5:23,2320,Colton Weisbrod missed Two Point Tip Shot.,23,34
5:23,2320,James Harrison Offensive Rebound.,23,34
5:18,2320,James Harrison made Jumper.,23,36
5:07,-1,Christian Miller Turnover.,23,36
5:04,2320,Torey Noel Steal.,23,36
5:01,2320,Colton Weisbrod made Layup. Assisted by Torey Noel.,23,38
4:37,-1,Phillip Thompson made Layup.,25,38
4:23,2320,Tyrin Atwood made Layup. Assisted by James Harrison.,25,40
3:59,-1,Keegan Jones Turnover.,25,40
3:59,2320,Official TV Timeout,25,40
3:49,2320,Josh Nzeakor missed Layup.,25,40
3:49,-1,Jarvis Christian Defensive Rebound.,25,40
3:34,-1,Keegan Jones Turnover.,25,40
3:32,2320,Colton Weisbrod Steal.,25,40
3:29,2320,Josh Nzeakor missed Layup.,25,40
3:29,-1,Sam Auguste Defensive Rebound.,25,40
3:21,-1,Chasten King missed Layup.,25,40
3:21,2320,Colton Weisbrod Defensive Rebound.,25,40
3:11,2320,Josh Nzeakor missed Layup.,25,40
3:11,-1,Isaiah Lopez Defensive Rebound.,25,40
3:02,-1,Isaiah Lopez Turnover.,25,40
3:01,2320,James Harrison Steal.,25,40
2:41,2320,Colton Weisbrod made Three Point Jumper. Assisted by Nick Garth.,25,43
2:26,-1,Keegan Jones made Layup.,27,43
2:02,2320,Colton Weisbrod missed Three Point Jumper.,27,43
2:02,2320,Tyrin Atwood Offensive Rebound.,27,43
1:56,2320,Tyrin Atwood made Layup.,27,45
1:50,-1,Sam Auguste missed Layup.,27,45
1:50,2320,Colton Weisbrod Block.,27,45
1:50,-1,Jarvis Christian Offensive Rebound.,27,45
1:48,-1,Sam Auguste missed Three Point Jumper.,27,45
1:48,-1,Sam Auguste Offensive Rebound.,27,45
1:42,-1,Chasten King missed Three Point Jumper.,27,45
1:42,2320,Tyrin Atwood Defensive Rebound.,27,45
1:34,2320,Lamar  Timeout,27,45
1:28,2320,Josh Nzeakor made Dunk. Assisted by Tyrin Atwood.,27,47
1:20,-1,Sam Auguste missed Three Point Jumper.,27,47
1:20,2320,Colton Weisbrod Defensive Rebound.,27,47
1:12,2320,Nick Garth made Three Point Jumper. Assisted by Tyrin Atwood.,27,50
0:51,-1,Isaiah Lopez made Three Point Jumper. Assisted by Chasten King.,30,50
0:17,2320,Colton Weisbrod missed Layup.,30,50
0:17,2320,Colton Weisbrod Offensive Rebound.,30,50
0:14,2320,Colton Weisbrod made Two Point Tip Shot.,30,52
0:02,-1,Chasten King missed Jumper.,30,52
0:02,2320,Josh Nzeakor Defensive Rebound.,30,52
0:00,2320,End of 1st half,30,52
19:35,-1,Eric Stewart missed Three Point Jumper.,30,52
19:35,2320,Torey Noel Defensive Rebound.,30,52
19:13,2320,Torey Noel made Three Point Jumper. Assisted by Nick Garth.,30,55
18:47,-1,Keegan Jones made Layup. Assisted by Chasten King.,32,55
18:33,-1,Foul on Chasten King.,32,55
18:33,2320,Josh Nzeakor missed Free Throw.,32,55
18:33,2320,Lamar Deadball Team Rebound.,32,55
18:33,2320,Josh Nzeakor made Free Throw.,32,56
18:12,-1,Chasten King missed Layup.,32,56
18:12,2320,Zjori Bosha Defensive Rebound.,32,56
18:07,-1,Foul on Eric Stewart.,32,56
18:04,2320,Nick Garth missed Three Point Jumper.,32,56
18:04,2320,Josh Nzeakor Offensive Rebound.,32,56
18:00,2320,Josh Nzeakor missed Layup.,32,56
18:00,2320,Josh Nzeakor Offensive Rebound.,32,56
17:59,2320,Josh Nzeakor made Two Point Tip Shot.,32,58
17:59,-1,Foul on Chasten King.,32,58
17:59,2320,Josh Nzeakor made Free Throw.,32,59
17:37,-1,Chasten King missed Three Point Jumper.,32,59
17:37,-1,Keegan Jones Offensive Rebound.,32,59
17:28,-1,Eric Stewart made Three Point Jumper. Assisted by Isaiah Lopez.,35,59
17:06,2320,Josh Nzeakor made Layup.,35,61
16:45,-1,Sam Auguste made Three Point Jumper.,38,61
16:20,2320,Josh Nzeakor missed Layup.,38,61
16:20,2320,Colton Weisbrod Offensive Rebound.,38,61
16:17,2320,Colton Weisbrod made Layup.,38,63
16:10,2320,Foul on Colton Weisbrod.,38,63
16:07,-1,Sam Auguste Turnover.,38,63
16:05,2320,Colton Weisbrod Steal.,38,63
16:01,2320,Nick Garth made Three Point Jumper. Assisted by Torey Noel.,38,66
15:55,2320,Foul on Avery Sullivan.,38,66
15:54,2320,Official TV Timeout,38,66
15:39,2320,Foul on Nick Garth.,38,66
15:39,-1,Keegan Jones missed Free Throw.,38,66
15:39,-1,Jarvis Christian Deadball Team Rebound.,38,66
15:39,-1,Keegan Jones missed Free Throw.,38,66
15:39,2320,Avery Sullivan Defensive Rebound.,38,66
15:39,-1,Foul on Sam Auguste.,38,66
15:30,-1,Foul on Eric Stewart.,38,66
15:30,2320,Avery Sullivan made Free Throw.,38,67
15:30,2320,Avery Sullivan missed Free Throw.,38,67
15:30,-1,Phillip Thompson Defensive Rebound.,38,67
15:18,-1,Phillip Thompson Turnover.,38,67
15:16,2320,Torey Noel Steal.,38,67
15:13,2320,Nick Garth made Three Point Jumper. Assisted by Torey Noel.,38,70
14:09,-1,Phillip Thompson missed Free Throw.,38,70
14:09,-1,Jarvis Christian Deadball Team Rebound.,38,70
14:09,-1,Phillip Thompson missed Free Throw.,38,70
14:09,2320,Colton Weisbrod Defensive Rebound.,38,70
14:08,-1,Foul on Eric Stewart.,38,70
14:07,2320,Colton Weisbrod missed Jumper.,38,70
14:07,2320,Jordan Foster Offensive Rebound.,38,70
14:06,2320,Nick Garth missed Three Point Jumper.,38,70
14:06,-1,Letron Manning Defensive Rebound.,38,70
14:04,-1,Phillip Thompson missed Layup.,38,70
14:04,2320,Torey Noel Defensive Rebound.,38,70
14:02,2320,Colton Weisbrod made Layup. Assisted by Torey Noel.,38,72
13:45,-1,Tyler Bell Turnover.,38,72
13:36,2320,Jordan Foster made Dunk. Assisted by Tyrin Atwood.,38,74
13:09,-1,Letron Manning missed Jumper.,38,74
13:09,2320,Jordan Foster Defensive Rebound.,38,74
12:57,2320,James Harrison missed Three Point Jumper.,38,74
12:57,-1,DeAndre Newton Defensive Rebound.,38,74
12:43,-1,Chris Adams missed Three Point Jumper.,38,74
12:43,2320,Nick Garth Defensive Rebound.,38,74
12:29,2320,Colton Weisbrod Turnover.,38,74
12:28,-1,Tyler Bell Steal.,38,74
12:21,-1,DeAndre Newton missed Jumper.,38,74
12:21,2320,Nick Garth Defensive Rebound.,38,74
11:57,-1,Foul on Tyler Bell.,38,74
11:57,2320,Official TV Timeout,38,74
11:57,2320,Tyrin Atwood made Free Throw.,38,75
11:57,2320,Tyrin Atwood made Free Throw.,38,76
11:41,-1,Letron Manning Turnover.,38,76
11:25,-1,Foul on DeAndre Newton.,38,76
11:25,2320,Jordan Foster missed Free Throw.,38,76
11:25,2320,Zjori Bosha Offensive Rebound.,38,76
11:21,2320,Torey Noel missed Three Point Jumper.,38,76
11:21,-1,Nick Palmer Defensive Rebound.,38,76
11:08,-1,Nick Palmer made Layup.,40,76
11:01,2320,Zjori Bosha missed Jumper.,40,76
11:01,-1,Tyler Bell Defensive Rebound.,40,76
10:43,-1,DeAndre Newton made Layup.,42,76
10:18,2320,Tyrin Atwood missed Layup.,42,76
10:18,-1,Jarvis Christian Defensive Rebound.,42,76
10:05,-1,Dion Malone missed Three Point Jumper.,42,76
10:05,2320,Tyrin Atwood Defensive Rebound.,42,76
9:52,2320,Zjori Bosha missed Three Point Jumper.,42,76
9:52,2320,Tyrin Atwood Offensive Rebound.,42,76
9:48,2320,Tyrin Atwood made Two Point Tip Shot.,42,78
9:38,-1,DeAndre Newton Turnover.,42,78
9:37,2320,Torey Noel Steal.,42,78
9:34,2320,James Harrison missed Layup.,42,78
9:34,2320,Zjori Bosha Offensive Rebound.,42,78
9:32,2320,Zjori Bosha made Two Point Tip Shot.,42,80
9:20,-1,Dion Malone missed Three Point Jumper.,42,80
9:20,2320,Jordan Foster Defensive Rebound.,42,80
9:13,2320,Zjori Bosha Turnover.,42,80
9:12,-1,Nick Palmer Steal.,42,80
9:06,-1,Nick Palmer missed Dunk.,42,80
9:06,2320,Jordan Foster Block.,42,80
9:06,2320,Lamar Defensive Rebound.,42,80
8:55,2320,James Harrison missed Layup.,42,80
8:55,2320,Jordan Foster Offensive Rebound.,42,80
8:51,2320,Tyrin Atwood Turnover.,42,80
8:32,-1,Nick Palmer missed Layup.,42,80
8:32,2320,Jordan Foster Block.,42,80
8:32,2320,Zjori Bosha Defensive Rebound.,42,80
8:15,2320,Torey Noel missed Three Point Jumper.,42,80
8:15,2320,Tyrin Atwood Offensive Rebound.,42,80
8:11,2320,Tyrin Atwood made Layup.,42,82
7:52,-1,Dion Malone Turnover.,42,82
7:50,2320,Torey Noel Steal.,42,82
7:48,-1,Foul on Dion Malone.,42,82
7:48,2320,Official TV Timeout,42,82
7:48,2320,Tyrin Atwood made Free Throw.,42,83
7:48,2320,Tyrin Atwood made Free Throw.,42,84
7:31,-1,Nick Palmer missed Jumper.,42,84
7:31,2320,Tyrin Atwood Defensive Rebound.,42,84
7:00,2320,Tyrin Atwood missed Jumper.,42,84
7:00,2320,Jordan Foster Offensive Rebound.,42,84
6:58,2320,Jordan Foster made Layup.,42,86
6:32,-1,Chasten King made Layup. Assisted by Isaiah Lopez.,44,86
6:11,2320,Jordan Foster made Layup. Assisted by Tyrin Atwood.,44,88
5:56,-1,Chasten King made Layup.,46,88
5:41,-1,Foul on Chris Adams.,46,88
5:41,2320,Nick Garth made Free Throw.,46,89
5:41,2320,Nick Garth missed Free Throw.,46,89
5:41,-1,Nick Palmer Defensive Rebound.,46,89
5:30,-1,Christian Miller missed Layup.,46,89
5:30,2320,Jordan Foster Block.,46,89
5:30,-1,Jarvis Christian Offensive Rebound.,46,89
5:27,-1,Chasten King made Three Point Jumper. Assisted by Isaiah Lopez.,49,89
5:14,-1,Foul on Nick Palmer.,49,89
5:14,2320,Jordan Foster missed Free Throw.,49,89
5:14,2320,Lamar Deadball Team Rebound.,49,89
5:14,2320,Jordan Foster missed Free Throw.,49,89
5:14,-1,Keegan Jones Defensive Rebound.,49,89
5:06,-1,Chasten King made Three Point Jumper. Assisted by Isaiah Lopez.,52,89
4:49,2320,Tyrin Atwood made Layup. Assisted by Nick Garth.,52,91
4:28,-1,Chasten King made Three Point Jumper. Assisted by Isaiah Lopez.,55,91
4:11,2320,Cannon Broussard missed Three Point Jumper.,55,91
4:11,2320,James Harrison Offensive Rebound.,55,91
4:02,2320,Nick Garth Turnover.,55,91
4:02,2320,Official TV Timeout,55,91
3:48,-1,Roderick Johnson missed Three Point Jumper.,55,91
3:48,-1,Jawuan Williams Offensive Rebound.,55,91
3:39,2320,Foul on Jordan Foster.,55,91
3:37,2320,Foul on Tyrin Atwood.,55,91
3:35,-1,Roderick Johnson Turnover.,55,91
3:33,2320,Cannon Broussard Steal.,55,91
3:30,2320,Torey Noel made Three Point Jumper. Assisted by James Harrison.,55,94
3:17,-1,Jawan Butler-Stevenson missed Layup.,55,94
3:17,2320,Tyrin Atwood Defensive Rebound.,55,94
3:10,2320,Cannon Broussard missed Three Point Jumper.,55,94
3:10,-1,Roderick Johnson Defensive Rebound.,55,94
3:01,-1,Roderick Johnson missed Three Point Jumper.,55,94
3:01,2320,James Harrison Defensive Rebound.,55,94
2:53,2320,James Harrison Turnover.,55,94
2:52,-1,Roderick Johnson Steal.,55,94
2:48,2320,Foul on Torey Noel.,55,94
2:48,-1,Jawuan Williams made Free Throw.,56,94
2:48,-1,Jawuan Williams made Free Throw.,57,94
2:35,-1,Foul on Tyler Bell.,57,94
2:35,2320,Avery Sullivan missed Free Throw.,57,94
2:35,2320,Lamar Deadball Team Rebound.,57,94
2:35,2320,Avery Sullivan made Free Throw.,57,95
2:26,-1,Eric Stewart made Three Point Jumper. Assisted by Tyler Bell.,60,95
1:57,-1,Foul on Jawan Butler-Stevenson.,60,95
1:57,2320,Cannon Broussard made Free Throw.,60,96
1:57,2320,Cannon Broussard made Free Throw.,60,97
1:46,-1,Roderick Johnson missed Three Point Jumper.,60,97
1:46,-1,Tyler Bell Offensive Rebound.,60,97
1:38,2320,Foul on Tyrin Atwood.,60,97
1:38,-1,Jawan Butler-Stevenson missed Free Throw.,60,97
1:38,-1,Jarvis Christian Deadball Team Rebound.,60,97
1:38,-1,Jawan Butler-Stevenson missed Free Throw.,60,97
1:38,2320,Jordan Foster Defensive Rebound.,60,97
1:14,2320,Cannon Broussard made Three Point Jumper. Assisted by Tyrin Atwood.,60,100
1:02,-1,Eric Stewart made Three Point Jumper. Assisted by Roderick Johnson.,63,100
0:51,2320,Jordan Foster missed Dunk.,63,100
0:51,-1,Eric Stewart Block.,63,100
0:51,2320,Lamar Offensive Rebound.,63,100
0:48,2320,Cannon Broussard made Three Point Jumper. Assisted by Torey Noel.,63,103
0:36,2320,Foul on Avery Sullivan.,63,103
0:36,-1,Tyler Bell made Free Throw.,64,103
0:36,-1,Tyler Bell made Free Throw.,65,103
0:23,2320,Cannon Broussard Turnover.,65,103
0:08,2320,Foul on Tyrin Atwood.,65,103
