Dayton,2275,Hofstra,2168
10:23,2168,Kostas Antetokounmpo made Layup.,9,18
10:07,2275,Justin Wright-Foreman Turnover.,9,18
10:07,2275,Official TV Timeout,9,18
9:50,2168,Trey Landers made Layup. Assisted by Xeyrius Williams.,11,18
9:33,2275,Eli Pemberton missed Layup.,11,18
9:33,2275,Eli Pemberton Offensive Rebound.,11,18
9:30,2275,Eli Pemberton made Layup.,11,20
9:14,2168,Jalen Crutcher missed Three Point Jumper.,11,20
9:14,2275,Eli Pemberton Defensive Rebound.,11,20
8:46,2275,Eli Pemberton made Three Point Jumper. Assisted by Matija Radovic.,11,23
8:28,2168,Jalen Crutcher missed Jumper.,11,23
8:28,2275,Rokas Gustys Defensive Rebound.,11,23
8:18,2275,Eli Pemberton made Three Point Jumper. Assisted by Rokas Gustys.,11,26
8:14,2168,Dayton  Timeout,11,26
8:14,2275,Official TV Timeout,11,26
7:54,2168,Darrell Davis made Layup. Assisted by John Crosby.,13,26
7:34,2275,Rokas Gustys Turnover.,13,26
7:21,2168,Xeyrius Williams missed Three Point Jumper.,13,26
7:21,2275,Justin Wright-Foreman Defensive Rebound.,13,26
7:07,2275,Justin Wright-Foreman made Jumper.,13,28
6:51,2168,Josh Cunningham made Jumper.,15,28
6:34,2275,Justin Wright-Foreman missed Layup.,15,28
6:34,2168,Trey Landers Defensive Rebound.,15,28
6:26,2168,Trey Landers missed Three Point Jumper.,15,28
6:26,2275,Hofstra Defensive Rebound.,15,28
6:23,2168,Foul on Josh Cunningham.,15,28
6:11,2275,Rokas Gustys Turnover.,15,28
6:07,2168,Darrell Davis missed Layup.,15,28
6:07,2275,Matija Radovic Block.,15,28
6:06,2168,John Crosby Offensive Rebound.,15,28
5:58,2168,Kostas Antetokounmpo missed Three Point Jumper.,15,28
5:58,2275,Rokas Gustys Defensive Rebound.,15,28
5:43,2275,Eli Pemberton missed Layup.,15,28
5:43,2168,Kostas Antetokounmpo Defensive Rebound.,15,28
5:26,2168,Kostas Antetokounmpo missed Layup.,15,28
5:26,2168,Trey Landers Offensive Rebound.,15,28
5:22,2168,Trey Landers made Layup.,17,28
5:04,2275,Matija Radovic missed Three Point Jumper.,17,28
5:04,2168,Kostas Antetokounmpo Defensive Rebound.,17,28
4:55,2168,Darrell Davis made Three Point Jumper.,20,28
4:29,2275,Eli Pemberton missed Jumper.,20,28
4:29,2168,Kostas Antetokounmpo Defensive Rebound.,20,28
4:22,2168,John Crosby missed Jumper.,20,28
4:22,2275,Matija Radovic Defensive Rebound.,20,28
3:55,2275,Justin Wright-Foreman missed Jumper.,20,28
3:55,2168,Darrell Davis Defensive Rebound.,20,28
3:47,2168,Darrell Davis missed Layup.,20,28
3:47,2168,Kostas Antetokounmpo Offensive Rebound.,20,28
3:45,2168,Kostas Antetokounmpo made Dunk.,22,28
3:43,2275,Hofstra  Timeout,22,28
3:43,2275,Official TV Timeout,22,28
3:29,2275,Joel Angus III missed Jumper.,22,28
3:29,2168,John Crosby Defensive Rebound.,22,28
3:00,2168,Trey Landers missed Jumper.,22,28
3:00,2275,Rokas Gustys Defensive Rebound.,22,28
2:43,2275,Justin Wright-Foreman missed Three Point Jumper.,22,28
2:43,2168,Xeyrius Williams Defensive Rebound.,22,28
2:23,2168,Darrell Davis made Three Point Jumper. Assisted by John Crosby.,25,28
2:22,2275,Foul on Joel Angus III.,25,28
2:22,2168,Darrell Davis missed Free Throw.,25,28
2:22,2275,Rokas Gustys Defensive Rebound.,25,28
1:55,2275,Eli Pemberton made Layup.,25,30
1:33,2168,Xeyrius Williams made Three Point Jumper. Assisted by Kostas Antetokounmpo.,28,30
1:11,2168,Foul on Trey Landers.,28,30
1:11,2275,Eli Pemberton made Free Throw.,28,31
1:11,2275,Eli Pemberton made Free Throw.,28,32
0:54,2168,Xeyrius Williams missed Three Point Jumper.,28,32
0:54,2275,Justin Wright-Foreman Defensive Rebound.,28,32
0:44,2168,Foul on Kostas Antetokounmpo.,28,32
0:44,2275,Justin Wright-Foreman made Free Throw.,28,33
0:44,2275,Justin Wright-Foreman made Free Throw.,28,34
0:30,2168,Darrell Davis made Layup.,30,34
0:30,2275,Foul on Rokas Gustys.,30,34
0:30,2168,Darrell Davis made Free Throw.,31,34
0:04,2275,Desure Buie made Jumper.,31,36
0:00,2275,End of 1st half,31,36
19:47,2275,Justin Wright-Foreman missed Three Point Jumper.,31,36
19:47,2168,Trey Landers Defensive Rebound.,31,36
19:17,2168,Darrell Davis made Layup.,33,36
19:04,2275,Joel Angus III missed Jumper.,33,36
19:04,2168,Josh Cunningham Defensive Rebound.,33,36
18:34,2168,Trey Landers missed Jumper.,33,36
18:34,2275,Rokas Gustys Block.,33,36
18:33,2275,Rokas Gustys Defensive Rebound.,33,36
18:25,2275,Kenny Wormley missed Layup.,33,36
18:25,2275,Joel Angus III Offensive Rebound.,33,36
18:22,2275,Joel Angus III made Layup.,33,38
18:07,2168,John Crosby made Jumper.,35,38
17:58,2168,Foul on Josh Cunningham.,35,38
17:58,2275,Eli Pemberton made Free Throw.,35,39
17:58,2275,Eli Pemberton missed Free Throw.,35,39
17:58,2275,Hofstra Deadball Team Rebound.,35,39
17:58,2275,Eli Pemberton made Free Throw.,35,40
17:44,2168,Josh Cunningham made Dunk. Assisted by Trey Landers.,37,40
17:15,2275,Eli Pemberton made Jumper.,37,42
16:56,2275,Foul on Rokas Gustys.,37,42
16:56,2168,Josh Cunningham missed Free Throw.,37,42
16:56,2168,Dayton Deadball Team Rebound.,37,42
16:56,2168,Josh Cunningham made Free Throw.,38,42
16:42,2275,Justin Wright-Foreman made Jumper.,38,44
16:27,2168,John Crosby Turnover.,38,44
16:26,2275,Eli Pemberton Steal.,38,44
16:24,2275,Eli Pemberton made Three Point Jumper. Assisted by Kenny Wormley.,38,47
16:04,2168,Darrell Davis made Three Point Jumper. Assisted by John Crosby.,41,47
15:41,2275,Kenny Wormley missed Jumper.,41,47
15:41,2168,John Crosby Defensive Rebound.,41,47
15:34,2275,Foul on Eli Pemberton.,41,47
15:34,2275,Official TV Timeout,41,47
15:34,2168,John Crosby made Free Throw.,42,47
15:34,2168,John Crosby made Free Throw.,43,47
15:17,2275,Kenny Wormley made Layup.,43,49
14:59,2168,John Crosby missed Jumper.,43,49
14:59,2275,Rokas Gustys Defensive Rebound.,43,49
14:52,2275,Justin Wright-Foreman missed Three Point Jumper.,43,49
14:52,2275,Rokas Gustys Offensive Rebound.,43,49
14:47,2168,Foul on Trey Landers.,43,49
14:47,2275,Rokas Gustys made Free Throw.,43,50
14:47,2275,Rokas Gustys missed Free Throw.,43,50
14:47,2168,Xeyrius Williams Defensive Rebound.,43,50
14:36,2168,Kostas Antetokounmpo made Jumper. Assisted by Xeyrius Williams.,45,50
14:29,2275,Eli Pemberton missed Three Point Jumper.,45,50
14:29,2275,Hofstra Offensive Rebound.,45,50
14:24,2275,Justin Wright-Foreman made Three Point Jumper. Assisted by Kenny Wormley.,45,53
13:58,2168,Xeyrius Williams missed Three Point Jumper.,45,53
13:58,2275,Eli Pemberton Defensive Rebound.,45,53
13:28,2168,Kostas Antetokounmpo Block.,45,53
13:28,2275,Justin Wright-Foreman missed Three Point Jumper.,45,53
13:28,2168,Darrell Davis Defensive Rebound.,45,53
13:21,2168,Kostas Antetokounmpo made Layup. Assisted by Darrell Davis.,47,53
12:57,2275,Eli Pemberton missed Jumper.,47,53
12:57,2168,Xeyrius Williams Defensive Rebound.,47,53
12:53,2168,Trey Landers made Layup. Assisted by Jalen Crutcher.,49,53
12:17,2168,Foul on Jalen Crutcher.,49,53
12:17,2275,Eli Pemberton made Free Throw.,49,54
12:17,2275,Eli Pemberton made Free Throw.,49,55
12:17,2275,Eli Pemberton missed Free Throw.,49,55
12:17,2168,Kostas Antetokounmpo Defensive Rebound.,49,55
12:01,2168,Xeyrius Williams made Layup.,51,55
12:01,2275,Foul on Joel Angus III.,51,55
12:01,2168,Xeyrius Williams missed Free Throw.,51,55
12:01,2275,Hunter Sabety Defensive Rebound.,51,55
11:50,2275,Justin Wright-Foreman missed Layup.,51,55
11:50,2168,Kostas Antetokounmpo Block.,51,55
11:50,2275,Hofstra Offensive Rebound.,51,55
11:50,2275,Official TV Timeout,51,55
11:39,2275,Hunter Sabety missed Layup.,51,55
11:39,2168,Josh Cunningham Block.,51,55
11:38,2168,Dayton Defensive Rebound.,51,55
11:09,2168,Matej Svoboda missed Three Point Jumper.,51,55
11:09,2275,Hunter Sabety Defensive Rebound.,51,55
11:01,2275,Eli Pemberton made Layup. Assisted by Desure Buie.,51,57
10:43,2168,Matej Svoboda missed Layup.,51,57
10:43,2168,Josh Cunningham Offensive Rebound.,51,57
10:40,2168,Josh Cunningham missed Layup.,51,57
10:40,2275,Desure Buie Defensive Rebound.,51,57
10:23,2275,Hunter Sabety made Dunk. Assisted by Desure Buie.,51,59
10:11,2275,Foul on Hunter Sabety.,51,59
10:11,2168,Trey Landers missed Free Throw.,51,59
10:11,2168,Dayton Deadball Team Rebound.,51,59
10:11,2168,Trey Landers made Free Throw.,52,59
9:57,2275,Justin Wright-Foreman missed Three Point Jumper.,52,59
9:57,2275,Matija Radovic Offensive Rebound.,52,59
9:56,2168,Foul on Josh Cunningham.,52,59
9:37,2168,Foul on Matej Svoboda.,52,59
9:19,2275,Matija Radovic missed Three Point Jumper.,52,59
9:19,2168,Kostas Antetokounmpo Block.,52,59
9:17,2168,Kostas Antetokounmpo Defensive Rebound.,52,59
9:14,2168,Matej Svoboda made Layup. Assisted by Kostas Antetokounmpo.,54,59
8:52,2275,Justin Wright-Foreman missed Jumper.,54,59
8:52,2275,Matija Radovic Offensive Rebound.,54,59
8:31,2275,Justin Wright-Foreman missed Layup.,54,59
8:31,2168,Jalen Crutcher Defensive Rebound.,54,59
8:25,2168,Foul on Jalen Crutcher.,54,59
8:25,2168,Jalen Crutcher Turnover.,54,59
8:12,2275,Matija Radovic made Three Point Jumper. Assisted by Rokas Gustys.,54,62
7:53,2168,Xeyrius Williams made Jumper. Assisted by Matej Svoboda.,56,62
7:30,2275,Kenny Wormley missed Jumper.,56,62
7:30,2168,Kostas Antetokounmpo Defensive Rebound.,56,62
7:28,2275,Foul on Rokas Gustys.,56,62
7:28,2275,Official TV Timeout,56,62
7:11,2168,Xeyrius Williams made Jumper. Assisted by Jalen Crutcher.,58,62
6:48,2275,Matija Radovic missed Three Point Jumper.,58,62
6:48,2168,Darrell Davis Defensive Rebound.,58,62
6:36,2168,Jalen Crutcher missed Three Point Jumper.,58,62
6:36,2275,Hofstra Defensive Rebound.,58,62
6:13,2275,Justin Wright-Foreman made Jumper.,58,64
6:01,2168,Kostas Antetokounmpo made Dunk. Assisted by Matej Svoboda.,60,64
5:46,2275,Matija Radovic missed Three Point Jumper.,60,64
5:46,2168,Darrell Davis Defensive Rebound.,60,64
5:37,2168,Darrell Davis Turnover.,60,64
5:37,2168,Foul on Matej Svoboda.,60,64
5:37,2275,Eli Pemberton made Free Throw.,60,65
5:37,2275,Eli Pemberton made Free Throw.,60,66
5:24,2168,Darrell Davis missed Jumper.,60,66
5:24,2275,Matija Radovic Defensive Rebound.,60,66
5:15,2168,Foul on Matej Svoboda.,60,66
5:15,2275,Matija Radovic missed Free Throw.,60,66
5:15,2168,Jalen Crutcher Defensive Rebound.,60,66
5:06,2275,Foul on Kenny Wormley.,60,66
4:56,2168,Xeyrius Williams missed Three Point Jumper.,60,66
4:56,2275,Eli Pemberton Defensive Rebound.,60,66
4:41,2275,Matija Radovic Turnover.,60,66
4:40,2168,Kostas Antetokounmpo Steal.,60,66
4:35,2168,Jalen Crutcher made Three Point Jumper. Assisted by Darrell Davis.,63,66
4:03,2275,Eli Pemberton missed Layup.,63,66
4:03,2168,Kostas Antetokounmpo Block.,63,66
4:01,2275,Justin Wright-Foreman Offensive Rebound.,63,66
3:59,2275,Justin Wright-Foreman missed Three Point Jumper.,63,66
3:59,2168,Dayton Defensive Rebound.,63,66
3:58,2275,Official TV Timeout,63,66
3:42,2168,Trey Landers made Layup.,65,66
3:16,2275,Kenny Wormley missed Layup.,65,66
3:16,2168,Kostas Antetokounmpo Defensive Rebound.,65,66
3:09,2168,Xeyrius Williams missed Three Point Jumper.,65,66
3:09,2275,Hofstra Defensive Rebound.,65,66
3:06,2168,Foul on Kostas Antetokounmpo.,65,66
3:06,2275,Eli Pemberton made Free Throw.,65,67
3:06,2275,Eli Pemberton made Free Throw.,65,68
2:58,2168,Dayton  Timeout,65,68
2:44,2168,Darrell Davis made Three Point Jumper.,68,68
2:25,2275,Justin Wright-Foreman missed Three Point Jumper.,68,68
2:25,2275,Rokas Gustys Offensive Rebound.,68,68
2:18,2275,Eli Pemberton missed Jumper.,68,68
2:18,2168,Xeyrius Williams Defensive Rebound.,68,68
2:03,2275,Foul on Eli Pemberton.,68,68
2:03,2168,Darrell Davis missed Free Throw.,68,68
2:03,2168,Dayton Deadball Team Rebound.,68,68
2:03,2168,Darrell Davis made Free Throw.,69,68
1:52,2168,Foul on Jalen Crutcher.,69,68
1:52,2275,Justin Wright-Foreman made Free Throw.,69,69
1:52,2275,Justin Wright-Foreman missed Free Throw.,69,69
1:52,2168,Darrell Davis Defensive Rebound.,69,69
1:41,2168,Darrell Davis missed Jumper.,69,69
1:41,2275,Rokas Gustys Defensive Rebound.,69,69
1:40,2168,Foul on Xeyrius Williams.,69,69
1:40,2275,Rokas Gustys made Free Throw.,69,70
1:40,2275,Rokas Gustys made Free Throw.,69,71
1:40,2275,Hofstra  Timeout,69,71
1:13,2168,Trey Landers missed Three Point Jumper.,69,71
1:13,2275,Hofstra Defensive Rebound.,69,71
0:44,2275,Justin Wright-Foreman missed Jumper.,69,71
0:44,2168,Jalen Crutcher Defensive Rebound.,69,71
0:37,2168,Foul on Xeyrius Williams.,69,71
0:37,2168,Xeyrius Williams Turnover.,69,71
0:37,2168,Dayton  Timeout,69,71
0:26,2168,Foul on Darrell Davis.,69,71
0:26,2275,Kenny Wormley missed Free Throw.,69,71
0:26,2275,Hofstra Deadball Team Rebound.,69,71
0:26,2275,Kenny Wormley made Free Throw.,69,72
0:18,2168,Dayton  Timeout,69,72
0:11,2168,Xeyrius Williams missed Three Point Jumper.,69,72
0:11,2168,Trey Landers Offensive Rebound.,69,72
0:02,2168,Jalen Crutcher missed Three Point Jumper.,69,72
0:02,2275,Joel Angus III Defensive Rebound.,69,72
0:00,2275,End of Game,69,72
